##NAME|SUBNAME|TELNUM|ADDR|NEWADDR|OT|OFFDATE|SUBSTORE@@롯데마트
롯데마트|행당역점|02-3395-2500|서울 성동구 행당2동 346번지 한진타운상가 B2~B3층|서울 성동구 행당로 82 한진타운상가 B2~B3층|10:00~23:00|매월 둘째, 넷째주 수요일 (  06/12, 06/26 )|롯데리아;엔제리너스;도와드리겠습니다;배송접수처;해빗;다이소;미쓰유동,스테이크,즉석착즙(과일/야채),회/랍스터/킹크랩
롯데마트|월드타워점|02-2057-2500|서울시 송파구 신천동 29번지 |서울 송파구 신천동 올림픽로300 |10:00~23:00|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|하이마트;가마솥국밥,보쌈,바르다김선생(김밥),우리제면소,죠스떡볶이,홍짜장(중식);초이스빈커피;GU,더셔츠스튜디오,아메리칸투어리스트;LG화장품,네이처리퍼블릭,더샘,더페이스샵,미샤,비욘드,아모레퍼시픽,이니스프리,토니모리;큐헤어남성미용실;월드타워약국;좋은아침패스트리;와인전문매장;오프라인접수처
롯데마트|은평점|02-2097-2500|서울 은평구 진관동 79-15|서울 은평구 진관동 79-15|10:00~23:00|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|완구/문구/자동차/키덜트/유아용품;신선/가공/조리식품;페이지그린/룸바이홈
롯데마트|양평점|02-450-2500|서울 영등포구 양평동3가 45|서울 영등포구 선유로 138-0 |10:00~23:00|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|가전전문코너;국내최대완구전문;일/공휴일휴관;챔피언;강가(인도음식전문점),김폴폴(한식/반상),다구오(철판볶음밥),두끼(무한리필떡볶이),르사이공,북촌손만두(만두/냉면),뽕앤까스(돈까스전문점),샐러디(샐러드),쉐프리(푸드트럭),시크릿레시피(치킨,양식),자연한그릇(채선당),제레미20(딤섬,누들),집밥예찬,찰스숯불김밥(분식);롯데리아;폴바셋(cafe);N+키즈(아동/유아/숙녀복),러브스타(아동복),알루앤루(유아복),알퐁소(유아복),탑텐,토토헤로즈(유아복),포레즈(아동복);네이처리퍼블릭,아모레,엘지화장품,이니스프리,토니모리,페이스샵;큐헤어(남성전용),펠리아
롯데마트|금천점|02-6960-2500|서울 금천구 독산동 1155|서울 금천구 시흥대로 291-0 |10:00~23:00|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|두끼떡볶이;이디아커피숍;네이처리퍼블릭,롭스,아모레퍼시픽;우리캐슬약국;씨채널안경점;크린에이드;롯데제이티비;보화스위스;ABC-MART,이루컴퍼니(휴대폰/악세사리),헬스락
롯데마트|검단점|032-560-2500|인천 서구 마전동 626-7|인천 서구 원당대로 581 581|10:00~23:00|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|가전제품;장난감매장;롯데마트문화센타;육우동(일식);감탄떡복이,피자;리틀밥독,모이몰론,미센스,블레스가튼,애플핑크,체이스컬트,투스카로라,트레몰로,트윈키즈365,파크랜드,패스타임,해피랜드;LG화장품,네이처리퍼블릭,더페이스샵,아모레;고정현헤어;쿨펫;즐거운약국
롯데마트|계양점|032-550-2500|인천 계양구 계산동 1059-1|인천 계양구 장제로 822 |10:00~23:00|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|하이마트;게임기,교육장난감,레고/블록,보드게임,스포츠장난감,유아용품,인형/소품,자동차장난감,조립식장난감,캐릭터장난감,파티용품;문화센터;플레이타임;푸드코트(한식,일식,양식,중식);롯데리아,미쓰유동,올떡볶이;엔젤리너스;A&H,AB플러스,DAB(댑),HUM,JDX,K-SWISS,N+KIDS,OST(엑세서리),교복(아이비클럽),금강(제니아),니콜밀러,다이아랑,더아이잗,더이스트샵,런던포그,로또스포츠,리복,리스트,리치,리틀밥독,마레몬떼,마운티아,모이몰른,뱅뱅,브랑누아,수비비안,쉬즈미스,슈마커,스프리스/포니,아가방갤러리,아날도바시니,아디다스,아메리칸투어리스터,아식스,어바니썸,에스콰이어,엘칸토,올포유,유니클로,일루푸,잇스트릿,잠뱅이,제임스딘,젤루우(마담컬렉션),조아골프,주니키즈,지센,컬러풀,코오롱패션,콜핑,크로커다일,탈렌트/쁘띠앙팡,트레몰로,트윈키즈,파크랜드,팜스프링,프로월드컵,해피랜드,휠라티바;LG화장품,네이쳐리퍼블릭,더페이스샵,미샤,비욘드,아모레퍼시픽,올리브영,이니스프리;네일바
롯데마트|부평점|032-509-2500|인천 부평구 산곡동 159-52|인천 부평구 마장로 296 159-52|10:00~23:00|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|하이마트;기소야,예나,예당,향백;롯데리아;던킨도너츠;ab.plus,n.plus,더스토아,디어베이비,라티움,런던포그,레드페이스(등산용품외),르까프,모이몰른,미센스,미푸리,뱅뱅,세스띠,수비비안,수스,아놀드바시니,아스코스,에스콰이어,에쎄,에어워크수영복,워치팍,인터크루,제임스딘,체이스컬트,콜핑,트윈키즈,티뷰,파크랜드,프로스펙스,프리미에팜,해피랜드;LG생활건강,네이처리퍼블릭,더페이스샾,미샤,비욘드,아모레퍼시픽,올리브영;네일샵;고정현헤어;희망약국;에이원치과,연세드림소아과
롯데마트|부평역점|032-454-2500|인천 부평구 부평동 738-1|인천 부평구 광장로 16 |10:00~23:00|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|하이마트부평역점;JCB(아동복),더시크엠(멀티잡화),디어베이비,리틀밥독,마운티아(등산용품),모이몰른,수비비안,슈마커,아메리칸투어리스터,예쎄,오렌지팩토리,잠뱅이,잼플라워(준보석),체이스컬트,콜핑(등산용품),해피랜드;비욘드,스킨푸드,아모레(아이오페),엘지화장품,이니스프리,토니모리,페이스샵;시호비전(안경원);사진관;빠뮤;도와드리겠습니다;수족관;정관장,한삼인(건강식품);다이소
롯데마트|삼산점|032-363-2500|인천 부평구 삼산동 465-1|인천 부평구 길주로 623-0 |10:00~23:00|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|하이마트(가전제품,휴대폰);토이저러스;문화센터;꽃마름샤브샤브,황궁;롯데리아,샐러디(salady);여성/남성/스포츠브랜드,유아/아동브랜드의류,탑텐(성인);네이처리퍼블릭,더페이스샵,미샤,비욘드,아모레,엘지화장품,올리브영,이니스프리;네일죤;이철헤어커커;릴렉스,스킨포유
롯데마트|연수점|032-810-2500|인천 연수구 청학동 502-4|인천 연수구 청능대로 87 |10:00~23:00|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|하이마트연수롯데마트점;푸드코트;감탄떡볶이;JCB,SOOS,로또,예쎄,제임스딘,체이스컬트,프로월드컵,필모아,휠라티바;LG종합화장품,네이쳐리퍼블릭,더페이스샵,비욘드,스킨푸드,아모레,이니스프리;이철헤어커커;감비;천세약국;세차하는사람들;금호타이어
롯데마트|영종도점|032-747-2500|인천 중구 운서동 2803-2|인천 중구 흰바위로 51 롯데마트 영종도점|10:00~22:30|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|가전;문화센터;중식,한식,양식;캔모아;dAb,로또스포츠,리틀밥독,마리끌레르,바니플랫,브랑누아,슈마커,스마트(학생복),제임스딘,준보석,체이스컬트,콜핑,해피랜드(유아);LG화장품,네이처리퍼블릭,더페이스샵,스킨푸드,아모레;네일샵;고정현헤어;스킨포유;21세기약국
롯데마트|청라점|032-590-2500|인천 서구 경서동 958-1|인천 서구 청라 커넬로 252|10:00~23:00|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|가전제품전문점;토이저러스;문화센터;베이비키즈;JCB,LG화장품,더페이스샵,디어베이비,런던포그,리틀밥독,아모레,앤플러스,지센,칼라풀,토토헤로스;시호비전;롯데JTB;고객만족센터;유아휴게실;블루고추,주차장,주차장,주차장,주차장
롯데마트|송도점|032-222-2500|인천 연수구 송도동 6-11|인천 연수구 송도동 6-11|10:00~23:00|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|하이마트;토이저러스;문화센타;가마솥국밥,감탄,포38베트남쌀국수;바르미샤브샤브n칼국수;엔제리너스;LG(이자녹스),네이처리퍼블릭(화장품),델시,아모레(아이오페),워치팍(시계전문수리);하늘약국;골든글라스;세탁을위한사람들(세탁소)
롯데마트|인천터미널점|032-242-6000|인천 남구 관교동 롯데마트 인천터미널점 (롯데백화점 지하1층)||10:30~22:00|백화점 휴무일(6/17), 네번째 월요일(6/24)|
롯데마트|고양점|031-930-7000|경기 고양시 덕양구 행신3동 941|경기 고양시 덕양구 충장로 150 |10:00~23:00|매월 둘째, 넷째주 수요일 (  06/12, 06/26 )|하이마트;문화센터(교육프로그램);롯데리아;탭플레이;데스틸,라티움x쉬크엠,레드페이스,로또스포츠,뱅뱅,엘칸토,코오롱,클라이드,트레몰로,팜스프링스,행텐주니어;LG화장품,네이쳐리퍼블릭,더페이스샵,미샤,아모레,이니스프리,잇츠스킨;스킨포유;아마존;약국;가정의학과
롯데마트|구리점|031-569-2500|경기 구리시 인창동 430|경기 구리시 동구릉로136번길 37 |10:00~23:00|매월 둘째, 넷째주 수요일 (  06/12, 06/26 )|하이마트;토이저러스;문화센터;플레이타임;리틀도쿄,스시요비;롯데리아;던킨도너츠;JCB주니어,N+Kids,니꼴밀러,런던포그편집샵,레드페이스,로또,리틀밥독,마담컬렉션(앤크라제,메르디안),마리끌레르,모노블랙,모이모이깜피,미센스,바니플랫,브랑누아,비비안수,뿌야뿌,수스,슈마커,슈필러,스마트자전거,스파소,아놀드바시니,아디다스,아메리칸투어리스터,알로앤루,에꼴리에,에드윈,에쎄,에어워크,엠할리데이,오션스카이,워치파크(명품시계샾),유니클로,제임스딘,지센편집샵,체이스컬트,크로커다일,클라이머홀릭,탤런트키즈,토토헤로스,트윈키즈,파크랜드/오스틴리드,페르미츠,필모아,행텐키즈;LG화장품,네이처리퍼블릭,더샘,더페이스샾,스킨푸드,아모레퍼시픽/아이오페,앤프라니,이니스프리,토니모리;오를리네일
롯데마트|권선점|031-229-7700|경기 수원시 권선구 권선동 1296-5|경기 수원시 권선구 동수원로 232 |10:00~23:00|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|전자제품;완구;베스트키즈;쁘레또;LG화장품,네이처리퍼블릭,더페이스샵,레드페이스,브랑누아,비욘드,아모레,오스틴리드(남성정장),올포유(캐주얼웨어),이니스프리,제임스딘(언더웨어),젬플라워,체이스컬트,패스타임(여성복),휠라(언더웨어);쿨펫동물병원;더행복약국;세차하는사람들;안경만들기;열쇠/도장
롯데마트|덕소점|031-579-7700|경기 남양주시 와부읍 덕소리 501-3|경기 남양주시 와부읍 월문천로 33 |10:00~23:00|매월 둘째, 넷째주 수요일 (  06/12, 06/26 )|가전제품;가인채(샤브샤브&샐러드바);던킨도너츠;더시크엠,레드페이스,로또,비욘드,씨저스,아놀드바시니,엠할리데이,유니크,체이스컬트,컬리수,클리지,파크랜드,팜스프링,패스타임;LG화장품,더페이스샵,아모레,이니스프리,토니모리;에씨네일샵;이철헤어커커;릴렉스(발마사지),미플;로하스동물병원;온누리약국
롯데마트|동두천점|031-830-2500|경기 동두천시 송내동 551|경기 동두천시 평화로 2169번길 21 (송내동)|10:00~23:00|매월 둘째, 넷째주 수요일 (  06/12, 06/26 )|하이마트;문화센터;예당(한식);롯데리아;던킨도너츠;디어베이비(영유아의류,용품),라티움(여성의류),레드페이스(등산),리틀밥독(아동의류),미센스(여성의류),수비비안(언더웨어),제임스딘(언더웨어),트레몰로(남성의류),프로월드컵(스포츠);네이처리퍼블릭,더페이스샵,아모레,엘지생활건강;네일샵;더풋샵;러브펫
롯데마트|마석점|031-748-2500|경기 남양주시 화도읍 마석우리 255-24|경기 남양주시 화도읍 경춘로 1992 |10:00~23:00|매월 둘째, 넷째주 수요일 (  06/12, 06/26 )|하이마트;감탄떡볶이(분식),야키텐우동(분식);던킨도너츠;교복(스마트),더필(스마트폰액세서리,헤어액세서리등),디어베이비,리틀밥독,미센스,브랑누아,브랜드&브랜드(아디다스,나이키등),에스콰이아,제임스딘,체이스컬트,클리지;LG생활건강,네이쳐리퍼블릭,미샤,비욘드,스킨푸드,아모레퍼시픽,이니스프리,페이스샵;이철헤어커커;휴페이스;동물병원마이펫;백제약국;고려이비인후과
롯데마트|서현점|031-789-2500|경기 성남시 분당구 서현동 275|경기 성남시 분당구 황새울로311번길 28-0 롯데서현주차빌딩|10:00~23:00|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|하이마트;야당리외식공간;엔제리너스;오렌지팩토리;LG생활건강,더샘,더페이스샵,스킨푸드,아모레;세차장;경정비센터;안경점;보네스뻬;도와드리겠습니다
롯데마트|수지점|031-266-2500|경기 용인시 기흥구 보정동 266-4번지|경기 용인시 기흥구 진산로 116 |10:00~23:00|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|가전;토이저러스;푸드코트;TGIF,롯데리아,마리짱(분식);공차;AB.PLUS,SOOS,니콜하우스(우리아이친환경),데스틸,리틀밥독,릴라릴라,모노블랙,모이몰론,야나기,에스콰이어,에어워크,오스틴리드,컬리수,탤런트,트레몰로;네이쳐리퍼블릭,더페이스샵,비욘드,아이오페/한율,이니스프리,챔플라워(준보석);네일존;박승철헤어스튜디오;미플
롯데마트|시화점|031-496-7700|경기 시흥시 정왕동 1366-4|경기 시흥시 마유로238번길 26 |10:00~23:00|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|종합가전;감탄떡볶이,한식,중식,일식;카페도츠;ab.plus,댑,데스틸,레드페이스,로또스포츠,마리끌레르,브랑누아,서광모드,씨저스,아날도바시니,올포유,워츠팍(시계),체이스컬트,클라이드,트레몰로,피가로스포츠;LG생활건강,더페이스샵,비욘드,아모레퍼시픽,잇츠스킨;행복이열리는건강약국;더명인스팀세차장;카이스트;마트열쇠;크린토피아
롯데마트|시흥점|031-599-2800|경기 시흥시 대야동 542|경기 시흥시 비둘기공원7길 38 |10:00~23:00|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|종합가전;롯데리아;더카페;댑코리아,런던포그,리틀밥독,모이몰른,미센스,브랑누아,슈마커,씨저스,인터크루,제임스딘,젬플라워,체이스컬트,콜맨(등산복),크로커다일,클라이머홀릭,피에르가르뎅;네이쳐리퍼블릭,더페이스샵,비욘드,스킨푸드,아모레화장품,엘지화장품;씨네일;펠리아;소나무약국;햇살좋은치과;스팀세차장
롯데마트|안산점|031-508-2500|경기 안산시 상록구 성포동 590|경기 안산시 상록구 충장로 427 |10:00~23:00|6월 10일(월), 6월 23일(일)|하이마트;문화센터;포호아;롯데리아,피자클럽;STCO,겟유스드,듀에갤러리,디어베이비,레드페이스,레지나,무크,미센스,브랑누아,브랜우드,셔츠스튜디오,슈마커,아메리칸투어리스터,아식스,어바니썸,에꼴리에,에드윈,엔제리너스,영에이지(에스콰이어),오스틴리드,유니클로,유닉에디션,잠뱅이,제임스딘,지센,지오투,체이스컬트,프로스펙스,해피베이비,행텐;네이쳐리퍼블릭,더페이스샵,비욘드,스킨푸드,아모레화장품,엘지화장품,이니스프리;네일존;보뜨마샬;그린마트약국;무지개연합의원
롯데마트|안성점|031-691-2500|경기 안성시 공도읍 양기리 306|경기 안성시 공도읍 서동대로 4478 |10:00~23:00|6월 12일(수), 6월 26일(수)|하이마트;문화센터;기소야,나뚜르,스토브,옛날짜장,토담집;롯데리아;나무그늘;더이스트샵,디어베이비,르까프,리즈(악세사리),리트머스,미센스,미프리(액세서리),바니플렛,브랑누아,브랜우드,셔츠스튜디오,수스,슈마커,아로마스퀘어,에꼴리에,엘레강스,유니크에디션,인터크루,일루프,임페리얼,제임스딘,지센,체이스컬트,탑텐키즈,탤런트,투스카로라(등산),트레몰로,티뷰,티움,팜스프링,페리미츠,해피랜드,흴라;LG(이자녹스),네이처퍼블릭,더샘,더페이스샵,미샤,비욘드,아모레,이니스프니,토니모리;CNail;리안헤어;동물병원
롯데마트|화정점|031-947-2500|경기 고양시 덕양구 화정동 982번지|경기 고양시 덕양구 화중로 66 |10:00~23:00|매월 둘째, 넷째주 수요일 (  06/12, 06/26 )|하이마트;분식제일가;글루;아메리칸투어리스터,엘리트교복,유니클로,인핑크(액세서리),제임스딘,지센&지센옴므,타임존(시계);LG화장품,네이처리퍼블릭,더페이스샵,미샤,아모레,이니스프리;네일샵;이철헤어커커;쿨펫동물병원;스카이약국;365서울소아과의원,소아과(토,일,공휴일)
롯데마트|양주점|031-870-2500|경기 양주시 회정동 351-2|경기 양주시 평화로 1547 |10:00~23:00|2월 5일(화), 2월20일(수)|하이마트;문화센터;베스트키즈;가인채;글루;리틀밥독,애플핑크,제임스딘,클리지,트윈키즈,해피랜드;더페이스샵,스킨푸드,아모레화장품,엘지화장품;네일존;오채;크린테크
롯데마트|양주점|031-870-2500|경기 양주시 회정동 351-2|경기 양주시 평화로 1547 |10:00~23:00|매월 둘째, 넷째주 수요일 (  06/12, 06/26 )|하이마트;문화센터;베스트키즈;가인채;글루;리틀밥독,애플핑크,제임스딘,클리지,트윈키즈,해피랜드;더페이스샵,스킨푸드,아모레화장품,엘지화장품;네일존;오채;크린테크
롯데마트|오산점|031-371-2500|경기 오산시 오산동 868|경기 오산시 경기대로 271-0 |10:00~23:00|매월 둘째, 넷째주 수요일 (  06/12, 06/26 )|하이마트;롯데문화센터;감탄떡볶이(구아딸떡볶이),롯데리아,보용만두;밀키비;IOPE,네이처리퍼블릭,더페이스샵,미샤,비욘드,이니스프리,이자녹스(LG화장품),토니모리;이가자헤어비스;온누리약국;무지개연합의원(주말,공휴일은21시까지),햇살좋은치과;카페카클린;오토오아시스
롯데마트|의왕점|031-470-2500|경기 의왕시 내손동 743|경기 의왕시 계원대학로 7-0 |10:00~23:00|매월 둘째, 넷째주 수요일 (  06/12, 06/26 )|가전;강남교자,롯데리아,미래등,부뚜막가마솥,오가다,요미카츠,자연애비빔밥,카페홀릭,푸드코트;Bonafit,It.Street,N+,Smashing9,TE,델시여행가방,레드페이스,마코,매일골프,바니플랫,브랑누아,수비비안,아날도바시니,아스코스,알퐁소,애녹,엘칸토,오스틴리드,워치파크,워치파크(시계전문매장),유니클로,제임스딘,지센,트레몰로,티지,패션잡화,프로월드컵,플리토,행텐주니어;네이쳐리퍼블릭,더페이스샾,비욘드,스킨푸드,아모레,엘지,이니스프리,토니모리;씨네일;이철헤어커커;미플;팻가든;성모프라자약국;해맑은치과
롯데마트|의정부점|031-850-2500|경기 의정부시 용현동 527-1|경기 의정부시 산단로76번길 116-0 롯데마트|10:00~23:00|두번째주 일요일(5/12), 네번째주 일요일 (5/26)|하이마트;문화센터;감탄떡볶이;리틀밥독,씨저스(남성의류),엘칸토,예세(여성의류),유닉에디션,체이스컬트,패스타임(여성의류),피가로(남성의류),필모아(남성의류),휠라티바(언더웨어);네이처리퍼블릭,더페이스샵,비욘드,아모레,엘지화장품,토니모리;베누스(네일);연헤어월드;무지게온누리약국;무지게연합의원,스마일100치과;카페카크린
롯데마트|장암점|031-849-2500|경기 의정부시 장암동 38-10|경기 의정부시 장곡로 224 |10:00~23:00|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|롯데하이마트;더카페;아날도바시니,아식스,유니크에디션,투스카로라,트윈키즈,티뷰,파크랜드,프로스펙스,해피베이비;더페이스샵,비욘드,아모레,엘지화장품;로이드밤;미플;소나무약국;이윤정소아과;클린조이스팀세차;르망안경
롯데마트|김포한강점|031-8049-2500|경기 김포시 장기동 2031|경기 김포시 김포한강2로 41-0 장기동. e편한세상 캐널시티|10:00~23:00|매월 둘째, 넷째주 수요일 (  06/12, 06/26 )|하이마트;문화센터
롯데마트|주엽점|031-913-2500|경기 고양시 일산서구 주엽1동 15|경기 고양시 일산서구 중앙로 1496 |10:00~23:00|매월 둘째, 넷째주 수요일 (  06/12, 06/26 )|하이마트주엽롯데마트점;문화센터;타요키즈카페;롯데리아;댑(언더웨어),디콜렉션(의류),라티움(의류),레드페이스(스포츠),마운티아(스포츠),무자크(의류),씨저스(의류),에스콰이어(슈즈),오렌지팩토리(의류),워치팍(시계),제임스딘(언더웨어),체이스컬트(의류),클라이드(의류),티뷰(의류);LG생활건강(+비욘드),네이처리퍼블릭,더샘,더페이스샵,아모레퍼시픽,이니스프리;루미가넷;박승철헤어스투디오;약국;세차하는사람들
롯데마트|천천점|031-240-2500|경기 수원시 장안구 천천동 525|경기 수원시 장안구 만석로19번길 25-10 롯데마트|10:00~23:00|매월 둘째, 넷째주 일요일 (  06/09, 06/23 )|하이마트;애플블럭&퍼즐;보용만두,기소야,야끼텐;롯데리아;NIX(닉스),dab,더시크엠,더이스트샵,디어베이비,런던포그,마레몬테,미센스,수스,알퐁소,에어워크,잼플라워,체이스컬트,클라이드앤,필모아;LG화장품,네이처리퍼블릭,데페이스샆,미샤,비욘드,아모레퍼시픽,이니스프리;헤어현태양,현태양헤어;약국;소아과/내과,스마일백치과;스팀세차
