NAME|BRANCH|ADDR|TELL|XCORD|YCORD
국수나무|파주운정산내점|경기 파주시 교하로 75 (목동동) 102호|031-946-3222|126.7336428|37.7242008|
국수나무|광주효천1가점|광주 남구 효천중앙로 52 (임암동) 108호|062-449-5425|126.8673959|35.1051671|
국수나무|양평휴게소점|경기 양평군 양동면 여양3로 384-27 (단석리) 양평휴게소 (상행성,여주방향)||127.7218903|37.3989372|
국수나무|전주중화산점|전북 전주시 완산구 화산천변3길 11 (중화산동2가)|063-225-3113|127.1150996|35.8203417|
국수나무|경산중산점|경북 경산시 펜타힐즈2로 45 (중산동) 힐즈스퀘어2차 102호|053-815-2235|128.7208948|35.8317569|
국수나무|광명역사점|경기 광명시 광명역로 26 (일직동, 광명역파크자이) 상가동 132호|02-897-0122|126.8803303|37.4173914|
국수나무|청주봉명점|충북 청주시 흥덕구 덕암로114번길 40 (봉명동, 아이타워빌딩) 105호|043-268-9288|127.4607083|36.650029|
국수나무|서산해미읍성점|충남 청양군 청양읍 칠갑산로열길 21-1 (읍내리) 1층|041-688-1117|126.8041502|36.4487405|
국수나무|안동옥동점|경북 안동시 복주5길 38 (옥동) 1층|054-843-7383|128.699036|36.565807|
국수나무|신정센트럴하임점|울산 남구 대암로 14 (신정동) 116호|052-268-7132|129.3175715|35.530328|
국수나무|홈플러스유성점|대전 유성구 한밭대로 502 (봉명동, 홈플러스) 홈플러스 4층|042-825-6020|127.3542548|36.3584437|
국수나무|독산시티렉스점|서울 금천구 시흥대로 399 (독산동, 시티렉스) 1층 122호|02-809-9856|126.8970414|37.4693273|
국수나무|익산어양점|전북 익산시 하나로 423 (어양동, 공인중개사학원)|063-833-0099|126.9814558|35.9580804|
국수나무|전북부안점|전북 부안군 부안읍 진성길 20 (봉덕리)|063-582-9446|126.7390202|35.7250761|
국수나무|전남영암점|전남 영암군 영암읍 중앙로 30 (동무리)|061-472-9797|126.6974634|34.7990133|
국수나무|광주매곡점|광주 북구 매곡로 51 (매곡동)|062-412-7328|126.8939148|35.1895271|
국수나무|강원주문진점|강원 강릉시 주문진읍 주문로 78 (주문리)|033-662-9228|128.8306128|37.9014731|
국수나무|세종나성점|세종특별자치시 한누리대로 292 (나성동, 행복의아침) 1층 103호|044-862-0157|||
국수나무|구미확장단지점|경북 구미시 산동면 신당1로3길 17-7 (신당리) 105호|054-472-7972|128.432884|36.1518955|
국수나무|김해공항점|부산 강서구 공항진입로 108 (대저2동) 김해국제공항 국내선 (4번게이트 옆)|051-973-9515|||
국수나무|중계브라운스톤점|서울 노원구 동일로203가길 29 (중계동, 브라운스톤중계)|02-977-0705|127.0642707|37.6393876|
국수나무|평택고덕점|경기 평택시 경기대로 987 (장당동)|031-611-2227|127.0685947|37.0371244|
국수나무|김해삼계점|경남 김해시 해반천로168번길 10-9 (삼계동)|055-339-7477|128.8683755|35.2627056|
국수나무|창원팔용점|경남 창원시 의창구 팔용로 442 (팔용동, KB빌딩)  102호|055-292-1177|128.6138565|35.2557066|
국수나무|부산명지점|부산 강서구 명지오션시티4로 69 (명지동) 1층 102호|051-293-1003|128.903908|35.082848|
국수나무|대전복수점|대전 서구 복수남로12번길 44 (복수동)|042-585-0066|127.3810071|36.2992156|
국수나무|서산테크노밸리점|충남 서산시 성연면 성연3로 29 (일람리) 104호|041-668-3353|126.4417409|36.8082502|
국수나무|아산테크노점|충남 아산시 둔포면 아산밸리중앙로 82 (석곡리)  108호(G-PLACE 아산상가)|041-549-2345|127.0595972|36.9142745|
국수나무|아산신도시점|충남 아산시 배방읍 설화고길 6 (장재리)|041-542-1460|127.0912263|36.7893263|
국수나무|호평점|경기 남양주시 호평로 76-4 (호평동)|031-592-9485|127.2482504|37.6560742|
국수나무|화성반월점|경기 화성시 영통로61번길 11 (반월동, 골드프라자) 골드프라자107호|031-206-7252|127.061422|37.2346696|
국수나무|금천구청롯데캐슬점|서울 금천구 벚꽃로 40 (독산동, 금천롯데캐슬골드파크1차아파트) 113동 103,104호|02-803-7978|126.9075978|37.4705688|
국수나무|세종소담점|세종특별자치시 한누리대로 2018 (소담동, 사이언스타운) 1층 112호|044-868-2225|||
국수나무|세종도담점|세종특별자치시 보듬3로 6 (도담동, 라온프라이빗시티Ⅱ)  1층 117호|044-862-9945|||
국수나무|세종시청점|세종특별자치시 한누리대로 2150 (보람동, 스마트허브Ⅰ) 1층 101호|044-866-1506|127.2890354|36.4800984|
국수나무|대전가오점|대전 동구 은어송로 50 (가오동) 동경빌딩1층|042-283-3394|127.4553998|36.3055971|
국수나무|전주호성점|전북 전주시 덕진구 호성3길 19 (호성동1가, 진이비인후과)|063-244-2918|127.1506048|35.8603562|
국수나무|대전어은점|대전 유성구 어은로42번길 21-14 (어은동)|042-867-3617|127.3586174|36.3636944|
국수나무|당진이주단지점[휴점]|충남 당진시 송악읍 신복운로3길 23-1 (복운리, 본죽)|041-358-6888|126.7821221|36.940995|
국수나무|충주중앙점|충북 충주시 예성로 151 (성서동)|043-852-5484|127.9329649|36.9704778|
국수나무|대전가수원점|대전 서구 계백로 1141 (가수원동) 1층 101호|042-543-8088|127.3498762|36.3045659|
국수나무|왕십리뉴타운점|서울 성동구 왕십리로 410 (하왕십리동, 센트라스) B층 105호|02-2291-6300|127.109736|37.5137658|
국수나무|충북혁신도시점|충북 음성군 맹동면 대하로 277 (동성리)|043-878-1377|127.562718|36.9301367|
국수나무|대전죽동점|대전 유성구 죽동로298번길 80 (죽동)|070-4229-2022|127.3328339|36.3770612|
국수나무|충남서천점|충남 서천군 서천읍 사곡로 63 (사곡리) 1동 1호|041-953-8284|126.6901469|36.0840897|
국수나무|천안신방점|충남 천안시 동남구 신촌4로 34 (신방동, 금강빌딩)|041-552-3989|127.1251406|36.7891662|
국수나무|천안봉명점|충남 천안시 서북구 봉명로 26 (쌍용동)|041-571-9951|127.131274|36.8073074|
국수나무|천안백석점|충남 천안시 서북구 한들3로 83 (백석동)  101호|041-553-9293|127.1150607|36.8195724|
국수나무|대전녹원점|대전 서구 문정로9번길 29 (둔산동)  1층|042-489-1352|127.3799024|36.3463325|
국수나무|대전시청역점|대전 서구 둔산로 130 (둔산동, 대덕프라자)  104호|042-472-2260|127.3881494|36.3509516|
국수나무|전남나주병원점|전남 나주시 영산로 5422 (성북동, 한양타월인쇄)|061-336-7796|126.7214641|35.0355321|
국수나무|대전관저점|대전 서구 구봉로131번길 27 (관저동, 마치4)|042-545-9902|127.3427202|36.3003641|
국수나무|광주노대점|광주 남구 효우로 81 (노대동) 1층|062-676-9979|126.9046505|35.1061123|
국수나무|충주연수점|충북 충주시 갱고개로 156 (연수동)|043-853-6510|127.9397462|36.9847775|
국수나무|익산영등점|전북 익산시 고봉로34길 43 (영등동, 영등3차제일아파트) 아파트 상가 520동 107호|063-834-6336|126.9751108|35.9609663|
국수나무|대전건양대점|대전 서구 관저동로 162 (관저동, 건양프라자)  106호|042-541-5535|127.3412365|36.306608|
국수나무|전주하가점|전북 전주시 덕진구 가리내8길 19 (덕진동2가) 103호|063-277-1800|127.1097307|35.8432807|
국수나무|전주효자3가점|전북 전주시 완산구 홍산로 375 (효자동3가) 1층 103호|063-222-3691|127.1056437|35.8273118|
국수나무|전주서부신시가지점|전북 전주시 완산구 호암로 63 (효자동2가) 102호|063-223-5547|127.1017056|35.8092653|
국수나무|광주양산점|광주 북구 양산로 62 (양산동) 104호|062-574-4535|126.8810265|35.2099456|
국수나무|전남완도점|전남 완도군 완도읍 개포로130번길 20 (군내리)  B동 10호|061-552-0070|126.7455808|34.3167159|
국수나무|익산부송점|전북 익산시 부송1로 128 (부송동, 우리홈마트)|063-833-7780|126.9964513|35.9583266|
국수나무|청주가경점|충북 청주시 흥덕구 풍년로 16-25 (가경동, 디오스플라자)  101호|043-232-0906|127.4422071|36.6162352|
국수나무|대전반석점|대전 유성구 반석동로 54 (반석동, 쎈타프라자3) 1층 101호|042-826-6437|127.3118264|36.392169|
국수나무|천안시청점|충남 천안시 서북구 불당24로 38 (불당동, 지웰푸르지오) 상가동 지하2층 2호|041-522-2241|127.1010962|36.8126793|
국수나무|대전충남대점|대전 유성구 궁동로18번길 10 (궁동)  지상 1층|042-825-9008|127.3479399|36.3626506|
국수나무|천안불당점|충남 천안시 서북구 불당17길 23 (불당동, 크리스탈프라자)  104호|041-583-7001|127.1105038|36.809778|
국수나무|아산배방점|충남 아산시 배방읍 배방로 53 (공수리, 황금프라자) 1층|041-533-4862|127.0552368|36.7720827|
국수나무|충남당진점|충남 당진시 시청1로 80 (읍내동)|041-356-6888|126.6388326|36.8911707|
국수나무|대전테크노벨리점|대전 유성구 테크노4로 137 (관평동, 웰스피아)  107호|042-936-8897|127.3880186|36.4225516|
국수나무|여수학동점|전남 여수시 쌍봉로 51 (학동) 1층|061-691-8579|127.6616095|34.7667086|
국수나무|청주사창점|충북 청주시 서원구 사직대로 115 (사창동) 1층 103호|043-272-2752|127.460397|36.6351776|
국수나무|광주용봉점|광주 북구 비엔날레로 80 (용봉동)|062-526-5475|126.890477|35.1788612|
국수나무|충주터미널점|충북 충주시 봉계1길 33 (봉방동)|043-857-3300|127.9140964|36.9797008|
국수나무|광주수완점|광주 광산구 장신로 76 (장덕동) 1층 101호|062-951-4007|126.8183726|35.1904595|
국수나무|광주효천점|광주 남구 효우2로26번길 14 (행암동)  1층 103호|062-676-0777|126.8870136|35.0991512|
국수나무|나주남평점|전남 나주시 남평읍 강변2길 20-3 (동사리)  1층 104호|061-331-9779|126.8511724|35.0432842|
국수나무|광주선운점|광주 광산구 선운로 10 (선암동) 101호|062-943-2014|126.7783542|35.145817|
국수나무|광주화정점|광주 서구 화정로 130 (화정동, 영무메트로)|062-382-0153|126.8714497|35.1448098|
국수나무|광양몰오브점|전남 광양시 금호로 26 (금호동) 몰오브광양점 2층 211호|061-795-9442|127.7234638|34.9377667|
국수나무|전주동산점|전북 전주시 덕진구 편운로 22 (동산동)|063-214-7711|127.078711|35.8713531|
국수나무|광주학동점|광주 동구 남문로 690 (학동)|062-227-0522|126.929014|35.1321305|
국수나무|순천신대점|전남 순천시 해룡면 좌야로 135 (신대리, 중흥에스-클래스 6단지 메가타운) 클래스 6단지 메가타운1층109,110호|061-721-3101|127.5459786|34.9369434|
국수나무|군산수송점|전북 군산시 월명로 260 (수송동)|063-468-9060|126.7161575|35.9671598|
국수나무|순천금당점|전남 순천시 하대석길 41 (연향동) 1층|061-724-8885|127.5246354|34.9462121|
국수나무|광양중동점|전남 광양시 광장로 125 (중동, 광양시티프라자) A동 115호|061-795-3232|127.694278|34.9354206|
국수나무|여수여서점|전남 여수시 여서로 146 (여서동, 현대건설아파트)|061-655-6969|127.6983796|34.7484049|
국수나무|전주서신점|전북 전주시 완산구 서신로 113 (서신동) 동국빌딩  1층 102호|063-277-5335|127.1156245|35.8353712|
국수나무|광주신용점|광주 북구 첨단연신로91번길 6 (신용동)|062-571-9392|126.8630543|35.2136349|
국수나무|순천연향점|전남 순천시 연향번영길 102 (연향동, 양천회관) 1층|061-727-6848|127.5183454|34.9511309|
국수나무|전주송천점|전북 전주시 덕진구 솔내로 130 (송천동1가) 101호|063-275-3380|127.1269624|35.8615936|
국수나무|익산모현점|전북 익산시 고현로 93 (모현동1가, 동아서점 모현동점) 101호|063-917-0903|126.9431743|35.9455146|
국수나무|광주첨단LC타워점|광주 광산구 첨단중앙로 96 (월계동) 1층 124호|062-971-5999|126.8435034|35.2138736|
국수나무|전북무주점|전북 무주군 무주읍 당산강변로 188 (당산리)|063-322-1331|127.6614096|36.0045784|
국수나무|광주일곡점|광주 북구 설죽로 518-4 (일곡동) 두경빌딩 113호|062-576-9991|126.8987183|35.2049249|
국수나무|목포석현점|전남 목포시 텃골로13번길 51 (석현동)|061-281-8253|126.4196228|34.8182007|
국수나무|광주문흥점|광주 북구 서하로 374 (문흥동) 1층|062-251-1599|126.9209563|35.1856229|
국수나무|전북김제점|전북 김제시 도작로 110 (검산동)|063-548-5588|126.8999171|35.8043733|
국수나무|전주삼천점|전북 전주시 완산구 거마산1길 2 (삼천동1가, 세종카센터) 1층|070-4644-6626|127.1218714|35.7984084|
국수나무|광양용강점|전남 광양시 광양읍 용강로 47 (용강리)|061-761-8083|127.6081685|34.9731781|
국수나무|순천왕지법원점|전남 순천시 왕지로 12 (왕지동, 유신빌딩)|061-725-1510|127.5234204|34.9696155|
국수나무|전남고흥점|전남 고흥군 고흥읍 고흥로 1712-1 (남계리)|061-835-7789|127.2825332|34.606036|
국수나무|목포북항점|전남 목포시 청호로 176 (산정동, 쥬빌리 메디칼센터)|061-277-1588|126.3736483|34.8064656|
국수나무|광주쌍촌점|광주 서구 상일로42번길 4 (쌍촌동) 1층|062-382-7997|126.8636618|35.159151|
국수나무|광주풍암점|광주 서구 풍암1로 15 (풍암동) 1층|062-654-8544|126.8782156|35.1257362|
국수나무|군산나운점|전북 군산시 하나운로 37 (나운동) 1층|063-462-0080|126.700196|35.9621789|
국수나무|목포남악점|전남 무안군 삼향읍 남악3로82번길 7 (남악리, 제일파킹프라자) 113호|061-281-5669|126.4612994|34.8132997|
국수나무|광주신창점|광주 광산구 장신로 255 (신창동) 103호|062-954-9392|126.8382087|35.1908714|
국수나무|광주송정점|광주 광산구 광산로 92 (송정동) 1층|062-941-7709|126.8008787|35.1418208|
국수나무|전주혁신도시점|전북 완주군 이서면 출판로 40 (갈산리) 103호|0507-1410-1252|127.0570247|35.8366679|
국수나무|전주아중점|전북 전주시 덕진구 동가재미1길 25 (인후동1가)|063-241-1130|127.1637829|35.83271|
국수나무|광주봉선점|광주 남구 봉선로 169 (봉선동, 용연빌딩) A동 109호|062-652-9388|126.9135878|35.1233895|
국수나무|전남해남점|전남 해남군 해남읍 읍내길 20 (읍내리, 피낭시에) 1층 105호(정용빌딩)|061-537-9200|126.599269|34.5709313|
국수나무|광주진월점|광주 남구 서문대로 700 (진월동, 광동빌딩)|062-651-1149|126.8990395|35.121807|
국수나무|전북봉동점|전북 완주군 봉동읍 원둔산1길 42 (둔산리) 102호|063-261-3213|127.1269574|35.961081|
국수나무|전북남원점|전북 남원시 오들1길 21 (도통동)|063-635-8181|127.3986262|35.418189|
국수나무|광주금호점|광주 서구 풍금로151번길 10 (금호동) 1층|062-652-4001|126.858303|35.1309667|
국수나무|전남나주혁신점|전남 나주시 상야2길 16 (빛가람동, 토담휴로스 1차) 토담휴로스1차 108호|061-333-4333|126.7107572|35.0160601|
국수나무|광주상무점|광주 서구 치평로 116 (치평동, 월계수타운) 102호|062-371-3139|126.8478239|35.1576556|
국수나무|목포용해점|전남 목포시 포미로10번길 14 (용해동, 용해포미시장) 1층|061-277-9955|126.3989545|34.8166316|
국수나무|광주동림점|광주 서구 하남대로 654 (동천동) 1층|062-514-9392|126.8641331|35.1716701|
국수나무|순천신대CGV점|전남 순천시 해룡면 해광로 199 (신대리) 1층(신대메가박스 내)|061-723-3975|127.563376|34.935271|
국수나무|광주운암점|광주 북구 황계로55번길 2 (운암동)|062-515-2673|126.876209|35.1779292|
국수나무|전남화순점|전남 화순군 화순읍 중앙로 93 (만연리)|061-373-8475|126.9915535|35.0605658|
국수나무|여수엑스포점|전남 여수시 박람회길 46 (덕충동) 상가동 1층 103동|061-662-6654|127.7409726|34.7565036|
국수나무|포항문덕점|경북 포항시 남구 오천읍 원동로 80 (원리) 1층|054-292-3773|129.4029154|35.9697164|
국수나무|경북신도청점|경북 예천군 호명면 행복로 229 (산합리, 경북도청신도시우방아이유쉘센트럴) 상가동 110호|054-655-7437|128.4886265|36.5802428|
국수나무|창원성주점|경남 창원시 성산구 삼정자로43번길 8 (성주동, 성주빌딩) 성주빌딩 107호|055-262-9393|128.702731|35.1984062|
국수나무|부산오륙도점|부산 남구 오륙도로 85 (용호동, 오륙도 에스케이뷰 아파트) 오륙도에스케이뷰아파트 상가2-109|051-625-5222|129.115598|35.1155121|
국수나무|김해장유점|경남 김해시 능동로149번길 12 (부곡동) 탑프라자 103호|055-311-3897|128.7191065|35.304539|
국수나무|포항효자점|경북 포항시 남구 효성로 23 (효자동) 1층|054-286-7476|129.3367934|36.0056754|
국수나무|포항유강점|경북 포항시 남구 연일읍 유강길9번길 45 (유강리) 1층|054-277-9482|129.3154887|36.0043591|
국수나무|대구칠곡3지구점|대구 북구 학정로 416 (구암동) 1층5호|053-313-9060|128.5638227|35.9417739|
국수나무|대구성서점|대구 달서구 이곡동로 17 (이곡동) 1층 104호|053-592-0007|128.509357|35.8541471|
국수나무|대구세천서재점|대구 달성군 다사읍 세천로 161 (세천리) 107호(프라임시티)|053-588-0177|128.4804513|35.8773662|
국수나무|시민회관이즈팰리스점|부산 동구 조방로26번길 7 (범일동, 범일역 이즈팰리스 베스트) 102동 104호|051-636-9995|129.0625762|35.1395896|
국수나무|울산강동산하점|울산 북구 산하중앙1로 125 (산하동)  102호(강산프라자)|052-293-7525|129.4399504|35.6353802|
국수나무|진해용원점|경남 창원시 진해구 안청남로 38-1 (안골동, 대신학원)|055-544-9111|128.8067048|35.1005109|
국수나무|거제하나로마트점|경남 거제시 거제중앙로 1726 (상동동) 지하1층(거제농수산물종합유통센터)|055-633-5344|128.6326898|34.874147|
국수나무|대구만촌이마트점|대구 수성구 동원로 135 (만촌동, 메트로팔레스1단지아파트)  메트로팔레스상가 122-105|053-744-4450|128.6347799|35.8700747|
국수나무|울산옥동점|울산 남구 문수로327번길 8 (옥동)|052-260-4415|129.2894951|35.5361213|
국수나무|울산야음점|울산 남구 신선로 81 (야음동)|052-937-1377|129.3213238|35.5220021|
국수나무|사천사남점|경남 사천시 사남면 조동길 61 (월성리, 사천 푸르지오) 116동 116,117호(사천푸르지오아파트)|055-852-4335|128.0647036|35.0618954|
국수나무|진주평거점|경남 진주시 남강로309번길 44 (평거동)|055-748-8234|128.0654304|35.1738147|
국수나무|울산남목점|울산 동구 옥류로 12 (동부동)|052-251-8290|129.4267463|35.5401672|
국수나무|울산삼산점|울산 남구 남중로 127 (삼산동) 1층|052-257-0906|129.3481445|35.5458349|
국수나무|정읍신태인점|전북 정읍시 신태인읍 신태인1길 107 (신태인리, 구세약국)|063-571-5657|126.8869748|35.6885584|
국수나무|대구읍내점|대구 북구 칠곡중앙대로 450 (읍내동) 1동 103호|053-322-9800|128.5494398|35.9358811|
국수나무|남창원하나로마트점|경남 창원시 성산구 가음로 100 (가음동) 농협농수산물유통센타1층|055-213-8677|128.7031665|35.2039784|
국수나무|경남남해점|경남 남해군 남해읍 망운로10번길 4 (북변리, 남해동양셈스쿨) 2층|055-864-9989|127.8932126|34.8384039|
국수나무|칠곡석적점|경북 칠곡군 석적읍 유학로 12 (중리)|054-977-9495|128.4114626|36.0794666|
국수나무|김해진영점|경남 김해시 진영읍 김해대로407번길 8-13 (진영리) 101호|055-345-9490|128.7341864|35.3073651|
국수나무|사천읍내점|경남 사천시 사천읍 읍내로 118 (선인리)|055-852-4008|128.0967414|35.0796498|
국수나무|용지호수공원점|경남 창원시 의창구 용지로169번길 13 (용호동, 라이크빌-1) 라이크빌I층104-1호|055-263-4609|128.6809395|35.2304347|
국수나무|대구팔거역점|대구 북구 동천로23길 30-21 (동천동) 107호|053-241-8282|128.5573681|35.9438879|
국수나무|영주가흥택지점|경북 영주시 대학로 225 (가흥동)|054-635-6020|128.6046267|36.815708|
국수나무|울산구영점|울산 울주군 범서읍 점촌2길 5 (구영리) 황금프라자102호|052-212-3239|129.2402659|35.575358|
국수나무|울산달동점|울산 남구 삼산로156번길 5-32 (달동, 달동현대2차아파트) 1층 101호,102호|052-260-6660|129.3262553|35.5361426|
국수나무|거제수월점|경남 거제시 수양로 448-13 (수월동) 101호|055-636-0344|128.6423609|34.891645|
국수나무|함안점|경남 함안군 가야읍 성내남길 7-4 (도항리)|055-589-9909|128.3993591|35.2747166|
국수나무|울산천상점|울산 울주군 범서읍 천상길 17 (천상리) 102호|052-212-9993|129.229867|35.561651|
국수나무|대구월배점|대구 달서구 진천로 117 (대천동, 월배이타운) 110호|053-641-7766|128.5213818|35.8189745|
국수나무|대구시지점|대구 수성구 고산로18길 3 (신매동, 세흥빌딩) 103호|053-795-3553|128.7050312|35.839279|
국수나무|진주금산점|경남 진주시 금산면 중천로 80 (장사리) 106호(청솔빌딩)|055-752-5990|128.1457592|35.2176265|
국수나무|대구동호점|대구 동구 동호로5길 8 (신서동) 102호|053-285-6588|128.7257712|35.8670539|
국수나무|양산석산점|경남 양산시 동면 금오16길 18 (석산리) 1층|055-366-7990|129.0273196|35.3175979|
국수나무|마산야구장점|경남 창원시 마산합포구 산호북17길 7 (산호동)|055-243-0111|128.5837157|35.2207169|
국수나무|울산무거옥현점|울산 남구 옥현로 75 (무거동) 1층|052-221-2844|129.2613109|35.5431846|
국수나무|대구지산범물점|대구 수성구 지범로39길 11-5 (범물동) 1층 102호|053-782-8849|128.6415474|35.8206421|
국수나무|울산우정혁신점|울산 중구 종가1길 6 (유곡동) 1층|052-245-5200|129.2963963|35.562333|
