##NAME|SUBNAME|TELNUM|ADDR|NEWADDR|FEAT@@르노삼성자동차서비스
르노삼성자동차지정정비센터|대명정비|054-635-5588|경북 영주시 휴천1동 1891|경북 영주시 구성로88번길 10-3 (휴천동)|General-ASC센터
르노삼성자동차서비스|포항정비사업소|054-286-1800|경북 포항시 남구 연일읍 오천리  166-6|경북 포항시 남구 연일읍 동문로 88|ESC센터
르노삼성자동차서비스|하원1급정비공장|054-331-2222|경북 영천시 금호읍 원제리 106-4|경북 영천시 금호읍 고수골길 26|General-ASC센터
르노삼성자동차서비스|부산/밧데리|054-787-2992|경북 울진군 후포면 삼율리  555-17|경북 울진군 후포면 후포삼율로 200|General-ASC코너
르노삼성자동차서비스|상산자동차공업사|054-531-1177|경북 상주시 외답동 275-1|경북 상주시 외답6길 6 (외답동)|General-ASC센터
르노삼성자동차지정정비코너|옥동점|054-841-7414|경북 안동시 옥동  619-9|경북 안동시 광명로 206-7 (옥동)|Premium-ASC코너
르노삼성자동차지정정비코너|용상점|054-821-3533|경북 안동시 용상동  1038-1|경북 안동시 경동로 988 (용상동)|General-ASC코너
르노삼성자동차지정정비코너|울진북면점|054-782-5693|경북 울진군 북면 부구리 403-7|경북 울진군 북면 울진북로 2035|General-ASC코너
르노삼성자동차지정정비코너|의성점|054-834-5551|경북 의성군 의성읍 후죽리  368-7|경북 의성군 의성읍 북부길 40|General-ASC코너
르노삼성자동차지정정비코너|인동점|054-472-4233|경북 구미시 황상동  341-1|경북 구미시 수출대로 524 (황상동)|ESC코너
르노삼성자동차서비스|강구종합정비공장|054-733-3364|경북 영덕군 강구면 삼사리 71-1|경북 영덕군 강구면 동해대로 4404-4|General-ASC센터
르노삼성자동차서비스|그린1급자동차정비공장|054-431-7200|경북 김천시 덕곡동  972 외 1필|경북 김천시 영남대로 2078 (덕곡동) 외1필|General-ASC센터
르노삼성자동차서비스|뉴그린자동차정비공장|054-858-7777|경북 안동시 수상동 222-3|경북 안동시 강남로 76 (수상동)|General-ASC센터
르노삼성자동차|시지경산사업소|053-817-3000|경북 경산시 압량면  부적3리 254|경북 경산시 압량면 대학로405|ESC센터
르노삼성자동차|구미정비사업소|054-461-7777|경북 구미시 광평동  58-1|경북 구미시 수출대로 12 (광평동)|ESC센터
르노삼성자동차지정정비코너고령점|애니카랜드|054-956-4568|경북 고령군 고령읍 지산리  31-3번지|경북 고령군 고령읍 지산길 20|General-ASC코너
르노삼성자동차지정정비코너|봉화점|054-672-7922|경북 봉화군 봉화읍 내성리  200-4|경북 봉화군 봉화읍 내성로 50-3|General-ASC코너
르노삼성자동차지정정비코너성주점|애니카랜드|054-933-5109|경북 성주군 성주읍 금산리 234-5번지|경북 성주군 성주읍 주천로 69|General-ASC코너
르노삼성자동차지정정비코너|왜관점|054-973-1230|경북 칠곡군 왜관읍 왜관리  273-56|경북 칠곡군 왜관읍 관문로 11|General-ASC코너
르노삼성자동차서비스|예인상사|054-634-5218|경북 영주시 휴천동  318-5|경북 영주시 대학로 20 (휴천동)|General-ASC코너
르노삼성자동차서비스|오토카24센터|054-382-7660|경북 군위군 군위읍 금구리 785-3|경북 군위군 군위읍 경북대로 3399|General-ASC코너
르노삼성자동차서비스|자동차나라|054-761-5252|경북 경주시 안강읍 산대리 2416-3|경북 경주시 안강읍 산대리 구부랑길 27|General-ASC코너
르노삼성자동차서비스코너|장성점|054-246-3993|경북 포항시 북구 장성동  1447-14|경북 포항시 북구 새천년대로 1329 (장성동)|ESC코너
르노삼성자동차서비스코너|경주점|054-745-3309|경북 경주시 용강동  1310|경북 경주시 소금강로61번길 81 (용강동)|ESC코너
르노삼성자동차지정정비코너|청도점|054-371-1993|경북 청도군 화양읍 범곡리  414-3|경북 청도군 화양읍 범곡길 1|General-ASC코너
르노삼성자동차지정정비코너|항구점|054-243-3331|경북 포항시 북구 항구동  99-2|경북 포항시 북구 선착로77번길 11-1 (항구동)|General-ASC코너
르노삼성자동차지정정비코너|형곡점|054-451-3464|경북 구미시 형곡동  175-16|경북 구미시 새마을로 30 (형곡동)|Premium-ASC코너
르노삼성자동차서비스|르노상성자동차지정정비코너/영주점|054-631-4146|경북 영주시 휴천3동  663-10|경북 영주시 대동로 211-1 (휴천동)|General-ASC코너
르노삼성자동차서비스코너|포항점|054-274-3334|경북 포항시 남구 효자동  126-3|경북 포항시 남구 새천년대로 339|ESC코너
르노삼성자동차지정정비코너|김천점|054-432-9876|경북 김천시 신음동 494-6|경북 김천시 시청로 131 (신음동)|General-ASC코너
르노삼성자동차지정정비코너|도량점|054-444-7273|경북 구미시 도량동  559-7|경북 구미시 야은로 438 (도량동)|General-ASC코너
르노삼성자동차지정정비코너|문경점|054-554-1551|경북 문경시 흥덕동 353-4|경북 문경시 중앙로 238 (흥덕동)|General-ASC코너
르노삼성자동차지정정비코너|성건점|054-741-1221|경북 경주시 성건동  445-1|경북 경주시 북성로 4-3|Premium-ASC코너
르노삼성자동차서비스|두성자동차/정비공장|054-773-8112|경북 경주시 용강동 732-1|경북 경주시 유림로13번길 156 (용강동)|General-ASC센터
르노삼성자동차서비스|울릉종합자동차정비|054-791-1231|경북 울릉군 울릉읍 저동리 169|경북 울릉군 울릉읍 저동4길 33-12|General-ASC센터
르노삼성자동차서비스코너|경산삼북점|053-290-1500|경북 경산시 삼북동 200|경북 경산시 장산로 110 (삼북동)|General-ASC코너
르노삼성자동차서비스|수원사업소|031-218-3333|경기 수원시 영통구 원천동  318-1|경기 수원시 영통구 삼성로 300 (원천동)|직영센터
르노삼성자동차서비스|시화정비센터|031-488-8877|경기 시흥시 정왕동  1366-2|경기 시흥시 마유로238번길 10 (정왕동)|General-ASC센터
르노삼성자동차서비스코너|상동점|032-327-3332|경기 부천시 원미구 상동   499-30|경기 부천시 원미구 평천로 621 (상동)|ESC코너
르노삼성자동차|평촌정비사업소|031-421-7100|경기 안양시 동안구 관양동 736-7|경기 안양시 동안구 부림로 202 (관양동)|ESC센터
르노삼성자동차서비스코너|와동점|031-486-1771|경기 안산시 단원구 와동  848번지|경기 안산시 단원구 화정로 88 (와동)|ESC코너
르노삼성자동차서비스센터|공도정비사업소|031-653-3007|경기 안성시 공도읍 승두리 598-92|경기 안성시 공도읍 원승두길 10|ESC센터
르노삼성자동차지정정비코너|반월점|031-202-9984|경기 화성시 반월동 102-9|경기 화성시 삼성1로 332-9 (반월동)|ESC코너
르노삼성자동차지정정비코너|백현점|031-706-5102|경기 성남시 분당구 백현동  409|경기 성남시 분당구 대왕판교로 397 (백현동)|General-ASC코너
르노삼성자동차지정정비코너|양주점|031-858-6110|경기 양주시 광사동 279-2|경기 양주시 부흥로1907번길 178 (광사동)|Premium-ASC코너
르노삼성자동차지정정비코너|인계점|031-225-8101|경기 수원시 팔달구 인계동  1130-7|경기 수원시 팔달구 권광로134번길 39 (인계동)|Premium-ASC코너
르노삼성자동차서비스|비사업소|031-911-9845|경기 고양시 일산서구 법곳동  239-1|경기 고양시 일산서구 법곳길115번길 82-25 (법곳동)|ESC센터
르노삼성자동차서비스|중산자동차|031-977-4733|경기 고양시 일산동구 성석동 1526-10|경기 고양시 일산동구 고봉로531번길 29 (성석동)|General-ASC센터
르노삼성자동차서비스코너|사동점|031-416-5195|경기 안산시 상록구 사동 1497-1,2호|경기 안산시 상록구 선진6길 8, 2호 (사동)|General-ASC코너
르노삼성자동차|여주정비센터|031-884-5802|경기 여주시 창동 215-6|경기 여주시 영릉로 42 (창동)|General-ASC센터
르노삼성자동차|원천점|031-216-7878|경기 수원시 영통구 원천동 198-6|경기 수원시 영통구 중부대로 396 (원천동)|General-ASC코너
르노삼성자동차서비스|별내점|031-573-3628|경기 남양주시 별내동  625-7 번지|경기 남양주시 불암로109번길 39  (별내동)|General-ASC코너
르노삼성자동차지정정비센터|마석정비|031-593-9696|경기 남양주시 화도읍 마석우리  105-1|경기 남양주시 화도읍 소래비로 14|General-ASC센터
르노삼성자동차서비스코너|소사점|032-347-3030|경기 부천시 소사본동 52|경기 부천시 경인로 365 (소사본동)|ESC코너
르노삼성자동차지정정비코너|이천점|031-635-5033|경기 이천시 창전동 461-22|경기 이천시 애련정로 105 (창전동)|General-ASC코너
르노삼성자동차서비스|정비센터|031-962-3511|경기 고양시 덕양구 주교동 584-1|경기 고양시 덕양구 마상로114번길 25 (주교동)|General-ASC센터
르노삼성자동차서비스코너|김포양곡점|031-985-6122|경기 김포시 양촌읍 양곡리 83-2|경기 김포시 양촌읍 양곡로 362|ESC코너
르노삼성자동차지정정비코너|삼성로점|031-214-3316|경기 수원시 영통구 원천동 321-3|경기 수원시 영통구 삼성로 301 (원천동)|ESC코너
르노삼성자동차서비스코너|삼미점|031-377-0052|경기 오산시 외삼미동 289-58|경기 오산시 북삼미로 189 (외삼미동)|ESC코너
르노삼성자동차서비스코너|소하점|02-894-1500|경기 광명시 소하동 49-7|경기 광명시 하안로 178 (소하동)|ESC코너
르노삼성자동차서비스코너|금오점|031-845-3030|경기 의정부시 신곡동 756-1번지|경기 의정부시 추동로91번길 20 (신곡동)|ESC코너
르노삼성자동차지정정비코너|다산점|031-555-7030|경기 남양주시 가운동 679-2|경기 남양주시 가운로2길 65 (가운동)|General-ASC코너
르노삼성자동차|용인정비사업소|031-322-6833|경기 용인시 처인구 마평동  520|경기 용인시 처인구 금학로 521 (마평동)|ESC센터
르노삼성자동차지정정비코너|대야점|031-312-6150|경기 시흥시 대야동  289-25|경기 시흥시 서해안로1661번길 14 (대야동)|General-ASC코너
르노삼성자동차서비스|수원정비사업소|031-268-3333|경기 수원시 장안구 이목동 403-1|경기 수원시 장안구 천천로 235 (이목동)|ESC센터
르노삼성자동차|경기광주정비사업소|031-797-0300|경기 광주시 곤지암읍 수양리 281-2|경기 광주시 곤지암읍 경충대로184번길 7-5|ESC센터
르노삼성자동차지정정비코너|죽전점|031-282-9990|경기 용인시 수지구 죽전1동  1178-4|경기 용인시 수지구 현암로 133 (죽전동)|Premium-ASC코너
르노삼성자동차서비스|성정왕점|031-433-8259|경기 시흥시 정왕동 1398-3|경기 시흥시 역전로 27 (정왕동)|General-ASC코너
르노삼성자동차서비스|비사업소|031-391-0003|경기 군포시 당정동   447-7|경기 군포시 고산로 138 (당정동)|ESC센터
르노삼성자동차지정정비코너|유림점|031-321-8918|경기 용인시 처인구 유방동 493번지|경기 용인시 처인구 백옥대로 1289-3 (유방동)|General-ASC코너
르노삼성자동차지정정비센터|포천정비|031-544-5022|경기 포천시 동교동 75-1|경기 포천시 화합로 305 (동교동)|General-ASC센터
르노삼성자동차지정정비센터|파주정비|031-953-6140~1|경기 파주시 파주읍 봉암리 443-20|경기도 파주시 파주읍 샛봉우재길 20-12|General-ASC센터
르노삼성자동차서비스|부천정비센터|032-678-3727|경기 부천시 오정구 내동  157|경기 부천시 오정구 옥산로 293 (내동)|Premium-ASC센터
르노삼성자동차지정정비코너|안성점|031-676-7732|경기 안성시 대덕면 건지리 347-2|경기 안성시 대덕면 중앙로 63|Premium-ASC코너
르노삼성자동차지정정비코너|안중점|031-681-8224|경기 평택시 안중읍 현화리  640-6|경기 평택시 안중읍 서동대로 1466|General-ASC코너
르노삼성자동차지정정비코너|영화점|031-254-4062|경기 수원시 장안구 영화동  425-13|경기 수원시 장안구 팔달로199번길 41-5 (영화동)|General-ASC코너
르노삼성자동차지정정비코너|왕곡점|031-429-9983|경기 의왕시 왕곡동  596-2|경기 의왕시 사천1길 4 (왕곡동)|General-ASC코너
르노삼성자동차지정정비코너|원동점|031-373-7629|경기 오산시 원동  766-1|경기 오산시 대원로 50 (원동)|General-ASC코너
르노삼성자동차서비스|경오자동차공업사|031-372-8556|경기 오산시 오산동  782-1|경기 오산시 오산로 123-23 (오산동)|General-ASC센터
르노삼성자동차서비스|비사업소|031-726-9800|경기 광주시 오포읍 신현리  696-24|경기 광주시 오포읍 신현로 60|ESC센터
르노삼성자동차|남분당정비사업소|031-262-8855|경기 용인시 기흥구 보정동 375-16|경기 용인시 기흥구 용구대로2469번길 164 (보정동)|ESC센터
르노삼성자동차서비스|영통정비사업소|031-217-8101|경기 수원시 영통구 매탄4동 296-4|경기 수원시 영통구 매영로 142 (매탄동)|ESC센터
르노삼성자동차지정정비코너|안녕점|031-222-5354|경기 화성시 안녕동 188-547|경기 화성시 효행로 472 (안녕동)|General-ASC코너
르노삼성자동차서비스코너|파주교하점|031-957-0299|경기 파주시 교하읍 당하리 230-20|경기 파주시 파주로 584 (당하동)|ESC코너
르노삼성자동차지정정비코너|우만점|031-213-0021|경기 수원시 팔달구 우만동 549-6|경기 수원시 팔달구 팔달문로130번길 30 (우만동)|General-ASC코너
르노삼성자동차서비스코너|초지점|031-507-3500|경기 안산시 단원구 초지동 743-5 101 ~ 105호|경기 안산시 단원구 원포공원1로 49 (초지동)|General-ASC코너
르노삼성자동차서비스코너|파주금촌점|031-949-3310|경기 파주시 금촌동   469-6|경기 파주시 강천길 88|ESC코너
르노삼성자동차|안양정비사업소|031-442-3000|경기 안양시 안양6동  538-4|경기 안양시 만안구 만안로 100 (안양동)|ESC센터
르노삼성자동차서비스코너|야탑점|031-707-3044|경기 성남시 분당구 야탑동  532-5 굿모닝 프라자 108호|경기 성남시 분당구 판교로 475, 굿모닝프라자2차 108호 (야탑동)|General-ASC코너
르노삼성자동차|장호원점|031-642-5757|경기 이천시 장호원읍 진암리  561-73|경기 이천시 장호원읍 서동대로 8780-4|General-ASC코너
르노삼성자동차지정정비코너|교문점|031-553-3334|경기 구리시 교문동  404번지|경기 구리시 아차산로413번길 8 (교문동)|ESC코너
르노삼성자동차지정정비코너|영통점|031-204-3077|경기 수원시 영통구 망포동   19-1 번지    (영통동)|경기 수원시 영통구  덕영대로 1493 ,(영통동) (망포동)|Premium-ASC코너
르노삼성자동차서비스코너|오산점|031-377-0175|경기 오산시 오산동  62-1|경기 오산시 경기대로 346  (오산동)|ESC코너
르노삼성자동차서비스|우리자동차정비|031-409-0025|경기 안산시 상록구 사동  1488-1|경기 안산시 상록구 선진3길 4 (사동)|Premium-ASC센터
르노삼성자동차서비스|일산지점|031-901-3997|경기 고양시 일산동구 백석동  1316-2|경기 고양시 일산동구 경의로 29 (백석동)|직영코너
르노삼성자동차서비스|장안공업사|031-653-5000|경기 평택시 세교동  406-5|경기 평택시 평택로 299 (세교동)|General-ASC센터
르노삼성자동차서비스|중원자동차공업사|031-757-7656|경기 성남시 중원구 하대원동  110|경기 성남시 중원구 둔촌대로 156 (하대원동)|Premium-ASC센터
르노삼성자동차서비스코너|경기광주점|031-798-5500|경기 광주시 경안동  20-80|경기 광주시 광주대로 48 (경안동)|ESC코너
르노삼성자동차서비스코너|동탄점|031-613-9146|경기 화성시 능동   1093-13 번지    (능동)|경기 화성시  여울로4길 48 ,(능동) (능동)|ESC코너
르노삼성자동차지정정비코너|중동점|032-672-8100|경기 부천시 원미구 춘의동  143-3|경기 부천시 원미구 길주로 367 (춘의동)|General-ASC코너
르노삼성자동차지정정비코너|탑동점|031-294-4071|경기 수원시 권선구 탑동 814-3|경기 수원시 권선구 상탑로 8 (탑동)|General-ASC코너
르노삼성자동차지정정비코너|풍동점|031-905-9955|경기 고양시 일산동구 풍동  638-1|경기 고양시 일산동구 고양대로 896 (풍동)|General-ASC코너
르노삼성자동차지정정비코너|일산마두점|031-901-4324|경기 고양시 일산동구 마두동  901-3|경기 고양시 일산동구 일산로286번길 25-1 (마두동)|Premium-ASC코너
르노삼성자동차지정정비코너|전곡점|031-832-5222|경기 연천군 전곡읍 전곡리  86-3|경기 연천군 전곡읍 평화로 479-1|Premium-ASC코너
르노삼성자동차서비스|명성자동차공업사|031-774-6291~3|경기 양평군 양평읍 도곡리  573-7|경기 양평군 양평읍 중앙로 348|General-ASC센터
르노삼성자동차지정정비코너|수지점|031-266-2020|경기 용인시 수지구 풍덕천동  1150-2|경기 용인시 수지구 진산로 15 (풍덕천동)|General-ASC코너
르노삼성자동차지정정비센터|진접정비|031-574-3636|경기 남양주시 진접읍 내각리 91-4|경기 남양주시 진접읍 금강로유연들1길 82|Premium-ASC센터
르노삼성자동차지정정비센터|구리정비|031-562-1001|경기 구리시 교문동  202-2|경기 구리시 아차산로506번길 21 (교문동)|Premium-ASC센터
르노삼성자동차지정정비코너|과천점|02-503-2277|경기 과천시 과천동  464|경기 과천시 양지마을1로 1 (과천동)|Premium-ASC코너
르노삼성자동차지정정비코너|관양점|031-422-2171|경기 안양시 동안구 관양동  1433-6|경기 안양시 동안구 관악대로 393 (관양동)|Premium-ASC코너
르노삼성자동차서비스코너|덕양화정점|031-978-7799|경기 고양시 덕양구 화정동  1146-2|경기 고양시 덕양구 성신로 6-23 (화정동)|ESC코너
르노삼성자동차지정정비코너|무송점|031-355-5370|경기 화성시 무송동  305-2|경기 화성시 무하로 44 (무송동)|General-ASC코너
르노삼성자동차지정정비코너|신읍점|031-532-1335|경기 포천시 신북면 가채리 797-4|경기 포천시 신북면 중앙로 235|General-ASC코너
르노삼성자동차지정정비코너|분당정자점|031-715-5109|경기 성남시 분당구 정자동  87|경기 성남시 분당구 느티로51번길 4-14 (정자동)|Premium-ASC코너
르노삼성자동차지정정비코너|산본점|031-398-2610|경기 군포시 산본동  75|경기 군포시 산본천로217번길 80 (산본동)|Premium-ASC코너
르노삼성자동차서비스코너|상하점|031-282-5001|경기 용인시 기흥구 상하동 251|경기 용인시 기흥구 중부대로773번길 4 (상하동)|Premium-ASC코너
르노삼성자동차지정정비코너|생연점|031-868-7666|경기 동두천시 생연동  743-3|경기 동두천시 평화로2349번길 8-20 (생연동)|General-ASC코너
르노삼성자동차지정정비코너|송탄점|031-667-3599|경기 평택시 서정동  865-16|경기 평택시 송탄로 238 (서정동)|ESC코너
르노삼성자동차지정정비코너|세교점|031-658-3361|경기 평택시 세교동  434-8|경기 평택시 경기대로 660 (세교동)|Premium-ASC코너
르노삼성자동차지정정비코너|신곡점|031-844-0054|경기 의정부시 신곡동  708-12|경기 의정부시 신곡로 72 (신곡동)|ESC코너
르노삼성자동차서비스코너|삼송점|02-381-1121|경기 고양시 덕양구 지축동 724-7|경기 고양시 덕양구 삼송로 287-2 (지축동)|ESC코너
르노삼성자동차지정정비코너|덕이점|031-921-3330|경기 고양시 일산서구 덕이동 261|경기 고양시 일산서구 경의로 835-10 (덕이동)|General-ASC코너
르노삼성자동차지정정비코너|서초점|02-598-3002|서울 서초구  반포대로 22길 4|서울 서초구 반포대로22길 4|ESC코너
르노삼성자동차서비스|성수사업소|02-3409-3333|서울 성동구 성수동 2가  277-1|서울 성동구 광나루로 270 (성수동2가)|직영센터
르노삼성자동차서비스|서부사업소|02-2632-3003|서울 금천구 가산동 RSM타워 1층|서울 금천구 가산디지털2로 30 (가산동)|직영센터
르노삼성자동차지정정비코너|묵동점|02-975-4646|서울 중랑구 묵동  233-56 1층|서울 중랑구 중랑천로 346, 1층 (묵동)|General-ASC코너
르노삼성자동차지정정비코너|오금점|02-430-7273|서울 송파구 오금동   64-6|서울 송파구 동남로23길 34 (오금동)|General-ASC코너
르노삼성자동차지정정비코너|성수점|02-462-4358|서울 성동구 성수동2가  278-17|서울 성동구 아차산로11길 38 (성수동2가)|Premium-ASC코너
르노삼성자동차서비스|비스센터|02-3664-2600|서울 강서구 등촌동 629-6|서울특별시 강서구 양천로 530 (등촌동)|General-ASC센터
르노삼성자동차지정정비코너|공항점|02-2663-9996|서울 강서구 공항동  61-245 번지|서울강서구남부순환로9길1(공항동)|General-ASC코너
르노삼성자동차지정정비코너|월계점|02-943-6223|서울 노원구 월계동   66-2 번지    (월계동)|서울 노원구  석계로 34 ,(월계동) (월계동)|General-ASC코너
르노삼성자동차서비스|주승서울송파오토디자인|02-2203-0575|서울 송파구 삼전동 104~133 128번지|서울 송파구 삼학사로19길 9 (삼전동)|General-ASC센터
르노삼성자동차지정정비코너|양평점|02-2653-3365|서울 영등포구 당산동 3가 555-2|서울 영등포구 선유동1로 42 (당산동3가)|Premium-ASC코너
르노삼성자동차서비스코너|잠실점|02-418-3066|서울 송파구 방이동  40-1|서울 송파구 올림픽로 370 (방이동)|ESC코너
르노삼성자동차서비스코너|동자서비스코너/답십리점|02-2242-1134|서울 동대문구 답십리동 1-333 1층|서울 동대문구 한천로 137 (답십리동)|General-ASC코너
르노삼성자동차지정정비센터|강동정비|02-482-6200|서울 강동구 길동  228-4|서울 강동구 천호대로 1189 (길동)|Premium-ASC센터
르노삼성자동차지정정비코너|동작상도점|02-814-6637|서울 동작구 상도동  498 15통 5반|서울 동작구 상도로 396, 15통 5반 (상도동)|Premium-ASC코너
르노삼성자동차서비스코너|갈현점|02-384-3837|서울 은평구 갈현동 1-4|서울 은평구 통일로 953 (갈현동)|General-ASC코너
르노삼성자동차지정정비코너|망우점|02-435-5892|서울 중랑구 망우동 403-23 1층|서울 중랑구 용마산로 510, 1층 (망우동)|General-ASC코너
르노삼성자동차지정정비코너|쌍문점|02-990-5878|서울 도봉구 쌍문동  137-194|서울 도봉구 노해로 205|ESC코너
르노삼성자동차지정정비코너|양재점|02-577-1243|서울 서초구 양재동  263-3|서울 서초구 마방로 50 (양재동)|General-ASC코너
르노삼성자동차지정정비코너|여의도점|02-785-9662|서울 영등포구 여의도동   45-5 번지  메종리브르오피스텔 110호,111호|서울 영등포구  의사당대로1길 11 ,110호,111호 (여의도동, 메종리브르오피스텔)|General-ASC코너
르노삼성자동차지정정비코너|용강점|02-717-0666|서울 마포구 용강동  494-69|서울 마포구 대흥로 22 (용강동)|General-ASC코너
르노삼성자동차지정정비코너|응암점|02-352-1610|서울 은평구 응암동  409-39 및 55호|서울 은평구 응암로22길 23-1, 및 55호 (응암동)|General-ASC코너
르노삼성자동차지정정비센터|장안정비|02-2247-3366|서울 성동구 용답동 238-7|서울 성동구 가람길 267 (용답동)|Premium-ASC센터
르노삼성자동차서비스|영등포정비센터|02-2633-5400|서울 영등포구 문래동  1가 33|서울 영등포구 경인로90길 10 (문래동1가)|Premium-ASC센터
르노삼성자동차지정정비코너|공릉점|02-975-9515|서울 노원구 공릉1동  571-29|서울 노원구 섬밭로 58 (공릉동)|Premium-ASC코너
르노삼성자동차서비스|도봉사업소|02-954-3000|서울 도봉구 도봉동  58-7|서울 도봉구 도봉로180길 17 (도봉동)|직영센터
르노삼성자동차서비스|대원자동차공업사|02-434-0553|서울 중랑구 중화동  208|서울 중랑구 중랑역로 7 (중화동)|Premium-ASC센터
르노삼성자동차|송파잠실정비사업소|02-420-3030|서울 송파구 방이동  41-2|서울 송파구 백제고분로51길 29 (방이동)|ESC센터
르노삼성자동차지정정비코너|남가좌점|02-307-4498|서울 서대문구 남가좌동  329-33 번지|서울 서대문구 모래내로 245  (남가좌동)|General-ASC코너
르노삼성자동차서비스코너|양천신정점|02-2275-3000|서울 양천구 신정4동   978-16|서울 양천구 신월로 329 (신정동)|ESC코너
르노삼성자동차지정정비코너|중계점|02-937-7340|서울 노원구 중계동 413-11|서울 노원구 덕릉로 585 (중계동)|Premium-ASC코너
르노삼성자동차서비스코너|방배점|02-587-3575|서울 서초구 방배동  528-97|서울 서초구 효령로 33 (방배동)|ESC코너
르노삼성자동차지정정비코너|창전점|02-336-6882|서울 마포구 창전동  13-22|서울 마포구 서강로 84 (창전동)|General-ASC코너
르노삼성자동차지정정비코너|신월점|02-2693-0889|서울 양천구 신월동  138-1|서울 양천구 남부순환로 383 (신월동)|Premium-ASC코너
르노삼성자동차지정정비코너|천호점|02-3428-2700|서울 강동구 천호동 326-24|서울 강동구 천중로 11 (천호동)|General-ASC코너
