##NAME|SUBNAME|FEAT|ID|TELNUM|NEWADDR|XCOORD|YCOORD@@복지서비스
중앙동 주민센터||주민센터|4215052000|033-6404609|강원 강릉시 임당동 81-9 81-9|128.89496149439228|37.75474349538086
옥천동 주민센터||주민센터|4215054000|033-6404610|강원 강릉시 옥천동 327-2 327-2|128.9030905560246|37.760085978445645
성덕동 주민센터||주민센터|4215064500|033-6404619|강원 강릉시 입암동 599 599 성덕동주민센터|128.91375859261709|37.76350931612226
교1동 주민센터||주민센터|4215055000|033-6404611|강원 강릉시 하슬라로 173 1874-3|128.8744616914084|37.765542846611055
포남1동 주민센터||주민센터|4215057100|033-6404613|강원 강릉시 포남1동 1158-1 1158-1번지|128.908185583478|37.76795617659905
교2동 주민센터||주민센터|4215056000|033-6404612|강원 강릉시 율곡로 2974 723-5|128.89233959284303|37.767973964904904
포남2동 주민센터||주민센터|4215057200|033-6404514|강원 강릉시 하평2길 29 하평2길 29|128.91339921148892|37.77281180583963
송정동 주민센터||주민센터|4215059000|033-6404616|강원 강릉시 송정동 161 161번지(경강로2451)|128.92751658047263|37.77471482737052
경포동 주민센터||주민센터|4215066500|033-6404318|강원 강릉시 난곡동 88-3 88-3 경포동사무소|128.88065932905369|37.78388610369956
초당동 주민센터||주민센터|4215058000|033-6404615|강원 강릉시 초당순두부길 99 초당순두부길 99(초당동 2-2)|128.9159527355928|37.79188964656016
사천면 주민센터||주민센터|4215036000|033-6404606|강원 강릉시 사천면 미노리 383 383번지|128.8487642229853|37.82358847226183
연곡면 주민센터||주민센터|4215037000|033-6404607|강원 강릉시 연곡면 방내리 43-2 43-2 연곡면사무소(연주로35-8)|128.83685886888807|37.86007497261286
근로복지공단|강릉지사|근로복지공단||033-6409139|강원 강릉시 강릉대로 317 한국빌딩 3,4층  |128.90241917266962|37.76470552253748
국민건강보험|강릉지사|국민건강보험||033-6508100|강원 강릉시 송정길 1 |128.92990409096848|37.775749530951515
국민연금공단|강릉지사|국민연금공단||033-6409331|강원 강릉시 경강로2224번길 12 (포남동)|128.90722276121258|37.7619289363463
죽왕면 주민센터||주민센터|4282032000|033-6803883|강원 고성군 죽왕면 오호길 11 11|128.52552266971068|38.32881681215452
현내면 주민센터||주민센터|4282031000|033-6803863|강원 고성군 현내면 한나루로 67 67|128.42718905522824|38.494062073733026
토성면 주민센터||주민센터|4282033000|033-6803903|강원 고성군 토성면 천진1길 4 4|128.55859833179514|38.25719650459383
토성면 주민센터||주민센터|4282033000|033-6803903|강원 고성군 토성면 천진1길 4 4|128.55859833179514|38.25719650459383
죽왕면 주민센터||주민센터|4282032000|033-6803883|강원 고성군 죽왕면 오호길 11 11|128.52552266971068|38.32881681215452
현내면 주민센터||주민센터|4282031000|033-6803863|강원 고성군 현내면 한나루로 67 67|128.42718905522824|38.494062073733026
천곡동 주민센터||주민센터|4217051000|033-5302715|강원 동해시 천곡로 98-1 98-1 (천곡동)|129.1162425997383|37.52290499940848
국민건강보험|동해지사|국민건강보험||033-5309100|강원 동해시 한섬로 135 |129.1183509275563|37.52242757543836
부곡동 주민센터||주민센터|4217054000|033-5302743|강원 동해시 부곡동 86-3 부곡동86-3(부곡동주민센터)|129.1049557170636|37.53677798786069
동호동 주민센터||주민센터|4217055000|033-5302756|강원 동해시 동호동 발한동514-1(동호3길35) 동호동주민센터|129.10024560634136|37.5458234692889
발한동 주민센터||주민센터|4217057000|033-5302766|강원 동해시 발한동 239-1 발한동239-1(발한동주민센터)|129.10795050302826|37.548478720948765
송정동 주민센터||주민센터|4217052000|033-5302726|강원 동해시 동해항2길 25 송정동854-110(동해항2길25)송정동주민센터|129.12863570135832|37.499710711544566
묵호동 주민센터||주민센터|4217059000|033-5302772|강원 동해시 묵호진동 1-44 묵호진동1-44|129.11424790173834|37.55864285067388
북삼동 주민센터||주민센터|4217053000|033-5302734|강원 동해시 동회동 110 110(효자남길33-4)북삼동주민센터|129.10762393657825|37.489450418438246
북평동 주민센터||주민센터|4217060000|033-5302787|강원 동해시 북평동 127-1(대동로137)|129.12522311539783|37.48383082333829
삼화동 주민센터||주민센터|4217065000|033-5302806|강원 동해시 이로동 127-2 이로동127-2(효자로243-3)삼화동주민센터|129.06832717020094|37.490628083901306
북평동 주민센터||주민센터|4217060000|033-5302787|강원 동해시 북평동 127-1(대동로137)|129.12522311539783|37.48383082333829
북삼동 주민센터||주민센터|4217053000|033-5302734|강원 동해시 동회동 110 110(효자남길33-4)북삼동주민센터|129.10762393657825|37.489450418438246
삼화동 주민센터||주민센터|4217065000|033-5302806|강원 동해시 이로동 127-2 이로동127-2(효자로243-3)삼화동주민센터|129.06832717020094|37.490628083901306
송정동 주민센터||주민센터|4217052000|033-5302726|강원 동해시 동해항2길 25 송정동854-110(동해항2길25)송정동주민센터|129.12863570135832|37.499710711544566
천곡동 주민센터||주민센터|4217051000|033-5302715|강원 동해시 천곡로 98-1 98-1 (천곡동)|129.1162425997383|37.52290499940848
부곡동 주민센터||주민센터|4217054000|033-5302743|강원 동해시 부곡동 86-3 부곡동86-3(부곡동주민센터)|129.1049557170636|37.53677798786069
동호동 주민센터||주민센터|4217055000|033-5302756|강원 동해시 동호동 발한동514-1(동호3길35) 동호동주민센터|129.10024560634136|37.5458234692889
발한동 주민센터||주민센터|4217057000|033-5302766|강원 동해시 발한동 239-1 발한동239-1(발한동주민센터)|129.10795050302826|37.548478720948765
묵호동 주민센터||주민센터|4217059000|033-5302772|강원 동해시 묵호진동 1-44 묵호진동1-44|129.11424790173834|37.55864285067388
망상동 주민센터||주민센터|4217063000|033-5302794|강원 동해시 망상동 발한동354-28(망상동주민센터)|129.0794991403181|37.594605651918314
국민건강보험|동해지사|국민건강보험||033-5309100|강원 동해시 한섬로 135 |129.1183509275563|37.52242757543836
교동 주민센터||주민센터|4223053000|033-5704551|강원 삼척시 대학로 88-14 88-14 (교동)|129.16460735612296|37.447924984171934
성내동 주민센터||주민센터|4223057000|033-5704521|강원 삼척시 대학로 57 57 (당저동)|129.16291277848978|37.44620838247716
국민연금공단|삼척지사|국민연금공단||033-5712190|강원 삼척시 하실길 58 (교동)|129.17058164476916|37.45212500020701
남양동 주민센터||주민센터|4223051000|033-5704511|강원 삼척시 남양길 11 11 (남양동)|129.1683637445354|37.44262398798443
고용보험공단|삼척고용센터|고용보험공단||033-5701900|강원 삼척시 중앙로 214 ,4층(남양동, 현진빌딩)|129.16817900303974|37.442173352686865
국민건강보험|삼척지사|국민건강보험||033-5710100|강원 삼척시 중앙로 214 |129.16817900303974|37.442173352686865
정라동 주민센터||주민센터|4223054000|033-5704562|강원 삼척시 새천년도로 16 16 (정상동)|129.1844036181659|37.435975751461555
미로면 주민센터||주민센터|4223034000|033-5704907|강원 삼척시 미로면 적병길 8 8|129.1126711340135|37.418149662365664
근덕면 주민센터||주민센터|4223031000|033-5704811|강원 삼척시 근덕면 삼척로 3639 3639|129.22574930960297|37.37914295310056
노곡면 주민센터||주민센터|4223033000|033-5704876|강원 삼척시 노곡면 미근로 886 886|129.16384810184098|37.34805966792159
고용보험공단|삼척고용센터|고용보험공단||033-5701900|강원 삼척시 중앙로 214 ,4층(남양동, 현진빌딩)|129.16817900303974|37.442173352686865
가곡면 주민센터||주민센터|4223035000|033-5704372|강원 삼척시 가곡면 가곡천로 1477 1477|129.20502410743546|37.149638477543
노곡면 주민센터||주민센터|4223033000|033-5704876|강원 삼척시 노곡면 미근로 886 886|129.16384810184098|37.34805966792159
신기면 주민센터||주민센터|4223036000|033-5704967|강원 삼척시 신기면 신기길 15 15|129.08327783176108|37.34945617990013
하장면 주민센터||주민센터|4223032000|033-5704846|강원 삼척시 하장면 하장길 118 118|128.94305703393906|37.34946507055252
근덕면 주민센터||주민센터|4223031000|033-5704811|강원 삼척시 근덕면 삼척로 3639 3639|129.22574930960297|37.37914295310056
미로면 주민센터||주민센터|4223034000|033-5704907|강원 삼척시 미로면 적병길 8 8|129.1126711340135|37.418149662365664
정라동 주민센터||주민센터|4223054000|033-5704562|강원 삼척시 새천년도로 16 16 (정상동)|129.1844036181659|37.435975751461555
남양동 주민센터||주민센터|4223051000|033-5704511|강원 삼척시 남양길 11 11 (남양동)|129.1683637445354|37.44262398798443
성내동 주민센터||주민센터|4223057000|033-5704521|강원 삼척시 대학로 57 57 (당저동)|129.16291277848978|37.44620838247716
교동 주민센터||주민센터|4223053000|033-5704551|강원 삼척시 대학로 88-14 88-14 (교동)|129.16460735612296|37.447924984171934
국민건강보험|삼척지사|국민건강보험||033-5710100|강원 삼척시 중앙로 214 |129.16817900303974|37.442173352686865
국민연금공단|삼척지사|국민연금공단||033-5712190|강원 삼척시 하실길 58 (교동)|129.17058164476916|37.45212500020701
동명동 주민센터||주민센터|4221052000|033-6311402|강원 속초시 동명동 |128.59571850992575|38.212694696486295
영랑동 주민센터||주민센터|4221051000|033-6311401|강원 속초시 영랑동 |128.59286731374138|38.2157709719874
청호동 주민센터||주민센터|4221059000|033-6311407|강원 속초시 청호동 |128.59553889901173|38.19798502751157
금호동 주민센터||주민센터|4221054000|033-6311403|강원 속초시 금호동 |128.5778596353076|38.21132549012294
교동 주민센터||주민센터|4221056000|033-6311404|강원 속초시 교동 |128.57387096947062|38.20297262074088
국민연금공단|속초상담센터|국민연금공단||033-6378121|강원 속초시 동해대로 4024 (조양동)505호|128.5944924664558|38.19020177740104
국민건강보험|속초지사|국민건강보험||033-6399100|강원 속초시 동해대로 4044 |128.59230042235845|38.189964889775055
고용보험공단|속초고용센터|고용보험공단||033-6301919|강원 속초시 동해대로 4178 3층(조양동, 엠클리닉빌딩)|128.57924002181156|38.19236093711097
조양동 주민센터||주민센터|4221058000|033-6311406|강원 속초시 조양동 |128.5908483625369|38.18764605401064
노학동 주민센터||주민센터|4221057000|033-6311405|강원 속초시 노학동 |128.5418372568907|38.18734513514955
고용보험공단|속초고용센터|고용보험공단||033-6301919|강원 속초시 동해대로 4178 3층(조양동, 엠클리닉빌딩)|128.57924002181156|38.19236093711097
대포동 주민센터||주민센터|4221060000|033-6392658|강원 속초시 설악산로 466 설악산로 466|128.55727488274368|38.16557205366839
노학동 주민센터||주민센터|4221057000|033-6311405|강원 속초시 노학동 |128.5418372568907|38.18734513514955
조양동 주민센터||주민센터|4221058000|033-6311406|강원 속초시 조양동 |128.5908483625369|38.18764605401064
청호동 주민센터||주민센터|4221059000|033-6311407|강원 속초시 청호동 |128.59553889901173|38.19798502751157
교동 주민센터||주민센터|4221056000|033-6311404|강원 속초시 교동 |128.57387096947062|38.20297262074088
금호동 주민센터||주민센터|4221054000|033-6311403|강원 속초시 금호동 |128.5778596353076|38.21132549012294
동명동 주민센터||주민센터|4221052000|033-6311402|강원 속초시 동명동 |128.59571850992575|38.212694696486295
영랑동 주민센터||주민센터|4221051000|033-6311401|강원 속초시 영랑동 |128.59286731374138|38.2157709719874
국민건강보험|속초지사|국민건강보험||033-6399100|강원 속초시 동해대로 4044 |128.59230042235845|38.189964889775055
국민연금공단|속초상담센터|국민연금공단||033-6378121|강원 속초시 동해대로 4024 (조양동)505호|128.5944924664558|38.19020177740104
남면 주민센터||주민센터|4280031000|033-4802615|강원 양구군 남면 삼팔선로 9 삼팔선로 9|128.03455612384067|38.10846383633608
동면 주민센터||주민센터|4280032000|033-4802625|강원 양구군 동면 금강산로 1693 금강산로 1693|128.0435132566337|38.20228769388673
방산면 주민센터||주민센터|4280033000|033-4802635|강원 양구군 방산면 장거리길 21 장거리길 21|127.94939840066156|38.209075526512805
해안면 주민센터||주민센터|4280034000|033-4810707|강원 양구군 해안면 펀치벌로 1307|128.13713387096973|38.285168400392976
남면 주민센터||주민센터|4280031000|033-4802615|강원 양구군 남면 삼팔선로 9 삼팔선로 9|128.03455612384067|38.10846383633608
동면 주민센터||주민센터|4280032000|033-4802625|강원 양구군 동면 금강산로 1693 금강산로 1693|128.0435132566337|38.20228769388673
방산면 주민센터||주민센터|4280033000|033-4802635|강원 양구군 방산면 장거리길 21 장거리길 21|127.94939840066156|38.209075526512805
해안면 주민센터||주민센터|4280034000|033-4810707|강원 양구군 해안면 펀치벌로 1307|128.13713387096973|38.285168400392976
손양면 주민센터||주민센터|4283032000|033-6702631|강원 양양군 손양면 손중로 209 209|128.6410729329079|38.06057659013213
서면 주민센터||주민센터|4283031000|033-6702621|강원 양양군 서면 물윗구미길 5 5|128.58525706155083|38.071515030945136
강현면 주민센터||주민센터|4283035000|033-6702661|강원 양양군 강현면 동해대로 3517 3517|128.60747465789703|38.150421124888666
현북면 주민센터||주민센터|4283033000|033-6702641|강원 양양군 현북면 하조대1길 41-8 41-8|128.72313846984156|38.01899810828854
현남면 주민센터||주민센터|4283034000|033-6702651|강원 양양군 현남면 인구중앙길 45 45|128.75947571398828|37.969227868460244
현남면 주민센터||주민센터|4283034000|033-6702651|강원 양양군 현남면 인구중앙길 45 45|128.75947571398828|37.969227868460244
현북면 주민센터||주민센터|4283033000|033-6702641|강원 양양군 현북면 하조대1길 41-8 41-8|128.72313846984156|38.01899810828854
손양면 주민센터||주민센터|4283032000|033-6702631|강원 양양군 손양면 손중로 209 209|128.6410729329079|38.06057659013213
서면 주민센터||주민센터|4283031000|033-6702621|강원 양양군 서면 물윗구미길 5 5|128.58525706155083|38.071515030945136
강현면 주민센터||주민센터|4283035000|033-6702661|강원 양양군 강현면 동해대로 3517 3517|128.60747465789703|38.150421124888666
국민연금공단|영월상담센터|국민연금공단||033-3728452~3|강원 영월군 영월읍 하송로 68 3층|128.46251349581667|37.182044470898845
근로복지공단|영월지사|근로복지공단||033-3716140|강원 영월군 영월읍 단종로33번길 30 KT(한국통신) 3층  |128.46670524414415|37.184522581618886
고용보험공단|영월고용센터|고용보험공단||033-3716260|강원 영월군 영월읍 단종로 8 |128.46853910653655|37.18408901736952
남면 주민센터||주민센터|4275034000|033-3702143|강원 영월군 남면 연당로 47-6 47-6 (남면사무소)|128.40449834914324|37.186588287003744
북면 주민센터||주민센터|4275033000|033-3702846|강원 영월군 북면 봉래산로 987 987 (북면사무소)|128.4551890975145|37.254486198716585
김삿갓면 주민센터||주민센터|4275032500|033-3702984|강원 영월군 김삿갓면 옥동장터길 36 36 (김삿갓면사무소)|128.5700187047085|37.125695052682225
한반도면 주민센터||주민센터|4275035500|033-3726001|강원 영월군 한반도면 신천길 6-6 6-6 (한반도면사무소)|128.32839241341685|37.23679687535884
주천면 주민센터||주민센터|4275036000|033-3702988|강원 영월군 주천면 주천로 103 103 (주천면사무소)|128.2695285713262|37.272231431574724
중동면 주민센터||주민센터|4275031000|033-3702983|강원 영월군 중동면 태백산로 1202 1202 (중동면사무소)|128.68027137730485|37.14516835519818
수주면 주민센터||주민센터|4275037000|033-3702989|강원 영월군 수주면 무릉길 70-6 70-6 (수주면사무소)|128.26860901084407|37.28837604610847
고용보험공단|영월고용센터|고용보험공단||033-3716260|강원 영월군 영월읍 단종로 8 |128.46853910653655|37.18408901736952
김삿갓면 주민센터||주민센터|4275032500|033-3702984|강원 영월군 김삿갓면 옥동장터길 36 36 (김삿갓면사무소)|128.5700187047085|37.125695052682225
중동면 주민센터||주민센터|4275031000|033-3702983|강원 영월군 중동면 태백산로 1202 1202 (중동면사무소)|128.68027137730485|37.14516835519818
남면 주민센터||주민센터|4275034000|033-3702143|강원 영월군 남면 연당로 47-6 47-6 (남면사무소)|128.40449834914324|37.186588287003744
한반도면 주민센터||주민센터|4275035500|033-3726001|강원 영월군 한반도면 신천길 6-6 6-6 (한반도면사무소)|128.32839241341685|37.23679687535884
북면 주민센터||주민센터|4275033000|033-3702846|강원 영월군 북면 봉래산로 987 987 (북면사무소)|128.4551890975145|37.254486198716585
주천면 주민센터||주민센터|4275036000|033-3702988|강원 영월군 주천면 주천로 103 103 (주천면사무소)|128.2695285713262|37.272231431574724
수주면 주민센터||주민센터|4275037000|033-3702989|강원 영월군 수주면 무릉길 70-6 70-6 (수주면사무소)|128.26860901084407|37.28837604610847
근로복지공단|영월지사|근로복지공단||033-3716140|강원 영월군 영월읍 단종로33번길 30 KT(한국통신) 3층  |128.46670524414415|37.184522581618886
국민연금공단|영월상담센터|국민연금공단||033-3728452~3|강원 영월군 영월읍 하송로 68 3층|128.46251349581667|37.182044470898845
국민연금공단|원주지사|국민연금공단||033-7498411|강원 원주시 시청로 1 9층(무실동)|127.91885574859698|37.340932789497266
근로복지공단|원주지사|근로복지공단||033-7492335|강원 원주시 만대로 59-1 |127.9215419506402|37.339491919396195
무실동 주민센터||주민센터|4213066000|033-7375524|강원 원주시 만대공원길 14-10 14-10 (무실동, 무실동주민센터)|127.92920839623335|37.33819217544027
단계동 주민센터||주민센터|4213059000|033-7375418|강원 원주시 단계동 단계동주민센터|127.9344605990714|37.352620829448
일산동 주민센터||주민센터|4213056000|033-7375516|강원 원주시 일산동 일산동주민센터|127.942148088702|37.349665847308074
원인동 주민센터||주민센터|4213052000|033-7375511|강원 원주시 원동 245|127.94697671366055|37.343774414588516
명륜2동 주민센터||주민센터|4213054200|033-7375544|강원 원주시 황소마을길 30 명륜2동주민센터|127.94394472938534|37.33162796271672
학성동 주민센터||주민센터|4213057500|033-7375807|강원 원주시 학성길 116 223-29 학성동주민센터|127.94418725385208|37.353523871734836
중앙동 주민센터||주민센터|4213051500|033-7375713|강원 원주시 충정길 12 206-6|127.94747868200893|37.35282721161341
고용보험공단|원주고용센터|고용보험공단||033-7690900|강원 원주시 서원대로 383 2층,3층(개운동,한신프라자 )|127.94857091920717|37.33199100477818
고용보험공단|원주고용센터|고용보험공단||033-7690900|강원 원주시 서원대로 383 2층,3층(개운동,한신프라자 )|127.94857091920717|37.33199100477818
고용보험공단|원주고용복지센터|고용보험공단||033-7690900|강원 원주시 서원대로 383 |127.94857091920717|37.33199100477818
귀래면 주민센터||주민센터|4213036000|033-7375506|강원 원주시 귀래면 운남리 555-5 555-5|127.88482756031507|37.1699453896817
부론면 주민센터||주민센터|4213035000|033-7375505|강원 원주시 부론면 법천시장길 59 |127.75018096243612|37.20782748451817
신림면 주민센터||주민센터|4213039000|033-7375509|강원 원주시 신림면 신림리 519-14 519-14|128.07939291991744|37.23058162283326
흥업면 주민센터||주민센터|4213037000|033-7375537|강원 원주시 흥업면 흥업리 73-10 73-10|127.92106225002226|37.302785217117325
단구동 주민센터||주민센터|4213055000|033-7375515|강원 원주시 치악로 1605 145번지 단구동주민센터|127.96026661234704|37.326094222536234
판부면 주민센터||주민센터|4213038000|033-7375688|강원 원주시 입춘로 5 1452-9|127.97430828814241|37.329731177380886
반곡관설동 주민센터||주민센터|4213067500|033-7375919|강원 원주시 입춘로 5 5 (반곡동, 반곡관설동주민센터)|127.97430828814241|37.329731177380886
명륜2동 주민센터||주민센터|4213054200|033-7375544|강원 원주시 황소마을길 30 명륜2동주민센터|127.94394472938534|37.33162796271672
무실동 주민센터||주민센터|4213066000|033-7375524|강원 원주시 만대공원길 14-10 14-10 (무실동, 무실동주민센터)|127.92920839623335|37.33819217544027
개운동 주민센터||주민센터|4213053000|033-7375512|강원 원주시 행구로 40 40 (개운동, 개운동주민센터)|127.96001953083272|37.34107801863769
명륜1동 주민센터||주민센터|4213054100|033-7375513|강원 원주시 남원로 653 90-2번지|127.9532825186461|37.34125143140493
행구동 주민센터||주민센터|4213065000|033-7375891|강원 원주시 행구로 250 행구로 250 행구동주민센터|127.98387217172761|37.34256870420698
원인동 주민센터||주민센터|4213052000|033-7375511|강원 원주시 원동 245|127.94697671366055|37.343774414588516
봉산동 주민센터||주민센터|4213063500|033-7375873|강원 원주시 봉산동 1130-8 1130-8(치악로 1868) 봉산동주민센터|127.95689263040911|37.34757611122211
일산동 주민센터||주민센터|4213056000|033-7375516|강원 원주시 일산동 일산동주민센터|127.942148088702|37.349665847308074
단계동 주민센터||주민센터|4213059000|033-7375418|강원 원주시 단계동 단계동주민센터|127.9344605990714|37.352620829448
중앙동 주민센터||주민센터|4213051500|033-7375713|강원 원주시 충정길 12 206-6|127.94747868200893|37.35282721161341
학성동 주민센터||주민센터|4213057500|033-7375807|강원 원주시 학성길 116 223-29 학성동주민센터|127.94418725385208|37.353523871734836
태장1동 주민센터||주민센터|4213061000|033-7375520|강원 원주시 천사로 291 천사로 291|127.9552891066469|37.355337632751365
지정면 주민센터||주민센터|4213033000|033-7375620|강원 원주시 지정면 간현리 849-1 849-1(간현로126번지)|127.84010410721521|37.362187268005066
우산동 주민센터||주민센터|4213060000|033-7375519|강원 원주시 우산동 102-3 102-3|127.94023549812259|37.37149956366
태장2동 주민센터||주민센터|4213062000|033-7375860|강원 원주시 태장2동 1052-1 1052-1|127.95204320976006|37.38250892303674
호저면 주민센터||주민센터|4213032000|033-7375503|강원 원주시 호저면 주산리 522 522번지 호저면사무소|127.92571433669205|37.41090816426225
소초면 주민센터||주민센터|4213031000|033-7375502|강원 원주시 소초면 평장리 789-1 789-1  소초면사무소|128.00239228574307|37.41784392218326
근로복지공단|원주지사|근로복지공단||033-7492335|강원 원주시 만대로 59-1 |127.9215419506402|37.339491919396195
국민건강보험|본부|국민건강보험||157-71000|강원 원주시 삼보로 32 |127.98632826336087|37.324658076630925
국민건강보험|원주횡성지사|국민건강보험||033-7499100|강원 원주시 북원로 2461 |127.93973308988735|37.364165860976584
국민연금공단|원주지사|국민연금공단||033-7498411|강원 원주시 시청로 1 9층(무실동)|127.91885574859698|37.340932789497266
북면 주민센터||주민센터|4281032000|033-4602332|강원 인제군 북면 원통리 북면사무소|128.2320272750469|38.138330516993534
남면 주민센터||주민센터|4281031000|033-4602322|강원 인제군 남면 신남리 남면사무소|128.0880671908608|37.97766945269542
기린면 주민센터||주민센터|4281033000|033-4602342|강원 인제군 기린면 현리 기린면사무소|128.31457760001607|37.95295644443707
서화면 주민센터||주민센터|4281034000|033-4602352|강원 인제군 서화면 천도리 서화면사무소|128.22916698986407|38.22664759106258
상남면 주민센터||주민센터|4281035000|033-4602362|강원 인제군 상남면 상남리 상남면사무소|128.21856372423383|37.86290992506195
상남면 주민센터||주민센터|4281035000|033-4602362|강원 인제군 상남면 상남리 상남면사무소|128.21856372423383|37.86290992506195
기린면 주민센터||주민센터|4281033000|033-4602342|강원 인제군 기린면 현리 기린면사무소|128.31457760001607|37.95295644443707
남면 주민센터||주민센터|4281031000|033-4602322|강원 인제군 남면 신남리 남면사무소|128.0880671908608|37.97766945269542
북면 주민센터||주민센터|4281032000|033-4602332|강원 인제군 북면 원통리 북면사무소|128.2320272750469|38.138330516993534
서화면 주민센터||주민센터|4281034000|033-4602352|강원 인제군 서화면 천도리 서화면사무소|128.22916698986407|38.22664759106258
북평면 주민센터||주민센터|4277034000|033-5602678|강원 정선군 북평면 북평6길 36 36|128.6702407473011|37.448633175928556
여량면 주민센터||주민센터|4277037000|033-5602668|강원 정선군 여량면 서동로 2885 2885|128.72075833046236|37.470827295837125
화암면 주민센터||주민센터|4277036000|033-5602648|강원 정선군 화암면 그림바위길 40 40|128.78780473882122|37.340277923198265
남면 주민센터||주민센터|4277032000|033-5602657|강원 정선군 남면 칠현로 80 80|128.74061143695317|37.26881422900274
임계면 주민센터||주민센터|4277035000|033-5602843|강원 정선군 임계면 서동로 4575 4575|128.85210982074724|37.495006192070505
남면 주민센터||주민센터|4277032000|033-5602657|강원 정선군 남면 칠현로 80 80|128.74061143695317|37.26881422900274
화암면 주민센터||주민센터|4277036000|033-5602648|강원 정선군 화암면 그림바위길 40 40|128.78780473882122|37.340277923198265
북평면 주민센터||주민센터|4277034000|033-5602678|강원 정선군 북평면 북평6길 36 36|128.6702407473011|37.448633175928556
여량면 주민센터||주민센터|4277037000|033-5602668|강원 정선군 여량면 서동로 2885 2885|128.72075833046236|37.470827295837125
임계면 주민센터||주민센터|4277035000|033-5602843|강원 정선군 임계면 서동로 4575 4575|128.85210982074724|37.495006192070505
서면 주민센터||주민센터|4278031000|033-4505875|강원 철원군 서면 신술2길 40 40 (서면사무소)|127.41571089826795|38.16465095159015
근북면 주민센터||주민센터|4278033000|033-4504808|강원 철원군 김화읍 호국로 6510 6510 (김화읍사무소)|127.42132969211369|38.25023727289451
근남면 주민센터||주민센터|4278032000|033-4505767|강원 철원군 근남면 하오재로 2050 2050 (근남면사무소)|127.47109082083404|38.23710416006133
서면 주민센터||주민센터|4278031000|033-4505875|강원 철원군 서면 신술2길 40 40 (서면사무소)|127.41571089826795|38.16465095159015
근남면 주민센터||주민센터|4278032000|033-4505767|강원 철원군 근남면 하오재로 2050 2050 (근남면사무소)|127.47109082083404|38.23710416006133
근북면 주민센터||주민센터|4278033000|033-4504808|강원 철원군 김화읍 호국로 6510 6510 (김화읍사무소)|127.42132969211369|38.25023727289451
조운동 주민센터||주민센터|4211053000|033-2503613|강원 춘천시 조양동 65-1 65-1|127.73036149752022|37.87939076432733
소양동 주민센터||주민센터|4211058000|033-2503611|강원 춘천시 소양로3가 177 177|127.72453724589684|37.882169184579595
교동 주민센터||주민센터|4211052000|033-2503612|강원 춘천시 교동 144-1 144-1|127.73619354925373|37.88063736124103
약사명동 주민센터||주민센터|4211054500|033-2503614|강원 춘천시 죽림동 109-4 109-4|127.72466966452403|37.87665828104005
