NAME|BRANCH|ADDR|TELL|OFFDAY|XCORD|YCORD
코바코|부산다대포점|부산 사하구 다대2동 120-1|051-266-0345||126.570667|33.450701
코바코|옥천휴게소(부산방향/우동코너)점|충북 옥천군 옥천읍 서대구일로 265-19|||126.570667|33.450701
코바코|강릉사천점|강원도 강릉시 사천면 방동길 43 |033-641-8848||126.570667|33.450701
코바코|경북영덕점|경북 영덕군 영덕읍 덕곡길 108 (덕곡리)|054-734-6611||126.570667|33.450701
코바코|마천점|서울 송파구 마천동 307-50|02-408-8681||126.570667|33.450701
코바코|목포상동점|전남 목포시 상동 174-4|061-276-3586||126.570667|33.450701
코바코|김포마송점|경기도 김포시 통진읍 마송리 111-7|031-998-4151||126.570667|33.450701
코바코|부천 역곡역점|경기 부천시 원미구 역곡동 49|032-347-0766||126.570667|33.450701
코바코|충남금산점|충남 금산군 금산읍 상리 21-8호 103호|041-751-7800||126.570667|33.450701
코바코|서울대점|서울 관악구 신림동 237-27|02-882-8288||126.570667|33.450701
코바코|숙대점|서울시 용산구 청파동 2가 60-29|02-717-6124||126.570667|33.450701
코바코|구로구청점|서울 구로구 구로동 97-5|02-863-9508||126.570667|33.450701
코바코|경북도청점|경북 예천군 호명면 양지3길 3|054-652-0764||126.570667|33.450701
코바코|신영통망포점|경기도 수원시 영통구 망포동 295-2|031-203-4811||126.570667|33.450701
코바코|인천백령점|인천 옹진군 백령면 백령로 297번길 3|032-836-3389||126.570667|33.450701
코바코|상계점|서울 노원구 상계동 456-160|02-932-3455||126.570667|33.450701
코바코|제주노형점|제주 제주시 노형동 2587-3|064-712-9849||126.570667|33.450701
코바코|양산점|경남 양산시 중부동 696-1|055-367-8887||126.570667|33.450701
코바코|구리인창점|경기 구리시 인창동 670-1 116호|031-551-5512||126.570667|33.450701
코바코|인천청천점|인천시 부평구 청천동 386|032-270-2433||126.570667|33.450701
코바코|평택비전2점|경기 평택시 비전2동 829-2|031-618-6588||126.570667|33.450701
코바코|제주삼도점|제주 제주시 삼도1동 552-19|064-727-9977||126.570667|33.450701
코바코|신도림점|서울시 구로구 신도림동 435-10|02-2672-1008||126.570667|33.450701
코바코|신림역점|서울 관악구 남부순환로 1631 (신림동, 대현빌딩)|02-875-1414||126.570667|33.450701
코바코|의정부신곡점|경기도 의정부시 신곡동 712-12|031-872-2220||126.570667|33.450701
코바코|부산당리점|부산 사하구 당리동 325-2 리치하우스지하B-110호|051-294-8999||126.570667|33.450701
코바코|교대점|서울시 서초구 서초1동 1669-1 1층|02-582-2229||126.570667|33.450701
코바코|당진점|충남 당진시 당진중앙1로 88|041-352-5666||126.570667|33.450701
코바코|안성점|경기 안성시 연지동 9번지|031-672-2234||126.570667|33.450701
코바코|안성한경대점|경기 안성시 금산동 81-2|031-671-2332||126.570667|33.450701
코바코|김포한강신도시점 (플러스매장)|경기 김포시 김포한강3로237번길 15 (장기동)|031-983-6776||126.570667|33.450701
