NAME|BRANCH|ADDR|TIME|TELL
얌샘김밥|천안성성레이크점|충청남도 천안시 서북구 성성8로 14-10, 1층 103호|09:00~21:00|배달 가능 매장|041-556-3378
얌샘김밥|선릉역점|서울시 강남구 테헤란로63길 9, 103호(삼성동, 롯데캐슬클라쎄)|08:00~20:30|배달 불가능 매장|02-565-9991
얌샘김밥|대만 타이베이 동치점|NO. 25-2號, LANE 107, SECTION 1, FUXING SOUTH ROAD, DA’AN DISTRICT, TAIPEI CITY, TAIWAN 106|11:00~21:00|배달 불가능 매장|+886-2-2775-3455
얌샘김밥|동탄케이밸리점|경기도 화성시 동탄첨단산업1로 14, 1층(영천동, 동탄케이밸리)|10:00~20:00|배달 가능 매장|031-612-8478
얌샘김밥|제주노형점|제주시 월랑로 39 동마빌딩(노형 본죽사거리)|09:00~21:00|배달 가능 매장|064-744-9910
얌샘김밥|울산옥동점|울산광역시 남구 법대로 95번길 15, 1층|10:00~21:00|배달 가능 매장|052-258-0068
얌샘김밥|송도하버뷰점|인천광역시 연수구 해돋이로 168-7, 레드원프라자|10:30~21:00|배달 불가능 매장|032-834-3379
얌샘김밥|송파헬리오시티점|서울특별시 송파구 송파대로 345, 상가 4블록 1층 1호(가락동, 헬리오시티)|08:00~20:00|배달 불가능 매장|02-449-3378
얌샘김밥|청주동남점|충청북도 청주시 상당구 중고개로 115 1층 110호|09:00~21:00|배달 가능 매장|043-293-3378
얌샘김밥|창원유니시티점|경상남도 창원시 의창구 중동로 59, 창원중동유니시티3단지 321동 112호 (중동)|08:30~21:00|배달 가능 매장|055-291-3378
얌샘김밥|양산덕계점|경상남도 양산시 신덕계3길 36, 302동 1층 102호(덕계동, 양산두산위브)|09:00~21:00|배달 가능 매장|055-362-3378
얌샘김밥|김포운양점|경기도 김포시 전원로 5, 1층(운양동, 핵심프라자)|09:00~20:00|배달 가능 매장|031-983-8950
얌샘김밥|고흥군청점|전라남도 고흥군 고흥읍 고흥군청로 24 102호|07:00~20:00|배달 가능 매장|061-832-3378
얌샘김밥|천안신불당점|충청남도 천안시 서북구 불당 25로 176, 137호|09:00~21:00|배달 가능 매장|041-415-0801
얌샘김밥|마산경남대점|경상남도 창원시 마산합포구 월영동3길 14, 1층 일부호(해운동)|10:00~21:00|배달 가능 매장|055-247-3378
얌샘김밥|세종아름점|세종특별자치시 아름동 1318, 104호|09:00~21:00|배달 가능 매장|044-272-3378
얌샘김밥|일산EBS점|경기도 고양시 일산동구 장항동 1319-19|09:00~21:00|배달 가능 매장|031-816-3378
얌샘김밥|성수역점|서울특별시 성동구 연무장5가길 7, 1층 107호|08:00~20:00|배달 가능 매장|02-6013-3378
얌샘김밥|부산개금점|부산광역시 진구 가야대로 468번길 11, 1층 101호|10:00~21:00|배달 가능 매장|051-891-3378
얌샘김밥|마곡역점|서울특별시 강서구 마곡중앙1로 20, 1층 105호(마곡동)|10:30~20:00|배달 불가능 매장|02-2666-3378
얌샘김밥|화성바이오밸리점|경기도 화성시 마도면 청원산단로 121, 104호(LK빌)|08:00~20:00|배달 불가능 매장|031-357-8022
얌샘김밥|대구봉덕점|대구광역시 남구 신촌길 16 (봉덕동)|10:00~21:00|배달 가능 매장|053-474-3378
얌샘김밥|진주초전점|경상남도 진주시 초전북로52번길 29, 1층(초전동)|08:00~21:00|배달 가능 매장|055-758-9009
얌샘김밥|나주혁신도시점|전라남도 나주시 상야3길 8, 110호(빛가람동, 중흥S클래스 메가티움 2차)|10:00~21:00|배달 가능 매장|061-332-6994
얌샘김밥|구로역점|서울특별시 구로구 경인로 572, 1층 108호(구로동, 스타팰리스)|07:00~21:00|배달 가능 매장|02-2677-3378
얌샘김밥|부산재송점|부산 해운대구 재반로 118번길 71 상가 6호|10:00~21:00|배달 가능 매장|051-782-3378
얌샘김밥|양재하나로마트점|서울특별시 서초구 청계산로 10, 1층 양재하나로마트 푸드카페|07:00~22:00|배달 가능 매장|010-3452-8020
얌샘김밥|동탄석우점|경기도 화성시 삼성1로 209, 116호(석우동, 삼성디오네오피스텔)|07:00~21:00 |배달 가능 매장|031-613-5098
얌샘김밥|구미원호점|경상북도 구미시 고아읍 문장로 194, 1층 102호|08:00~22:00|배달 가능 매장|054-452-3378
얌샘김밥|수원광교점|경기도 수원시 영통구 광교중앙로 170, 137호|09:00~20:30|배달 불가능 매장|031-309-0669
얌샘김밥|시흥은계점|경기도 시흥시 은계남로 12, 1층 149호|09:00~21:00|배달 가능 매장|031-318-3378
얌샘김밥|수지구청점|경기도 용인시 수지구 정평로 136|10:30~21:00|배달 가능 매장|031-276-3378
얌샘김밥|기장장안점|부산 기장군 장안읍 장안로 8, A동 106호|08:00~20:00|배달 불가능 매장|051-728-6260
얌샘김밥|동탄목동점|경기도 화성시 동탄신리천로 411, 1층|08:00~21:00|배달 가능 매장|031-376-1040
얌샘김밥|대구침산점|대구 북구 침산동 329-2번지 엠프로타워제1동 107호|09:00~21:00|배달 가능 매장|053-356-3378
얌샘김밥|천안성정점|충남 천안시 성정동 660-2|09:00~21:00|배달 가능 매장|041-577-3378
얌샘김밥|부산장림점|부산광역시 사하구 다대로 247, 1층|11:00~19:00|배달 가능 매장|051-266-3378
얌샘김밥|월곡역점|서울특별시 성북구 화랑로 76, 코업스타클래스 1층 112-2호|10:00~21:00|배달 가능 매장|02-941-3378
얌샘김밥|광주태전점|경기도 광주시 태전중앙로 14, 1동 105호(태전동, 서원프라자 1)|10:30~20:30|배달 가능 매장|031-8027-4378
얌샘김밥|김해주촌점|경상남도 김해시 주촌면 천곡로 18. 김해센텀두산위브더제니스 상가동(401동) 1층 108호|09:00~21:00|배달 가능 매장|055-331-3378
얌샘김밥|염포양정점|울산광역시 북구 염포로 669, 1층 107호 (염포동)|09:00~21:00|배달 불가능 매장|052-297-3700
얌샘김밥|KBS본관점|서울특별시 영등포구 의사당대로 38, 102동 108호|24시간|배달 가능 매장|02-782-3378
얌샘김밥|부산연산점|부산시 연제구 연산동 699-3, 104호|10:00~21:00|배달 가능 매장|051-717-0565
얌샘김밥|오산시티자이점|경기도 오산시 부산중앙로 25-6, 113호, 114호|09:00~20:30|배달 가능 매장|031-372-2077
얌샘김밥|방학역점|서울특별시 도봉구 방학동 716-5 135호|08:00~21:00|배달 가능 매장|02-955-3378
얌샘김밥|대구성서점|대구광역시 달서구 이곡공원로 24, 1층(이곡동)|10:00~22:00|배달 가능 매장|053-587-3378
얌샘김밥|세종대점|서울특별시 광진구 능동로209 세종대학교 학생회관 1층|10:00~20:30|배달 가능 매장|02-462-3378
얌샘김밥|IFC몰점|서울특별시 영등포구 국제금융로 10, 지하3층 (여의도동, IFC몰 380호)|10:00~22:00|배달 불가능 매장|02-6137-3378
얌샘김밥|울산송정점|울산 북구 화산로 104, 반도유보라상사 415호|10:00~21:00|배달 가능 매장|052-291-1340
얌샘김밥|수원망포점|경기도 수원시 영통구 덕영대로 1400, 상가B동 1층 105호|09:00~21:00|배달 불가능 매장|031-8002-1288
얌샘김밥|문산역점|경기 파주시 문산읍 문산리 19-2|09:00~21:00|배달 가능 매장|031-953-3358
얌샘김밥|안성옥산점|경기도 안성시 옥산동 560 110호|09:00~20:00|배달 가능 매장|031-674-2535
얌샘김밥|시흥배곧점|경기도 시흥시 배곧4로 95 1층 110호|09:00~21:00|배달 가능 매장|031-497-3379
얌샘김밥|동두천지행점|경기도 동두천시 중앙로 126, 생연프라자 1층|10:00~21:00|배달 가능 매장|031-863-3378
얌샘김밥|김포호수마을점|경기 김포시 김포한강4로420번길 100 김포 한강IPARK|09:00~21:00|배달 가능 매장|031-990-0378
얌샘김밥|다산신도시점|경기도 남양주시 다산중앙로123번길 7-14|09:00~21:00|배달 가능 매장|031-551-3378
얌샘김밥|동탄호수공원점|경기도 화성시 동탄순환대로 127-17, 동탄2우성메디피아 1층 103호 (산척동)|07:00~20:30|배달 가능 매장|031-372-3397
얌샘김밥|전북대점|전북 전주시 덕진구 금암동 664-52 번지|08:30~22:00|배달 가능 매장|063-275-9333
얌샘김밥|위례중앙점|서울특별시 송파구 위례광장로 290, 상가동 1층 105호|09:00~21:00|배달 가능 매장|02-6368-3378
얌샘김밥|창원팔용점|경상남도 창원시 팔용동 100번지 드림피아상가 110호|09:00~21:00|배달 가능 매장|055-292-3378
얌샘김밥|김포풍무점|경기도 김포시 풍무동 107-6번지 윤슬프라자102호|09:00~21:00|배달 가능 매장|031-998-3373
얌샘김밥|신대방역점|서울특별시 관악구 신림동 518-2, 1층|10:00-21:00|배달 가능 매장|02-837-3378
얌샘김밥|서대전세이점|대전광역시 중구 문화동 1-55 104호|09:00~21:00|배달 가능 매장|042-252-3378
얌샘김밥|염창역점|서울특별시 양천구 목동중앙복로73, 1층 105호(목동, 덕수프라자)|09:00~21:00|배달 불가능 매장|02-2651-3878
얌샘김밥|팔용농산물점|경상남도 창원시 의창구 차상로18번길 54, 지상1층(팔용동)|07:00~19:00|배달 가능 매장|055-277-3378
얌샘김밥|중계역점|서울특별시 노원구 동일로1279, 중계그린아파트 B상가101호(중계동)|09:00~21:00|배달 가능 매장|02-971-3378
얌샘김밥|김해율하점|경상남도 김해시 율하로 479-1, 331동 1층 103호(장유동, 원메이저푸르지오상가)|09:00~21:00|배달 가능 매장|055-338-3378
얌샘김밥|함양점|경상남도 함양군 함양읍 교산리 261번지외 31필지 104호 (함양웰가센트뷰)|07:00~21:00|배달 가능 매장|055-964-3378
얌샘김밥|송도BRC점|인천시 연수구 송도미래로 9, 제3동 109호 (송도동 203-3 BRC 연구소)|10:00~20:00|배달 가능 매장|032-815-3378
얌샘김밥|영종운서역점|인천 중구 신도시남로 142번길 6, 133호|24시간|배달 가능 매장|032-751-3380
얌샘김밥|해남점|전라남도 해남군 해남읍 북부순환로 172|10:00~21:00|배달 불가능 매장|061-537-3379
얌샘김밥|주문진점|강원도 강릉시 주문진읍 연주로 300-1|10:00~20:00|배달 가능 매장|033-661-3373
얌샘김밥|수지신봉점|경기도 용인시 수지구 신봉동 965|09:00~20:00|배달 가능 매장|031-265-3378
얌샘김밥|종로YMCA점|서울특별시 종로 2가 9 YMCA빌딩 1층|09:00~21:00|배달 가능 매장|02-720-3378
얌샘김밥|동탄능동점|경기 화성시 동탄지성로125 토마토프라자 103호|09:00~21:00|배달 가능 매장|031-8003-3373
얌샘김밥|울산중산점|울산광역시 북구 중산서로 16|10:00~21:00|배달 가능 매장|052-286-3378
얌샘김밥|부산안락점|부산광역시 동래구 안락로 74(안락동)|10:00~21:00|배달 가능 매장|051-521-3378
얌샘김밥|노원세이브존점|서울특별시 노원구 하계동 284|10:00~22:00|배달 불가능 매장|1811-3378
얌샘김밥|동탄2세정초점|경기도 화성시 동탄순환대로12길 85 동탄카림애비뉴3차 지하1층S 107호|10:00~21:00|배달 가능 매장|031-377-2399
얌샘김밥|창원상남점|경상남도 창원시 성산구 마디미로21번길 11|10:00~22:00|배달 가능 매장|055-263-3378
얌샘김밥|예천하나로마트신도청점|경상북도 예천군 호명면 수변로 77, 1층 104호|10:00~21:00|배달 가능 매장|054-653-3378
얌샘김밥|강릉내곡점|강원도 강릉시 범일로 630(내곡동)|10:00~21:00|배달 가능 매장|033-645-8277
얌샘김밥|이마트24강남압구정점|서울특별시 강남구 언주로174길 29 (신사동)|10:00~21:00|배달 가능 매장|02-512-5959
얌샘김밥|송도대림E편한세상점|인천광역시 연수구 랜드마크로113, B-1동 103호 (송도동, E편한세상 송도)|10:00~20:30|배달 가능 매장|032-831-2889
얌샘김밥|용인기흥역점|경기도 용인시 기흥구 기흥역로 63, 301동 1층 109호|09:00~21:00|배달 가능 매장|031-305-3378
얌샘김밥|분당정자역점|경기 성남시 분당구 정자동 8-3 105호|09:00~21:00|배달 가능 매장|031-713-1020
얌샘김밥|양주옥정점|경기 양주시 옥정동로7다길 12-13 폴리타워 112호|09:00~21:00|배달 가능 매장|031-868-3378
얌샘김밥|부산범일점|부산광역시 동구 조방로 14, 동일타워 223호|09:00~21:00|배달 가능 매장|051-636-3378
얌샘김밥|오송역점|충청북도 청주시 흥덕구 오송읍 봉산리 370-31 (오송역 3층)|07:00~21:00|배달 불가능 매장|043-234-3996
얌샘김밥|홈플러스부산센텀시티점|부산광역시 해운대구 센텀동로 6|10:00~22:00|배달 불가능 매장|1644-3378
얌샘김밥|광흥창역점|서울특별시 마포구 창전동 444 쌍용예가 2단지 내 상가 108호|10:00~21:00|배달 가능 매장|02-333-8222
얌샘김밥|마포구청점|서울특별시 마포구 월드컵로 204, 103호(성산동, 이안상암)|09:00~21:00|배달 불가능 매장|02-6104-3378
얌샘김밥|거제고현점|경상남도 거제시 서문로 46-1, 1층|09:00~21:00|배달 가능 매장|055-635-3680
얌샘김밥|목포용당점|전라남도 목포시 영산로 261, 1층|09:00~21:00|배달 가능 매장|061-272-9200
얌샘김밥|안양비산점|경기도 안양시 동안구 경수대로 946 101호|09:00~21:00|배달 가능 매장|031-444-1119
얌샘김밥|통영정량점|경상남도 통영시 정량안길3 1층 (정량동)|10:00~21:00|배달 가능 매장|055-645-3378
얌샘김밥|자양점|서울특별시 광진구 뚝섬로 552, 삼희빌딩 109호|11:00~21:00|배달 가능 매장|02-447-7878
얌샘김밥|광주삼각점|광주광역시 북구 설죽로 416 삼각골드클래스 상가1동 105호|10:00~21:00|배달 불가능 매장|062-574-3377
얌샘김밥|하남미사중앙점|경기 하남시 미사강변중앙로 221, 107호(망월동, 센트럴파크크2)|10:00~21:00|배달 가능 매장|031-793-3357
얌샘김밥|신탄진점|대전광역시 대덕구 신탄진로 802(신탄진동)|09:00~21:00|배달 가능 매장|042-933-3387
얌샘김밥|부천옥길점|경기도 부천시 범안로 221, 1동 1층 114호 (옥길동)|09:00~21:00|배달 가능 매장|032-344-2360
얌샘김밥|강릉포남점|강원도 강릉시 하평길 30(포남동)|10:00~20:00|배달 가능 매장|033-652-0078
얌샘김밥|논산내동점|충청남도 논산시 시민로 238, 104호(내동)|10:00~21:00|배달 가능 매장|070-8870-1255
얌샘김밥|영종하늘도시점|인천광역시 중구 중산동 1875-3 스타타워 빌딩 119호|09:00~21:00|배달 가능 매장|032-746-3690
얌샘김밥|답십리점|서울특별시 동대문구 답십리로 140, 세기프라자 114호|10:00~21:00|배달 가능 매장|02-2243-0551
얌샘김밥|진해용원점|경상남도 창원시 진해구 안청남로 36-1|09:00~21:00|배달 가능 매장|055-551-5482
얌샘김밥|완도점|전라남도 완도군 완도읍 개포로 62번길 27, 1층|09:00~21:00|배달 불가능 매장|061-554-2803
얌샘김밥|진접장현점|경기도 남양주시 진접읍 장현로 77,134호 장현프라자|09:00~21:00|배달 가능 매장|031-575-7565
얌샘김밥|청라연희점|인천광역시 서구 중봉대로 610, 116호(연희동, 마루힐프라자)|09:00~21:00|배달 가능 매장|032-563-8300
얌샘김밥|강릉유천점|강원도 강릉시 홍제동 1022-4 103호|09:00~21:00|배달 가능 매장|033-645-2277
얌샘김밥|청주강서점|충청북도 청주시 흥덕구 2순환로 1222, 101호(강서동, 신해블루지움)|09:00~21:00|배달 가능 매장|043-900-3977
얌샘김밥|마산양덕점|경상남도 창원시 마산회원구 율림교로 6, A-109호 (양덕동, 메트로스퀘어6)|10:00~21:00|배달 가능 매장|055-251-1110
얌샘김밥|종로5가점|서울시 종로구 대학로 15, 1층(효제동,306-3)|09:00~21:00|배달 가능 매장|02-764-3176
얌샘김밥|연신내역점|서울시 은평구 연서로 220 1층(대조동)|24시간|배달 가능 매장|02-351-4568
얌샘김밥|목동이대점|서울시 양천구 목동동로 427, 지상1층 103호(목동)|09:00~21:00|배달 가능 매장|02-2647-7773
얌샘김밥|마곡나루점|서울시 강서구 마곡중앙로 161-17, 1층 108호 (마곡동, 보타닉파크타워 1)|09:00~22:00|배달 가능 매장|02-3665-1010
얌샘김밥|거제상동점|경상남도 거제시 상동5길 91, 1층 104호|08:00~20:00|배달 가능 매장|055-635-7255
얌샘김밥|대치삼성점|서울시 강남구 테헤란로 104길 12, 지상1층(대치동)|10:00~21:00|배달 불가능 매장|02-565-7235
얌샘김밥|광주주월점|광주광역시 남구회재로 1186번길 20 호반아파트상가 101호|09:00~20:00|배달 불가능 매장|062-682-1677
얌샘김밥|목동KT점|서울 양천구 목동서로 213  세신프라자 102호|09:00~21:00|배달 가능 매장|02-2652-0280
얌샘김밥|상암점|서울특별시 마포구상암산로1길 69, 104호(상암동, 상암프라자)|09:00~21:00|배달 가능 매장|02-309-2333
얌샘김밥|주안석바위점|인천광역시 남구 경인로 438, 1층(주안동)|09:00~21:00|배달 불가능 매장|032-441-1153
얌샘김밥|분당이매점|경기도 성남시 분당구 이매로 47, 1층 103호(이매동,DNS빌딩)|11:00~22:00|배달 불가능 매장|031-708-3379
얌샘김밥|보은점|충청북도 보은군 보은읍 삼산리 10-10번지 1층|06:00~21:00|배달 가능 매장|043-543-0999
얌샘김밥|용인보라점|경기도 용인시 기흥구 보라동 130-1|09:00~21:00|배달 가능 매장|031-285-3212
얌샘김밥|서울역점|서울특별시 용산구 한강대로 366, 지하2층 9호(동자동,트윈시티 남산)|09:00~20:30|배달 가능 매장|02-6222-3133
얌샘김밥|안양1번가점|경기도 안양시 만안구 안양로292번길 31, 1,2층|09:00~21:30|배달 가능 매장|031-444-5483
얌샘김밥|창원감계점|경남 창원시 의창구 북면 감계로 233, B305호(창원감계힐스테이트4차 상가)|09:00~20:30|배달 가능 매장|055-295-0335
얌샘김밥|세종새롬점|세종특별자치시 새롬중앙로 34, 1층 104-B(크리스마스빌딩)|09:00~21:00|배달 가능 매장|044-998-2466
얌샘김밥|부안점|전라북도 부안군 부안읍 석정로 262, 미소가애 상가동 103호|09:00~20:30|배달 가능 매장|063-583-1820
얌샘김밥|회기역점|서울시 동대문구 망우로 81|09:00~21:00|배달 가능 매장|02-2213-2231
얌샘김밥|인천서창점|인천시 남동구 서창동 687-3 아페리온 A동 124호|09:00~21:00|배달 가능 매장|032-461-8777
얌샘김밥|태백점|강원도 태백시 대학길 82(황지동)|09:00~21:00|배달 가능 매장|033-553-7159
얌샘김밥|마포역점|서울시 마포구 큰우물로 53, 1층 102호|10:00~21:00|배달 가능 매장|02-707-1599
얌샘김밥|양평강상점|경기도 양평군 강상면 병산리1208 휴먼빌2차아파트 상가 108호|09:00~21:00|배달 가능 매장|031-774-1245
얌샘김밥|구리갈매점|경기도 구리시 갈매동 107-2 신영프라자 104호|09:00~21:00|배달 가능 매장|031-572-3695
얌샘김밥|남해점|경남 남해군 남해읍 화전로 78번길 11-1|10:00~20:00|배달 가능 매장|055-863-6677
얌샘김밥|성신여대점|서울특별시 성북구 아리랑로 16,101호(동선동4가)|09:00~21:00|배달 가능 매장|02-923-3332
얌샘김밥|강동역점|서울시 강동구 천호대로 1078, 103호|09:00~21:00|배달 가능 매장|02-474-8400
얌샘김밥|세종첫마을점|세종특별자치시 나성동 714번지 105호|09:00~21:00|배달 가능 매장|044-865-8767
얌샘김밥|광주첨단점|광주광역시 광산구 산월로 80, 상가동 107호|11:00~20:00|배달 가능 매장|062-971-0330
얌샘김밥|아산순천향대점|충남 아산시 신창면 읍내리 456-1 101호|09:00~21:00|배달 가능 매장|041-544-3399
얌샘김밥|목포대점|전라남도 무안군 청계면 승달산길 27-1|09:00~21:00|배달 불가능 매장|061-454-3345
얌샘김밥|문정역점|서울시송파구법원로114(문정동) 엠스테이트E동104호|09:00~21:00|배달 가능 매장|02-6177-9292
얌샘김밥|마산호계점|경상남도 창원시 마산회원구 내서읍 광려천북로 184-1, 지팝프라자 101호|10:00~20:00|배달 가능 매장|055-231-0428
얌샘김밥|구로디지털점|서울시 구로구 구로동830번지 한영캐슬시티 102동 101호|09:00~20:00|배달 가능 매장|02-861-6811
얌샘김밥|남원도통점|전라북도 남원시 도통동 107-10|10:00~21:00|배달 가능 매장|063-635-8292
얌샘김밥|진해마린푸르지오점|경상남도 창원시 진해구 충장로 657번길 28 1층 104호|10:00~21:00|배달 가능 매장|055-552-0010
얌샘김밥|태안점|충청남도 태안군 태안읍 동문리 256-1 정훈빌딩 106호|09:00~21:00|배달 가능 매장|041-675-0898
얌샘김밥|장승배기점|서울시 동작구 장승배기로11가길 11, 102호|09:00~21:30|배달 불가능 매장|02-825-7500
얌샘김밥|양천향교점|서울시 강서구 마곡동 776-4|09:00~21:00|배달 가능 매장|02-3664-3378
얌샘김밥|인천논현점|인천광역시 남동구 논고개로 123번길 24, 1층 101호|09:00~21:00|배달 가능 매장|032-423-8821
얌샘김밥|오창호수공원점|충청북도 청주시 청원구 오창읍 중심상업1로 20, 1층 134호 얌샘김밥(엘케이트리플렉스2)|09:00~21:00|배달 가능 매장|043-213-2133
얌샘김밥|진주혁신도시점|경남 진주시 충무공동 40-2(혁신도시)|10:00~20:00|배달 불가능 매장|055-757-5775
얌샘김밥|해운대좌동점|부산광역시 해운대구 좌동순환로 305 (신호프라자 1층)|08:00~20:00|배달 가능 매장|051-701-8999
얌샘김밥|포항지곡점|포항시 남구 지곡동 480번지 에드빌상가 106호|09:00~20:00|배달 가능 매장|054-276-1116
얌샘김밥|대전탄방점|대전시 서구 탄방동 740번지 1층 102호|09:00~21:00|배달 가능 매장|042-485-3378
얌샘김밥|삼성1동점|서울시 강남구 삼성1동 109-15번지 1층|10:00~21:00|배달 가능 매장|02-511-2221
얌샘김밥|강남구청점|서울특별시 강남구 학동로68길 29 힐스테이트 1단지 상가 102호|09:00~21:00|배달 가능 매장|02-515-2222
얌샘김밥|삼성점|서울시 강남구 테헤란로 87길 17, 1층 106호|10:00~21:00|배달 불가능 매장|02-501-7787
얌샘김밥|서산터미널점|충청남도 서산시 율지8로 5|09:00~21:00|배달 가능 매장|041-669-1321
얌샘김밥|안산신길점|경기도 안산시 단원구 신각길44, 휴먼빌2차 상가동 B2|08:00~21:00|배달 가능 매장|031-493-0797
얌샘김밥|천안쌍용점|충남 천안시 서북구 월봉로 134 105호|09:00~21:00|배달 가능 매장|041-576-7896
얌샘김밥|원주태장점|강원도 원주시 흥양로51번길 9 (태장동)|09:00~21:00|배달 가능 매장|033-734-9094
얌샘김밥|강릉교동점|강릉시 교동 1890-1|09:00~21:00|배달 가능 매장|033-645-3378
얌샘김밥|서산점|충청남도 서산시 한마음 13로 9(석림동)|09:00~21:00|배달 가능 매장|041-669-7611
얌샘김밥|세종정부청사점|세종특별자치시 절재로 194 1층 135호 (어진동 중앙타운)|09:00~21:00|배달 가능 매장|044-863-1082
얌샘김밥|신정이펜점|서울시 양천구 신정이펜2로 22 1층 101호|09:00~21:00|배달 불가능 매장|02-2603-3378
얌샘김밥|일산화정역점|경기도 고양시 덕양구 화정로 53-1 1층 122호 (화정로,글로리아빌딩)|10:00~21:00|배달 가능 매장|031-963-8959
얌샘김밥|신내점|서울시 중랑구 신내1동 449-5호|09:00~21:00|배달 가능 매장|02-434-5335
얌샘김밥|상주점|경상북도 상주시 상서문2길 123, 105호|10:00~20:00|배달 가능 매장|054-534-6589
얌샘김밥|봉화산역점|서울시 중랑구 신내로 211, 1층 103호 (금강리빙스텔)|06:00~22:00|배달 불가능 매장|02-3421-0464
얌샘김밥|홍제점|서울시 서대문구 통일로 392 (홍제동)|09:00~21:00|배달 불가능 매장|02-739-8959
얌샘김밥|트윈빌점|서울시 양천구 목동동로 339 (목동,목동트윈빌101-2호)|09:00~21:00|배달 가능 매장|02-2647-6162
얌샘김밥|청량리점|서울특별시  동대문구 홍릉로 7(청량리동,1층)|09:00~21:00|배달 가능 매장|02-968-3378
얌샘김밥|영등포역점 (직영)|서울시 영등포구 영등포동 618-210|07:00~25:00|배달 가능 매장|02-846-3379
얌샘김밥|암사점|서울시 강동구 암사동 501-4 암사동양덱스빌 130~131|09:00~21:00|배달 가능 매장|02-2291-8842
얌샘김밥|신정네거리점|서울시 양천구 중앙로 269 (신정동)|09:00~21:00|배달 불가능 매장|02-2065-0710
얌샘김밥|신길점 (직영)|서울시 영등포구 도신로229-2 (신길동)|07:00~25:00|배달 가능 매장|02-846-8627
얌샘김밥|문래하이테크점|서울 영등포구 경인로 775, 3동 지하1층 비194호|09:00~21:00|배달 불가능 매장|02-2068-5356
얌샘김밥|목동1호점|서울시 양천구 목동서로 389 (신정동) 107호|09:00~21:00|배달 불가능 매장|02-2645-0350
얌샘김밥|목2동점|서울시 양천구 목동중앙본로 123 (목동)|09:00~21:00|배달 가능 매장|02-2651-3878
얌샘김밥|노량진점|서울시 동작구 노량진로 110,11호|09:00~21:00|배달 가능 매장|02-812-7900
얌샘김밥|남영점|서울시 용산구 한강대로 77길 18 (갈월동)|07:00~25:00|배달 가능 매장|02-716-8627
얌샘김밥|길동점|서울시 강동구 양재대로 116길 19(길동)|09:00~21:00|배달 가능 매장|02-475-3620
얌샘김밥|금호점|서울시 성동구 독서당로 295-1(금호동 3가)|24시간|배달 가능 매장|02-2252-7615
얌샘김밥|가양점|서울시 강서구 양천로 57길 13(가양동)|24시간|배달 불가능 매장|02-3663-0337
얌샘김밥|계룡점|충청남도 계룡시 엄사면 엄사중앙로 108번지 103호|09:00~21:00|배달 불가능 매장|042-551-1233
얌샘김밥|청주분평점|충청북도 청주시 서원구 분평로 36(분평동1378,1층)|09:00~21:00|배달 가능 매장|043-285-5752
얌샘김밥|진천점|충청북도 진천군 진천읍 읍내리 395-14|09:00~21:00|배달 불가능 매장|043-533-7483
얌샘김밥|조치원점|세종특별자치시 새내로 114 (구주소:조치원읍 원리 8-5)|09:00~21:00|배달 가능 매장|044-862-8788
얌샘김밥|오창2산단점|충청북도 청주시 청원구 오창읍 2산단로 140, 101호|09:00~20:30|배달 가능 매장|043-212-1008
얌샘김밥|남서울대점|충청남도 천안시 서북구 성환읍 성진로65|09:00~21:00|배달 가능 매장|041-583-1132
