##NAME|SUBNAME|OFFICE|TELNUM|NEWADDR|MAJOR|BIRTH|STATUS|SOURCE2@@변호사
법무법인/참본|||02-457-3100|서울 서초구 서초대로 274 (서초동), 11층(서초동, 3000타워)||||대한변호사협회
법무법인/테헤란|||02-2088-0836|서울 강남구 테헤란로 420, 9층 (대치동, 메이플타워 Mayple Tower)||||대한변호사협회
법무법인/세안|||3473-0999|서울 서초구 서초대로 274, 1201호 (서초동, 3000타워)||||대한변호사협회
법무법인/한일|||02-6956-1301|서울 강남구 영동대로 511, 23층 (삼성동, 트레이드타워)||||대한변호사협회
법무법인/시완|||02-533-9331|서울 서초구 법원로2길 15, 406호, 407호 (서초동, 길도빌딩)||||대한변호사협회
법무법인/바를정|||042-471-7722|대전 서구 둔산중로78번길 36, 505호 (둔산동, 청우빌딩)||||대한변호사협회
법무법인/온|||031-217-0051|경기 수원시 영통구 광교중앙로248번길 7-2 , B동 701호, 702호 (하동, 원희캐슬 광교)||||대한변호사협회
법무법인/대인|||1522-5921|서울 서초구 서초대로50길 82, 4층 (서초동, 정원빌딩)||||대한변호사협회
법무법인/대한중앙|||070-4012-5012|서울 영등포구 국회대로70길 19, 507호 (여의도동, 대하빌딩)||||대한변호사협회
법무법인/도울|||523-3100|서울 서초구 서초대로 274, 13층 (서초동)||||대한변호사협회
법무법인/더함|||6384-5500|서울 은평구 통일로 684, 402호 (녹번동, 서울혁신파크)||||대한변호사협회
법무법인/강현|||02-2088-2251|서울 서초구 반포대로 138, 5층 (서초동, 양진빌딩)||||대한변호사협회
법무법인/천지로|||031-707-7424|경기 성남시 중원구 사기막골로45번길 14, 에이동 1104호, 1407호, 1612호, 1613호 (상대원동, 성남 우림 라이온스밸리)||||대한변호사협회
법무법인/국토|||6953-8556|서울 서초구 강남대로10길 5, 401호 (양재동, 충남빌딩)||||대한변호사협회
법무법인/오킴스|||538-5886|서울 강남구 도산대로 207, 6층 (신사동, 성도빌딩)||||대한변호사협회
법무법인/홍재|||031-214-9400|경기 수원시 영통구 광교중앙로248번길 7-2, 제비동 801호, 802호 (하동, 원희캐슬 광교)||||대한변호사협회
법무법인/기회|||02-511-7036|서울 서초구 법원로4길 41, 4층 (서초동, 명광빌딩)||||대한변호사협회
법무법인/위공|||010-4424-6463|서울 영등포구 국회대로70길 19, 307호 (여의도동, 대하빌딩)||||대한변호사협회
법무법인/서평|||6271-4300|서울 강남구 도곡로 194, 3층 (도곡동, 일양빌딩)||||대한변호사협회
법무법인/민영|||051-717-2997|부산 연제구 법원남로9번길 14, 4층 (거제동, 청담빌딩)||||대한변호사협회
법무법인/산운|||064-805-7001|제주 제주시 중앙로 326, 502호 (이도2동, 해피트리)||||대한변호사협회
법무법인/연승|||042-472-2510|대전 서구 둔산중로78번길 20, 902호, 903호 (둔산동, 명진빌딩)||||대한변호사협회
법무법인/태림|||501-6700|서울 강남구 테헤란로 416, 15층 (대치동, 연봉빌딩)||||대한변호사협회
법무법인/부원|||032-288-2300|경기 부천시 상일로 126, 508호 (상동, 뉴법조타운)||||대한변호사협회
법무법인/채움|||3434-8100|서울 강남구 강남대로84길 23, 404호 (역삼동, 한라클래식오피스텔)||||대한변호사협회
법무법인/도영|||583-8111|서울 서초구 서초대로 356, 15층 2호, 3호 (서초동, 서초지웰타워)||||대한변호사협회
법무법인/정직|||031-306-2202|경기 수원시 영통구 광교중앙로266번길 22, 3층 (하동, 광교법조프라자)||||대한변호사협회
법무법인/김김법률사무소|||052-275-9115|울산 남구 법대로14번길 31, 401호 (옥동, 법조빌딩)||||대한변호사협회
법무법인/케이앤엘|||534-1232|서울 서초구 서초대로 261, 4층 (서초동, 서혜빌딩)||||대한변호사협회
법무법인/중흥|||031-374-3750|경기 수원시 영통구 광교중앙로248번길 95-9, 2층 203호, 204호, 205호 (하동, 캡틴법조타운)||||대한변호사협회
법무법인/청녕|||043-283-2050|충북 청주시 서원구 구룡산로 362 (수곡동)||||대한변호사협회
법무법인/위즈|||595-7274|서울 서초구 서초중앙로 217, 9층 (반포동, 대동빌딩)||||대한변호사협회
법무법인/청안로|||051-714-0017|부산 연제구 법원로 28, 602호 (거제동, 부산법조타운빌딩)||||대한변호사협회
법무법인/조앤박|||042-476-4900|대전 서구 둔산중로 74, 506호 (둔산동, 인곡타워)||||대한변호사협회
법무법인/공도||||서울 서초구 서초중앙로24길 10, 4층 (서초동, 공도빌딩)||||대한변호사협회
법무법인/태양일리오스|||031-901-4402|경기 고양시 일산동구 장백로 200, 1010호 (장항동, 유국타워)||||대한변호사협회
법무법인/반우|||508-5200|서울 강남구 언주로 432, 9층 (역삼동, 타워432)||||대한변호사협회
법무법인/세범|||043-291-4701|충북 청주시 서원구 산미로 158, 3층 (산남동)||||대한변호사협회
법무법인/설현|||402-5582|서울 송파구 중대로 60, 801호 (문정동, 주윤빌딩)||||대한변호사협회
법무법인/민행|||2088-3559|서울 종로구 새문안로 92, 2210호 (신문로1가, 광화문오피시아빌딩)||||대한변호사협회
법무법인/송강|||031-411-1153|경기 안산시 단원구 광덕4로 102, 204호 (고잔동, 신원프라자)||||대한변호사협회
법무법인/여의|||780-9111|서울 영등포구 여의나루로 57, 9층 (여의도동, 신송센타빌딩)||||대한변호사협회
법무법인/애중|||055-267-1111|경남 창원시 성산구 창이대로689번길 4-3, 301호 (사파동, 대성빌딩)||||대한변호사협회
법무법인/에스에이치|||538-0404|서울 강남구 논현로 555, 7층 (역삼동, JW빌딩)||||대한변호사협회
법무법인/더가람|||055-747-4934|경남 진주시 진양호로 311, 2~3층 (신안동)||||대한변호사협회
법무법인/대진|||3477-8114|서울 서초구 서초중앙로 149-12, 1층 (서초동, 복빌딩)||||대한변호사협회
법무법인/오라클|||2182-3777|서울 강남구 영동대로 416, 1층 (대치동, 케이티앤지 타워)||||대한변호사협회
법무법인/승전|||6297-0007|서울 서초구 서초대로 265, 302호 (서초동, 대신빌딩)||||대한변호사협회
법무법인/광장|||772-4000|서울 중구 남대문로 63 (소공동, 한진빌딩)||||대한변호사협회
법무법인/라움|||3477-7006|서울 서초구 반포대로30길 81, 16층 (서초동, 웅진빌딩)||||대한변호사협회
법무법인/아리율|||592-8787|서울 서초구 서초중앙로 160, 1101호 (서초동, 법률센터)||||대한변호사협회
법무법인/지원피앤피|||042-472-2510|대전 서구 둔산중로78번길 20, 203호, 401호 (둔산동, 명진빌딩)||||대한변호사협회
법무법인/에스앤파트너스|||062-229-8300|광주 동구 동명로 102, 3~4층 (지산동)||||대한변호사협회
법무법인/형평|||518-0957|서울 강남구 강남대로156길 12, 6층 (신사동, 다복빌딩)||||대한변호사협회
법무법인/정현|||537-5917|서울 서초구 남부순환로350길 71, 2층 (양재동)||||대한변호사협회
법무법인/지현재|||523-1950|서울 서초구 서초대로46길 35, 5층 (서초동, 카노빌딩)||||대한변호사협회
법무법인/에이치로|||583-3999|서울 서초구 서초대로 240, 605호 (서초동, 서초동 동일하이빌)||||대한변호사협회
법무법인/로티스|||3775-3960|서울 종로구 종로3길 34, 801호 (청진동, 삼송빌딩)||||대한변호사협회
법무법인/승운|||521-7796|서울 서초구 서초중앙로 125, 1401호 (서초동, 로이어즈타워)||||대한변호사협회
법무법인/예인|||051-504-1101|부산 연제구 법원남로15번길 6, 701호 (거제동, 은하빌딩)||||대한변호사협회
법무법인/아미쿠스|||536-2001|서울 서초구 반포대로 138, 501호 (서초동, 양진빌딩)||||대한변호사협회
법무법인/인헌|||070-7863-9469|서울 강남구 테헤란로81길 13, 9층 (삼성동, 동원빌딩)||||대한변호사협회
법무법인/우호|||591-4749|서울 서초구 반포대로30길 47, 3층 (서초동, 행림빌딩)||||대한변호사협회
법무법인/제이앤|||6933-6973|서울 서초구 반포대로 108, 2층 (서초동, 양원빌딩)||||대한변호사협회
법무법인/정의와사랑|||585-2400|서울 서초구 서초대로 270, 7층 (서초동, 서보빌딩)||||대한변호사협회
법무법인/중앙|||02-522-8161|서울 서초구 서초대로46길 3, 2층 (서초동,경중빌딩)||||대한변호사협회
법무법인/클라스|||555-5007|서울 강남구 테헤란로44길 8 (역삼동, 아이콘역삼빌딩) (확장) 서울 강남구 테헤란로 306, 3층(카이트타워)||||대한변호사협회
법무법인/윤승|||6269-7000|서울 서초구 반포대로30길 33, 5층 (서초동, 블리스빌딩)||||대한변호사협회
법무법인/오른|||598-4544|서울 서초구 서초대로 339, 4층 (서초동, 성산빌딩)||||대한변호사협회
법무법인/비츠로|||3474-2200|서울 서초구 반포대로 86, 502호 (서초동, 신원빌딩)||||대한변호사협회
법무법인/정평재|||6084-0502|서울 서대문구 연희로 239, 3층 (연희동)||||대한변호사협회
법무법인/청음|||6326-0202|서울 서초구 법원로3길 26, 2층 (서초동, 한림빌딩)||||대한변호사협회
법무법인/수오재|||3454-2026|서울 강남구 강남대로 302, 16층 (역삼동, 대영빌딩)||||대한변호사협회
법무법인/선유|||041-523-4578|충남 천안시 동남구 청수14로 102, 에이스법조타워 503, 504, 505호 (청당동)||||대한변호사협회
법무법인/서중|||3487-0033|서울 서초구 서초대로 274, 9층 (서초동)||||대한변호사협회
법무법인/나율|||032-217-3000|경기 부천시 상일로 126, 201호, 206호, 207호 (상동, 뉴법조타운)||||대한변호사협회
법무법인/지헌|||596-4545|서울 서초구 반포대로28길 33, 3층 (서초동, 33빌딩)||||대한변호사협회
법무법인/중부로|||6672-0001|서울 서초구 서초대로 250, 7층, 803~5호 (서초동, 스타갤러리브릿지)||||대한변호사협회
법무법인/조운|||584-2581~2|서울 강남구 영동대로 511, 804호 (삼성동, 트레이드타워)||||대한변호사협회
법무법인/제민|||6956-4830|서울 서초구 서초중앙로24길 16, 3층 (서초동)||||대한변호사협회
법무법인/오륜|||051-503-0400|부산 연제구 법원로 34, 604호, 1202호 (거제동, 정림빌딩)||||대한변호사협회
법무법인/고우|||586-8595|서울 서초구 서초중앙로 108, 5층 (서초동, 케이원빌딩)||||대한변호사협회
법무법인/윤중|||599-5301|서울 서초구 서초중앙로26길 3, 302호 (서초동)||||대한변호사협회
법무법인/에스|||6203-3880|서울 서초구 서초대로 356, 3층 (서초동, 서초지웰타워)||||대한변호사협회
법무법인/갑을|||2039-6043|서울 서초구 강남대로30길 28, 302호 (양재동, 은경빌딩)||||대한변호사협회
법무법인/트리니티|||584-7007|서울 서초구 반포대로21길 3, 601호 (서초동, 이화빌딩)||||대한변호사협회
법무법인/건승|||031-654-5503|경기 평택시 평남로 1041, 2층 (동삭동, 모세빌딩)||||대한변호사협회
법무법인/감천||||서울 서초구 서초대로 259, 5층 (서초동, 서원빌딩)||||대한변호사협회
법무법인/율한|||051-506-0814~5|부산 연제구 법원로 20, 1303~5호 (거제동, 로제스티빌딩)||||대한변호사협회
법무법인/청린|||533-7022|서울 서초구 서초대로53길 15, 402호, 501호 (서초동, 정원빌딩)||||대한변호사협회
법무법인/대서양|||588-5900|서울 서초구 서초대로 396, 9층 (서초동, 강남빌딩)||||대한변호사협회
법무법인/서인|||010-5296-3353|서울 서초구 서초중앙로 151, 301~302호 (서초동, 정암빌딩)||||대한변호사협회
법무법인/예헌|||3478-2001|서울 서초구 서초중앙로 176, 7층 (서초동, 한울빌딩)||||대한변호사협회
법무법인/하온|||533-1777|서울 서초구 서초중앙로 43, 8층 (서초동, 로얄타워)||||대한변호사협회
법무법인/승본|||02-6000-3600|서울 강남구 테헤란로87길 36, 501호 (삼성동, 도심공항타워)||||대한변호사협회
법무법인/이경|||6497-5500|서울 서초구 서초대로 283, 5층 (서초동, 남촌빌딩)||||대한변호사협회
법무법인/장강|||3283-8800|서울 구로구 도림로23길 2, 5층 (구로동, 한호빌딩)||||대한변호사협회
법무법인/혜인|||2055-3652|서울 서초구 서초대로50길 8, 2층 (서초동, 관정빌딩)||||대한변호사협회
법무법인/석률|||051-506-9911|부산 연제구 법원로32번길 10, 602호, 603호 (거제동, 협성프라자빌딩)||||대한변호사협회
법무법인/광휘|||573-1201|서울 강남구 도곡로 152, 6층 (도곡동, 젠빌딩)||||대한변호사협회
법무법인/로드맵|||02-525-3981|서울 서초구 법원로4길 31, 5층 (서초동, 대원빌딩)||||대한변호사협회
법무법인/윤강|||02-2055-1422|서울 서초구 서초대로 264, 5층 3호 (서초동, 법조타워)||||대한변호사협회
법무법인/보인|||02-586-3836|서울 서초구 반포대로 138, 1층 (서초동, 양진빌딩)||||대한변호사협회
법무법인/필로|||02-2138-5745|서울 강남구 언주로 527, 9층 (역삼동, 강남텔레피아빌딩)||||대한변호사협회
법무법인/에너지|||02-6713-3534|서울 강남구 언주로 723, 5층 (논현동, 구산빌딩)||||대한변호사협회
법무법인/태성|||02-2191-3702|서울 서초구 반포대로30길 81, 9층 902호 (서초동, 웅진타워)||||대한변호사협회
법무법인/다움|||568-4506|서울 강남구 영동대로 511, 4506호 (삼성동, 트레이드타워)||||대한변호사협회
법무법인/조우|||032-872-6601|인천 남구 학익소로 19, 401호 (학익동, 한림법조타운)||||대한변호사협회
법무법인/심평|||2038-4679|서울 서초구 반포대로30길 81, 13층 (서초동, 웅진타워)||||대한변호사협회
스타트/법무법인|||6486-0011|서울 강남구 남부순환로 2621, 12층 1228호 (도곡동, 서브원 강남빌딩)||||대한변호사협회
법무법인/통인|||031-873-9983|경기 의정부시 녹양로 44, 삼형빌딩 501호 (가능동)||||대한변호사협회
법무법인/광화|||02-594-5670|서울 서초구 법원로2길 17-8, 301호 (서초동, 구유빌딩)||||대한변호사협회
법무법인/수륜아시아|||591-8600|서울 송파구 양재대로 932, 1220~3호 (가락동, 가락몰 업무동)||||대한변호사협회
법무법인/해온|||02-6959-3168|서울 서초구 법원로4길 32, 401호 (서초동, 부민빌딩)||||대한변호사협회
법무법인/세종로|||042-482-6611|세종 한누리대로 2144, 303호 (보람동, 스마트허브Ⅱ)||||대한변호사협회
법무법인/남일|||053-756-4422|대구 수성구 동대구로 395 , 3층 301호 (범어동, 참저축은행빌딩)||||대한변호사협회
법무법인/중용|||523-2027|서울 서초구 서초대로 324, 3층 (서초동, 서원빌딩)||||대한변호사협회
법무법인/지평|||6200-1600|서울 서대문구 충정로 60, 8~11층 (미근동, (주)케이티앤지 서대문 타워)||||대한변호사협회
법무법인/광무|||053-754-6200|대구 수성구 동대구로 354, 402호 (범어동, 브라운스톤범어)||||대한변호사협회
법무법인/열린마음|||042-716-7114|대전 서구 둔산로137번길 44, 303-304호 (둔산동, 서림빌딩)||||대한변호사협회
법무법인/창해|||055-264-5090|경남 창원시 성산구 동산로220번길 25, 2층 (사파동, 삼복빌딩)||||대한변호사협회
법무법인/감동으로|||062-223-0500|광주 동구 동명로 107, 201호, 301호 (지산동, 금강빌딩)||||대한변호사협회
법무법인/정예|||534-9003|서울 서초구 서초중앙로24길 27 , 524호 (서초동, G5센트럴프라자)||||대한변호사협회
법무법인/채운|||051-715-1230|부산 연제구 법원남로15번길 12, 402호 (거제동, 대한타워빌딩)||||대한변호사협회
법무법인/자산|||720-4242|서울 중구 을지로5길 26, 동관 8층 (수하동, 미래에셋 CENTER 1)||||대한변호사협회
법무법인/온율|||032-508-2145~7|인천 부평구 신트리로6번길 6, 혜성빌딩 601호, 602호, 603호 (부평동, 혜성빌딩)||||대한변호사협회
법무법인/무본|||593-2500|서울 서초구 서초중앙로 158, 302호 (서초동, 남계빌딩)||||대한변호사협회
법무법인/등정|||2039-3395|서울 동작구 동작대로1길 35, 제2층 제201호 (사당동, 씨에스빌딩)||||대한변호사협회
법무법인/승민|||064-805-9813|제주 제주시 중앙로 298, 2층 (이도2동, 이튼빌딩)||||대한변호사협회
법무법인/열림|||02-552-5500|서울 강남구 테헤란로 524, 4층 (대치동, 삼성대세빌딩)||||대한변호사협회
법무법인/온세|||3477-0300|서울 서초구 서초대로49길 12, 405호 (서초동, 한승ASTRA 2)||||대한변호사협회
법무법인/인월|||3482-7900|서울 서초구 서초대로41길 20, 5층 (서초동, 화인빌딩)||||대한변호사협회
법무법인/진성|||598-5888|서울 서초구 사임당로 171, 6층 (서초동, EWR빌딩)||||대한변호사협회
법무법인/더정성|||052-272-3355|울산 남구 문수로 414, 2층 (신정동, 종하빌딩)||||대한변호사협회
법무법인/사람|||2633-5796|서울 영등포구 양산로 57-5, 806호 (양평동3가, 양평동 이노플렉스)||||대한변호사협회
법무법인/오천|||02-3491-2600|서울 강남구 테헤란로 447, 17층 (삼성동, KB우준타워)||||대한변호사협회
로엘법무법인|||6747-1110|서울 서초구 서초대로 274, 6층 (서초동, 3000타워)||||대한변호사협회
법무법인/채율|||2642-1500|서울 서초구 서초중앙로 152, 8층 (서초동, 우민빌딩)||||대한변호사협회
법무법인/엘에이비파트너스|||6956-0250|서울 강남구 테헤란로 501, 8층 (삼성동, 브이플렉스)||||대한변호사협회
법무법인/대륜||||부산 연제구 법원로 28, 204호 (거제동, 부산법조타운빌딩)||||대한변호사협회
법무법인/태경|||02-521-1110|서울 서초구 법원로1길 1, 5층 (서초동, 서호빌딩)||||대한변호사협회
법무법인/준평|||6216-2500|서울 강남구 강남대로 624, 7층 (신사동, ICT TOWER)||||대한변호사협회
케이앤엘/태산/법무법인|||02-6326-8880|서울 서초구 서초중앙로22길 109, 101호 (서초동, 스톤캐슬)||||대한변호사협회
법무법인/상생|||051-714-3395|부산 연제구 법원남로15번길 10, 701호 (거제동, 미르코아빌딩)||||대한변호사협회
법무법인/한남|||790-2777|서울 용산구 독서당로 122-1, 6층 (한남동, 포트힐(Fort Hill) 빌딩)||||대한변호사협회
법무법인/산우|||02-584-5533|서울 서초구 서초대로48길 33, 7층 (서초동, 허브 원)||||대한변호사협회
법무법인/율본|||02-537-3784|서울 서초구 법원로 16, 지1층 1호 (서초동, 정곡빌딩동관)||||대한변호사협회
법무법인/성연|||051-714-3379|부산 연제구 법원로 40, 2층, 4층 (거제동, 서정빌딩)||||대한변호사협회
법무법인/영민|||585-5701|서울 서초구 서초대로49길 12, 509호 (서초동, 한승ASTRA 2)||||대한변호사협회
법무법인/윈스|||556-6800|서울 강남구 삼성로 566, 2층 (삼성동, 빌딩엠)||||대한변호사협회
법무법인/유준|||6279-2900|서울 영등포구 국제금융로8길 31, 11층 (여의도동, SK증권빌딩)||||대한변호사협회
법무법인/새강|||597-5507|서울 서초구 서초중앙로 108, 4층 (서초동, 케이원빌딩)||||대한변호사협회
법무법인/창과방패|||032-873-9901|인천 남구 소성로185번길 28, 201호, 202호 (학익동, 명인빌딩)||||대한변호사협회
법무법인/모두의/법률|||6082-1500|서울 강남구 학동로42길 21, 3층 (논현동, 규우빌딩)||||대한변호사협회
법무법인/해|||581-3300|서울 서초구 서초대로42길 51, 2층 (서초동, 마노빌딩)||||대한변호사협회
법무법인/요수|||02-2038-4124|서울 서초구 서초대로41길 16, 4층 (서초동, 정경빌딩)||||대한변호사협회
법무법인/로이즈|||042-484-8400|대전 서구 둔산중로78번길 26 (둔산동) 506호(둔산동, 민석타워)||||대한변호사협회
법무법인/뿌리|||062-232-8583|광주 동구 동명로 110 , 409호(지산동)||||대한변호사협회
법무법인/선재|||6203-5300|서울 서초구 반포대로34길 14,502호(서초동,정명빌딩)||||대한변호사협회
법무법인/연호|||053-743-1500|대구 수성구 동대구로 358-4,1층(범어동,대화빌딩)||||대한변호사협회
법무법인/훈민|||3471-1278|서울 서초구 서초중앙로 117 , 13층(서초동, 훈민타워)||||대한변호사협회
법무법인/로앤|||555-7455|서울 강남구 논현로87길 25 , 3층, 4층(역삼동, HB타워)||||대한변호사협회
법무법인/현율|||031-816-0200|경기 고양시 일산동구 중앙로 1197 , 5층(장항동, 형지 제3빌딩)||||대한변호사협회
법무법인/해성|||6338-2883|서울 서초구 서초대로 254 , 7층 708, 709호(서초동, 오퓨런스빌딩)||||대한변호사협회
법무법인/해담|||031-216-2400|경기 수원시 영통구 광교중앙로248번길 40 , 611호(하동, 광교스마트법조프라자)||||대한변호사협회
법무법인/서상|||598-2722|서울 서초구 서초중앙로18길 35 , 2층(서초동, 씨앤씨빌딩)||||대한변호사협회
법무법인/규장각|||031-605-9991|경기 성남시 수정구 산성대로 445 , 3층(단대동)||||대한변호사협회
법무법인/경세|||3481-1785|서울 서초구 서초중앙로 154 , 703호(서초동, 화평빌딩)||||대한변호사협회
법무법인/범증|||3477-1400|서울 도봉구 도봉로152가길 176 , 3층(도봉동, 아테나빌딩)||||대한변호사협회
법무법인/평산|||582-8500|서울 서초구 반포대로30길 81 , 4층(서초동, 웅진타워)||||대한변호사협회
법무법인/일맥|||053-759-9550|대구 수성구 동대구로 379 , 201호(범어동, 태윤빌딩)||||대한변호사협회
법무법인/리인|||3445-6600|서울 강남구 논현로 612 , 401호(논현동, M빌딩)||||대한변호사협회
법무법인/에스엘|||402-7650|서울 송파구 법원로 96 , 304호(문정동, 문정법조프라자)||||대한변호사협회
법무법인/굳센|||597-0773|서울 서초구 서초중앙로 115 , 4층(서초동, 서용빌딩)||||대한변호사협회
법무법인/하정|||2088-1191|서울 서초구 반포대로 114 , 3층(서초동, 서초에스알타워)||||대한변호사협회
법무법인/소백|||739-7838|서울 종로구 새문안로5가길 28 , 501호(적선동, 광화문플래티넘)||||대한변호사협회
법무법인/늘품|||525-2002|서울 서초구 반포대로 104, 2층 (서초동, 서일빌딩)||||대한변호사협회
법무법인/라온|||553-2112|서울 서초구 서초대로 347 , 902호(서초동, 서초디타워)||||대한변호사협회
법무법인/재현|||031-876-3231|경기 의정부시 녹양로34번길 36 , 302호(가능동, 현도빌딩)||||대한변호사협회
법무법인/오름|||555-2295|서울 강남구 역삼로 110, 2층 (역삼동, 태양21)||||대한변호사협회
법무법인/류강|||053-745-9911|대구 수성구 동대구로 354 , 3층 302호(범어동, 브라운스톤 범어)||||대한변호사협회
법무법인/이평|||559-6061|서울 서초구 반포대로 118 , 3층(서초동, 우림빌딩)||||대한변호사협회
법무법인/엘플러스|||785-1103|서울 마포구 월드컵북로 396 , 7층(상암동, 누리꿈스퀘어 연구개발타워)||||대한변호사협회
법무법인/효명|||537-5005|서울 서초구 법원로2길 17-5 , 1층(서초동, 백영빌딩)||||대한변호사협회
법무법인/온유|||031-8015-4758|경기 화성시 동탄반석로 208 , 401호(반송동, 아인슈타인프라자)||||대한변호사협회
법무법인/예화|||862-9596|서울 서초구 법원로2길 15 , 205호(서초동, 길도빌딩)||||대한변호사협회
법무법인/호민|||031-216-0061|경기 수원시 영통구 광교중앙로248번길 95-9, 6층 (하동, 캡틴법조타운)||||대한변호사협회
법무법인/백승|||2672-3500|서울 양천구 목동로9길 2, 2층 (신정동, 오르비에토빌딩)||||대한변호사협회
