##NAME|SUBNAME|ID|TELNUM|NEWADDR|OWNER|SOURCE2@@회계사
가교회계법인||제187호|569-9808|서울특별시 강남구 삼성로95길 6,4층(삼성동,삼혜빌딩) (우편번호 06157)|강효식|한국공인회계사회
대주회계법인|분사무소|제87호|055-273-2600|경상남도 창원시 의창구 충혼로 91(두대동,창원문성대학) (우편번호 51410)|권장시,최문원|한국공인회계사회
대주회계법인|분사무소|제87호|062-369-7300|광주광역시 서구 상무대로 1071,6층(화정동,대광빌딩) (우편번호 61979)|권장시,최문원|한국공인회계사회
대주회계법인|분사무소|제87호|043-276-5005|충청북도 청주시 상당구 1순환로 1239,201호(용암동,청주타워빌딩) (우편번호 28776)|권장시,최문원|한국공인회계사회
대현회계법인||제141호|552-6100|서울특별시 강남구 테헤란로103길 6,502호(삼성동,한진빌딩) (우편번호 06173)|송재현,이광준|한국공인회계사회
대현회계법인|분사무소|제141호|525-5382|서울특별시 서초구 효령로60길 13,501호(서초동,브릿지웰빌딩) (우편번호 06721)|송재현,이광준|한국공인회계사회
더클회계법인||제265호|535-5454|서울특별시 서초구 사평대로52길 1,201호(서초동,대경빌딩) (우편번호 06609)|원형태|한국공인회계사회
더클회계법인|분사무소|제265호|742-7297|서울특별시 종로구 종로 19,A동 1303호(종로1가,르메이에르종로타운1) , 13층 (우편번호 03157)|원형태|한국공인회계사회
더클회계법인|분사무소|제265호|2679-6515|서울특별시 영등포구 당산로 171,2층 201호(당산동4가,금강펜테리움IT타워) (우편번호 07217)|원형태|한국공인회계사회
도원회계법인||제116호|539-2710/1|서울특별시 강남구 테헤란로87길 21,5층(삼성동,동성빌딩) (우편번호 06169)|임진윤|한국공인회계사회
도원회계법인|분사무소|제116호|3673-1700|서울특별시 종로구 인사동5길 29,1204호(인사동,태화빌딩) (우편번호 03162)|임진윤|한국공인회계사회
동남회계법인||제98호|3453-5060|서울특별시 강남구 역삼로 153(역삼동,케이엘넷빌딩) , 5층 (우편번호 06246)|조경영|한국공인회계사회
동남회계법인|분실|제98호|501-0024|서울특별시 강남구 논현로 338,4,6층(역삼동,경안빌딩) (우편번호 06227)|조경영|한국공인회계사회
동명회계법인||제108호|062-383-4188|광주광역시 서구 상무중앙로 43,7층(치평동,BYC빌딩) (우편번호 61962)|정준섭,정내석,선흥규|한국공인회계사회
동명회계법인|분사무소|제108호|063-255-3100|전라북도 전주시 완산구 홍산중앙로 42(효자동3가,호암빌딩) , 5층 (우편번호 54969)|정준섭,정내석,선흥규|한국공인회계사회
동명회계법인|분사무소|제108호|061-287-0200|전라남도 목포시 신흥로 50,3층(상동,광주은행하당지점) (우편번호 58691)|정준섭,정내석,선흥규|한국공인회계사회
동서회계법인||제182호|552-6506|서울특별시 강남구 테헤란로108길 29,1층(대치동,상림빌딩) (우편번호 06175)|송영섭,김형주,윤중선|한국공인회계사회
동서회계법인|분사무소|제182호|033-744-4477|강원도 원주시 평원로 126(학성동) (우편번호 26414)|송영섭,김형주,윤중선|한국공인회계사회
동서회계법인|분사무소|제182호|565-7100|서울특별시 강남구 역삼로 138,401호(역삼동,동광빌딩) (우편번호 06250)|송영섭,김형주,윤중선|한국공인회계사회
동아송강회계법인||제184호|6387-3300|서울특별시 서초구 강남대로 221,408호(양재동) , 양재역환승주차장 4층 (우편번호 06749)|박병곤,박창하|한국공인회계사회
동아송강회계법인|분사무소|제184호|042-222-6097|대전광역시 서구 계룡로 387,2-4층(갈마동,범주빌딩) (우편번호 35231)|박병곤,박창하|한국공인회계사회
동아송강회계법인|분사무소|제184호|051-512-3938|부산광역시 동구 중앙대로320번길 7-2,5층(초량동,명진빌딩) (우편번호 48729)|박병곤,박창하|한국공인회계사회
동아송강회계법인|분사무소|제184호|782-8712|서울특별시 금천구 가산디지털1로 70,109호(가산동,호서대벤처타워) (우편번호 08590)|박병곤,박창하|한국공인회계사회
동아송강회계법인|분사무소|제184호|070-7713-0975|경상북도 구미시 금오시장로 6(원평동) , 2층 (우편번호 39229)|박병곤,박창하|한국공인회계사회
동아송강회계법인|분사무소|제184호|053-763-0700|대구광역시 수성구 청수로 97(황금동) , 5층 (우편번호 42149)|박병곤,박창하|한국공인회계사회
동원회계법인||제174호|051-463-6655|부산광역시 동구 중앙대로 233,4층(초량동,해정빌딩) (우편번호 48815)|김은태|한국공인회계사회
동원회계법인|분실|제174호|051-804-7238|부산광역시 동구 중앙대로320번길 7-2,6층(초량동,명진빌딩) (우편번호 48729)|김은태|한국공인회계사회
명일회계법인||제257호|6138-3467|서울특별시 영등포구 국제금융로 10,쓰리아이에프씨동(여의도동,서울국제금융센터) , 서울국제금융센터 43층 (우편번호 07326)|명장호|한국공인회계사회
명일회계법인|분사무소|제257호|054-728-9602|경상북도 포항시 북구 대해로 11(용흥동) , 2층 (우편번호 37750)|명장호|한국공인회계사회
미래회계법인||제124호|031-259-6315|경기도 수원시 영통구 광교로 107,14층(이의동,경기도중소기업지원센터) (우편번호 16229)|문병무|한국공인회계사회
미립회계법인||제197호|842-6800|서울특별시 용산구 서빙고로 5,902호(한강로2가,신원빌딩) (우편번호 04387)|최진민,최영렬|한국공인회계사회
미립회계법인|분사무소|제197호|063-246-0427|전라북도 전주시 완산구 영선로 7-50,403호(효자동3가,승인빌딩) (우편번호 54969)|최진민,최영렬|한국공인회계사회
미립회계법인|분사무소|제197호|063-277-9393|전라북도 전주시 완산구 영선로 7-50(중화산동2가) , 3층 (우편번호 54981)|최진민,최영렬|한국공인회계사회
미성회계법인||제249호|053-255-0222|대구광역시 달서구 당산로 137,2층(감삼동) (우편번호 42651)|김동렬|한국공인회계사회
미성회계법인|분사무소|제249호|449-7907|서울특별시 송파구 충민로 81-18,201호(문정동,일성빌딩) (우편번호 05817)|김동렬|한국공인회계사회
미성회계법인|분사무소|제249호|053-768-7880|대구광역시 수성구 동대구로 6(지산동) , 4층 (우편번호 42186)|김동렬|한국공인회계사회
바름회계법인||제286호|733-5555|서울특별시 중구 장충단로 247,1506호(을지로6가,굿모닝시티) (우편번호 04564)|이헌철,남병노,김도형|한국공인회계사회
바름회계법인|분사무소|제286호|849-0088|서울특별시 구로구 새말로16길 70(구로동,다솜상가) (우편번호 08296)|이헌철,남병노,김도형|한국공인회계사회
반석회계법인||제253호|566-6954|서울특별시 강남구 테헤란로69길 13,3층(삼성동,명지빌딩) (우편번호 06160)|김정호,한윤교|한국공인회계사회
백한회계법인||제297호|6030-8526|서울특별시 중구 을지로5길 26,3층(수하동,미래에셋 센터원빌딩 동관) (우편번호 04539)|이경로|한국공인회계사회
보람회계법인||제146호|053-471-8561|대구광역시 남구 봉덕로 9,6층(봉덕동,보명빌딩) (우편번호 42430)|홍덕조,이준영|한국공인회계사회
부경회계법인||제189호|051-817-0472|부산광역시 부산진구 황령대로 24,4층(범천동,부산상공회의소) (우편번호 47354)|심삼보|한국공인회계사회
부영회계법인||제275호|051-902-9800|부산광역시 동구 중앙대로260번길 7-5,101호(초량동,부산항운노조종합복지회관) (우편번호 48731)|조상구,이선관|한국공인회계사회
부일회계법인||제276호|051-464-5425|부산광역시 동구 중앙대로260번길 7-5,5층(초량동,항운회관) (우편번호 48731)|이종명|한국공인회계사회
삼덕회계법인||제6호|3976-700|서울특별시 종로구 우정국로 48(견지동,S&S빌딩) , 12층 (우편번호 03145)|이용모|한국공인회계사회
삼덕회계법인|분사무소|제6호|031-405-5731|경기도 안산시 단원구 광덕4로 234,301-3호(고잔동,천혜로데오프라자) (우편번호 15464)|이용모|한국공인회계사회
삼덕회계법인|분사무소|제6호|3412-6811|서울특별시 송파구 중대로 101,203호(가락동,동부썬빌) (우편번호 05719)|이용모|한국공인회계사회
삼덕회계법인|분사무소|제6호|051-896-7200|부산광역시 부산진구 중앙대로666번길 50,E동 3층(부전동,더샵 센트럴스타) (우편번호 47300)|이용모|한국공인회계사회
삼덕회계법인|분사무소|제6호|062-223-4700|광주광역시 동구 금남로 234(금남로2가,유광빌딩) , 7층 (우편번호 61482)|이용모|한국공인회계사회
삼덕회계법인|분사무소|제6호|569-5991|서울특별시 강남구 테헤란로113길 13(삼성동,칠성빌딩) , 2층 203호 (우편번호 06173)|이용모|한국공인회계사회
삼도회계법인||제246호|511-2460|서울특별시 서초구 사평대로 361,2층(반포동,청원빌딩) (우편번호 06542)|김동률|한국공인회계사회
삼도회계법인|분사무소|제246호|041-553-9595|충청남도 천안시 서북구 불당34길 2,3층(불당동) (우편번호 31156)|김동률|한국공인회계사회
삼도회계법인|분사무소|제246호|070-4467-7101|부산광역시 해운대구 센텀서로 30,1701호(우동,케이엔엔타워) (우편번호 48058)|김동률|한국공인회계사회
삼도회계법인|분사무소|제246호|054-810-7722|경상북도 김천시 혁신로 185,504호(율곡동,메타폴리스) (우편번호 39660)|김동률|한국공인회계사회
삼도회계법인|분실|제246호|511-2662|서울특별시 서초구 사평대로55길 33(반포동,진석빌딩) , 3층 (우편번호 06542)|김동률|한국공인회계사회
삼영회계법인||제151호|2277-8070|서울특별시 중구 퇴계로 307,11층(광희동1가,광희빌딩) (우편번호 04560)|손언승|한국공인회계사회
삼영회계법인|분사무소|제151호|070-8765-1900|서울특별시 강남구 선릉로131길 8,6층(논현동,노벨2빌딩) (우편번호 06059)|손언승|한국공인회계사회
삼영회계법인|분실|제151호|070-4237-3042|서울특별시 강남구 테헤란로8길 8,1002호(역삼동,흥은빌딩) (우편번호 06233)|손언승|한국공인회계사회
삼우회계법인||제220호|2057-9088|서울특별시 강남구 논현로 305(역삼동,세듀타워) , 2층 (우편번호 06257)|마성욱|한국공인회계사회
삼원회계법인||제271호|053-719-3191|대구광역시 중구 동덕로 61,5층(대봉동,선모빌딩) (우편번호 41954)|장해열,이재호,현수룡|한국공인회계사회
삼원회계법인|분사무소|제271호|053- 248-9450|대구광역시 중구 명덕로 261,2층(대봉동,진각문화회관) (우편번호 41956)|장해열,이재호,현수룡|한국공인회계사회
삼일회계법인||제23호|3781-3131|서울특별시 용산구 한강대로 100(한강로2가) (우편번호 04386)|김영식|한국공인회계사회
삼일회계법인|분사무소|제23호|042-716-3031|세종시  한누리대로 234,713호(나성동,르네상스) (우편번호 30128)|김영식|한국공인회계사회
삼일회계법인|분실|제23호|3781-3131|서울특별시 용산구 한강대로 92(한강로2가) (우편번호 04386)|김영식|한국공인회계사회
삼정회계법인||제83호|2112-0100|서울특별시 강남구 테헤란로 152,27층(역삼동,스타타워) (우편번호 06236)|김교태|한국공인회계사회
삼정회계법인|분실|제83호|2112-7463|서울특별시 강남구 논현로85길 28(역삼동,대한성서공회빌딩) (우편번호 06236)|김교태|한국공인회계사회
삼지회계법인||제224호|567-6210|서울특별시 강남구 선릉로94길 7,2층(삼성동,현죽빌딩) (우편번호 06161)|유기열,최환열|한국공인회계사회
삼지회계법인|분사무소|제224호|031-403-1661|경기도 안산시 단원구 광덕대로 161,502호(고잔동,웅신아트프라자) (우편번호 15471)|유기열,최환열|한국공인회계사회
삼지회계법인|분실|제224호|538-0872|서울특별시 성동구 아차산로 103,901호(성수동2가,영동테크노타워) (우편번호 04794)|유기열,최환열|한국공인회계사회
삼지회계법인|분사무소|제224호|063-253-4555|전라북도 전주시 완산구 홍산로 238,7층(효자동2가,메트로빌딩) (우편번호 54969)|유기열,최환열|한국공인회계사회
삼화회계법인||제112호|3452-9793|서울특별시 강남구 봉은사로 407(삼성동,삼화빌딩) , 12층 (우편번호 06097)|김태진,구자명,구병주|한국공인회계사회
삼화회계법인|분사무소|제112호|053-746-8100|대구광역시 동구 동대구로 487(신천동) , 대구빌딩 2층 (우편번호 41256)|김태진,구자명,구병주|한국공인회계사회
상록회계법인||제143호|3442-4851|서울특별시 서초구 강남대로 581,5층(잠원동,푸른빌딩) (우편번호 06530)|이화범|한국공인회계사회
상록회계법인|분사무소|제143호|868-8400|서울특별시 구로구 디지털로 288,1동 201호(구로동,대륭포스트타워) (우편번호 08390)|이화범|한국공인회계사회
상록회계법인|분사무소|제143호|042-538-2201|대전광역시 서구 유등로 641,7층(용문동,타이어뱅크건물) (우편번호 35309)|이화범|한국공인회계사회
새빛회계법인||제118호|3438-2443|서울특별시 강남구 언주로 711,2층(논현동,건설회관) (우편번호 06050)|박승하|한국공인회계사회
서린회계법인||제198호|3445-0065|서울특별시 강남구 언주로 527,7층(역삼동,텔레피아빌딩) (우편번호 06138)|박경기,김사성|한국공인회계사회
서린회계법인|분사무소|제198호|063-255-3111|전라북도 전주시 덕진구 진북로 10,2층(진북동) (우편번호 54990)|박경기,김사성|한국공인회계사회
서린회계법인|분사무소|제198호|053-431-0202|대구광역시 남구 대명로 302(대명동) , 4,5층 (우편번호 42449)|박경기,김사성|한국공인회계사회
서린회계법인|분실|제198호|563-8355|서울특별시 강남구 테헤란로 333,11층(역삼동,신도벤처타워) (우편번호 06150)|박경기,김사성|한국공인회계사회
서우회계법인||제237호|6427-0800|서울특별시 강남구 테헤란로 123(역삼동,여삼빌딩) , 3층,12층 (우편번호 06133)|이용찬|한국공인회계사회
서율회계법인||제296호|598-1103|서울특별시 서초구 반포대로20길 27(서초동,서궁빌딩) , 2층 (우편번호 06649)|이창순|한국공인회계사회
서율회계법인|분실|제296호|070-4070-8333|서울특별시 영등포구 국제금융로6길 30,1002-2(여의도동,백상빌딩) (우편번호 07328)|이창순|한국공인회계사회
서율회계법인|분사무소|제296호|032-715-5350|경기도 부천시 중동로248번길 52,306호(중동,네이버시티빌딩) (우편번호 14548)|이창순|한국공인회계사회
서현회계법인||제117호|3218-8000|서울특별시 강남구 테헤란로 440,3층(대치동,포스코센터 서관) (우편번호 06194)|강성원,이재덕|한국공인회계사회
서현회계법인|분사무소|제117호|053-651-6900|대구광역시 남구 두류공원로 16-2,4,5층(대명동) (우편번호 42470)|강성원,이재덕|한국공인회계사회
선경회계법인||제267호|786-7742|서울특별시 중구 동호로 336,13층 1301호(쌍림동,한림빌딩) (우편번호 04560)|이호상,권영모|한국공인회계사회
선경회계법인|분사무소|제267호|785-7577|서울특별시 영등포구 국회대로66길 23,3층(여의도동,산정빌딩) (우편번호 07237)|이호상,권영모|한국공인회계사회
선경회계법인|분사무소|제267호|042-822-0580|대전광역시 유성구 죽동로297번길 68,603호(죽동) , CNU프라자 (우편번호 34127)|이호상,권영모|한국공인회계사회
선명회계법인||제123호|559-0900|서울특별시 강남구 테헤란로 306,14층(역삼동,카이트타워) (우편번호 06210)|신민철|한국공인회계사회
선명회계법인|분사무소|제123호|064-900-2300|제주도 제주시 오남로6길 30,2층(오라일동,유성빌딩) (우편번호 63146)|신민철|한국공인회계사회
선명회계법인|분사무소|제123호|032-562-0127|인천광역시 서구 서곶로 327-1,4층(심곡동,명원빌딩) (우편번호 22725)|신민철|한국공인회계사회
선우회계법인||제228호|043-234-2000|충청북도 청주시 흥덕구 2순환로1167번길 4,5층(복대동,호인리더스빌딩) (우편번호 28418)|조성근,김수남|한국공인회계사회
선우회계법인|분사무소|제228호|041-622-7400|충청남도 천안시 서북구 오성로 103(두정동) , 청풍프라자 601호 (우편번호 31106)|조성근,김수남|한국공인회계사회
선율회계법인||제288호|6101-3800|서울특별시 금천구 가산디지털2로 70,6층 601호(가산동,대륭테크노타운19차) (우편번호 08589)|우정식|한국공인회계사회
선율회계법인|분사무소|제288호|563-1920|서울특별시 강남구 삼성로86길 24(대치동) , 2,5층 (우편번호 06184)|우정식|한국공인회계사회
선일회계법인||제281호|051-647-3100|부산광역시 남구 자성로 152,401호(문현동,한일O/T) (우편번호 48475)|반경찬|한국공인회계사회
선일회계법인|분사무소|제281호|062-412-8100|광주광역시 남구 중앙로 87(서동) , 10층 (우편번호 61637)|반경찬|한국공인회계사회
선진회계법인||제114호|02-553-7471|서울특별시 강남구 논현로 422(역삼동,키움예스저축은행빌딩) , 5-6층 (우편번호 06223)|조국행|한국공인회계사회
선진회계법인|분사무소|제114호|053-654-5645|대구광역시 남구 명덕로 104,1층(대명동,디지탈산업진흥원지원센터) (우편번호 42403)|조국행|한국공인회계사회
선진회계법인|분사무소|제114호|031-876-8490|경기도 의정부시 둔야로 49,6층(의정부동,효성빌딩) (우편번호 11673)|조국행|한국공인회계사회
선진회계법인|분실|제114호|565-8347|서울특별시 강남구 논현로85길 25,4층(역삼동,덕화빌딩) (우편번호 06237)|조국행|한국공인회계사회
성도이현회계법인||제120호|517-8333|서울특별시 강남구 테헤란로 508(대치동,해성2빌딩) , 9층,12층 (우편번호 06178)|박근서|한국공인회계사회
성도이현회계법인|분사무소|제120호|051-463-7222|부산광역시 동구 중앙대로320번길 7,5층(초량동,성도빌딩) (우편번호 48729)|박근서|한국공인회계사회
성도이현회계법인|분사무소|제120호|053-754-6100|대구광역시 동구 화랑로 9,7층(신천동,천우빌딩) (우편번호 41253)|박근서|한국공인회계사회
성도이현회계법인|분사무소|제120호|055-266-5511|경상남도 창원시 의창구 원이대로 320,201호(대원동,더시티세븐트레이드센터) (우편번호 51408)|박근서|한국공인회계사회
성도이현회계법인|분실|제120호|513-0265|서울특별시 강남구 테헤란로 124(역삼동,삼원타워) , 10층 (우편번호 06234)|박근서|한국공인회계사회
성문회계법인||제239호|053-527-3629|대구광역시 남구 봉덕로 14(봉덕동,성문빌딩) , 7층 (우편번호 42445)|안영기,김현희|한국공인회계사회
성문회계법인|분사무소|제239호|031-402-1950|경기도 안산시 단원구 광덕대로 130,A-601(고잔동,폴리타운) (우편번호 15477)|안영기,김현희|한국공인회계사회
성문회계법인|분실|제239호|053-471-3778|대구광역시 수성구 국채보상로 826,6층(범어동,유성스포츠프라자) (우편번호 42010)|안영기,김현희|한국공인회계사회
성문회계법인|분사무소|제239호|054-249-0933|경상북도 포항시 북구 용당로 143,3층(신흥동,KT서포항지점) (우편번호 37706)|안영기,김현희|한국공인회계사회
성산회계법인||제216호|055-237-8555|경상남도 창원시 의창구 용지로153번길 4-15,5층(용호동,태화빌딩) (우편번호 51436)|김정화|한국공인회계사회
성산회계법인|분사무소|제216호|051-442-4150|부산광역시 동구 중앙대로226번길 7-3,5층(초량동,성평빌딩) (우편번호 48733)|김정화|한국공인회계사회
성산회계법인|분실|제216호|055-252-8777|경상남도 창원시 의창구 중앙대로 225,경상남도지방행정 동호회관 104호(용호동,경상남도 창업보육센터) (우편번호 51430)|김정화|한국공인회계사회
성산회계법인|분사무소|제216호|538-9795|서울특별시 강남구 영동대로 324,8층(대치동,타워크리스탈빌딩) (우편번호 06177)|김정화|한국공인회계사회
성운회계법인||제202호|562-5520|서울특별시 서초구 바우뫼로27길 7-35(양재동,성우빌딩) , 2층 (우편번호 06752)|이남용|한국공인회계사회
성운회계법인|분사무소|제202호|3281-6800|서울특별시 금천구 디지털로9길 99,201호(가산동,스타밸리) (우편번호 08510)|이남용|한국공인회계사회
성운회계법인|분사무소|제202호|033-648-5515|강원도 강릉시 솔올로 50,3층(교동,성창빌딩) (우편번호 25510)|이남용|한국공인회계사회
성운회계법인|분사무소|제202호|055-266-5520|경상남도 창원시 성산구 창이대로692번길 5,604호(사파동,드림캐슬빌딩) (우편번호 51448)|이남용|한국공인회계사회
성운회계법인|분실|제202호|562-8100|서울특별시 송파구 중대로 60(문정동,주윤빌딩) , 7층 (우편번호 05833)|이남용|한국공인회계사회
성율회계법인||제254호|2202-2800|서울특별시 송파구 백제고분로 121,3층(잠실동,베네빌딩) (우편번호 05570)|성권상|한국공인회계사회
성율회계법인|분사무소|제254호|064-757-3131|제주도 제주시 청사로 13,2층(도남동) (우편번호 63219)|성권상|한국공인회계사회
성율회계법인|분사무소|제254호|052-261-8871|울산광역시 남구 왕생로144번길 20,2층(삼산동) (우편번호 44701)|성권상|한국공인회계사회
세아회계법인||제285호|2069-1151|서울특별시 영등포구 양산로 107,803호(당산동3가,인곡빌딩) , 8층 (우편번호 07260)|최정호|한국공인회계사회
세아회계법인|분사무소|제285호|556-4077|서울특별시 강남구 삼성로82길 4,2층(대치동,송암빌딩) (우편번호 06185)|최정호|한국공인회계사회
세연회계법인||제264호|6959-0233|서울특별시 강남구 언주로159길 27(신사동,J&G빌딩) , 3층 (우편번호 06024)|주민구|한국공인회계사회
