ID|NAME|CAT|NEWADDR|OLDADDR|XX|YY|TELL|업데이트날짜|모두_운영시간|모두_현장요금|모두_URL|카카오_주차면수|카카오_결제방법|카카오_운영시간|카카오_현장요금
75083182|부천공구상가 노상공영주차장|공영주차장|경기 부천시 부천로 293|경기 부천시 도당동 253-2|126.78456687|37.51016039||2019.05.21.|[{'start': '09:00', 'end': '18:00', 'title': '주중'}, {'start': '09:00', 'end': '14:00', 'title': '토'}]|[{'price': '900원', 'title': '30분'}, {'price': '2,100원', 'title': '1시간'}, {'price': '4,500원', 'title': '2시간'}, {'price': '9,300원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=3dd39bfa54a6f2f4d3eb3aae22b4dc63&type=P&usingTime=60&id=2|||||
20591997|정왕역공영주차장|공영주차장||경기 시흥시 정왕동 876-366|126.74539388|37.35079391||2019.05.16.|[{'start': '08:00', 'end': '20:00', 'title': '주중'}, {'start': '08:00', 'end': '20:00', 'title': '토'}]|[{'price': '300원', 'title': '30분'}, {'price': '600원', 'title': '1시간'}, {'price': '1,200원', 'title': '2시간'}, {'price': '3,600원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=ee2a646b876ad0c6edd677b4c86e8088&type=P&usingTime=60&id=2|||||
10105168|화곡8-2공영주차장|공영주차장|서울 강서구 초록마을로 126|서울 강서구 화곡동 410-4|126.85038194|37.53765885|02-2607-1571|2019.11.06.|[{'start': '09:00', 'end': '18:00', 'title': '주중'}]|[{'price': '300원', 'title': '30분'}, {'price': '600원', 'title': '1시간'}, {'price': '1,200원', 'title': '2시간'}, {'price': '2,400원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=be6b3083-3abf-49c2-b21f-6b646585&type=P&usingTime=60&id=2||||{'today': {'dayDisp': '월~금', 'basePrice': 50, 'baseTime': 5, 'unitTime': 5, 'unitPrice': 50, 'maxDayPrice': 2000}, 'prices': [{'dayDisp': '월~금', 'basePrice': 50, 'baseTime': 5, 'unitTime': 5, 'unitPrice': 50, 'maxDayPrice': 2000}]}|
1775130053|횡성전통시장 노상공영주차장|공영주차장||강원 횡성군 횡성읍 읍상리 573-18|127.98720508|37.4892427||2019.05.16.|[{'start': '08:00', 'end': '20:00', 'title': '주중'}, {'start': '08:00', 'end': '20:00', 'title': '토'}]|[{'price': '600원', 'title': '30분'}, {'price': '1,200원', 'title': '1시간'}, {'price': '2,400원', 'title': '2시간'}, {'price': '4,800원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=f42f480d-46ae-46c2-b442-a88d4814&type=P&usingTime=60&id=2|||||
26536297|당곡공영주차장|공영주차장||서울 양천구 신월동 482-11|126.84508024|37.52436856||2019.05.17.|[{'start': '00:00', 'end': '24:00', 'title': '매일'}, {'start': '00:00', 'end': '24:00', 'title': '공휴일'}]|[{'price': '300원', 'title': '30분'}, {'price': '600원', 'title': '1시간'}, {'price': '1,200원', 'title': '2시간'}, {'price': '2,400원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=080e5a0eb74ed2f007a01d90fb58f4d1&type=P&usingTime=60&id=2|||||
1038714300|오정공구상가 노상공영주차장|주차장||경기 부천시 도당동 4-8|126.77710834|37.51562374||2020.01.20.|[{'start': '09:00', 'end': '18:00', 'title': '주중'}, {'start': '09:00', 'end': '14:00', 'title': '토'}]|[{'price': '900원', 'title': '30분'}, {'price': '2,100원', 'title': '1시간'}, {'price': '4,500원', 'title': '2시간'}, {'price': '9,300원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=f51b085f12384e8aa5957af495322f33&type=P&usingTime=60&id=2||||{'today': {'dayDisp': '월~토', 'basePrice': 900, 'baseTime': 30, 'unitTime': 10, 'unitPrice': 400}, 'prices': [{'dayDisp': '월~토', 'basePrice': 900, 'baseTime': 30, 'unitTime': 10, 'unitPrice': 400}]}|
1711476031|먹거리촌 노상공영주차장|공영주차장|경기 안양시 동안구 평촌대로 136|경기 안양시 동안구 평촌동 900-5|126.96019039|37.38445324||2019.05.10.|[{'start': '10:00', 'end': '21:00', 'title': '주중'}, {'start': '10:00', 'end': '21:00', 'title': '토'}]|[{'price': '1,800원', 'title': '30분'}, {'price': '3,600원', 'title': '1시간'}, {'price': '7,200원', 'title': '2시간'}, {'price': '14,400원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=235e74e334a1a2e4693a5b2b519254ba&type=P&usingTime=60&id=2|||||
739098711|목감제1노외공영주차장|공영주차장||경기 시흥시 조남동 698|126.85938432|37.38168048||2020.07.28.|[{'start': '10:00', 'end': '22:00', 'title': '주중'}, {'start': '10:00', 'end': '22:00', 'title': '토'}]|[{'price': '500원', 'title': '30분'}, {'price': '1,100원', 'title': '1시간'}, {'price': '2,300원', 'title': '2시간'}, {'price': '5,900원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=f9d6b8f97bb5955faf3cc5962faca82c&type=P&usingTime=60&id=2|||||
20517182|삼성동 제1 노상공영주차장|공영주차장|서울 관악구 원신2길 40|서울 관악구 신림동 808-117|126.93128352|37.46895899||2020.12.08.||[{'price': '900원', 'title': '30분'}, {'price': '1,800원', 'title': '1시간'}, {'price': '3,600원', 'title': '2시간'}, {'price': '7,200원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=dd39b328bad8e0d757fd0916cac30203&type=P&usingTime=60&id=2||||{'today': {'dayDisp': '매일', 'basePrice': 150, 'baseTime': 5, 'unitTime': 5, 'unitPrice': 150, 'maxDayPrice': 18000}, 'prices': [{'dayDisp': '매일', 'basePrice': 150, 'baseTime': 5, 'unitTime': 5, 'unitPrice': 150, 'maxDayPrice': 18000}, {'dayDisp': '공휴일', 'basePrice': 150, 'baseTime': 5, 'unitTime': 5, 'unitPrice': 150, 'maxDayPrice': 18000}]}|
1079868059|신흥제9공영주차장|공영주차장|경기 성남시 수정구 시민로 173|경기 성남시 수정구 신흥동 5491|127.14249636|37.44347189||2021.07.19.|[{'start': '00:00', 'end': '24:00', 'title': '매일'}, {'start': '00:00', 'end': '24:00', 'title': '공휴일'}]|[{'price': '400원', 'title': '30분'}, {'price': '1,000원', 'title': '1시간'}, {'price': '2,200원', 'title': '2시간'}, {'price': '4,600원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=20abce92f6edfa9c74df16e48ec0dde5&type=P&usingTime=60&id=2||||{'today': {'dayDisp': '매일', 'basePrice': 400, 'baseTime': 30, 'unitTime': 10, 'unitPrice': 200, 'maxDayPrice': 6000}, 'prices': [{'dayDisp': '매일', 'basePrice': 400, 'baseTime': 30, 'unitTime': 10, 'unitPrice': 200, 'maxDayPrice': 6000}, {'dayDisp': '공휴일', 'basePrice': 400, 'baseTime': 30, 'unitTime': 10, 'unitPrice': 200, 'maxDayPrice': 6000}]}|
22352491|노을공영주차장|공영주차장||경기 수원시 장안구 정자동 882-4|126.99163184|37.29261937||2019.05.14.|[{'start': '00:00', 'end': '24:00', 'title': '매일'}, {'start': '00:00', 'end': '24:00', 'title': '공휴일'}]||https://m.modu.kr/#/parkinglot?seq=83be13fc7ff92657a6324a256865ec65&type=P&usingTime=60&id=2|||||
988678053|CGV맞은편 노상공영주차장|공영주차장||경기 이천시 창전동 177|127.44433982|37.28006951||2020.07.30.|[{'start': '10:00', 'end': '19:00', 'title': '주중'}, {'start': '10:00', 'end': '15:00', 'title': '토'}, {'start': '00:00', 'end': '24:00', 'title': '일'}, {'start': '00:00', 'end': '24:00', 'title': '공휴일'}]|[{'price': '600원', 'title': '30분'}, {'price': '1,350원', 'title': '1시간'}, {'price': '2,850원', 'title': '2시간'}, {'price': '5,850원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=ba526d85b4b81faf3aa675acb6125ae4&type=P&usingTime=60&id=2|||||
28841491|제4노상공영주차장|공영주차장||경기 구리시 인창동 296-3|127.13927989|37.60149616||2020.07.29.|[{'start': '09:00', 'end': '19:00', 'title': '주중'}, {'start': '09:00', 'end': '17:00', 'title': '토'}]|[{'price': '700원', 'title': '30분'}, {'price': '1,600원', 'title': '1시간'}, {'price': '3,400원', 'title': '2시간'}, {'price': '7,000원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=5d6cb2b505f7e701776a3ad29fb59531&type=P&usingTime=60&id=2|||||
11475451|수지노외공영주차장|공영주차장||경기 용인시 수지구 풍덕천동 1080-17|127.09426366|37.32157114||2020.05.19.|[{'start': '09:00', 'end': '18:00', 'title': '주중'}]|[{'price': '500원', 'title': '30분'}, {'price': '900원', 'title': '1시간'}, {'price': '2,100원', 'title': '2시간'}, {'price': '4,500원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=0be63b32f04d19759399d0162b82a919&type=P&usingTime=60&id=2|||||
20568380|안산시공영유료주차장|공영주차장|경기 안산시 단원구 광덕2로 186-11|경기 안산시 단원구 고잔동 773-5|126.83122076|37.30857741||2019.05.24.|[{'start': '12:00', 'end': '21:00', 'title': '주중'}, {'start': '12:00', 'end': '21:00', 'title': '토'}]|[{'price': '600원', 'title': '30분'}, {'price': '1,500원', 'title': '1시간'}, {'price': '3,300원', 'title': '2시간'}, {'price': '6,900원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=cb13e8e9da84db08ecebd099cda58f32&type=P&usingTime=60&id=2|||||
20514590|당정2 공영주차장|공영주차장|경기 군포시 한세로4번길 11|경기 군포시 당정동 1006-10|126.95010382|37.34492678||2019.05.15.|[{'start': '08:00', 'end': '24:00', 'title': '주중'}, {'start': '08:00', 'end': '24:00', 'title': '토'}, {'start': '10:00', 'end': '22:00', 'title': '일'}, {'start': '10:00', 'end': '22:00', 'title': '공휴일'}]|[{'price': '500원', 'title': '30분'}, {'price': '800원', 'title': '1시간'}, {'price': '1,400원', 'title': '2시간'}, {'price': '2,600원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=2b211c415fa9d50e241e68bc1311db65&type=P&usingTime=60&id=2|||||
110453478|수원시청 별관 주차장|공영주차장||경기 수원시 팔달구 인계동 1111|127.0286454|37.26344782||2020.07.24.|[{'start': '07:00', 'end': '22:00', 'title': '주중'}]|[{'price': '900원', 'title': '30분'}, {'price': '2,100원', 'title': '1시간'}, {'price': '4,500원', 'title': '2시간'}, {'price': '9,300원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=6d7c2262471d0163c5abefc3885a5675&type=P&usingTime=60&id=2|||||
18188204|팔달주차타워 공영주차장|공영주차장|경기 수원시 팔달구 수원천로 254|경기 수원시 팔달구 지동 415|127.01996647|37.27617583|031-255-3026|2021.11.24.|[{'start': '00:00', 'end': '24:00', 'title': '매일'}, {'start': '00:00', 'end': '24:00', 'title': '공휴일'}]|[{'price': '500원', 'title': '30분'}, {'price': '1,700원', 'title': '1시간'}, {'price': '4,100원', 'title': '2시간'}, {'price': '8,900원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=1e3985dd9f8cd077bc5d3106eebbfbf2&type=P&usingTime=60&id=2|||||
27578214|갈현1동공영주차장|공영주차장|서울 은평구 갈현로41가길 16|서울 은평구 갈현동 9-112|126.91531569|37.62647561||2021.02.03.|[{'start': '00:00', 'end': '24:00', 'title': '매일'}, {'start': '00:00', 'end': '24:00', 'title': '공휴일'}]|[{'price': '600원', 'title': '30분'}, {'price': '1,200원', 'title': '1시간'}, {'price': '2,400원', 'title': '2시간'}, {'price': '4,800원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=a97edfe55925cfb5e33b29dea23fdbf4&type=P&usingTime=60&id=2|||||
1028701520|2-1관고전통시장입구앞 노상공영주차장|공영주차장||경기 이천시 창전동 178|127.44066636|37.28049502||2021.03.19.|[{'start': '10:00', 'end': '19:00', 'title': '주중'}, {'start': '10:00', 'end': '15:00', 'title': '토'}]|[{'price': '600원', 'title': '30분'}, {'price': '1,350원', 'title': '1시간'}, {'price': '2,850원', 'title': '2시간'}, {'price': '5,850원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=bd94e5150e1c24968480590d1ab79e0f&type=P&usingTime=60&id=2|||||
674386461|안산세무서뒤 주차장|공영주차장|경기 안산시 단원구 원고잔로 25|경기 안산시 단원구 고잔동 545-1|126.82701551|37.32038569||2021.01.11.|[{'start': '08:00', 'end': '21:00', 'title': '주중'}, {'start': '08:00', 'end': '21:00', 'title': '토'}]|[{'price': '400원', 'title': '30분'}, {'price': '1,000원', 'title': '1시간'}, {'price': '2,200원', 'title': '2시간'}, {'price': '4,600원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=f3ed7d025fd5f0d3a0f2799c573f6e4a&type=P&usingTime=60&id=2|||||
20517481|새명동공영주차장|공영주차장|강원 춘천시 시청길12번길 9|강원 춘천시 조양동 60-3|127.72971383|37.87964344||2019.05.15.|[{'start': '09:30', 'end': '19:30', 'title': '주중'}, {'start': '09:30', 'end': '18:30', 'title': '토'}, {'start': '09:30', 'end': '18:30', 'title': '일'}, {'start': '09:30', 'end': '18:30', 'title': '공휴일'}]|[{'price': '600원', 'title': '30분'}, {'price': '1,500원', 'title': '1시간'}, {'price': '3,300원', 'title': '2시간'}, {'price': '6,900원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=e41def1a-9bbd-4d3a-9071-3913cde9&type=P&usingTime=60&id=2|||||
1275140419|법원앞 노상공영주차장|공영주차장|경기 여주시 세종로 47-1|경기 여주시 홍문동 196-3|127.63612199|37.29352144||2021.03.15.|[{'start': '10:00', 'end': '19:00', 'title': '주중'}]|[{'price': '500원', 'title': '30분'}, {'price': '1,100원', 'title': '1시간'}, {'price': '2,300원', 'title': '2시간'}, {'price': '4,700원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=597fdf3ff7ba7a30bf789f7a821e5b87&type=P&usingTime=60&id=2|||||
1011403574|제5 노상공영주차장|공영주차장|경기 구리시 체육관로 165|경기 구리시 교문동 228-7|127.1360237|37.59937993||2020.07.29.|[{'start': '09:00', 'end': '19:00', 'title': '주중'}, {'start': '09:00', 'end': '17:00', 'title': '토'}]|[{'price': '700원', 'title': '30분'}, {'price': '1,600원', 'title': '1시간'}, {'price': '3,400원', 'title': '2시간'}, {'price': '7,000원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=891307bfb8bb817fea21c5404b9070e8&type=P&usingTime=60&id=2|||||
559555774|학운1공영주차장|공영주차장||경기 김포시 양촌읍 학운리 3307|126.59288186|37.6050234||2020.02.28.|[{'start': '09:00', 'end': '22:00', 'title': '주중'}, {'start': '09:00', 'end': '22:00', 'title': '토'}]|[{'price': '600원', 'title': '30분'}, {'price': '1,200원', 'title': '1시간'}, {'price': '3,000원', 'title': '2시간'}, {'price': '6,600원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=224326ccfbb229f77ee7ee1fd3fc865e&type=P&usingTime=60&id=2|||||
450247198|안성맞춤대로2구간 노상주차장|공영주차장||경기 안성시 서인동 121|127.26925077|37.00664595||2021.03.18.|[{'start': '09:00', 'end': '19:00', 'title': '주중'}, {'start': '09:00', 'end': '19:00', 'title': '토'}]|[{'price': '500원', 'title': '30분'}, {'price': '1,000원', 'title': '1시간'}, {'price': '2,000원', 'title': '2시간'}, {'price': '6,000원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=259948a0570ee0302f2a5ad74f3df214&type=P&usingTime=60&id=2|||||
20516884|부천역 남부제1호 공영주차장|공영주차장||경기 부천시 심곡본동 550-6|126.78312986|37.48338169||2020.01.17.|[{'start': '00:00', 'end': '24:00', 'title': '매일'}, {'start': '00:00', 'end': '24:00', 'title': '공휴일'}]|[{'price': '900원', 'title': '30분'}, {'price': '1,700원', 'title': '1시간'}, {'price': '4,100원', 'title': '2시간'}, {'price': '8,900원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=8f9d439e972b94bb58ef67c3d0009c81&type=P&usingTime=60&id=2||||{'today': {'dayDisp': '매일', 'basePrice': 900, 'baseTime': 30, 'unitTime': 10, 'unitPrice': 400, 'maxDayPrice': 9500}, 'prices': [{'dayDisp': '매일', 'basePrice': 900, 'baseTime': 30, 'unitTime': 10, 'unitPrice': 400, 'maxDayPrice': 9500}, {'dayDisp': '공휴일', 'basePrice': 900, 'baseTime': 30, 'unitTime': 10, 'unitPrice': 400, 'maxDayPrice': 9500}]}|
20517671|서인동공영주차장|공영주차장|경기 안성시 장기로69번길 31|경기 안성시 서인동 47-1|127.27022628|37.00577149||2019.05.10.|[{'start': '00:00', 'end': '24:00', 'title': '매일'}, {'start': '00:00', 'end': '24:00', 'title': '공휴일'}]|[{'price': '500원', 'title': '30분'}, {'price': '1,000원', 'title': '1시간'}, {'price': '2,000원', 'title': '2시간'}, {'price': '6,000원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=bcaccb095e772004c7051be49f80e6da&type=P&usingTime=60&id=2|||||
20518193|송우로 제1공영주차장|공영주차장||경기 포천시 소흘읍 송우리 726-81|127.14159379|37.82993136||2019.05.16.|[{'start': '09:00', 'end': '18:00', 'title': '주중'}]|[{'price': '600원', 'title': '1시간'}, {'price': '1,800원', 'title': '2시간'}, {'price': '4,200원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=2cb3f34e8305016fab76bb82c288cf09&type=P&usingTime=60&id=2|||||
20590606|시화공고공영주차장|공영주차장||경기 시흥시 정왕동 1456|126.74976531|37.34122081|031-488-6827|2020.07.28.|[{'start': '08:00', 'end': '20:00', 'title': '주중'}, {'start': '08:00', 'end': '20:00', 'title': '토'}]|[{'price': '300원', 'title': '30분'}, {'price': '600원', 'title': '1시간'}, {'price': '1,200원', 'title': '2시간'}, {'price': '3,600원', 'title': '4시간'}]|https://m.modu.kr/#/parkinglot?seq=a452a07b6c2d4cf6d3561a00122100ae&type=P&usingTime=60&id=2|||||
