##NAME|SUBNAME|TELNUM|NEWADDR|FEAT@@헌혈의집
고려대앞센터||02-967-3852|서울 성북구 인촌로24길 11 2층(6호선 안암역 3번출구 안경박사 2층)|
망우역센터||02-762-1978|서울 중랑구 망우로 353 상봉 프레미어스 엠코 c동 302호|
광화문센터||02-732-1027|서울 종로구 종로 19 르메이에르종로타운 204호(2층)|
노원센터||02-934-5340|서울 노원구 상계로 70 (지하철4호선 노원역2번출구,화랑화장품빌딩 7층)|
한양대역센터||02-2296-1076|서울 성동구 왕십리로 206 한양대역 (2번출구방면)|
노해로센터||02-935-0322|서울 노원구 노해로 480 조광빌딩 2층 노해로센터|
회기센터||02-969-6199|서울 동대문구 회기로 188 두리빌딩5층 (지하철1호선 회기역 1번출구)|
돈암센터||02-925-3566|서울 성북구 동소문로20다길 17 MAYQUEEN빌딩 4호선 성신여대역 1번출구 국민은행 골목 200미터이내|
의정부센터||031-841-0322|경기 의정부시 행복로 9 2층(1층스무디킹,신한은행건너편)|
구리센터||031-563-5322|경기 구리시 경춘로 239 리맥스빌딩 7층|
서울동부혈액원(원내)||02-2092-9356|서울 노원구 동일로 1329 (지하철7호원 중계역6번출구 노원역방향으로 150미터 정도)|
의정부2센터||031-871-0310|경기 의정부시 시민로 80 센트럴타워 707호(1호선 의정부역 2번출구)|
대학로센터||02-743-1972|서울 종로구 대명길 26 3층(4호선 혜화역 4번출구)|
남포센터||051-246-7505|부산 중구 구덕로 50-1 (남포동 5가 3-7 / 피닉스 호텔 옆, 남포지하도상가 7번 출입구 앞)|
해운대센터||051-746-9505|부산 해운대구 구남로29번길 38 (중1동 1394-385번지 혜천빌딩 2층/세이브존 정문 앞)|
부산대학로센터||051-313-7505|부산 금정구 부산대학로 63 (장전동 400-61 3~4층 / 부산대학교 정문 바로 앞)|
광복센터||051-245-7505|부산 중구 중앙대로 17 (중앙동 1가 26번지 광복지하도상가 A-13,14호/롯데백화점 광복점 지하입구 앞)|
하단센터||051-204-1691|부산 사하구 낙동대로550번길 13 3층(동아대 승학캠퍼스 스타벅스 맞은편)|
부전센터||051-804-7505|부산 부산진구 중앙대로702번길 50 (부전2동 169-2 2층 / 부전도서관 옆)|
서면센터||051-809-7505|부산 부산진구 중앙대로 698-1 (부전동 191-6 2층/ 서면몰 10번 출구 앞)|
부산혈액원(원내)||051-810-9054|부산 부산진구 전포대로 168 (전포3동 362-5번지 / 부산 도시철도 전포역 2번출구 앞 부산혈액원 4층)|
장전센터||051-582-4505|부산 금정구 금정로68번길 6 (장전동 309-16 2층 / 부산대역 3번 출구 / 부산대학교 스타벅스 옆)|
동의대센터||051-892-2505|부산 부산진구 엄광로 176 (가야동 산24 동의대학교 생활과학대학 112호)|
동의과학대학센터||051-861-5505|부산 부산진구 양지로 54 (양정동 산72 동의과학대학교 진리관 1층)|
대연센터||051-611-9505|부산 남구 용소로 4 (대연3동 72-2 5층 / 도시철도 2호선 경성대부경대옆 5번 출구 앞 동아서적 건물)|
서면로센터||051-805-7505|부산 부산진구 서면로68번길 1 노블레스 빌딩 3층 (서면역 7번 출구)|
덕천센터||051-335-7505|부산 북구 백양대로 1200 (덕천동 403-2 3층 / 도시철도 2,3호선 덕천역 2번 출입구 인근)|
수원역센터||031-245-6518|경기 수원시 팔달구 덕영대로 923-1 새수원 빌딩 4층(분당선 수원역 9, 10번 출구 중간)|
안양센터||031-449-8309|경기 안양시 만안구 만안로223번길 13 , 3층(1호선 안양역 지하상가 5번 출구 우측건물)|
한대앞역센터||031-406-5031|경기 안산시 상록구 광덕4로 391 , 공영주차장 내(4호선 한대앞역 2번 출구)|
평택역센터||031-656-8844|경기 평택시 평택로39번길 36 , 2층(1호선 평택역 1번 출구)|
산본센터||031-397-7600|경기 군포시 산본로323번길 16-14 , 로데오거리 분수광장 센타빌딩 A동 3층(4호선 산본역 3번 출구)|
수원시청역센터||031-224-8550|경기 수원시 팔달구 권광로 181 씨네파크 2층 204호|
야탑센터||031-707-3791|경기 성남시 분당구 야탑로69번길 24-8 분당종합상가 3층(분당선 야탑역 4번 출구)|
용인센터||031-338-1670|경기 용인시 처인구 금령로 64 아이렉스타워 2층(처인구청 옆)|
평촌센터||031-387-8842|경기 안양시 동안구 동안로 130 (롯데백화점 옆건물, 4호선 범계역 4-1번 출구)|
서현센터||031-707-3795|경기 성남시 분당구 분당로53번길 11 , 서원빌딩 4층(분당선 서현역 4번 출구 AK플라자 6번 게이트)|
경기혈액원(원내)||031-220-8518|경기 수원시 권선구 권광로 129 (분당선 수원시청역 3번 출구 수원이비스호텔 맞은편)|
상동센터||032-328-3052|경기 부천시 원미구 상동로 87 가나베스트타운205호(상동역3번출구)|
부평센터||032-504-0975|인천 부평구 광장로 16 부평역사1층 이벤트광장 옆|
구월센터||032-421-9013|인천 남동구 인하로 497-9 신현프라자 201호(인천터미널역2번출구)|
부천센터||032-651-1618|경기 부천시 원미구 부천로 4 경동빌딩 301호(부천역 4번 출구)|
주안센터||032-428-5195|인천 남구 석바위로 68 필프라자 201호(주안역 지하8번출구)|
광명센터||02-2060-5473|경기 광명시 광명로 906 현대아이타워 5층 501호(광명사거리역8번출구)|
인천혈액원(원내)||032-810-1383|인천 연수구 함박뫼로 220 (신연수역 3번출구)|
강원혈액원(원내)||033-269-1043|강원 춘천시 퇴계공단1길 8 (퇴계동 862-3)|
강릉센터||033-647-3460|강원 강릉시 솔올로5번길 41 강릉혈액공급소 2층|
원주터미널센터||033-734-7787|강원 원주시 서원대로 162 프라임빌딩2층202호|
원주센터||033-745-6551|강원 원주시 원일로 139 건강문화센터 내|
강원대센터||033-253-5551|강원 춘천시 강원대학길 1 천지관1층(효자동)|
상지대센터||033-748-4012|강원 원주시 상지대길 80 상지대학교 내 창조관3층|
춘천명동센터||033-252-3085|강원 춘천시 시청길10번길 4-2|
청대앞센터||043-268-2656|충북 청주시 상당구 상당로 252 청대앞사거리 버스정류장 앞 뚜레쥬르 2층|
성안길센터||043-258-1649|충북 청주시 상당구 성안로 26-1 성안길 상당구청 옆 건물 3층|
충북대센터||043-265-2655|충북 청주시 서원구 충대로 1 충북대학교 개신문화관 지하1층 서점옆|
충북혈액원(원내)||043-230-8763|충북 청주시 흥덕구 가로수로 1000 대한적십자사|
충주센터||043-842-6262|충북 충주시 성서7길 22-2 현대타운 앞 라코스테 2층|
대전복합터미널센터||042-631-2166|대전 동구 동서대로 1688 빅플러스타워 6층|
아산센터||041-534-2166|충남 아산시 번영로 215 우전빌딩 4층|
노은역센터||042-826-2166|대전 유성구 은구비남로33번길 36 흥인빌딩 4층|
대전.세종.충남혈액원(원내)||042-623-2166|대전 대덕구 송촌남로 22 대전충남적십자혈액원 1층 원내 헌혈실|
충남대학교센터||042-823-7166|대전 유성구 대학로 99 충남대학교 한누리회관(W8-1) 1층|
천안센터||041-561-2166|충남 천안시 동남구 만남로 52 문타워 6층|
공주대학교센터||041-858-2166|충남 공주시 공주대학로 56 공주대학교 중앙도서관 앞 헌혈의 집|
둔산센터||042-486-2166|대전 서구 둔산로 34 씨엔씨타워 4층 402호|
으능정이센터||042-252-2166|대전 중구 중앙로 164 이안경원건물 2층|
군산센터||063-466-0609|전북 군산시 월명로 233 효원월드타워 2층 헌혈의집 군산센터 (롯데마트 맞은편)|
고사동센터||063-285-2114|전북 전주시 완산구 전주객사5길 46 헌혈의집 고사동센터 (구.교보문고4거리 2층)|
전북대센터||063-275-9907|전북 전주시 덕진구 백제대로 567 전북대학교 전북대 1학생회관 옆|
익산센터||063-856-2110|전북 익산시 무왕로 884-1 헌혈의집 익산센터 (원광대체육관 건너편 탐앤탐스2층)|
효자센터||063-229-2116|전북 전주시 완산구 용머리로 57 전주클리닉센터 4층 402호 헌혈의집 효자센터|
전북혈액원(원내)||063-270-5836|전북 전주시 덕진구 혁신로 463 대한적십자사 전북혈액원 헌혈실|
군산대센터||063-463-7455|전북 군산시 대학로 558 군산대학교 (군산대학교 학생회관 지하)|
덕진센터||063-275-2114|전북 전주시 덕진구 기린대로 470 헌혈의집 덕진센터 (경기장 맞은편 지하도입구 2층)|
광주송정역센터||062-228-9494|광주 광산구 상무대로205번길 6|
유달센터||061-242-4245|전남 목포시 영산로75번길 8 (상락동)|
광주전남혈액원(원내)||062-600-0600|광주 남구 서문대로 406 (송하동) <광주인성고 옆, 효천역 맞은편>|
터미널센터||062-363-9495|광주 서구 무진대로 927 (광천동) 3층 헌혈의집 터미널센터|
여수센터||061-663-2413|전남 여수시 통제영3길 12-1 (교동)|
전대용봉센터||062-529-9494|광주 북구 우치로100번길 9-4 헌혈의집 전대용봉센터|
순천센터||061-753-2239|전남 순천시 중앙로 120 (중앙동)|
조선대센터||062-944-9494|광주 동구 필문대로 309 (서석동) 헌혈의집 조선대센터|
충장로센터||062-232-9494|광주 동구 중앙로 172 (충장로3가)|
동성로광장센터||053-254-2901|대구 중구 동성로 23-2 3층|
포항센터||054-244-8891|경북 포항시 북구 중앙상가길 10-1 (대흥동 594-3) 롯데시네마옆 2층/포항역앞|
대구대센터||053-851-3124|경북 경산시 진량읍대구대로 201 (대구대학교 경산캠퍼스 내 제1학생회관옆)|
중앙로센터||053-252-2315|대구 중구 중앙대로 390 (동성로3가 11-1)센트럴엠 201호/중앙파출소에서 대구역 방향 30m|
동성로센터||053-252-2285|대구 중구 국채보상로 598 (동성로2가 56-3) 구,한일극장에서 2.28공원방향 20m, 귀금속상가건물 2층|
안동센터||054-858-3780|경북 안동시 문화광장길 18 (남부동 242-1) 시내 농협중부지점 맞은편 2층|
2.28기념중앙공원센터||053-253-2280|대구 중구 동성로2길 80 (공평동 15) 2.28공원 관리사무소내/엔제리너스건물 옆|
구미센터||054-458-9790|경북 구미시 문화로 25-1 (구미역앞 문화로거리 피자헛건물 3층)|
대구보건대센터||053-326-9064|대구 북구 영송로 15 (태전동 산7) 대구보건대학교 내 문화관 1층|
경북대북문센터||053-421-6235|대구 북구 대학로 83 (산격동 1341-2) 경북대학교 북문 맞은편 4층|
대구경북혈액원(원내)||053-605-5642|대구 중구 태평로 7 (달성동 147-2) 달성네거리에서 북비산네거리방향 200m 도로변|
창원센터||055-286-5161|경남 창원시 의창구 원이대로 587 (용호동) 정우상가 2층|
경상대고정헌혈버스||055-756-5161|경남 진주시 가좌동 900 경상대학교 국제어학원 뒤|
경남대앞센터||055-245-5161|경남 창원시 마산합포구 해안대로 2 댓츠빌딩 8층 헌혈의집 경남대앞센터|
경남혈액원(원내)||055-270-6035|경남 창원시 의창구 용지로 226 경남혈액원|
진주센터||055-745-2611|경남 진주시 진양호로 526 (본성동) 명원빌딩 8층|
김해센터||055-333-2612|경남 김해시 내외중앙로 59 (내동) 햄튼타워 2층|
제주혈액원(원내)||064-720-7800|제주 제주시 오남로 45|
한라센터||064-753-8101|제주 제주시 중앙로 230 중앙빌딩 6층|
신제주센터||064-758-8101|제주 제주시 신광로 39 2층|
공업탑센터||052-260-7918|울산 남구 삼산로 18 동아빌딩 2층(파리바게트 2층)|
울산혈액원(원내)||052-210-8553|울산 중구 함월10길 25|
울산삼산동센터||052-266-5225|울산 남구 삼산로 275 킴스메디컬센터 2층|
울산대센터||052-224-3969|울산 남구 대학로 93 울산대학교 내 종합서비스센터 105호|
성남동센터||052-243-8799|울산 중구 젊음의거리 30-5 다남빌딩 2층(림스치킨2층)|
울산과학대센터||052-236-3459|울산 동구 봉수로 101 울산과학대학 동부캠퍼스 내 제3대학관 2층|
