##NAME|SUBNAME|ID|TELNUM|NEWADDR|WEBSITE@@일반상장기업
대신/아연선물/ETN(H)||510002|02-769-2000|서울특별시 중구 삼일대로 343 저동1가 대신파이낸스센터|www.daishin.com
대신/인버스/2X/니켈선물/ETN(H)||510010|02-769-2000|서울특별시 중구 삼일대로 343 저동1가 대신파이낸스센터|www.daishin.com
대신/인버스/니켈선물/ETN(H)||510006|02-769-2000|서울특별시 중구 삼일대로 343 저동1가 대신파이낸스센터|www.daishin.com
대신/인버스/아연선물/ETN(H)||510004|02-769-2000|서울특별시 중구 삼일대로 343 저동1가 대신파이낸스센터|www.daishin.com
대신/인버스/철광석/선물/ETN(H)||510009|02-769-2000|서울특별시 중구 삼일대로 343 저동1가 대신파이낸스센터|www.daishin.com
대신/철광석/선물/ETN(H)||510008|02-769-2000|서울특별시 중구 삼일대로 343 저동1가 대신파이낸스센터|www.daishin.com
대신/WTI원유/선물/ETN(H)||510001|02-769-2000|서울특별시 중구 삼일대로 343 저동1가 대신파이낸스센터|www.daishin.com
대신증권||003540|02-769-2000|서울특별시 중구 삼일대로 343 저동1가 대신파이낸스센터|www.daishin.com
대양금속||009190|041-333-4675|충남 예산군 신암면 추사로 146-8|www.daiyangmetal.co.kr
대영포장||014160|031-490-9300|경기도 안산시 단원구 산단로 265 (원시동, 대영포장(주))|www.dygroup.co.kr
대우건설||047040|02-2288-3114|서울특별시 중구 을지로 170|www.daewooenc.co.kr
대우부품||009320|063-530-8171|전라북도 정읍시 공단2길 3 (망제동)|www.dwecc.com
대우조선해양||042660|055-735-2114|경상남도 거제시 거제대로 3370 (아주동)|www.dsme.co.kr
대웅||003090|02-550-8800|경기도 성남시 중원구 갈마치로 244 (상대원동)|www.daewoongholdings.com
대웅제약||069620|02-550-8800|경기도 화성시 향남읍 제약공단4길 35-14|www.daewoong.co.kr
대원강업||000430|041-520-7582|충청남도 천안시 서북구 성거읍 오목모전길 117-8 대원강업주식회사|www.dwku.com
대원전선||006340|041-339-3400|충남 예산군 고덕면 호음덕령길 92|www.daewoncable.co.kr
대원제약||003220|02-2204-7000|서울시 성동구 천호대로 386 (용답동 229-3)|www.daewonpharm.com
대원화성||024890|02-2141-3533|서울시 강남구 봉은사로 327 (논현동 278-19 궁도빌딩 13층)|www.daewon21.co.kr
대유에이텍||002880|062-942-8611|광주시 광산구 소촌로 123번길 40-12 (소촌동 825)|www.dayouat.co.kr
대유플러스||000300|031-737-7000|광주광역시 광산구 소촌로123번길 40-16 2층(소촌동)|www.dayouplus.co.kr
대창||012800|031-496-3000|경기도 시흥시 공단1대로 391, 시화공단4나 506호 (정왕동)|www.brassone.com
대창단조||015230|055-329-3911|경상남도 김해시 생림면 봉림로 115-92|www.dcf.co.kr
대한방직||001070|02-368-0114|서울시 영등포구 국제금융로2길 17 (여의도동 25)|www.thtc.co.kr
대한유화||006650|02-2122-1515|서울시 종로구 자하문로 77 유남빌딩|www.kpic.co.kr
대한전선||001440|02-316-9114|경기도 안양시 동안구 관양동 1746-2 대한스마트타워|www.taihan.com
대한제강||084010|1670-3300|부산시 사하구 하신번영로 69|www.idaehan.com
대한제당||001790|032-770-1400|인천광역시 중구 월미로 116 (북성동1가)|www.ts.co.kr
대한제분||001130|02-3455-0200|서울특별시 중구 세종대로 39 (남대문로4가)|www.dhflour.co.kr
대한항공||003490|02-2656-7114|서울특별시 강서구 하늘길 260 (공항동)|www.koreanair.com
대한해운||005880|02-3701-0114|서울특별시 강서구 마곡중앙8로 78 에스엠알엔디센터|www.korealines.co.kr
대한화섬||003830|02-3406-0300|서울특별시 중구 동호로 310 (장충동2가)|www.daehansf.co.kr
대현||016090|02-3485-7000|서울특별시 강남구 언주로 619 (논현동, 대현그린타워)|www.daehyun.co.kr
대호에이엘||069460|053-610-5400|대구시 달성군 논공읍 논공중앙로 211|www.daeho-al.com
더블유게임즈||192080|02-563-2961|서울특별시 강남구 테헤란로 152 16층 (역삼동, 강남파이낸스센터)|www.doubleugames.com
더존비즈온||012510|02-6233-3000|강원도 춘천시 남산면 버들1길 130|www.douzone.com
덕성||004830|031-204-0781|경기도 수원시 영통구 신원로 25 (신동)|www.duksung21.com
덕양산업||024900|052-219-1114|울산시 북구 효암로 366|www.dyauto.kr
덴티움||145720|070-7098-9158|서울특별시 강남구 테헤란로87길 21, 3층(삼성동, 동성빌딩)|www.dentium.co.kr
도화엔지니어링||002150|02-6323-3032|서울시 강남구 삼성로 438|www.dohwa.co.kr
동국제강||001230|02-317-1114|서울시 중구 을지로 5길 19|www.dongkuk.co.kr
동남합성||023450|041-840-3100|충청남도 공주시 탄천면 탄천산업단지길 80-61|www.dongnamchem.com
동방||004140|02-2190-8100|서울특별시 중구 남대문로 63 (남대문로2가)|www.dongbang.co.kr
동방아그로||007590|02-580-3600|서울시 관악구 남부순환로 2028|www.dongbangagro.co.kr
동부건설||005960|02-3484-2114|서울특별시 강남구 테헤란로 432, 동부금융센터 14층 (대치동)|dbcon.dongbu.co.kr
동부제철||016380|02-3450-8114|서울특별시 중구 한강대로 416 서울스퀘어 7층|www.dongbusteel.co.kr
동북아12호||083370|02-746-7000|부산시 사상구 모라동 795-22|
동북아13호||083380|02-746-7000|부산시 사상구 모라동 795-22|
동서||026960|02-701-5050|서울특별시 마포구 독막로 324, 동서빌딩 (도화동)|www.dongsuh.com
동성제약||002210|02-6911-3600|서울시 도봉구 도봉로 683|www.dongsung-pharm.co.kr
동성코퍼레이션||102260|02-2136-4300|부산광역시 사하구 신산로 99 (신평동)|www.dongsungcorp.co.kr
동성화학||005190|051-200-4500|부산광역시 사하구 신산로 99 (신평동)|www.dschem.com
동아||012760|031-672-2462|경기도 안성시 공단1로 121 (신건지동)|www.dongapm.co.kr
동아쏘시오홀딩스||000640|02-920-8114|서울시 동대문구 천호대로 64|www.donga.co.kr
동아에스티||170900|02-920-8114|서울 동대문구 용두동 138 ~255 천호대로 64|www.donga-st.com
동아지질||028100|051-580-5550|부산시 금정구 금샘로 347|www.dage.co.kr
동아타이어||282690|055-389-0011|경상남도 양산시 유산공단11길 11|www.dongahtire.co.kr
동양||001520|02-3770-3000|서울특별시 영등포구 국제금융로2길 24|www.tongyanginc.co.kr
동양건설산업||005900|031-225-6910|경기도 수원시 권선구 권광로139번길 11 (권선동)|www.dongyangex.co.kr
동양고속||084670|031-458-9201~5|경기도 안양시 동안구 흥안대로 67 (호계동 1029-9)|www.dyexpress.co.kr
동양네트웍스||030790|02-6923-0000|서울특별시 송파구 백제고분로 69   (잠실동, 애플타워)|www.tongyangnetworks.com
동양물산||002900|02-3014-2800|서울특별시 강남구 언주로133길 7, 대용빌딩 2,3층 (논현동)|www.tym.co.kr
동양생명||082640|1577-1004|서울특별시 종로구 종로 33 (청진동)|www.myangel.co.kr
동양철관||008970|041-578-5511|충청남도 천안시 동남구 풍세면 풍세로 515|www.dysp.co.kr
동양피스톤||092780|031-489-9056|경기도 안산시 단원구 해봉로255번길 16|www.dypiston.co.kr
동원금속||018500|053-859-2311|경북 경산시 진량읍 북리 1길 69|www.dwmic.com
동원산업||006040|02-589-3333|서울시 서초구 마방로 68|www.dwml.co.kr
동원수산||030720|02-528-8000|서울시 강남구 테헤란로 8길 8 동주빌딩|www.dongwonfish.co.kr
동원시스템즈||014820|02-589-4700|경기도 성남시 중원구 갈마치로 302 에이-607호(상대원동, 성남우림라이온스밸리5차)|www.dongwonsys.co.kr
동원F&B||049770|02-589-3000|서울특별시 서초구 마방로 68, 동원빌딩 (양재동)|www.dongwonfnb.com
동일고무벨트||163560|051-520-9114|부산시 금정구 공단동로 55번길 28|www.drbworld.com
동일산업||004890|054-285-7251|경북 포항시 남구 괴동로 112|www.dongil.co.kr
동일제강||002690|031-677-1234|경기도 안성시 미양면 안성맞춤대로 474-40 1 (양변리)|www.dongil-steel.com
동화약품||000020|02-2021-9300|서울특별시 중구 남대문로9길 24 패스트파이브타워 6~8층(다동)|www.dong-wha.co.kr
두산||000150|02-3398-0114|서울시 중구 장충단로 275|www.doosan.com
두산건설||011160|02-510-3114|서울시 강남구 언주로 726(논현동)|www.doosanenc.com
두산밥캣||241560|02-3398-0993|서울특별시 중구 장충단로 275 (을지로6가, 두산타워빌딩)|www.doosanbobcat.com
두산인프라코어||042670|032-211-1114|인천시 동구 인중로 489(화수동)|www.doosaninfracore.com
두산중공업||034020|055-278-6114|경남 창원시 성산구 두산볼보로 22(귀곡동)|www.doosanheavy.com
두올||016740|02-6922-7132|서울특별시 강남구 영동대로96길 20 (삼성동, 대화빌딩) 2층|www.idual.co.kr
드림텍||192650|031-620-1534|경기도 성남시 분당구 황새울로 314 (서현동)|www.idreamtech.co.kr
디씨엠||024090|055-366-9991|경남 양산시 웅상농공단지길 55 (덕계동 89-14)|www.dcmcorp.co.kr
디아이||003160|02-546-5501|서울시 강남구 논현로 703 (논현동 58-6)|www.di.co.kr
디아이씨||092200|052-255-0500|울산시 울주군 두동면 봉계농공길 8|www.dicorp.co.kr
디와이||013570|032-810-4100|인천시 남동구 남동서로 362번길 36|www.dy.co.kr
디와이파워||210540|055-278-0800|경상남도 창원시 성산구 웅남로 812(성주동)|power.dy.co.kr
디티알오토모티브||007340|055-380-5800|울산광역시 울주군 온산읍 처용산업2길 12 디티알 오토모티브|www.x-probattery.co.kr
디피씨||026890|031-599-0100|경기도 안산시 단원구 산단로 19번길 145(목내동)|www.dpc.co.kr
락앤락||115390|02-520-9539|충청남도 아산시 선장면 삽교천로 104|www.locknlock.com
롯데관광개발||032350|1577-3000|서울시 종로구 세종대로 149 광화문빌딩|www.lottetour.com
롯데손해보험||000400|02-1588-3344|서울시 중구 소월로 3(남창동)|www.lotteins.co.kr
롯데쇼핑||023530|02-771-2500|서울특별시 중구  남대문로 81 (소공동)|www.lotteshopping.com
롯데정밀화학||004000|052-270-6114|울산시 남구 여천로 217번길 19(여천동 190)|www.lottefinechem.com
롯데정보통신||286940|02-2626-4000|서울특별시 금천구 가산디지털2로 179 롯데정보통신|www.ldcc.co.kr
롯데제과||280360|02-2670-6614|서울특별시 영등포구 양평로21길 10|www.lotteconf.co.kr
롯데지주||004990|02-2670-6114|서울특별시 송파구 올림픽로 300 롯데월드타워|www.lotte.co.kr
롯데칠성||005300|02-3479-9114|서울특별시 서초구 서초대로70길 15 (서초동)|company.lottechilsung.co.kr
롯데케미칼||011170|02-829-4114|서울특별시 송파구 올림픽로 300 롯데월드타워|www.lottechem.com
롯데푸드||002270|02-3469-3114|서울특별시 영등포구 양평로19길 19|www.lottefoods.co.kr
롯데하이마트||071840|02-2050-5000|서울시 강남구 삼성로 156 롯데하이마트빌딩|www.himart.co.kr/index.jsp
마니커||027740|031-281-5300|경기도 용인시 기흥구 용구대로 2219번길 3|www.maniker.co.kr
마이다스/200커버드콜5%OTM||137930|02-3787-3500|서울 영등포구 여의도동 하나증권빌딩|www.midasasset.co.kr
마이티/200커버드콜ATM레버리지||292340|02-787-3798|서울특별시 영등포구 여의대로 24 전경련회관 43층|www.db-asset.co.kr
마이티/코스피100||159800|02-787-3700|서울 영등포구 여의도동 신송센터빌딩 19층|www.dongbuam.co.kr
마이티/코스피고배당||211210|02-787-3700|서울특별시 영등포구 여의나루로 57 19층(여의도동, 신송센터빌딩)|www.dongbuam.co.kr
만도||204320|031-680-6114|경기도 평택시 포승읍 하만호길 32|www.mando.com
만호제강||001080|051-601-0351|부산시 강서구 녹산화전로 71|www.manhorope.com
맥쿼리인프라||088980|02-3705-4921|서울시 중구 소공동 110 한화빌딩 11층|www.macquarie.com
맵스리얼티1||094800|02-769-7822|서울시 영등포구 여의도동 45-1 미래에셋빌딩|www.miraeasset.com
메디파트너생명공학||015540|02-3404-3222|서울특별시 강남구 봉은사로 218 5층(역삼동 메디파트너빌딩)|www.medi-plant.co.kr
메리츠금융지주||138040|02-2018-6868|서울시 강남구 강남대로 382|www.meritzgroup.com
메리츠종금증권||008560|02-785-6611|서울특별시 영등포구 국제금융로 10  Three IFC, 메리츠종금증권|www.imeritz.com
메리츠화재||000060|02-1566-7711|서울특별시 강남구 강남대로 382 (역삼동)|www.meritzfire.com
메타랩스||090370|02-2189-7700|서울특별시 강남구 언주로 428 (역삼동)|www.avista.co.kr
명문제약||017180|031-350-4000|경기도 화성시 향남읍 제약공단2길 26|www.mmpharm.co.kr
모나리자||012690|02-829-8800|서울특별시 동작구 보라매로5길 15, 전문건설회관 21층 (신대방동)|www.monalisa.co.kr
모나미||005360|031-216-0153|경기도 용인시 수지구 손곡로 17|www.monami.com
모두투어리츠||204210|02-6253-5911|서울특별시 중구 퇴계로 173 12층(충무로3가, 남산스퀘어)|www.modetourreit.com
모토닉||009680|02-730-8711|서울특별시 중구 청계천로 100 동관 9층(수표동, 시그니쳐타워)|www.motonic.co.kr
무림페이퍼||009200|055-751-1234|경남 진주시 남강로 1003|www.moorim.co.kr
무림P&P||009580|052-231-7000|울산시 울주군 온산읍 우봉길 3-36|www.moorim.co.kr
무학||033920|1588-2226|경남 창원시 마산회원구 봉암공단2길 6|www.muhak.co.kr,  www.joeunday
문배철강||008420|02-758-6600|서울특별시 동작구 동작대로 35|www.moonbaesteel.co.kr
미래산업||025560|041-621-5070|충남 천안시 서북구 백석공단7로 65 (백석동)|www.mirae.co.kr
미래아이앤지||007120|02-3470-4400|서울특별시 강남구 도산대로 514 청담동|www.miraeing.co.kr
미래에셋/글로벌/리츠/ETN(H)||590012|02-3774-1700|서울특별시 중구 수하동 67 미래에셋 센터원 빌딩 이스트타워|www.miraeasset.com
미래에셋/레버리지/원유선물혼합/ETN(H)||520009|02-768-3355|서울특별시 영등포구 국제금융로 56 대우증권 빌딩|www.kdbdw.com
미래에셋/레버리지/S&P500/ETN(H)||590010|02-3774-1700|서울특별시 중구 수하동 67 미래에셋 센터원 빌딩 이스트타워|www.miraeasset.com
미래에셋/미국/고배당주/ETN(H)||590017|02-3774-1700|서울특별시 중구 수하동 67 미래에셋 센터원 빌딩 이스트타워|www.miraeasset.com
미래에셋/미국/대형주/ETN(H)||590007|02-3774-1700|서울특별시 중구 수하동 67 미래에셋 센터원 빌딩 이스트타워|www.miraeasset.com
미래에셋/미국/리츠/ETN(H)||590013|02-3774-1700|서울특별시 중구 수하동 67 미래에셋 센터원 빌딩 이스트타워|www.miraeasset.com
미래에셋/미국/시니어론/100/ETN||520021|02-768-3355|서울특별시 중구 을지로5길 26 미래에셋 센터원빌딩 이스트타워|www.miraeassetdaewoo.com
미래에셋/미국/시니어론/100/ETN(H)||520020|02-768-3355|서울특별시 중구 을지로5길 26 미래에셋 센터원빌딩 이스트타워|www.miraeassetdaewoo.com
미래에셋/미국/중형주/ETN(H)||590008|02-3774-1700|서울특별시 중구 수하동 67 미래에셋 센터원 빌딩 이스트타워|www.miraeasset.com
미래에셋/미국/항공우주/ETN(H)||590009|02-3774-1700|서울특별시 중구 수하동 67 미래에셋 센터원 빌딩 이스트타워|www.miraeasset.com
미래에셋/미국/헬스케어/ETN(H)||590016|02-3774-1700|서울특별시 중구 수하동 67 미래에셋 센터원 빌딩 이스트타워|www.miraeasset.com
미래에셋/미디어엔터/Core5/ETN||520014|02-768-3355|서울특별시 영등포구 국제금융로 56 미래에셋대우빌딩|www.miraeassetdaewoo.com
미래에셋/양매도/5%/Auto-KO-C/2205-01/ETN||520029|02-768-3355|서울특별시 중구 을지로5길 26 미래에셋 센터원빌딩 이스트타워|www.miraeassetdaewoo.com
미래에셋/에너지화학/Core5/ETN||520006|02-768-3355|서울특별시 영등포구 국제금융로 56?대우증권 빌딩|www.kdbdw.com
미래에셋/원유선물혼합/ETN(H)||520010|02-768-3355|서울특별시 영등포구 국제금융로 56 대우증권 빌딩|www.kdbdw.com
미래에셋/원자재/선물/ETN(H)||520003|02-768-3355|서울특별시 영등포구 국제금융로 56 대우증권 빌딩|www.kdbdw.com
미래에셋/유럽/대형주/ETN(H)||590003|02-3774-1700|서울특별시 중구 수하동 67 미래에셋 센터원 빌딩 이스트타워|www.miraeasset.com
미래에셋/유럽/중형주/ETN(H)||590004|02-3774-1700|서울특별시 중구 수하동 67 미래에셋 센터원 빌딩 이스트타워|www.miraeasset.com
미래에셋/인버스/미디어엔터/Core5/ETN||520015|02-768-3355|서울특별시 영등포구 국제금융로 56 미래에셋대우빌딩|www.miraeassetdaewoo.com
미래에셋/인버스/에너지화학/Core5/ETN||520007|02-768-3355|서울특별시 영등포구 국제금융로 56?대우증권 빌딩|www.kdbdw.com
미래에셋/인버스/원유선물혼합/ETN(H)||520011|02-768-3355|서울특별시 영등포구 국제금융로 56 대우증권 빌딩|www.kdbdw.com
미래에셋/인버스/전기전자/Core5/ETN||520005|02-768-3355|서울특별시 영등포구 국제금융로 56?대우증권 빌딩|www.kdbdw.com
미래에셋/인버스/S&P500/ETN(H)||590011|02-3774-1700|서울특별시 중구 수하동 67 미래에셋 센터원 빌딩 이스트타워|www.miraeasset.com
미래에셋/일본/대형주/ETN(H)||590005|02-3774-1700|서울특별시 중구 수하동 67 미래에셋 센터원 빌딩 이스트타워|www.miraeasset.com
미래에셋/일본/중형주/ETN(H)||590006|02-3774-1700|서울특별시 중구 수하동 67 미래에셋 센터원 빌딩 이스트타워|www.miraeasset.com
미래에셋/전기전자/Core5/ETN||520004|02-768-3355|서울특별시 영등포구 국제금융로 56?대우증권 빌딩|www.kdbdw.com
미래에셋/중국/심천/100/ETN||590018|02-3774-1700|서울특별시 중구 수하동 67 미래에셋 센터원 빌딩 이스트타워|www.miraeasset.com
미래에셋/코스피/양매도/5%/OTM/ETN||520026|02-768-3355|서울특별시 중구 을지로5길 26 미래에셋 센터원빌딩 이스트타워|www.miraeassetdaewoo.com
미래에셋/호주/ASX200/ETN(H)||520012|02-768-3355|서울특별시 영등포구 국제금융로 56 대우증권 빌딩|www.kdbdw.com
미래에셋/Q150/Core5/ETN||520013|02-768-3355|서울특별시 영등포구 국제금융로 56 미래에셋대우빌딩|www.miraeassetdaewoo.com
미래에셋대우||006800|02-768-3355|서울특별시 중구 을지로5길 26 미래에셋 센터원빌딩 이스트타워|www.miraeassetdaewoo.com
미래에셋생명||085620|02-1588-0220|서울특별시 영등포구 국제금융로 56 미래에셋대우빌딩|life.miraeasset.com
미원상사||002840|031-8084-8300|경기도 안산시 단원구 원시로 49 (목내동)|www.mwc.co.kr
미원에스씨||268280|063-260-1500|전라북도 완주군 봉동읍 완주산단1로 167|www.miramer.co.kr
미원홀딩스||107590|063-260-1500|경기도 용인시 수지구 포은대로59번길 20|www.miramer.co.kr
미원화학||134380|052-261-7988|울산광역시 남구 장생포로 247 (매암동)|www.miwonchemicals.com
미창석유||003650|051-403-6441|부산시 영도구 해양로 241(동삼동)|www.michang.co.kr
바다로19호||155900|02-3210-3333|제주특별자치도 제주시 연삼로 473|
방림||003610|02-2085-2114|서울 마포구 월드컵북로 402 KGIT상암센터 18층|www.pangrim.com
백광산업||001340|063-450-1700|전라북도 군산시 임해로 494-16 (소룡동)|www.pkic.co.kr
백광소재||014580|02-3661-8018|서울시 강서구 공항대로 467(등촌동) 송원빌딩 6층|www.bkmp.co.kr
백산||035150|031-499-0044|경기도 시흥시 공단1대로27번길 47 (정왕동)|www.baiksan.co.kr
범양건영||002410|041-573-5631|충청남도 천안시 서북구 검은들1길 7 4층(불당동,포인트프라자)|www.iby.co.kr
