##NAME|SUBNAME|TELNUM|NEWADDR@@네네치킨
네네치킨|사직1점|051-502-4485|부산 동래구 사직북로 57번길53
네네치킨|수민점|051-555-4492|부산 동래구 명륜로 75번길31
네네치킨|안락1점|051-532-4492|부산 동래구 연안로 51번길81-3
네네치킨|온천3동점|051-504-4492|부산 동래구 충렬대로 126번길19
네네치킨|온천점|051-552-4482|부산 동래구 차밭골로 27
네네치킨|가야개금1점|051-892-8866|부산 부산진구 냉정로 262-1
네네치킨|가야당감점|051-897-4492|부산 부산진구 엄광로321
네네치킨|당감부암1점|051-892-8292|부산 부산진구 백양순환로 28번길50
네네치킨|범천점|051-636-4479|부산 부산진구 신암로 66판매시설동 106호
네네치킨|신개금점|051-892-4492|부산 부산진구 개금본동로 23번길22
네네치킨|양정점|051-804-9282|부산 부산진구 범양로 43
네네치킨|전포점|051-817-4482|부산 부산진구 동성로 51
네네치킨|초읍연지점|051-818-4492|부산 부산진구 성지로 93
네네치킨|구포1점|051-335-9944|부산 북구 시랑로 32
네네치킨|금곡점|051-362-2002|부산 북구 효열로 275번길49
네네치킨|덕천점|051-342-6900|부산 북구 덕천2길45
네네치킨|만덕점|051-333-8686|부산 북구 덕천로 280
네네치킨|화명2점|051-365-4492|부산 북구 학사로 17번나길7
네네치킨|괘법감전점[B]|051-324-4479|부산 사상구 운산로 72
네네치킨|모라1점|051-312-4492|부산 사상구 백양대로 960-1
네네치킨|주례점|051-328-4492|부산 사상구 주례로 25
네네치킨|학장엄궁점|051-311-4492|부산 사상구 학감대로 123번길75
네네치킨|괴정1점|051-202-7992|부산 사하구 괴정로235-1
네네치킨|괴정행복점|051-204-4479|부산 사하구 사리로 4
네네치킨|구평감천점|051-262-9994|부산 사하구 서포로30번길 3강만빌딩1층1호
네네치킨|다대1점|051-265-9298|부산 사하구 윤공단로 17번길103
네네치킨|다대2점|051-261-9297|부산 사하구 다대로 339
네네치킨|당리점|051-206-4492|부산 사하구 제석로 114번길8
네네치킨|신평점|051-201-4479|부산 사하구 다대로142번길 16
네네치킨|하단점[B]|051-293-9296|부산 사하구 낙동대로 542
네네치킨|대신점|051-248-5779|부산 서구 망양로 28
네네치킨|부민충무점|051-241-7949|부산 서구 구덕로 124번길3
네네치킨|광안1점|051-755-4492|부산 수영구 광안로 49번길73
네네치킨|망미점|051-756-4479|부산 수영구 연수로 302번길4
네네치킨|거제점|051-852-4479|부산 연제구 월드컵대로 187번길23
네네치킨|시청점|051-868-4494|부산 연제구 중앙대로 1038번길64상가 101호
네네치킨|연산로타리점|051-852-4445|부산 연제구 거제천로 230번길25
네네치킨|연산토곡점|051-755-5636|부산 연제구 과정로 132번길32
네네치킨|남항점|051-416-4479|부산 영도구 남항로 24-2
네네치킨|동삼점|051-403-9972|부산 영도구 동삼로 59번길15
네네치킨|청학점|051-415-4492|부산 영도구 태종로 358번길3
네네치킨|중부산점|051-469-9295|부산 중구 대청로 25번길4
네네치킨|반송1점|051-544-8272|부산 해운대구 윗반송로 51번길27
네네치킨|반여2점|051-523-4492|부산 해운대구 선수촌로 153
네네치킨|벡스코점|051-747-4498|부산 해운대구 해운대로 383번길25
네네치킨|센텀점|051-783-4492|부산 해운대구 재반로 29
네네치킨|송정점|051-703-4492|부산 해운대구 송정해변로 8-14
네네치킨|우1점|051-731-4414|부산 해운대구 해운대해변로 141
네네치킨|재송반여점|051-781-4479|부산 해운대구 재송2로 28번길6
네네치킨|해운대신도시1호점|051-744-4492|부산 해운대구 해운대로774번길30
네네치킨|해운대중동점|051-747-3457|부산 해운대구 좌동순환로 468번가길20
네네치킨|해운대행복점|051-747-9244|부산 해운대구 좌동순환로 99번길22
네네치킨|개포1점|02-2057-9292|서울 강남구 개포로 25길12
네네치킨|논현1점|02-512-4482|서울 강남구 강남대로 126길38
네네치킨|대치점|02-555-4479|서울 강남구 삼성로 417
네네치킨|도곡점|02-571-9955|서울 강남구 도곡로 28길8
네네치킨|세곡자곡점|02-3411-4479|서울 강남구 자곡로 202
네네치킨|수서점|02-451-4479|서울 강남구 광평로 51길22
네네치킨|신사점|02-542-4479|서울 강남구 논현로 159길25
네네치킨|역삼1점|02-568-4479|서울 강남구 논현로 67길48
네네치킨|역삼충현점|02-566-4479|서울 강남구 봉은사로 26길28
네네치킨|청담점|02-542-9991|서울 강남구 삼성로 145길14
네네치킨|강일점|02-428-0076|서울 강동구 아리수로 94길19
네네치킨|길동1점|02-486-4492|서울 강동구 진황도로 47길15
네네치킨|둔촌점|02-475-9282|서울 강동구 천호대로 182길41
네네치킨|명일점[B]|02-426-4479||02-429-4479|서울 강동구 동남로 67길22
네네치킨|성내1점|02-472-4472|서울 강동구 천호옛14길34
네네치킨|암사2점|02-442-4456|서울 강동구 고덕로 28길10-5
네네치킨|천호1점|02-477-5765|서울 강동구 구천면로 284
네네치킨|천호2동점|02-482-4482||02-427-4275|서울 강동구 올림픽로 78길15-4
네네치킨|미아점|02-982-8292|서울 강북구 삼양로 54길119
네네치킨|번동점|02-987-4479|서울 강북구 오현로 31길129
네네치킨|삼각산점|02-982-8282|서울 강북구 삼양로 19길74
네네치킨|수유2점|02-905-8899|서울 강북구 삼각산로 99
네네치킨|수유점|02-985-0092|서울 강북구 삼양로 74길18
네네치킨|가양1점[B]|02-3661-4482|서울 강서구 양천로 443-32
네네치킨|까치산점|02-2601-4492|서울 강서구 강서로 12길40
네네치킨|등촌2동점|02-2644-6969|서울 강서구 등촌로 51가길47
네네치킨|등촌3동점|02-3661-4492|서울 강서구 공항대로 41길65
네네치킨|방화1점|02-2662-4472|서울 강서구 양천로 24가길3
네네치킨|방화2점|02-2662-9229|서울 강서구 금낭화로 26
네네치킨|수명산파크점|02-2667-7792|서울 강서구 강서로 47길108
네네치킨|염창점|02-3663-9285|서울 강서구 양천로 637
네네치킨|화곡1동점|02-2699-4479|서울 강서구 가로공원로 76길95
네네치킨|화곡남부시장점|02-2653-4492|서울 강서구 곰달래로 53길50
네네치킨|화곡본동점|02-2607-5882|서울 강서구 초록마을로 2길54
네네치킨|관악구청점|02-889-4492|서울 관악구 쑥고개로 93
네네치킨|난곡점|02-863-8880|서울 관악구 미성3길8
네네치킨|봉천점|02-888-5919|서울 관악구 은천로 9길14
네네치킨|봉천중앙점|02-876-9992|서울 관악구 남부순환로 231길16
네네치킨|봉천현대점[B]|02-882-9277|서울 관악구 봉천로 441
네네치킨|신림2점|02-877-4482|서울 관악구 신림로 158
네네치킨|신림남부점|02-838-9288|서울 관악구 남부순환로 143길16
네네치킨|신림점|02-889-4442|서울 관악구 문성로 215
네네치킨|인헌점|02-883-9931|서울 관악구 인헌길 58
네네치킨|군자송정점|02-499-4479|서울 광진구 동일로 52길15
네네치킨|어린이대공원점|02-466-6572|서울 광진구 광나루로 521
네네치킨|자양2점|02-454-3336|서울 광진구 뚝섬로 52가길6
네네치킨|자양점|02-452-9200|서울 광진구 능동로 10길109
네네치킨|중곡1점|02-468-5592|서울 광진구 면목로 148
네네치킨|중곡2점|02-464-4479|서울 광진구 동일로 64길14
네네치킨|화양점|02-462-8887|서울 광진구 아차산로 21길43
네네치킨|개봉점[B]|02-2687-9244|서울 구로구 개봉로 11길34
네네치킨|고척1점|02-3666-4492|서울 구로구 경서로 45
네네치킨|고척스카이돔점|02-2688-7721|서울 구로구 경인로 430 B-5
네네치킨|구로1점|02-861-4492|서울 구로구 구로동로 35길40
네네치킨|구로테크노마트점|02-860-5700|서울 구로구 새말로 102
네네치킨|근린공원점|02-2687-4479|서울 구로구 고척로 27길115
네네치킨|남구로점|02-865-9222|서울 구로구 도림로 12길24
네네치킨|신도림점|02-2677-4492|서울 구로구 신도림로 11길43
네네치킨|오류1점|02-2689-9288|서울 구로구 부일로 953
네네치킨|가산독산1동점|02-856-9244|서울 금천구 가산로 3길55
네네치킨|금천점|02-805-4492|서울 금천구 은행나무로 22
네네치킨|독산점|02-866-9592|서울 금천구 남부순환로 126길69
