##NAME|SUBNAME|TELNUM|NEWADDR|FEAT|OFFDAY@@골프장
가야||055-337-0091|경남 김해시 인제로 502 (삼방동, 가야컨트리클럽)|회원제:45;퍼블릭:9|
라데나||033-260-1114|강원 춘천시 신동면 칠전동길 72 (정족리, 라데나클럽)|회원제:27|
라비에벨||올드033-245-7000/듄스033-245-7100|강원 춘천시 동산면 종자리로 436 (조양리, 라비에벨 컨트리클럽)|퍼블릭:36|
라온||064-795-1000|제주특별자치도 제주시 한경면 용금로 998|퍼블릭:27|
라헨느||064-754-9000|제주특별자치도 제주시 명림로 374 (봉개동)|회원제:18|
레이크사이드||031-334-2111/~8|경기도 용인시 처인구 모현읍 능원로 181|회원제:18;퍼블릭:36|
레이크우드||031-820-1500|경기도 양주시 만송로 244|회원제:27;퍼블릭:9|
레이크힐스경남||055-589-8888|경남 함안군 칠원면 운무로 470|회원제:18|
레이크힐스용인||031-336-8350|경기 용인시 처인구 남사면 경기동로 628 (창리, 레이크힐스C.C)|회원제:27|
레이크힐스제주||064-738-8858|제주특별자치도 서귀포시 산록남로 1391 (중문동)|회원제:27|
레인보우힐스||043-879-7900|충북 음성군 생극면 차생로 168 (생리, 레인보우힐스C.C)|퍼블릭:27|
렉스필드||031-880-8700|경기도 여주시 산북면 광여로 1115|회원제:18;퍼블릭:9|
로드힐스||033-269-8888|강원도 춘천시 동산면 종자리로 148-16|퍼블릭:27|
로얄포레||043-841-9000|충북 충주시 신니면 화치3길 35 (대화리, (주)신니개발)|퍼블릭:18|
롯데스카이힐/김해||055-340-9108|경상남도 김해시 진례면 고모로134번길 54-49|회원제:18|
롯데스카이힐/부여||041-939-1700|충남 부여군 규암면 백제문로 470|퍼블릭:18|
롯데스카이힐/제주||064-731-2000|제주특별자치도 서귀포시 색달동 100|회원제:18;퍼블릭:9|
리베라||031-376-6711|경기도 화성시 동탄면 중리길 183|회원제:36|
마론뉴데이||041-623-5500|충청남도 천안시 동남구 북면 납안5길 74|회원제:18|
마에스트로||031-8046-1000|경기 안성시 양성면 안성맞춤대로 2134-36 (노곡리)|퍼블릭:18|
마우나오션||054-740-0601|경북 경주시 양남면 동남로 982 (신대리, 마우나오션리조트)|회원제:18|
무등산||061-379-1000|전라남도 화순군 화순읍 오성로 292-90 (무등산CC)|퍼블릭:27|
무주덕유산||063-320-7039|전라북도 무주군 설천면 만선로 185|회원제:18|
문경||054-550-5000|경북 문경시 마성면 문경골프장길 240 (외어리, (주)문경레저타운)|퍼블릭:18|
발리오스||031-352-5061|경기 화성시 팔탄면 3.1만세로 641-28 (화당리, 발안컨트리클럽)|회원제:18;퍼블릭:9|
버드우드||041-558-9900|충청남도 천안시 동남구 병천면 매성2길 103|회원제:18|
버치힐||033-335-5757|강원도 평창군 대관령면 올림픽로 715|회원제:18|
베네치아||054-420-0200|경북 김천시 구성면 송죽리 611-2|회원제:18|
베뉴지||031-582-6248|경기 가평군 가평읍 용추로171번길 100 (승안리, 가평베뉴지골프장)|퍼블릭:27|
베어리버||063-720-7126|전라북도 익산시 웅포면 강변로 130|회원제:(18);퍼블릭:(18)|
베어즈베스트/청라||032-560-2000|인천 서구 청라대로316번길 45 (경서동)|퍼블릭:27|
베어크리크||031-539-5700|경기 포천시 화현면 달인동로 35 (지현리)|퍼블릭:36|
베이사이드||051-930-0000|부산광역시 기장군 일광면 이천8길 100|회원제:27|
보라||052-255-1000|울산광역시 울주군 삼동면 삼동로 404|회원제:27|
부곡||055-521-0707/10|경상남도 창녕군 부곡면 온천로 445|회원제:18|
부산||051-509-0707|부산광역시 금정구 중앙대로2327번길 112 (노포동)|회원제:18|
블랙밸리||033-540-5300|강원도 삼척시 도계읍 도상로 307-84|퍼블릭:18|
블랙스톤||064-795-2200|제주특별자치도 제주시 한림읍 한창로 925-122 (금악리, 블랙스톤골프클럽)|회원제:18;퍼블릭:9|
블랙스톤/이천||031-641-0473|경기 이천시 장호원읍 장여로 459-160|회원제:18;퍼블릭:9|
블루마운틴||033-439-1277|강원 홍천군 두촌면 광석로 898-160 (괘석리)|퍼블릭:27|
블루원/디아너스||1899-1888|경북 경주시 천군동 보불로 391번지|회원제:27|
블루원상주||1899-1888|경북 상주시 모서면 화현3길 127|퍼블릭:18|
블루원용인||031-330-9700|경기도 용인시 처인구 원삼면 보개원삼로1534번길 40|회원제:18;퍼블릭:9|
블루헤런||031-880-0700|경기 여주시 대신면 고달사로 67 (상구리)|회원제:18|
비발디파크||1644-0063|강원도 홍천군 서면 한치골길 200|회원제:18;퍼블릭:27|
비에이비스타||031-636-3577|이천시 모가면 어농리 386-1|회원제:36;퍼블릭:9|
사우스스프링스||031-630-7000|경기 이천시 모가면 공원로 64 (소고리)|퍼블릭:18|
사이프러스||064-787-8888|제주특별자치도 서귀포시 표선면 번영로 2300|회원제:27;퍼블릭:9|
사천||055-851-5000|경남 사천시 서포면 다평리 산16-1|퍼블릭:27|
상떼힐||043-850-2200|충청북도 충주시 앙성면 상대촌1길 198|회원제:18|
상떼힐익산||063-835-2521|전라북도 익산시 무왕로38길 111 (덕기동)|회원제:18;퍼블릭:6|
샌드파인||033-640-0600|강원도 강릉시 저동등길 53 (저동)|회원제:18|
샤인데일||033-430-1000|강원 홍천군 서면 한서로 247-156 (동막리)|퍼블릭:27|
서경타니||055-831-7000|경남 사천시 곤양면 흥신로 210 (가화리, 타니골프앤리조트)|퍼블릭:36|
서라벌||054-773-7000|경상북도 경주시 외동읍 내외로 577-189|퍼블릭:36|
서산수||041-689-7714|충남 서산시 대산읍 삼길포7로 6 (화곡리)|퍼블릭:18|
서서울||031-943-0040/4103|경기 파주시 광탄면 혜음로 324 (용미리)|회원제:18|
서원밸리||031-940-9400|경기 파주시 광탄면 서원길 333 (발랑리, 서원밸리G.C클럽)|회원제:18;퍼블릭:27|
석정힐||063-560-7000|전북 고창군 고창읍 석정2로 192 (석정리, 클럽하우스)|퍼블릭:18|
설해원골든비치||033-670-7700|강원도 양양군 손양면 공항로 230|회원제:27|
세라지오||031-887-8700|경기도 여주시 여양로 530 (오금동)|회원제:18|
세븐밸리||054-979-1000|경상북도 칠곡군 왜관읍 봉계3길 180|퍼블릭:18|
세인트포||064-786-3800|제주특별자치도 제주시 구좌읍 선유로 445-55|회원제:9;퍼블릭:27|
세종에머슨||044-862-4004|세종특별자치시  전의면 운주산로 1510|회원제:27|
세종필드||044-861-5678|세종특별자치시 연기면 정안세종로 1569 (산울리, 세종필드골프클럽)|퍼블릭:18|
센추리21||033-733-1000|강원도 원주시 문막읍 궁말길 193|회원제:36;퍼블릭:9|
센테리움||043-849-7000|충북 충주시 노은면 솔고개로 750 (신효리)|퍼블릭:27|
소피아그린||031-887-8100|경기 여주시 점동면 소피아그린길 84 (현수리)|퍼블릭:27|
솔모로||031-884-7000|경기 여주시 가남읍 솔모로그린길 171 (양귀리)|회원제:36|
솔트베이||031-400-0000|경기도 시흥시 마유로 987 (장곡동)|퍼블릭:18|
송추||031-871-9410/~6|경기도 양주시 광적면 쇠장이길 435|회원제:18|
수원||031-281-6611/~5|경기 용인시 기흥구 중부대로 495 (구갈동, 수원컨트리클럽)|회원제:36|
스카이밸리||031-880-8800|경기 여주시 북내면 운촌길 254 (운촌리, 스카이밸리CC)|회원제:18;퍼블릭:18|
스카이뷰||02-515-0004|경남 함양군 서상면 소로길 207 (대남리)|퍼블릭:18|
스테이트월셔||02-3141-2220|경기 안성시 보개면 동평리 산 11-1|회원제:(18);퍼블릭:(9)|
스톤게이트||051-722-7000|부산 기장군 일광면 곡천길 317 (용천리)|퍼블릭:18|
스프링데일||064-800-8000|제주특별자치도 서귀포시 남원읍 서성로 459 (위미리, 스프링데일C.C)|퍼블릭:18|
스프링베일||033-254-7900|강원 춘천시 동면 금베이길 93-27 (만천리)|퍼블릭:9|
승주||061-740-8000|전남 순천시 별량면 오실길 333 (덕정리)|회원제:27|
시그너스||043-857-5001|충청북도 충주시 앙성면 중방곡길 57-44|회원제:9;퍼블릭:18|
신동||033-264-6700|강원도 춘천시 김유정로 1885, 중앙하이츠빌딩 3층 (퇴계동)|퍼블릭:(18)|
신라||031-886-3030|경기도 여주시 북내면 신라그린길 84|퍼블릭:27|
신안||031-8046-0777|경기도 안성시 고삼면 개울말길 149|회원제:18;퍼블릭:9|
신원||031-333-1800|경기도 용인시 처인구 이동면 이원로 225|회원제:27|
실크리버||043-277-5000|충청북도 청주시 서원구 남이면 문곡구절골길 235|회원제:18|
썬밸리||043-881-5307|충북 음성군 삼성면 범말길 49 (대사리, 썬벨리컨트리클럽)|퍼블릭:18|
썬힐||031-585-7900|경기도 가평군 조종면 운악청계로 809|회원제:18;퍼블릭:18|
아난티클럽서울||031-589-3000|경기도 가평군 설악면 유명로 961-34|회원제:27|
아덴힐||1588-7208|제주 제주시 한림읍 금악리 화전길 82|퍼블릭:18|
아델스코트||055-930-7777|경남 합천군 가야면 가조가야로 1916-10|퍼블릭:27|
아리솔||043-540-8000|충청북도 보은군 보은읍 보은로 148, 2층|퍼블릭:18|
아시아나||031-334-8800|경기도 용인시 처인구 양지면 양대로 290|회원제:36|
아시아드||051-720-6000|부산 기장군 일광면 차양길 26|회원제:27|
아일랜드||032-884-1004|경기 안산시 단원구 대부남동 1111|퍼블릭:27|
아크로||061-470-7000|전라남도 영암군 금정면 안적동길 403|퍼블릭:27|
아트밸리||043-531-3000|충청북도 진천군 진천읍 송강로 783-51|회원제:27|
안성||031-674-9111|경기 안성시 죽산면 걸미로 487 (장계리)|회원제:18|
안성베네스트||031-670-0700|경기도 안성시 금광면 삼흥로 660|회원제:27;퍼블릭:9|
안양||031-460-3301|경기도 군포시 군포로 364 (부곡동)|회원제:18|
알펜시아||033-339-3100|강원 평창군 대관령면 솔봉로 325 (용산리)|회원제:27|
양산||055-379-0000|경남 양산시 상북면 충렬로 687 (소토리, 양산컨트리클럽)|퍼블릭:27|
양산에덴밸리||055-379-9000|양산시 원동면 어실로 910|회원제:18|
양주||031-592-6060/4|경기 남양주시 화도읍 북한강로 1525-52 (금남리, 양주컨트리클럽)|회원제:18|
양지파인||031-338-2001|경기 용인시 처인구 양지면 남평로 112 (남곡리, 양지파인리조트)|퍼블릭:27|
양평TPC||031-772-3000|경기도 양평군 지평면 대평평장길 113-8|회원제:27|
어등산||062-605-3000|광주 광산구 무진대로 31 (운수동)|회원제:18;퍼블릭:9|
에덴블루||031-678-7021|경기 안성시 죽산면 녹배길 175 (장능리)|퍼블릭:27|
에딘버러||041-750-0114|충남 금산군 진산면 살구정길 167|회원제:18|
에머슨GC||043-533-6666|충청북도 진천군 백곡면 배티로 818-105|회원제:27|
에버리스||064-795-5001|제주특별자치도 제주시 애월읍 평화로 1693-75 (어음리, 에버리스골프장)|회원제:18;퍼블릭:9|
SG아름다운||041-536-8132|충남 아산시 영인면 영인산로 440 (신현리, 아름다운골프장)|퍼블릭:18|
에이원||055-371-3500|경남 양산시 덕명로 190 (매곡동, 에이원컨트리클럽)|회원제:27|
엘리시안강촌||033-260-2000|강원도 춘천시 남산면 북한강변길 688|회원제:27;퍼블릭:9|
엘리시안제주||064-798-7000|제주특별자치도 제주시 애월읍 평화로 1738-116|회원제:18;퍼블릭:18|
여수경도||061-660-1000|여수경도해안단지길22(경호동)|퍼블릭:27|
여주||031-883-7000|경기 여주시 월평로 78 (월송동)|회원제:27|
오너스||033-260-1900|강원 춘천시 남산면 동촌로 667 (수동리)|퍼블릭:18|
오라||064-747-5100|제주특별자치도 제주시 오라남로 130-16 (오라2동, 오라칸트리클럽)|회원제:36|
오션비치||054-730-9000|경북 영덕군 강구면 동해대로 4265-43 (삼사리, 오션비치골프&리조트)|퍼블릭:27|
오션힐스영천||054-330-9000|경북 영천시 임고면 방목길 34-2 (효리, 오션힐스영천컨트리클럽)|회원제:27|
오션힐스청도||054-373-5600|경상북도 청도군 매전면 곰티로 370-204|회원제:18|
오션힐스포항||054-262-9988|경북 포항시 북구 송라면 대전길 7 (방석리, 오션힐스포항CC)|회원제:18;퍼블릭:9|
오크밸리||033-730-3500|강원도 원주시 지정면 오크밸리1길 66|회원제:54;퍼블릭:9|
오투||033-580-7000|강원도 태백시 서학로 861 (황지동)|퍼블릭:27|
오펠||054-333-2100|경상북도 영천시 고경면 호국로 1221-24|회원제:27|
옥스필드||033-340-7700|강원도 횡성군 서원면 경강로유현6길 28|퍼블릭:18|
용원||055-552-0080|경남 창원시 진해구 가주로 133 (용원동, 용원GC클럽)|회원제:27|
용평||033-335-5757|강원도 평창군 대관령면 올림픽로 715|회원제:18;퍼블릭:9|
우리들||064-766-7777|제주특별자치도 서귀포시 산록남로 2914 (상효동)|회원제:18|
우정힐스||041-557-2902/4|충남 천안시 동남구 목천읍 충절로 1048-68 (운전리, 우정힐스컨트리클럽)|회원제:18|
울산||052-225-0707|울산 울주군 웅촌면 웅촌로 1 (대대리)|회원제:27|
웰리힐리||033-340-1400|강원 횡성군 둔내면 조항로 360|회원제:36;퍼블릭:9|
웰링턴||031-645-1800|경기 이천시 모가면 사실로725번길 119-73|회원제:27|
윈체스트안성||031-678-9000|경기도 안성시 서운면 오촌길 97-31|퍼블릭:18|
유성||042-822-7103|대전광역시 유성구 현충원로 200 (덕명동)|회원제:18|
은화삼||031-335-8255|경기도 용인시 처인구 백옥대로 860-38(호동,은화삼cc)|회원제:18|
이븐데일||043-288-1000|충청북도 청원군 미원면 대신2길 31|퍼블릭:18|
이스트밸리||031-760-3800|경기 광주시 곤지암읍 건업길 195 (건업리)|회원제:27|
이천마이다스||031-640-0103|경기 이천시 설성면 설가로 602 (송계리)|퍼블릭:27|
이포||031-886-8100|경기도 여주시 금사면 장흥로 416|회원제:18;퍼블릭:6|
인천국제||032-562-6666|인천 서구 도요지로 37 (경서동, 인천국제 C.C Club House)|회원제:18|
인터불고||053-819-6100|경북 경산시 삼성현로 614-26 (평산동, 인터불고경산컨트리클럽)|회원제:27|
일동레이크||031-539-5900|경기도 포천시 일동면 화동로 738|회원제:18;퍼블릭:9|
임페리얼레이크||043-853-5555|충북 충주시 금가면 다래울길 52|퍼블릭:18|
자유||031-880-9900|경기 여주군 가남면 삼군리 산 44|회원제:36|
잭니클라우스||032-850-8000|인천광역시 연수구 아카데미로 209 (송도동)|회원제:18|
전주샹그릴라||063-643-1000|전북 임실군 신덕면 수지로 559-90 (지장리, 전주샹그릴라컨트리클럽(골프장))|회원제:(27)|
정산||055-338-8300|경상남도 김해시 주촌면 서부로1701번길 294-16|회원제:27|
제이드팰리스||033-260-8000|강원 춘천시 남산면 경춘로 212-30 (서천리, 제이드팰리스G.C.)|회원제:18|
제일||031-400-2500|경기 안산시 상록구 태마당로 28 (부곡동, 제일문화프라자)제일컨트리클럽|회원제:27;퍼블릭:9|
제주||064-702-0451|제주특별자치도 제주시 516로 2695 (영평동)|회원제:18|
제피로스||064-720-7000|제주특별자치도 제주시 조천읍 번영로 1040-70|회원제:18|
젠스필드||043-880-1000|충북 음성군 삼성면 덕호로 382 (용대리, 젠스필드CC)|퍼블릭:18|
중문||064-735-7200|제주특별자치도 서귀포시 중문관광로72번길 60 (색달동, 중문골프장)|퍼블릭:18|
중부||031-762-6588/9|경기도 광주시 곤지암읍 경충대로 451|회원제:18|
중원||043-849-8000|충청북도 충주시 산척면 인등로 392|퍼블릭:27|
지산||031-330-1400|경기도 용인시 처인구 원삼면 죽양대로 2000번길 60|회원제:27;퍼블릭:9|
진주||055-758-0400|경남 진주시 진성면 진성로464번길 82 (구천리, 진주 컨트리클럽)|퍼블릭:18|
창원||055-288-4112|경남 창원시 의창구 대봉로 137 (봉림동, (주)창원컨트리클럽)|회원제:18|
천룡||043-536-1007|충북 진천군 이월면 진안로 347-123 (신계리, 천룡컨트리클럽)|회원제:27;퍼블릭:9|
천안상록||041-560-9001|충청남도 천안시 동남구 수신면 수신로 576|퍼블릭:27|
청평마이다스||031-589-9000|경기 가평군 설악면 다락재로 73-111 (이천리, 청평마이다스골프장)|회원제:18|
캐슬렉스||02-480-5600|경기 하남시 감이동  260-1|회원제:18|
캐슬렉스제주||064-793-6688|제주특별자치도 서귀포시 안덕면 평화로 1241|회원제:18;퍼블릭:9|
코리아||031-334-7111|경기도 용인시 처인구 이동면 서리 784-7|회원제:27;퍼블릭:9|
코스카||043-870-1000|충북 음성군 음성읍 동음로 318|퍼블릭:27|
큐로||031-799-6000|경기 광주시 곤지암읍 오향길 180 (오향리)|퍼블릭:18|
크라운||064-784-4811|제주특별자치도 제주시 조천읍 북흘로 144|회원제:18;퍼블릭:9|
크리스탈밸리||031-589-5000|경기도 가평군 상면 대보간선로 602-111|회원제:18|
클럽모우||033-439-9122|강원도 홍천군 서면 장락동길 111|퍼블릭:27|
클럽비전힐스||031-595-3355|경기 남양주시 화도읍 마치로 226-220 (녹촌리, (주)비전힐스)|회원제:18|
킹스데일||043-870-4100|충북 충주시 주덕읍 기업도시3로 2 (화곡리, 킹스데일)|퍼블릭:18|
타미우스||064-793-0707|제주특별자치도 제주시 애월읍 화전길 201|회원제:27|
타이거||031-958-8900|경기도 파주시 파평면 술이홀로 1857-100|퍼블릭:18|
태광||1877-6001|경기도 용인시 기흥구 흥덕4로 77 (영덕동)|회원제:27;퍼블릭:9|
태릉||02-970-7320|서울특별시 노원구 화랑로 574 (공릉동)|회원제:18|
태안비치||041-670-7000|충청남도 태안군 근흥면 갈음이길 77|회원제:18|
태인||063-532-7200|전북 정읍시 태인면 상증길 6-22|퍼블릭:18|
테디밸리||064-793-1000|제주특별자치도 서귀포시 안덕면 한창로 365|회원제:18|
통도파인이스트||055-370-1300|경남 양산시 하북면 신평남부길 78-130|회원제:36|
티클라우드||031-869-7770|경기 동두천시 평화로 3202 (하봉암동)|회원제:18|
파가니카||033-261-6556|강원 춘천시 남면 소주고개로 145-10 (후동리)|퍼블릭:18|
파미힐스||054-971-9900|경북 칠곡군 왜관읍 봉계로 263 (매원리, 파미힐스CC)|회원제:36|
파인리즈||1577-6399|강원도 고성군 토성면 잼버리동로 267|퍼블릭:27|
파인밸리||033-573-0874|강원도 삼척시 근덕면 미근로 1629|퍼블릭:18|
파인비치||061-530-7700|전라남도 해남군 화원면 시아로 224|퍼블릭:18|
파인스톤||041-350-0124|충청남도 당진시 송산면 무수들길 90|퍼블릭:18|
파인크리크||031-672-0071|경기도 안성시 양성면 안성맞춤대로 2417-13|퍼블릭:27|
파인힐스||061-750-9000|전라남도 순천시 주암면 송광사길 99|퍼블릭:27|
파주||031-959-9999|경기도 파주시 법원읍 화합로 306|퍼블릭:18|
팔공||053-982-8080~5|대구시 동구 팔공산로 237길 186|회원제:18|
88||031-287-8811/~6|경기 용인시 기흥구 석성로521번길 169 (청덕동, 88컨트리클럽)|회원제:36|
페럼||031-887-7000|경기 여주시 점동면 점동로 181 (사곡리)|퍼블릭:18|
포천아도니스||031-530-9100|경기도 포천시 신북면 포천로 2499|회원제:27;퍼블릭:9|
포천힐스||031-538-7000|경기도 포천시 군내면 반월산성로375번길 34|퍼블릭:27|
푸른솔포천||031-850-3000|경기도 포천시 가산면 금우로 276|퍼블릭:27|
프리스틴밸리||031-589-2000|경기도 가평군 설악면 유명로 1243-199|회원제:18|
프린세스||041-851-6300|충청남도 공주시 정안면 방자들길 81-50|퍼블릭:18|
플라자CC/설악||033-630-5511|강원 속초시 미시령로2983번길 111 (장사동)|회원제:18|
플라자CC/용인||031-332-1122|경기도 용인시 처인구 남사면 봉무로153번길 79|회원제:36|
플레이어스||033-250-5000|강원 춘천시 동산면 새술막길 438 (군자리)|퍼블릭:27|
핀크스||064-792-5200|제주특별자치도 서귀포시 안덕면 산록남로 863 (상천리)|회원제:18;퍼블릭:9|
필로스||031-531-2003|경기 포천시 일동면 운악청계로 1507 (기산리)|퍼블릭:27|
하이원||033-590-7300|강원도 정선군 고한읍 고한7길 399|퍼블릭:18|
한라산||064-754-5678|제주특별자치도 제주시 선돌목동길 56-70|퍼블릭:18|
한성||031-284-3831/~6|경기 용인시 기흥구 구교동로 151 (마북동, 한성컨트리클럽)|회원제:27|
한양||031-969-0810|경기 고양시 덕양구 고양대로1643번길 164 (원당동)|회원제:36|
한원||031-373-7111/~4|경기도 용인시 처인구 남사면 전나무골길2번길 94|회원제:27|
함평엘리체||061-320-7800|전남 함평군 학교면 서당매길 242|퍼블릭:27|
해비치(서울)||031-579-3000|경기도 남양주시 화도읍 재재기로190번길 160|회원제:18|
해비치(제주)||064-766-6220|제주특별자치도 서귀포시 남원읍 원님로399번길 319|회원제:18;퍼블릭:18|
해슬리나인브릿지||031-887-9900|경기 여주시 명품1로 76 (연라동)|회원제:18|
해운대||051-726-8000|부산광역시 기장군 정관면 병산2로 265|회원제:27|
해운대비치||051-726-0707|부산광역시 기장군 기장읍 대변로 74(해운대비치 골프앤리조트)|회원제:18|
해피니스||061-330-5000|전라남도 나주시 다도면 다도로 171-60|회원제:18;퍼블릭:9|
화산||031-329-7114|경기도 용인시 처인구 이동면 화산로 239 (화산리, 화산C.C)|회원제:18|
화성상록||031-371-0100|경기 화성시 풀무골로60번길 80 (중동)|퍼블릭:27|
화순||061-371-0900|전남 화순군 도곡면 천태로 1000-151|회원제:27|
화순엘리체||061-373-5511|전남 화순군 춘양면 장곡길 55|회원제:18|
휘닉스평창||1577-0755|강원도 평창군 봉평면 태기로 227-84, 일원|회원제:18;퍼블릭:6|
휘슬링락||070-8121-0100|강원 춘천시 남산면 동촌로 501 (행촌리, 휘슬링락CC)|회원제:27|
힐드로사이||033-439-3300|강원 홍천군 남면 한서로 2840 (화전리)|퍼블릭:18|
