##NAME|SUBNAME|TELNUM|NEWADDR|ETCADDR|TYPE|TYPE2|SINCE|WEBSITE@@기타도서관
대한지적공사 지적연수원 도서실||031-8006-7000|용인시 운학동  624||전문도서관|공공|1988|
동부한농화학농업기술연구소도서실||031-354-6810|화성시 정남면 보통리  175-1||전문도서관|민간|-|
동아제약연구소도서실||031-280-1312|용인시 기흥구 상갈동  47-5||전문도서관|민간|-|
두루뫼박물관||031-958-6101|파주시 법원읍 법원4리  139-5||전문도서관|민간|1998|
뮤지엄만화규장각||032-310-3101|경기도 부천시 원미구 길주로 1 한국만화박물관 2층||전문도서관|민간|0000|
법무부 도서실||02-2110-3481|과천시 중앙동  1 정부종합청사||전문도서관|공공|1979|
법무연수원 도서실||031-288-2258|용인시 구성면 언남동  39||전문도서관|공공|-|
봉녕사소요삼장도서관||031-254-3371|수원시 팔달구 우만동  248||전문도서관|민간|-|
부천문화재단 판타스틱시네마테크||032-684-3147|부천시 오정구 오정동  오정구청 5층 한국영상자료원||전문도서관|공공|2005|
부천시보육정보센터 유아전문도서관||032-322-8686|부천시 원미구 상1동  394-2번지 복사골문화센터 1층 부천시보육정보센터||전문도서관|공공|1999|
분당서울대병원 의학자료정보센터||031-787-1234|성남시 분당구 구미동  300번지||전문도서관|공공|2003|
분당환경시민의모임 도서관||031-702-5610|성남시 분당구 야탑동  285-8||전문도서관|민간|----|
사법연수원 도서실||031-920-3191|고양시 일산구 장항2동  872||전문도서관|공공|-|
삼성전자 수원 정보자료실||031-279-8542|수원시 팔달구 매탄동 416||전문도서관|민간|0000|
삼성종합기술원 도서실||031-280-6509|용인시 기흥읍 농서리  산14||전문도서관|민간|0000|
서호도서관||02-354-5007|고양시 덕양구 용두동  산30-49||전문도서관|민간|1980|
성남시청 행정자료실||031-729-2214|경기 성남시 중원구 여수동 200번지(성남대로 997)||전문도서관|공공|1984|
성서학도서관||02-2103-8802|경기도 용인시 기흥구 한보라2로 197 (대한성서공회 반포센타)||전문도서관|민간|1995|
세종병원도서실(혜원의료재단)||032-340-1812|부천시 소사구 소사본2동  91-121||전문도서관|민간|-|
수원지방법원 자료실||031-210-1117|수원시 영통구 원천동  80||전문도서관|공공|----|
시공테크 전시 전문도서관||02-3438-0079|경기도 성남시 분당구 판교역로 225-20 시공빌딩||전문도서관|민간|1988|
쌍용자동차 자료실||031-610-3189|평택시 칠괴동  150-3 쌍용자동차 기술관리팀||전문도서관|민간|1989|
에너지경제연구원 자료실||031-420-2197|경기 의왕시 내손동 665-1||전문도서관|공공|1986|
에너지관리공단 자료실||031-260-4574|경기 용인시 수지구 풍덕천2동  1157||전문도서관|공공|1980|
용인정신병원의학도서실||031-288-0273|경기도 용인시 기흥구 중부대로 940 (상하동) 신관 3층 의학도서실||전문도서관|민간|1988|
유한양행 중앙연구소 자료실||031-899-4010|용인시 기흥구 공세동  416-1 유한양행 중앙연구소||전문도서관|민간|----|
임업연구원 임목육종부 도서실||031-290-1181|수원시 권선구 오목천동  44-3||전문도서관|공공|0000|
중앙119구조대 도서실||031-570-2034|남양주시 별내면 덕송1리  190-2||전문도서관|공공|-|
중앙공무원교육원 교육정보자료실||02-500-8526|경기 과천시 중앙동 중앙공무원교육원 2번지(교육원로118)||전문도서관|공공|1964|
중앙선거관리위원회 자료실||02-504-2762|과천시 중앙동  2-3||전문도서관|공공|-|
지구촌교회 지혜의샘터도서관||031-270-8296|용인시 수지구 신봉동  1-1||전문도서관|민간|1999|
지방행정연수원 도서관||031-250-5361|경기 수원시 장안구 파장동 지방행정연수원 184||전문도서관|공공|1950|
지방혁신인력개발원 도서관||031-250-5361|수원시 장안구 파장동  184||전문도서관|공공|-|
축산과학원 도서실||031-290-1748|수원시 권선구 축산길  77||전문도서관|공공|0000|
축산물품질평가원 자료실 (구 축산물등급판정소)||031-390-5565|군포시 당동  424-6 2층||전문도서관|공공|0000|
포천중문의과대분당차병원도서실||031-780-5040|성남시 분당구 야탑동  351번지||전문도서관|민간|-|
한국가스공사 자료실||031-710-0983|성남시 분당구 정자동  215 한국가스공사||전문도서관|공공|----|
한국가스공사연구원자료실||031-400-7459|안산시 일동  638-1||전문도서관|공공|-|
한국가스안전공사 자료실||031-310-1266|시흥시 대야동  332-1||전문도서관|공공|0000|
한국건설기술연구원 건설정보관||031-910-0081~2|고양시 일산서구 대화동  2311||전문도서관|공공|1983|
한국교통연구원 도서실||031-910-3026|고양시 일산구 대화동  2311||전문도서관|공공|-|
한국국제협력단 자료실||031-740-0114|성남시 수정구 시흥동  298||전문도서관|민간|0000|
한국군사문제연구원 자료실||02-405-2821|성남시 수정구 창곡동  사서함 122-11호||전문도서관|공공|0000|
한국농어촌공사 자료실||031-420-4245|의왕시 포일동  487||전문도서관|공공|1950|
한국도자재단 도자만권당||031-6450-551~2|이천시 관고동  산69-1||전문도서관|민간|0000|
한국마사회 자료실||02-509-1120~1|과천시 주암동  685||전문도서관|공공|-|
한국석유관리원 자료실||031-789-0254|경기도 성남시 분당구 안양판교로 1207 (백현동) 한국석유관리원 자료실||전문도서관|공공|1984|
한국시설안전공단 자료실||031-910-4168|고양시 일산구 대화동  2311||전문도서관|공공|1945|
한국식품연구원 도서실||031-780-9250|경기도 성남시 분당구 안양판교로1201번길 62||전문도서관|공공|1988|
한국장애인고용공단 정보자료실||031-728-7098|성남시 분당구 구미동  구미로 173번길 59 한국장애인고용공단 정보자료실||전문도서관|공공|1999|
한국전력기술㈜ 기술정보실||054-421-4066|경상북도 김천시 혁신로 269 (율곡동) 360-9 한국전력기술||전문도서관|민간|1979|
한국정보통신기술협회 기술정보실||031-724-0088|경기 성남시 분당구 서현동 267-2||전문도서관|공공|1990|
한국지역난방공사 자료실||031-780-4228|성남시 분당구 분당동  186||전문도서관|공공|1992|
한국철도기술연구원 철도기술정보관||031-460-5124|경기 의왕시 월암동 한국철도기술연구원 신청사 철도기술정보관||전문도서관|공공|1994|
한국토지주택공사 자료실||031-738-8353|경기 성남시 분당구 정자동 217 한국토지주택공사 자료실||전문도서관|공공|0000|
한국학중앙연구원 도서관||031-709-2727|성남시 분당구 운중동 하오개로 323||전문도서관|공공|1978|
한림대성심병원도서실||031-380-4085,7|안양시 동안구 평촌동  896||전문도서관|민간|0000|
한양대구리병원의학학술정보실||031-560-2147|구리시 교문동  249-1||전문도서관|민간|-|
해병대사령부 도서관||031-290-3195|화성군 봉담면 유리  사서함 601-206-12호||전문도서관|민간|-|
현대자동차 자동차정보센터||031-368-5265|화성군 남양면  772-1||전문도서관|민간|0000|
환경부 자료실||044-201-6431|세종특별자치시 도움6로 11 (어진동) 환경부 503호 환경정보자료실||전문도서관|공공|1980|
(사)지역문화공동체 경남정보사회연구소 자료실||055-265-0021|경남 창원시 봉곡동 (봉곡동 46-1) 봉곡사회교육센터 2층||전문도서관|민간|----|
㈜두산중공업 중앙자료실||055-278-3659|창원시 귀곡동  555||전문도서관|민간|-|
경상남도교육연구정보원 문헌정보실||055-269-0734|경상남도 창원시 의창구 사림로111번길 20 (사림동) 경상남도교육연구정보언 문헌정보실||전문도서관|공공|1945|
경상남도교육연수원 도서실||055-279-9083|경남 창원시 사림동 경상남도교육연수원 158||전문도서관|공공|1945|
경상남도농업기술원||055-771-6226|경남 진주시 초전동 1085-1||전문도서관|공공|1993|
경상남도의회 자료실||055-211-7073|창원시 북16로 창원시 의창구 상남로 290||전문도서관|공공|1992|
경상남도인재개발원 도서실||055-254-2086|경상남도 진주시 월아산로 2026 (초전동) 경상남도서부청사 인재개발원 5층||전문도서관|공공|1988|
경상남도중앙사회교육센터 자료실||055-263-4511|창원시 중앙동  66-1||전문도서관|공공|1995|
경상남도청 행정자료실||055-211-5837|창원시 사림동  1||전문도서관|공공|-|
공군교육사령부 도서관||055-750-2961|진주시 금산면 속사리  사서함 306-3호||전문도서관|공공|1978|
국립김해박물관 자료실||055-320-6835|김해시 구산동  232번지||전문도서관|공공|1998|
대우조선해양㈜ 기술정보센터 자료실||055-734-8979|거제시 아주동  1||전문도서관|민간|----|
동아세아문화재연구원 자료실||055-265-9150|경남 마산시 양덕동 96-20 동문빌딩||전문도서관|민간|2006|
마산합포구청 행정자료실||055-220-4025|경남 마산시 중앙동3가 4-11(前 마산시청)||전문도서관|민간|0000|
삼성중공업거제조선소 기술정보센터||055-630-3289|거제시 신현읍 장평리  530 설계관||전문도서관|민간|-|
창원파티마병원의학도서실||055-270-1010-11|창원시 명서동  212||전문도서관|민간|-|
하이에어코리아 자료실||055-340-5000|김해시 진례면 담안리  1432-11||전문도서관|민간|-|
한국기계연구원 재료기술연구소 도서실||055-280-3174|경남 창원시 상남동 66번지||전문도서관|공공|0000|
한국저작권위원회 도서관||055-792-0113|경상남도 진주시 충의로 19 (LH공사 1,3,5층)||전문도서관|공공|0000|
한국전기연구원 자료실||055-280-1169|창원시 성주동  28-1||전문도서관|공공|1977|
한국항공우주산업㈜ 기술정보실||055-851-2799|사천시 사남면 유천리  802||전문도서관|민간|2001|
해군 도서관||055-549-4514|진해시 현동 충정로 사서함 602-13||전문도서관|공공|0000|
해인사도서관||055-934-3059|합천군 가야면 치인리  10||전문도서관|민간|0000|
㈜코오롱기술연구소 기술정보실||054-469-3804|구미시 공단동  212||전문도서관|민간|0000|
경상북도교육연구원 장서실||054-840-2258|안동시 정하동  385(강남로 152)||전문도서관|공공|1999|
경상북도교육연수원 도서관||054-450-4340|구미시 남통동  110||전문도서관|공공|1987|
경상북도문화재연구원 자료실||070-7113-9019|경북 영천시 금호읍 297-1||전문도서관|공공|1998|
경상북도의회 자료실||053-602-5183|경상북도 안동시 풍천면 도청대로 455 경상북도 안동시 풍천면 갈전리 1155 경상북도청||전문도서관|공공|0000|
경상북도청 행정자료실||054-880-2851|경상북도 안동시 풍천면 도청대로 455 경상북도 안동시 풍천면 갈전리 1155 경상북도청||전문도서관|공공|0000|
국립경주문화재연구소 자료실||054-777-8855|경주시 불국로 132||전문도서관|공공|2005|
농림축산검역본부도서관 (구 농림수산검역검사본부)||054-912-0349|경상북도 김천시 혁신8로 177 (율곡동) 농림축산검역본부 도서관||전문도서관|공공|1911|
성베네딕도회왜관수도원 도서실||054-970-2000|칠곡군 왜관읍 왜관리  134-1||전문도서관|민간|1956|
안동성소병원의학도서실||054-850-8212|안동시 금곡동  177||전문도서관|민간|-|
제일모직 정보자료실||054-468-2724|구미시 공단동  290||전문도서관|민간|-|
칠곡군청 구상문학관||054-979-6447|칠곡군 왜관읍 왜관6리  785-84||전문도서관|공공|-|
포스코건설 정보자료실||054-223-5271|포항시 남구 괴동  포스코건설 b1||전문도서관|민간|-|
포항산업과학연구원||054-279-6411|경북 포항시 남구 효자동 산32||전문도서관|민간|1987|
포항상공회의소 자료실||054-274-2233|포항시 남구 상도동 10-2||전문도서관|민간|-|
포항성모병원의학도서실||054-289-4327|포항시 남구 대잠동  270-1||전문도서관|민간|-|
한국도로공사자료실||054-811-4291|경상북도 김천시 혁신8로 77 (율곡동) 경상북도 김천시 율곡동  941 한국도로공사 자료실||전문도서관|공공|1969|
한동대선린병원 의학도서실||054-245-5417|포항시 북구 대신동  69-7||전문도서관|민간|1997|
해병대교육훈련단 도서관||054-290-1057|포항시 남구 오천읍 세계리  사서함 209-132호||전문도서관|민간|-|
광주과학기술원 도서관||062-715-2087|북구 오룡동  첨단 과기로 201||전문도서관|공공|1995|
광주광역시 자료관||062-613-2841,2842|서구 치평동 내방로  111||전문도서관|공공|1986|
광주광역시지방공무원교육원 자료실||062-613-7085|광주 광산구 소촌동 232-2||전문도서관|공공|1995|
광주기독병원 의학도서관||062-650-5230|남구 양림동  264||전문도서관|민간|-|
광주시유아교육진흥원 꿈샘도서관||062-960-6577|광주광역시 광산구) 장덕로 34||전문도서관|공공|2011|
광주은행 도서실||062-239-5064|동구 금남로 3가  7-12||전문도서관|민간|1981|
국립광주박물관 도서실||062-570-7061|북구 매곡동  산83-3||전문도서관|공공|0000|
국립아시아문화전당도서관||062-601-4844|광주광역시 동구 문화전당로 38 (광산동) 문화정보원 라이브러리파크||전문도서관|공공|2015|
전남대학교 박물관 자료실||062-530-3584|광주광역시 북구 용봉로 77 (용봉동) 전남대학교 박물관 도서실||전문도서관|민간|1957|
전남발전연구원 지식정보센터||061-280-3980|광주 동구 금남로1가 전일빌딩 6층||전문도서관|공공|0000|
경상북도교육청 행정자료실||053-603-3635|북구 산격동  연암로 40(1111-4번지)||전문도서관|공공|1978|
계명대학교 의학도서관||053-580-3723|중구 달성로  56||전문도서관|민간|1958|
국립대구박물관 도서실||053-768-6052|수성구 황금동  산41||전문도서관|공공|-|
대구가정법원 도서실||053-570-2131|대구광역시 달서구 장산남로 30 (대구가정법원) 9층 도서실||전문도서관|공공|2007|
대구경북과학기술원 도서관||053-785-1171|대구광역시 달성군 현풍면 테크노중앙대로 333  대구경북과학기술원 학술정보관||전문도서관|공공|2013|
대구경북연구원 정보자료실||053-770-5030|수성구 중동로  246 대동타워 18층 커뮤니케이션센터||전문도서관|공공|-|
대구고등법원 도서실||053-757-6704|대구광역시 수성구 동대구로 364 (대구고등법원)||전문도서관|공공|1962|
대구광역시공무원교육원 도서실||053-803-5228|대구 중구 동인동2가 177-4||전문도서관|공공|1985|
대구광역시교육연구정보원 (구 대구광역시교육정보원)||053-606-6588|남구 삼각지길  200번지||전문도서관|공공|2004|
대구광역시교육연수원자료실||053-980-5472|대구 동구 신무동 산116||전문도서관|공공|1992|
대구도시개발공사 자료실||053-350-0116|북구 고성동 3가  1-1||전문도서관|공공|----|
대구동일교회 도서관||053-755-6003|동구 신천3동  147-1||전문도서관|민간|2000|
대구보훈병원 의학도서실||053-630-7846|대구 달서구 도원동 748 대구보훈병원 의학도서실||전문도서관|공공|2006|
대구시 여성회관 도서실||053-803-5391|북구 노원3가  483번지 대구여성회관 도서실||전문도서관|민간|1989|
대구시청 작은도서관||053-803-5681|대구 중구 동문동 9-2번지 1층 대구시청 작은도서관||전문도서관|공공|1973|
대구은행 도서실||053-740-2068|수성구 수성2가  118 대구은행본점건물 7층||전문도서관|민간|-|
대구파티마병원 의학도서관||053-940-7067|동구 신암동  576-31 대구파티마병원||전문도서관|민간|1967|
무학도서관||053-804-3586|대구 수성구 지산동 720번지||전문도서관|공공|2009|
영남대의료원 의학도서관||053-640-6834|대구광역시 남구 현충로 170 (대명동) 영남대학교 의과대학 의학도서관||전문도서관|민간|1981|
천주교대구대교구청 도서실||053-250-3016|중구 남산동  225-1||전문도서관|민간|0000|
한국교육학술정보원 자료실||053-714-0549|대구광역시 동구 동내로 64 혁신도시 내||전문도서관|공공|0000|
한국토지주택공사 대구경북지역본부 도서실||053-603-2536|달서구 도원동  1445||전문도서관|공공|----|
한국패션센터 자료실||053-380-3366~7|북구 산격동  1670||전문도서관|공공|1900|
(주)한화 종합연구소 자료실||042-829-2613|유성구 외삼동  52-1||전문도서관|민간|----|
KT&G 중앙연구원 도서실||042-866-5633|유성구 신성동  302||전문도서관|공공|-|
LG화학/기술연구원 자료실||042-866-2085|유성구 문지동  104-1 LG화학기술연구원 도서실||전문도서관|민간|1995|
가톨릭대대전성모병원 도서실||042-220-9685|중구 대흥동  520-2||전문도서관|민간|-|
국가수리과학연구소 도서관||042-717-5700|대전 유성구 전민동 463-1 KT대덕2연구센터||전문도서관|공공|2008|
국가핵융합연구소 자료실||042-879-6234|대전 유성구 어은동 52||전문도서관|공공|0000|
국립문화재연구소 자료정보관||042-860-9140|유성구 문지동  472||전문도서관|공공|1969|
국립중앙과학관 도서실||042-601-7941|유성구 구성동  32-2||전문도서관|공공|0000|
국방과학연구소 정보수집실||042-821-3763|대전광역시 유성구 북유성대로488번길 160 (수남동) 111||전문도서관|공공|1970|
금호석유화학중앙연구소 도서실||042-865-8615|대전광역시 유성구 유성대로 1557 (화암동) 금호석유화학(주)중앙연구소||전문도서관|민간|1995|
대전광역시청 행정자료실||042-270-4213|서구 둔산동 1420 대전광역시청 행정자료실(3층)||전문도서관|공공|1986|
대전연정국악문화회관 자료실||042-220-0314|대전 중구 문화1동 1-27||전문도서관|공공|----|
동부하이텍 동부기술원||042-866-8114|유성구 문지동  103-2 동부기술원||전문도서관|민간|0000|
문화재청 기록관(자료실)||042-481-4770|서구 둔산동 920 정부대전청사 2동 1405호||전문도서관|공공|1998|
병무청 행정자료실||042-481-2836|대전광역시 서구 청사로 189 (둔산동) 2동 907호||전문도서관|공공|2005|
산림청 자료실||042-481-4267|서구 둔산동  920 정부대전청사 1동||전문도서관|공공|2000|
삼양사중앙연구소 자료실||042-865-8107|대전 유성구 화암동 삼양그룹연구소 63-2||전문도서관|민간|0000|
연구개발특구정보도서관 (구 대덕비즈니스정보센터)||042-865-7088~90|대전광역시 유성구 대덕대로 593||전문도서관|공공|2007|
육군교육사령부 자료정보관||042-878-6947|대전 유성구 추목동   사서함 78-100호||전문도서관|공공|1982|
정보통신산업진흥원 대전자료실||042-612-8781|대전 유성구 화암동 58-4 정보통신기술진흥센터 본관 2층 자료실||전문도서관|공공|1900|
조달청 도서실||042-481-7446|서구 둔산동  920 정부대전청사 3동||전문도서관|공공|-|
중소기업청 자료실||042-481-4328|서구 둔산동  920||전문도서관|공공|-|
증산도 사상연구소 도서관||042-222-0680|중구 선화동  356-8||전문도서관|민간|-|
충남교육연구정보원 도서실||042-580-3267|중구 문화동  279-1||전문도서관|공공|0000|
통계청 도서실||042-481-2406|서구 둔산동 청사로 189 정부대전청사 3동 1304호||전문도서관|공공|1970|
통계청 통계교육원도서관||042-366-6116|대전광역시 서구 한밭대로 713 (나라키움대전센터) 통계센터 4층||전문도서관|공공|2009|
특허청 전자도서관||042-481-5130|대전광역시 서구 청사로 189 (정부대전청사)||전문도서관|공공|1946|
한국과학기술원 중앙도서관||042-350-2233|대전광역시 유성구 대학로 291 (한국과학기술원) 중앙도서관(E9)||전문도서관|공공|1971|
한국과학기술정보연구원||042-869-1872|대전광역시 유성구 대학로 245 (어은동) 콘텐츠큐레이션센터 정보자료관||전문도서관|공공|0000|
한국기계연구원 도서관||042-868-7624|유성구 장동  171||전문도서관|공공|-|
한국생명공학연구원 도서관||042-860-4763|대전시 유성구 어은동  52||전문도서관|공공|1990|
한국수자원공사 정보문화센터||042-629-2472|대덕구 연축동  산6-2||전문도서관|공공|1968|
한국에너지기술연구원 정보전산팀||042-860-3712|유성구 장동  71-2||전문도서관|공공|0000|
한국원자력안전기술원 지식정보실||042-868-0126|유성구 구성동  19||전문도서관|공공|-|
한국원자력연구원 기술정보실||042-868-2204|유성구 대덕대로  989번길 111||전문도서관|공공|1959|
한국전자통신연구원 도서실||042-860-5807|유성구 가정동  161||전문도서관|공공|0000|
한국조폐공사기술연구소 정보자료실||042-820-1600|유성구 가정동  35||전문도서관|공공|0000|
한국지질자원연구원 지식정보실||042-868-3302|대전광역시 유성구 과학로 124 (가정동) A4동 2층 도서관||전문도서관|공공|1918|
한국천문연구원 자료실||042-865-3230|대전 유성구 화암동 61-1||전문도서관|공공|1974|
한국철도공사 자료관||042-615-3664|대전광역시 동구 중앙로 240 (한국철도공사)||전문도서관|공공|0000|
한국철도시설공단 KR자료실||042-607-3623|대전 동구 신안동 264||전문도서관|공공|2005|
한국통신인력개발본부 자료실||042-530-5635|서구 괴정동  산14-1||전문도서관|공공|-|
한국표준과학연구원 기술정보실||042-868-5434|대전광역시 유성구 가정로 209 한국표준과학연구원||전문도서관|공공|0000|
한국한의학연구원자료정보실||042-868-9457|대전광역시 유성구 유성대로 1672 (전민동) 한의학연구원 자료정보실||전문도서관|공공|1994|
한국항공우주연구원 자료실||042-860-2151|대전광역시 유성구 과학로 169-84 (어은동) 한국항공우주연구원 총무정보팀 도서관||전문도서관|공공|1989|
한국해양연구원 해양시스템안전연구소 도서실||042-866-3192|유성구 장동  171 (신성로 104)||전문도서관|공공|1999|
한국화학연구원 정보전산팀||042-860-7744|유성구 장동  100||전문도서관|공공|1976|
한전 원자력연료㈜ 자료실||042-868-1136|유성구 덕진동  493||전문도서관|민간|-|
한전 전력연구원 자료실||042-865-5163|유성구 문지동  103-16||전문도서관|공공|-|
국립수산과학원 도서실||051-720-2826|기장군 기장읍 시랑리  408-1||전문도서관|공공|1921|
