##NAME|SUBNAME|ID|TELNUM|NEWADDR|WEBSITE@@코넥스기업
명진홀딩스||267060|070-7561-9468|서울특별시 서초구 서초중앙로 41 대성빌딩 9층|www.salmonkorea.com
모아정보기술||130480|1566-1291|서울시 구로구 디지털로 30길 28, 507호(구로동 마리오타워)|www.moacard.net
모헤닉게라지스||236900|031-945-5514|전라남도 영암군 삼호읍 용당로 358|www.mohenic.com
미디어젠||279600|02-6429-7100|경기도 성남시 분당구 성남대로925번길 41, 4층(야탑동, 파인벤처빌딩)|www.mediazen.co.kr
미라콤아이앤씨||080640|02-2125-6967|서울시 송파구 올림픽로 35길 123, 10층 (신천동, 향군타워)|www.miracom.co.kr
미애부||225850|1577-1401|경기도 성남시 중원구 갈마치로 215, 금강펜테리움IT타워 에이동-808 (상대원동)|www.miev.co.kr
미코바이오메드||214610|02-2025-3019|경기도 성남시 수정구 창업로 54 가동 3층, 4층(시흥동, LH기업성장센터)|www.nanobiosys.co.kr
바이오시네틱스||281310|02-2113-1285|서울특별시 금천구 가산디지털2로 184, 708호(가산동, 벽산디지털밸리 2차)|www.bio-synectics.com
바이오인프라생명과학||266470|02-6271-0102|서울특별시 종로구 대학로 49, 7층(연건동)|www.bioinfra.co.kr
바이오코아||216400|02-2027-6200|서울특별시 금천구 디지털로9길 33 (가산동, IT미래TOWER) 8층 바이오코아(주)|www.bio-core.com
바이오프로테크||199290|033-735-7720|강원도 원주시 문막읍 동화공단로 151-3(동화첨단의료기기산업단지)|www.protechsite.com
바이옵트로||222160|031-8005-5155|경기도 용인시 기흥구 탑실로58번길 14|www.bioptro.co.kr
볼빅||206950|02-424-5211|충청북도 음성군 대소면 대금로 628|www.volvik.co.kr
비나텍||126340|063-715-3020|전라북도 전주시 덕진구 운암로 15 (팔복동2가)|www.vina.co.kr
비보존||276620|02-916-1004|경기도 용인시 기흥구 구성로 357, 디동 9층,10층(청덕동, 용인 테크노밸리)|www.vivozon.com
비엔디생활건강||215050|02-552-8481|충청북도 음성군 생극면 생극산단길 31 (주)비엔디생활건강|www.e-seje.com
비엔에프코퍼레이션||271780|032-564-6612|인천광역시 서구 보듬로 176|www.bnfcorp.com
비트로시스||066870|054-635-4533|경상북도 영주시 풍기읍 죽령로1371번길 17|vitrosys.com
비플라이소프트||148780|02-3487-0215|서울특별시 광진구 강변역로 2, 6층(구의동, 광진우체국)|www.bflysoft.co.kr
빅텐츠||210120|02-786-2245|서울특별시 강남구 도산대로 317 8층(신사동,호림아트센터1빌딩)|www.vicpd.co.kr
산타크루즈컴퍼니||168570|02-3446-8775|서울시 강남구 논현로 122길 10(논현동, 우연빌딩 5층)|www.santacruise.co.kr
삼보컴퓨터||161990|031-489-3000|경기도 안산시 단원구 능안로 98-12|www.trigem.co.kr
삼중테크||066190|02-3468-2311|서울시 강남구 언주로 337,9층(역삼동)|www.samjungtech.com/
서울개인택시복지법인||279000|02-569-2220|서울특별시 송파구 올림픽로 319(신천동, 교통회관)|
서울바이오시스||092190|1566-2771|경기도 안산시 단원구 산단로163번길 65-16, 1블럭 36호 (원시동)|www.seoulviosys.com
선바이오||067370|031-423-5467|경기도 군포시 산본로 95|www.sunbio.com
세메스||042380|041-620-8000|충청남도 천안시 서북구 직산읍 4산단 5길 77|www.semes.com
세종머티리얼즈||135270|031-491-1850|경기도 안산시 단원구 성곡로 112 (성곡동, 반월공단 604블럭29롯트)|www.sejongmaterials.co.kr
셀인바이오||179690|031-695-7955|경기도 수원시 영통구 신원로88, 103-1308(신동, 디지털엠파이어2)|www.cellinbio.co.kr
셀젠텍||258250|042-822-9482|대전광역시 유성구 유성대로 579-4(구암동)|www.pcpia21.co.kr
소리대장간||274460|1588-3975|대전광역시 대덕구 덕암북로70번길 7 (덕암동)|www.soundsmithy.com
소프트캠프||210610|02-3453-9999|경기도 성남시 분당구 판교로228번길 17 이랜텍동 3층(삼평동, 판교세븐벤처밸리2)|www.softcamp.co.kr
수프로||185190|02-6300-2444|서울시 서초구 강남대로 27 aT센터 1301호|www.suppro.com
스템랩||258540|02-7586-9619|서울특별시 성북구 안암로 145 고려대학교(자연계캠퍼스) 산학관 711호|www.stemlab.co.kr
시그넷이브이||260870|070-4618-6057|전라남도 영광군 대마면 전기차로 49|www.signetev.com
시큐센||232830|02-3497-6980|서울특별시 서초구 반포대로 13, 2층(서초동, 아이티센빌딩)|www.secucen.com
썬테크||217320|061-721-2222|전라남도 순천시 해룡면 신성리 901-1|www.sun-tech.co.kr
씨브이네트||073960|031-218-1800|경기도 수원시 영통구 매영로345번길 111 경기방송국 2층|www.cvnet.co.kr
씨알푸드||236030|043-645-4100|충청북도 제천시 바이오밸리1로 85|www.crfood.co.kr
씨앗||103660|062-940-7200|광주광역시 광산구 평동산단로169번길 40 (월전동926)|www.ciaat.net
씨앤에스링크||245450|070-8786-6458|경기도 성남시 분당구 방아로16번길 11 메카텍빌딩 3층|www.cns-link.co.kr
씨이랩||189330|031-628-6810|서울특별시 강남구 논현로76길 9 4층 (역삼동,서울강남빌딩)|www.xiilab.com
씨티네트웍스||189540|041-742-0609|충남 논산시 연무읍 신화길 12|www.ctnetworks.co.kr
씽크풀||041710|1666-6300|서울특별시 영등포구 국제금융로 70 (여의도동,미원빌딩 15층)|www.thinkpool.com
아리바이오||192230|02-2637-0009|경기도 성남시 분당구 판교로228번길 15, 2동 301호 (삼평동, 판교세븐벤처밸리1)|www.aribio.com
아이엔오기술||293290|02-2027-0200|서울특별시 금천구 가산동 60-11 스타밸리 1009호|www.ino.co.kr
아이엘사이언스||122050|031-757-5100|경기도 성남시 중원구 마지로 123-1 아이엘밸리|www.ilscience.co.kr
아이케이세미콘||149010|02-3153-7090|서울특별시 마포구 성암로 179 8층 (상암동,한샘상암)|www.iksemi.com
아이피몬스터||223220|02-414-9909|광주광역시 남구 송암로 60 광주 CGI센터 402호|www.gurumcompany.com
아주엠씨엠||049410|054-974-5500|경상북도 칠곡군 왜관읍 공단로 286|www.ajumcm.com
아하정보통신||102950|031-997-0909|경기도 김포시 양촌읍 황금로109번길 67 (학운리)|www.ahainc.co.kr
안국바이오진단||043720|02-457-9308|강원도 춘천시 소양강로 40 (후평동, 춘천바이오타운 바이오2동 308호)|www.ahngookbio.com
안지오랩||251280|042-867-5786|대전광역시 유성구 테크노3로 65 (관평동, 한신에스메카)|www.angiolab.co.kr
알로이스||271400|070-8680-5501|경기도 성남시 중원구 양현로405번길 4-5 3층|www.aloys.co.kr
앙츠||267810|02-2677-9915|서울특별시 영등포구 양산로 53 (양평동3가, 월드메르디앙비즈센터) 911호|www.iantz.co.kr
앤알커뮤니케이션||129050|02-3016-9822|서울특별시 강남구 테헤란로7길 8, 14층 (역삼동, BYC빌딩)|www.nrcom.com
앤유엔터테인먼트||266170|02-565-1676|서울특별시 강남구 학동로82길 7 HYUN빌딩 (삼성동, HYUN빌딩 4층)|www.andu-ent.com
엄지하우스||224810|02-550-7800|서울특별시 강남구 테헤란로28길 25|www.eomjihouse.co.kr
에듀파트너||208890|02-6337-5433|서울특별시 마포구 양화로 125, 8층(서교동,경남관광빌딩)|www.thepartner.co.kr
에브리봇||270660|070-4913-8805|경기도 성남시 분당구 판교역로 240 삼환하이펙스 에이동 1001호|www.everybot.co.kr
에스알바이오텍||270210|031-726-3134|경기도 성남시 중원구 둔촌대로 484 시콕스타워 B101호|www.srbiotek.com
에스앤디||260970|043-710-8000|충청북도 청주시 흥덕구 오송읍 오송생명4로 163|www.isnd.co.kr
에스에이티이엔지||158300|031-433-4711|경기도 시흥시 군자천로21번길 66, 시화공단2바 707호 (정왕동)|www.sateng.co.kr
에스엔피제네틱스||086460|02-3273-1671|서울특별시 마포구 백범로 35 (신수동) 서강대학교 티이관 1007호|www.snp-genetics.com
에스엘에스바이오||246250|031-275-5522|경기도 수원시 영통구 창룡대로 260 광교센트럴비즈타워 7층|www.slabs.co.kr
에스엠면세점||238730|02-2120-6735|서울특별시 종로구 인사동 5길 41|www.smdutyfree.com
에스엠비나||299670|02-6953-7020|서울특별시 마포구 마포대로 53, 비동 803호 (도화동, 마포트라팰리스)|www.smvina.co.kr
에스제이켐||217910|041-881-9454|전라북도 익산시 왕궁면 무왕로 2243-23|www.sj-chem.com
에스케이씨에스||224020|031-761-7703|경기도 광주시 초월읍 산수로554번길 47|www.kcsltd.co.kr
에스코어||114290|070-7125-5114|경기도 성남시 분당구 황새울로 258번길 31, 9층(수내동, 분당예미지빌딩)|www.s-core.co.kr
에스피반도체통신||036150|032-680-7777|경기도 부천시 원미구 평천로 832번길 30(도당동)|www.spsemi.co.kr
에어미디어||037890|02-3485-3000|서울특별시 성동구 성수일로 8길 5, 1509호(성수동2가, 서울숲에스케이브이1타워)|www.airmedia.co.kr
에이비온||203400|02-6006-7610|서울특별시 구로구 디지털로 242 915호(구로동,한화비즈메트로 1차)|www.abionbio.com
에이원알폼||234070|031-8017-5305|충청북도 괴산군 괴산읍 대제산단3길 46|www.aonealform.co.kr
에이치엔에스하이텍||044990|042-866-1300|대전광역시 유성구 관평동 757-2|www.hnshightech.com
에이치케이자산관리대부||134610|02-3468-4011|대전광역시 서구 둔산서로 81 (둔산동 1305)|www.hkcapital.co.kr
에이펙스인텍||207490|054-976-7667|경상북도 칠곡군 가산면 인동가산로 619-9|www.apexint.co.kr
에이플러스라이프||141110|02-6006-0618|서울특별시 강남구 역삼로 415 (대치동, 성진빌딩)|www.apluslife.co.kr
에코텍||104690|070-5031-9628|서울특별시 금천구 가산디지털1로 168 (가산동, 우림라이온스밸리)|www.에코텍.com
에프앤가이드||064850|02-769-7700|서울특별시 강서구 마곡중앙2로 61|www.fnguide.com
엔솔바이오사이언스||140610|042-939-4500|대전광역시 유성구 테크노10로 51(탑립동)|www.ensolbio.co.kr
엔에스컴퍼니||224760|052-289-2888|경상북도 경주시 외동읍 구어2산단로 127|www.nscompany.co.kr
엘리비젼||276240|032-576-3050|인천광역시 남동구 논현고잔로 109번길 105, 비동 202호(고잔동)|www.elivision.com
엘에스아이앤디||190410|031-8068-3020|경기도 안양시 동안구 엘에스로 127, 301(호계동, LS타워 3층)|www.ls-ind.co.kr
엘에이티||311060|031-8019-5050|경기도 수원시 권선구 서부로 1433-100, 수원산업2단지(고색동)|www.latplasma.com
엠로||058970|02-785-9848|서울특별시 영등포구 당산로41길 11, 이동 5층(당산동4가, 당산에스케이브이1센터)|www.emro.co.kr
엠앤씨생명과학||225860|031-731-1401|경기도 성남시 중원구 갈마치로 215 A동 807호(상대원동, 금강펜테리움아이티타워)|www.mievls.co.kr
엠에프엠코리아||251960|02-531-5780|서울특별시 강남구 도곡로 204, 4층(도곡동, 동신빌딩)|
엠텍비젼||206300|031-627-0100|경기도 성남시 분당구 판교로 255번길 58, 씨즈타워 6층|www.mtekvision.com/
옐로페이||179720|02-6354-9110|서울특별시 강남구 논현로168길 39 301호(신사동, 원빌딩)|www.yelopay.com
완도전복||110030|061-555-3600|전라남도 완도군 완도읍 농공단지8길 11 (죽청리)|www.wakorea.kr
원바이오젠||278380|054-462-7965|경상북도 구미시 1공단로5길 56(공단동)|www.wonbiogen.co.kr
원텍||216280|042-934-6802|대전광역시 유성구 테크노8로 64 (용산동)|www.wtlaser.com
위세아이텍||065370|02-6246-1400|경기도 성남시 분당구 판교로 253 이노벨리C동 5층|www.wise.co.kr
위월드||140660|042-630-0600|대전시 유성구 테크노7로 32-4|www.wiworld.co.kr
유니텍||063180|02-3281-8431|서울특별시 구로구 디지털로33길 55 이앤씨벤쳐드림타워2차 601호|www.unitech.co.kr
유니포인트||121060|02-6676-5500|서울특별시 동작구 남부순환로 2049 (사당동 네오티스빌딩 2층)|www.unipoint.co.kr
유비온||084440|02-3782-8771|서울특별시 구로구 디지털로34길 27 601호|www.ubion.co.kr
유쎌||252370|063-834-6877|전라북도 익산시 함열읍 익산대로78길 265|www.youcel.co.kr
유투바이오||221800|1577-1338|서울특별시 송파구 거마로 65 (마천동)|www.u2bio.co.kr
이노벡스||279060|070-7707-0932|경기도 수원시 영통구 청명남로 3 (영통동, 케이티빌딩 3층)|www.innovex.co.kr
이비테크||208850|042-930-7510|대전광역시 유성구 테크노2로 170-9 (용산동) 이비테크(주)|www.eb-tech.com
이에스산업||241510|041-424-8200|충청남도 천안시 서북구 성거읍 모전1길 354-43 이에스산업(주)|www.es-is.co.kr
이엔드디||101360|043-268-8588|충청북도 청주시 흥덕구 직지대로409번길 37 (송정동)|www.endss.com
이엠티||232530|070-7166-0203|충청북도 충주시 대소원면 첨단산업3로 85-1|www.emtcorp.com
인카금융서비스||211050|02-2192-8916|서울특별시 성동구 성수이로7길 27 (성수동2가, 서울숲코오롱디지탈타워2차)|www.incar.co.kr
인터코스||240340|032-815-8081|인천광역시 남동구 남동서로362번길 62 (남촌동)|www.interkos.co.kr
인프라웨어테크놀러지||247300|02-6003-8800|서울특별시 금천구 가산디지털1로 19 대륭테크노타운18차 20층|www.infrawaretech.com
자비스||230400|031-740-3800|경기도 성남시 중원구 상대원동 133-1 금강하이테크벨리 619호|www.xavis.co.kr
자일대우자동차판매||140310|032-680-6915|인천광역시 부평구 부평대로 337 (청천동)|www.dm.co.kr
전우정밀||120780|053-859-5404|경상북도 경산시 진량읍 공단8로 24|www.jwjm.com
제노텍||066830|042-862-8404|대전광역시 유성구 가정북로 26-69 (장동)|www.genotech.co.kr
제놀루션||225220|02-3010-8670|서울특별시 송파구 법원로11길 11 A동 506호(문정동, 문정현대지식산업센터)|www.genolution1.com
제로웹||308140|070-4659-2311|부산광역시 해운대구 수영강변대로 140, 806호 (우동, 부산문화콘텐츠컴플렉스)|www.zeroweb.kr
제주국제컨벤션센터||033480|064-735-1000|제주특별자치도 서귀포시 중문관광로 224(중문동)|www.iccjeju.co.kr
젠큐릭스||229000|070-7508-2340|서울특별시 구로구 디지털로 242 402, 403, 404, 908, 910, 911호|www.gencurix.com
조인트리||065050|1670-6031|광주광역시 광산구 상무대로 287 (소촌동),3층|www.jointree.co.kr
주노콜렉션||221670|031-970-2955|경기도 고양시 덕양구 지도로 44, 1,2,3,4,5,6층(토당동)|www.laorh.com
지놈앤컴퍼니||314130|031-628-0150|경기도 성남시 분당구 판교로 253, A동 801, 802, 806호|genomecom.co.kr
지앤이헬스케어||299480|1688-8845|경기도 하남시 조정대로 150, 365호,366호,368호,370호,371호|www.hannahpad.com
지에스엘제약||166220|043-855-3071|서울특별시 금천구 벚꽃로 278 (가산동, SJ테크노빌)|www.g-sl.co.kr
지오씨||135160|062-973-6114|광주광역시 북구 첨단벤처로60번길 10(대촌동)|www.glights.com
질경이||233990|070-8952-5702|서울특별시 서초구 사임당로 32 2층(서초동, 재우빌딩)|www.jilgyungyi.com, www.hudc.co.kr
청광종건||140290|02-3461-3600|서울 강남구 언주로 550|www.chungkwang.co.kr
카이노스메드||220250|02-567-7419|경기도 성남시 분당구 대왕판교로712번길 16 한국파스퇴르연구소 4층|www.kainosmedicine.com
케미메디||205290|02-3443-9252|경상북도 안동시 풍산읍 산업단지길 88 (재)경북바이오벤처프라자 3층 302호|www.wellcan.co.kr
케이디비생명보험||087800|1588-4040|서울특별시 용산구 한강대로 372 (동자동, 센트레빌아스테리움서울)|www.kdblife.co.kr
케이디이노베이션||115410|051-265-4771|부산광역시 사하구 다대로300번길 22 (장림동)|
케이아이티||040100|02-476-4231|경상북도 포항시 북구 중흥로125번길 18 (죽도동, 2층)|www.kit.co.kr
케이알투자증권||049500|02-2168-7400|서울특별시 영등포구 여의나루로 57, 14층(여의도동, 신송센타빌딩)|www.krsec.co.kr
케이티파워텔||031690|02-2166-0130|서울특별시 양천구 목동서로 201(목동)|www.ktp.co.kr
코리아2000||040470|031-638-3750|경기도 이천시 호법면 중부대로866번길 15|www.k2k.co.kr
코리아로터리서비스||020920|041-629-4000|충청남도 천안시 동남구 만남로 82(신부동)|www.klsc.co.kr
코셋||189350|062-975-8811|광주시 북구 첨단벤처로60번길 39|www.coset.com
코스텍시스||062760|032-821-0162|인천광역시 남동구 능허대로625번길 43 (고잔동, 남동공단 136B-3L)|www.kostec.net
코엔스||099620|0510740-5091|부산광역시 해운대구 센텀6로21, 901호|www.coens.com
코캄||040480|031-362-0100|경기도 수원시 장안구 경수대로 1220번길 30-78|www.kokam.com
큐엠씨||136660|031-427-0710|경기도 안양시 동안구 흥안대로439번길 55 (관양동, QMC)|www.iqmc.co.kr
크로넥스||215570|02-557-3982|경기도 화성시 팔탄면 주석로778번길 55 (기천리)|www.cronex.co.kr
탑선||180060|061-399-1500|전라남도 장성군 동화면 전자농공단지길 32|www.topsun.kr
태양기계||116100|031-354-9150|경기도 화성시 팔탄면 푸른들판로 843-24|www.sun-mc.co.kr
테크엔||308700|053-593-5678|대구광역시 달성군 구지면 국가산단대로50길 99|www.techen.co.kr
테크트랜스||258050|053-815-8830|경상북도 경산시 진량읍 금박로 656-6|techtrans.co.kr
투에버||061610|053-757-9000|대구광역시 동구 동대구로 503 (신천동)|www.toever.co.kr
툴젠||199800|02-873-8168|서울특별시 금천구 가산디지털1로 219 (가산동) 벽산디지털밸리 6차 1204,1205,1206|www.toolgen.com
티씨엠생명과학||228180|031-698-3041|경기도 성남시 분당구 판교로228번길 15, 3동 3층 (삼평동, 판교세븐벤처밸리 1)|www.tcm-s.co.kr
티에스아이||277880|031-667-2623|경기도 화성시 향남읍 발안로 702-66 (주)티에스아이|www.taesungind.co.kr
티케이씨||191600|032-818-6440|인천광역시 남동구 남동서로269번길 4|www.e-tkc.com
티티씨디펜스||309900|02-406-3789|서울특별시 송파구 법원로9길 26, 씨동 505호 (문정동, 에이치비지니스파크)|www.ttcdefence.com
틸론||217880|02-2627-9005|서울특별시 구로구 디지털로 288 대륭포스트타워 1차 1602호|www.tilon.co.kr
파마리서치바이오||217950|031-8039-1401|강원도 강릉시 사임당로 641-3|www.pr-bio.co.kr
파워풀엑스||266870|02-500-8088|서울특별시 강남구 논현로115길 13 파워풀엑스빌딩|www.flexpower.co.kr
파이널데이터||040870|02-3438-6600|서울특별시 강남구 학동로 175, 7층(논현동, 미디어센타빌딩)|www.finaldata.co.kr
파인이엠텍||278990|031-447-2335|경기도 안양시 만안구 덕천로 38 3층|www.cafeel.co.kr
판도라티비||202960|070-4484-7100|경기도 성남시 분당구 대왕판교로644번길 49 DTC타워 11층|www.pandora.tv
펨토바이오메드||327610|031-622-8501|경기도 성남시 분당구 판교로228번길 17|www.femtobiomed.com
포레스팅블록체인||227420|02-570-1905|서울특별시 송파구 정의로8길 13 6층 (문정동)|www.500v.co.kr
포스코건설||025100|054-223-6114|경상북도 포항시 남구 대송로 180(괴동동)|www.poscoenc.com
포앤티||045020|031-458-2131|경기도 군포시 흥안대로 18번길35(금정동)|www.fo-t.com
포인트엔지니어링||176560|041-546-5131|충청남도 아산시 둔포면 아산밸리로 89|www.pointeng.co.kr
프로테옴텍||303360|02-6968-5277|서울특별시 강서구 양천로 401 강서한강자이타워 A동 702호|www.proteometech.com
플럼라인생명과학||222670|02-3497-1840|서울특별시 서초구 방배로 285 5층(한샘방배)|www.plumblinels.com
피노텍||150440|02-522-3558|서울특별시 서초구 양재천로9길 1 3층(양재동,용두빌딩)|www.finotek.co.kr
피엔아이컴퍼니||242350|070-8610-5333|제주특별자치도 제주시 첨단로 245-2|www.pnisys.com
피엔에이치테크||239890|031-8021-1890|경기도 용인시 기흥구 동백중앙로16번길 16-25, 804호(중동, 대우프론티어밸리1단지)|www.phtech.co.kr
피케이밸브||084820|055-268-3777|경상남도 창원시 성산구 공단로 80(신촌동)|www.pkvalve.co.kr
피피아이||062970|062-972-0116|광주광역시 북구 첨단과기로 345(대촌동)|www.ppitek.com
하나투어리스트||066400|1577-1212|서울시 종로구 인사동5길 41 (공평동)|www.hanatourist.com
하이투자증권||030010|051-554-5111|부산시 동래구 온천장로 121(온천동)|www.hi-ib.com
한국비엔씨||226610|070-7116-0059|대구광역시 달서구 성서공단로11길 62 (호산동) 대구테크노파크벤처공장 1호관 405호|www.bnckorea.co.kr
한국우사회||054190|054-370-8000|경북 청도군 화양읍 남성현로 348|www.koreabulls.com
한국지네틱팜||241140|031-835-7792|경기도 연천군 백학면 장백로 877|www.genetic-pharm.com
한중엔시에스||107640|054-337-5050|경북 영천시 채신1공단길 53|www.hjncs.com
현대아산||075120|02-3669-3838|강원도 고성군 현내면 화진포서길 10|www.hdasan.com
효성캐피탈||046290|1588-9688|서울시 서초구 반포대로 235 (반포4동 63-7)|www.hyosung-capital.co.kr
휘라포토닉스||056880|062-600-0000|광주광역시 북구 첨단벤처소로38번길 11-5(월출동)|www.fi-ra.com
휴럼||284420|02-3281-3688|서울특별시 금천구 가산디지털2로 115 416호 (가산동, 대륭테크노타운 3차)|hurum.co.kr
휴벡셀||212310|031-776-3690|경기도 성남시 중원구 사기막골로 124, 101~105호(상대원동, 에스케이엔테크노파크 메가센터동)|www.diomedical.com
IBK투자증권||104770|02-6915-5000|서울 영등포구 국제금융로 6길 11 (여의도동)|www.ibks.com
KBS미디어||143500|02-6939-8045|서울특별시 마포구 매봉산로 45 (상암동)|www.kbsmedia.co.kr
KC산업||112190|031-883-8684|경기도 여주시 가남읍 가남로 465|www.kccond.co.kr
LPK로보틱스||183350|032-341-1645|인천광역시 계양구 아나지로 402(작전동)|www.lpkrobo.com
LS전선||104230|02-2189-9114|경기도 안양시 동안구 엘에스로 127, LS타워(호계동)|www.lscns.co.kr
SGA임베디드||224880|070-7410-9319|서울특별시 송파구 법원로11길 25 에이동 908호(문정동, 에이치비지니스파크)|www.sgaemb.kr
SK건설||003340|02-3499-2028|서울특별시 종로구 인사동7길 32 (관훈동)|www.skec.co.kr
TS트릴리온||284610|02-785-8296|서울특별시 영등포구 양평로 96 1층,6층,8층(양평동4가, 티에스빌딩)|www.talmo.com
