##NAME|SUBNAME|TELNUM|ADDR|FEAT@@태권도장
한진 체육관||984-8109|서울 강북구 번3동 139 한진그랑빌 상가 2층|
강서원도 체육관||2666-5252|서울특별시 강서구 초원로10길 12-4(방화동)|
강서종합 체육관||2602-5225|서울 강서구 화곡동 969-11|
명성태권도 체육관||2666-7989|서울 강서구 방화2동 614-172|
한국체대호랑이||2605-1360|서울특별시 강서구 우현로 15 2층|
공항경희 체육관||02-2666-5580|서울 강서구 공항동 60-173 대성빌딩 2층|
공항국제 체육관||2666-7559|서울 강서구 공항동 34-50|
꿈나무 체육관||070-8275-6017|서울 강서구 가양동 5단지상가|
남부 체육관||2643-2282|서울 강서구 화곡4동 802-19|
대한 체육관||2608-4631|서울 강서구 가로공원로76가길 53 4층(화곡동)|
대호 체육관||26639754|서울 강서구 방화1동 876 우림@2차 상가 2층|
도산 체육관||02-3664-2456|서울 강서구 내발산2동 산4-5|
동국 체육관||02-2695-4160|서울 강서구 화곡8동 339-2|
로뎀 체육관||3662-0105|서울 강서구 내발산동 663-10  2층|
백두산 체육관||26626162|서울 강서구 방화동 559-1  3층|
염창경희 체육관||3665-9922|서울 강서구 염창동 270-1 태영송화아파트단지내상가 2층|
용인대 체육관||2666-8281|서울 강서구 방화3동 324-3 동우빌딩4층|
으뜸 체육관||2665-5077|서울 강서구 방화1동 601-3|
일심 체육관||3664-6886|서울특별시 강서구 염창동 249-15 3층|
정곡 체육관||2658-8481|서울 강서구 등촌동 택지개발아파트-4블럭|
정무 체육관||02-2668-5747|서울 강서구 가양동 가양아파트 8단지상가 304호|
정재환 체육관||2659-8586|서울 강서구 염창동 동아아파트단지내상가 401호|
제일 체육관||2608-9582|서울 강서구 화곡7동 368-68|
한국가양 체육관||36659333|서울 강서구 가양3동 1488 가양프라자 501호|
한국명성 체육관||3665-2265|서울특별시 강서구 등촌3동 697-1 그랜드종합상가 5층|
한미 체육관||02-2654-3890|서울특별시 강서구 등촌2동 526-3|
해봉 체육관||2658-8336|서울 강서구 등촌1동 상업용지 3-1|
화곡문무 체육관||0226992937|서울 강서구 화곡본동 24-287|
화곡한국 체육관||2608-3919|서울 강서구 화곡본동 51-89 201호  5층|
관악본관 체육관||864-0407|서울 관악구 신림1동 1630-2|
금메달 체육관||830-4824|서울 관악구 신림13동 704-65|
남부 체육관||8562221|서울 관악구 신림동 637-16|
대원 체육관||855-7998|서울 관악구 신림1동 1636-35|
대한 체육관||02-830-8687|서울 관악구 신림동 540번지 2호|
대호 체육관||882-1349|서울 관악구 봉천동 1636-21|
삼성 체육관||884-4686|서울 관악구 봉천8동 921-35  2층|
석사 체육관||873-8487|서울 관악구 봉천4동 1590-7  3층|
석사경희 체육관||586-7676|서울 관악구 남현4길 1 301호(남현동)|
선무||883-1112|서울 관악구 신림5동 1432-162|
세계 체육관||863-4112|서울 관악구 신림7동 670-20|
세일 체육관||886-7195|서울 관악구 신림로29길 8 상가 A상가 209호(신림동, 신림현대아파트)|
신성 체육관||855-2810|서울 관악구 신림4동 487-19|
원도 체육관||028719111|서울특별시 관악구 서림길 3 3층(신림동)|
은천 체육관||878-0066|서울 관악구 봉천9동 937-1|
정무 체육관||8749444|서울 관악구 봉천1동 952-1|
주한외국인 체육관||884-5833|서울 관악구 봉천1동 721-6|
태풍 체육관||63342000|서울 관악구 성현로 80 302호(봉천동, 관악드림타운아파트)|
포올 체육관||873-2501|서울 관악구 봉천3동 관악현대아파트상가2층 202호|
대산||883-6675|관악구 봉천본동 902-8|
한일 체육관||873-5506|서울특별시 관악구 신림로 264 4층(신림동)|
현대경희 체육관||888-8619|서울 관악구 봉천3동 1000번지 현대@상가 407호|
현대호키 체육관||876-5339|서울 관악구 봉천8동 929-2|
호림 체육관||886-6622|서울 관악구 신림10동 1704-3|
군자 체육관||465-7830|서울 광진구 긴고랑로 42 3층(중곡동)|
동아 체육관||446-7976|서울 광진구 자양3동 792 현대아파트10차 상가|
문무중앙 체육관||02-446-6558|서울 광진구 구의동 48-6|
연세 정훈||3409-0992|서울 광진구 능동로6길 14 B01호 (자양동)|
백호 체육관||3436-3888|서울 광진구 중곡2동 161-28|
백호2 체육관||447-6793|서울 광진구 중곡4동 58-18|
보성 체육관||2201-2039|서울 광진구 광장동 453-1|
연세석사 체육관||3437-7333|서울 광진구 구의3동 현대프라임아파트상가|
영광 체육관||4477008|서울 광진구 중곡2동 124-65 3층|
용맹 체육관||453-2214|서울 광진구 중곡4동 82-1|
장안 체육관||497-6847|서울특별시 광진구 군자동 64-1|
정훈 체육관||452-2328|서울 광진구 자양로 172 B101호 (구의동, 솔렌시아2)|
정훈3 체육관||464-2454|서울 광진구 군자동 355-10|
정훈7 체육관||456-1931|서울 광진구 광장동 576|
조양 체육관||464-5073|서울 광진구 노유동 9-5|
중앙 체육관||435-5355|서울 광진구 중곡3동 571-3|
충효 체육관||466-7434|서울 광진구 중곡3동 169-21|
한국화랑 체육관||02-446-3237|서울 광진구 자양동 600-15|
현대 체육관||446-9433|서울 광진구 자양동 621-18  2층|
호랑이 체육관||461-0520|서울 광진구 광장동 114 포슬렌 스포츠센터 내|
호랑이 체육관||971-9003|서울특별시 광진구 광나루로 566 2층|
화랑 체육관||462-1827|서울 광진구 뚝섬로54길 74 현대5차 상가 302(자양동, 현대아파트)|
가리봉 체육관||02-855-7314|서울 구로구 가리봉동 115-221 3층|
개명 체육관||2615-5803|서울 구로구 개봉3동 386-10|
개봉 체육관||2612-6119|서울 구로구 개봉2동 262-29|
개봉경희 체육관||2066-0066|서울 구로구 개봉동 481 현대아파트상가 2동 305호|
개웅 체육관||26874222|서울 구로구 개봉동 349-1  4층|
경희대 체육관||856-5555|서울 구로구 구로5동 552-8 대원빌딩 5층|
고척 체육관||2612-9293|서울 구로구 고척1동 46-21|
구일 체육관||028570991|서울 구로구 구로1동 685-155 구일프라자 302호|
극동 체육관||862-8724|서울 구로구 구로6동 314-1|
매봉 체육관||26838176|서울 구로구 개봉1동 97-3|
백암 체육관||853-2734|서울 구로구 구로5동 111-41|
백호총본관 체육관||2677-3569|서울 구로구 신도림동 393-26|
석사 체육관||856-7557|서울 구로구 구로6동 74-30 현대아파트상가 3층|
솔잎 체육관||867-5051|서울 구로구 구로동 685-448 신영상가 2층|
고려||02-2688-9007|서울 구로구 오류2동 156|
신개명 체육관||2612-4772|서울 구로구 개봉동 327-22|
신고척 체육관||26139409|서울 구로구 고척1동 326 청구아파트상가 3층|
신도림경희 체육관||2636-8977|서울 구로구 신도림동 현대아파트단지내상가|
아람 체육관||02-868-2020|서울 구로구 구로1동 685-147|
오류경희대 체육관||2617-0094|서울 구로구 오류동 338 동부골든아파트상가 3층|
용인대석사 체육관||2684-2514|서울 구로구 고척2동 216-3|
청우 체육관||02-2060-1243|서울 구로구 개봉2동 259-15|
타이거 체육관||2611-3774|서울 구로구 개봉동 180-1 한마을아파트상가 207-304|
현대||2625-6333|서울 구로구 개봉동 480 홈타운상가 2층|
황호 체육관||2684-5623|서울 구로구 온수동 45-34|
천하 체육관||854-7972|서울 금천구 독산동 63(독산동977-24)|
금동 체육관||803-4050|서울 금천구 시흥2동 266 벽산5단지상가 3층|
금천 체육관||804-7840|서울 금천구 시흥5동 827-23|
대호 체육관||8075557|서울 금천구 시흥4동 799-36 3층|
덕승 체육관||02-804-2597|서울 금천구 독산2동 1061-48|
독수리 체육관||862-7004|서울 금천구 독산1동 301-25|
문성태비 체육관||02-862-4905|서울 금천구 독산동 982-1|
백호 체육관||809-6321|서울특별시 금천구 시흥대로68길 87 2층(시흥동)|
본동 체육관||896-2934|서울 금천구 시흥5동 935-2|
새고려 체육관||809-3600|서울 금천구 시흥5동 831-1|
선무 체육관||805-4519|서울 금천구 독산1동 331-43|
성무 체육관||028532177|서울 금천구 독산4동 184-3|
정훈 체육관||856-8333|서울 금천구 가산동 152-16호 성현빌딩|
톱용인 체육관||02-898-1551|서울 금천구 독산1동 1095 한신아파트상가|
하늘 체육관||806-7106|서울 금천구 시흥5동 926 3층|
경희석사||803-9272|서울 금천구 시흥동 493-2|
호암 체육관||803-0720|서울 금천구 시흥3동 270-4|
호키신승 체육관||802-8288|서울 금천구 시흥동 794-11 3층 301호|
화랑 체육관||805-6464|서울 금천구 시흥동 954-30 2층|
당현제2 체육관||952-6400|서울 노원구 상계6동 767-6|
경희대상경 체육관||939-3222|서울 노원구 상계8동 주공15단지 꿈동산 유치원내|
경희대중앙 체육관||02-931-7026|서울특별시 노원구 동일로239나길 19  3층|
공릉 체육관||974-2403|서울 노원구 공릉동 743 한보상가 3층|
공릉평화 체육관||02-978~7126|서울 노원구 공릉동 1.3 708번지 공릉종합사회복지관 3층|
금메달 체육관||935-0995|서울 노원구 동일로 1619 스타빌딩 202호(상계동)|
금메달2관 체육관||02-939-3669|서울 노원구 상계1동 1265 벽운아파트상가동 2층|
금빛 체육관||952-9966|서울특별시 노원구 노원로 522 상가2층(상계동)|
노원 체육관||971-7339|서울 노원구 하계동 131 벽산아파트상가 410|
노원경희 체육관||02-935-5003|서울 노원구 상계동 728-7 올림피아상가|
대한 체육관||995-2177|서울 노원구 월계동 907번지|
용인대 미르 체육관||997-7369|서울 노원구 월계동 주공2단지 유치원 상가|
동부상하 체육관||937-3254|서울특별시 노원구 상계1동 1113-58(지층)|
무궁화 체육관||029395869|서울특별시 노원구 중계동 426-27|
미래 체육관||971-4332|서울 노원구 공릉1동 567-5|
백두산 체육관||9491717|서울 노원구 공릉1동 366-2|
삼호 체육관||978-5952|서울 노원구 월계동 12번지|
선 체육관||934-3811|서울 노원구 상계동 692-2|
수락경희대 체육관||6223-1400|서울 노원구 상계1동 1258 오피앙 210|
연세월드 체육관||938-7111|서울 노원구 상계3동 1289 불암대림상가 204호|
용문 체육관||930-8002|서울특별시 노원구 상계동 389-520|
용인대노원 체육관||915-7339|서울 노원구 월계1동 929 현대아파트상가 310호|
용인대상록 체육관||02-937-1359|서울 노원구 상계2동 581-6 동진상가 505호|
월계꿈나무 체육관||999-3102|서울 노원구 월계2동 청매아파트 1단지상가|
월드태권도아카데미||948-0915|서울 노원구 중계동 512 (2단지 무지개상가)|
유신 체육관||979-0443|서울특별시 노원구 월계3동 18 그랑빌A 주상가동 지층 102호|
은빛 체육관||9332620|서울 노원구 상계1동 1256 은빛아파트 2단지 상가3층|
이박사 체육관||977-1737|서울 노원구 월계동 13 (고층APT)|
청구경희 체육관||971-3424|서울 노원구 하계2동 354번지 학여울청구아파트상가2층|
태양 체육관||979-1939|서울 노원구 공릉동 323-21|
한국 체육관||9397535|서울 노원구 상계동 649-1 다래빌딩 402|
한국체대강북 체육관||948-0119|서울 노원구 공릉3동 726 풍림아파트상가 2층 123|
한국체대중평 체육관||979-7235|서울 노원구 중계동 505 롯데상가 303호|
현대 체육관||974-2527|서울 노원구 공릉2동 335-15|
화랑 체육관||974-9798|서울 노원구 중계동 시영1단지 유치원상가|
한양대 세심||938-3133|서울 노원구 상계3동 대림아파트상가 3층|
대우 체육관||998-2238|서울 도봉구 창2동 593-12|
방학 체육관||3491-7136|서울 도봉구 방학2동 668-32  (3층)|
백두장안 체육관||903-2806|서울 도봉구 도봉로109길 30 3층(쌍문동)|
쌍문경희 체육관||991-9921|서울 도봉구 쌍문4동 176 한양프라자5층|
창도 체육관||3494-5772|서울 도봉구 방학동 720-1 대상타운현대아파트 309호|
충효 체육관||3492-1535|서울 도봉구 방학2동 630-20|
탑 체육관||996-0045|서울 도봉구 쌍문동 723번지 신원프라자|
튼튼 체육관||990-5040|서울 도봉구 창4동 주공19단지 상가201호|
한성 체육관||34913911|서울 도봉구 방학동 313-3|
경희원도 체육관||02-2244-3663|서울 동대문구 장안3동 355-1|
답십리용인 체육관||2241-7442|서울특별시 동대문구 답십리2동 265-3 3층|
대림 체육관||964-8787|서울 동대문구 이문3동 대림아파트상가 3층|
동아 체육관||967-6291|서울 동대문구 제기2동 662|
명성 체육관||968-5554|서울 동대문구 이문2동 393-9|
비룡 체육관||02-2213-7883|서울 동대문구 전농4동 270-42|
오륜 체육관||2212-8488|서울 동대문구 답십리2동 80번지|
용광용인 체육관||2242-2917|서울 동대문구 답십리1동 263-1|
용두장안 체육관||923-0656|서울특별시 동대문구 약령시로 18 3층(제기동)|
우성거룡 체육관||2248-0425|서울 동대문구 전농3동 우성아파트상가 3층|
장안 체육관||2244-0139|서울 동대문구 장안동 331-13|
전농경희 체육관||2212-7843|서울 동대문구 전농1동 648-104  4층|
청량경희 체육관||964-6801|서울 동대문구 청량리동 한신아파트상가 122-503|
충호장안 체육관||2246-8314|서울 동대문구 장안2동 324-1 웰빙프라자4층 401호|
한양대 체육관||2216-6690|서울 동대문구 전농로23길 54 (전농동)|
호랑이 체육관||2212-4423|서울 동대문구 장안동 93-77|
화랑 체육관||2244-8996|서울 동대문구 휘경2동 286-334  2층|
회기한미 체육관||9617730|서울 동대문구 회기동 65-73|
TS태성아카데미||2249-5840|서울 동대문구 장안3동 336 현대호타운상가 312|
경문 체육관||02-596-5689|서울특별시 동작구 사당동 71-2 3층|
국무 체육관||6677-5933|서울 동작구 사당1동 321-114|
대산 체육관||812-0497|서울 동작구 대방동 17-20|
독수리 체육관||817-9567|서울 동작구 상도2동 201-73|
동광 체육관||025887227|서울 동작구 사당동 316-26|
무림 체육관||833-0170|서울 동작구 신대방1동 470-8|
사당풍진 체육관||536-7157|서울 동작구 사당3동 169-8|
상도 체육관||826-1570|서울 동작구 상도4동 208-8  4층|
성대 체육관||02-826-7809|서울 동작구 상도3동 299|
올림픽체육관||542-5960|전남 진도군 진도읍 성내리 31-1|
드래곤태권도장||5445258|전남 진도군 진도읍 쌍정리 15-11|
압해 무송체육관||061-271-5335|전라남도 신안군 압해읍 동서리 9-9|
전라남도태권도|||전태협 제103호 2012.06.08 / 전남협회 체육관에서 변경|
제3공병여단 111대대||0334604511||
제3공병여단 115대대||||
제3공병여단 125대대||033-460-4811||
제3공병여단 137대대||||
제3포병여단 93대대||||
제3포병여단 379대대||033-460-5110||
제3포병여단 759대대||0000000000||
제3포병여단 833대대||||
제3포병여단 877대대||033-460-5412||
제3포병여단 922대대||||
제3포병여단 333관측대대||||
삼산현대태권도||0522574200|울산광역시 남구 삼산동 1513-15번지|
늘푸른경희대태권도장||832-0934|인천 연수구 옥련동 336-11 새마을금고 3층|
글로벌태권도교육관||063-254-8881|전북 전주시 덕진구 동산동 643-3번지|
부천나래체육관||032-671-0034|경기 부천시 오정구 원종동  377-4|
동광태권도체육관||031-671-1102|경기 안성시 중리동 616-1 동광A 상가 3층 303호|
광주협회 체육관 2||0626823720||
동아대동주태권도||341-6778|부산광역시 사상구 주례3동 530-5번지 현대무지개상가2동 303호|
비룡||2633-2922|서울 영등포구 양평동3가 17-1 우림보보카운티 209호|
태비태권도장||742-6268|경상남도 진주시 진양호로 325 (신안동)|
고려태권도체육관||031-753-2123|경기 성남시 수정구 태평3동 3693-25번지 3층|
한체대태권도아카데미||417-8220|경기 안산시 상록구 사동 1410-3 2층|
애향태권도장||284-8677|전남 목포시 옥암동 1150 옥암주공단지내 상가 2층 201호|
대통령태권도장||283-3113|옥암동 959-5 2층|
대현태권아카데미체육관||02-566-0600|서울 강남구 대치동 974 현대상가 202호|
한국체대녹양현대태권도||031-876-3181|경기 의정부시 녹양동 154-42 3층|
송재호태권스쿨||749-0474|경기 성남시 중원구 은행2동 722-8|
고려체육관||2697-3756|서울 양천구 신월3동 161-13|
경희대 강남원 태권K 전문교육관||207-4556|인천 남구 문학동 346-17 3층|
현진키즈태권도||054-444-9799|경상북도 구미시 도봉로 76-47 2층|
형제3태권도||628-7070|부산광역시 남구 용호4동 481-8번지 동방파크상가 301호|
NEW코리아태권도아카데미||721-5655|경기도 성남시 중원구 제일로 37 201호(성남동)|
용인대석사대하체육관||757-7687|경기 성남시 중원구 하대원동 136번지 2층|
경희대 효 체육관||854-3211|서울 관악구 신림4동 503-9|
동아대현무태권도||055-314-7758|경남 김해시 장유면 삼문리 41-4|
라이온킹태권도||477-7888|대전 서구 갈마동 265-31번지 4층|
한양대태비태권도교육관||5885866|대구 달성군 다사읍 서재리 321-1번지 신성서진흥더블파크 301동 2층 201호|
계명대길태권도예절관||053-956-1020|대구 북구 대현동 316번지 3호 2층|
하나체육관||862-2262|인천 남구 도화1동 538-67|
영광태권도장 1관||748-6369|제주 제주시 노형동 1056-1|
한양대청강 체육관||042-535-9077|대전 서구 용문동 225-7|
연세대한양체육관||031-499-3268|경기도 시흥시 평안상가3길 16 3층(정왕동)|
단국대인성태권도||031-385-4069|경기 안양시 동안구 비산2동 420-17 3층|
미리내경희태권도||032-327-5688|경기 부천시 원미구 중동 1134-2 404호|
대하체육관||042-621-5689|대전 대덕구 대화동 37-7 세원상가 3층|
계명대무림태권도||053-472-0019|대구 남구 이천동 455-41번지 (수도산5길 106)|
세종태권도||822-3151|대전 유성구 장대동 354-9번지 3F|
새들뫼||042-285-4258|대전 동구 대동 164-1 대동크리닉 605|
코리아타이거태권도장||532-4239|전남 해남군 해남읍 해리 442-1|
경북대석사제일태권도장||054-858-7922|경북 안동시 안막동 64-39|
성도 체육관||813-6784|서을 동작구 흑석2동 6-5|
영수 체육관||025830858|서울 동작구 사당4동 266-7|
영아 체육관||5973000|서울 동작구 사당5동 213-9|
용인대문창 체육관||842-9090|서울 동작구 신대방동 618-14|
정진 체육관||02-824-6963|서울 동작구 상도3동 354-2|
용인대 화랑||823-7581|서울 동작구 대방동 501 (대림쇼핑 506)|
천마 체육관||825-6783|서울 동작구 노량진2동 292-7|
한국체대보라매 체육관||825-5614|서울 동작구 신대방2동 344-258|
고려 체육관||02-717-0170|서울 마포구 공덕1동 79-13 회순빌딩 4층|
동교 체육관||334-5450|서울 마포구 월드컵로25길 68 2층(망원동)|
중앙||7176565|서울 마포구 마포동 195-1|
마포키즈 체육관||712-7333|서울 마포구 도화동 376 현대2차아파트 상가2층|
무궁화 체육관||336-7740|서울 마포구 연남동 566-64 지층|
비룡총본관 체육관||335-7333|서울특별시 마포구 서강로 302|
성산 체육관||02-303-2671|서울 마포구 중동 64-25|
성서 체육관||3142-1740|서울 마포구 성산동 244-6|
엘리트화랑 체육관||704-3625|서울 마포구 공덕동 38번지 삼성레미안상가 401|
연세월드아카데미||326-0115|서울 마포구 망원1동 403-21|
용무 체육관||02-392-9000|서울 마포구 공덕동 182-13 2층|
용인대영수 체육관||027164585|서울 마포구 용강동 494-32|
용인대한미 체육관||707-1483|서울 마포구 신공덕동 758번지|
한얼 체육관||7120545|서울 마포구 도화동 82 우성상가 3층|
경동 체육관||3226067|서울 서대문구 연희2동 78-1 3층|
극동 체육관||312-9929|서울 서대문구 현저동 200 극동상가 503|
꿈나무 체육관||739-7727|서울 서대문구 홍제2동 한양아파트상가 304|
남일 체육관||373-4619|서울 서대문구 남가좌1동 154-2|
동삼 체육관||309-3725|서울 서대문구 남가좌2동 322-8|
문화 체육관||3950456/3943159|서울 서대문구 홍은2동 11-419(홍은중앙길 173)|
백련 체육관||3217-8731|서울 서대문구 홍은3동 190-42|
북아현 체육관||363-6881|서울 서대문구 북아현동 130-36|
비룡 체육관||732-7333|서울 서대문구 홍제4동 105-80(통일로 34길 28-6)|
비룡총본관 체육관||313-8333|서울 서대문구 북아현2동 1090 두산아파트상가 4층|
삼성 체육관||375-8333|서울 서대문구 남가좌2동 377 삼성아파트상가 307|
선 체육관||02-396-4617|서울 서대문구 홍제동 361-35 (지층)|
스타 체육관||3217-6150|서울 서대문구 홍은1동 벽산상가 404|
신촌 체육관||332-6427|서울 서대문구 창천동 57-3|
연세쌍룡 체육관||372-8389|서울 서대문구 증가로 199 2층(북가좌2동 286-18)|
인왕 체육관||391-1984|서울 서대문구 통일로 410 (홍제동) 3층|
향산 체육관||372-7139|서울 서대문구 남가좌2동 346-24 3층|
금강 체육관||02-537-0656|서울 서초구 동광로18길 13 (방배동, 타래빌딩) 2층|
대우 체육관||593-5426|서울 서초구 반포동 444-1 삼호가든상가|
삼성레포츠 체육관||02-585-1955|서울 서초구 서초1동 1645|
삼호 체육관||599-5802|서울 서초구 방배본동 769-2|
서래 체육관||592-0592|서울 서초구 방배본동 766-34|
경희대||536-0780|서울 서초구 서초4동 1684-1(서초쇼핑512)|
서초월드 체육관||3482-6183|서울 서초구 서초4동 삼호아파트상가 4층|
설악2 체육관||02-3477-2220|서울 서초구 잠원동 50-2|
세심 체육관||582-8573|서울 서초구 방배1동 911-1|
신반포 체육관||02-535-0010|서울 서초구 신반포로 100 (반포동) 3층|
쌍용 체육관||573-9856|서울 서초구 우면동 택지개발지구 4-13 세신상가 7층|
웅비 체육관||599-0841|서울 서초구 잠원동 112 (매일상가 303호)|
원도 체육관||02-584-0501|서울 서초구 방배3동 1023-1|
이수 체육관||582-0694|서울 서초구 방배동 437-15|
정립 체육관||025855811|서울 서초구 방배3동 537-27|
태양 체육관||583-2350|서울 서초구 방배2동 936-10|
서울대 엘리트 튼튼 아카데미체육관||01047034988|서울 서초구 서초동 491 신동아상가 508|
용인대체육관||579-8080|서울 서초구 양재동 361-11|
경우 체육관||2292-7685|서울 성동구 응봉동 200-1|
경희대 체육관||2299-9916|서울 성동구 행당동 317-40 대림상가 507|
광명 체육관||468-0178|서울 성동구 성수1가 2동 706번지 쌍용A상가 301호|
승리||2282-2502|서울 성동구 무수막길 80 4층(금호동2가)|
한국체대 옥정||02-2296-9069|서울 성동구 옥수동 362-3호|
벽산 체육관||2296-5896|서울 성동구 금호동1가 1080 벽산상가 707|
성일 체육관||2293-0250|서울 성동구 청계천로10나길 69 청구빌딩 401호(마장동)|
송정 체육관||462-4454|서울 성동구 송정동 90-7 건영아파트상가 세종프라자 202|
용인대금메달 체육관||02-2298-0113|서울 성동구 하왕십리2동 890-56|
키즈삼손 체육관||2297-4633|서울 성동구 행당2동 신동아아파트상가 201호|
경희대 체육관||6228-7674|서울 성북구 정릉1동 경남아파트상가 3층|
나래 체육관||919-3654|서울 성북구 길음동 1170|
대양 체육관||927-2475|서울 성북구 돈암1동 2-2 신우빌딩 2층 201호|
삼봉 체육관||942-3956|서울 성북구 정릉2동 196-176|
삼선 체육관||743-9158|서울 성북구 삼선동3가 90-21|
상명용인대 체육관||02-919-2426|서울특별시 성북구 솔샘로25길 20 정릉풍림아이원 상가1동 303호|
성실 체육관||029267363|서울특별시 성북구 안암동1가 361-1|
성암 체육관||742-2155|서울 성북구 성북동 161-11|
용문 체육관||922-8332|서울 성북구 안암동2가 82|
용인대 체육관||925-0020|서울 성북구 돈암동 609-1 한신상가 418동 304호|
용인대천지 체육관||917-4800|서울 성북구 하월곡동 59-2 영광플라자 301호|
참피온 체육관||923-1486|서울 성북구 보문동7가 62번지 201호|
태종 체육관||909-3797|서울 성북구 장위동 316-4 장월근린상가 209, 210호|
가동 체육관||02-404-6525|서울 송파구 가락2동 164|
가락극동 체육관||406-9866|서울 송파구 가락2동 155 칠성빌딩|
거원 체육관||404-1888|서울 송파구 거여아파트 5단지상가 303호|
경희 체육관||473-4696|서울 송파구 풍납동 177-23|
극동 체육관||02-475-9001|서울 송파구 풍납2동 508|
금호 체육관||409-1779|서울 송파구 가락본동 87-7 유일빌딩 3층|
단무 체육관||417-8532|서울 송파구 석촌동 212-4|
대한 체육관||422-1719|서울특별시 송파구 방이동 168-17|
마천 체육관||402-1248|서울 송파구 마천2동 77-2|
한빛 체육관||02-474-1665|서울 송파구 풍납동 506 동아한가람아파트 상가2층|
문정 체육관||403-4382|서울 송파구 문정동 31-1|
비호 체육관||449-4452|서울 송파구 마천1동 284-3|
삼전경희 체육관||4122214|서울 송파구 백제고분로28길 20 2층(삼전동)|
