##NAME|SUBNAME|ID|TELNUM|NEWADDR|WEBSITE@@코스닥기업
국영지앤엠||006050|02-2015-0300|서울시 서초구 서초중앙로 36 준영빌딩 7층|www.kukyounggnm.com
국일신동||060480|031-499-9192|경기도 안산시 단원구 번영2로 58|www.kukilmetal.com
국일제지||078130|031-339-9100|경기도 용인시 처인구 이동면 백옥대로 563|www.kukilpaper.co.kr
글로벌에스엠||900070|031-932-9770|Offshore Incorporations, Scotia Centre, 4thFloor, P.O. Box 2804, George Town, Grand Cayman|www.globalsmtech.com
글로벌텍스프리||204620|070-5020-3620|서울특별시 중구 퇴계로 131 9층(충무로2가, 신일빌딩)|www.global-taxfree.com
글로본||019660|02-6934-0800|서울특별시 강남구 도산대로 331|www.globon.co.kr
금강철강||053260|02-3471-0001|서울시 서초구 서운로 19, 701호 (서초동, 서초월드오피스텔)|www.kksteel.co.kr
금화피에스시||036190|02-2186-6220|서울시 강남구 테헤란로25길 15-4|www.geumhwa.co.kr
기가레인||049080|031-233-7325|경기도 화성시 동탄산단10길 61|www.gigalane.com
기산텔레콤||035460|02-3433-8200|서울특별시 송파구 오금로 111, 세기빌딩 11층 (방이동)|www.kisantel.co.kr
까스텔바쟉||308100|02-3498-0330|서울특별시 강남구 논현로 322|
나노||187790|054-533-5887|경상북도 상주시 청리면 마공공단로 60|
나노스||151910|031-340-1000|경기도 화성시 마도면 마도공단로2길 4|www.nanosm.com
나노신소재||121600|044-275-6966|세종시 부강면 금호안골길 78 부용지방산업단지내|www.anapro.com
나노엔텍||039860|02-6220-7728|서울특별시 구로구 디지털로26길 5, 에이스하이엔드타워1차 12층 (구로동)|www.nanoentek.com
나노캠텍||091970|031-671-9466|경기도 용인시 처인구 남사면 완장천로 42-34|www.nanosbiz.com
나라엠앤디||051490|055-239-3600|경남 창원시 성산구 공단로 675|www.naramnd.com
나무가||190510|031-776-0120|경기도 성남시 중원구 사기막골로 124, 709호(상대원동, SKn테크노파크)|www.namuga.co.kr
나무기술||242040|031-8060-0200|경기도 성남시 분당구 판교로 255 5층(삼평동, 이노밸리F동)|www.namutech.co.kr
나스미디어||089600|02-2188-7300|서울특별시 강남구 도곡로1길 14 삼일프라자오피스텔 4,5F|www.nasmedia.co.kr
나우아이비캐피탈||293580|02-565-6234|서울특별시 강남구 삼성로 511 골든타워 11층|www.nauib.com
나이벡||138610|043-532-7458|충북 진천군 이월면 밤디길 116 이월전기전자농공1단지|www.nibec.co.kr
나이스디앤비||130580|02-2122-2500|서울시 마포구 마포대로 217|www.nicednb.com
나이스정보통신||036800|02-2187-2700|서울특별시 영등포구 은행로 17 NICE 그룹1사옥|www.nicevan.co.kr
남화산업||111710|061-450-9000|전라남도 무안군 청계면 서호로 162|www.muangc.co.kr
남화토건||091590|061-374-4409|전남 화순군 화순읍 벽라1길 40|www.namhwaconst.co.kr
내츄럴엔도텍||168330|070-4601-3139|경기도 성남시 분당구 판교로 255 번길 58, 에이동 301호|www.naturalendo.co.kr
네오디안테크놀로지||072770|02-533-4550|서울특별시 서초구 방배로 205 대명빌딩신관 4층|www.neodian.co.kr
네오셈||253590|031-8091-8800|경기도 안양시 동안구 시민대로327번길 12-26 주식회사 네오셈|neosem.com
네오오토||212560|02-732-2871|서울특별시 종로구 새문안로5길 19 6층(당주동, 로얄빌딩)|www.neooto.kr
네오위즈||095660|031-8023-6600|경기도 성남시 분당구 성남대로2번길 12, 네오위즈타워 (구미동)|www.neowizgames.com
네오위즈홀딩스||042420|031-8023-6600|경기도 성남시 분당구 성남대로2번길 12, 네오위즈타워 (구미동)|www.neowiz.com
네오티스||085910|031-671-0170|경기도 안성시 죽산면 용대길 38-9, 두교산업단지|www.neotis.co.kr
네오팜||092730|042-864-0038|대전광역시 유성구 테크노2로 309-8 (탑립동)|www.neopharm.co.kr
네오펙트||290660|031-889-8521|경기도 용인시 수지구 죽전로 152, 서관 401호|www.neofect.com
네이블||153460|070-7780-9835|서울특별시 강남구 학동로 401 8층(청담동, 금하빌딩)|www.nablecomm.com
네이처셀||007390|02-3472-1681|서울특별시 영등포구 국회대로76길 10 5층|www.naturecell.co.kr
네패스||033640|02-3470-2700|충청북도 음성군 삼성면 금일로965번길 105|www.nepes.co.kr
네패스신소재||087730|063-833-2020|전라북도 익산시 석암로 99 (팔봉동)|www.nepesamc.co.kr
넥스턴||089140|031-288-2021|경기도 용인시 기흥구 기흥단지로 121번길 35|www.nexturn.co.kr
넥스트아이||137940|031-389-2299|경기도 안양시 동안구 흥안대로 415, 두산벤처다임 512호 (평촌동)|www.nexteye.com
넥스트BT||065170|043-878-8851|충청북도 음성군 삼성면 대양로 193-12|www.nextbt.co.kr
넥슨지티||041140|031-779-2500|경기도 성남시 판교로 256번길 25|www.nexon-gt.com
넵튠||217270|031-698-3498|경기도 성남시 분당구 성남대로331번길 8 13층(정자동, 킨스타워)|www.neptunegames.co.kr
넷게임즈||225570|02-6421-7767|서울특별시 강남구 남부순환로 2621 5층~7층(도곡동, 서브원강남빌딩)|www.natgames.co.kr
노랑풍선||104620|02-2022-7200|서울특별시 중구 수표로 31 (저동2가, 노랑풍선빌딩)|www.ybtour.co.kr
노바렉스||194700|02-587-0019|충청북도 청주시 청원구 오창읍 각리1길 94|www.novarex.co.kr
노바텍||285490|031-627-5290|경기도 용인시 기흥구 흥덕중앙로 120, 511호, 1101호,1111호,1112호,1113호(영덕동, 유타워)|www.NOVATEK.co.kr
녹십자랩셀||144510|031-260-9300|경기도 용인시 기흥구 이현로30번길 107 (보정동) 목암빌딩 4층|www.gclabcell.com
녹십자셀||031390|02-2101-0600|경기도 용인시 기흥구 이현로30번길 107 GC녹십자셀센터|www.greencrosscell.com
녹십자엠에스||142280|031-260-9300|경기도 용인시 기흥구 이현로30번길 107|
녹원씨엔아이||065560|02-2025-6500|경기도 파주시 신촌2로 7-12|www.nokwoncni.co.kr
농우바이오||054050|031-218-1116|경기도 수원시 영통구 센트럴타운로 114-8(이의동) 농우바이오|www.nongwoobio.co.kr
누리텔레콤||040160|02-781-0700|서울시 서초구 사평대로16 누리빌딩|www.nuritelecom.co.kr
누리플랜||069140|031-997-9097|경기도 김포시 대곶면 대곶로202번길 191|www.nuriplan.com
뉴로스||126870|042-865-7300|대전시 유성구 테크노2로 274|www.neuros.co.kr
뉴보텍||060260|033-734-6001|강원도 원주시 태장공단길 42-6|www.nuvotec.co.kr
뉴인텍||012340|041-541-8100|충남 아산시 음봉면 음봉면로 243|www.nuin.co.kr
뉴지랩||214870|032-683-7903|경기도 부천시 오정구 신흥로362번길 23 (내동)|www.hdprocctv.com
뉴트리||270870|031-776-3494|경기도 성남시 중원구 사기막골로 124 테크동 1109호 (상대원동, SKn테크노파크)|www.inewtree.com
뉴파워프라즈마||144960|031-612-7600|경기도 수원시 영통구 신원로 176 (신동)|www.newpower.co.kr
뉴프라이드||900100|1-310-631-7000|1511 E. Orangethorpe Avenue, Suite D , Fullerton, CA 92831|www.newpridecorporation.com
뉴프렉스||085670|031-494-9325|경기도 안산시 단원구 만해로 181, 반월공단 603블럭 4로트 (신길동)|www.newflex.co.kr
다나와||119860|02-1688-2450|서울시 양천구 목동동로 233-1,  드림타워 501호|www.danawa.com
다날||064260|031-697-1004|경기도 성남시 분당구 분당로 55, 9층(서현동, 분당퍼스트타워)|www.danal.co.kr
다믈멀티미디어||093640|031-380-6950|서울특별시 서초구 서초대로 67 성령빌딩 (방배동 8699,11) 2층|www.tamulm.com
다산||015150|031-488-3581|경기도 안산시 단원구 번영2로 72 (성곡동)|www.globaldasan.com
다산네트웍스||039560|070-7010-1000|경기도 성남시 분당구 대왕판교로644번길 49 다산타워 10층|www.dasannetworks.com
다우데이타||032190|02-3410-5100|서울특별시 마포구 독막로 311 염리동, 재화스퀘어 5층, 11층|www.daoudata.co.kr
다원시스||068240|031-8085-3012|경기도 안산시 단원구 시화호수로 485(성곡동) (주) 다원시스|www.dawonsys.com
대동금속||020400|053-610-5000|대구시 달성군 논공읍 논공로 602|www.daedongmetals.co.kr
대동기어||008830|055-851-2300|경남 사천시 사남면 공단1로 42|www.daedonggear.com
대동스틸||048470|032-817-4448|인천광역시 남동구 앵고개로622번길 29 남동공단 165B1L 고잔동|www.daedongsteel.co.kr
대륙제관||004780|02-6003-0600|서울특별시 강남구 역삼로 221 (역삼동)|www.drcc.co.kr
대림제지||017650|031-373-7670|경기도 오산시 황새로 169 (누읍동)|www.daelimpaper.co.kr
대명코퍼레이션||007720|02-2222-7574|강원도 홍천군 서면 한치골길 262|www.daemyungcorporation.com
대모엔지니어링||317850|031-488-6011|경기도 시흥시 군자천로 15 시화공단 2바 515호(정왕동)|www.demoengg.com
대백저축은행||026970|053-423-3301|대구광역시 수성구 달구벌대로 2382-1 (범어동)|www.debecbank.co.kr
대보마그네틱||290670|032-354-3960|경기도 화성시 팔탄면 현대기아로 25-13|www.daebo.com
대봉엘에스||078140|032-712-8800|인천시 남동구 능허대로 649번길 123 (고잔동)|www.daebongls.co.kr
대성미생물||036480|031-461-7103|경기도 의왕시 덕영대로 103|www.dsmbio.com
대성엘텍||025440|02-2102-3000|서울특별시 금천구 벚꽃로 278 (가산동)|www.dseltec.co.kr
대성창투||027830|02-559-2900|서울특별시 강남구 역삼로 165 해성빌딩 4층|www.daesungpe.com
대성파인텍||104040|055-289-4885|경상남도 창원시 성산구 남면로 627 (외동)|www.dsfinetec.com
대신밸런스제4호스팩||262830|02-769-3921|서울특별시 중구 삼일대로 343|
대신밸런스제5호스팩||303030|02-769-3921|서울특별시 중구 삼일대로 343 (저동1가, 대신파이낸스센터(DaishinFinanceCenter))|
대신밸런스제6호스팩||307750|02-769-3921|서울특별시 중구 삼일대로 343|
대신정보통신||020180|02-2107-5000|광주광역시 서구 상무중앙로 110 (치평동, 우체국보험광주회관)|www.dsic.co.kr
대아티아이||045390|032-680-0800|경기도 부천시 오정구 수도로 139, 대아빌딩 (내동)|www.daeati.co.kr
대양전기공업||108380|051-200-5331|부산시 사하구 장평로 245|www.daeyang.co.kr
대양제지||006580|031-491-1641|경기도 안산시 단원구 신원로 50 (신길동)|www.dygroup.co.kr
대원||007680|043-264-1115|충청북도 청주시 흥덕구 직지대로435번길 15(송정동)|www.daewon.co.kr
대원미디어||048910|02-6373-3000|서울특별시 용산구 한강대로23길 55 6층 11호(한강로3가,현대아이파크몰 테마파크)|www.daewonmedia.com
대원산업||005710|031-495-2301|경기도 안산시 단원구 원시로 179|www.dwsu.co.kr
대유||290380|02-556-6293|서울특별시 강남구 학동로77길 26 (청담동, 대유빌딩)|www.dae-yu.co.kr
대유에이피||290120|063-210-3900|전라북도 완주군 봉동읍 완주산단8로 66|www.dayouap.co.kr
대유위니아||071460|041-530-6114|광주광역시 광산구 하남산단9번로 110|www.dayou-winia.com
대정화금||120240|031-488-8822|경기도 시흥시 서해안로 186, 시화공단1다 107호 (정왕동)|www.daejung.kr
대주산업||003310|02-2201-8108|서울특별시 광진구 구의강변로 44, 남전빌딩 (구의동)|www.daejooind.com
대주전자재료||078600|031-498-2901|경기도 시흥시 서해안로 148 (정왕동)|www.daejoo.co.kr
대주코레스||008340|031-494-3201|전라북도 완주군 봉동읍 완주산단6로 266|www.kores21.co.kr
대창솔루션||096350|051-264-0832|부산광역시 강서구 화전산단1로 155 화전동|www.dsol.co.kr
대창스틸||140520|032-816-7700|인천광역시 남동구 아암대로 1213|www.dcsteel.com
대한과학||131220|033-737-7500|강원도 원주시 지정면 신평석화로 326|www.daihan-sci.com
대한광통신||010170|031-494-1011|경기도 안산시 단원구 장자골로 49 (성곡동)|www.tfo.co.kr
대한뉴팜||054670|031-353-6141~5|경기도 화성시 향남읍 제약공단1길 66|www.dhnp.co.kr
대한약품||023910|02-2678-8443|서울시 영등포구 선유로 45길 3|www.daihan.com
대호피앤씨||021040|055-388-4001|경남 양산시 산막공단북4길 13|www.daehopnc.co.kr
대화제약||067080|033-342-5140|강원도 횡성군 횡성읍 한우로 495|www.dhpharm.co.kr
더블유에프엠||035290|02-565-4874|서울시 금천구 가산디지털1로 131 BYC하이시티빌딩 B동 15|www.wfminc.co.kr
덕산네오룩스||213420|041-590-5400|충청남도 천안시 서북구 입장면 쑥골길 21-32|www.dsneolux.co.kr
덕산하이메탈||077360|052-283-9000|울산시 북구 무룡1로 66|www.dshm.co.kr
덕신하우징||090410|041-556-2600|충청남도 천안시 동남구 수신면 수신로 485-34|www.duckshin.com
덕우전자||263600|054-474-9661|경상북도 구미시 산동면 첨단기업7로 98-23|www.derkwoo.com
데브시스터즈||194480|02-2148-0657|서울특별시 강남구 도산대로 327 데브시스터즈(주)|www.devsisters.com
데이타솔루션||263800|02-3404-5656|서울특별시 강남구 언주로 620, 10층|www.datasolution.kr
데일리블록체인||139050|031-470-4803|경기도 안양시 만안구 예술공원로 153-32 3층(석수동 8251 3층)|www.dayliblockchain.com
데코앤이||017680|02-2145-1300|서울특별시 송파구 위례성대로22길 27|www.deco.co.kr
덱스터||206560|031-8076-4830|서울특별시 마포구 매봉산로 75 1801호, 1901호(상암동,디디엠씨)|www.dexterstudios.com
도이치모터스||067990|02-1577-3456|서울특별시 성동구 동일로 111 (성수동 2가)|www.deutschmotors.com
동구바이오제약||006620|02-2684-5421|서울특별시 송파구 법원로 114, B동 14층|www.dongkoo.com
동국산업||005160|02-316-7500|서울시 중구 다동길 46 동국산업(주)|www.dkis.co.kr
동국알앤에스||075970|055-323-6589|경남 김해시 상동면 상동로 375번길 26-29|www.dkrns.co.kr
동국제약||086450|02-2191-9800|서울시 강남구 테헤란로 108길 7|www.dkpharm.co.kr
동국S&C||100130|054-285-4500|경북 포항시 남구 대송로 62(장흥동)|www.dongkuksnc.co.kr
동방선기||099410|055-545-0882|경남 창원시 진해구 명제로 73 (죽곡동)|www.dongbangsm.co.kr
동부스팩5호||281740|02-369-3062|서울특별시 영등포구 국제금융로8길 32|
동성화인텍||033500|02-6190-8500|부산광역시 사하구 신산로 99|www.dsfinetec.co.kr
동신건설||025950|054-858-7811|경북 안동시 서동문로 217|www.dongsin.biz
동아엘텍||088130|031-345-1500|경기도 안양시 동안구 시민대로327번길 12-24 (주)동아엘텍 빌딩|www.dongaeltek.co.kr
동아화성||041930|055-313-1800|경남 김해시 유하로 154-9|www.dacm.com
동양에스텍||060380|042-221-6900|대전광역시 중구 중앙로164번길 20 (은행동)|www.dystec.co.kr
동양이엔피||079960|031-236-1511|경기도 평택시 진위면 진위산단로 76, 진위산업단지|www.dyenp.com
동양텔레콤||007150|031-288-3406|경기도 용인시 기흥구 구성로 262-14|www.dyt.co.kr
동양파일||228340|02-3770-3157|충청남도 아산시 염치읍 아산온천로 16-127|www.tongyangphc.com
동양피엔에프||104460|02-2106-8000|서울특별시 금천구 가산디지털1로 88, 아이티프리미어타워 17층,18층 (가산동)|www.dypnf.com
동우팜투테이블||088910|063-450-2000|전북 군산시 서수면 동군산로 1095|www.e-dongwoo.com
동운아나텍||094170|02-3465-8765|서울특별시 서초구 남부순환로 2351, 아리랑타워 9층|www.dwanatech.com
동원개발||013120|051-645-3113|부산광역시 수영구 수영로 754 동원빌딩 (민락동,센텀비스타동원)|www.dongwonapt.co.kr
동일금속||109860|054-333-5501|경북 영천시 금호읍 금호로 6|www.dongilmetal.co.kr
동일기연||032960|031-356-7114|경기도 화성시 남양로930번길 28 (북양동)|www.dongiltech.co.kr
동일철강||023790|051-316-5341|부산광역시 사상구 가야대로 46 (학장동)|www.dongilsteel.com
동진쎄미켐||005290|032-578-5091|인천광역시 서구 백범로 644 (가좌동)|www.dongjin.com
동화기업||025900|02-2122-0589|인천시 서구 가정로97번길 28|www.dongwha.co.kr
두올산업||078590|055-352-4860|경상남도 밀양시 산내면 산내로 670-21|www.idual.co.kr
두원중공업||013900|02-510-7500|경상남도 사천시 축동면 구해창길 20-7|www.doowonhi.com
듀오백||073190|032-816-4814|인천광역시 서구 가재울로32번길 27 (가좌동)|www.duoback.co.kr
드래곤플라이||030350|02-2017-7800|서울특별시 서초구 서초중앙로22길 80 (서초동)|www.dragonflygame.com
드림라인||035430|02-6007-6036|서울특별시 송파구 중대로 135 아이티벤처타워 9층|www.dreamline.co.kr
드림시큐리티||203650|02-2233-5523|서울특별시 송파구 중대로8길 8 3층, 5층, 6층, 7층 (문정동, 서경빌딩)|www.dreamsecurity.com
드림어스컴퍼니||060570|02-3019-1700|서울시 서초구 방배로 18길 5 (방배동, 아이리버하우스)|www.iriver.co.kr
디딤||217620|032-819-6870|인천광역시 남동구 논현로46번길 39-24|www.didimglobal.com
디바이스이엔지||187870|041-629-5200|충청남도 아산시 음봉면 음봉로 169|www.deviceeng.co.kr
디스플레이텍||066670|031-776-7502|경기도 안성시 공단1로 10 (신건지동)|www.displaytech.co.kr
디아이티||110990|031-831-7000|경기도 화성시 정남면 가장로 355-50|www.okdit.co.kr
디알젬||263690|02-869-8566|경기도 광명시 하안로 60 광명테크노파크 E동 7층|www.drgem.co.kr
디알텍||214680|031-779-7400|경기도 성남시 중원구 둔촌대로541번길 29 상대원동 3층|www.drtech.co.kr
디앤씨미디어||263720|02-333-2513|서울특별시 구로구 디지털로26길 111, 503호(구로동, 제이앤케이디지털타워)|www.dncmedia.co.kr
디에스케이||109740|031-416-9100|경기도 안산시 상록구 안산테콤1길 21(사사동)|www.dsk.co.kr
디에스티||033430|031-997-6181|경상남도 창원시 마산회원구 봉암공단9길 26 3층|www.korid.co.kr
디에이치피코리아||131030|043-239-3303|충북 청원군 오송읍 오송생명6로 50|www.dhpkorea.co.kr
디에이테크놀로지||196490|031-369-8800|경기도 화성시 비봉면 쌍학길 15 (쌍학리 250-2)|www.dat21.co.kr
디에이피||066900|031-677-0005|경기도 안성시 미양면 안성맞춤대로 474-22|www.dap.co.kr
디엔에이링크||127120|02-3153-1500|서울특별시 서대문구 이화여대길 52 이화여자대학교 산학협력관2층 디엔에이링크|www.dnalink.com
디엔에프||092070|042-932-7939|대전시 대덕구 대화로 132번길 142|www.dnfsolution.com
디엠티||134580|031-420-7500|서울특별시 강남구 언주로 726 14층(논현동, 두산빌딩)|www.dmt.kr
디오||039840|051-745-7777|부산시 해운대구 센텀서로 66|www.dio.co.kr
디오스텍||196450|031-705-6234|경기도 용인시 처인구 남사면 당하로 113-12|www.itellus.co.kr
디이엔티||079810|041-529-3456|충남 천안시 동남구 수신면 장산동길 32|www.i-det.com
디자인||227100|02-868-0246|서울특별시 양천구 국회대로 162|kokiripower.com
디젠스||113810|041-906-2100|경기도 시흥시 공단1대로27번길 38 (정왕동)|www.dgenx.com
디지아이||043360|031-820-8900|경기도 양주시 청담로 52 (주)디지아이|www.dgi-net.com
디지캡||197140|02-3477-2101|서울특별시 강서구 마곡중앙8로7길 11 D&C CAMPUS|www.digicaps.com
디지탈옵틱||106520|031-777-9361|경기도 화성시 동탄면 동탄산단2길 47 4층|www.digitaloptics.co.kr
디지털대성||068930|02-2104-8600|서울특별시 서초구 방배로 181, 단우빌딩 6층~8층 (방배동)|www.digitaldaesung.com
디지틀조선||033130|02-3701-2114|서울특별시 중구 세종대로21길 52 (태평로1가)|www.chosun.com, pr.dizzo.com
디케이디앤아이||033310|02-2636-2431|서울특별시 영등포구 여의대로 14, KT빌딩 16층 (여의도동)|www.dkdni.co.kr
디케이락||105740|055-338-0114|경남 김해시 주촌면 골든루트로 129번길 7|www.dklok.com
디케이앤디||263020|031-491-6633|경기도 안산시 단원구 별망로 345|dknd.co.kr
디케이티||290550|070-4324-3293|인천광역시 부평구 안남로418번길 10 5층|www.dkttech.co.kr
디티앤씨||187220|031-321-2664|경기도 용인시 처인구 유림로154번길 42|www.dtnc.co.kr
딜리||131180|031-860-5500|경기도 동두천시 강변로 702번길 30|www.dilli.co.kr
라온시큐어||042510|02-561-4545|서울특별시 강남구 테헤란로 145 역삼동, 우신빌딩 11, 12, 13층|www.raonsecure.com
라이브플렉스||050120|02-3446-4875|서울특별시 강남구 언주로 702 8층 (논현동)|www.liveplex.co.kr
라이온켐텍||171120|042-930-3300|대전광역시 대덕구 대덕대로1277번길 36 (문평동)|www.lctkorea.com
라이트론||069540|042-930-7700|대전시 대덕구 문평동로 68|www.lightron.co.kr
램테크놀러지||171010|031-323-1119|경기도 용인시 처인구 양지면 주북로 285|www.ramtech.co.kr
랩지노믹스||084650|031-628-0702|경기도 성남시 분당구 대왕판교로 700 (삼평동)|www.labgenomics.co.kr
러셀||217500|043-532-8818|충청북도 진천군 문백면 문진로 320-80|www.erussell.co.kr
럭슬||033600|031-660-9900|경기도 평택시 산단로 255 (칠괴동)|www.ezentech.co.kr
레고켐바이오||141080|042-861-0688|대전시 대덕구 문평서로 8-26|www.legochembio.com
레드로버||060300|031-601-7900|서울특별시 강남구 학동로23길 55 코데즈빌딩|www.redrover.co.kr
레드캡투어||038390|02-2001-4563|서울특별시 중구 을지로 100 파인에비뉴 B동 19층|ir.redcaptour.com
레이언스||228850|031-8015-6420|경기도 화성시 삼성1로1길 14 (석우동)|www.rayence.com
로고스바이오||238120|031-478-4185|경기도 안양시 동안구 시민대로327번길 28 (관양동) 2층,3층|www.logosbio.com
로보로보||215100|02-909-5050|서울특별시 강북구 도봉로54길 6 로보로보빌딩(미아동)|www.roborobo.co.kr
로보스타||090360|031-400-3600|경기도 안산시 상록구 수인로 700 (사사동119-38)|www.robostar.co.kr
로보티즈||108490|070-8671-2600|서울특별시 강서구 마곡중앙5로1길 37|www.robotis.com
로스웰||900260|86-514-876387|Unit 402, 4th Floor, Fairmont House, No.8 Cotton Tree Drive, Admiralty, Hongkong|www.rothwell.com.cn
로지시스||067730|02-2125-6300|서울특별시 마포구 독막로 281 (대흥동, 한국컴퓨터빌딩)|www.logisys.co.kr
로체시스템즈||071280|031-335-9100|경기도 용인시 처인구 경안천로 364|www.rorze.co.kr
루멘스||038060|031-8033-1200|경기도 용인시 기흥구 원고매로 12 (고매동)|www.lumensleds.com
루미마이크로||082800|031-210-1913|경기도 용인시 처인구 남사면 봉무로 309|www.lumimicro.com
루트로닉||085370|070-4714-6013|경기도 고양시 덕양구 소원로 219 루트로닉센터|www.lutronic.com
루트원플러스||046400|031-697-3500|경기도 성남시 분당구 판교로 744 (야탑동, 분당테크노파크)c동 401호|www.dvs.co.kr
룽투코리아||060240|02-2640-3557|서울특별시 금천구 디지털로9길 68 대륭포스트타워 5차, 9층|www.longtukorea.com
리노공업||058470|051-831-3232|부산시 강서구 미음산단로 105번길 10|www.leeno.co.kr
리노스||039980|02-3489-6800|서울특별시 서초구 효령로 317 (서초동)|www.leenos.co.kr
리더스코스메틱||016100|031-499-8541|서울특별시 광진구 능동로 90 더클래식 500 씨 404호|www.leaderscosmetics.com
리드||197210|031-324-0200|경기도 화성시 향남읍 구문천리 930-8|www.leed1.com
리드코프||012700|02-2126-5000|서울특별시 영등포구 은행로 25, 안원빌딩 6층 (여의도동)|www.leadcorp.co.kr
리켐||131100|042-825-8630|충청남도 금산군 추부면 금산로 2423-16 리켐(주)|www.leechem.net
리퓨어유니맥스||215090|070-7844-9315|경기도 안양시 동안구 학의로 268 410호 (관양동)|www.hancomunimax.co.kr
린드먼아시아||277070|070-7019-4006|서울특별시 강남구 테헤란로 234, 4층(역삼동, 삼익빌딩)|www.laic.kr
링네트||042500|02-6675-1500|서울특별시 구로구 디지털로33길 27 409호 (구로동, 삼성IT밸리 4층)|www.ringnet.co.kr
링크제니시스||219420|031-422-3581|경기도 안양시 동안구 시민대로 401, 319호 (관양동, 대륭테크노타운15차)|www.linkgenesis.co.kr
마이크로디지탈||305090|031-701-2225|경기도 성남시 분당구 판교로228번길 15 제윈스동 701호|www.md-best.com
마이크로컨텍솔||098120|041-621-4331|충청남도 천안시 서북구 성거읍 오송2길 15-21|www.mcsgroup.co.kr
마이크로텍||227950|031-651-6004|경기도 안성시 원곡면 원당로 157|www.e-micro.co.kr
마이크로프랜드||147760|02-944-6400|서울특별시 노원구 공릉로 232, 10층(공릉동, 서울테크노파크)|www.microfriend.co.kr
마크로젠||038290|02-2113-7000|서울특별시 금천구 벚꽃로 254, 월드메르디앙벤처센터 10층 (가산동)|www.macrogen.com
매일유업||267980|02-2117-2113|서울특별시 종로구 종로1길 50|www.maeil.com
매일홀딩스||005990|02-2127-2113|서울시 종로구 율곡로 88|www.maeil.com
매직마이크로||127160|070-8680-3792|경기도 안산시 단원구 신원로133번길 15 .|www.magicmicro.co.kr
매커스||093520|02-3490-9500|서울시 강남구 봉은사로 44길 73 (역삼동 691-26)|www.makus.co.kr
맥스로텍||141070|053-584-6540|대구광역시 달서구 성서로71길 40|www.maxrotec.com
머큐리||100590|032-580-3090|인천광역시 서구 가재울로 90|www.mercury.co.kr
멀티캠퍼스||067280|02-6262-9114|서울특별시 강남구 언주로 508 서울상록회관 17층|www.multicampus.com
