##NAME|SUBNAME|TYPE|ID|TELNUM|NEWADDR|KATECX|KATECY@@농협생명
강서농협|발산지점|농축협|100093|02-3664-4611|서울특별시 강서구 강서로 300|297403|550672
한국양봉농협|혜화역지점|농축협|172941|02-3674-5600|서울특별시 종로구 창경궁로 251|311834|554004
서서울농협|상암지점|농축협|100123|02-375-2762|서울특별시 마포구 월드컵북로 356, 2층|302570|553343
서서울농협|수색지점|농축협|100127|02-376-0315|서울특별시 은평구 은평터널로 15-1|302741|554048
서울축산농협|북가좌지점|농축협|170189|02-376-1301|서울특별시 서대문구 증가로25길 33|304149|553736
농협생명|고객센터|농협생명|904463|02-3786-7443|서울특별시 서대문구 통일로 87(미근동) NH농협생명빌딩 동관 3층|309068|551674
농협생명|수도권여신센터|농협생명|904493|02-3786-8516|서울특별시 서대문구 통일로 87(미근동) NH농협생명빌딩 동관 3층|309068|551674
고양축산농협|삼송지점|농축협|171816|02-381-6104|경기도 고양시 덕양구 삼송로205번길 6|302845|561890
신도농협||농축협|217068|02-381-7761|경기도 고양시 덕양구 삼송로 184|302632|561774
신도농협|세솔지점|농축협|217070|02-381-8705|경기도 고양시 덕양구 동세로 88 ok세솔프라자 2층|301696|561465
신도농협|지축지점|농축협|217063|02-381-9754|경기도 고양시 덕양구 백운길 22|306204|561648
신도농협|동산마을지점|농축협|217071|02-381-9884|경기도 고양시 덕양구 동세로 7 NH창릉프라자2층|301965|560723
서서울농협|연서지점|농축협|100124|02-383-3045|서울특별시 은평구 연서로 291|305415|558264
서서울농협|갈현지점|농축협|100125|02-383-4471|서울특별시 은평구 서오릉로 168|304400|557277
서서울농협|신사지점|농축협|100121|02-388-8921|서울특별시 은평구 갈현로 34|304006|555977
서서울농협|홍은지점|농축협|100122|02-394-0133|서울특별시 서대문구 연희로 271|306218|553786
송파농협|거마지점|농축협|904543|02-401-1011|서울특별시 송파구 마천로 275|324809|544284
송파농협||농축협|100023|02-409-2201|서울특별시 송파구 송파대로 155 2층|322605|542798
송파농협|삼전동지점|농축협|100027|02-415-2410|서울특별시 송파구 삼학사로 93|320342|545225
서울축산농협|석촌지점|농축협|170095|02-420-6671|서울특별시 송파구 가락로 84|321124|544632
송파농협|방이역지점|농축협|100148|02-421-6677|서울특별시 송파구 마천로 37|322844|545597
송파농협|올림픽지점|농축협|100146|02-422-3663|서울특별시 송파구 올림픽로 366|321579|546410
송파농협|가락지점|농축협|100025|02-422-6110|서울특별시 송파구 송파대로 363|321611|544613
송파농협|방이동지점|농축협|100026|02-422-9245|서울특별시 송파구 백제고분로48길 37|322147|545744
중앙농협|동잠실지점|농축협|100162|02-423-3071|서울특별시 송파구 석촌호수로 110|319662|545443
송파농협|호수지점|농축협|100145|02-423-7070|서울특별시 송파구 오금로 126|321411|545844
중앙농협|신천지점|농축협|100061|02-424-3361|서울특별시 송파구 올림픽로12길 16|319124|545731
송파농협|송파동지점|농축협|100020|02-425-0741|서울특별시 송파구 가락로 151|321711|544914
강동농협|선사지점|농축협|100044|02-426-4100|서울특별시 강동구 올림픽로 802|323211|550396
서울축산농협|상일동지점|농축협|170015|02-428-3191|서울특별시 강동구 상일로 33|327097|550099
광주지구축산농협|고덕지점|농축협|171434|02-428-8091|서울특별시 강동구 고덕로83길 14|326767|550946
서부농협|초이지점|농축협|221104|02-429-2545|경기도 하남시 초이로 162|327026|549532
송파농협|문정동지점|농축협|100028|02-430-0051|서울특별시 송파구 새말로17길 17|323268|543084
남양주축산농협|신내동지점|농축협|172065|02-432-3062|서울특별시 중랑구 봉화산로56길 153|320450|555886
동서울농협|면목지점|농축협|100050|02-433-2801|서울특별시 중랑구 겸재로 229|320083|554563
동서울농협|망우지점|농축협|100057|02-433-8020|서울특별시 중랑구 망우로 489|321310|555778
동서울농협||농축협|100056|02-433-9121|서울특별시 중랑구 망우로 290|319370|555237
서울경기양돈농협|중화동지점|농축협|170477|02-437-3451|서울특별시 중랑구 중랑역로 54|318735|555521
한국양토양록농협|중랑지점|농축협|170574|02-437-6031|서울특별시 중랑구 면목로 289|319470|553340
강동농협||농축협|100045|02-442-5070|서울특별시 강동구 구천면로 331|323860|550003
서부농협|위례지점|농축협|904191|02-448-0365|경기도 하남시 위례중앙로 215-2|325117|541767
송파농협|오금동지점|농축협|100029|02-448-1675|서울특별시 송파구 동남로 284|323924|544650
송파농협|경찰병원역지점|농축협|904183|02-449-3655|서울특별시 송파구 중대로 144 1층|322722|544009
중앙농협|구의지점|농축협|100068|02-452-7197|서울특별시 광진구 광나루로 614|320296|549121
한국양토양록농협||농축협|170587|02-455-1081|서울특별시 광진구 영화사로 24|319775|550944
서울우유농협|아차산역지점|농축협|170341|02-455-6121|서울특별시 광진구 천호대로 671 파크타운 2층|319836|550288
한국양계농협|광나루역지점|농축협|170618|02-456-4511|서울특별시 광진구 천호대로 805|320958|549664
중앙농협|구의역지점|농축협|100063|02-458-5922|서울특별시 광진구 구의로 28|319763|549076
중앙농협|건대역지점|농축협|100059|02-458-8321|서울특별시 광진구 아차산로 294|318500|548851
서울축산농협|대청역지점|농축협|170192|02-459-5181|서울특별시 강남구 개포로109길 9|318422|543964
송파농협|수서동지점|농축협|100021|02-459-5695|서울특별시 강남구 광평로 230|320425|542967
중앙농협|군자지점|농축협|100064|02-467-3441|서울특별시 광진구 능동로 294|318835|550807
중앙농협|서중곡지점|농축협|100161|02-467-7091|서울특별시 광진구 긴고랑로 40|318966|551562
강동농협|토성지점|농축협|100041|02-472-3901|서울특별시 송파구 풍성로25길 32|322537|548574
서울우유농협|암사역지점|농축협|170312|02-476-2511|서울특별시 강동구 올림픽로 762|323109|550023
강동농협|둔촌역지점|농축협|100043|02-479-4244|서울특별시 강동구 양재대로 1349|323772|547533
서부농협|감북지점|농축협|221103|02-482-0365|경기도 하남시 서하남로 124|325720|546102
서울경기양돈농협|강동지점|농축협|170503|02-482-9370|서울특별시 강동구 풍성로39길 38|323090|548230
서울경기양돈농협|둔촌동지점|농축협|170437|02-485-7311|서울특별시 강동구 진황도로 177|324440|547933
강동농협|고덕동지점|농축협|904573|02-488-3571|서울특별시 강동구 아리수로50길 50 더 몰 상가 1층|325215|551000
강동농협|둔촌지점|농축협|100048|02-488-3571|서울특별시 강동구 풍성로 171|323397|547953
강동농협|명일역지점|농축협|100047|02-488-3581|서울특별시 강동구 양재대로 1655|324552|550470
강동농협|강동역지점|농축협|100046|02-488-3591|서울특별시 강동구 진황도로 39|323462|548829
강동농협|로데오지점|농축협|100042|02-488-5228|서울특별시 강동구 천호대로157길 53|323086|549018
서울경기양돈농협||농축협|170435|02-488-9185|서울특별시 강동구 상암로 92|323595|549839
한국양토양록농협|길동역지점|농축협|170588|02-489-2222|서울특별시 강동구 천호대로193길 37, 2층|324566|548678
강동농협|성내지점|농축협|100040|02-489-2521|서울특별시 강동구 풍성로37길 44|323023|548307
서울축산농협|천호중앙지점|농축협|170215|02-489-2671|서울특별시 강동구 상암로 173|324352|549700
강동농협|길일지점|농축협|100049|02-489-2691|서울특별시 강동구 천중로 200|324413|549069
한국양계농협||농축협|170613|02-491-3381|서울특별시 중랑구 사가정로 367|319427|553611
남양주축산농협|망우동지점|농축협|172077|02-491-3638|서울특별시 중랑구 용마산로 502|320783|555226
서울우유농협||농축협|170273|02-496-0381|서울특별시 중랑구 중랑천로 71|318279|554794
서울원예농협|상봉지점|농축협|100810|02-496-7100|서울특별시 중랑구 용마산로115길 108|320206|555480
과천농협||농축협|211084|02-500-3300|경기도 과천시 별양로 178|311547|537321
과천농협|문원지점|농축협|211086|02-502-0836|경기도 과천시 문원로 107|312413|536345
과천농협|중앙지점|농축협|211085|02-502-3567|경기도 과천시 새술막길 14|310858|536802
과천농협|선바위지점|농축협|211087|02-507-6431|경기도 과천시 중앙로 407|311618|539118
농협생명|압구정지점|농협생명|904524|02-508-2398|서울특별시 강남구 테헤란로 309(역삼동, 삼성제일빌딩) 4층|315701|545026
영동농협|압구정로데오지점|농축협|100019|02-515-5554|서울특별시 강남구 언주로 860, 1층|314811|547669
남서울농협|서초중앙지점|농축협|100080|02-521-9431|서울특별시 서초구 효령로 254|312831|542888
남서울농협|남현동지점|농축협|100083|02-522-3831|서울특별시 관악구 남부순환로 2056|309724|542077
남서울농협|남성지점|농축협|100081|02-525-1521|서울특별시 동작구 사당로16길 35|309363|542703
농협생명|테헤란지점|농협생명|904525|02-538-5439|서울특별시 강남구 테헤란로 310 (두꺼비빌딩 2층)|315733|544939
영동농협|대치지점|농축협|100016|02-539-0311|서울특별시 강남구 역삼로 451|316750|544935
남서울농협|잠원동지점|농축협|100087|02-546-1521|서울특별시 서초구 나루터로 43|313095|546359
영동농협|강남지점|농축협|100015|02-547-1220|서울특별시 강남구 강남대로128길 5|313795|545760
농협생명|서울지점|농협생명|904523|02-547-5636|서울특별시 중구 서소문로 38 센트럴타워 11층|308851|551409
영동농협|동역삼지점|농축협|100018|02-563-4644|서울특별시 강남구 역삼로 204, 1층|315296|544179
영동농협||농축협|100012|02-571-8383|서울특별시 서초구 동산로6길 3|315596|541410
남서울농협|양재역지점|농축협|100086|02-572-1521|서울특별시 서초구 남부순환로 2604|314891|542925
영동농협|도곡지점|농축협|100013|02-572-1794|서울특별시 서초구 남부순환로356길 19|315121|542874
남서울농협||농축협|100089|02-575-1521|서울특별시 서초구 바우뫼로 195|315350|542403
영동농협|개포지점|농축협|100014|02-577-8604|서울특별시 강남구 선릉로 32|317158|542712
남서울농협|사당로지점|농축협|100082|02-591-5821|서울특별시 동작구 동작대로27길 5|310136|543295
남서울농협|서이지점|농축협|100088|02-597-1521|서울특별시 서초구 사임당로 143|314001|543755
남서울농협|방배역지점|농축협|100084|02-598-3971|서울특별시 서초구 방배로18길 5|311373|543040
농협|TM지점|농축협|904254|02-6912-9802|서울특별시 중구 세종대로 17,  13층(WISE TOWER)|309471|551216
농협생명|하나로TM지점|농협생명|904224|02-6930-5101|서울특별시 서대문구 통일로 81 NH농협생명빌딩 서관 13층|309088|551623
농협생명|중앙TM지점|농협생명|904613|02-6958-0201|서울특별시 강서구 화곡동 강서로 177 영빌딩 9층|297635|549515
농협생명|한성지점|농협생명|903876|02-6959-3988|서울특별시 강남구 테헤란로 310 (두꺼비빌딩 2층)|315733|544939
농협생명|충정TM지점|농협생명|904253|02-6963-9286|서울특별시 서대문구 충정로 13, 6층(삼창빌딩)|308542|551431
농협생명|누리지점|농협생명|904226|02-6967-9500|서울특별시 중구 세종대로 17,  13층(WISE TOWER)|309471|551216
서울축산농협|대흥역지점|농축협|170244|02-702-5181|서울특별시 마포구 백범로 119|306941|549942
한국양계농협|이대역지점|농축협|170639|02-711-5581|서울특별시 마포구 대흥로 169|307040|550742
서울축산농협|용산지점|농축협|170079|02-712-9331|서울특별시 용산구 새창로33길 5|308381|548785
서서울농협|사직지점|농축협|100134|02-725-4571|서울특별시 종로구 사직로8길 4, 301동 지하 103호|309067|552955
서서울농협|홍제지점|농축협|100128|02-732-2892|서울특별시 서대문구 통일로 406|307255|554268
동서울농협|창신동지점|농축협|100079|02-741-2110|서울특별시 종로구 종로 328, 1층|313125|552698
북서울농협|성북지점|농축협|100171|02-763-2100|서울특별시 성북구 보문로 152|313446|554481
광명농협|신촌지점|농축협|211032|02-802-6534|경기도 광명시 금하로 526|302029|539323
관악농협|금천지점|농축협|100110|02-803-8330|서울특별시 금천구 탑골로 2|303768|539306
서울축산농협|노량진지점|농축협|179669|02-813-3711|서울특별시 동작구 만양로 84|306941|545952
영등포농협|숭실대역지점|농축협|100192|02-814-8070|서울특별시 동작구 상도로 346|307532|544465
영등포농협|신대방삼거리역지점|농축협|100193|02-822-1401|서울특별시 동작구 보라매로 110|305455|544649
서울우유농협|보라매역지점|농축협|179533|02-822-4123|서울특별시 동작구 상도로 8|304803|544722
영등포농협|동작지점|농축협|100073|02-824-8580|서울특별시 동작구 상도로 233|306906|545338
영등포농협||농축협|100078|02-831-0761|서울특별시 영등포구 도신로 194|304072|545980
한국양봉농협|신풍역지점|농축협|170419|02-834-8211|서울특별시 영등포구 신풍로 33|303816|544814
서울축산농협|대림지점|농축협|170202|02-835-0431|서울특별시 영등포구 대림로31가길 19|302695|544323
영등포농협|여의대방로지점|농축협|100189|02-841-5800|서울특별시 영등포구 여의대방로 203|304889|545349
관악농협|신대방지점|농축협|100118|02-843-8851|서울특별시 동작구 대림로 22|303863|543358
관악농협|우성지점|농축협|100200|02-846-5885|서울특별시 동작구 여의대방로 2|303802|543911
관악농협|대림지점|농축협|100111|02-849-7611|서울특별시 영등포구 디지털로 371|303011|543740
관악농협|문성지점|농축협|100114|02-852-3121|서울특별시 금천구 남부순환로 1428|303736|542609
영등포농협|남구로지점|농축협|100075|02-854-0396|서울특별시 구로구 도림로 90|302344|543715
관악농협|난향지점|농축협|100117|02-855-8850|서울특별시 관악구 난곡로 84|304606|540638
영등포농협|구로본지점|농축협|100070|02-857-2090|서울특별시 구로구 구로중앙로28길 49|301890|544805
관악농협|조원동지점|농축협|100139|02-859-5885|서울특별시 관악구 조원로6길 1|303388|542908
관악농협||농축협|100115|02-861-5885|서울특별시 금천구 남부순환로 1366|303152|542483
관악농협|신독산지점|농축협|100140|02-867-8851|서울특별시 금천구 가산로 85|302417|541851
영등포농협|가산디지털지점|농축협|100072|02-869-8077|서울특별시 금천구 가산로 151|302046|542414
관악농협|독산중앙지점|농축협|100142|02-869-8850|서울특별시 금천구 독산로 239|303066|541248
영등포농협|구일역지점|농축협|100196|02-869-9181|서울특별시 구로구 구일로10길 27|300534|544350
관악농협|신림지점|농축협|100113|02-872-8850|서울특별시 관악구 호암로 603|305863|541546
관악농협|신우지점|농축협|100119|02-873-8850|서울특별시 관악구 호암로 529|305647|540841
관악농협|보라매지점|농축협|100112|02-874-3123|서울특별시 관악구 보라매로 12|305374|543692
관악농협|신림역지점|농축협|100137|02-874-5885|서울특별시 관악구 신림로 364|305529|543286
관악농협|신본지점|농축협|100116|02-874-8850|서울특별시 관악구 신림로 264|305811|542379
서울축산농협|관악지점|농축협|170082|02-877-2791|서울특별시 관악구 양녕로 58|307083|543321
서울축산농협|봉천역지점|농축협|170118|02-878-3421|서울특별시 관악구 남부순환로 1722|306562|542765
한국양봉농협|서울대입구역지점|농축협|170396|02-879-1500|서울특별시 관악구 관악로 220|307814|542972
관악농협|은천지점|농축협|100136|02-885-5885|서울특별시 관악구 은천로 51|306552|543213
서울축산농협|낙성대지점|농축협|170037|02-886-9581|서울특별시 관악구 인헌6길 16|308728|541842
서울축산농협|독산역지점|농축협|170147|02-894-4741|서울특별시 금천구 범안로 1204|302489|541039
관악농협|시흥중앙지점|농축협|100141|02-895-5885|서울특별시 금천구 독산로 8|303224|539064
광명농협||농축협|211039|02-896-3141|경기도 광명시 범안로 1063|301167|540730
광명농협|가리대지점|농축협|211036|02-897-5067|경기도 광명시 금하로 450|301301|539061
광명농협|소하지점|농축협|211031|02-899-2466|경기도 광명시 오리로 395|301021|537889
양주축협|창동역지점|농축협|179054|02-906-4073|서울특별시 도봉구 노해로63다길 41|315993|561806
북서울농협|우이지점|농축협|100173|02-906-7100|서울특별시 도봉구 삼양로 616|313213|562204
북서울농협||농축협|100034|02-908-2011|서울특별시 도봉구 해등로 166|315362|562107
한국양계농협|길음뉴타운지점|농축협|170422|02-909-4820|서울특별시 성북구 정릉로 307|313513|556128
서울축산농협|석계역지점|농축협|170053|02-911-9181|서울특별시 노원구 석계로 17|317587|557528
한국양봉농협|종암중앙지점|농축협|178398|02-915-7800|서울특별시 성북구 종암로 90|315037|555582
북서울농협|월계지점|농축협|100036|02-918-6221|서울특별시 노원구 광운로 48|317178|558133
동서울농협|안암지점|농축협|100151|02-921-5760|서울특별시 동대문구 무학로 197|314456|553749
서울축산농협|돈암동지점|농축협|179300|02-923-4361|서울특별시 성북구 아리랑로 7|313301|555026
서울경기양돈농협|종암동지점|농축협|170480|02-927-8851|서울특별시 성북구 정릉로52길 5|314571|556177
북서울농협|불암지점|농축협|100030|02-936-0165|서울특별시 노원구 한글비석로 444|318020|562781
북서울농협|중계본동지점|농축협|100033|02-937-0900|서울특별시 노원구 중계로 160|319122|561182
서울축산농협|하월곡지점|농축협|170163|02-942-0691|서울특별시 성북구 오패산로 45|315136|556415
한국양계농협|장위지점|농축협|904040|02-942-2811|서울특별시 성북구 돌곶이로 209|316020|557753
한국화훼농협|파주운정지점|농축협|217810|02-942-5995|경기도 파주시 가람로 53 현대프라자 202호|290552|570977
북서울농협|삼양로지점|농축협|100032|02-945-1191|서울특별시 강북구 삼양로 292|313535|559033
