##NAME|SUBNAME|TYPE|ID|TELNUM|NEWADDR@@MG손해보험
MG손해보험|수원지점|영업서비스점|E731311|031 226 3100|경기도 수원시 팔달구 권광로 197 남현프라자 5층
MG손해보험|중부GA|영업서비스점|E734026|02 6362 7726|서울특별시 용산구 원효로90길 11 더프라임타워 16층
MG손해보험|대경지점|영업서비스점|E734065|053 426 8485|대구광역시 중구 동덕로 167 KT스마트타워 6층
MG손해보험|대구GA|영업서비스점|E734072|053 257 9390|대구광역시 중구 동덕로 167 KT스마트타워 6층
MG손해보험|부산중앙GA|영업서비스점|E734080|051 803 4795|부산광역시 동구 자성로 129 효산빌딩 5층
MG손해보험|강서GA|영업서비스점|E734108|02 6362 7166|서울특별시 용산구 원효로90길 11 더프라임타워 16층
MG손해보험|남부GA|영업서비스점|E734115|02 6362 7723|서울특별시 용산구 원효로90길 11 더프라임타워 16층
MG손해보험|북부GA|영업서비스점|E734200|02 6362 7743|서울시 용산구 원효로90길 11 더프라임타워 16층
MG손해보험|강원지점|영업서비스점|E737008|033 764 4041|강원도 원주시 시청로 3 로얄타워 303, 304호
MG손해보험|제주GA|영업서비스점|E737022|064 748 1771|제주특별자치도 제주시 중앙로 150, 대한항공빌딩 6층
MG손해보험|천안지점|영업서비스점|E737079|041 578 8430|충남 천안시 서북구 충무로 130 환산빌딩 4층
MG손해보험|전주지점|영업서비스점|E737111|063 284 6982|전북 전주시 완산구 기린대로 213 대우빌딩 4층
MG손해보험|울산지점|영업서비스점|E737143|052 268 2023|울산광역시 남구 번영로 145 극동방송빌딩 9층
MG손해보험|마산지점|영업서비스점|E737168|055 293 5495|경남 창원시 마산합포구 합포로 173 용마동창회관 3층
MG손해보험|진주지점|영업서비스점|E737175|055 757 4827|경남 진주시 동진로 111 디럭스빌딩 5층 501호
