##NAME|SUBNAME|TYPE|ID|TELNUM|NEWADDR|OT|XCOORD|YCOORD@@KB손해보험
KB손해보험|안양대물보상센터|보상센터|E002260|031-8081-1403|경기 군포시 엘에스로 153-8, 306호 (산본동,금정하이뷰) (산본동 1026-9번지 금정하이뷰 306호)||126.944877|37.374164
KB손해보험|안양보상센터|보상센터|E003010||경기 안양시 만안구 안양로 247 (안양동, 안양타워) 9층 (안양동 627-1 (안양타워) 9층)|오전 9시~ 오후 6시|0.|0.
KB손해보험|용인대물보상센터|보상센터|E002266|031-8081-0487|경기 용인시 기흥구 죽전로 11 미래씨티빌딩 6층 601호 (보정동 1195-3번지 미래씨티빌딩 6층 601호)||127.109869|37.320753
KB손해보험|용인보상센터|보상센터|E002441|031-8081-1474 |경기 용인시 기흥구 동백중앙로 283 (중동, 골드프라자) B동 507호 (중동 829 (골드프라자) B동 507호)||127.153592|37.277670
KB손해보험|의정부대물보상센터|보상센터|E002268|031-8081-0449|경기도 의정부시 녹양동 412-10 센추럴프라자 301호 (녹양동 412-10 센추럴프라자 301호)||127.041344|37.760861
KB손해보험|의정부보상센터|보상센터|E001951|031-8081-1496|경기 의정부시 평화로 452 알리안츠 빌딩 4층 (의정부3동 370-9 알리안츠 생명빌딩 4층)||127.048267|37.732238
KB손해보험|이천대물보상센터|보상센터|E002486|043-906-6016|경기 이천시 설봉로 5, 2층 201호 (관고동,한솔빌딩) (관고동 504-7번지 한솔빌딩 2층 201호)||127.436825|37.277053
KB손해보험|일산대물보상센터|보상센터|E003019|031-8081-0481|경기 파주시 쇠재2길 14 (금릉동) 홍심원빌딩 202호 (금릉동 432-1 홍심원빌딩 202호)||126.778559|37.752824
KB손해보험|일산보상센터|보상센터|E001952||경기 고양시 일산동구 중앙로 1181 (장항동, 교보생명일산사옥) 10층 (장항동 893 (교보생명일산사옥) 10층)|9시 ~ 18시 |0.|0.
KB손해보험|평택대물보상센터|보상센터|E002267|031-8081-0494|경기 평택시 죽백5로 27 (죽백동, 세비온) (죽백동 771 (세비온) 세비온 501호)||127.111489|36.995606
KB손해보험|평택보상센터|보상센터|E001968|031-8081-1487|경기 평택시 평남로 1015, 601호 (동삭동) (동삭동 705-9번지 서재프라자 601호)||127.098115|37.009329
KB손해보험|구리지역단|지역단|D000393|031-550-1500|경기 구리시 경춘로 260, KB손해보험 구리빌딩 1층, 구리지역단 (수택동)  (수택동 531-1 1층 구리지역단)|▷ 평일 09:00~17:30　(환급/대출:09:00~16:00)　(점심시간:12:00~13:00)|127.143979|37.601864
KB손해보험|방카슈랑스영업3부|지역단|D000603|031-547-3437|경기 수원시 팔달구 경수대로 518, 3층 방카슈랑스영업3부 (인계동,KB손해보험빌딩) (인계동 946-3 KB손해보험빌딩 3층 방카슈랑스영업3부)|업무시간 : 09:30 ~18:00|127.029131|37.271940
KB손해보험|부천지역단|지역단|D000310|032-215-2114|경기 부천시 원미구 신흥로 179, 15층 KB손해보험 부천지역단 (중동,한화생명빌딩) (원미구 중동 1132-3 15층 KB손해보험 부천지역단)|▷ 평일 09:00~17:30　(환급/대출:09:00~16:00)　(점심시간:12:00~13:00)|126.776594|37.499690
KB손해보험|성남지역단|지역단|D000311|031-8018-8501|경기 성남시 분당구 성남대로 906, 2층 KB손해보험 성남지역단 (야탑동) (야탑동 367-3 2층 KB손해보험 성남지역단)|▷ 평일 09:00~17:30　(환급/대출:09:00~16:00)　(점심시간:12:00~13:00)|127.129213|37.410522
KB손해보험|수도GA5지역단|지역단|D000635|031-547-3884|경기 수원시 팔달구 경수대로 518  11층 수도GA5지역단 (인계동,KB손해보험수원빌딩) (인계동 946-3 11층 수도GA5지역단 (인계동,KB손해보험수원빌딩))|업무시간 : 09:30 ~18:00|127.029196|37.271966
KB손해보험|수원TC사업단/안산고객센터|지역단|D000741|031-412-2660|경기 안산시 단원구 고잔로 58-6, 4층 KB손해보험(고잔동,오션빌딩) (고잔동 529-2번지 오션빌딩 4층)|▷ 평일 09:00~17:30　(환급/대출:09:00~16:00)　(점심시간:12:00~13:00)|126.832049|37.318722
KB손해보험|수원지역단|지역단|D000308|031-547-3404|경기 수원시 팔달구 경수대로 518  10층 수원지역단 (인계동,KB손해보험 수원빌딩) (인계동 946-3 10층 수원지역단 (인계동,KB손해보험 수원빌딩))|업무시간 : 09:30 ~18:00|127.029196|37.271966
KB손해보험|안양안산지역단|지역단|D000313|031-380-9250|경기 안양시 만안구 안양로 247  6층 안양안산지역단 (안양동,안양타워) (안양동 627-1 6층 안양안산지역단 (안양동,안양타워))|▷ 평일 09:00~17:30　(환급/대출:09:00~16:00)　(점심시간:12:00~13:00)|126.924367|37.394472
KB손해보험|의정부지역단|지역단|D000309|031-850-4602|경기 의정부시 평화로 452, 7층 KB손해보험 의정부지역단 (의정부동,알리안츠생명빌딩) (의정부동 370-9 알리안츠생명빌딩 7층)|▷ 평일 09:00~17:30　(환급/대출:09:00~16:00)　(점심시간:12:00~13:00)|127.048312|37.732274
KB손해보험|일산지역단|지역단|D000315|031-915-2114|경기 고양시 일산동구 정발산로42번길 5, 9층 KB손해보험 일산지역단 (장항동,한화생명빌딩) (장항2동 848번지 한화생명빌딩 9층 KB손해보험 일산지역단)|▷ 평일 09:00~17:30　(환급/대출:09:00~16:00)　(점심시간:12:00~13:00)|126.774178|37.657043
KB손해보험|평택지역단|지역단|D000351|031-657-2114|경기 평택시 비전4로 47 강일빌딩 3층 KB손해보험 평택지역단 (비전동 1096번지 강일빌딩 3층 KB손해보험 평택지역단)|▷ 평일 09:00~17:30　(환급/대출:09:00~16:00)　(점심시간:12:00~13:00)|127.114678|37.002517
KB손해보험|강서TC지점|지점|E003081|031-950-5885|경기 김포시 김포대로 835, 5층 (사우동,E플라자빌딩)  (사우동 922번지 5층 (외환은행))||126.720548|37.619306
KB손해보험|경기TC지점|지점|E002943|031-547-3545|경기 수원시 팔달구 경수대로 518  8층 수원TC사업단 경기TC지점 (인계동,KB손해보험) (인계동 946-3 8층 수원TC사업단 경기TC지점 (인계동,KB손해보험))||127.029196|37.271966
KB손해보험|광주지점|지점|E001442|031-767-1360|경기 광주시 광주대로 64, 3층(경안동) (경안동 416-1번지 3층)|▷ 평일 10:00~16:00　　　(점심시간 12:00~13:00)|127.260731|37.411993
KB손해보험|구리TC지점|지점|E003079|031-590-5952|경기 구리시 경춘로 260,6층 (수택동, KB손해보험 구리빌딩) (수택동 531-1번지 6층 (KB손해보험 구리빌딩))||127.144025|37.601917
KB손해보험|구리지점|지점|E000657|031-550-1800|경기 구리시 경춘로 260  구리지역단 구리지점 (수택동) (수택동 531-1 구리지역단 구리지점 (수택동))|오전10시~오후4시(월~금)|127.144046|37.601930
KB손해보험|김포지점|지점|E000669|031-982-2514|경기 김포시 사우중로 48, 드림월드프라자 5층, KB손해보험 강서지역단 김포지점 (사우동)  (사우동 927번지 드림월드프라자 5층)|▷ 평일 10:00~16:00　　　(점심시간 12:00~13:00)|126.719129|37.619081
KB손해보험|남양주지점|지점|E000673|031-550-1530|경기 구리시 경춘로 260, KB손해보험 구리빌딩 5층 (수택동) (수택동 531-1 KB손해보험 5층)|오전10시~오후4시(월~금)|127.143979|37.601864
KB손해보험|동두천지점|지점|E000663|031-864-3388|경기 동두천시 중앙로 126, 생연프라자 7층 701호, KB손해보험 의정부지역단 동두천지점 (지행동) (지행동 693-2번지 생연프라자 7층 701호)|▷ 평일 10:00~16:00　　　(점심시간 12:00~13:00)|127.052490|37.892739
KB손해보험|동수원지점|지점|E000681|031-547-3450|경기 수원시 팔달구 경수대로 518  9층 수원지역단 동수원지점 (인계동,KB손해보험수원빌딩) (인계동 946-3 9층 수원지역단 동수원지점 (인계동,KB손해보험수원빌딩))|오전10시~오후4시(월~금)|127.029196|37.271966
KB손해보험|동안지점|지점|E000666|031-441-2116|경기 안양시 만안구 안양로 247, 9층 KB손해보험 안양안산지역단 동안지점 (안양동,안양타워) (안양동 627-1 안양타워 9층)|오전10시~오후4시(월~금)|126.924309|37.394632
KB손해보험|동탄TC지점|지점|E003177|031-547-3491|경기 화성시 동탄지성로 2, 2층 (반송동, 동탄플래티넘) (반송동 90-9 (동탄플래티넘) 2층)|오전10시~오후4시(월~금)|127.073973|37.204948
KB손해보험|드림TC지점|지점|E003028|031-412-1647|경기 안산시 단원구 고잔로 88  705호 (고잔동,지스타프라자) (고잔동 534-2 705호 (고잔동,지스타프라자))||126.836016|37.318809
KB손해보험|부천지점|지점|E000658|032-210-0199|경기 부천시 신흥로 179  15층 KB손해보험 부천지역단 부천지점 (중동,한화생명빌딩) (중동 1132-3 15층 KB손해보험 부천지역단 부천지점 (중동,한화생명빌딩))|오전10시~오후4시(월~금)|126.776592|37.499689
KB손해보험|분당지점|지점|E000447|031-8018-8612|경기 성남시 분당구 성남대로 906, 3층 KB손해보험 분당지점 (야탑동,KB건물) (분당구 야탑동 367-3번지 3층 KB손해보험 분당지점)|오전10시~오후4시(월~금)|127.129205|37.410491
KB손해보험|비전TC지점|지점|E003115|031-412-1645|경기 안산시 단원구 고잔로 58 -6 4층 비전TC지점 (고잔동,오션빌딩) (고잔동 529-2 4층 비전TC지점 (고잔동,오션빌딩))|오전10시~오후4시(월~금)|126.832040|37.318731
KB손해보험|산본지점|지점|E000688|031-380-9240|경기 안양시 만안구 안양로 247, 9층 KB손해보험 안양안산지역단 산본지점 (안양동,안양타워) (안양동 627-1 안양타워 9층 KB손해보험 안양안산지역단 산본지점)|오전10시~오후4시(월~금)|126.924295|37.394630
KB손해보험|상동지점|지점|E000676|032-210-0202|경기 부천시 원미구 신흥로 179, 13층 KB손해보험 부천지역단 상동지점 (중동,한화생명빌딩) (원미구 중동 1132-3번지 대한생명 중동사옥 13층  KB손해보험 상동지점)|오전10시~오후4시(월~금)|126.776906|37.498479
KB손해보험|서수원지점|지점|E001305|031-547-3600|경기 수원시 팔달구 경수대로 518  7층 수원지역단 서수원지점 (인계동,KB손해보험수원빌딩) (인계동 946-3 7층 수원지역단 서수원지점 (인계동,KB손해보험수원빌딩))|오전10시~오후4시(월~금)|127.029196|37.271966
KB손해보험|성남지점|지점|E000704|031-720-8100|경기 성남시 수정구 산성대로 223  5층 KB손해보험 성남지점 (신흥동,일문파이낸스빌딩) (신흥동 6910 5층 KB손해보험 성남지점 (신흥동,일문파이낸스빌딩))|오전10시~오후4시(월~금)|127.142274|37.438960
KB손해보험|송우지점|지점|E001425|031-542-3388|경기 포천시 소흘읍 송우로 65, 메듀파크 7층, KB손해보험 의정부지역단 송우지점 (송우리) (소흘읍 송우리 729-7번지 메듀파크 7층 송우지점)|▷ 평일 10:00~16:00　　　(점심시간 12:00~13:00)|127.141612|37.829365
KB손해보험|송탄지점|지점|E000645|031-663-2114|경기 평택시 관광특구로 36, 5층 KB손해보험 평택지역단 송탄지점 (서정동,탐앤탐스빌딩) (서정동 847-4 5층 KB손해보험)|▷ 평일 10:00~16:00　　　(점심시간 12:00~13:00)|127.062713|37.066500
KB손해보험|수도GA5-1지점|지점|E002171|031-547-3893|경기 수원시 팔달구 경수대로 518  KB손해보험수원빌딩 11층 (인계동 946-3 KB손해보험수원빌딩 11층)|오전10시~오후4시(월~금)|127.029196|37.271966
KB손해보험|수도GA5-2지점|지점|E002120|031-380-9740|경기 안양시 동안구 시민대로 273  309호 (관양동,효성인텔리안) (관양동 1594-1 309호 (관양동,효성인텔리안))|오전10시~오후4시(월~금)|126.960405|37.394773
KB손해보험|수도GA5-3지점|지점|E001743|031-652-7544|경기 평택시 평남로 1013, 4층 401호 (동삭동,동소빌딩) (동삭동 705-10 동소빌딩 401호)|오전10시~오후4시(월~금)|127.104879|37.004041
KB손해보험|수도GA5-4지점|지점|E003096|031-412-2690|경기 안산시 단원구 고잔로 58-6, 2층 KB손해보험 (고잔동,오션빌딩)  (고잔동 529-2 오션빌딩 2층)||126.832001|37.318686
KB손해보험|수도GA5-프런티어1지점|지점|E003075|031-547-3885|경기 수원시 팔달구 경수대로 518  11층 수도GA5지역단 프론티어1지점 (인계동,KB손해보험수원빌딩) (인계동 946-3 11층 수도GA5지역단 프론티어1지점 (인계동,KB손해보험수원빌딩))|오전10시~오후4시(월~금)|127.029196|37.271966
KB손해보험|수원TC지점|지점|E002121|031-547-3547|경기 수원시 팔달구 경수대로 518  5층 수원TC지점 (인계동,KB손해보험빌딩) (인계동 946-3 5층 수원TC지점 (인계동,KB손해보험빌딩))|오전10시~오후4시(월~금)|127.029196|37.271966
KB손해보험|수원지점|지점|E000359|031-547-3500|경기 수원시 팔달구 경수대로 518, 9층 수원지역단 수원지점 (인계동,KB손해보험 수원빌딩) (팔달구 인계동 946-3 KB손해보험 수원빌딩 10층)|오전10시~오후4시(월~금)|127.029202|37.271928
KB손해보험|시흥지점|지점|E002105|031-404-5922|경기 시흥시 복지로 3  6층 KB손해보험 부천지역단 시흥지점 (신천동,유암타워) (신천동 709-6 6층 KB손해보험 부천지역단 시흥지점 (신천동,유암타워))|오전10시~오후4시(월~금)|126.786881|37.440308
KB손해보험|안산지점|지점|E002010|031-483-1125|경기 안산시 단원구 고잔로 58-6, 4층 안산지점 (고잔동,오션빌딩)  (고잔동 529-2 오션빌딩 4층 안산지점)|오전10시~오후4시(월~금)|126.832029|37.318704
KB손해보험|안성지점|지점|E001768|031-676-8585|경기 안성시 중앙로411번길 8, 6층 KB손해보험 평택지역단 안성지점 (영동,성민빌딩) (영동 30번지 성민빌딩6층)|▷ 평일 10:00~16:00　　　(점심시간 12:00~13:00)|127.272668|37.007126
KB손해보험|안양지점|지점|E000670|031-380-9700|경기 안양시 만안구 안양로 247, 8층 KB손해보험 안양안산지역단 안양지점 (안양동,안양타워) (안양동 627-1 안양타워8층 KB손해보험 안양안산지역단 안양지점)|오전10시~오후4시(월~금)|126.924292|37.394639
KB손해보험|여주지점|지점|E001155|031-884-6271|경기 여주시 세종로 11, 5층 (홍문동,여주빌딩) (여주읍 홍문리 110번지 여주빌딩5층)|▷ 평일 10:00~16:00　　　(점심시간 12:00~13:00)|127.637289|37.296635
KB손해보험|용인지점|지점|E000655|031-333-5466|경기 용인시 처인구 명지로16번길 9 -23 5층 KB손해보험 (역북동,DMC타워) (역북동 748-2 5층 KB손해보험 (역북동,DMC타워))|▷ 평일 10:00~16:00　　　(점심시간 12:00~13:00)|127.188145|37.233064
KB손해보험|의정부TC지점|지점|E003133||경기 의정부시 평화로 452  5층 KB손해보험 의정부TC지점 (의정부동,알리안츠생명빌딩) (의정부동 370-9 5층 KB손해보험 의정부TC지점 (의정부동,알리안츠생명빌딩))|오전10시~오후4시(월~금)|127.048310|37.732274
KB손해보험|의정부지점|지점|E000360|031-850-4701|경기 의정부시 평화로 452  6층 (의정부동,알리안츠생명빌딩) (의정부동 370-9 6층 (의정부동,알리안츠생명빌딩))|오전10시~오후4시(월~금)|127.048310|37.732274
KB손해보험|이천지점|지점|E000661|031-640-8403|경기 이천시 영창로 202  2층 KB손해보험 성남지역단 이천지점 (창전동,양정빌딩) (창전동 163 2층 KB손해보험 성남지역단 이천지점 (창전동,양정빌딩))|▷ 평일 10:00~16:00　　　(점심시간 12:00~13:00)|127.445076|37.280785
KB손해보험|일산TC지점|지점|E003080|031-960-7590|경기 고양시 일산동구 중앙로 1165, 2층 KB손해보험 일산TC지점 (장항동) (장항동 896-1번지 동양생명빌딩 2층 KB손해보험 일산TC지점 )||126.777956|37.650802
KB손해보험|일산중앙지점|지점|E002045|031-963-2114|경기 고양시 일산동구 정발산로42번길 5  9층 KB손해보험 일산중앙지점 (장항동,한화생명빌딩) (장항동 848 9층 KB손해보험 일산중앙지점 (장항동,한화생명빌딩))|오전10시~오후4시(월~금)|126.774137|37.657085
KB손해보험|일산지점|지점|E000716|031-916-6114|경기 고양시 일산동구 정발산로42번길 5, 한화생명빌딩 10층, KB손해보험 일산지역단 일산지점 (장항동)  (일산구 장항동 848번지 한화생명빌딩 10층 KB손해보험 일산지점)|오전10시~오후4시(월~금)|126.774201|37.657062
KB손해보험|일산지점|지점|E000664|031-960-7500|경기 고양시 일산동구 정발산로42번길 5, KB손해보험 일산지역단 일산지점 (장항동,한화생명일산사옥)  (장항동 848 (한화생명일산사옥))|오전10시~오후4시(월~금)|126.774356|37.657060
KB손해보험|중동지점|지점|E000361|032-218-2115|경기 부천시 원미구 신흥로 179, 15층 KB손해보험 부천지역단 중동지점 (중동,한화생명빌딩) (원미구 중1동 1132-3 대한생명빌딩 15층 중동지점)|오전10시~오후4시(월~금)|126.776906|37.498479
KB손해보험|토평지점|지점|E001307|031-550-1702|경기 구리시 경춘로 260 KB손해보험 구리빌딩 6층, 구리지역단 토평지점 (수택동)  (수택동 531-1 KB손해보험 구리빌딩 6층)|오전10시~오후4시(월~금)|127.143979|37.601864
