##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@ABL생명
ABL생명|동문지점|0|0|ABL생명|031-302-7106|경기 수원시 팔달구 효원로307번길 19||||||||ABL생명 동문지점|2층 동문지점 국민연금공단 (인계동)|||40606
ABL생명|안산지점|0|0|ABL생명|031-482-8922|경기 안산시 단원구 광덕대로 181||||||||ABL생명 안산지점|4층 (고잔동,BYC빌딩)|||40606
ABL생명|안양지점|126.9243205|37.3944283|ABL생명|031-449-3860|경기 안양시 만안구 안양로 239||||||||ABL생명 안양지점|7층 포시즌코리아웨딩홀 (안양동)|||40606
ABL생명|설봉지점|127.447043|37.279467|ABL생명|031-635-6280|경기 이천시 영창로 202||||||||ABL생명 설봉지점|3층 설봉지점 (창전동,양정빌딩)|||40606
ABL생명|남해지점|127.8939134|34.841024|ABL생명|055-862-2589|경남 남해군 남해읍 화전로 103||||||||ABL생명 남해지점|6층 남해지점|||40606
ABL생명|삼천포지점|128.0871632|34.9420339|ABL생명|055-833-2579|경남 사천시 주공로 30||||||||ABL생명 삼천포지점|4층 삼천포지점 (벌리동,평화빌딩)|||40606
ABL생명|진주지점|128.086979|35.1864529|ABL생명|055-754-0685|경남 진주시 진주대로 973||||||||ABL생명 진주지점|4층 진주지점 (강남동,ABL생명빌딩)|||40606
ABL생명|새마산지점|128.5877803|35.2244047|ABL생명|055-256-1441|경남 창원시 마산회원구 합포로 306||||||||ABL생명 새마산지점|9층 ABL생명 새마산지점 (양덕동,디아트리에빌딩)|||40606
ABL생명|경남지점|128.5877803|35.2244047|ABL생명|055-255-8833|경남 창원시 마산회원구 합포로 306||||||||ABL생명 경남지점|9층 ABL생명 경남지점 (양덕동,디아트리에빌딩)|||40606
ABL생명|진해지점|128.6984179|35.1576999|ABL생명|055-546-3866|경남 창원시 진해구 진해대로776번길 27||||||||ABL생명 진해지점|9층 진해지점 (이동,온메디컬빌딩)|||40606
ABL생명|용지지점|128.5875033|35.2241792|ABL생명|055-284-6340|경남 창원시 성산구 중앙대로84번길 3||||||||ABL생명 용지지점|10층 범한빌딩 (상남동)|||40606
ABL생명|창원지점|128.5875033|35.2241792|ABL생명|055-282-0774|경남 창원시 성산구 중앙대로84번길 3||||||||ABL생명 창원지점|10층 (상남동,범한빌딩)|||40606
ABL생명|충열지점|128.4289105|34.8518408|ABL생명|055-645-3572|경남 통영시 중앙로 242||||||||ABL생명 충열지점|5층 충열지점 (북신동)|||40606
ABL생명|새통영지점|128.4289105|34.8518408|ABL생명|055-644-3214|경남 통영시 중앙로 242||||||||ABL생명 새통영지점|4층 새통영지점 (북신동)|||40606
ABL생명|경주지점|129.2169358|35.8448293|ABL생명|054-772-2938|경북 경주시 원화로 271||||||||ABL생명 경주지점|3층 ABL생명 경주지점 (성동동,한신빌딩)|||40606
ABL생명|금오지점|128.3484743|36.1166851|ABL생명|054-452-1305|경북 구미시 송정대로 92||||||||ABL생명 금오지점|8층 (송정동,그랜드빌)|||40606
ABL생명|구미지점|128.3484743|36.1166851|ABL생명|054-457-3437|경북 구미시 송정대로 92||||||||ABL생명 구미지점|8층 (송정동,그랜드빌딩)|||40606
ABL생명|군위지점|128.5685416|36.2299242|ABL생명|054-383-2170|경북 군위군 군위읍 중앙길 12||||||||ABL생명 군위지점|3층 시외버스터미널|||40606
ABL생명|상주지점|128.1597523|36.4131916|ABL생명|054-535-2819|경북 상주시 상산로 250||||||||ABL생명 상주지점|5층 ABL생명빌딩 (남성동)|||40606
ABL생명|안동지점|0|0|ABL생명|054-859-8887|경북 안동시 경동로 568||||||||ABL생명 안동지점|6층 안동지점 (당북동)|||40606
ABL생명|포항지점|129.359921|36.0185987|ABL생명|054-274-9914|경북 포항시 남구 포스코대로 329||||||||ABL생명 포항지점|6층 포항지점 (상도동,서울빌딩)|||40606
ABL생명|청림지점|129.359921|36.0185987|ABL생명|054-282-8435|경북 포항시 남구 포스코대로 329||||||||ABL생명 청림지점|5층 청림지점 (상도동,서울빌딩)|||40606
ABL생명|광주화상센터|0|0|ABL생명|1588-6500|광주 동구 금남로 224||||||||ABL생명 광주화상센터|6층 ABL광주화상센터 (금남로3가,SC은행빌딩)|||40606
ABL생명|광주지점|126.914734|35.15909|ABL생명|062-222-2214|광주 동구 금남로 224||||||||ABL생명 광주지점|5층 광주지점 (금남로3가,SC은행빌딩)|||40606
ABL생명|백운지점|126.914734|35.15909|ABL생명|062-223-0765|광주 동구 금남로 224||||||||ABL생명 백운지점|5층 ABL생명 백운지점 (금남로3가,SC은행빌딩)|||40606
ABL생명|충장지점|126.914734|35.15909|ABL생명|062-232-2170|광주 동구 금남로 224||||||||ABL생명 충장지점|5층 충장지점 (금남로3가,SC은행빌딩)|||40606
ABL생명|대신지점|128.5886955|35.8659407|ABL생명|053-600-3275|대구 중구 달구벌대로 2058||||||||ABL생명 대신지점|6층 (남산동,ABL타워)|||40606
ABL생명|비산지점|128.5886955|35.8659407|ABL생명|053-600-3279|대구 중구 달구벌대로 2058||||||||ABL생명 비산지점|5층 (남산동,ABL타워)|||40606
ABL생명|상서지점|128.5886955|35.8659407|ABL생명|053-600-3285|대구 중구 달구벌대로 2058||||||||ABL생명 상서지점|6층 상서지점 ABL타워 (남산동,ABL대구타워)|||40606
ABL생명|대전지점|127.4139204|36.3293361|ABL생명|042-253-7432|대전 서구 대덕대로 227||||||||ABL생명 대전지점|7층 (둔산동,동서빌딩)|||40606
ABL생명|갑천지점|127.4139204|36.3293361|ABL생명|042-255-2751|대전 서구 대덕대로 227||||||||ABL생명 갑천지점|7층 (둔산동,동서빌딩)|||40606
ABL생명|부산고객센터|129.0597|35.14891|ABL생명|051-645-5399|부산 부산진구 중앙대로 640||||||||ABL생명 부산고객센터|ABL생명빌딩 13층 부산고객센터 (범천동,ABL부산타워)|||40606
ABL생명|부산화상센터|0|0|ABL생명|1588-6500|부산 부산진구 중앙대로 640||||||||ABL생명 부산화상센터|13층 부산화상센터 (범천동,ABL부산타워)|||40606
ABL생명|대청지점|129.059701|35.149808|ABL생명|051-469-2579|부산 부산진구 중앙대로 640||||||||ABL생명 대청지점|12층 (범천동,ABL생명빌딩)|||40606
ABL생명|민락지점|129.059701|35.149808|ABL생명|051-469-9262|부산 부산진구 중앙대로 640||||||||ABL생명 민락지점|12층 민락지점 (범천동,ABL부산타워)|||40606
ABL생명|서면지점|129.059783|35.149752|ABL생명|051-632-8389|부산 부산진구 중앙대로 640||||||||ABL생명 서면지점|14층 (범천동,ABL생명빌딩)|||40606
ABL생명|동래지점|129.059783|35.149752|ABL생명|051-644-2815|부산 부산진구 중앙대로 640||||||||ABL생명 동래지점|14층 동래지점 (범천동,ABL생명빌딩)|||40606
ABL생명|광복지점|129.059701|35.149808|ABL생명|051-462-5096|부산 부산진구 중앙대로 640||||||||ABL생명 광복지점|12층 광복지점 (범천동,ABL생명빌딩)|||40606
ABL생명|새부산지점|129.059701|35.149808|ABL생명|051-645-8145|부산 부산진구 중앙대로 640||||||||ABL생명 새부산지점|13층 새부산지점 (범천동,ABL생명빌딩)|||40606
ABL생명|강동지점|127.139677|37.537736|ABL생명|02-475-0792|서울 강동구 양재대로 1477||||||||ABL생명 강동지점|7층 (길동,삼환빌딩)|||40606
ABL생명|공릉지점|127.0593|37.65366|ABL생명|02-933-4913|서울 노원구 노해로 460||||||||ABL생명 공릉지점|8층 공릉지점 (상계동,현대증권빌딩)|||40606
ABL생명|중계지점|127.0593|37.65366|ABL생명|02-937-0282|서울 노원구 노해로 460||||||||ABL생명 중계지점|8층 중계지점 (상계동,현대증권빌딩)|||40606
ABL생명|청담지점|127.028772|37.494294|ABL생명|02-594-4516|서울 서초구 강남대로 363||||||||ABL생명 청담지점|11층 (서초동,덕흥빌딩)|||40606
ABL생명|강남지점|127.028772|37.494294|ABL생명|02-536-3922|서울 서초구 강남대로 363||||||||ABL생명 강남지점|11층 (서초동,덕흥빌딩)|||40606
ABL생명|여의도고객센터|126.9278117|37.5187813|ABL생명|02-3787-7389|서울 영등포구 의사당대로 147||||||||ABL생명 여의도고객센터|17층 여의도고객센터 (여의도동,ABL타워)|||40606
ABL생명|PA단체가상지점|0|0|ABL생명|02-3787-7832||서울 영등포구 여의도동 ABL타워 45-21|||||||ABL생명 PA단체가상지점|본사|||40606
ABL생명|동작지점|126.92691|37.531919|ABL생명|02-835-7694|서울 영등포구 의사당대로 147||||||||ABL생명 동작지점|13층 동작지점 (여의도동,ABL타워)|||40606
ABL생명|공항지점|126.845733|37.551247|ABL생명|02-2658-4356|서울 영등포구 의사당대로 147||||||||ABL생명 공항지점|에이비엘타워 13층 공항지점 (여의도동,ABL타워)|||40606
ABL생명|목동지점|126.927809|37.518762|ABL생명|02-2636-9142|서울 영등포구 의사당대로 147||||||||ABL생명 목동지점|13층 목동지점 (여의도동,ABL타워)|||40606
ABL생명|여의도지점|126.927809|37.518762|ABL생명|02-2636-3895|서울 영등포구 의사당대로 147||||||||ABL생명 여의도지점|13층 여의도지점 (여의도동,ABL타워)|||40606
ABL생명|영등포지점|126.909561|37.518678|ABL생명|02-2672-2983|서울 영등포구 의사당대로 147||||||||ABL생명 영등포지점|13층 (여의도동,ABL타워)|||40606
ABL생명|가산지점|126.904497|37.485976|ABL생명|02-857-2397|서울 영등포구 의사당대로 147||||||||ABL생명 가산지점|9층 (여의도동,ABL타워)|||40606
ABL생명|본사지점|0|0|ABL생명|02-3787-7000||서울 영등포구 여의도동 ABL타워 45-21|||||||ABL생명 본사지점||||40606
ABL생명|신설동고객센터|127.02194|37.5746592|ABL생명|02-2253-2857|서울 종로구 종로 400||||||||ABL생명 신설동고객센터|ABL빌딩 1층 신설동고객센터 (숭인동,제일생명빌딩)|||40606
ABL생명|신설동화상센터|0|0|ABL생명|1588-6500|서울 종로구 종로 400||||||||ABL생명 신설동화상센터|ABL생명 1층 신설동화상센터 (숭인동,제일생명빌딩)|||40606
ABL생명|홍릉지점|127.0219864|37.5742693|ABL생명|02-2238-7604|서울 종로구 종로 400||||||||ABL생명 홍릉지점|홍릉지점 (숭인동,ABL생명빌딩)|||40606
ABL생명|종로지점|127.0219864|37.5742693|ABL생명|02-2279-9848|서울 종로구 종로 400||||||||ABL생명 종로지점|ABL생명 4층 종로지점 (숭인동)|||40606
ABL생명|서울지점|127.0219864|37.5742693|ABL생명|02-2252-7020|서울 종로구 종로 400||||||||ABL생명 서울지점|ABL생명 1층 서울지점 (숭인동)|||40606
ABL생명|동부지점|127.0374|37.57846|ABL생명|02-967-8579|서울 종로구 종로 400||||||||ABL생명 동부지점|6층 (숭인동,ABL생명빌딩)|||40606
ABL생명|동대문지점|127.0374|37.57846|ABL생명|02-966-6134|서울 종로구 종로 400||||||||ABL생명 동대문지점|6층 (숭인동,ABL생명빌딩)|||40606
ABL생명|중구지점|126.9721303|37.5561986|ABL생명|02-322-4231|서울 중구 퇴계로 10||||||||ABL생명 중구지점|14층 ABL생명 중구지점 (남대문로5가,메트로타워)|||40606
ABL생명|중앙지점|126.9721303|37.5561986|ABL생명|02-319-8388|서울 중구 퇴계로 10||||||||ABL생명 중앙지점|14층 ABL생명 중앙지점 (남대문로5가,메트로타워)|||40606
ABL생명|세종로지점|126.9999458|37.5728693|ABL생명|02-763-5997|서울 중구 퇴계로 10||||||||ABL생명 세종로지점|14층 ABL생명 세종로지점 (남대문로5가,메트로타워)|||40606
ABL생명|광화문지점|126.9721303|37.5561986|ABL생명|02-2267-4709|서울 중구 퇴계로 10||||||||ABL생명 광화문지점|14층 ABL생명 광화문지점 (남대문로5가,메트로타워)|||40606
ABL생명|울산지점|129.319298|35.554496|ABL생명|052-211-3339|울산 남구 삼산로 212||||||||ABL생명 울산지점|6층 울산지점 (달동)|||40606
ABL생명|번영지점|129.319298|35.554496|ABL생명|052-211-0546|울산 남구 삼산로 212||||||||ABL생명 번영지점|6층 번영지점 (달동)|||40606
ABL생명|옥교지점|129.319298|35.554496|ABL생명|052-211-4121|울산 남구 삼산로 212||||||||ABL생명 옥교지점|6층 옥교지점 (달동)|||40606
ABL생명|신정지점|129.319298|35.554496|ABL생명|052-211-2830|울산 남구 삼산로 212||||||||ABL생명 신정지점|6층 신정지점 (달동)|||40606
ABL생명|송도지점|127.8733|34.9592454|ABL생명|032-427-7675|인천 남구 경인로 407||||||||ABL생명 송도지점|5층 (주안동,미래에셋대우빌딩)|||40606
ABL생명|인천지점|127.8733|34.9592454|ABL생명|032-437-2618|인천 남구 경인로 407||||||||ABL생명 인천지점|5층 (주안동,미래에셋대우빌딩)|||40606
ABL생명|갈산지점|126.7225754|37.4991383|ABL생명|032-512-0466|인천 부평구 부평대로 88||||||||ABL생명 갈산지점|11층 갈산지점 (부평동,부평대로우체국빌딩)|||40606
ABL생명|광양지점|0|0|ABL생명|061-792-5502|전남 광양시 중동로 79||||||||ABL생명 광양지점|7층 (중동,안산빌딩)|||40606
ABL생명|목포지점|0|0|ABL생명|061-243-3675|전남 목포시 영산로 121||||||||ABL생명 목포지점|5층 (명륜동,ABL생명빌딩)|||40606
ABL생명|순천지점|0|0|ABL생명|061-742-0223|전남 순천시 이수로 27||||||||ABL생명 순천지점|2층 (장천동,ABL생명)|||40606
ABL생명|여수지점|0|0|ABL생명|061-681-1901|전남 여수시 망마로 36||||||||ABL생명 여수지점|6층 (학동,신성빌딩)|||40606
ABL생명|군산지점|126.8021534|35.3496866|ABL생명|063-443-0478|전북 군산시 중앙로 145||||||||ABL생명 군산지점|ABL생명 5층 (중앙로1가)|||40606
ABL생명|원광지점|126.9520966|35.9398918|ABL생명|063-854-4285|전북 익산시 익산대로16길 43||||||||ABL생명 원광지점|5층 (창인동1가,ABL생명빌딩)|||40606
ABL생명|전일지점|127.139529|35.830692|ABL생명|063-252-2236|전북 전주시 완산구 기린대로 213||||||||ABL생명 전일지점|미래에셋대우빌딩 8층 (서노송동,대우빌딩)|||40606
ABL생명|송천지점|127.139529|35.830692|ABL생명|063-275-1650|전북 전주시 완산구 기린대로 213||||||||ABL생명 송천지점|미래에셋대우빌딩 8층 (서노송동,대우빌딩)|||40606
ABL생명|인후지점|127.139529|35.830692|ABL생명|063-277-5142|전북 전주시 완산구 기린대로 213||||||||ABL생명 인후지점|미래에셋대우빌딩 8층 (서노송동,대우빌딩)|||40606
ABL생명|아중지점|127.139529|35.830692|ABL생명|063-252-5896|전북 전주시 완산구 기린대로 213||||||||ABL생명 아중지점|미래에셋대우빌딩 8층 ABL생명 (서노송동,대우빌딩)|||40606
ABL생명|정주지점|126.8519139|35.5668109|ABL생명|063-535-2742|전북 정읍시 중앙로 122||||||||ABL생명 정주지점|3층 ABL생명 (수성동,고려빌딩)|||40606
ABL생명|성산포지점|126.914942|33.450248|ABL생명|064-782-5611|제주 서귀포시 성산읍 고성오조로 74||||||||ABL생명 성산포지점||||40606
ABL생명|서귀포지점|126.5282086|33.5041482|ABL생명|064-733-1132|제주 서귀포시 일주동로 8544||||||||ABL생명 서귀포지점|7층 ABL생명 (동홍동,동인빌딩)|||40606
ABL생명|제주지점|126.5282086|33.5041482|ABL생명|064-722-4490|제주 제주시 청사로 85||||||||ABL생명 제주지점|3층 (도남동,대림타운오피스텔)|||40606
ABL생명|백록지점|126.5282086|33.5041482|ABL생명|064-755-9431|제주 제주시 청사로 85||||||||ABL생명 백록지점|2층 ABL생명 백록지점 (도남동,대림타운)|||40606
ABL생명|당진지점|0|0|ABL생명|041-355-2417|충남 당진시 당진중앙2로 188||||||||ABL생명 당진지점|3층 ABL생명인제빌딩 (읍내동)|||40606
ABL생명|부여지점|126.9108613|36.2836186|ABL생명|041-835-3420|충남 부여군 부여읍 사비로 86||||||||ABL생명 부여지점|4층 ABL생명 부여지점 (우영플라자)|||40606
ABL생명|천안지점|127.137838|36.82685|ABL생명|041-566-2111|충남 아산시 배방읍 고속철대로 43||||||||ABL생명 천안지점|4층 (퍼시픽빌딩)|||40606
ABL생명|예산지점|126.84812|36.680474|ABL생명|041-335-2838|충남 예산군 예산읍 벚꽃로155번길 28||||||||ABL생명 예산지점|5층 (GM빌딩)|||40606
ABL생명|홍성지점|127.005157|36.783131|ABL생명|041-632-2255|충남 홍성군 홍성읍 내포로 22||||||||ABL생명 홍성지점|6층 (중앙빌딩)|||40606
ABL생명|영동지점|127.7830092|36.1776675|ABL생명|043-742-1549|충북 영동군 영동읍 중앙로 28||||||||ABL생명 영동지점|4층 ABL생명 영동지점 (성림빌딩)|||40606
ABL생명|가경지점|127.485893|36.636851|ABL생명|043-256-3639|충북 청주시 상당구 교서로 1||||||||ABL생명 가경지점|5층 가경지점 (영동,ABL생명)|||40606
ABL생명|흥덕지점|127.485893|36.636851|ABL생명|043-256-2150|충북 청주시 상당구 교서로 1||||||||ABL생명 흥덕지점|8층 흥덕지점 (영동,ABL생명)|||40606
ABL생명|충주지점|127.915008|36.980234|ABL생명|043-847-3890|충북 충주시 연수동산로3길 20||||||||ABL생명 충주지점|201호 (연수동,대명빌딩)|||40606
