##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@저축은행
스마트저축은행|전주출장소|||저축은행|063-714-4466|전라북도 전주시 완산구 효자로 173.|전라북도 전주시 완산구 효자동3가 1699-5|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(0)||||||스마트저축은행 전주출장소|2층 (효자동3가)|||40305
스마트저축은행|여수출장소|||저축은행|061-807-3330|전라남도 여수시 시청로 27|전라남도 여수시 학동 68-15|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(0)||||||스마트저축은행 여수출장소|3층 (학동)|||40305
스카이저축은행|본점|||저축은행|02-3485-4100|서울특별시 강남구 학동로 103|서울특별시 강남구 논현1동 50-3|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(0)||||||스카이저축은행 본점||||40305
스타저축은행|본점|||저축은행|063-277-1311|전라북도 전주시 덕진구 팔달로 320|전라북도 전주시 덕진구 진북동 361-8|햇살론;국고금수납;CD(0),CDP(0), ATM(1)||||||스타저축은행 본점||||40305
신한저축은행|본점|||저축은행|02-6716-2100|서울특별시 중구 청계천로 54|서울특별시 중구 삼각동 66-1|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||신한저축은행 본점|3층;신한광교빌딩 3층|||40305
신한저축은행|분당지점|||저축은행|031-778-2100|경기도 성남시 분당구 황새울로 359번길 11|경기도 성남시 분당구 서현동 254-1|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||신한저축은행 분당지점|미래에셋플레이스 2층|||40305
신한저축은행|수원지점|||저축은행|031-546-2100|경기도 수원시 팔달구 권광로 199|경기도 수원시 팔달구 인계동 1038-2|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||신한저축은행 수원지점|세영빌딩 3층;세영빌딩 3층|||40305
신한저축은행|일산지점|||저축은행|031-994-2100|경기도 고양시 일산동구 중앙로 1172|경기도 고양시 일산동구 마두동 802-1|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||신한저축은행 일산지점|그랜드프라자 2층|||40305
신한저축은행|강남영업부|||저축은행|02-6965-2100|서울특별시 강남구 테헤란로 418|서울특별시 강남구 대치동 890-12|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||신한저축은행 강남영업부|다봉타워 2층;다봉타워 2층|||40305
신한저축은행|여의도지점|||저축은행|02-6910-2100|서울특별시 영등포구 의사당대로 97|서울특별시 영등포구 여의도동 26-4|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||신한저축은행 여의도지점|교보증권빌딩 4층|||40305
신한저축은행|리테일영업부|||저축은행|1644-7777|서울특별시 중구 청계천로 54|서울특별시 중구 삼각동 66-1|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||신한저축은행 리테일영업부|신한광교빌딩 3층;신한광교빌딩 3층|||40305
아산저축은행|본점|||저축은행|041-537-9000|충청남도 아산시 시민로 381|충청남도 아산시 온천동 242-19|햇살론;국고금수납;CD(0),CDP(0), ATM(1)||||||아산저축은행 본점|(온천동)|||40305
아주저축은행|본점|||저축은행|043-279-9100|충청북도 청주시 상당구 남사로 135|충청북도 청주시 상당구 남문로2가 21-2|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||아주저축은행 본점||||40305
아주저축은행|삼성지점|||저축은행|02-3459-6000|서울특별시 강남구 테헤란로 503|서울특별시 강남구 삼성동 157-33|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||아주저축은행 삼성지점|옥산빌딩2층 (삼성동)|||40305
아주저축은행|서초지점|||저축은행|02-2023-1100|서울특별시 서초구 강남대로 351|서울특별시 서초구 서초동 1329-2|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||아주저축은행 서초지점|청남빌딩 (서초동)|||40305
아주저축은행|수유지점|||저축은행|02-6098-1200|서울특별시 강북구 노해로 3|서울특별시 강북구 수유동 45-1|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||아주저축은행 수유지점|쏠라리움타워3층 (수유동)|||40305
아주저축은행|문래지점|||저축은행|02-2165-6700|서울특별시 영등포구 문래로 83|서울특별시 영등포구 문래동3가 82-25|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||아주저축은행 문래지점|아라비즈타워 2층 (문래동3가)|||40305
안국저축은행|본점|||저축은행|031-941-7271|경기도 파주시 금정20길 22|경기도 파주시 금촌동 65-30|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(1)||||||안국저축은행 본점|(금촌동)|||40305
안양저축은행|본점|||저축은행|031-441-4141|경기도 안양시 만안구 안양로 250|경기도 안양시 만안구 안양1동 622-218|인터넷뱅킹;햇살론;국고금수납;CD(0),CDP(1), ATM(0)||||||안양저축은행 본점||||40305
안양저축은행|평촌지점|||저축은행|031-384-5511|경기도 안양시 동안구 시민대로 280|경기도 안양시 동안구 관양동 1599-1|인터넷뱅킹;햇살론;국고금수납;CD(0),CDP(1), ATM(0)||||||안양저축은행 평촌지점|평촌샤르망2오피스텔 106호|||40305
애큐온저축은행|본점|||저축은행|02-1588-6161|||인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||애큐온저축은행 본점|성원타워 3,6,7,8층;(삼성동,성원타워)|||40305
애큐온저축은행|목동지점|||저축은행|1588-6161|서울특별시 양천구 오목로 299|서울특별시 양천구 목동 962|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||애큐온저축은행 목동지점|목동트라팰리스 웨스턴에비뉴 5층;목동트라팰리스 웨스턴에비뉴 5층|||40305
애큐온저축은행|강남역지점|||저축은행|1588-6161|||인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||애큐온저축은행 강남역지점|신덕빌딩 1층|||40305
애큐온저축은행|잠실지점|||저축은행|1588-6161|서울특별시 송파구 잠실동 석촌호수로 61||인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||애큐온저축은행 잠실지점|트리지움상가 3층;트리지움상가 3층|||40305
애큐온저축은행|수유지점|||저축은행|1588-6161|서울특별시 강북구 도봉로 333|서울특별시 강북구 수유동 229-5|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||애큐온저축은행 수유지점|4층;4층|||40305
애큐온저축은행|청량리지점|||저축은행|1588-6161|서울특별시 동대문구 왕산로 186|서울특별시 동대문구 전농동 620-18|인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||애큐온저축은행 청량리지점||||40305
애큐온저축은행|공덕역지점|||저축은행|1588-6161|||인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||애큐온저축은행 공덕역지점|효성해링턴플레이스 A동 3층|||40305
애큐온저축은행|부산지점|||저축은행|1588-9877|부산광역시 북구 만덕대로 18||인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||애큐온저축은행 부산지점|3층;금샘빌딩 3층|||40305
애큐온저축은행|서면지점|||저축은행|051-668-9000|||인터넷뱅킹;모바일뱅킹;햇살론;CD(0),CDP(0), ATM(0)||||||애큐온저축은행 서면지점|부산파이넨스센터 7층|||40305
에스앤티저축은행|본점|||저축은행|055-222-8100|경상남도 창원시 성산구 중앙대로 85|경상남도 창원시 성산구 중앙동 96-4|인터넷뱅킹;모바일뱅킹;CD(0),CDP(0), ATM(2)||||||에스앤티저축은행 본점|리제스타워 1층|||40305
엠에스저축은행|본점|||저축은행|053-756-5200|대구광역시 수성구 달구벌대로 2532|대구광역시 수성구 범어4동 212-1|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(0)||||||엠에스저축은행 본점||||40305
엠에스저축은행|상주지점|||저축은행|054-534-6111|경상북도 상주시 중앙로 151|경상북도 상주시 남성동 48-8|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(0)||||||엠에스저축은행 상주지점||||40305
엠에스저축은행|동인동지점|||저축은행|053-422-7001|대구광역시 중구 동덕로 173|대구광역시 중구 동인동 2가 72|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(0)||||||엠에스저축은행 동인동지점||||40305
영진저축은행|본점|||저축은행|032-651-2121|경기도 부천시 부일로 472|경기도 부천시 원미구 심곡2동 175-3|인터넷뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(0)||||||영진저축은행 본점||||40305
예가람저축은행|본점|||저축은행|02-1877-7788|서울특별시 강남구 테헤란로 419|서울특별시 강남구 삼성동 142-43|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(0)||||||예가람저축은행 본점|강남파이낸스플라자 2층|||40305
예가람저축은행|창원지점|||저축은행|055-285-8750|경상남도 창원시 성산구 용지로 56|경상남도 창원시 중앙동 99-2|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(0)||||||예가람저축은행 창원지점||||40305
예가람저축은행|울산지점|||저축은행|052-939-1234|울산광역시 남구 삼산로 231|울산광역시 남구 달동 1364-1|인터넷뱅킹;모바일뱅킹;햇살론;국고금수납;CD(0),CDP(0), ATM(0)||||||예가람저축은행 울산지점|울산센트럴자이 상가 401호;울산센트럴자이 상가 401호|||40305
