##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@AXA손해보험
AXA손해보험|전주보상센터|||AXA손해보험|063-275-6641|전북 전주시 완산구 온고을로 13|전북 전주시 완산구 서신동 국민연금빌딩 769|||||||AXA손해보험 전주보상센터|6층 (서신동,국민연금빌딩);6층|||40704
AXA손해보험|목포보상센터|||AXA손해보험|062-384-1566|전남 무안군 삼향읍 후광대로 274||||||||AXA손해보험 목포보상센터|1012호 (남악리,도청프라자)|||40704
AXA손해보험|광주대물보상센터|||AXA손해보험|062-384-1566|광주시 서구 상무대로956번길 6|광주시 서구 쌍촌동 994-1|||||||AXA손해보험 광주대물보상센터|7층 (쌍촌동,영산강빌딩);영산강빌딩 7층 701호|||40704
AXA손해보험|광주대인보상센터|||AXA손해보험|062-384-1566|광주시 서구 상무대로956번길 6|광주시 서구 쌍촌동 994-1|||||||AXA손해보험 광주대인보상센터|7층 (쌍촌동,영산강빌딩);영산강빌딩 7층 701호|||40704
AXA손해보험|전남보상센터|||AXA손해보험|062-384-1566|광주시 서구 상무대로956번길 6|광주시 서구 쌍촌동 994-1|||||||AXA손해보험 전남보상센터|7층 (쌍촌동,영산강빌딩);영산강빌딩 7층 701호|||40704
AXA손해보험|춘천보상센터|||AXA손해보험|033-747-0552||강원 춘천시 옥천동 39-8|||||||AXA손해보험 춘천보상센터|일광오피스텔 403호|||40704
AXA손해보험|강원보상센터|||AXA손해보험|033-747-0557|강원 원주시 봉화로 31|강원 원주시 단계동 1117-3|||||||AXA손해보험 강원보상센터|만석빌딩 3층;만석빌딩 3층|||40704
AXA손해보험|강릉보상센터|||AXA손해보험|033-747-0552|강원 강릉시 경강로 2117|강원 강릉시 옥천동 188|||||||AXA손해보험 강릉보상센터|교보생명빌딩 3층;교보빌딩 3층|||40704
AXA손해보험|청주보상센터|||AXA손해보험|043-237-0182|충북 청주시 상당구 중흥로 16||||||||AXA손해보험 청주보상센터|2층 (용암동,전문건설회관)|||40704
AXA손해보험|Claims/Care/보상센터|||AXA손해보험|053-428-9213|대구광역시 중구 국채보상로 645|대구광역시 중구 동인동2가 11|||||||AXA손해보험 Claims/Care/보상센터|(동인동2가,드림상호저축은행5층);(드림상호저축은행5층)|||40704
AXA손해보험|사고접수보상센터|||AXA손해보험|053-428-9213|대구광역시 중구 국채보상로 645|대구광역시 중구 동인동2가 11|||||||AXA손해보험 사고접수보상센터|(동인동2가,드림상호저축은행5층);(드림상호저축은행5층)|||40704
AXA손해보험|포항보상센터|||AXA손해보험|053-746-1566|경북 포항시 남구 효성로 71|경북 포항시 효자동 583-6|||||||AXA손해보험 포항보상센터|신우빌딩 2층;신우빌딩 2층|||40704
AXA손해보험|대구대인보상센터|||AXA손해보험|053-746-1566|대구시 남구 중앙대로 200|대구시 남구 대명2동 2010-1|||||||AXA손해보험 대구대인보상센터|7층 (대명동,우체국보험대구회관);남대구우체국 7층|||40704
AXA손해보험|대구대물보상센터|||AXA손해보험|053-746-1566|대구시 남구 중앙대로 200|대구시 남구 대명2동 2010-1|||||||AXA손해보험 대구대물보상센터|7층 (대명동,우체국보험대구회관);남대구우체국 7층|||40704
AXA손해보험|구미보상센터|||AXA손해보험|053-746-1566|대구시 남구 중앙대로 200|대구시 남구 대명2동 2010-1|||||||AXA손해보험 구미보상센터|7층 (대명동,우체국보험대구회관);남대구우체국 7층|||40704
AXA손해보험|울산보상센터|||AXA손해보험|070-7507-5081|울산시 남구 번영로 172|울산시 남구 달동 1325-12|||||||AXA손해보험 울산보상센터|5층 (달동,소니빌딩);소니빌딩 5층|||40704
AXA손해보험|부산대인보상센터|||AXA손해보험|051-631-1566|부산 연제구 중앙대로 1000||||||||AXA손해보험 부산대인보상센터|22층 (연산동,국민연금공단부산회관빌딩)|||40704
AXA손해보험|동부산대물보상센터|||AXA손해보험|051-631-1566|부산 연제구 중앙대로 1000||||||||AXA손해보험 동부산대물보상센터|22층 (연산동,국민연금공단부산회관빌딩)|||40704
AXA손해보험|서부산대물보상센터|||AXA손해보험|051-631-1566|부산 연제구 중앙대로 1000||||||||AXA손해보험 서부산대물보상센터|22층 (연산동,국민연금공단부산회관빌딩)|||40704
AXA손해보험|창원대물보상센터|||AXA손해보험|055-282-3829|경남 창원시 성산구 중앙대로 64|경남 창원시 성산구 상남동 74-6|||||||AXA손해보험 창원대물보상센터|신텍타워 12층 2호;12층 2호|||40704
AXA손해보험|경남보상센터|||AXA손해보험|055-282-3829|경남 진주시 동진로 183|경남 진주시 상대1동 299-4|||||||AXA손해보험 경남보상센터|태웅빌딩 7층;태웅빌딩 7층|||40704
AXA손해보험|제주보상센터|||AXA손해보험|070-7500-1274|제주특별자치도 제주시 연북로 17|제주특별자치도 제주시 노형동 710-1|||||||AXA손해보험 제주보상센터|8층 (노형동,전문건설회관);전문건설회관 8층|||40704
AXA손해보험|본사|||AXA손해보험|1566-1566|서울시 용산구 한강대로 71길 4||||||||AXA손해보험 본사|(구 : 서울특별시 용산구 갈월동 103-17) 한진중공업빌딩 11층|||40704
