##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@현대카드
현대카드|안산영업지점|463185|1060295|현대카드|031-412-0900|경기도 안산시 단원구 중앙대로 927||||||||현대카드 안산영업지점|남양사빌딩 6층|||40403
현대카드|양천영업지점|478379|1116087|현대카드|02-860-5001|서울시 영등포구 국회대로 612||||||||현대카드 양천영업지점|(당산동3가) 코레일유통 8층|||40403
현대카드|여의도영업지점|0|0|현대카드|02-818-4200|서울시 영등포구 영등포로 188||||||||현대카드 여의도영업지점|현대캐피탈빌딩 3층|||40403
현대카드|영등포PLCC/지점|0|0|현대카드|02-818-4270|서울특별시 영등포구 영등포로 188||||||||현대카드 영등포PLCC/지점|(영등포동4가) 현대카드영등포사옥 6층|||40403
현대카드|영등포영업지점|0|0|현대카드|02-705-4000|서울시 영등포구 국회대로 612||||||||현대카드 영등포영업지점|코레일유통 8층|||40403
현대카드|인천PLCC/지점|0|0|현대카드|032-899-7003|인천광역시 부평구 부평대로 60||||||||현대카드 인천PLCC/지점|(부평동) 현대해상빌딩 10층|||40403
현대카드|인천영업지점|0|0|현대카드|032-717-3581|인천시 부평구 부평대로 60||||||||현대카드 인천영업지점|현대해상빌딩 11층|||40403
현대카드|전주영업지점|529162|649646|현대카드|063-280-1700|전북 전주시 완산구 기린대로 213||||||||현대카드 전주영업지점|대우빌딩 2층|||40403
현대카드|창원영업지점|882198|482412|현대카드|055-239-6920|경남 창원시 성산구 중앙대로 105||||||||현대카드 창원영업지점|(중앙동) STX빌딩 15층|||40403
현대카드|천안영업지점|535166|921387|현대카드|041-590-5900|충남 천안시 서북구 충무로 218||||||||현대카드 천안영업지점|(쌍용동) KT빌딩 5층|||40403
현대카드|현대기아본사파이낸스샵|509305|1100609|현대카드|02-574-4224|서울시 서초구 헌릉로 12||||||||현대카드 현대기아본사파이낸스샵|현대자동차 빌딩 1층|||40403
