##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@신용협동조합
미탄신용협동조합|지점|128.396091|37.366685|신용협동조합|0333333755|강원도 평창군 평창읍평창시장2길 22||||||||미탄신용협동조합 지점||||40303
봄내신용협동조합|본점|127.747611|37.882243|신용협동조합|033-242-5300|강원도 춘천시 춘천로 313||||||||봄내신용협동조합 본점|(후평동)봄내신용협동조합|||40303
봉평신용협동조합|본점|128.378707|37.61582|신용협동조합|0333355290|강원도 평창군 봉평면기풍4길 5||||||||봉평신용협동조합 본점||||40303
북원신용협동조합|본점|127.948075|37.385378|신용협동조합|033-743-6195|강원도 원주시 봉화로 14||||||||북원신용협동조합 본점|(단계동)|||40303
북원신용협동조합|우산/지점|127.941714|37.384665|신용협동조합|033-731-6195|강원도 원주시 진광길 25||||||||북원신용협동조합 우산/지점|(우산동)|||40303
사북신용협동조합|본점|128.816917|37.226829|신용협동조합|033-592-3378|강원도 정선군 사북읍사북중앙로 20-1||||||||사북신용협동조합 본점||||40303
삼척신용협동조합|본점|129.164255|37.442757|신용협동조합|033-574-1001|강원도 삼척시 진주로 22||||||||삼척신용협동조합 본점|(남양동)삼척신협|||40303
서원주신용협동조합|본점|127.832282|37.314826|신용협동조합|0337358870|강원도 원주시 문막읍문막시장1길 36문막리 ||||||||서원주신용협동조합 본점||||40303
서원주신용협동조합|지점|127.751055|37.208892|신용협동조합|033-731-3186|강원도 원주시 부론면법천시장길 52||||||||서원주신용협동조합 지점||||40303
서원주신용협동조합|지점|127.831988|37.31985|신용협동조합|0337458872|강원도 원주시 문막읍원문로 1609건등리 ||||||||서원주신용협동조합 지점||||40303
속초신용협동조합|본점|128.592542|38.205664|신용협동조합|033-633-4008|강원도 속초시 중앙로 184-3||||||||속초신용협동조합 본점|(동명동)|||40303
양구신용협동조합|본점|127.985638|38.106625|신용협동조합|0334820364|강원도 양구군 양구읍양록길 28||||||||양구신용협동조합 본점||||40303
양양신용협동조합|본점|128.628114|38.12019|신용협동조합|033-672-0488|강원도 양양군 강현면일출로 5낙산신협 ||||||||양양신용협동조합 본점||||40303
양양신용협동조합|지점|128.621885|38.075358|신용협동조합|033-673-6300|강원도 양양군 양양읍양양로 76양양신협 양양지점 ||||||||양양신용협동조합 지점||||40303
여량신용협동조합|본점|128.726447|37.462052|신용협동조합|0335624012|강원도 정선군 여량면서동로 2911여량리 , 여량신용협동조합 ||||||||여량신용협동조합 본점||||40303
영월신용협동조합|본점|128.464498|37.183724|신용협동조합|0333736307|강원도 영월군 영월읍중앙로 5영월신협 ||||||||영월신용협동조합 본점||||40303
영월신용협동조합|지점|128.26814|37.270977|신용협동조합|033-373-6303|강원도 영월군 주천면주천로 87||||||||영월신용협동조합 지점||||40303
원주밝음신용협동조합|본점|127.951471|37.348618|신용협동조합|033-745-4571|강원도 원주시 중앙로 83||||||||원주밝음신용협동조합 본점|(중앙동)|||40303
원주밝음신용협동조합|단구/지점|127.957618|37.321293|신용협동조합|033-764-4575|강원도 원주시 단관길 97||||||||원주밝음신용협동조합 단구/지점|(단구동)|||40303
원주밝음신용협동조합|무실/지점|127.927455|37.336779|신용협동조합|033-748-6900|강원도 원주시 시청로 80||||||||원주밝음신용협동조합 무실/지점|(무실동)|||40303
원주밝음신용협동조합|반곡/지점|127.980821|37.32646|신용협동조합|033-735-4575|강원도 원주시 입춘로 73||||||||원주밝음신용협동조합 반곡/지점|(반곡동)|||40303
원주신용협동조합|본점|127.949984|37.350639|신용협동조합|033-743-3121|강원도 원주시 중앙로 118||||||||원주신용협동조합 본점|(중앙동)|||40303
원주신용협동조합|단구/지점|127.950293|37.329794|신용협동조합|033-762-3120|강원도 원주시 서원대로 410||||||||원주신용협동조합 단구/지점|(단구동)1층 101호 원주신용협동조합 남부지점|||40303
원주제일신용협동조합|본점|127.948564|37.34847|신용협동조합|033-732-8741|강원도 원주시 무실로 16||||||||원주제일신용협동조합 본점|(일산동)|||40303
원주제일신용협동조합|단구/지점|127.949601|37.321686|신용협동조합|033-765-8741|강원도 원주시 늘품로 17||||||||원주제일신용협동조합 단구/지점|(단구동)|||40303
원주참빛신용협동조합|본점|127.951552|37.340028|신용협동조합|033-764-5454|강원도 원주시 남원로 630||||||||원주참빛신용협동조합 본점|(개운동)참빛신협 본점|||40303
원주참빛신용협동조합|명륜/지점|127.940605|37.325983|신용협동조합|033-763-2580|강원도 원주시 남원로 441-6||||||||원주참빛신용협동조합 명륜/지점|(명륜동)참빛신협 구곡지점|||40303
정선신용협동조합|본점|128.663136|37.38049|신용협동조합|033-563-0760|강원도 정선군 정선읍봉양6길 31||||||||정선신용협동조합 본점||||40303
진부신용협동조합|본점|128.557453|37.636702|신용협동조합|033-335-8188|강원도 평창군 진부면청송로 90-24||||||||진부신용협동조합 본점||||40303
춘천신용협동조합|본점|127.720475|37.872363|신용협동조합|033-251-8500|강원도 춘천시 중앙로 57||||||||춘천신용협동조합 본점|(중앙로2가)춘천신협 (중앙로2가)|||40303
춘천신용협동조합|중앙로2가/지점|127.727531|37.880399|신용협동조합|033-243-8211|강원도 춘천시 중앙로 지하50-4||||||||춘천신용협동조합 중앙로2가/지점|(중앙로2가)|||40303
춘천신용협동조합|석사/지점|127.742603|37.856615|신용협동조합|033-261-5500|강원도 춘천시 퇴계로 215||||||||춘천신용협동조합 석사/지점|(석사동)|||40303
춘천신용협동조합|퇴계/지점|127.730785|37.862585|신용협동조합|033-243-4800|강원도 춘천시 퇴계로93번길 3||||||||춘천신용협동조합 퇴계/지점|(퇴계동)103,104,105호|||40303
춘천신용협동조합|근화/지점|37.872356|127.720526|신용협동조합|033-241-8383|강원도 춘천시 방송길 40||||||||춘천신용협동조합 근화/지점|(근화동)|||40303
춘천와이신용협동조합|본점|127.732403|37.875483|신용협동조합|033-255-1007|강원도 춘천시 금강로 120||||||||춘천와이신용협동조합 본점|(운교동)|||40303
춘천와이신용협동조합|석사/지점|127.74249|37.85234|신용협동조합|033-261-1002|강원도 춘천시 지석로 75||||||||춘천와이신용협동조합 석사/지점|(석사동)|||40303
한마음신용협동조합|본점|128.992858|37.171548|신용협동조합|033-553-7101|강원도 태백시 번영로 362||||||||한마음신용협동조합 본점|(황지동)한마음신협|||40303
한마음신용협동조합|장성/지점|129.008765|37.102732|신용협동조합|033-581-8010|강원도 태백시 장성로 24||||||||한마음신용협동조합 장성/지점|(장성동)장성지점|||40303
홍천신용협동조합|본점|127.887539|37.690157|신용협동조합|033-434-7551|강원도 홍천군 홍천읍번영로 64||||||||홍천신용협동조합 본점||||40303
홍천신용협동조합|지점|37.6864|127.8791|신용협동조합|033-433-7041|강원도 홍천군 홍천읍홍천로6길 20홍천신협 중앙지점 ||||||||홍천신용협동조합 지점||||40303
화천철원신용협동조합|본점|127.706387|38.104605|신용협동조합|0334422727|강원도 화천군 화천읍중앙로5길 2||||||||화천철원신용협동조합 본점||||40303
화천철원신용협동조합|지점|127.308566|38.144816|신용협동조합|0334527418|강원도 철원군 갈말읍삼부연로 4-1||||||||화천철원신용협동조합 지점||||40303
횡성신용협동조합|본점|127.987924|37.489272|신용협동조합|0333433201|강원도 횡성군 횡성읍읍상서로 4||||||||횡성신용협동조합 본점|(읍상리)|||40303
춘천가톨릭신용협동조합|본점|127.726497|37.876791|신용협동조합|033-255-6742|강원도 춘천시 약사고개길 21||||||||춘천가톨릭신용협동조합 본점|(죽림동)말딩회관 1층 (죽림동)|||40303
강릉동인병원신용협동조합|본점|128.907199|37.774483|신용협동조합|033-651-4176|강원도 강릉시 강릉대로419번길 42||||||||강릉동인병원신용협동조합 본점|(포남동)|||40303
강원랜드신용협동조합|본점|128.82035|37.212596|신용협동조합|0335906214|강원도 정선군 사북읍하이원길 265강원랜드호텔 3층 ||||||||강원랜드신용협동조합 본점||||40303
삼양식품신용협동조합|본점|127.935746|37.390098|신용협동조합|033-740-8221|강원도 원주시 우산로 177||||||||삼양식품신용협동조합 본점|(우산동)삼양식품공장내|||40303
연세대학교원주의과대학원주세브란스기독병원신용협동조합|본점|127.947436|37.350298|신용협동조합|0337410981|강원도 원주시 일산로 20||||||||연세대학교원주의과대학원주세브란스기독병원신용협동조합 본점|(일산동)|||40303
원주진광신용협동조합|본점|127.935594|37.398465|신용협동조합|033- 742-8710|강원도 원주시 진광길 50||||||||원주진광신용협동조합 본점|(우산동)우산동,진광고등학교내|||40303
한일전기신용협동조합|본점|127.941957|37.375098|신용협동조합|033-744-6658|강원도 원주시 우산공단길 10||||||||한일전기신용협동조합 본점|(우산동)한일전기 (주) 내|||40303
가나안신용협동조합|본점|127.195758|37.5473|신용협동조합|031-792-8811|경기도 하남시 하남대로934번길 3||||||||가나안신용협동조합 본점|(풍산동)|||40303
가평신용협동조합|본점|127.34838|37.818905|신용협동조합|031-585-7700|경기도 가평군 조종면현창로44번길 1가평신용협동조합 ||||||||가평신용협동조합 본점||||40303
가평신용협동조합|지점|127.508049|37.818192|신용협동조합|031-581-7701|경기도 가평군 가평읍가화로 55가평신협 읍내지점 ||||||||가평신용협동조합 지점||||40303
경기광주신용협동조합|본점|127.258924|37.408728|신용협동조합|031-761-9001|경기도 광주시 중앙로 98||||||||경기광주신용협동조합 본점|(역동)|||40303
경기광주신용협동조합|중대/지점|127.231127|37.393205|신용협동조합|031-764-9001|경기도 광주시 고불로 52||||||||경기광주신용협동조합 중대/지점|(중대동)1층|||40303
경기광주신용협동조합|경안/지점|127.251207|37.414051|신용협동조합|031-765-9004|경기도 광주시 문화로 121||||||||경기광주신용협동조합 경안/지점|(경안동) (경안지점)|||40303
경기시흥신용협동조합|본점|126.79298|37.431995|신용협동조합|031-313-6391|경기도 시흥시 시흥대로1074번길 5||||||||경기시흥신용협동조합 본점|(은행동)102호|||40303
경기시흥신용협동조합|은행/지점|126.790559|37.43614|신용협동조합|031-312-6623|경기도 시흥시 은계번영길 1||||||||경기시흥신용협동조합 은행/지점|(은행동)109호|||40303
경기시흥신용협동조합|신천/지점|126.781515|37.438718|신용협동조합|031-404-9600|경기도 시흥시 수인로3395번길 35||||||||경기시흥신용협동조합 신천/지점|(신천동)1층|||40303
광명신용협동조합|본점|126.852206|37.479|신용협동조합|02-2685-2233|경기도 광명시 광명로887번길 16||||||||광명신용협동조합 본점|(광명동)|||40303
광명신용협동조합|광명/지점|126.856804|37.484252|신용협동조합|0226171212|경기도 광명시 광명로 958-1||||||||광명신용협동조합 광명/지점|(광명동)101호 광명신협|||40303
광명신용협동조합|소하/지점|126.879853|37.434982|신용협동조합|02-897-5959|경기도 광명시 기아로6번길 18||||||||광명신용협동조합 소하/지점|(소하동)1층|||40303
구리신용협동조합|본점|127.140212|37.599022|신용협동조합|031-5535200|경기도 구리시 안골로85번길 35||||||||구리신용협동조합 본점|(수택동) (구리전통시장 공영주차장 옆)|||40303
군포신용협동조합|본점|126.917505|37.328156|신용협동조합|031-437-8254|경기도 군포시 대야1로24번길 8||||||||군포신용협동조합 본점|(대야미동)신협빌딩 1층|||40303
군포신용협동조합|당동/지점|126.944747|37.350131|신용협동조합|031-395-2340|경기도 군포시 군포로 490||||||||군포신용협동조합 당동/지점|(당동)1층|||40303
군포신용협동조합|산본/지점|126.939791|37.370726|신용협동조합|031-392-4488|경기도 군포시 산본천로 211||||||||군포신용협동조합 산본/지점|(산본동)|||40303
김포신용협동조합|본점|126.709405|37.627697|신용협동조합|031-982-4401|경기도 김포시 북변로 10||||||||김포신용협동조합 본점|(북변동)김포신용협동조합|||40303
김포신용협동조합|풍무/지점|126.715452|37.618892|신용협동조합|031-984-4500|경기도 김포시 양도로 9||||||||김포신용협동조합 풍무/지점|(풍무동)나린플레이스 2층|||40303
김포신용협동조합|걸포/지점|126.706621|37.632059|신용협동조합|031-989-4234|경기도 김포시 걸포2로 1||||||||김포신용협동조합 걸포/지점|(걸포동)104호 김포신용협동조합 걸포지점|||40303
김포제일신용협동조합|본점|126.632618|37.719533|신용협동조합|031-988-3110|경기도 김포시 하성면애기봉로 854||||||||김포제일신용협동조합 본점||||40303
김포제일신용협동조합|운양/지점|126.684229|37.646943|신용협동조합|031-984-9977|경기도 김포시 전원로 1||||||||김포제일신용협동조합 운양/지점|(운양동)메디프라자 105호|||40303
김포한강신용협동조합|본점|126.623739|37.653438|신용협동조합|031-981-0181|경기도 김포시 양촌읍양곡1로 31||||||||김포한강신용협동조합 본점||||40303
김포한강신용협동조합|지점|126.660517|37.677626|신용협동조합|0319837755|경기도 김포시 양촌읍김포대로 1602-6김포한강신협 누산지점 ||||||||김포한강신용협동조합 지점||||40303
김포한강신용협동조합|감정/지점|126.697644|37.623841|신용협동조합|031-987-1188|경기도 김포시 중봉로 16||||||||김포한강신용협동조합 감정/지점|(감정동)|||40303
김포한강신용협동조합|장기/지점|126.666068|37.644552|신용협동조합|031-998-3300|경기도 김포시 김포한강1로51번길 46||||||||김포한강신용협동조합 장기/지점|(장기동)|||40303
남부천신용협동조합|본점|126.781387|37.481473|신용협동조합|032-611-4329|경기도 부천시 성주로 257||||||||남부천신용협동조합 본점|(심곡본동)|||40303
남양주신용협동조합|본점|127.322|37.709662|신용협동조합|031-593-6572|경기도 남양주시 늘을2로14번길 13-1||||||||남양주신용협동조합 본점|(호평동)|||40303
단원신용협동조합|본점|126.838512|37.314148|신용협동조합|031-492-0100|경기도 안산시 단원구 광덕4로 234||||||||단원신용협동조합 본점|(고잔동)109호|||40303
단원신용협동조합|고잔/지점|126.827995|37.330486|신용협동조합|031-413-8897|경기도 안산시 단원구 삼일로 461||||||||단원신용협동조합 고잔/지점|(고잔동)|||40303
단원신용협동조합|고잔/지점|126.837707|37.324464|신용협동조합|031-401-4422|경기도 안산시 단원구 예술대학로 82||||||||단원신용협동조합 고잔/지점|(고잔동)104호|||40303
달월신용협동조합|본점|126.742754|37.388206|신용협동조합|031-495-3083|경기도 시흥시 군자로 496||||||||달월신용협동조합 본점|(거모동) (거모동,신협빌딩)|||40303
달월신용협동조합|월곶/지점|126.784462|37.345577|신용협동조합|031-404-4991|경기도 시흥시 월곶중앙로30번길 4||||||||달월신용협동조합 월곶/지점|(월곶동)106호 (월곶동,주영프라자)|||40303
달월신용협동조합|정왕/지점|126.745015|37.339267|신용협동조합|031-498-4466|경기도 시흥시 중심상가로 287||||||||달월신용협동조합 정왕/지점|(정왕동) (정왕동)|||40303
달월신용협동조합|장현/지점|126.800809|37.380494|신용협동조합|031-404-1844|경기도 시흥시 시청로68번길 4||||||||달월신용협동조합 장현/지점|(장현동,장현1 엔플러스빌)B-105 (장현동,유호N플러스빌상가)|||40303
달월신용협동조합|능곡/지점|126.811399|37.368131|신용협동조합|031-435-3376|경기도 시흥시 능곡로 178||||||||달월신용협동조합 능곡/지점|(능곡동)102호 (능곡동,호평프라자)|||40303
대곶신용협동조합|본점|126.58402|37.650242|신용협동조합|031-987-3592|경기도 김포시 대곶면율생로 69-1||||||||대곶신용협동조합 본점||||40303
대원신용협동조합|본점|127.158143|37.438315|신용협동조합|031-731-2312|경기도 성남시 중원구 희망로 361||||||||대원신용협동조합 본점|(상대원동)1층|||40303
덕양신용협동조합|본점|126.825051|37.622783|신용협동조합|031-974-2732|경기도 고양시 덕양구 지도로 62||||||||덕양신용협동조합 본점|(토당동)동영빌딩1층 덕양신협|||40303
동부신용협동조합|본점|127.203536|37.538261|신용협동조합|031-794-5561|경기도 하남시 신장로 126||||||||동부신용협동조합 본점|(신장동) (신장동,동부신협빌딩)|||40303
동부신용협동조합|신장/지점|127.222748|37.540471|신용협동조합|031-793-5559|경기도 하남시 대청로 91||||||||동부신용협동조합 신장/지점|(신장동)|||40303
동부신용협동조합|덕풍/지점|127.203536|37.538261|신용협동조합|031-795-8001|경기도 하남시 수리북로 34||||||||동부신용협동조합 덕풍/지점|(덕풍동)|||40303
동수원신용협동조합|본점|127.032417|37.278422|신용협동조합|0312125900|경기도 수원시 팔달구 중부대로 130||||||||동수원신용협동조합 본점|(인계동)|||40303
동수원신용협동조합|이의/지점|127.033005|37.287388|신용협동조합|0312461464|경기도 수원시 영통구 광교로 152||||||||동수원신용협동조합 이의/지점|(이의동)동수원신협 광교지점|||40303
동수원신용협동조합|원천/지점|127.045907|37.274565|신용협동조합|0312158511|경기도 수원시 영통구 중부대로271번길 4||||||||동수원신용협동조합 원천/지점|(원천동)동수원신협 원천지점|||40303
동수원신용협동조합|망포/지점|127.055552|37.239599|신용협동조합|0312037138|경기도 수원시 영통구 영통로 135||||||||동수원신용협동조합 망포/지점|(망포동)동수원신협 영통지점|||40303
동수원신용협동조합|영통/지점|127.07499|37.254479|신용협동조합|0312065915|경기도 수원시 영통구 봉영로 1612||||||||동수원신용협동조합 영통/지점|(영통동)동수원신협 영통로지점|||40303
마장신용협동조합|본점|127.352337|37.253725|신용협동조합|031-632-8020|경기도 이천시 마장면오천로12번길 5||||||||마장신용협동조합 본점|(으뜸빌딩 1층)|||40303
미래신용협동조합|본점|126.914375|37.407032|신용협동조합|0314485577|경기도 안양시 만안구 안양로 407||||||||미래신용협동조합 본점|(안양동)미래신용협동조합 (본점)|||40303
미래신용협동조합|안양/지점|126.915166|37.393693|신용협동조합|0314473855|경기도 안양시 만안구 장내로 72||||||||미래신용협동조합 안양/지점|(안양동)미래신용협동조합 (안양4동지점)|||40303
미소신용협동조합|본점|126.733491|37.348382|신용협동조합|031-403-9390|경기도 시흥시 동서로 1091-4||||||||미소신용협동조합 본점|(조남동)1층|||40303
미소신용협동조합|장곡/지점|126.785147|37.378062|신용협동조합|031-318-1852|경기도 시흥시 진말로 7||||||||미소신용협동조합 장곡/지점|(장곡동)106호|||40303
미소신용협동조합|월곶/지점|126.73794|37.389621|신용협동조합|031-318-7071|경기도 시흥시 월곶중앙로 90||||||||미소신용협동조합 월곶/지점|(월곶동)1층|||40303
미소신용협동조합|하중/지점|126.805153|37.39387|신용협동조합|031-404-5096|경기도 시흥시 하중로 201||||||||미소신용협동조합 하중/지점|(하중동)1층|||40303
미소신용협동조합|정왕/지점|126.733491|37.348382|신용협동조합|031-497-5051|경기도 시흥시 정왕대로 174||||||||미소신용협동조합 정왕/지점|(정왕동)126호|||40303
미소신용협동조합|정왕/지점|126.730645|37.363052|신용협동조합|031-432-0014|경기도 시흥시 서울대학로278번길 43-7||||||||미소신용협동조합 정왕/지점|(정왕동)120호|||40303
믿음신용협동조합|의정부/지점|127.041873|37.734553|신용협동조합|031-855-5855|경기도 의정부시 신흥로207번길 27||||||||믿음신용협동조합 의정부/지점|(의정부동)|||40303
믿음신용협동조합|의정부/지점|127.050358|37.743267|신용협동조합|031-845-4983|경기도 의정부시 시민로 118||||||||믿음신용협동조합 의정부/지점|(의정부동)|||40303
믿음신용협동조합|호원/지점|127.048749|37.725898|신용협동조합|031-877-6678|경기도 의정부시 평화로 381||||||||믿음신용협동조합 호원/지점|(호원동)준원프라자 103호|||40303
믿음신용협동조합|가능/지점|127.042492|37.747027|신용협동조합|031-878-6364|경기도 의정부시 가능로 103||||||||믿음신용협동조합 가능/지점|(가능동)|||40303
믿음신용협동조합|본점|127.09575|37.745846|신용협동조합|031-853-2312|경기도 의정부시 오목로205번길 55||||||||믿음신용협동조합 본점|(민락동)109호,406호|||40303
반월신용협동조합|본점|126.901039|37.304359|신용협동조합|0314370117|경기도 안산시 상록구 남산평길 5||||||||반월신용협동조합 본점|(건건동)반월신협|||40303
반월신용협동조합|본오/지점|126.866428|37.287676|신용협동조합|0314090117|경기도 안산시 상록구 본오로 30||||||||반월신용협동조합 본오/지점|(본오동)반월신협|||40303
반월신용협동조합|팔곡이/지점|126.887927|37.297147|신용협동조합|0314375251|경기도 안산시 상록구 소학길 3||||||||반월신용협동조합 팔곡이/지점|(팔곡이동)반월신협|||40303
반월신용협동조합|본오/지점|126.872438|37.295589|신용협동조합|0314169117|경기도 안산시 상록구 각골로 67-1||||||||반월신용협동조합 본오/지점|(본오동)반월신협|||40303
반월신용협동조합|본오/지점|126.866808|37.295219|신용협동조합|0314175111|경기도 안산시 상록구 본오로 114||||||||반월신용협동조합 본오/지점|(본오동)반월신협|||40303
발안신용협동조합|본점|126.90915|37.131043|신용협동조합|0313525811|경기도 화성시 향남읍평3길 9||||||||발안신용협동조합 본점||||40303
발안신용협동조합|지점|126.922551|37.131387|신용협동조합|03180594111|경기도 화성시 향남읍발안로 116102호 ||||||||발안신용협동조합 지점||||40303
백암신용협동조합|본점|127.37305|37.16444|신용협동조합|031-339-8871|경기도 용인시 처인구 백암면근창로 15||||||||백암신용협동조합 본점||||40303
백암신용협동조합|지점|127.311091|37.165134|신용협동조합|031-339-8874|경기도 용인시 처인구 원삼면고당로 14||||||||백암신용협동조합 지점||||40303
병점신용협동조합|본점|127.034513|37.208301|신용협동조합|031-234-1321|경기도 화성시 효행로 1012||||||||병점신용협동조합 본점|(진안동)정현빌딩 2층|||40303
병점신용협동조합|진안/지점|127.034588|37.208158|신용협동조합|031-235-1323|경기도 화성시 경기대로 1039||||||||병점신용협동조합 진안/지점|(진안동)|||40303
병점신용협동조합|청계/지점|127.114898|37.200477|신용협동조합|031-376-1321|경기도 화성시 동탄대로시범길 148-22||||||||병점신용협동조합 청계/지점|(청계동)디스퀘어상가 106호|||40303
복사골신용협동조합|본점|126.793883|37.475362|신용협동조합|032-3498251|경기도 부천시 은성로 29||||||||복사골신용협동조합 본점|(소사본동)|||40303
복사골신용협동조합|송내/지점|126.752828|37.486722|신용협동조합|0326121882|경기도 부천시 송내대로27번길 16||||||||복사골신용협동조합 송내/지점|(송내동)|||40303
부천소망신용협동조합|본점|126.805681|37.480989|신용협동조합|0323430247|경기도 부천시 경인옛로 130||||||||부천소망신용협동조합 본점|(괴안동) (괴안동) 부천소망신협|||40303
북수원신용협동조합|본점|127.001351|37.292736|신용협동조합|031-255-9707|경기도 수원시 장안구 장안로 97||||||||북수원신용협동조합 본점|(정자동)|||40303
북수원신용협동조합|정자/지점|126.99854|37.293037|신용협동조합|031-255-0042|경기도 수원시 장안구 수성로261번길 81||||||||북수원신용협동조합 정자/지점|(정자동)|||40303
북수원신용협동조합|조원/지점|127.016147|37.300883|신용협동조합|031-251-0043|경기도 수원시 장안구 조원로 86||||||||북수원신용협동조합 조원/지점|(조원동)|||40303
분당신용협동조합|본점|127.131087|37.412209|신용협동조합|031-704-8551|경기도 성남시 분당구 장미로92번길 13-1||||||||분당신용협동조합 본점|(야탑동) (야탑동)|||40303
상록신용협동조합|본점|126.850813|37.333983|신용협동조합|031-487-9559|경기도 안산시 상록구 월피로 59||||||||상록신용협동조합 본점|(월피동)|||40303
상록신용협동조합|부곡/지점|126.863691|37.332933|신용협동조합|031-417-9559|경기도 안산시 상록구 부곡로 124||||||||상록신용협동조합 부곡/지점|(부곡동)101호 102호|||40303
상록신용협동조합|부곡/지점|126.859719|37.325656|신용협동조합|031-437-9559|경기도 안산시 상록구 부곡로 36||||||||상록신용협동조합 부곡/지점|(부곡동)|||40303
상록신용협동조합|사동/지점|126.850339|37.297023|신용협동조합|031-415-9559|경기도 안산시 상록구 석호로 187-1||||||||상록신용협동조합 사동/지점|(사동)|||40303
새안양신용협동조합|본점|126.921999|37.396069|신용협동조합|031-446-1101|경기도 안양시 만안구 장내로120번길 22||||||||새안양신용협동조합 본점|(안양동)|||40303
새안양신용협동조합|비산/지점|126.947492|37.403925|신용협동조합|031-384-1155|경기도 안양시 동안구 운곡로 15||||||||새안양신용협동조합 비산/지점|(비산동)|||40303
새오산신용협동조합|본점|127.064346|37.14956|신용협동조합|0313753751|경기도 오산시 성호대로 124||||||||새오산신용협동조합 본점|(원동)2층|||40303
새오산신용협동조합|오산/지점|127.068728|37.151699|신용협동조합|031-372-9842|경기도 오산시 오산로 278||||||||새오산신용협동조합 오산/지점|(오산동)|||40303
새오산신용협동조합|수청/지점|127.061874|37.162925|신용협동조합|031-375-3755|경기도 오산시 매홀로 71||||||||새오산신용협동조합 수청/지점|(수청동)상가|||40303
새오산신용협동조합|원동/지점|127.068709|37.144762|신용협동조합|031-375-0131|경기도 오산시 오산로 202||||||||새오산신용협동조합 원동/지점|(원동)|||40303
서수원신용협동조합|본점|126.969605|37.299658|신용협동조합|031-294-4627|경기도 수원시 장안구 서부로2135번길 42||||||||서수원신용협동조합 본점|(율전동) (율전동 304-12)|||40303
서수원신용협동조합|천천/지점|126.976255|37.300762|신용협동조합|031-271-0321|경기도 수원시 장안구 하률로30번길 45-2||||||||서수원신용협동조합 천천/지점|(천천동) (천천동 572-1)|||40303
서수원신용협동조합|구운/지점|126.97346|37.283359|신용협동조합|031-295-2951|경기도 수원시 권선구 일월천로16번길 6||||||||서수원신용협동조합 구운/지점|(구운동) (구운동 907-3)|||40303
선린신용협동조합|본점|127.208239|37.536745|신용협동조합|031-792-6818|경기도 하남시 하남대로777번길 75||||||||선린신용협동조합 본점|(신장동)선린신협 본점|||40303
선린신용협동조합|지점|127.211335|37.54063|신용협동조합|031-767-1101|경기도 광주시 퇴촌면산수로 1307선린신협 퇴촌지점 ||||||||선린신용협동조합 지점||||40303
선린신용협동조합|지점|127.253308|37.377804|신용협동조합|031-798-3999|경기도 광주시 오포읍양벌로 216선린신협 오포지점 ||||||||선린신용협동조합 지점||||40303
성남중앙신용협동조합|본점|127.138642|37.442804|신용협동조합|031-756-6181|경기도 성남시 수정구 수정로 168||||||||성남중앙신용협동조합 본점|(신흥동)|||40303
