##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@IBK기업은행
IBK기업은행|도당동지점|||IBK기업은행|032-675-8271~4|경기도 부천시 원미구 신흥로 347||||||||IBK기업은행 도당동지점||||40109
IBK기업은행|도당동기업금융지점|||IBK기업은행|032-680-8921|경기도 부천시 신흥로 347||||||||IBK기업은행 도당동기업금융지점|2층|||40109
IBK기업은행|도당중앙지점|||IBK기업은행|032--678-2510~4|경기도 부천시 원미구 부천로 323||||||||IBK기업은행 도당중앙지점||||40109
IBK기업은행|동두천지점|||IBK기업은행|031-859-6156~8|경기도 동두천시 동두천로 115||||||||IBK기업은행 동두천지점|중앙프라자2층|||40109
IBK기업은행|동수원지점|||IBK기업은행|031-239-6572|경기도 수원시 팔달구 권광로 213||||||||IBK기업은행 동수원지점||||40109
IBK기업은행|동수원기업금융지점|||IBK기업은행|031-210-1851|경기 수원시 팔달구 권광로 213||||||||IBK기업은행 동수원기업금융지점|2층|||40109
IBK기업은행|동시화지점|||IBK기업은행|031-432-4011∼5|경기도 안산시 단원구 지원로 107||||||||IBK기업은행 동시화지점|시화공단 5라 301호|||40109
IBK기업은행|동탄남지점|||IBK기업은행|031-8003-3100~5|경기 화성시 동탄솔빛로 64||||||||IBK기업은행 동탄남지점|(반송동)|||40109
IBK기업은행|동탄서지점|||IBK기업은행|031-8003-8103|경기도 화성시 동탄지성로 126||||||||IBK기업은행 동탄서지점||||40109
IBK기업은행|동탄역지점|||IBK기업은행|031-350-7871|경기 화성시 동탄대로 489||||||||IBK기업은행 동탄역지점|우성KTX타워|||40109
IBK기업은행|동탄중앙지점|||IBK기업은행|031-613-9830~1,4|경기 화성시 동탄반석로 156||||||||IBK기업은행 동탄중앙지점|반송동 93-9 동탄하이페리온 2층 (반송동,동탄하이페리온)|||40109
IBK기업은행|마석지점|||IBK기업은행|031-591-4673|경기도 남양주시 화도읍 창현로 63||||||||IBK기업은행 마석지점||||40109
IBK기업은행|명학지점|||IBK기업은행|031-448-1135~7|경기도 안양시 만안구 안양로 111||||||||IBK기업은행 명학지점|안양과학대학 벤처센터 1층|||40109
IBK기업은행|문산지점|||IBK기업은행|031-954-5804|경기 파주시 문산읍 사임당로 18||||||||IBK기업은행 문산지점||||40109
IBK기업은행|반월지점|||IBK기업은행|031-599-7901~6|경기도 안산시 단원구 동산로 63||||||||IBK기업은행 반월지점||||40109
IBK기업은행|반월MTV지점|||IBK기업은행|031-8086-8401|경기도 안산시 단원구 MTV5로 27||||||||IBK기업은행 반월MTV지점||||40109
IBK기업은행|반월공단지점|||IBK기업은행|031-491-6103|경기도 안산시 단원구 산단로 296||||||||IBK기업은행 반월공단지점||||40109
IBK기업은행|반월기업금융지점|||IBK기업은행|031-599-7991|경기도 안산시 단원구 동산로 63||||||||IBK기업은행 반월기업금융지점||||40109
IBK기업은행|반월서지점|||IBK기업은행|031-491-9945~9|경기 안산시 단원구 별망로 424||||||||IBK기업은행 반월서지점|(반월공단 17브럭 1호) (목내동)|||40109
IBK기업은행|반월성곡지점|||IBK기업은행|031-599-2400|경기 안산시 단원구 성곡로 176||||||||IBK기업은행 반월성곡지점|타원TAKRA|||40109
IBK기업은행|반월유통단지지점|||IBK기업은행|031-494-7946~8|경기도 안산시 단원구 산단로 348||||||||IBK기업은행 반월유통단지지점||||40109
IBK기업은행|반월중견기업센터|||IBK기업은행|031-412-0740~8|경기도 안산시 단원구 동산로 63||||||||IBK기업은행 반월중견기업센터|2층|||40109
IBK기업은행|반월중앙지점|||IBK기업은행|031-493-6012∼4|경기 안산시 단원구 동산로 57||||||||IBK기업은행 반월중앙지점|(원시동)|||40109
IBK기업은행|반월중앙기업금융지점|||IBK기업은행|031-479-8881|경기도 안산시 단원구 동산로 57||||||||IBK기업은행 반월중앙기업금융지점|2층|||40109
IBK기업은행|반월하이테크지점|||IBK기업은행|031-494-3903|경기도 안산시 단원구 산단로 278||||||||IBK기업은행 반월하이테크지점||||40109
IBK기업은행|발안산단지점|||IBK기업은행|031-366-0961~3|경기 화성시 향남읍 발안공단로2길 38||||||||IBK기업은행 발안산단지점|(하길리)|||40109
IBK기업은행|범계역지점|||IBK기업은행|031-429-4060∼2|경기도 안양시 동안구 시민대로 132||||||||IBK기업은행 범계역지점||||40109
IBK기업은행|부천지점|||IBK기업은행|032-329-5532-7|경기 부천시 신흥로 167||||||||IBK기업은행 부천지점|(신영빌딩)|||40109
IBK기업은행|부천내동지점|||IBK기업은행|032-620-1501|경기도 부천시 오정구 삼작로 155||||||||IBK기업은행 부천내동지점|(내동,나이스빌딩)|||40109
IBK기업은행|부천쌍용3차지점|||IBK기업은행|032-624-2581~5|경기도 부천시 오정구 석천로 397부천테크노파크쌍용3차 203동205호 ||||||||IBK기업은행 부천쌍용3차지점||||40109
IBK기업은행|부천테크노지점|||IBK기업은행|032-621-1241~4|경기도 부천시 오정구 삼작로 22||||||||IBK기업은행 부천테크노지점||||40109
IBK기업은행|분당미금역지점|||IBK기업은행|031-726-7172∼6|경기도 성남시 분당구 성남대로 165||||||||IBK기업은행 분당미금역지점|천사의도시 1차 오피스텔 1층|||40109
IBK기업은행|분당서현역지점|||IBK기업은행|031-708-6211∼4|경기도 성남시 분당구 황새울로360번길 29||||||||IBK기업은행 분당서현역지점||||40109
IBK기업은행|분당수내역지점|||IBK기업은행|031-786-1461|경기도 성남시 분당구 황새울로 216||||||||IBK기업은행 분당수내역지점||||40109
IBK기업은행|분당야탑역지점|||IBK기업은행|031-707-0071∼4|경기도 성남시 분당구 성남대로 926||||||||IBK기업은행 분당야탑역지점||||40109
IBK기업은행|분당정자역지점|||IBK기업은행|031-782-3930~4|경기도 성남시 분당구 성남대로331번길 8||||||||IBK기업은행 분당정자역지점|킨스타워빌딩 2층|||40109
IBK기업은행|분당파크뷰지점|||IBK기업은행|031-783-2500∼5|경기도 성남시 분당구 정자일로 248||||||||IBK기업은행 분당파크뷰지점|파크뷰오피스타워 1층|||40109
IBK기업은행|산본역지점|||IBK기업은행|031-397-4500∼2|경기 군포시 번영로 505||||||||IBK기업은행 산본역지점|2층 (산본동,대우디오플러스)|||40109
IBK기업은행|삼송테크노지점|||IBK기업은행|02-3146-7301|경기 고양시 덕양구 통일로 140||||||||IBK기업은행 삼송테크노지점|삼송테크노밸리B동 1층|||40109
IBK기업은행|삼정동지점|||IBK기업은행|032-683-3920~3|경기도 부천시 오정구 오정로 47||||||||IBK기업은행 삼정동지점||||40109
IBK기업은행|상동역지점|||IBK기업은행|032-328-8633~4|경기도 부천시 원미구 상동로 87||||||||IBK기업은행 상동역지점||||40109
IBK기업은행|상록수지점|||IBK기업은행|031-418-0251∼3|경기 안산시 상록구 본삼로 49||||||||IBK기업은행 상록수지점|(본오동)|||40109
IBK기업은행|상수도사업소(出)지점|||IBK기업은행|031-232-9944|경기도 수원시 장안구 광교산길 119||||||||IBK기업은행 상수도사업소(出)지점||||40109
IBK기업은행|서시화지점|||IBK기업은행|031-496-8644∼8|경기도 시흥시 옥구천동로 130||||||||IBK기업은행 서시화지점|시화공단 2라 601호|||40109
IBK기업은행|서시화기업금융지점|||IBK기업은행|031-8085-2191|경기도 시흥시 옥구천동로 130||||||||IBK기업은행 서시화기업금융지점|2층|||40109
IBK기업은행|서정리역지점|||IBK기업은행|031-667-7930~1|경기도 평택시 정암로 41||||||||IBK기업은행 서정리역지점|미성빌딩 1층|||40109
IBK기업은행|서판교지점|||IBK기업은행|031-8017-0381~6|경기도 성남시 분당구 운중로 131||||||||IBK기업은행 서판교지점||||40109
IBK기업은행|선부동지점|||IBK기업은행|031-414-3050∼4|경기 안산시 단원구 선부광장1로 92||||||||IBK기업은행 선부동지점||||40109
IBK기업은행|성남지점|||IBK기업은행|031-742-0050∼4|경기도 성남시 수정구 산성대로 277||||||||IBK기업은행 성남지점||||40109
IBK기업은행|성남IT지점|||IBK기업은행|031-741-6841~5|경기도 성남시 중원구 갈마치로 215||||||||IBK기업은행 성남IT지점||||40109
IBK기업은행|성남디지털지점|||IBK기업은행|031-750-0271~6|경기도 성남시 중원구 갈마치로 302||||||||IBK기업은행 성남디지털지점||||40109
IBK기업은행|성남테크노지점|||IBK기업은행|031-745-4781~5|경기 성남시 중원구 사기막골로 124||||||||IBK기업은행 성남테크노지점|(상대원동)|||40109
IBK기업은행|성남하이테크지점|||IBK기업은행|031-743-3384∼7|경기도 성남시 중원구 둔촌대로457번길 8||||||||IBK기업은행 성남하이테크지점||||40109
IBK기업은행|소사지점|||IBK기업은행|032-349-9001∼5|경기도 부천시 소사구 경인로 340||||||||IBK기업은행 소사지점||||40109
IBK기업은행|소사본동지점|||IBK기업은행|032-341-6831∼2,8,9|경기도 부천시 소사구 소사동로 82||||||||IBK기업은행 소사본동지점||||40109
IBK기업은행|소하동지점|||IBK기업은행|02-897-8791∼5|경기도 광명시 오리로 378||||||||IBK기업은행 소하동지점||||40109
IBK기업은행|송내동지점|||IBK기업은행|032-657-1981~5|경기도 부천시 소사구 경인로 124||||||||IBK기업은행 송내동지점||||40109
IBK기업은행|송내역지점|||IBK기업은행|032-325-9841~2|경기도 부천시 원미구 부일로 203||||||||IBK기업은행 송내역지점||||40109
IBK기업은행|송우지점|||IBK기업은행|031-541-1963~4|경기도 포천시 소흘읍 솔모루로 22-8||||||||IBK기업은행 송우지점||||40109
IBK기업은행|송탄지점|||IBK기업은행|031-662-9771∼4|경기도 평택시 관광특구로 23||||||||IBK기업은행 송탄지점||||40109
IBK기업은행|수원지점|||IBK기업은행|031-241-5160∼8|경기도 수원시 팔달구 정조로 759||||||||IBK기업은행 수원지점||||40109
IBK기업은행|수원고색지점|||IBK기업은행|031-278-1093-6|경기도 수원시 권선구 오목천로152번길 40||||||||IBK기업은행 수원고색지점||||40109
IBK기업은행|수원도로교통관리사업소(出)지점|||IBK기업은행|031-295-7711|경기도 수원시 권선구 서부로 1600||||||||IBK기업은행 수원도로교통관리사업소(出)지점||||40109
IBK기업은행|수원시청(出)지점|||IBK기업은행|031-236-2064|경기도 수원시 팔달구 효원로 241||||||||IBK기업은행 수원시청(出)지점||||40109
IBK기업은행|수지지점|||IBK기업은행|031-266-0182∼5|경기도 용인시 수지구 포은대로 410||||||||IBK기업은행 수지지점|샤르망오피스텔 103호|||40109
IBK기업은행|수지동천역지점|||IBK기업은행|031-270-4901|경기도 용인시 수지구 신수로 767||||||||IBK기업은행 수지동천역지점||||40109
IBK기업은행|시화지점|||IBK기업은행|031-389-4001|경기도 시흥시 정왕천로 155||||||||IBK기업은행 시화지점|(시화공단3라 402호)|||40109
IBK기업은행|시화MTV지점|||IBK기업은행|031-460-8801|경기 시흥시 시화벤처로 212||||||||IBK기업은행 시화MTV지점||||40109
IBK기업은행|시화공단지점|||IBK기업은행|031-432-7011∼5|경기도 시흥시 공단1대로 229||||||||IBK기업은행 시화공단지점||||40109
IBK기업은행|시화공단WM센터|||IBK기업은행|031-433-4652~3|경기도 시흥시 공단1대로 229||||||||IBK기업은행 시화공단WM센터||||40109
IBK기업은행|시화공단기업금융지점|||IBK기업은행|031-489-1511|경기도 시흥시 공단1대로 229||||||||IBK기업은행 시화공단기업금융지점|2층|||40109
IBK기업은행|시화옥구지점|||IBK기업은행|031-8041-3102~5|경기도 시흥시 서해안로 242||||||||IBK기업은행 시화옥구지점|시화공단 1나 208블록 시화하이테크 1층|||40109
IBK기업은행|시화중앙지점|||IBK기업은행|031-434-7391-5|경기도 시흥시 정왕천로 197||||||||IBK기업은행 시화중앙지점||||40109
IBK기업은행|시화철강단지지점|||IBK기업은행|031-8041-9802|경기도 시흥시 서해안로 81-44||||||||IBK기업은행 시화철강단지지점||||40109
IBK기업은행|시흥지점|||IBK기업은행|031-318-6231~6|경기도 시흥시 비둘기공원4길 13||||||||IBK기업은행 시흥지점|유호N플러스빌 1층|||40109
IBK기업은행|시흥능곡지점|||IBK기업은행|031-435-1740~2|경기도 시흥시 승지로 59번길 8||||||||IBK기업은행 시흥능곡지점||||40109
IBK기업은행|신고잔지점|||IBK기업은행|031-475-3131-6|경기 안산시 단원구 광덕대로 145||||||||IBK기업은행 신고잔지점|(고잔동)|||40109
IBK기업은행|신안산대학교/가변점포지점|||IBK기업은행|031-491-8551~2|경기도 안산시 단원구 신안산대학로 135||||||||IBK기업은행 신안산대학교/가변점포지점||||40109
IBK기업은행|안산지점|||IBK기업은행|031-484-0141∼4|경기 안산시 단원구 화랑로 107||||||||IBK기업은행 안산지점|(라성호텔)|||40109
IBK기업은행|안산외환송금센터(出)지점|||IBK기업은행|031-508-3032|경기도 안산시 단원구 부부로 43||||||||IBK기업은행 안산외환송금센터(出)지점||||40109
IBK기업은행|안산중앙지점|||IBK기업은행|031-414-6101∼2|경기 안산시 단원구 적금로 126||||||||IBK기업은행 안산중앙지점|(고잔동)|||40109
IBK기업은행|안성지점|||IBK기업은행|031-673-7131∼4|경기도 안성시 장기로 8||||||||IBK기업은행 안성지점|삼원빌딩 1층|||40109
IBK기업은행|안양지점|||IBK기업은행|031-443-3971∼80|경기도 안양시 만안구 안양로 345||||||||IBK기업은행 안양지점||||40109
IBK기업은행|양주지점|||IBK기업은행|031-866-3025-8|경기도 양주시 평화로 1565||||||||IBK기업은행 양주지점||||40109
IBK기업은행|양주고읍지점|||IBK기업은행|031-856-8830~2|경기도 양주시 고읍남로 6-6||||||||IBK기업은행 양주고읍지점|해동센트럴타워 201호|||40109
IBK기업은행|역곡지점|||IBK기업은행|032-344-8001∼5|경기도 부천시 소사구 경인로 516||||||||IBK기업은행 역곡지점||||40109
IBK기업은행|영통지점|||IBK기업은행|031-206-2700∼3|경기도 수원시 영통구 덕영대로 1541||||||||IBK기업은행 영통지점|송이빌딩2층|||40109
IBK기업은행|영통구청(出)지점|||IBK기업은행|031-214-2288|경기도 수원시 영통구 효원로 407||||||||IBK기업은행 영통구청(出)지점||||40109
IBK기업은행|영통대로지점|||IBK기업은행|031-204-3756~8|경기도 수원시 영통구 봉영로 1620||||||||IBK기업은행 영통대로지점||||40109
IBK기업은행|영통신동지점|||IBK기업은행|031-695-5872~4|경기도 수원시 영통구 신원로 88||||||||IBK기업은행 영통신동지점||||40109
IBK기업은행|오산지점|||IBK기업은행|031-376-9955|경기도 오산시 성호대로 129||||||||IBK기업은행 오산지점|대신증권빌딩 1층|||40109
IBK기업은행|오산기업금융지점|||IBK기업은행|031-350-7821|경기도 오산시 성호대로 129||||||||IBK기업은행 오산기업금융지점|4층|||40109
IBK기업은행|오산남지점|||IBK기업은행|031-378-6793|경기도 오산시 남부대로 327||||||||IBK기업은행 오산남지점||||40109
IBK기업은행|오포지점|||IBK기업은행|031-765-9502~4|경기도 광주시 오포읍 오포로 531||||||||IBK기업은행 오포지점||||40109
IBK기업은행|용인지점|||IBK기업은행|031-336-8321∼5|경기도 용인시 처인구 금령로 64||||||||IBK기업은행 용인지점||||40109
IBK기업은행|용인동백지점|||IBK기업은행|031-693-6961~6|경기 용인시 기흥구 동백5로 21-11||||||||IBK기업은행 용인동백지점|(중동)|||40109
IBK기업은행|용인서천동지점|||IBK기업은행|031-273-7091~5||경기도 용인시 기흥구 서천동 814|||||||IBK기업은행 용인서천동지점||||40109
IBK기업은행|원종동지점|||IBK기업은행|032-676-8818~9|경기도 부천시 오정구 소사로 708||||||||IBK기업은행 원종동지점||||40109
IBK기업은행|원천동지점|||IBK기업은행|031-216-4211~2|경기도 수원시 영통구 신원로 306||||||||IBK기업은행 원천동지점||||40109
IBK기업은행|위례지점|||IBK기업은행|031-725-8901|경기도 성남시 수정구 위례광장로 104||||||||IBK기업은행 위례지점|2층|||40109
IBK기업은행|의왕지점|||IBK기업은행|031-450-6600-5|경기도 의왕시 경수대로 257||||||||IBK기업은행 의왕지점||||40109
IBK기업은행|의정부지점|||IBK기업은행|031-875-8501∼6|경기도 의정부시 시민로 21||||||||IBK기업은행 의정부지점||||40109
IBK기업은행|이천지점|||IBK기업은행|031-632-0771|경기도 이천시 중리천로 98||||||||IBK기업은행 이천지점||||40109
IBK기업은행|인덕원지점|||IBK기업은행|031-424-3721∼4|경기도 안양시 동안구 흥안대로 533||||||||IBK기업은행 인덕원지점||||40109
IBK기업은행|일산MBC드림센터(出)지점|||IBK기업은행|031-907-3903~5|||||||||IBK기업은행 일산MBC드림센터(出)지점|Janghang-dong,Ilsandong-gu,Goyang-si,Gyeonggi-do,Korea|||40109
IBK기업은행|일산WM센터|||IBK기업은행|031-960-4710~1|경기 고양시 일산동구 중앙로 1168||||||||IBK기업은행 일산WM센터|4층|||40109
IBK기업은행|일산덕이지점|||IBK기업은행|031-810-1100~6|경기 고양시 일산서구 경의로 886||||||||IBK기업은행 일산덕이지점||||40109
IBK기업은행|일산마두지점|||IBK기업은행|031-906-5700∼4|경기도 고양시 일산동구 중앙로 1168||||||||IBK기업은행 일산마두지점||||40109
IBK기업은행|일산병원(出)지점|||IBK기업은행|031-906-5710~3|경기도 고양시 일산동구 일산로 100||||||||IBK기업은행 일산병원(出)지점||||40109
IBK기업은행|일산성석지점|||IBK기업은행|031-977-9502~4|경기도 고양시 일산동구 성현로 163||||||||IBK기업은행 일산성석지점||||40109
IBK기업은행|일산웨스턴돔지점|||IBK기업은행|031-931-5204|경기도 고양시 일산동구 정발산로 24||||||||IBK기업은행 일산웨스턴돔지점|웨스턴돔 A동207호|||40109
IBK기업은행|일산장항지점|||IBK기업은행|031-905-0951~2,7~8|경기도 고양시 일산동구 장항로 291||||||||IBK기업은행 일산장항지점||||40109
IBK기업은행|일산주엽지점|||IBK기업은행|031-922-3200∼4|경기도 고양시 일산서구 중앙로 1406||||||||IBK기업은행 일산주엽지점||||40109
IBK기업은행|일산중앙지점|||IBK기업은행|031-932-2791∼5|경기도 고양시 일산동구 중앙로 1317||||||||IBK기업은행 일산중앙지점||||40109
IBK기업은행|일산풍동지점|||IBK기업은행|031-932-8132|경기도 고양시 일산동구 숲속마을로 44||||||||IBK기업은행 일산풍동지점||||40109
IBK기업은행|장안구청(出)지점|||IBK기업은행|031-251-4041|경기도 수원시 장안구 송원로 101||||||||IBK기업은행 장안구청(出)지점||||40109
IBK기업은행|정왕동지점|||IBK기업은행|031-433-8338|경기도 시흥시 마유로 320||||||||IBK기업은행 정왕동지점||||40109
IBK기업은행|죽전지점|||IBK기업은행|031-896-3311,4131~3|경기도 용인시 기흥구 죽전로 47||||||||IBK기업은행 죽전지점||||40109
IBK기업은행|진접지점|||IBK기업은행|031-527-1978|경기도 남양주시 진접읍 해밀예당1로 36||||||||IBK기업은행 진접지점||||40109
IBK기업은행|천천동(出)지점|||IBK기업은행|031-248-8900~2|경기도 수원시 장안구 덕영대로 559||||||||IBK기업은행 천천동(出)지점||||40109
IBK기업은행|춘의테크노지점|||IBK기업은행|032-623-0792~5|경기도 부천시 원미구 부천로198번길 18||||||||IBK기업은행 춘의테크노지점||||40109
IBK기업은행|태전동지점|||IBK기업은행|031-798-8224~6|경기도 광주시 태봉로 35||||||||IBK기업은행 태전동지점||||40109
IBK기업은행|파주지점|||IBK기업은행|031-944-4323∼7|경기도 파주시 중앙로 328||||||||IBK기업은행 파주지점|(금촌동,MH타워 2층)|||40109
IBK기업은행|파주광탄지점|||IBK기업은행|031-8071-1501~5|경기도 파주시 광탄면 혜음로1141번길 3||||||||IBK기업은행 파주광탄지점||||40109
IBK기업은행|파주교하지점|||IBK기업은행|031-949-8691~5|경기 파주시 청석로 272||||||||IBK기업은행 파주교하지점|(동패동)|||40109
IBK기업은행|파주운정지점|||IBK기업은행|031-8071-5324-6|경기 파주시 미래로 610||||||||IBK기업은행 파주운정지점|(와동동,운정메디컬프라자)|||40109
IBK기업은행|파주출판도시(出)지점|||IBK기업은행|031-957-2837~8|경기 파주시 회동길 145||||||||IBK기업은행 파주출판도시(出)지점||||40109
IBK기업은행|파주헤이리지점|||IBK기업은행|031-8071-3473~6|경기도 파주시 탄현면 평화로 885-24||||||||IBK기업은행 파주헤이리지점||||40109
IBK기업은행|판교WM센터|||IBK기업은행|031-776-1401|경기도 성남시 분당구 대왕판교로 660||||||||IBK기업은행 판교WM센터||||40109
IBK기업은행|판교테크노밸리지점|||IBK기업은행|031-8017-7813~5||경기도 성남시 분당구 삼평동 670|||||||IBK기업은행 판교테크노밸리지점|유스페이스1 A동 101호|||40109
IBK기업은행|팔달구청(出)지점|||IBK기업은행|031-248-3181|경기 수원시 팔달구 창룡대로 23||||||||IBK기업은행 팔달구청(出)지점||||40109
IBK기업은행|평촌지점|||IBK기업은행|031-386-0961∼5|경기도 안양시 동안구 시민대로 290||||||||IBK기업은행 평촌지점||||40109
IBK기업은행|평촌IT지점|||IBK기업은행|031-463-4131~6|경기도 안양시 동안구 학의로 282||||||||IBK기업은행 평촌IT지점|금강펜테리움 IT타워 B동|||40109
IBK기업은행|평촌남지점|||IBK기업은행|031-478-5790~7|경기도 안양시 동안구 흥안대로 415||||||||IBK기업은행 평촌남지점|두산벤처다임|||40109
IBK기업은행|평촌아크로타워지점|||IBK기업은행|031-478-7802~6|경기도 안양시 동안구 시민대로 230||||||||IBK기업은행 평촌아크로타워지점|대림아크로타워 2층|||40109
IBK기업은행|평촌중앙지점|||IBK기업은행|031-478-7781|경기도 안양시 동안구 시민대로 260||||||||IBK기업은행 평촌중앙지점||||40109
IBK기업은행|평촌테크노지점|||IBK기업은행|031-426-2561|경기도 안양시 동안구 시민대로 401||||||||IBK기업은행 평촌테크노지점||||40109
IBK기업은행|평택지점|||IBK기업은행|031-655-9131∼4|경기도 평택시 중앙로 15||||||||IBK기업은행 평택지점||||40109
IBK기업은행|평택비전동지점|||IBK기업은행|031-658-6192|경기도 평택시 경기대로 271||||||||IBK기업은행 평택비전동지점||||40109
IBK기업은행|포승공단지점|||IBK기업은행|031-686-5800~4|경기도 평택시 포승읍 평택항로 180||||||||IBK기업은행 포승공단지점||||40109
IBK기업은행|포천지점|||IBK기업은행|031-535-8991∼5|경기도 포천시 중앙로 139||||||||IBK기업은행 포천지점||||40109
IBK기업은행|하남지점|||IBK기업은행|031-796-1103∼5|경기도 하남시 하남대로 843||||||||IBK기업은행 하남지점||||40109
IBK기업은행|하남센텀지점|||IBK기업은행|031-728-7600|경기도 하남시 조정대로 45||||||||IBK기업은행 하남센텀지점||||40109
IBK기업은행|하남풍산지점|||IBK기업은행|031-790-4072~4|경기도 하남시 조정대로 150||||||||IBK기업은행 하남풍산지점|아파트형공장ITECO 101호|||40109
IBK기업은행|하안동지점|||IBK기업은행|02-894-7671~3|경기 광명시 하안로 287||||||||IBK기업은행 하안동지점|(하안동)|||40109
