##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@하이투자증권
하이투자증권|대전지점|127.38987|36.352537|하이투자증권|042-366-2100|대전광역시 서구 문예로 65|대전광역시 서구 둔산동 1506|||||||하이투자증권 대전지점|대광빌딩 1층;대광빌딩 1층|||40526
하이투자증권|대구WM센터|128.615009|35.859303|하이투자증권|053-230-2100|대구광역시 수성구 달구벌대로 2310|대구광역시 수성구 수성동2가 118|||||||하이투자증권 대구WM센터|대구은행본점 2층 하이투자증권;대구은행본점 2층 하이투자증권|||40526
하이투자증권|월배지점|128.526264|35.815065|하이투자증권|053-280-2100|대구광역시 달서구 월배로 109|대구광역시 달서구 진천동 530-8|||||||하이투자증권 월배지점|2층 하이투자증권;2층 하이투자증권|||40526
하이투자증권|창원지점|128.679971|35.228117|하이투자증권|055-608-8100|경상남도 창원시 의창구 원이대로 591|경상남도 창원시 용호동 73-44|||||||하이투자증권 창원지점|엑스플러스빌딩1,2층;엑스플러스빌딩1,2층|||40526
하이투자증권|김해지점|128.867571|35.237368|하이투자증권|055-332-8201|경상남도 김해시 내외중앙로 84|경상남도 김해시 내동 1140-3|||||||하이투자증권 김해지점|서울 메디컬센터2층 201호;서울 메디컬센터2층 201호|||40526
하이투자증권|양산지점|129.027755|35.337435|하이투자증권|055-911-2100|경상남도 양산시 양산역6길 17|경상남도 양산시 중부동 687-3|||||||하이투자증권 양산지점|청림타워 2층;청림타워 2층|||40526
하이투자증권|통영지점|128.428816|34.851895|하이투자증권|055-991-4900|경상남도 통영시 중앙로 242|경상남도 통영시 북신동 95-10|||||||하이투자증권 통영지점|통영상공회의소 사옥 2층;통영상공회의소 사옥 2층|||40526
하이투자증권|영업부|129.084728|35.221467|하이투자증권|051-969-6100|부산광역시 동래구 온천장로 121|부산광역시 동래구 온천1동 153-10|||||||하이투자증권 영업부||||40526
하이투자증권|구포지점|129.007297|35.210344|하이투자증권|051-341-5111~4|부산광역시 북구 만덕대로 20|부산광역시 북구 덕천2동 401-2|||||||하이투자증권 구포지점||||40526
하이투자증권|하단지점|128.967186|35.105907|하이투자증권|051-208-3111|부산광역시 사하구 낙동남로 1422|부산광역시 사하구 하단동 589-16|||||||하이투자증권 하단지점||||40526
하이투자증권|중앙지점|129.035502|35.102048|하이투자증권|051-922-7900|부산광역시 중구 해관로 35|부산광역시 중구 중앙동2가 50-9|||||||하이투자증권 중앙지점||||40526
하이투자증권|서면지점|129.058403|35.157147|하이투자증권|051-998-7100|부산광역시 부산진구 중앙대로 723|부산광역시 진구 부전2동 257-31|||||||하이투자증권 서면지점||||40526
하이투자증권|센텀지점|129.133442|35.167141|하이투자증권|051-940-9900|부산광역시 해운대구 센텀3로 26|부산광역시 해운대구 우동 1506|||||||하이투자증권 센텀지점|3층 (우동,센텀스퀘어);센텀스퀘어 3층|||40526
하이투자증권|구서지점|129.090974|35.256173|하이투자증권|051-514-7111|부산광역시 금정구 중앙대로 1925|부산광역시 금정구 구서2동 184-3|||||||하이투자증권 구서지점||||40526
하이투자증권|울산지점|129.336791|35.539511|하이투자증권|052-920-2100|울산광역시 남구 삼산로 273|울산광역시 남구 삼산동 1526-9|||||||하이투자증권 울산지점|삼산타워3층;삼산타워3층|||40526
하이투자증권|전하동지점|129.430975|35.522955|하이투자증권|052-902-6100|울산광역시 동구 명덕로 10|울산광역시 동구 서부동 110-1|||||||하이투자증권 전하동지점|현대예술관 금융동 2층,3층;현대예술관 금융동 2층,3층|||40526
하이투자증권|현중영업소|129.434575|35.520190|하이투자증권|052-252-6111|울산광역시 동구 방어진순환도로 1000|울산광역시 동구 전하동 1|||||||하이투자증권 현중영업소|현대중공업 신본관 1층;현대중공업 신본관 1층|||40526
하이투자증권|남목지점|129.426796|35.539503|하이투자증권|052-902-3100|울산광역시 동구 옥류로 3|울산광역시 동구 서부동 315-29|||||||하이투자증권 남목지점|동진빌딩 5층;동진빌딩 5층|||40526
하이투자증권|동울산지점|129.430322|35.5118008|하이투자증권|052-901-6100|울산광역시 동구 방어진순환도로 785|울산광역시 동구 전하동 621-2|||||||하이투자증권 동울산지점|스타타워 3층;스타타워 3층|||40526
하이투자증권|목포지점|126.379405|34.744954|하이투자증권|061-983-2100|전라남도 영암군 삼호읍 신항로 63-12|전라남도 영암군 삼호읍 용당리 2178-2|||||||하이투자증권 목포지점|한마음회관 1층;한마음회관 1층|||40526
