##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@전북은행
전북은행|판교지점|||전북은행|031-8017-7911|경기도 성남시 분당구 대왕판교로 606번길 47||||||||전북은행 판교지점|None;에스지타워 203호|||40206
전북은행|경원동지점|||전북은행|063-288-4011|전라북도 전주시 완산구 팔달로 208||||||||전북은행 경원동지점|None|||40206
전북은행|경장동지점|||전북은행|063-445-6111|전라북도 군산시 경암로 6||||||||전북은행 경장동지점|None|||40206
전북은행|고봉로지점|||전북은행|063-857-8761|전라북도 익산시 서동로 123||||||||전북은행 고봉로지점|None|||40206
전북은행|고창지점|||전북은행|063-564-2555|전라북도 고창군 고창읍 중앙로 202||||||||전북은행 고창지점|None|||40206
전북은행|군산지점|||전북은행|063-445-7141|전라북도 군산시 동령길 30||||||||전북은행 군산지점|None|||40206
전북은행|군산대지점|||전북은행|063-464-1600|전라북도 군산시 대학로 558||||||||전북은행 군산대지점|None|||40206
전북은행|금암지점|||전북은행|063-254-1936|전라북도 전주시 덕진구 가리내로 5||||||||전북은행 금암지점|None|||40206
전북은행|김제지점|||전북은행|063-547-3171|전라북도 김제시 화동길 33||||||||전북은행 김제지점|None|||40206
전북은행|나운동지점|||전북은행|063-466-3356|전라북도 군산시 대학로 268||||||||전북은행 나운동지점|None|||40206
전북은행|남문지점|||전북은행|063-288-0171|전라북도 전주시 완산구 풍남문2길 5||||||||전북은행 남문지점|None|||40206
전북은행|남원지점|||전북은행|063-632-2881|전라북도 남원시 시청로 50||||||||전북은행 남원지점|None|||40206
전북은행|동산동지점|||전북은행|063-212-6363|전라북도 전주시 덕진구 쪽구름로 54-1||||||||전북은행 동산동지점|None|||40206
전북은행|따뜻한금융클리닉전주센터지점|||전북은행|063-288-9533|전북 전주시 완산구 팔달로 216||||||||전북은행 따뜻한금융클리닉전주센터지점|None|||40206
전북은행|만성법조타운지점|||전북은행|063-213-0078|전주시 덕진구 만성로 128||||||||전북은행 만성법조타운지점|None|||40206
전북은행|모래내지점|||전북은행|063-252-9481|전라북도 전주시 덕진구 안덕원로 169||||||||전북은행 모래내지점|None|||40206
전북은행|모현동지점|||전북은행|063-841-8280|전라북도 익산시 배산로16길 36||||||||전북은행 모현동지점|None|||40206
전북은행|무주지점|||전북은행|063-324-5210|전라북도 무주군 무주읍 주계로7길 10||||||||전북은행 무주지점|None|||40206
전북은행|미장동지점|||전북은행|063-452-6762|전라북도 군산시 수송로 291||||||||전북은행 미장동지점|None|||40206
전북은행|부안지점|||전북은행|063-583-5121|전라북도 부안군 부안읍 석정로 200||||||||전북은행 부안지점|None|||40206
전북은행|삼천동지점|||전북은행|063-224-8211|전라북도 전주시 완산구 용리로 140||||||||전북은행 삼천동지점|None|||40206
전북은행|상공회의소지점|||전북은행|063-237-0852|전라북도 전주시 완산구 홍산로 276||||||||전북은행 상공회의소지점|None|||40206
전북은행|서곡지점|||전북은행|063-273-6211|전라북도 전주시 완산구 세내로 556||||||||전북은행 서곡지점|None|||40206
전북은행|서나운지점|||전북은행|063-465-8151|전라북도 군산시 하나운로 72||||||||전북은행 서나운지점|None|||40206
전북은행|서신동지점|||전북은행|063-272-1252|전라북도 전주시 완산구 서신로 62||||||||전북은행 서신동지점|None;지리산 빌딩|||40206
전북은행|서진로지점|||전북은행|063-229-1975|전라북도 전주시 완산구 유연로 294||||||||전북은행 서진로지점|None|||40206
전북은행|소룡동지점|||전북은행|063-463-0014|전라북도 군산시 공단대로 579||||||||전북은행 소룡동지점|None|||40206
전북은행|솔내지점|||전북은행|063-251-0254|전라북도 전주시 덕진구 송천중앙로 181||||||||전북은행 솔내지점|None|||40206
전북은행|송천동지점|||전북은행|063-276-9172|전라북도 전주시 덕진구 송천로 27||||||||전북은행 송천동지점|None|||40206
전북은행|수송동지점|||전북은행|063-464-5981|전라북도 군산시 월명로 205||||||||전북은행 수송동지점|None|||40206
전북은행|순창지점|||전북은행|063-653-9911|전라북도 순창군 순창읍 순창로 218||||||||전북은행 순창지점|None|||40206
전북은행|아중지점|||전북은행|063-245-0066|전라북도 전주시 덕진구 석소로 34||||||||전북은행 아중지점|None|||40206
전북은행|안골지점|||전북은행|063-245-6712|전라북도 전주시 덕진구 안덕원로 265||||||||전북은행 안골지점|None|||40206
전북은행|안행교지점|||전북은행|063-223-7211|전라북도 전주시 완산구 용머리로 54||||||||전북은행 안행교지점|None|||40206
전북은행|에코시티지점|||전북은행|063-274-7090|전북 전주시 덕진구 세병남로 35||||||||전북은행 에코시티지점|None|||40206
전북은행|영등동지점|||전북은행|063-834-0091|전라북도 익산시 무왕로13길 12||||||||전북은행 영등동지점|주차빌딩;주차빌딩|||40206
전북은행|영업부지점|||전북은행|063-250-7114|전라북도 전주시 덕진구 백제대로 566||||||||전북은행 영업부지점|None;전북은행빌딩|||40206
전북은행|완주군청지점|||전북은행|063-247-7310|전라북도 완주군 용진면 지암로 61||||||||전북은행 완주군청지점|None|||40206
전북은행|완주산단지점|||전북은행|063-263-8114|전라북도 완주군 봉동읍 과학로 1033||||||||전북은행 완주산단지점|None;(덕연빌딩 2층)|||40206
전북은행|우석대지점|||전북은행|063-291-4142|전라북도 전주시 완주군 삼례읍 삼례로 443||||||||전북은행 우석대지점|None|||40206
전북은행|우아동지점|||전북은행|063-241-3533|전라북도 전주시 덕진구 백제대로 777||||||||전북은행 우아동지점|None|||40206
전북은행|원광지점|||전북은행|063-857-1586|전라북도 익산시 무왕로 893||||||||전북은행 원광지점|None|||40206
전북은행|익산지점|||전북은행|063-855-9891|전라북도 익산시 중앙로5길 10||||||||전북은행 익산지점|None|||40206
전북은행|익산공단지점|||전북은행|063-833-9116|전라북도 익산시 약촌로 156||||||||전북은행 익산공단지점|수출자유지역 B-1;수출자유지역 B-1|||40206
전북은행|인화동지점|||전북은행|063-851-0811|전라북도 익산시 인북로 28-6||||||||전북은행 인화동지점|None|||40206
전북은행|장승로지점|||전북은행|063-287-6211|전라북도 전주시 완산구 장승배기로 294||||||||전북은행 장승로지점|None|||40206
전북은행|전북대지점|||전북은행|063-252-9824|전라북도 전주시 덕진구 백제대로 567||||||||전북은행 전북대지점|None|||40206
전북은행|전북대병원지점|||전북은행|063-271-0842|전라북도 전주시 덕진구 건지로 20||||||||전북은행 전북대병원지점|None|||40206
전북은행|전북도청지점|||전북은행|063-228-2335|전라북도 전주시 완산구 효자로 225||||||||전북은행 전북도청지점|None|||40206
전북은행|전주공단지점|||전북은행|063-214-4433|전라북도 전주시 덕진구 팔과정로 164||||||||전북은행 전주공단지점|None|||40206
전북은행|전주법원지점|||전북은행|063-275-7447|전라북도 전주시 덕진구 사평로 31||||||||전북은행 전주법원지점|None|||40206
전북은행|전주시청지점|||전북은행|063-285-3583|전라북도 전주시 완산구 노송광장로 10||||||||전북은행 전주시청지점|None|||40206
전북은행|정읍지점|||전북은행|063-535-4573|전라북도 정읍시 새암길 1||||||||전북은행 정읍지점|None|||40206
전북은행|정읍시청지점|||전북은행|063-533-2681|전라북도 정읍시 충정로 234||||||||전북은행 정읍시청지점|None|||40206
전북은행|중산지점|||전북은행|063-227-8900|전라북도 전주시 완산구 백제대로 260||||||||전북은행 중산지점|None|||40206
전북은행|지곡지점|||전북은행|063-229-9040|전라북도 전주시 완산구 평화로 115||||||||전북은행 지곡지점|None|||40206
전북은행|진북동지점|||전북은행|063-253-4813|전라북도 전주시 덕진구 진북로 10||||||||전북은행 진북동지점|None|||40206
전북은행|진안지점|||전북은행|063-433-5955|전라북도 진안군 진안읍 진무로 1098||||||||전북은행 진안지점|None|||40206
전북은행|충경로지점|||전북은행|063-284-6811|전라북도 전주시 완산구 충경로 25||||||||전북은행 충경로지점|None|||40206
전북은행|팔복동지점|||전북은행|063-211-0216|전라북도 전주시 덕진구 기린대로 688||||||||전북은행 팔복동지점|None|||40206
전북은행|하가지점|||전북은행|063-251-7447|전라북도 전주시 덕진구 가련산로 17||||||||전북은행 하가지점|None|||40206
전북은행|혁신도시지점|||전북은행|063-237-2740|전주시 완산구 기지로 66||||||||전북은행 혁신도시지점|None;스카이락빌딩 1층|||40206
전북은행|호성동지점|||전북은행|063-243-9552|전라북도 전주시 덕진구 호성1길 37||||||||전북은행 호성동지점|None|||40206
전북은행|호암로지점|||전북은행|063-227-9612|전라북도 전주시 완산구 후곡길 4||||||||전북은행 호암로지점|None|||40206
전북은행|화산지점|||전북은행|063-221-8211|전라북도 전주시 완산구 서원로 222||||||||전북은행 화산지점|None|||40206
전북은행|효자동지점|||전북은행|063-223-7001|전라북도 전주시 완산구 용머리로 166||||||||전북은행 효자동지점|None|||40206
