##NAME|TYPE|NEWADDR|ADDR|YCOORD|XCOORD|NEWADDR2|ADDR2|보유차고지수용능력|자동차총보유대수|승용차보유대수|승합차보유대수|전기승용자동차보유대수|전기승합자동차보유대수|경차요금|소형차요금|중형차요금|대형차요금|승합차요금|레저용차요금|수입차요금|평일운영시작시각|평일운영종료시각|주말운영시작시각|주말운영종료시각|공휴일운영시작시각|공휴일운영종료시각|OFFDAY|HOMEPAGE|OWNER|TELNUM|DATE|제공기관코드|제공기관명@@렌터카_공공데이터포털
(유)드림렌터카|영업소|전라남도 목포시 백년대로 182||34.7982695|126.409653|전라남도 목포시 백년대로 182|전라남도 목포시 용해동 152-28||13|13|0|0|0||||||||09:00|21:00||||||||061-273-2454|2018-04-25|4800000|전라남도 목포시
(유)드림렌터카|영업소|전라남도 완도군 완도읍 개포로 40-15||34.316127|126.747555|전라남도 완도군 완도읍 개포로114번길 47|전라남도 완도군 완도읍 군내리 1237-17||13|10|3|0|0||||||||09:00|21:00||||||||061-554-8869|2018-04-25|4800000|전라남도 목포시
(유)백제렌트카|주사업장|전라남도 목포시 남악1로16번길 43-14, 옥암천년가상가 104호||34.806045|126.445322|전라남도 목포시 상동 822-6|전라남도 목포시 상동 822-6, 무안군 삼향읍 임성리 1139-13||84|78|4|0|0||||||||09:00|21:00||||||||061-287-0404|2018-04-25|4800000|전라남도 목포시
(유)백제렌트카|영업소|전라남도 무안군 삼향읍 삼향로 127-41||34.823273|126.447612|전라남도 무안군 삼향읍 남악4로 53|전라남도 무안군 삼향읍 남악리 2264||2|2|0|0|0||||||||09:00|21:00||||||||061-287-0404|2018-04-25|4800000|전라남도 목포시
(유)백제렌트카|영업소|전라남도 진도군 진도읍 쌍정리 134-4||34.481056|126.267719|전라남도 진도군 진도읍 남산로 106|전라남도 진도군 진도읍 남동리 130-2||2|2|0|0|0||||||||09:00|21:00||||||||061-544-4972|2018-04-25|4800000|전라남도 목포시
(주)아산렌터카|주사업장|전라남도 목포시 영산로 375, 2층(용해동)||34.806559|126.406692|전라남도 목포시 삼학로 171(산정동)|전라남도 목포시 산정동 1389||52|48|4|0|0||||||||09:00|21:00||||||||061-287-7881|2018-04-25|4800000|전라남도 목포시
(주)아산렌터카|영업소|전라남도 무안군 무안읍 무안중앙로 108||34.993302|126.471103|전라남도 무안군 무안읍 무안중앙로 108|전라남도 무안군 무안읍 교촌리 42-2||11|11|0|0|0||||||||09:00|21:00||||||||061-287-7881|2018-04-25|4800000|전라남도 목포시
예닮렌터카(유)|주사업장|전라남도 목포시 교육로 105, 4층(상동)||34.788409|126.403402|전라남도 목포시 연산로137번길 15-2|전라남도 목포시 연산동 954-22||53|53|0|0|0||||||||09:00|21:00||||||||061-245-1894|2018-04-25|4800000|전라남도 목포시
(주)전남렌트카|주사업장|전라남도 목포시 고하대로 863||34.820762|126.384216|전라남도 목포시 고하대로719번길 46|전라남도 목포시 연산동 1048-14||50|50|0|0|0||||||||09:00|21:00||||||||061-261-8000|2018-04-25|4800000|전라남도 목포시
(유)프라임렌트카|주사업장|전라남도 목포시 원형동로 25||34.799283|126.434396|전라남도 목포시 영산로 792|전라남도 목포시 대양동 521-40, 상동 784-5||81|81|0|0|0||||||||09:00|21:00||||||||061-284-9822|2018-04-25|4800000|전라남도 목포시
(유)프라임렌트카|영업소|경기도 성남시 분당구 정자동 7, 두산위브파빌리온 31층 B3120호||37.371638|127.107206|경기도 성남시 분당구 궁내로 68번길 1|경기도 성남시 분당구 궁내동 362-5, 364-1, 364-3||41|36|5|0|0||||||||09:00|21:00||||||||1666-7686|2018-04-25|4800000|전라남도 목포시
(유)오렌지렌트카|주사업장|전라남도 목포시 석현로 51||34.817264|126.426051|전라남도 목포시 연산동 620-13|전라남도 목포시 연산동 620-13||70|66|4|0|0||||||||09:00|21:00||||||||061-283-0001|2018-04-25|4800000|전라남도 목포시
(주)제일렌트카|주사업장|전라남도 목포시 양을로 534||34.810449|126.423658|전라남도 목포시 양을로 534|전라남도 목포시 상동 789-3||43|36|7|0|0||||||||09:00|21:00||||||||061-282-6633|2018-04-25|4800000|전라남도 목포시
(주)제일렌트카|영업소|전라남도 완도군 완도읍 군내리 1266-3||34.319217|126.748572|전라남도 완도군 완도읍 개포로114번길 68-12|전라남도 완도군 완도읍 군내리 1266-3||6|5|1|0|0||||||||09:00|21:00||||||||061-555-1600|2018-04-25|4800000|전라남도 목포시
(주)제일렌트카|영업소|전라남도 순천시 팔마로 159||34.944333|127.505463||전라남도 순천시 서면 죽평리 20-3||24|21|3|0|0||||||||09:00|21:00||||||||061-745-0097|2018-04-25|4800000|전라남도 목포시
(주)제일렌트카|영업소|전라남도 여수시 시청로 60,2층||34.767021|127.663132|전라남도 여수시 주삼동 750-4|전라남도 여수시 주삼동 750-4||13|11|2|0|0||||||||09:00|21:00||||||||061-685-7700|2018-04-25|4800000|전라남도 목포시
㈜노블레스렌트카|주사업장|전라남도 목포시 남악로58번길 2, 3층||34.812898|126.446674|전라남도 목포시 옥암동 1203|전라남도 목포시 옥암동 1203||64|63|1|0|0||||||||09:00|21:00||||||||061-276-2101|2018-04-25|4800000|전라남도 목포시
(유)하윤렌트카|주사업장|전라남도 무안군 삼향읍 임성로 161|전라남도 무안군 삼향읍 임성리 974-1|34.822203|126.444017|전라남도 무안군 삼향읍 남악3로 79, 인영빌딩 5층|전라남도 무안군 삼향읍 남악리 2103 5층|113|56|54|2|0|0||||||||09:00|18:00|||||공휴일|http://목포렌트카.kr|임여정|061-285-5145|2018-07-01|4950000|전라남도 무안군
백제렌트카|영업소|전라남도 무안군 삼향읍 삼향로 127-41|전라남도 무안군 삼향읍 임성리 947|34.823273|126.447612|전라남도 무안군 삼향읍 남악4로 53|전라남도 무안군 삼향읍 남악리 2264 , B1|66|59|55|4|0|0||||||||06:00|23:59|06:00|23:59|06:00|23:59|연중무휴||김진혁|061-287-0404|2018-07-01|4950000|전라남도 무안군
