INPUT|ID|BRANCH|OLDADDR|NEWADDR|TELL|CAT|XCORD|YCORD|URL|CAR_ENT|WALK_ENT|MENU|TIME
나뚜루|1515895535|나뚜루 잠실롯데타워31층|서울특별시 송파구 신천동 29|서울특별시 송파구 올림픽로 300 롯데타워 31층|02-3213-9978|['카페,디저트', '아이스크림']|127.1043005|37.5136378|http://www.natuur.co.kr|[{'rep': True, 'x': 127.1053249, 'y': 37.5143561}, {'rep': False, 'x': 127.1034397, 'y': 37.5120837}]|[{'rep': True, 'x': 127.1046925, 'y': 37.5145667}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|매일 11:00~21:00
나뚜루|1388046718|나뚜루 용인휴게소하행점|경기도 용인시 처인구 고림동 12-6|경기도 용인시 처인구 주북로94번길 30-1||['카페,디저트', '아이스크림']|127.2423727|37.2455315||[{'rep': True, 'x': 127.2417719, 'y': 37.2458337}]|[{'rep': True, 'x': 127.2417719, 'y': 37.2458337}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|36655719|나뚜루 양평점|경기도 양평군 양평읍 양근리 410-25|||['카페,디저트', '아이스크림']|127.4914724|37.4903169||[{'rep': True, 'x': 127.491579, 'y': 37.490338}]|[{'rep': True, 'x': 127.491579, 'y': 37.490338}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|30824531|나뚜루 부평산곡롯데마트점|인천광역시 부평구 산곡동 159-52 롯데마트 2층|인천광역시 부평구 마장로 296 롯데마트 부평점|032-507-2021|['카페,디저트', '아이스크림']|126.7040555|37.5049167|http://www.natuur.co.kr/|[{'rep': True, 'x': 126.703448, 'y': 37.505007}]|[{'rep': True, 'x': 126.7035143, 'y': 37.5045389}, {'rep': False, 'x': 126.7034905, 'y': 37.5052747}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|31499224|나뚜루 덕평휴게소점|경기도 이천시 마장면 각평리 319 외 60필지 2동|경기도 이천시 마장면 덕이로154번길 287-76|031-645-0075|['카페,디저트', '아이스크림']|127.3904325|37.2414708|http://www.natuur.co.kr/|[{'rep': True, 'x': 127.3884479, 'y': 37.2422706}, {'rep': False, 'x': 127.385112, 'y': 37.240618}]|[{'rep': False, 'x': 127.385112, 'y': 37.240618}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|1180948798|나뚜루 롯데마트송도|인천광역시 연수구 송도동 6-11|인천광역시 연수구 컨벤시아대로 177|032-833-0036|['카페,디저트', '아이스크림']|126.6433004|37.3881357||[{'rep': True, 'x': 126.642837, 'y': 37.38778}]|[{'rep': True, 'x': 126.6425433, 'y': 37.3883389}, {'rep': False, 'x': 126.6430794, 'y': 37.3876044}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|30824473|나뚜루 안성롯데마트점|경기도 안성시 공도읍 양기리 306 롯데마트 1층|경기도 안성시 공도읍 서동대로 4478 롯데마트|031-656-9555|['카페,디저트', '아이스크림']|127.1994259|37.0080479|http://www.natuur.co.kr/|[{'rep': True, 'x': 127.2000005, 'y': 37.0072887}, {'rep': False, 'x': 127.2004354, 'y': 37.0082521}]|[{'rep': True, 'x': 127.1997856, 'y': 37.0086764}, {'rep': False, 'x': 127.2004354, 'y': 37.0082521}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|1704631561|나뚜루 입장휴게소(상)|충청남도 천안시 서북구 입장면 가산리 362-1|충청남도 천안시 서북구 입장면 연곡길 407|010-9466-5268|['카페,디저트', '아이스크림']|127.1925759|36.9430423||[{'rep': True, 'x': 127.1935388, 'y': 36.9428402}]|[{'rep': True, 'x': 127.1935388, 'y': 36.9428402}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|30824474|나뚜루 춘천롯데마트점|강원도 춘천시 온의동 6-25|강원도 춘천시 방송길 84|033-252-3775|['카페,디저트', '아이스크림']|127.7178694|37.8689361|http://www.natuur.co.kr/|[{'rep': True, 'x': 127.7185606, 'y': 37.8679748}, {'rep': False, 'x': 127.7172457, 'y': 37.8689588}]|[{'rep': True, 'x': 127.719029, 'y': 37.868479}, {'rep': False, 'x': 127.7172457, 'y': 37.8689588}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|36929458|나뚜루 춘천후평점|강원도 춘천시 후평동 456-8|강원도 춘천시 보안길 66|033-910-5207|['카페,디저트', '아이스크림']|127.7506166|37.8803621||[{'rep': True, 'x': 127.750654, 'y': 37.880409}]|[{'rep': True, 'x': 127.750476, 'y': 37.880289}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|매일 10:00~24:00 연중무휴
나뚜루|30824542|나뚜루 당진롯데마트점|충청남도 당진시 원당동 824|충청남도 당진시 정안로 20 롯데마트|041-354-1645|['카페,디저트', '아이스크림']|126.6463916|36.9060627|http://www.natuur.co.kr/|[{'rep': True, 'x': 126.6473611, 'y': 36.9062351}, {'rep': False, 'x': 126.646575, 'y': 36.9071571}]|[{'rep': True, 'x': 126.6473611, 'y': 36.9062351}, {'rep': False, 'x': 126.64588, 'y': 36.906473}, {'rep': False, 'x': 126.646575, 'y': 36.9071571}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|1232844374|나뚜루 횡성휴게소(하)점|강원도 횡성군 안흥면 소사리 1530-1|강원도 횡성군 안흥면 영동고속도로 154-1||['카페,디저트', '아이스크림']|128.1356652|37.4626395||[{'rep': True, 'x': 128.135496, 'y': 37.462694}]|[{'rep': True, 'x': 128.135496, 'y': 37.462694}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|1859778106|나뚜루 평창휴게소상행점|강원도 평창군 용평면 이목정리 472-2|강원도 평창군 용평면 탑거리길 63||['카페,디저트', '아이스크림']|128.4631438|37.6106761||[{'rep': True, 'x': 128.4640204, 'y': 37.6109046}]|[{'rep': True, 'x': 128.4640204, 'y': 37.6109046}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|30824543|나뚜루 단양대명콘도점|충청북도 단양군 단양읍 상진리 4-1 대명콘도 지하 1층|충청북도 단양군 단양읍 삼봉로 187-17 단양대명콘도|043-420-8355|['카페,디저트', '아이스크림']|128.3628680|36.9776579|http://www.natuur.co.kr/|[{'rep': True, 'x': 128.362391, 'y': 36.977962}]|[{'rep': True, 'x': 128.362391, 'y': 36.977962}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|30824537|나뚜루 군산롯데마트점|전라북도 군산시 수송동 833 롯데마트 3층|전라북도 군산시 수송로 185 롯데마트|063-461-3403|['카페,디저트', '아이스크림']|126.7164175|35.9647123|http://www.natuur.co.kr/|[{'rep': True, 'x': 126.7167383, 'y': 35.9654766}, {'rep': False, 'x': 126.7168819, 'y': 35.9653359}]|[{'rep': True, 'x': 126.7159161, 'y': 35.9642341}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|30824535|나뚜루 전주송천롯데마트점|전라북도 전주시 덕진구 송천동1가 281-1 외 17필지 2층|전라북도 전주시 덕진구 송천중앙로 82 롯데마트 송천점|063-275-6115|['카페,디저트', '아이스크림']|127.1204261|35.8546672|http://www.natuur.co.kr/|[{'rep': True, 'x': 127.1207027, 'y': 35.8549044}, {'rep': False, 'x': 127.1209964, 'y': 35.8545335}]|[{'rep': True, 'x': 127.1199125, 'y': 35.8541571}, {'rep': False, 'x': 127.120655, 'y': 35.8541108}, {'rep': False, 'x': 127.1209964, 'y': 35.8545335}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|11803350|나뚜루 전주롯데점|전라북도 전주시 완산구 서신동 971 롯데백화점전주점 6F|전라북도 전주시 완산구 온고을로 2 롯데백화점전주점 6F|063-289-2665|['카페,디저트', '아이스크림']|127.1222140|35.8345054|http://www.natuur.co.kr/|[{'rep': True, 'x': 127.1210342, 'y': 35.834465}, {'rep': False, 'x': 127.1219279, 'y': 35.834958}]|[{'rep': True, 'x': 127.1226675, 'y': 35.8344205}, {'rep': False, 'x': 127.1216361, 'y': 35.8347695}, {'rep': False, 'x': 127.1219279, 'y': 35.834958}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|30824536|나뚜루 전주롯데마트점|전라북도 전주시 완산구 효자동2가 1234-3|전라북도 전주시 완산구 우전로 240 롯데마트|063-288-3522|['카페,디저트', '아이스크림']|127.1024442|35.8163991|http://www.natuur.co.kr/|[{'rep': True, 'x': 127.1029682, 'y': 35.8167435}]|[{'rep': True, 'x': 127.1020121, 'y': 35.8159049}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|38230868|나뚜루 무주리조트점|전라북도 무주군 설천면 심곡리 산43-15|전라북도 무주군 설천면 만선로 185||['카페,디저트', '아이스크림']|127.7330035|35.8900724||[{'rep': True, 'x': 127.7325139, 'y': 35.8909083}]|None|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|30824489|나뚜루 대구롯데마트점|대구광역시 동구 율하동 1117 롯데마트 1층|대구광역시 동구 안심로 80 롯데쇼핑프라자|053-607-2735|['카페,디저트', '아이스크림']|128.6936440|35.8684000|http://www.natuur.co.kr/|[{'rep': True, 'x': 128.6938163, 'y': 35.8676375}]|[{'rep': True, 'x': 128.6928031, 'y': 35.8694221}, {'rep': False, 'x': 128.6934009, 'y': 35.8679484}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|1427011570|나뚜루 청도새마을휴게소하행|경상북도 청도군 청도읍 거연리 950|경상북도 청도군 청도읍 하지길 59-49||['카페,디저트', '아이스크림']|128.7668684|35.5953638||[{'rep': True, 'x': 128.7674634, 'y': 35.5962303}]|[{'rep': True, 'x': 128.7674634, 'y': 35.5962303}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|1455084350|나뚜루 청도새마을휴게소상행|경상북도 청도군 청도읍 거연리 산288-4|경상북도 청도군 청도읍 하지길 59-50||['카페,디저트', '아이스크림']|128.7696649|35.5944462||[{'rep': True, 'x': 128.7690615, 'y': 35.593723}]|[{'rep': True, 'x': 128.7690615, 'y': 35.593723}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|36655825|나뚜루 경남의령점|경상남도 의령군 의령읍 서동리 508-6|경상남도 의령군 의령읍 의병로16길 24-1||['카페,디저트', '아이스크림']|128.2603114|35.3174315||[{'rep': True, 'x': 128.260133, 'y': 35.317483}]|[{'rep': True, 'x': 128.260133, 'y': 35.317483}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|30824487|나뚜루 광주월드컵롯데마트점|광주광역시 서구 풍암동 423-2|광주광역시 서구 금화로 240 월드컵경기장|062-682-4642|['카페,디저트', '아이스크림']|126.8768409|35.1327456|http://www.natuur-pop.com|[{'rep': True, 'x': 126.8765928, 'y': 35.1324471}]|[{'rep': True, 'x': 126.8763562, 'y': 35.1326704}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|1012512350|나뚜루 진주초전점|경상남도 진주시 초전동 1702-8 1층 108호|경상남도 진주시 초북로20번길 30-4 1층 108호|055-762-6250|['카페,디저트', '아이스크림']|128.1117319|35.2131139||[{'rep': True, 'x': 128.111613, 'y': 35.213003}]|[{'rep': True, 'x': 128.111613, 'y': 35.213003}, {'rep': False, 'x': 128.111549, 'y': 35.213413}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|1265969925|나뚜루 경주휴게소(하)|경상북도 경주시 내남면 월산리 산43-1|경상북도 경주시 내남면 경부고속도로 59 (1층)|054-748-3195|['카페,디저트', '아이스크림']|129.1923460|35.7236394||[{'rep': True, 'x': 129.1927869, 'y': 35.7244571}]|[{'rep': True, 'x': 129.1927869, 'y': 35.7244571}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|19535961|나뚜루 울산하나로마트점|울산광역시 울주군 범서읍 굴화리 295-1 하나로마트 1층|울산광역시 울주군 범서읍 장검길 10|052-222-1814|['카페,디저트', '아이스크림']|129.2541620|35.5576240|http://www.natuur.co.kr/|[{'rep': True, 'x': 129.253865, 'y': 35.557115}]|[{'rep': True, 'x': 129.25453, 'y': 35.557818}, {'rep': False, 'x': 129.253922, 'y': 35.557114}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|매일 10:00~21:00
나뚜루|36655611|나뚜루 남해창선점|경상남도 남해군 창선면 당항리 323|경상남도 남해군 창선면 동부대로 2801-4||['카페,디저트', '아이스크림']|128.0233952|34.9024345||[{'rep': True, 'x': 128.023259, 'y': 34.902403}]|[{'rep': True, 'x': 128.023259, 'y': 34.902403}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|21506881|나뚜루 동래역점|부산광역시 동래구 명륜동 533-13|부산광역시 동래구 명륜로129번길 53|051-555-2555|['카페,디저트', '아이스크림']|129.0792218|35.2052507|http://www.natuur.co.kr/|[{'rep': True, 'x': 129.079218, 'y': 35.205273}]|[{'rep': True, 'x': 129.079218, 'y': 35.205273}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|30824501|나뚜루 사상롯데마트점|부산광역시 사상구 엄궁동 690 롯데마트 사상점 3층|부산광역시 사상구 낙동대로 733|051-313-5432|['카페,디저트', '아이스크림']|128.9684531|35.1277872|http://www.natuur.co.kr/|[{'rep': True, 'x': 128.9678029, 'y': 35.1269039}]|[{'rep': True, 'x': 128.968612, 'y': 35.127035}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|36714371|나뚜루 롯데아울렛동부산점|부산광역시 기장군 기장읍 당사리 64 롯데몰동부산점 3F|부산광역시 기장군 기장읍 기장해안로 147 롯데몰동부산점 3F|051-901-2852|['카페,디저트', '아이스크림']|129.2120026|35.1919553||[{'rep': True, 'x': 129.2117824, 'y': 35.191364}, {'rep': False, 'x': 129.2133879, 'y': 35.1935865}, {'rep': False, 'x': 129.2113703, 'y': 35.1886792}, {'rep': False, 'x': 129.2111661, 'y': 35.1897518}]|[{'rep': True, 'x': 129.215078, 'y': 35.1914813}, {'rep': False, 'x': 129.2127044, 'y': 35.1942141}, {'rep': False, 'x': 129.2111661, 'y': 35.1897518}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|1271767145|나뚜루 롯데동부산아울렛|부산광역시 기장군 기장읍 당사리 524|부산광역시 기장군 기장읍 기장해안로 147 롯데동부산몰부산점3층|051-901-2852|['카페,디저트', '아이스크림']|129.2127804|35.1922145||[{'rep': True, 'x': 129.2117824, 'y': 35.191364}, {'rep': False, 'x': 129.2133879, 'y': 35.1935865}, {'rep': False, 'x': 129.2113703, 'y': 35.1886792}, {'rep': False, 'x': 129.2111661, 'y': 35.1897518}]|[{'rep': True, 'x': 129.215078, 'y': 35.1914813}, {'rep': False, 'x': 129.2127044, 'y': 35.1942141}, {'rep': False, 'x': 129.2111661, 'y': 35.1897518}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|31963099|나뚜루 제주일도점|제주특별자치도 제주시 이도2동 408-7|제주특별자치도 제주시 고마로 140|064-724-0050|['카페,디저트', '아이스크림']|126.5426630|33.5021927|http://www.natuur.co.kr/|[{'rep': True, 'x': 126.542587, 'y': 33.502068}]|[{'rep': True, 'x': 126.542655, 'y': 33.502287}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
