INPUT|ID|BRANCH|OLDADDR|NEWADDR|TELL|CAT|XCORD|YCORD|URL|CAR_ENT|WALK_ENT|MENU|TIME
피자헛|11625143|피자헛 방이점|서울특별시 송파구 방이1동 160 피자헛 방이점|서울특별시 송파구 가락로 278 그랜드빌딩 1층 피자헛 방이점|02-443-2123|['음식점', '피자']|127.1198520|37.5124386|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 127.119956, 'y': 37.512554}]|[{'rep': True, 'x': 127.119956, 'y': 37.512554}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|13289378|피자헛 종로본점|서울특별시 종로구 관수동 146-6|서울특별시 종로구 수표로 84|02-2263-5950|['음식점', '피자']|126.9896641|37.5687339|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 126.989634, 'y': 37.568741}]|[{'rep': True, 'x': 126.989634, 'y': 37.568741}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|11625112|피자헛 전농점|서울특별시 동대문구 전농동 295-52|서울특별시 동대문구 전농로15길 7|02-2212-6407|['음식점', '피자']|127.0572750|37.5780417|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 127.057334, 'y': 37.57785}]|[{'rep': True, 'x': 127.057334, 'y': 37.57785}, {'rep': False, 'x': 127.057327, 'y': 37.578053}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|11625096|피자헛 군자2호점|서울특별시 광진구 중곡동 162-12|서울특별시 광진구 능동로 345 제일빌딩|02-468-1560|['음식점', '피자']|127.0810090|37.5602960|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 127.080871, 'y': 37.560334}]|[{'rep': True, 'x': 127.0811, 'y': 37.560351}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|13290431|피자헛 수락산역점|서울특별시 노원구 상계1동 1118-97|서울특별시 노원구 동일로 1665 대은빌딩|02-3392-2103|['음식점', '피자']|127.0550550|37.6771616|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 127.054825, 'y': 37.677094}]|[{'rep': True, 'x': 127.055131, 'y': 37.677079}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|11625147|피자헛 염창2호점|서울특별시 양천구 목3동 621-15|서울특별시 양천구 등촌로 194|02-2651-5835|['음식점', '피자']|126.8631924|37.5470595|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 126.863106, 'y': 37.547044}]|[{'rep': True, 'x': 126.863106, 'y': 37.547044}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|546532745|피자헛 성내본점|서울특별시 강동구 성내동 435-9|서울특별시 강동구 성안로 30|02-489-3689|['음식점', '피자']|127.1301581|37.5263296|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 127.1306842, 'y': 37.5261938}]|[{'rep': True, 'x': 127.1302131, 'y': 37.5264961}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|11625156|피자헛 이촌역점|서울특별시 용산구 한강로3가 65-373 바울빌딩 1층|서울특별시 용산구 서빙고로 38 바울빌딩 1층|02-798-0006|['음식점', '피자']|126.9684468|37.5241300|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 126.968423, 'y': 37.5240273}]|[{'rep': True, 'x': 126.9684634, 'y': 37.5242052}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|11625106|피자헛 월계2호점|서울특별시 성북구 장위3동 165-3|서울특별시 성북구 한천로 735 석산빌딩|02-902-2777|['음식점', '피자']|127.0516090|37.6218600|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 127.051597, 'y': 37.621802}]|[{'rep': True, 'x': 127.051597, 'y': 37.621802}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|11625117|피자헛 상도역점|서울특별시 동작구 상도1동 783-1 1층|서울특별시 동작구 상도로 286 삼안빌딩|02-817-4014|['음식점', '피자']|126.9483592|37.5018962|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 126.948297, 'y': 37.501863}]|[{'rep': True, 'x': 126.948413, 'y': 37.501987}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|11625145|피자헛 잠실본점|서울특별시 송파구 잠실동 175-9|서울특별시 송파구 올림픽로 82|02-421-5613|['음식점', '피자']|127.0797381|37.5113861|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 127.079615, 'y': 37.511324}]|[{'rep': True, 'x': 127.079727, 'y': 37.511586}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|1059570160|피자헛 홍대서교점|서울특별시 마포구 서교동 481-2|서울특별시 마포구 동교로 114|02-3141-4053|['음식점', '피자']|126.9146825|37.5546188|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 126.9146413, 'y': 37.5546592}]|[{'rep': True, 'x': 126.9146413, 'y': 37.5546592}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|11625109|피자헛 쌍문2호점|서울특별시 도봉구 창5동 700-33|서울특별시 도봉구 도봉로 534|02-902-5173|['음식점', '피자']|127.0376049|37.6529311|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 127.0377931, 'y': 37.6529576}]|None|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|13563625|피자헛 보라매점|서울특별시 동작구 대방동 400-3|서울특별시 동작구 여의대방로 140 경원빌딩|02-824-8133|['음식점', '피자']|126.9205850|37.4995180|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 126.920724, 'y': 37.499394}]|[{'rep': True, 'x': 126.92054, 'y': 37.49955}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|13392127|피자헛 오목교역2호점|서울특별시 양천구 신정동 117-35|서울특별시 양천구 신목로 80 신정동빌딩 1층|02-2655-0291|['음식점', '피자']|126.8743140|37.5218770|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 126.874529, 'y': 37.5218}]|[{'rep': True, 'x': 126.87427, 'y': 37.521884}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|1264899529|피자헛 왕십리한양대점|서울특별시 성동구 행당동 130-120|서울특별시 성동구 왕십리로 259|02-3395-5456|['음식점', '피자']|127.0384547|37.5581779|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 127.038468, 'y': 37.55822}]|[{'rep': True, 'x': 127.038468, 'y': 37.55822}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|1522076709|피자헛 은평뉴타운점|서울특별시 은평구 진관동 67-1|서울특별시 은평구 진관3로 37|02-389-8687|['음식점', '피자']|126.9204566|37.6404026|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 126.9201213, 'y': 37.6406133}]|[{'rep': True, 'x': 126.9206592, 'y': 37.64025}, {'rep': False, 'x': 126.9207107, 'y': 37.6406536}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|32799591|피자헛 논현점|서울특별시 강남구 논현동 234|서울특별시 강남구 논현로 612 M빌딩|070-8797-9110|['음식점', '피자']|127.0336946|37.5084178|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 127.033847, 'y': 37.50853}]|[{'rep': True, 'x': 127.033847, 'y': 37.50853}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|11624602|피자헛 안암점|서울특별시 성북구 안암동2가 153-1|서울특별시 성북구 고려대로 28|02-926-9223|['음식점', '피자']|127.0223522|37.5861181|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 127.022315, 'y': 37.586163}]|[{'rep': True, 'x': 127.022315, 'y': 37.586163}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|11625150|피자헛 양평점|서울특별시 영등포구 당산동1가 53-4|서울특별시 영등포구 영등포로 143 호성빌딩|02-2633-0036|['음식점', '피자']|126.8976431|37.5212982|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 126.897601, 'y': 37.521398}]|[{'rep': True, 'x': 126.897601, 'y': 37.521398}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|1707343029|피자헛 노원점|서울특별시 노원구 상계동 751-4|서울특별시 노원구 동일로216길 70|02-935-5143|['음식점', '피자']|127.0654352|37.6522046|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 127.065607, 'y': 37.652327}]|[{'rep': True, 'x': 127.06541, 'y': 37.652276}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|11625161|피자헛 응암2호점|서울특별시 은평구 응암동 107-2|서울특별시 은평구 응암로 292 선주빌딩|02-373-1066|['음식점', '피자']|126.9204630|37.5975319|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 126.920567, 'y': 37.597562}]|[{'rep': True, 'x': 126.920567, 'y': 37.597562}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
피자헛|11625102|피자헛 공릉2호점|서울특별시 노원구 공릉동 568-25|서울특별시 노원구 동일로 1039 생명선교회|02-975-0541|['음식점', '피자']|127.0735828|37.6229746|http://www.pizzahut.co.kr/|[{'rep': True, 'x': 127.0737, 'y': 37.622895}]|[{'rep': True, 'x': 127.0737, 'y': 37.622895}]|얼티밋 치즈포켓 L 25,130 | 티본 스테이크&쉬림프 L 25,130 | 베이컨 포테이토 L 23,730 | 이탈리안 살시챠 L 25,130 | 팬 페퍼로니 L 16,910 | 팬 수퍼 슈프림 L 20,310 | 메가더블세트 19,900 | 리치골드 토핑킹 L 25,130 | 블랙알리오 스테이크 L 25,130|평일 11:00~23:00 (정확한 운영시간은 지점별 문의필수) | 주말 11:00~23:00 (정확한 운영시간은 지점별 문의필수)
