##NAME|BRANCH|ID|ADDR|TELL|FAX|XCOORD|YCOORD
씨티은행|대전중앙지점|대전광역시 서구 문예로 67 (둔산동)|4129|042-487-7900|042-483-8093|127.389772|36.352656
씨티은행|울산지점|울산광역시 남구 번영로 131 (달동)|3816|052-266-7833|052-266-7838|129.327704|35.536771
씨티은행|울산지점|울산광역시 남구 번영로 131 (달동)|3816|052-266-7833|052-266-7838|129.327704|35.536771
씨티은행|광주지점|광주광역시 동구 금남로 181 (금남로5가)|4117|062-224-0709|062-225-7589|126.913435|35.151827
씨티은행|광주지점|광주광역시 동구 금남로 181 (금남로5가)|4117|062-224-0709|062-225-7589|126.913435|35.151827
씨티은행|대구센터|대구광역시 수성구 수성로 412 (수성동4가, 수성보성타운)|4124|053-743-8400|053-744-8070|128.615437|35.862054
씨티은행|대구센터|대구광역시 수성구 수성로 412 (수성동4가, 수성보성타운)|4124|053-743-8400|053-744-8070|128.615437|35.862054
씨티은행|부산서면출장소지점|부산광역시 부산진구 서면문화로 27 (부전동)|3812|051-808-0311|051-816-4748|129.056046|35.158940
씨티은행|부산센터|부산광역시 해운대구 해운대해변로 154 (우동)|4134|051-742-0505|051-746-1133|129.148830|35.158381
씨티은행|부산서면출장소지점|부산광역시 부산진구 서면문화로 27 (부전동)|3812|051-808-0311|051-816-4748|129.056046|35.158940
씨티은행|부산센터|부산광역시 해운대구 해운대해변로 154 (우동)|4134|051-742-0505|051-746-1133|129.148830|35.158381
