NAME|ADDR|TELL|STATE
영화공간주안|(402 - 835) 인천광역시 남구 미추홀대로  716, (주안동, 메인프라자 8,9층)|032-867-9168|영업
CGV 평촌|(431 - 815) 경기도 안양시 동안구 관평로170번길 33  8층|1544-1122|영업
CGV 소풍|(420 - 864) 경기도 부천시 원미구 송내대로  239, (상동) 소풍 6, 7층|1544-1122|영업
CGV 압구정|(060 - 22) 서울특별시 강남구 압구정로30길  45, (신사동)|1544-1122|영업
서천군 기벌포영화관|(336 - 70) 충청남도 서천군 장항로145번길  30, (장항읍) 기벌포영화관|041-956-7939|영업
씨네Q 대구이시아|(410 - 26) 대구광역시 동구 팔공로49길  16, (봉무동)|1544-1533|영업
메가박스 코엑스|(061 - 64) 서울특별시 강남구 영동대로  513, (삼성동)|1544-0070|영업
메가박스 남양주현대아울렛 스페이스원|(122 - 48) 경기도 남양주시 다산순환로  50, (다산동) 3~5층|02-1544-0070|영업
메가박스 하남스타필드|(129 - 42) 경기도 하남시 미사대로  750, (신장동)|010-5475-3388|영업
광주자동차극장|(500 - 240) 광주광역시 북구 우치로  649, (생용동)|062-575-5717|영업
CGV 울산동구|(440 - 59) 울산광역시 동구 등대로  50, (방어동)|052-232-8501|영업
루프탑시네마 모다순천|(580 - 05) 전라남도 순천시 상성길  70, (해룡면) 순천만플라자 모다아울렛 3층||영업
진도아리랑 시네마|(589 - 26) 전라남도 진도군 동외1길  6-13, (진도읍) 진도아리랑 시네마|061-544-7790|영업
횡성시네마|(252 - 36) 강원도 횡성군 앞들서3로  6, (횡성읍) 횡성시네마|033-343-1088|영업
함안군 작은영화관|(520 - 45) 경상남도 함안군 가야12길  12, (가야읍) 함안군작은영화관|061-363-2011|영업
달홀영화관|(247 - 34) 강원도 고성군 수성로  3, (간성읍) 달홀문화센터|033-680-4068|영업
롯데시네마 가양|(075 - 75) 서울특별시 강서구 양천로  476, (등촌동) 롯데시네마 가양|070-7434-4064|영업
롯데시네마 안성|(175 - 58) 경기도 안성시 서동대로  4478, (공도읍)|1544-8855|영업
메가박스 원주센트럴|(264 - 62) 강원도 원주시 황금로 2, (반곡동) 센트럴파크 7층|1544-0070|영업
완주 휴 시네마|(553 - 16) 전라북도 완주군 둔산3로  94, (봉동읍)|063-263-9012|영업
롯데시네마 에비뉴엘(명동)|(045 - 33) 서울특별시 중구 남대문로  73, (남대문로2가)|1544-8855|영업
롯데시네마 에비뉴엘(명동)_샤롯데|(045 - 33) 서울특별시 중구 남대문로  73, (남대문로2가)|1544-8855|영업
CGV 평택고덕|(177 - 87) 경기도 평택시 경기대로  945, (장당동) 평택고덕아이파크 103동 3층|031-668-6424|영업
CGV 대학로|(110 - 522) 서울특별시 종로구 대명길 28, (명륜2가) 판타지움빌딩 1층|1544-1122|영업
롯데시네마 광명|(142 - 20) 경기도 광명시 오리로  970, (광명동) 크로앙스 7,8층|1544-8855|영업
롯데시네마 센텀시티(백화점)_샤롯데|(480 - 58) 부산광역시 해운대구 센텀남대로  59, (우동) 롯데백화점 8층|1544-8855|영업
롯데시네마 센텀시티(백화점)|(480 - 58) 부산광역시 해운대구 센텀남대로  59, (우동) 롯데백화점 8층|1544-8855|영업
롯데시네마 신도림|(082 - 09) 서울특별시 구로구 경인로  662, (신도림동) 디큐브시티 제타워동 7,8층 일부|1544-8855|영업
NH시네마|(557 - 34) 전라북도 남원시 요천로  1838, (고죽동) 4층|063-635-3927|영업
CGV 부산명지|(467 - 26) 부산광역시 강서구 명지국제8로10번길  38, 8층 9층 CGV 부산명지 (명지동)|1544-1122|영업
메가박스 광명AK플라자|(143 - 45) 경기도 광명시 양지로  17, (일직동) B1 ~ B2층|02-1544-0070|영업
메가박스 부산대|(462 - 91) 부산광역시 금정구 장전로12번길  55, (장전동) 라퓨타아일랜드||영업
롯데시네마 오투(부산대)|(462 - 79) 부산광역시 금정구 중앙대로  1607, (부곡동)|1544-8855|영업
롯데시네마 판교|(134 - 49) 경기도 성남시 수정구 창업로  18, 파미어스몰 지하 1층 롯데시네마 판교관 (시흥동)|02-1544-8855|영업
롯데시네마 위례|(136 - 40) 경기도 성남시 수정구 위례광장로  104, (창곡동)|070-7239-2200|영업
롯데시네마 성남중앙|(133 - 53) 경기도 성남시 수정구 산성대로  267, (신흥동) 신흥역 시네마타워 8~11층|1544-8855|영업
롯데시네마 김해부원|(509 - 40) 경상남도 김해시 김해대로  2352, (부원동) 아이스퀘어몰 4~5층|1544-8855|영업
롯데시네마 용산|(043 - 72) 서울특별시 용산구 청파로  74, (한강로3가) 용산전자랜드4~5F|1544-8855|영업
롯데시네마 신림|(087 - 77) 서울특별시 관악구 신림로  330, (신림동) 타임스트림 10층~15층|1544-8855|영업
롯데시네마 서울대입구|(087 - 87) 서울특별시 관악구 남부순환로  1820, (봉천동) 에그옐로우 10층|1544-8855|영업
롯데시네마 청주용암|(287 - 76) 충청북도 청주시 상당구 1순환로  1233, (용암동)|1544-8855|영업
롯데시네마 서청주(아울렛)|(283 - 60) 충청북도 청주시 흥덕구 2순환로  1004, (비하동) 롯데아울렛 4층|1544-8855|영업
메가박스 해운대(장산)|(481 - 06) 부산광역시 해운대구 해운대로  813, (좌동) 8층|1544-0070|영업
롯데시네마 대영|(489 - 53) 부산광역시 중구 비프광장로  37, (남포동5가)|02-1544-8855|영업
CGV 여의도|(073 - 26) 서울특별시 영등포구 국제금융로  10, (여의도동) 국제금융센터 지하3층|1544-1122|영업
롯데시네마 광복|(489 - 44) 부산광역시 중구 중앙대로  2, (중앙동7가) 시네마동 9층|1544-8855|영업
롯데시네마 광복_샤롯데|(489 - 44) 부산광역시 중구 중앙대로  2, (중앙동7가) 시네마동 9층|1544-8855|영업
롯데시네마 서면(전포동)|(472 - 93) 부산광역시 부산진구 동천로  92, (전포동) 6층|1544-8855|영업
롯데시네마 부산본점|(472 - 85) 부산광역시 부산진구 가야대로  772, (부전동) 롯데백화점 10층|1544-8855|영업
메가박스 상봉|(021 - 20) 서울특별시 중랑구 망우로30길  3, (상봉동) 메가박스빌딩 4층|1544-0070|영업
KT&G 상상마당 Cinema|(040 - 42) 서울특별시 마포구 어울마당로  65, (서교동) 상상마당빌딩 지하 3층, 4층|02-330-6243|영업
롯데시네마 양산물금|(506 - 13) 경상남도 양산시 백호로  68, (물금읍) 큐엠시네마타워 4층|1544-8855|영업
롯데시네마 광명아울렛|(143 - 52) 경기도 광명시 일직로  17, (일직동) 롯데프리미엄아울렛 광명점 5층|1544-8855|영업
CGV 서면상상마당|(472 - 88) 부산광역시 부산진구 서면로  39, (부전동) KT&G 상상마당부산 8~12층||영업
메가박스 신촌|(037 - 65) 서울특별시 서대문구 신촌역로  30, (신촌동)|1544-0070|영업
롯데시네마 수유|(010 - 62) 서울특별시 강북구 도봉로  308, (수유동, 북한산스카이) 10~14층|02-1544-8855|영업
인생극장-폐관|(489 - 68) 부산광역시 중구 중구로  71|051-245-5441|영업
롯데시네마 부평역사|(214 - 04) 인천광역시 부평구 광장로  16, (부평동) 7,8층|1544-8855|영업
롯데시네마 부평|(213 - 95) 인천광역시 부평구 대정로  66, (부평동)|1544-8855|영업
메가박스 동대문|(045 - 64) 서울특별시 중구 장충단로  247, (을지로6가) 굿모닝시티 9층~11층|1544-0070|영업
롯데시네마 산본피트인|(158 - 66) 경기도 군포시 번영로  485, (산본동) 10층|02-1544-8855|영업
CGV 판교|(135 - 29) 경기도 성남시 분당구 판교역로146번길  20, (백현동) 현대백화점 8층|1544-1122|영업
메가박스 분당|(135 - 91) 경기도 성남시 분당구 황새울로  332, (서현동) 4층|1544-0070|영업
메가박스 안성스타필드|(175 - 63) 경기도 안성시 서동대로  3930-39, (공도읍) 스타필드 안성 3층|02-1544-0070|영업
조종시네마|(124 - 38) 경기도 가평군 청군로  1270, (조종면) 조종 청소년 문화의 집 내|02-323-1718|영업
산청군 작은영화관|(522 - 49) 경상남도 산청군 원지강변로  67-10, (신안면) 2층|055-973-7717|영업
보물섬시네마|(524 - 13) 경상남도 남해군 선소로  12, (남해읍) 남해문화체육센터|055-862-7718|영업
모노플렉스 오시리아|(619 - 902) 부산광역시 기장군 기장읍 시랑리 산-46 번지 오시리아테마파크 1층 모노플렉스 오시리아점|051-926-0926|영업
롯데시네마 시흥장현|(149 - 99) 경기도 시흥시 장현능곡로  155, (능곡동) 6F 롯데시네마 시흥장현|02-1544-8855|영업
롯데시네마 전주송천|(548 - 27) 전라북도 전주시 덕진구 송천중앙로  225, (송천동2가) 파인트리몰 5~6층|02-1544-8855|영업
CGV 피카디리1958|(110 - 808) 서울특별시 종로구 돈화문로5가길 1, 지하2층(돈의동)|1544-1122|영업
예산시네마|(324 - 38) 충청남도 예산군 천변로  160, (예산읍)|041-335-2331|영업
메가박스 대구이시아|(410 - 26) 대구광역시 동구 팔공로49길  51, (봉무동,메가맥스타워) 2,3,4층|02-1544-0070|영업
화순시네마|(581 - 22) 전라남도 화순군 진각로  85, (화순읍) 군민회관, 서양정 2층|061-373-7053|영업
롯데시네마 천안불당|(311 - 56) 충청남도 천안시 서북구 불당21로  67-8, 정석프라자4차, 7층 (불당동)||영업
CGV 전주에코시티|(551 - 49) 전라북도 전주시 덕진구 세병2길  10, (송천동2가) 로마네시티 현대썬앤빌 전주 4~8층 CGV|063-253-7300|영업
메가박스 수원|(165 - 85) 경기도 수원시 권선구 경수대로  270, (권선동) 수원버스터미널 4층|1544-0070|영업
CGV DRIVE IN 곤지암|(128 - 09) 경기도 광주시 도척윗로 278, (도척면) 곤지암리조트 제1주차장|02-6004-5077|영업
CGV Salon 서초|(066 - 30) 서울특별시 서초구 효령로 391, (서초동) B2층||영업
CGV 안산|(425 - 809) 경기도 안산시 단원구 광덕대로 194, (고잔동, NC백화점 A관 6층)|1544-1122|영업
천안인생극장|(311 - 28) 충청남도 천안시 동남구 버들로  41, (문화동) 파리빌딩 지하1층|041-622-5772|영업
메가박스 대전신세계 아트앤사이언스|(341 - 26) 대전광역시 유성구 엑스포로  1, 대전신세계 아트앤사이언스점 6~7층 (도룡동)|02-1544-0070|영업
롯데시네마 하남미사|(129 - 25) 경기도 하남시 미사대로  520, (덕풍동) 지하 1층|1544-8855|영업
메가박스 파주금촌|(413 - 801) 경기도 파주시 중앙로  328, (금촌동) (금촌동,엠에이치타워4층)|1544-0070|영업
CGV 기흥|(169 - 76) 경기도 용인시 기흥구 기흥로  58-1, (구갈동) 기흥ICT밸리 B동 지하2층 CGV 기흥||영업
하남미사 AWC|(129 - 12) 경기도 하남시 미사강변동로84번길  39, (망월동) 에코타워 2층 201호||영업
롯데시네마 노원수락산역|(016 - 25) 서울특별시 노원구 동일로  1660, (상계동) 3~9층|1544-8855|영업
CGV 대구연경|(414 - 11) 대구광역시 북구 동화천로 290, 4층 CGV극장 (연경동)|053-986-6200|영업
CGV 서면삼정타워|(472 - 96) 부산광역시 부산진구 중앙대로  672, (부전동) 서면피에스타 11층||영업
CGV 김해율하|(510 - 18) 경상남도 김해시 율하2로  111, (율하동) 3층||영업
롯데시네마 영천|(388 - 94) 경상북도 영천시 시장로 96, (완산동) 고은스퀘어 2층 롯데시네마 영천|054-337-0740|영업
CGV 해운대|(480 - 94) 부산광역시 해운대구 해운대로  620, (우동)|1544-1122|영업
롯데시네마 서산|(356 - 800) 충청남도 서산시 율지18로 38|1544-8855|영업
롯데시네마 동탄_샤롯데|(184 - 78) 경기도 화성시 동탄역로  160, (오산동) 롯데백화점 7층 롯데시네마 동탄|02-1544-8855|영업
롯데시네마 동탄|(184 - 78) 경기도 화성시 동탄역로  160, (오산동) 롯데백화점 7층 롯데시네마 동탄|02-1544-8855|영업
OLC담양담빛시네마|(573 - 44) 전라남도 담양군 지침6길  29, (담양읍)||영업
메가박스 북대구(칠곡)|(414 - 23) 대구광역시 북구 동암로  100, (동천동) 씨네피아 5~11층|1544-0070|영업
메가박스 청라지젤|(227 - 38) 인천광역시 서구 청라에메랄드로  99, (청라동) 지젤M청라 4층 메가박스 청라지젤점|02-1544-0070|영업
롯데시네마 경주황성|(380 - 69) 경상북도 경주시 유림로5번길  85-46, (황성동)|02-1544-8855|영업
아트하우스모모|(120 - 750) 서울특별시 서대문구 이화여대길  52, 이화여자대학교 이화캠퍼스콤플렉스(지하4층) (대현동)|02-747-7782|영업
광명철산 극장|(423 - 837) 경기도 광명시 철산로30번길 14, 덕수빌딩 4층 (철산동)|1544-1122|영업
롯데시네마 포항|(377 - 37) 경상북도 포항시 북구 중앙상가길  16, (대흥동) 3층~9층|1544-8855|영업
CGV 성신여대입구|(028 - 45) 서울특별시 성북구 동소문로  106, (동선동1가) 유타몰 10~12층||영업
씨네큐 성신여대입구-폐관|(028 - 45) 서울특별시 성북구 동소문로  106, (동선동1가) 11층|02-925-9300|영업
CGV 천안시청|(311 - 56) 충청남도 천안시 서북구 번영로  201, (불당동) 센트에비뉴 2층, 3층, 4층|041-569-0728|영업
메가박스 제주-폐관|(631 - 68) 제주특별자치도 제주시 중앙로14길  18, (삼도이동)|1544-0070|영업
목포극장 1926|(587 - 28) 전라남도 목포시 영산로59번길  30, (죽동) 1층||영업
해남시네마|(590 - 37) 전라남도 해남군 남부순환로  22, (해남읍)||영업
의성작은영화관|(373 - 37) 경상북도 의성군 후죽4길  6, (의성읍) 1층||영업
롯데시네마 라페스타(일산)|(104 - 01) 경기도 고양시 일산동구 무궁화로  32-34, (장항동) 라페스타 C 3층|1544-8855|영업
CGV 연남|(040 - 51) 서울특별시 마포구 양화로  186, (동교동) LC TOWER 7~10층|1544-1122|영업
CGV 역곡|(146 - 76) 경기도 부천시 경인로  505, (괴안동) 역곡 하이뷰 6층|1544-1122|영업
CGV 범계|(140 - 73) 경기도 안양시 동안구 동안로  119, (호계동) 뉴코아 아울렛 11층|1544-1122|영업
메가박스 양주|(114 - 92) 경기도 양주시 고읍남로  6-6, (광사동) 해동월드타워 9층 1,2,3호 10층 1,2,3,4호|1544-0070|영업
포천 클라우드시네마|(111 - 06) 경기도 포천시 운천로23번길  7-8, (영북면)|031-531-7718|영업
영천공설시장 별빛영화관|(388 - 89) 경상북도 영천시 시장2길  10, (완산동) 영철공설시장 2층 202호|054-338-7053|영업
CGV DRIVE IN 스퀘어원|(219 - 75) 인천광역시 연수구 청능대로  210, (동춘동) 스퀘어원||영업
롯데시네마 부산명지|(467 - 26) 부산광역시 강서구 명지국제6로 107, 부산대방디엠시티 센텀오션2차 2층 (명지동)|02-1544-8855|영업
CGV 인천도화|(402 - 060) 인천광역시 남구 도화동   1011 번지|032-866-2006|영업
알프스시네마|(449 - 52) 울산광역시 울주군 알프스온천5길 103-8, (상북면) 영남알프스 복합웰컴센터|052-254-0267|영업
롯데시네마 마석|(121 - 81) 경기도 남양주시 경춘로  1992, (화도읍) 롯데마트 마석점|1544-8855|영업
롯데시네마 드라이브 오시리아|(619 - 902) 부산광역시 기장군 기장읍 시랑리 산-46 번지||영업
메가박스 덕천|(465 - 48) 부산광역시 북구 만덕대로  23, (덕천동)|1544-0070|영업
메가박스 평택-폐관|(179 - 10) 경기도 평택시 중앙로  46, (평택동) 6층|1544-0070|영업
삼척 가람영화관|(245 - 060) 강원도 삼척시 엑스포로 50, (성남동)|033-575-7053|영업
CGV 강변|(143 - 721) 서울특별시 광진구 광나루로56길 85, 테크노마트 10층 (구의동)|1544-1122|영업
CGV 강릉|(255 - 41) 강원도 강릉시 경강로  2120, (옥천동) 씨네몰 6~8층|1544-1122|영업
CGV 원주|(220 - 938) 강원도 원주시 서원대로 171, (단계동)|1544-1122|영업
대한극장(서울)|(046 - 25) 서울특별시 중구 퇴계로  212, (필동2가)|02-3393-3500|영업
CGV 인천연수|(406 - 827) 인천광역시 연수구 청능대로 210, 스퀘어원 쇼핑몰 4층 (동춘동)|1544-1122|영업
CGV 연수역|(219 - 26) 인천광역시 연수구 벚꽃로  106, (청학동) 8층(청학동, 연수광장프라자)||영업
CGV 청주터미널|(283 - 96) 충청북도 청주시 흥덕구 2순환로  1233, (가경동) 8층|043-232-6344|영업
롯데시네마 속초|(248 - 33) 강원도 속초시 중앙로121번길 28, (금호동) 속초센텀마크 3층 롯데시네마||영업
씨네Q 보은|(289 - 36) 충청북도 보은군 뱃들로 68-22, (보은읍)|070-5117-5819|영업
CGV 화명|(465 - 27) 부산광역시 북구 화명대로  16, (화명동) 센추리빌딩|1544-1122|영업
CGV 김해|(509 - 43) 경상남도 김해시 내외중앙로  137, (내동) 휴앤락몰 4층|1544-1122|영업
CGV 서면|(472 - 99) 부산광역시 부산진구 동천로  4, (전포동) 지오플레이스 5층|1544-1122|영업
CGV 천호|(053 - 14) 서울특별시 강동구 양재대로  1571, (천호동) 홈플러스 4층|1544-1122|영업
CGV 명동역 씨네라이브러리|(100 - 861) 서울특별시 중구 퇴계로 123, 하이해리엇 10층 (충무로2가)|1544-1122|영업
CGV 명동|(100 - 810) 서울특별시 중구 명동길 14, 아바타빌딩 8층 (명동2가)|1544-1122|영업
CGV 동대문|(045 - 63) 서울특별시 중구 장충단로13길  20, (을지로6가)||영업
CGV 수유|(010 - 55) 서울특별시 강북구 도봉로  399||영업
CGV 미아|(012 - 20) 서울특별시 강북구 도봉로  34, (미아동) 트레지오쇼핑몰 9층|1544-1122|영업
CGV 대연|(484 - 34) 부산광역시 남구 수영로  305, (대연동) 5층|1544-1122|영업
CGV 구로|(152 - 715) 서울특별시 구로구 구로중앙로 152|1544-1122|영업
CGV 광주금남로|(614 - 84) 광주광역시 동구 중앙로160번길  16-7, (불로동) 2층||영업
CGV 센텀시티|(612 - 020) 부산광역시 해운대구 센텀남대로 35, (우동) 신세계백화점 서관 7층|1544-1122|영업
CGV 상봉|(021 - 50) 서울특별시 중랑구 상봉로 131, (상봉동) 상봉듀오트리스 B2F|1544-1122|영업
CGV 김포 |(101 - 13) 경기도 김포시 풍무로  128, (풍무동) 5층||영업
롯데시네마 월드타워|(138 - 240) 서울특별시 송파구 올림픽로 300 엔터동 5~11층|1544-8855|영업
울진 작은영화관|(363 - 23) 경상북도 울진군 울진중앙로  115-21, (울진읍) 울진군청별관||영업
철원작은영화관 뚜루|(240 - 08) 강원도 철원군 금학로252번길  23, (철원읍)|033-458-7053|영업
롯데시네마 평택비전|(450 - 810) 경기도 평택시 경기대로  279, (비전동) 비전동 뉴코아평택점 10층|1544-8855|휴업
롯데시네마 양주고읍|(482 - 030) 경기도 양주시 고읍남로 6-16, 광장프라자5층 (광사동)|1544-8855|휴업
영월시네마|(230 - 805) 강원도 영월군 관풍헌길  66, (영월읍)|033-375-7053|휴업
롯데시네마 별내|(121 - 13) 경기도 남양주시 별내중앙로 10, (별내동) 지하 1~2층|02-1544-8855|휴업
CINE de CHEF 용산아이파크몰|(043 - 77) 서울특별시 용산구 한강대로23길 55, (한강로3가) 아이파크몰 6층||휴업
CGV 용산아이파크몰|(140 - 780) 서울특별시 용산구 한강대로23길 55, (한강로3가) 아이파크몰 6층|1544-1122|휴업
메가박스 백석|(410 - 816) 경기도 고양시 일산동구 중앙로 1036|1544-0070|휴업
CGV 동탄역|(184 - 78) 경기도 화성시 동탄역로  151, (오산동)|010-3409-5303|휴업
보성 작은영화관|(594 - 58) 전라남도 보성군 현충로  44-12, (보성읍)|061-852-7050|휴업
정남진시네마|(593 - 27) 전라남도 장흥군 흥성로  43, (장흥읍) 장흥국민체육센터 4층|061-862-7053|휴업
롯데시네마 파주아울렛|(413 - 120) 경기도 파주시 문발로 284, (문발동) 롯데프리미엄아울렛파주점 B블럭 3,4층|1544-8855|영업
롯데시네마 제주아라|(632 - 36) 제주특별자치도 제주시 구산로  4, (아라일동)||영업
롯데시네마 제주삼화지구|(633 - 16) 제주특별자치도 제주시 삼봉로  11, (삼양이동)|064-755-5800|영업
롯데시네마 용인역북|(449 - 933) 경기도 용인시 처인구 역북동   510-3 번지 5층 롯데시네마 사무실||영업
롯데시네마 오산(원동)|(447 - 805) 경기도 오산시 경기대로 198, 씨네마아울렛 5층|1544-0070|영업
롯데시네마 영주|(360 - 78) 경상북도 영주시 구성로  417, (영주동)|054-634-3000|영업
롯데시네마 안양(안양역)|(430 - 759) 경기도 안양시 만안구 만안로 244, (안양동)|1544-8855|영업
롯데시네마 수지|(448 - 140) 경기도 용인시 수지구 성복동   61-7 번지 롯데몰 수지 5층 롯데시네마||영업
씨네큐 전주영화의거리|(549 - 99) 전라북도 전주시 완산구 전주객사4길  74-12, (고사동) 씨네큐 전주점||영업
씨네큐 천안불당|(311 - 56) 충청남도 천안시 서북구 불당33길  28, (불당동) 지앤지홀딩스타워 5~8층|070-5038-4565|영업
CGV 광양엘에프스퀘어|(577 - 64) 전라남도 광양시 순광로  466, (광양읍) LF스퀘어 3층 가든동||영업
논산시네마|(320 - 070) 충청남도 논산시 해월로167번길 8, (반월동)|041-734-7051|영업
금산시네마|(327 - 47) 충청남도 금산군 비단로  91, (금산읍)|041-751-7668|영업
메가박스 대전현대아울렛|(340 - 30) 대전광역시 유성구 테크노중앙로  123, (용산동) 현대프리미엄아울렛 대전점 3~4층|02-1544-0070|영업
메가박스양산|(506 - 29) 경상남도 양산시 강변로  440, (중부동)|02-1544-0070|영업
CGV 충주교현|(273 - 64) 충청북도 충주시 국원대로  107, (교현동) 5,6,7,8층|070-7525-0037|영업
부산예술관|(485 - 33) 부산광역시 남구 유엔평화로76번길  26, 부산예술관 (대연동)|051-622-7711|영업
메가박스 킨텍스|(411 - 410) 경기도 고양시 일산서구 대화동 2602 레이킨스몰 3층|1544-0070|영업
상주 삼백시네마|(372 - 37) 경상북도 상주시 삼백로 327-9, 복룡동, 삼백시네마||영업
거제 엠파크 씨네세븐|(656 - 935) 경상남도 거제시 고현로11길  20, (고현동)|055-638-2091|영업
롯데시네마 주엽(일산)|(103 - 87) 경기도 고양시 일산서구 중앙로  1436, (주엽동) 그랜드백화점일산점 10층|1544-8855|영업
메가박스 창원내서|(512 - 30) 경상남도 창원시 마산회원구 광려천서로  81 ISC프라자 10~11층|02-1544-0070|영업
메가박스 광주상무|(502 - 827) 광주광역시 서구 시청로60번길 21-6, 4 (치평동)|1544-0070|영업
메가박스 전주혁신|(548 - 65) 전라북도 전주시 덕진구 기지로  77, (장동) 2층|02-1544-0070|영업
월드시네마(경기여주)|(469 - 806) 경기도 여주군 여주읍 홍문리 273월드피아 5층|031-886-2603|영업
메가박스 동탄|(445 - 160) 경기도 화성시 동탄지성로  11, (반송동) (반송동)||영업
김포극장|(101 - 10) 경기도 김포시 사우중로  52, (사우동) 제비층 201호,202호||영업
메가박스 용인테크노밸리|(169 - 14) 경기도 용인시 기흥구 구성로  357, (청덕동,용인테크노밸리) 지하 1층|02-1544-0070|영업
메가박스 용인기흥|(170 - 86) 경기도 용인시 기흥구 신고매로 59 4층(고매동)|02-1544-0070|영업
알펜시아시네마|(232 - 952) 강원도 평창군 솔봉로 325, (대관령면)||영업
롯데시네마 구미 프라임 1번가-폐업|(730 - 923) 경상북도 구미시 구미중앙로 126|1544-8855|폐업
롯데시네마 검단-폐업|(404 - 290) 인천광역시 서구 완정로 163 (마천동 698-7)|1544-8855|폐업
메가박스 수원남문|(162 - 61) 경기도 수원시 팔달구 행궁로  71, (팔달로3가)|1544-0070|폐업
메가박스 세종청사|(301 - 16) 세종특별자치시 북구 도움3로  19, (어진동) 엠브릿지 지하 1~2층|02-1544-0070|폐업
메가박스 세종나성|(339 - 003) 세종특별자치시   나성동   206 번지  세종가로수길(4~6층)|02-1544-0070|폐업
롯데시네마 프리미엄 안동|(760 - 310) 경북 안동시 옥동 테마플라자 A동401, 501|1544-8855|폐업
메가박스 논산|(329 - 83) 충청남도 논산시 중앙로  255, (내동) 우리메가박스타운 3,4층|02-1544-0070|폐업
롯데시네마 평촌(범계역)|(431 - 812) 경기도 안양시 동안구 시민대로 180, (호계동)|1544-8855|폐업
CGV 경산|(386 - 12) 경상북도 경산시 대학로28길  6-5, (중방동) 2층 CGV극장|053-812-8970|폐업
CGV 인제|(246 - 24) 강원도 인제군 비봉로44번길  100, (인제읍)||폐업
CGV 광교|(165 - 14) 경기도 수원시 영통구 광교호수공원로  320, 갤러리아 백화점 광교점 10층 (하동)||영업
CGV 북수원|(440 - 200) 경기도 수원시 장안구 경수대로 950, 아일렛타운 4층 (조원동)|1544-1122|영업
CGV 광주첨단|(506 - 303) 광주광역시 광산구 임방울대로826번길 29-31 (쌍암동)|1544-1122|영업
CGV 대구월성|(427 - 57) 대구광역시 달서구 조암로  29, (월성동) 이래타워 4층|053-609-3005|영업
CGV 청주성안길|(360 - 011) 충청북도 청주시 상당구 상당로81번길 33|1544-1122|영업
CGV 청주지웰시티|(361 - 810) 충청북도 청주시 흥덕구 대농로  47-1, 3,4층 (복대동)|1544-1122|영업
