NAME|BRANCH|ADDR|TELL|CAT|XCODR|YCORD
가야농협||경상남도 합천군 가야면 가야시장로 53|T. 055-932-7796|(농·축협)| 128.138491|35.759392
가야농협|법수지점|경상남도 함안군 법수면 법수로 239|T. 055-582-4811|(농·축협)| 128.353656|35.314934
가야농협|산인지점|경상남도 함안군 산인면 모곡길 23|T. 055-583-1181|(농·축협)| 128.458514|35.27219
가야농협|석무지점|경상남도 함안군 법수면 법정로 25|T. 055-584-4833|(농·축협)| 128.382552|35.319514
가야농협|숭산지점|경상남도 합천군 가야면 매안대전길 6|T. 055-932-7795|(농·축협)| 128.108343|35.731571
가야농협|아라지점|경상남도 함안군 가야읍 가야로 52|T. 055-583-6801|(농·축협)| 128.406643|35.2775
가야농협|야로지점|경상남도 합천군 야로면 가야산로 352|T. 055-932-6612|(농·축협)| 128.169264|35.705652
가야농협|함읍지점|경상남도 함안군 함안면 성산로 6|T. 055-583-4014|(농·축협)| 128.42297|35.241512
가야농협|해인사지점|경상남도 합천군 가야면 가야산로 1812|T. 055-932-7356|(농·축협)| 128.088502|35.792101
가야동지점||부산광역시 부산진구 가야대로 597|T. 051-891-3951|(농협은행)| 129.037059|35.154955
가양중앙지점||서울특별시 강서구 양천로57길 9-7|T. 02-2658-3290|(농협은행)| 126.851371|37.563337
가장동지점||대전광역시 서구 도산로 270|T. 042-534-1260|(농협은행)| 127.384293|36.330888
가좌지점||서울특별시 서대문구 모래내로 143|T. 02-373-2651|(농협은행)| 126.917299|37.56964
가창농협||대구광역시 달성군 가창면 가창로 1122|T. 053-768-6500|(농·축협)| 128.62321|35.803517
가평군농협||경기도 가평군 가평읍 보납로 20|T. 031-582-2390|(농·축협)| 127.512728|37.830651
가평군농협|남부지점|경기도 가평군 가평읍 오리나무길 31|T. 031-582-7599|(농·축협)| 127.514144|37.824725
가평군농협|북면지점|경기도 가평군 북면 화악산로 19|T. 031-582-2590|(농·축협)| 127.550167|37.887063
가평군농협|상면지점|경기도 가평군 상면 기와집길 14|T. 031-585-2015|(농·축협)| 127.355548|37.805687
가평군농협|설악지점|경기도 가평군 설악면 신천중앙로 113|T. 031-584-8130|(농·축협)| 127.49111|37.67729
가평군농협|조종지점|경기도 가평군 조종면 조종희망로 4|T. 031-585-0050|(농·축협)| 127.34886|37.817727
가평군농협|청평지점|경기도 가평군 청평면 청평중앙로 29|T. 031-584-0240|(농·축협)| 127.417996|37.737111
가평군지부||경기도 가평군 가평읍 가화로 111|T. 031-582-4001|(농협은행)| 127.513579|37.829542
가평군청<출>||경기도 가평군 가평읍 석봉로 181|T. 031-582-9086|(농협은행)| 127.508738|37.831508
가평축산농협||경기도 가평군 가평읍 가화로 55-17|T. 031-582-4111|(농·축협)| 127.51477|37.824539
가평축산농협|상하지점|경기도 가평군 조종면 현창로 49-3|T. 031-585-2751|(농·축협)| 127.347819|37.818976
가평축산농협|설악지소|경기도 가평군 설악면 한서로 3|T. 031-585-4200|(농·축협)| 127.494191|37.676676
가평축산농협|읍내지점|경기도 가평군 가평읍 연인2길 2|T. 031-581-9111|(농·축협)| 127.513192|37.830394
가평축산농협|청평지소|경기도 가평군 청평면 청평중앙로 61|T. 031-584-4200|(농·축협)| 127.420863|37.738817
간동농협||강원도 화천군 간동면 간척월명로 299|T. 033-442-5034|(농·축협)| 127.816729|38.05387
간석지점||인천광역시 남동구 남동대로 898|T. 032-423-6431|(농협은행)| 126.708658|37.462468
갈산농협||충청남도 홍성군 갈산면 갈산로 109|T. 041-633-1555|(농·축협)| 126.551405|36.604211
감곡농협||충청북도 음성군 감곡면 장감로126번길 34 감곡농협|T. 043-881-2480|(농·축협)| 127.640193|37.118135
감곡농협|오향지점|충청북도 음성군 감곡면 장감로 198|T. 043-882-7220|(농·축협)| 127.643069|37.116731
감문농협||경상북도 김천시 감문면 감문로 1142|T. 054-430-5009|(농·축협)| 128.188809|36.21402
감사원지점||서울 종로구 북촌로 109 감사원 제 3별관 2층|T. 02-737-5041|(농협은행)| 126.985034|37.586207
강경농협||충청남도 논산시 강경읍 계백로 134-2|T. 041-745-5501|(농·축협)| 127.015523|36.156426
강경농협|중앙지점|충청남도 논산시 강경읍 옥녀봉로51번길 2|T. 041-745-5503|(농·축협)| 127.015754|36.162855
강경농협|태평지점|충청남도 논산시 강경읍 옥녀봉로27번길 23|T. 041-745-5502|(농·축협)| 127.015504|36.160394
강경출장소||충청남도 논산시 강경읍 계백로 112|T. 041-745-2107|(농협은행)| 127.01412|36.154936
강구농협||경상북도 영덕군 강구면 영덕대게로 45|T. 054-733-4021|(농·축협)| 129.38386|36.35991
강구농협|남정지점|경상북도 영덕군 남정면 산정로 7|T. 054-732-5224|(농·축협)| 129.37356|36.28632
강구농협|달산지점|경상북도 영덕군 달산면 팔각산로 1838|T. 054-732-3526|(농·축협)| 129.303444|36.399967
강구농협|오포지점|경상북도 영덕군 강구면 동해대로 4479-1|T. 054-733-8008|(농·축협)| 129.380172|36.357246
강남대기업금융센터||서울특별시 강남구 강남대로 388(역삼동)|T. 02-3420-2600|(농협은행)| 127.028302|37.497373
강남동지점||강원도 춘천시 경춘로 2342|T. 033-243-8100|(농협은행)| 127.719639|37.862783
강남세곡지점||서울 강남구 자곡로 180 강남유탑유블레스|T. 02-3411-9730|(농협은행)| 127.103271|37.473737
강남역금융센터||서울 강남구 강남대로 388 (역삼동, 강남센타빌딩)|T. 02-557-3260|(농협은행)| 127.028416|37.497445
강내농협||충청북도 청주시 흥덕구 강내면 탑연월곡길 85-1|T. 043-232-2013|(농·축협)| 127.363948|36.624355
강내농협|충청대학교지점|충청북도 청주시 흥덕구 강내면 월곡길 38|T. 043-236-2019|(농·축협)| 127.36969|36.618683
강동농협||서울특별시 강동구 구천면로 331 (암사동)|T. 02-442-5070|(농·축협)| 127.136169|37.549092
강동농협||부산광역시 강서구 낙동북로 86|T. 051-971-1438|(농·축협)| 128.938649|35.217187
강동농협||경상북도 경주시 강동면 강동로 51|T. 054-762-1931|(농·축협)| 129.275229|35.990505
강동농협||울산광역시 북구 동해안로 1448-2|T. 052-295-8311|(농·축협)| 129.447966|35.615334
강동농협|강일지점|서울특별시 강동구 아리수로 427|T. 02-3427-9388|(농·축협)| 127.174603|37.564962
강동농협|고덕동지점|서울특별시 강동구 아리수로50길 50 더 몰 상가 1층|T. 02-488-3571|(농·축협)| 127.150591|37.557452
강동농협|길일지점|서울특별시 강동구 천중로 200|T. 02-489-2691|(농·축협)| 127.142556|37.5407
강동농협|달성지점|경상북도 경주시 강동면 안현로 2292|T. 054-762-1600|(농·축협)| 129.242847|36.057095
강동농협|둔촌역지점|서울특별시 강동구 양재대로 1349|T. 02-479-4244|(농·축협)| 127.135361|37.526722
강동농협|로데오지점|서울특별시 강동구 천호대로157길 53|T. 02-488-5228|(농·축협)| 127.127529|37.540183
강동농협|명일역지점|서울특별시 강동구 양재대로 1655 (명일동, 명일빌딩)|T. 02-488-3581|(농·축협)| 127.143932|37.553352
강동농협|산하지점|울산광역시 북구 화암1길 52|T. 052-295-8314|(농·축협)| 129.437987|35.635919
강동농협|상일동역지점|서울특별시 강동구 고덕로 399 메가스퀘어동 106~9호|T. 02-488-3591|(농·축협)| 127.170622|37.557556
강동농협|선사지점|서울특별시 강동구 올림픽로 802|T. 02-426-4100|(농·축협)| 127.128667|37.552539
강동농협|성내지점|서울특별시 강동구 풍성로37길 44|T. 02-489-2521|(농·축협)| 127.126729|37.533757
강동농협|토성지점|서울특별시 송파구 풍성로25길 32|T. 02-472-3901|(농·축협)| 127.121242|37.536058
강릉교동지점||강원도 강릉시 강릉대로 258|T. 033-641-3811|(농협은행)| 128.897954|37.760516
강릉농협||강원도 강릉시 율곡로 2792|T. 033-640-9200|(농·축협)| 128.901498|37.754486
강릉농협|강동지점|강원도 강릉시 강동면 와천로 463|T. 033-645-7451|(농·축협)| 128.953531|37.727011
강릉농협|경포지점|강원도 강릉시 솔올로 77|T. 033-643-3863|(농·축협)| 128.878772|37.768815
강릉농협|고단지점|강원도 강릉시 왕산면 왕산로 23-11|T. 033-647-8603|(농·축협)| 128.848031|37.52126
강릉농협|구정지점|강원도 강릉시 구정면 범일로 347|T. 033-644-7581|(농·축협)| 128.882877|37.719984
강릉농협|남강지점|강원도 강릉시 경강로2408번길 2|T. 033-653-4861|(농·축협)| 128.923527|37.772069
강릉농협|남부지점|강원도 강릉시 성덕포남로 66|T. 033-653-4343|(농·축협)| 128.918467|37.760701
강릉농협|성산지점|강원도 강릉시 성산면 구산길 16|T. 033-641-9341|(농·축협)| 128.832418|37.719046
강릉농협|왕산지점|강원도 강릉시 왕산면 백두대간로 1989|T. 033-648-8020|(농·축협)| 128.838061|37.671953
강릉농협|왕산지점고랭지채소사업소<간>|강원도 강릉시 왕산면 왕산로 1324-11|T. 033-647-2621|(농·축협)| 128.778812|37.588421
강릉농협|임당지점|강원도 강릉시 임영로 178|T. 033-645-9710|(농·축협)| 128.891844|37.75697
강릉농협|정동지점|강원도 강릉시 강동면 헌화로 1060|T. 033-644-5075|(농·축협)| 129.033359|37.688147
강릉농협|중앙지점|강원도 강릉시 옥가로 48|T. 033-643-3861|(농·축협)| 128.900222|37.760442
강릉농협|포남지점|강원도 강릉시 강릉대로 385|T. 033-651-8501|(농·축협)| 128.907854|37.769148
강릉동부지점||강원도 강릉시 하평길 56|T. 033-653-2251|(농협은행)| 128.914685|37.769767
강릉시지부||강원 강릉시 임영로 123 (성내동, 농협)|T. 033-641-3801|(농협은행)| 128.893067|37.752366
강릉시청<출>||강원도 강릉시 강릉대로 33|T. 033-643-2948|(농협은행)| 128.876308|37.752094
강릉원예농협||강원도 강릉시 남부로 147|T. 033-647-5573|(농·축협)| 128.896534|37.742883
강릉원예농협|금학지점|강원도 강릉시 금성로22번길 4|T. 033-646-5801|(농·축협)| 128.89799|37.754283
강릉원예농협|솔올지점|강원도 강릉시 강릉대로 149|T. 033-655-8812|(농·축협)| 128.886915|37.757309
강릉원예농협|초당지점|강원도 강릉시 산양큰길 29|T. 033-647-4366|(농·축협)| 128.916093|37.779781
강릉축산농협||강원도 강릉시 용지로 20|T. 033-646-0001|(농·축협)| 128.91317|37.753958
강릉축산농협|강릉역지점|강원도 강릉시 강릉대로 348|T. 033-643-9961|(농·축협)| 128.905175|37.766344
강릉축산농협|교동지점|강원도 강릉시 강릉대로 203|T. 033-645-2101|(농·축협)| 128.892775|37.758314
강릉축산농협|내곡동지점|강원도 강릉시 범일로 604|T. 033-655-9991|(농·축협)| 128.880796|37.7413
강릉축산농협|성남동지점|강원도 강릉시 금성로23번길 10|T. 033-646-8900|(농·축협)| 128.898592|37.753213
강북중앙금융센터||서울특별시 강북구 도봉로 373|T. 02-906-0071|(농협은행)| 127.02802|37.640595
강서구청<출>||부산광역시 강서구 낙동북로 477|T. 051-972-6051|(농협은행)| 128.980403|35.213635
강서농협||서울특별시 강서구 금낭화로 127|T. 02-2669-6114|(농·축협)| 126.812069|37.576452
강서농협|가양지점|서울특별시 강서구 강서로 489|T. 02-3661-0241|(농·축협)| 126.841109|37.569069
강서농협|까치산역지점|서울특별시 강서구 강서로 62|T. 02-2601-7781|(농·축협)| 126.846086|37.533298
강서농협|등촌시장지점|서울특별시 양천구 목동중앙북로 13|T. 02-2644-0320|(농·축협)| 126.864981|37.548615
강서농협|목동사거리지점|서울특별시 강서구 등촌로 41|T. 02-2668-9707|(농·축협)| 126.863368|37.533701
강서농협|발산지점|서울특별시 강서구 강서로 300|T. 02-3664-4611|(농·축협)| 126.836606|37.552402
강서농협|방화지점|서울특별시 강서구 방화동로 85|T. 02-2663-0321|(농·축협)| 126.812553|37.568127
강서농협|수명산지점|서울특별시 강서구 강서로47길 165 신원메디컬프라자 2층|T. 02-2667-2000|(농·축협)| 126.826919|37.553431
강서농협|신월사거리지점|서울특별시 양천구 가로공원로 121|T. 02-2605-0014|(농·축협)| 126.829375|37.536369
강서농협|양천지점|서울특별시 양천구 오목로 52|T. 02-2607-5981|(농·축협)| 126.84342|37.522036
강서농협|염창역지점|서울특별시 양천구 목동중앙북로 73 덕수프라자 101호|T. 02-2642-9005|(농·축협)| 126.871505|37.546836
강원교육청<출>||강원도 춘천시 영서로 2854|T. 033-257-4491|(농협은행)| 127.725971|37.907686
강원도청<출>||강원도 춘천시 중앙로 1|T. 033-255-5090|(농협은행)| 127.729209|37.885741
강원양돈농협||강원도 강릉시 솔올로 9|T. 033-642-2212|(농·축협)| 128.877281|37.763339
강원양돈농협|대학로지점|강원도 강릉시 금성로42번길 13 (금학동 97-3번지)|T. 033-655-2212|(농·축협)| 128.895451|37.753807
강원양돈농협|성덕지점|강원도 강릉시 성덕로 277|T. 033-647-2212|(농·축협)| 128.924648|37.757528
강원양돈농협|송정지점|강원도 강릉시 하평길 29|T. 033-651-2212|(농·축협)| 128.91182|37.770558
강원양돈농협|유천지점|강원도 강릉시 선수촌로63번길 14-8|T. 033-648-2212|(농·축협)| 128.869449|37.757109
강원양돈농협|춘천지점|강원도 춘천시 김유정로 1875|T. 033-264-2260|(농·축협)| 127.736103|37.854026
강원영업부||강원도 춘천시 중앙로 105|T. 033-254-5071|(농협은행)| 127.723541|37.87677
강원인삼농협||강원도 홍천군 홍천읍 설악로 987|T. 033-435-3434|(농·축협)| 127.823467|37.655603
강원인삼농협|춘천E편한지점|강원도 춘천시 안마산로 99|T. 033-251-6245|(농·축협)| 127.726955|37.854889
강원인삼농협|춘천지점|강원도 춘천시 안마산로 229|T. 033-439-3063|(농·축협)| 127.739327|37.849209
강진군지부||전라남도 강진군 강진읍 중앙로 112|T. 061-433-2171|(농협은행)| 126.768825|34.63934
강진군청<출>||전라남도 강진군 강진읍 탐진로 111|T. 061-433-6231|(농협은행)| 126.76708|34.641769
강진남부농협||전라남도 강진군 칠량면 영동2길 3|T. 061-432-7029|(농·축협)| 126.799408|34.571777
강진남부농협|대구지점|전라남도 강진군 대구면 수동길 17-10|T. 061-432-3430|(농·축협)| 126.800372|34.496479
강진남부농협|마량지점|전라남도 강진군 마량면 마량4길 18|T. 061-432-2014|(농·축협)| 126.817604|34.451032
강진농협||전라남도 강진군 강진읍 보은로2길 32|T. 061-433-4351|(농·축협)| 126.770455|34.639539
강진농협|군동지점|전라남도 강진군 군동면 진흥로 322|T. 061-433-5583|(농·축협)| 126.815531|34.644207
강진농협|성전지점|전라남도 강진군 성전면 송계로 880|T. 061-432-5700|(농·축협)| 126.711788|34.689555
강진농협|파머스마켓<간>|전라남도 강진군 강진읍 보은로 152|T. 061-434-8425|(농·축협)| 126.77482|34.638508
강진완도축산농협||전라남도 강진군 강진읍 보은로 131|T. 061-433-1511|(농·축협)| 126.772744|34.63782
강진완도축산농협|고금지점|전라남도 완도군 고금면 고금동로 27|T. 061-553-7114|(농·축협)| 126.80264|34.396962
강진완도축산농협|남성지점|전라남도 강진군 강진읍 보은로1길 34|T. 061-433-1510|(농·축협)| 126.768982|34.639123
강진완도축산농협|완도지점|전라남도 완도군 완도읍 청해진남로 22|T. 061-554-1235|(농·축협)| 126.756189|34.313485
강진한들농협||전라남도 강진군 병영면 병영성로 135|T. 061-432-1005|(농·축협)| 126.814994|34.716684
강진한들농협|옴천지점|전라남도 강진군 옴천면 개산중앙길 15-1|T. 061-432-3505|(농·축협)| 126.794461|34.744747
강진한들농협|작천지점|전라남도 강진군 작천면 까치내로 859|T. 061-432-6015|(농·축협)| 126.770813|34.705497
강현농협||강원도 양양군 강현면 동해대로 3555|T. 033-671-5810|(농·축협)| 128.607104|38.154085
강현농협|낙산지점|강원도 양양군 강현면 해맞이길 8-12|T. 033-671-8950|(농·축협)| 128.630115|38.119531
강화군지부||인천광역시 강화군 강화읍 강화대로 377|T. 032-934-3600|(농협은행)| 126.4874|37.745039
강화군청<출>||인천광역시 강화군 동문로 12|T. 032-934-5575|(농협은행)| 126.488164|37.746587
강화남부농협||인천광역시 강화군 길상면 길상로 298|T. 032-937-4181|(농·축협)| 126.49444|37.638989
강화남부농협|불은지점|인천광역시 강화군 불은면 강화동로 555|T. 032-937-4690|(농·축협)| 126.478516|37.68494
강화남부농협|양도지점|인천광역시 강화군 양도면 강화남로 700|T. 032-937-2181|(농·축협)| 126.42199|37.66268
강화남부농협|화도지점|인천광역시 강화군 화도면 마니산로 729|T. 032-937-1181|(농·축협)| 126.417607|37.633114
강화농협||인천광역시 강화군 강화읍 중앙로 66|T. 032-934-0541|(농·축협)| 126.487236|37.738804
강화농협|선원지점|인천광역시 강화군 선원면 대문고개로 25|T. 032-933-4014|(농·축협)| 126.483947|37.714554
강화농협|송해지점|인천광역시 강화군 송해면 전망대로 39|T. 032-934-9991|(농·축협)| 126.462391|37.766147
강화농협|중앙지점|인천광역시 강화군 강화읍 강화대로 391|T. 032-934-9790|(농·축협)| 126.486579|37.746035
강화인삼농협||인천광역시 강화군 강화읍 강화대로 335|T. 032-933-5001|(농·축협)| 126.491916|37.743325
개군농협||경기도 양평군 개군면 하자포길 45|T. 031-772-0331|(농·축협)| 127.537282|37.427197
개롱역지점||서울특별시 송파구 오금로 404|T. 02-403-8501|(농협은행)| 127.135099|37.497582
개성인삼농협||경기도 포천시 호국로 1423|T. 031-536-0541|(농·축협)| 127.191068|37.885662
개포동지점||서울특별시 강남구 논현로 98|T. 02-3461-0550|(농협은행)| 127.044748|37.478675
거금도농협||전라남도 고흥군 금산면 금산중촌길 7-2|T. 061-843-7795|(농·축협)| 127.127558|34.461647
거금도농협|오천지점|전라남도 고흥군 금산면 오천길 58|T. 061-843-9203|(농·축협)| 127.208833|34.435781
거여역지점||서울특별시 송파구 오금로 512|T. 02-3012-3333|(농협은행)| 127.145659|37.492837
거제농협||경상남도 거제시 거제면 읍내로2길 32|T. 055-633-4118|(농·축협)| 128.590006|34.850319
거제시지부||경상남도 거제시 거제중앙로 1864|T. 055-639-1000|(농협은행)| 128.625238|34.884851
거제시청<출>||경상남도 거제시 계룡로 125|T. 055-633-3096|(농협은행)| 128.603088|34.889805
거제축산농협||경상남도 거제시 거제중앙로 1726|T. 055-639-1230|(농·축협)| 128.632964|34.874261
거제축산농협|고현동지점|경상남도 거제시 거제중앙로19길 7|T. 055-636-5701|(농·축협)| 128.623778|34.885451
거제축산농협|상동지점|경상남도 거제시 거제중앙로 1768|T. 055-636-9611|(농·축협)| 128.629555|34.877035
거제축산농협|옥포동지점|경상남도 거제시 옥포로27길 6|T. 055-639-1300|(농·축협)| 128.688055|34.89744
거제축산농협|중곡로지점|경상남도 거제시 중곡로7길 12|T. 055-632-5557|(농·축협)| 128.627726|34.896786
거제축산농협|중앙로지점|경상남도 거제시 거제중앙로 1910|T. 055-635-9600|(농·축협)| 128.623309|34.88856
거제해금강농협||경상남도 거제시 동부면 거제남서로 3086 (이전)경상남도 거제시 동부면 산양천로50|T. 055-633-2147|(농·축협)| 128.607315|34.823778
거제해금강농협|남부지점|경상남도 거제시 남부면 저구1길 60-1|T. 055-633-0231|(농·축협)| 128.608441|34.733298
거진농협||강원도 고성군 거진읍 거진길 32|T. 033-682-2396|(농·축협)| 128.454802|38.446783
거진농협|현내지점|강원도 고성군 현내면 한나루로 131|T. 033-682-0158|(농·축협)| 128.424261|38.499365
거창군지부||경상남도 거창군 거창읍 중앙로 133|T. 055-942-5821|(농협은행)| 127.912983|35.687456
거창군청<출>||경상남도 거창군 상동1길 89|T. 055-944-3638|(농협은행)| 127.909495|35.686814
거창농협||경상남도 거창군 거창읍 중앙로 114-1|T. 055-942-5831|(농·축협)| 127.910865|35.686022
거창농협|대동지점|경상남도 거창군 거창읍 중앙로 189|T. 055-942-2311|(농·축협)| 127.918705|35.688592
거창농협|아림지점|경상남도 거창군 거창읍 거열로 122|T. 055-941-0961|(농·축협)| 127.907009|35.688679
거창농협|월천지점|경상남도 거창군 거창읍 주곡로 226-12|T. 055-942-5838|(농·축협)| 127.918547|35.715109
거창농협|창남지점|경상남도 거창군 거창읍 거창대로 24|T. 055-942-5848|(농·축협)| 127.917773|35.683922
거창사과농협||경상남도 거창군 거창읍 수남로 2241|T. 055-943-3244|(농·축협)| 127.91113|35.679245
거창사과농협|남부지점|경상남도 거창군 거창읍 강남로1길 90|T. 055-945-8001|(농·축협)| 127.905605|35.681982
거창사과농협|북부지점|경상남도 거창군 거창읍 거창대로 100|T. 055-945-2644|(농·축협)| 127.915239|35.690457
거창축협||경상남도 거창군 거창읍 강변로8길 32-25|T. 055-943-9581|(농·축협)| 127.910048|35.685692
거창축협|가조지점|경상남도 거창군 가조면 지산로 1486|T. 055-943-9961|(농·축협)| 128.016046|35.709303
거창축협|중앙지점|경상남도 거창군 거창읍 거창대로 53|T. 055-943-9591|(농·축협)| 127.916179|35.686283
거창축협|코아루지점|경상남도 거창군 거창읍 강남로 266|T. 055-943-9601|(농·축협)| 127.926073|35.687118
검단농협||인천광역시 서구 검단로 497|T. 032-562-5171|(농·축협)| 126.659343|37.603077
검단농협|당하지점|인천광역시 서구 청마로 171|T. 032-561-5171|(농·축협)| 126.676539|37.59256
검단농협|불로지점|인천광역시 서구 검단로 793|T. 032-563-5171|(농·축협)| 126.686867|37.615887
검단농협|오왕지점|인천광역시 서구 봉화로 56|T. 032-562-6094|(농·축협)| 126.637642|37.598512
검단농협|완정지점|인천광역시 서구 완정로 70|T. 032-567-5673|(농·축협)| 126.667578|37.597829
검단농협|왕길지점|인천광역시 서구 봉수대로1440번길 45 상가1동 205호(왕길신명스카이뷰드림상가동)|T. 032-566-5171|(농·축협)| 126.653506|37.602185
검단농협|원당지점|인천광역시 서구 원당대로 861 원당프라자 1층|T. 032-564-0795|(농·축협)| 126.697354|37.593913
결성농협||충청남도 홍성군 결성면 홍남서로 750|T. 041-642-8555|(농·축협)| 126.548731|36.524732
경기도교육청<출>||경기도 수원시 장안구 조원로 16-1|T. 031-252-6111|(농협은행)| 127.022552|37.29715
경기도교육청북부청사(출)||경기도 의정부시 동일로 700 (금오동)|T. 031-842-7500|(농협은행)| 127.053319|37.750382
경기도청<출>||경기 수원시 팔달구 효원로 1 경기도청|T. 031-257-9502|(농협은행)| 127.009479|37.275411
경기도청북부청사<출>||경기도 의정부시 청사로 1|T. 031-852-5671|(농협은행)| 127.071861|37.747395
경기동부과수농협||경기도 이천시 장호원읍 장감로49번길 2|T. 031-641-5211|(농·축협)| 127.628352|37.116779
경기동부과수농협|이천지점|경기도 이천시 이섭대천로 1411 흥인프라자 102호|T. 031-633-3688|(농·축협)| 127.455655|37.293884
경기동부과수농협|태평지점|경기도 성남시 수정구 남문로 64|T. 031-751-0951|(농·축협)| 127.133945|37.445865
경기동부인삼농협||경기도 이천시 경충대로 3047-7|T. 031-637-3438|(농·축협)| 127.407603|37.299412
경기동부인삼농협|성남은행지점|경기도 성남시 중원구 산성대로524번길 2 1층, 2층|T. 031-748-8933|(농·축협)| 127.164151|37.457392
경기동부인삼농협|이천송정지점|경기도 이천시 증신로 333|T. 031-635-1091|(농·축협)| 127.438092|37.300316
경기동부인삼농협|하남미사지점|경기도 하남시 미사강변중앙로198번길 35 1층110,2층207호|T. 031-796-6903|(농·축협)| 127.191679|37.565037
경기영업부||경기도 수원시 팔달구 효원로 279|T. 031-230-3800|(농협은행)| 127.032406|37.261908
경남단감원예농협||경상남도 김해시 진영읍 여래로 23|T. 055-343-2020|(농·축협)| 128.735595|35.304262
경남단감원예농협|금병지점|경상남도 김해시 진영읍 장등로 78|T. 055-343-8711|(농·축협)| 128.734457|35.313025
경남단감원예농협|밀양지점|경상남도 밀양시 북성로 21|T. 055-352-4427|(농·축협)| 128.745039|35.498675
경남단감원예농협|연지지점|경상남도 김해시 분성로 156|T. 055-334-2744|(농·축협)| 128.863918|35.22964
경남단감원예농협|운동장지점|경상남도 김해시 진영읍 김해대로 250|T. 055-342-6904|(농·축협)| 128.71749|35.306554
경남도교육청<출>||경상남도 창원시 의창구 중앙대로 241|T. 055-263-8347|(농협은행)| 128.687721|35.23432
경남도청<출>||경상남도 창원시 의창구 상남로 289|T. 055-283-2901|(농협은행)| 128.692171|35.238251
경남도청서부청사(출)||경남 진주시 월아산로 2026|T. 055-753-1620|(농협은행)| 128.121887|35.213614
경남영업부||경상남도 창원시 의창구 원이대로 627|T. 055-284-9526|(농협은행)| 128.683671|35.227269
경남테크노파크<출>||경상남도 창원시 의창구 창원대로18번길 22|T. 055-293-3141|(농협은행)| 128.604069|35.251998
경동시장지점||서울특별시 동대문구 왕산로 147|T. 02-959-4055|(농협은행)| 127.039699|37.578744
