NAME|BRANCH|ADDR|TELL|XOCRD|YCORD
|예산종합병원장례식장|충청남도 예산군 예산읍 금오대로 94 (산성리)|041-331-4444|126.8377044|36.6910697
|금강장례식장|충청남도 부여군 부여읍 백제문화로429번길 9 (자왕리)|041-834-0100|126.9509097|36.3119823
|우리원병원장례식장|부산광역시 사하구 다대로 565 (다대동)|051-264-3535|128.9709128|35.0558972
|행복한병원장례식장|경상남도 창원시 의창구 북면 천주로 785,행복한병원장례식장 (동전리, 행복한병원)|055-255-0220|128.6018375|35.3233
|학교법인 원불교대학원 모현장례식장|전라북도 익산시 오산면 무왕로2길 321-20 (장신리)|063-853-9889|126.9292297|35.9497991
|하나장례식장|충청북도 청주시 서원구 대림로 431 (죽림동)|043-270-8400|127.4890319|36.6424341
|은하수공원장례식장|세종특별자치시 정안세종로 1527,은하수공원 (산울동)|044-850-1350|127.24544|36.53304
|남원의료원장례식장|전라북도 남원시 충정로 365 (고죽동, 남원의료원)|063-620-1140|127.4083857|35.4326296
|창원파티마병원장례식장|경상남도 창원시 의창구 창이대로 45 (명서동)|055-270-1900|128.6457008|35.2371882
|안중장례문화센타|경기도 평택시 안중읍 서동대로 1931-11 (금곡리, 안중백병원)|031-683-4440|126.9582448|37.0030539
|시티병원장례식장|경기도 의왕시 오전천로 29 (오전동)|031-459-7575|126.9771156|37.350696
|웅상중앙병원장례식장|경상남도 양산시 서창로 59 (명동)|055-912-4440|129.1645487|35.4063743
|복지장례문화원|서울특별시 영등포구 도림로 142 (대림동)|02-846-4444|126.8980447|37.493308
|자굴산장례식장|경상남도 의령군 가례면 홍의로 312 (가례리)|055-573-2233|128.234651|35.3271445
|계명대학교대구동산병원장례식장|대구광역시 중구 달성로 56 (동산동, 계명대학교동산의료원)|053-250-8451|128.583115|35.869137
|효원장례문화센타|경기도 화성시 정조로 107 (반정동)|031-222-0999|127.0264703|37.2207098
|하늘원장례식장|경상북도 예천군 예천읍 충효로 512-10 (우계리)|054-654-9444|128.4638031|36.6669398
|늘푸른장례식장|경상남도 창원시 진해구 충장로 181 (여좌동)|055-551-8000|128.6718707|35.1528061
|순천향장례식장|경상북도 구미시 1공단로 179 (공단동, 구미순천향병원)|054-464-4444|128.3826739|36.1030929
|제천서울병원장례식장|충청북도 제천시 숭문로 57 (서부동, 서울병원)|043-644-4422|128.2060532|37.1387186
|엠지(MG)새마을금고 장례식장|전라북도 남원시 요천로 1237 (조산동, 장례식장)|063-636-4141|127.358898|35.396833
|인하대병원장례식장|인천광역시 중구 인항로 27 (신흥동3가, 인하대학병원)|032-890-3180|126.6340376|37.458619
|우주장례식장|전라남도 고흥군 고흥읍 봉동주공길 56-16 (호형리)|061-832-4000|127.2910076|34.604041
|SMG연세병원장례식장|경상남도 창원시 마산합포구 3.15대로 76 (월남동2가)|055-223-1000|128.5616194|35.1863296
|홍익병원장례식장|서울특별시 양천구 등촌로 22 (목동)|02-2600-1444|126.8641205|37.5319114
|서부산시민장례식장|부산광역시 사하구 장림번영로 59 (장림동)|051-264-0444|128.9720298|35.0808644
|한사랑병원장례문화센타|경기도 안산시 상록구 광덕1로 345 (이동)|031-439-4444|126.8484422|37.3070689
|구미장례식장해원|경상북도 구미시 야은로 119 (부곡동)|054-443-5445|128.2975299|36.1458854
|칠곡경북대학교병원장례식장|대구광역시 북구 호국로 807 (학정동)|053-200-2500|128.5653029|35.9561644
|연세대학교 용인장례식장|경기도 용인시 기흥구 중동  724-7, 용인 장례식장|031-678-7600|127.0142436|37.5723125
|서울적십자병원장례식장|서울특별시 종로구 새문안로 9 (평동, 적십자병원)|02-2002-8444|126.9670566|37.5671402
|대한병원장례식장|서울특별시 강북구 도봉로 301 (수유동)|02-992-4444|127.0228853|37.6353498
|고령영생병원장례식장|경상북도 고령군 대가야읍 중앙로 33 (헌문리, 영생병원)|054-956-4455|128.262953|35.7261415
|보람상조라이프(주)천지향장례식장|충청남도 천안시 동남구 풍세로 835천지향장례식장 (용곡동, 청담웨딩홀)|041-578-0082|127.0142436|37.5723125
|오산한국병원장례식장|경기도 오산시 밀머리로1번길 16지하 (원동, 오산한국병원)|031-375-7600|127.075215|37.141103
|아성병원장례식장|경상북도 구미시 선기로 155-23 (선기동)|054-442-5555|128.3069999|36.128627
|홍천장례문화원|강원도 홍천군 홍천읍 설악로 2374 (와동리)|033-434-7788|127.936486|37.727841
|효사랑장례문화원|전라북도 전주시 완산구 용머리로 77 (효자동1가, 효사랑가족요양병원)|063-250-4444|127.1188362|35.8067071
|담양제일장례식장|전라남도 담양군 담양읍 추성로 1198 (양각리)|061-382-1111|126.970019|35.318664
|화천군공설장례식장|강원도 화천군 하남면 영서로 5697-66(원천리, 화천장례식장)|033-442-0452|127.6792806|38.0703023
|예산장례식장|충청남도 예산군 오가면 오가중앙로 81-17 (역탑리)|041-334-4441|126.7996979|36.6893986
|대한민군경회광주보훈병원장례사업소|광주광역시 광산구 첨단월봉로 99 (산월동, 광주보훈병원)|062-973-9164|126.84935|35.20774
|순천향부천장례식장|경기도 부천시 원미구 조마루로 170 (중동, 순천향대학교부천병원)|032-327-3060|126.7627444|37.4978251
|춘천장례식장|강원도 춘천시 동면 장학리 409|033-256-4444|127.0142436|37.5723125
|안산온누리병원장례식장|경기도 안산시 단원구 선부로 201 (선부동)|031-487-4444|126.8174982|37.3418275
|하나원전문장례식장|대구광역시 달성군 현풍면 논공로 96 (성하리)|053-615-4000|128.444293|35.7140943
|장흥우리병원중앙장례식장|전라남도 장흥군 장흥읍 남부관광로 6 (건산리)|061-863-4444|126.910706|34.675606
|원주의료원장례식장|강원도 원주시 서원대로 387 (개운동, 지방공사강원도원주의료원)|033-760-4644|127.9489068|37.3330067
|경기도의료원 이천병원장례식장|경기도 이천시 경충대로 2742 (관고동)|031-630-4444|127.4328154|37.2825934
|경상남도 마산의료원장례식장|경상남도 창원시 마산합포구 3.15대로 231 (중앙동3가)|055-249-1700|128.566665|35.1988628
|성남시장례식장|경기도 성남시 중원구 순암로 800 (갈현동)|031-752-0404|127.1829931|37.4204626
|혜인요양병원장례식장|경상남도 양산시 웅상대로 955지하1층장례식장 (평산동, 토해인병원)|055-912-4449|129.1550255|35.3849138
|순천의료원장례식장|전라남도 순천시 서문성터길 2 (매곡동, 순천의료원)|061-759-9090|127.4834761|34.9581335
|큰사랑요양병원장례식장|경상남도 창원시 마산회원구 북성로 469,지하1층 (두척동, 큰사랑요양병원)|055-231-5444|128.5469629|35.236391
|배성병원장례식장|대구광역시 북구 검단로 140 (검단동)|053-382-1600|128.6222964|35.9081123
|예산명지병원장례식장|충청남도 예산군 예산읍 신례원로 26 (관작리)|041-334-0443|126.8344759|36.7135463
|천사병원장례식장|대구광역시 서구 달구벌대로 1889 (내당동)|053-522-0444|128.5708751|35.8621546
|목포장례식장|전라남도 목포시 고하대로 1140-41 (대양동)|061-242-4400|126.4056838|34.8401654
|현대병원장례식장|경상남도 김해시 구산로 23 (구산동)|055-331-0036|128.8713956|35.2490459
|혜성병원장례식장|전라북도 부안군 부안읍 부령로 33 (선은리, 혜성병원)|063-584-4300|126.7460738|35.7327818
|거창장례식장|경상남도 거창군 거창읍 장팔길 159-15 (장팔리)|055-944-4444|127.9070281|35.6732609
|주식회사 헤븐앤어스|경기도 고양시 덕양구 화수로14번길 55, 명지병원지하(화정동, 명지병원)|031-810-5444|126.8307789|37.6441641
|화순전남대학교병원장례식장|전라남도 화순군 화순읍 서양로 322 화순전남대학교병원 장례식장(일심리, 화순전남대학교병원)|061-379-7444|127.0026659|35.0561065
|제일장례식장|경기도 평택시 삼봉로 30 (독곡동)|031-611-1144|127.0664502|37.0894129
|함안장례식장|경상남도 함안군 가야읍 삼봉로 425 (묘사리)|055-584-5515|128.382948|35.291307
|모악장례문화원|전라북도 전주시 완산구 우림로 1109 (삼천동2가)|063-221-4400|127.1081599|35.7856901
|연세에스병원장례식장|경상남도 창원시 진해구 해원로32번길 13 (이동)|055-548-7759|128.6983452|35.1545448
|순천향대학병원장례식장|서울특별시 용산구 대사관로 59 (한남동, 순천향대학교병원)|02-797-4444|127.0043336|37.5339355
|실로암사랑요양병원장례식장|전라북도 익산시 선화로 389 (영등동)|063-858-4444|126.972873|35.946379
|(복)대구가톨릭사회복지회논공 장례식장|대구광역시 달성군 논공읍 논공로 210성요셉요양병원장례식장 (남리)|053-617-3644|128.4537507|35.721012
|계명대학교경주동산병원장례식장|경상북도 경주시 봉황로 65 (서부동, 계명대학교경주동산병원)|054-774-0288|129.2094023|35.8472568
|효사랑요양병원장례식장|경상북도 영천시 금호읍 금호로 484 (신월리, 효사랑요양병원)|054-337-4044|128.906364|35.949646
|효자원장례식장|경기도 이천시 백사면 지읍로 169 (조읍리)|031-631-4411|127.4775047|37.3210663
|교하장례식장|경기도 파주시 하지석길 45지하1층 (교하장례식장) |031-944-4449|126.7422535|37.7547005
|시민장례식장|경상북도 경주시 화랑로 40 (성건동)|054-775-4443|129.2051753|35.8443683
|합천장례식장 고려지점|경상남도 합천군 대양면 대야로 737-20 (정양리)|055-931-4464|128.1616377|35.5517333
|(주)합천장례식장|경상남도 합천군 대양면 동부로 64-2 (정양리)|055-932-7000|128.168817|35.5554344
|수장례식장|부산광역시 부산진구 동평로 401 (양정동)|051-853-1024|129.068751|35.174419
|관산정남진장례식장|전라남도 장흥군 관산읍 관산로 133 (남송리)|061-867-4400|126.9361849|34.5666729
|강진의료원장례식장|전라남도 강진군 강진읍 탐진로 5 (서성리, 강진의료원)|061-430-1004|126.757457|34.6372553
|하늘정원장례식장|강원도 삼척시 강원남부로 4539 (등봉동, 인당장례식장)|033-575-4441|129.118299|37.455735
|부안호남장례식장|전라북도 부안군 행안면 부안로 2563 (신기리)|063-581-1004|126.7204988|35.7220451
|더조은장례식장|서울특별시 노원구 화랑로 323 (월계동)|02-941-4444|127.0636303|37.6148474
|조은금강병원장례식장|경상남도 김해시 김해대로 1814-37 (삼계동)|055-330-0400|128.8615992|35.2623034
|서울대학교병원장례식장|서울특별시 종로구 대학로 101,서울대학교병원 (연건동)|02-2072-2020|126.9983979|37.5792598
|천안의료원장례식장|충청남도 천안시 동남구 충절로 537 (삼룡동)|041-570-7044|127.1800625|36.7754092
|이래인장례식장|경상북도 구미시 인동20길 46 (진평동, 구미강동병원)|054-473-9650|128.4228503|36.0961415
|서해안장례식장|전라남도 목포시 고하대로 797 (연산동)|061-246-4444|126.3815126|34.8162782
|메디힐병원장례식장|서울특별시 양천구 남부순환로 331 (신월동)|02-2601-7500|126.8277244|37.5373069
|동마산병원장례식장|경상남도 창원시 마산회원구 3.15대로 681 (석전동)|055-290-5044|128.5783587|35.2339032
|전남대학교병원장례식장|광주광역시 동구 제봉로 42 (학동, 전남대학교병원)|062-220-5049|126.9220315|35.1416819
|성애장례식장|서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)|02-844-4444|126.92274|37.51206
|예천권병원장례식장|경상북도 예천군 예천읍 시장로 136 (동본리)|054-655-0456|128.4590263|36.6573136
|제일병원장례식장|울산광역시 남구 남산로354번길 26 (신정동, 제일병원)|052-220-3444|129.306891|35.5482242
|세화병원장례식장|경기도 안산시 상록구 용신로 355 (본오동)|031-501-4444|126.8615462|37.3020073
|강원도영월의료원장례예식장|강원도 영월군 영월읍 중앙1로 59 (영흥리, 영월의료원)|033-370-9142|128.4651096|37.1865308
|옥천농협장례식장|충청북도 옥천군 옥천읍 옥천로 1720 (대천리)|043-731-4443|127.5684661|36.2901839
|뉴고려병원장례식장|경기도 김포시 김포한강3로 283 (장기동)|031-998-4415|126.6602394|37.6409053
|(유)예수병원장례식장|전라북도 전주시 완산구 서원로 365 (중화산동1가, 예수병원)|063-285-1009|127.1328988|35.8141352
|함양제일장례식장|경상남도 함양군 함양읍 고운로 476-19 (백천리)|055-962-4002|127.7714411|35.5257613
|삼천포서울병원장례식장|경상남도 사천시 남일로 33 (동금동)|055-835-9944|128.0802625|34.9333862
|영덕제일요양병원장례식장|경상북도 영덕군 영덕읍 우곡길 52장례식장 (우곡리)|054-733-4440|127.0142436|37.5723125
|(주)캔서롭 제천지점 장례식장|충청북도 제천시 내토로 993 (고암동, 제천병원장례식장)|043-651-4440|128.2337501|37.1637881
|벌교삼성병원장례식장|전라남도 보성군 벌교읍 남하로 12 (장좌리)|061-858-4452|127.3459825|34.83369
|(유)한솔장례식장|전라북도 익산시 무왕로 1471-22 (팔봉동)|063-838-7444|127.0177831|35.9704278
|차병원장례식장|경상북도 구미시 신시로10길 12 (형곡동, 차병원)|054-452-1919|128.3407379|36.1147524
|(주)비이케이더블유 좋은삼선병원지점|부산광역시 사상구 가야대로 326 (주례동, 좋은삼선병원)|051-310-9292|129.0083192|35.1503219
|상주시민장례식장|경상북도 상주시 가장동  73-5 (경상대로 2693)|054-536-8800|128.150197|36.388162
|광주연세산업장례식장|광주광역시 북구 동운로 29 (동림동)|062-512-4444|126.8598585|35.1767002
|우리장례식장|경상남도 사천시 송포공단길 53 (송포동, 우리장례식장)|055-834-1024|128.0541128|34.9736125
|양천효병원장례식장|서울특별시 양천구 오목로 121 (신정동)|02-2692-4443|126.8511281|37.5242639
|봉서추모공원장묘협동조합|충청남도 홍성군 금마면 금마로516번길 85 (봉서리, 화장장)|041-631-9944|126.76279|36.609618
|성혜원장례식장|경기도 안성시 남파로 169,지하 (당왕동,성요셉병원)|031-671-6500|127.2691299|37.0166143
|국민요양병원장례식장|울산광역시 남구 번영로 15 (야음동)|052-269-0119|129.3298783|35.5270329
|예천장례식장|경상북도 예천군 예천읍 충효로 35-8 (지내리)|054-655-4442|128.4298223|36.6433935
|파주성모요양병원부설장례식장|경기도 파주시 탄현면 평화로574번길 17 (갈현리, 파주성모병원)|031-941-4444|126.7210897|37.7738818
|삼척의료원장례식장|강원도 삼척시 오십천로 418 (남양동)|033-572-1141|129.1635868|37.4401296
|성심장례식장|부산광역시 해운대구 좌동순환로 462 (중동, 성심병원)|051-747-5600|129.1717063|35.1624872
