NAME|BRANCH|ADDR|TELL|CLOSE_DATE|CLOSE_INFO
홈플러스 익스프레스|광명하안점|경기도 광명시 하안동 안현로 35|02-897-8557|2022-01-092022-01-23|09:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|광안점|부산광역시 수영구 수영로 625|051-756-2277|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스|광양점|전라남도 광양시 항만11로 70|061-760-8000|2022-01-092022-01-23|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스|광주계림점|광주광역시 동구 무등로 314|062-530-8000|2022-01-092022-01-23|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스|광주하남점|광주광역시 광산구 용아로 390|062-616-8000|2022-01-092022-01-23|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스 익스프레스|광화문점|서울특별시 종로구 새문안로 91|02-737-9994|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|괴정점|대전광역시 서구 갈마로 257|042-525-8546|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|구남점|부산광역시 북구 백양대로 1013|051-333-8545|2022-01-092022-01-23|09:00~23:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|구로점|서울특별시 구로구 구일로10길 27|02-868-8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|구미옥계점|경상북도 구미시 홍안로 15|054-474-8541|2022-01-092022-01-23|09:00~23:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|구미인의점|경상북도 구미시 수출대로 31길 76|054-476-8542|2022-01-092022-01-23|08:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스|구미점|경상북도 구미시 구미대로 174|054-459-8000|2022-01-122022-01-26|10:00~23:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스 익스프레스|구산점|서울특별시 은평구 서오릉로 145|02-358-8546|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|구월점|인천광역시 남동구 구월남로 198|032-463-8547|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스|구월점|인천광역시 남동구 예술로 198|032-428-2080|2022-01-092022-01-23|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스 익스프레스|구의2점|서울특별시 광진구 아차산로 473|02-458-8546|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|군포궁내점|경기도 군포시 고산로539번길 7-36|031-393-8547|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|군포부곡점|경기도 군포시 번영로28번길 37-12|031-462-8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|군포산본2점|경기도 군포시 산본천로 43-58|031-398-4970|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|군포수리산역점|경기도 군포시 번영로 380-1, 110|031-398-8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|군포오금점|경기도 군포시 번영로 405|031-393-8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스|금천점|서울특별시 금천구 시흥대로 391|02-890-8000|2022-01-092022-01-23|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스 익스프레스|금촌점|경기도 파주시 금빛로 4-1|031-947-8531|2022-01-122022-01-26|10:00~24:00 (단, 매월 2,4번째 수요일 휴점)
홈플러스 익스프레스|금호2점|서울특별시 성동구 동호로 102|02-2253-8541|2022-01-092022-01-23|08:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|금호점|서울특별시 성동구 행당로 6|02-2292-8545|2022-01-092022-01-23|08:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|길동점|서울특별시 강동구 양재대로 1486|02-470-8529|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|길음점|서울특별시 성북구 길음로 13길 22|02-942-8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스|김제점|전라북도 김제시 금성로 114|063-540-8000|2022-01-092022-01-23|10:00~23:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스 익스프레스|김포고창2점|경기도 김포시 김포한강2로 106|031-984-4253|2022-01-122022-01-26|09:00~24:00 (단, 매월 2,4번째 수요일 휴점)
홈플러스 익스프레스|김포고창점|경기도 김포시 장기동 5132-4 지상1층|031-981-8543|2022-01-122022-01-26|09:00~24:00 (단, 매월 2,4번째 수요일 휴점)
홈플러스 익스프레스|김포고촌점|경기도 김포시 고촌읍 인향로 10 지상1층|031-982-8547|2022-01-122022-01-26|09:00~24:00 (단, 매월 2,4번째 수요일 휴점)
홈플러스 익스프레스|김포수정점|경기도 김포시 김포한강2로23번길 14 (장기동, 1층)|031-984-8723|2022-01-122022-01-26|09:00~24:00 (단, 매월 2,4번째 수요일 휴점)
홈플러스 익스프레스|김포양곡점|경기도 김포시 김포한강8로 333|031-986-8548|2022-01-122022-01-26|09:00~24:00 (단, 매월 2,4번째 수요일 휴점)
홈플러스 익스프레스|김포장기2점|경기도 김포시 청송로 26|031-984-8544|2022-01-122022-01-26|09:00~24:00 (단, 매월 2,4번째 수요일 휴점)
홈플러스|김포점|경기도 김포시 중봉로 14|031-999-8000|2022-01-122022-01-26|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스|김포풍무점|경기도 김포시 풍무로 167|031-999-0000|2022-01-122022-01-26|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스 익스프레스|김해삼계점|경상남도 김해시 해반천로 254|055-313-8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|김해어방점|경상남도 김해시 인제로 167, 102|055-336-8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스|김해점|경상남도 김해시 김해대로 2078|055-320-8000|2022-01-092022-01-23|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스|남대구점|대구광역시 남구 대명로 116|053-659-8000|2022-01-092022-01-23|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스 익스프레스|남성점|서울특별시 동작구 사당로 215|02-3481-8541|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|남양주별내2점|경기도 남양주시 별내3로 64-7|031-575-9159|2022-01-122022-01-26|10:00~24:00 (단, 매월 2,4번째 수요일 휴점)
홈플러스 익스프레스|남양주별내점|경기도 남양주시 별내5로5번길 7|031-527-9545|2022-01-122022-01-26|10:00~24:00 (단, 매월 2,4번째 수요일 휴점)
홈플러스 익스프레스|남양주진접점|경기도 남양주시 진접읍 해밀예당3로 51|031-529-8545|2022-01-122022-01-26|10:00~24:00 (단, 매월 2,4번째 수요일 휴점)
홈플러스|내당점|대구광역시 서구 달구벌대로 1821|053-567-2080|2022-01-092022-01-23|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스 익스프레스|노은점|대전광역시 유성구 노은로 178, 110|042-826-8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스|논산점|충청남도 논산시 시민로 187|041-731-8000|2022-01-102022-01-24|10:00~23:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스 익스프레스|능곡점|경기도 시흥시 능곡로 182|031-404-8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|다대포점|부산광역시 사하구 다대낙조2길 3|051-266-8542|2022-01-092022-01-23|08:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|당산점|서울특별시 영등포구 당산로44길 3|02-2671-8546|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|대구구암2점|대구광역시 북구 구암로32길 6-10|053-326-8545|2022-01-092022-01-23|08:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|대구대곡점|대구광역시 달서구 명천로 18|053-636-8580|2022-01-092022-01-23|08:00~23:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|대구상인점|대구광역시 달서구 송현로7길 19|053-631-8545|2022-01-092022-01-23|08:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스|대구수성점|대구광역시 수성구 동대구로 95|053-760-8000|2022-01-092022-01-23|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스 익스프레스|대구용산점|대구광역시 달서구 용산로 220|053-525-8545|2022-01-092022-01-23|08:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|대구침산점|대구광역시 북구 침산남로 180-4|053-352-8545|2022-01-092022-01-23|08:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|대구화원점|대구광역시 달성군 화원읍 비슬로543길 27|053-638-8545|2022-01-092022-01-23|08:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|대방점|서울특별시 동작구 노량진로 4|02-813-8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|대야점|경기도 시흥시 은행로173번길 17|031-314-8542|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스|대전가오점|대전광역시 동구 은어송로 72|042-281-8000|2022-01-092022-01-23|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스 익스프레스|대전갈마점|대전광역시 서구 갈마중로 12|042-535-8546|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|대전관저점|대전광역시 서구 관저북로 71, 133|042-545-8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|대전관평점|대전시 유성구 관평2로 52|042-933-8545|2022-01-092022-01-23|10:00~23:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|대전도안2점|대전광역시 서구 원도안로 191|042-545-8591|2022-01-092022-01-23|10:00~23:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|대전도안점|대전광역시 유성구 도안대로 511-6|042-826-8542|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|대전둔산점|대전광역시 서구 청사로 281|042-477-8546|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|대전신성점|대전광역시 유성구 신성남로 51|042-863-8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|대전오류점|대전광역시 중구 계룡로 858|042-525-8847|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|대전원내점|대전광역시 유성구 진잠로 78번길 70|042-545-9550|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|대치역점|서울특별시 강남구 삼성로 155|02-553-8526|2022-01-092022-01-23|10:00~23:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|대치점|서울특별시 강남구 도곡로 450|02-569 - 8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|도곡2점|서울특별시 강남구 논현로 28길 9|02-3463-8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|도곡점|서울특별시 강남구 선릉로 227 1층|02-577-8547|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|도림점|서울특별시 영등포구 도신로 75|02-833-8535|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|도원점|대구광역시 달서구 도원로 36|053-632-8544|2022-01-092022-01-23|08:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|도화점|서울특별시 마포구 새창로8길 72, 상가|02-3272-8544|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스|동광주점|광주광역시 북구 동문대로 200|062-250-8000|2022-01-092022-01-23|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스|동대문점|서울특별시 동대문구 천호대로 133|02-2173-8000|2022-01-092022-01-23|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스|동대전점|대전광역시 동구 한밭대로 1282|042-608-8000|2022-01-092022-01-23|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스 익스프레스|동두천지행점|경기도 동두천시 지행로 50|031-866-8545|2022-01-16|09:00~23:00 ()
홈플러스|동래점|부산광역시 동래구 중앙대로 1523|051-559-8000|2022-01-092022-01-23|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.))
홈플러스 익스프레스|동부점|부산광역시 해운대구 세실로 158|051-701-8520|2022-01-092022-01-23|08:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스|동수원점|경기도 수원시 팔달구 효원로 257|031-231-8000|2022-01-092022-01-23|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스|동청주점|충청북도 청주시 청원구 충청대로 114 지하1층|043-290-8000|2022-01-092022-01-23|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스|동촌점|대구광역시 동구 동촌로 127|053-559-2080|2022-01-092022-01-23|10:00~23:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스 익스프레스|동탄2점|경기도 화성시 능동 1152-1 위너스프라자1층|031-613-8559|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|동탄3점|경기도 화성시 동탄지성로 142|031-8003-8542|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|동탄점|경기도 화성시 동탄솔빛로 53|031-8003-8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|등촌점|서울특별시 강서구 공항대로41길 56|02-2658-8544|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|뚝섬점|서울특별시 성동구 아차산로 41|02-499-8545|2022-01-092022-01-23|08:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|마두점|경기도 고양시 일산동구 일산로 198|031-901-8545|2022-01-122022-01-26|10:00~24:00 (단, 매 월 두 번째, 네 번째 수요일 휴점)
홈플러스 익스프레스|마산양덕점|경상남도 창원시 마산회원구 율림교로 12|055-297-8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스|마산점|경상남도 창원시 마산회원구 삼호로 56|055-259-8000|2022-01-092022-01-23|10:00~23:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스 익스프레스|마산호계점|경상남도 창원시 마산회원구 내서읍 광려천북로 198-2|055-232-8051|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|망우점|서울특별시 중랑구 용마산 494|02-434-8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|매탄점|경기도 수원시 영통구 효원로 363|031-212-8543|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|메트로시티점|부산광역시 남구 분포로 113, 1005-201|051-612-8003|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스|면목점|서울시 중랑구 사가정로 332 (면목동)|02-437-2080|2022-01-092022-01-23|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스 익스프레스|면목점|서울특별시 중랑구 면목로 357|02-493-8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|명륜2점|서울특별시 종로구 혜화로3길 5|02-764-8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|명륜점|서울특별시 종로구 혜화로 17|02-747-8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|명촌점|울산시 북구 명촌 10길 3번|052-287-8543|2022-01-122022-01-23|10:00~24:00 (단, 매월 2번째 수요일, 4번째 일요일 휴점)
홈플러스 익스프레스|모라점|부산광역시 사상구 모라로 116|051-328-2862|2022-01-092022-01-23|08:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|목동2점|서울특별시 양천구 등촌로 172|02-2062-8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|목동점|서울특별시 양천구 목동동로 401|02-2651-8546|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스|목동점|서울특별시 양천구 목동서로 170|02-2644-2080|2022-01-092022-01-23|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스|목포점|전라남도 목포시 영산로 313|061-241-8000|2022-01-092022-01-23|10:00~23:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.),(09.30일까지 24시 영업)
홈플러스|문경점|경상북도 문경시 모전로 65|054-559-8000|2022-01-122022-01-26|10:00~23:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스 익스프레스|문현점|부산광역시 남구 고동골로 66|051-638-8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스|문화점|대전광역시 중구 계백로 1690|042-226-2080|2022-01-092022-01-23|10:00~24:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스 익스프레스|미아점|서울특별시 강북구 도봉로 172|02-980-8547|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스|밀양점|경상남도 밀양시 점필재로 45|055-359-8000|2022-01-092022-01-23|10:00~22:00 (휴무일은 지자체 상황에 따라 변경될 수 있습니다.)
홈플러스 익스프레스|반석점|대전광역시 유성구 반석동로 52|042-822-8540|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|반포2점|서울특별시 서초구 반포대로 287|02-3481-8545|2022-01-092022-01-23|08:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|반포점|서울특별시 서초구 사평대로45길 10-25|02-536-8545|2022-01-092022-01-23|08:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|발산점|서울시 강서구 발산 수명로 68-35|02-2667-8545|2022-01-092022-01-23|10:00~24:00 (단, 매월 2,4번째 일요일 휴점)
홈플러스 익스프레스|방배2점|서울특별시 서초구 효령로33길 55|02-3474-9605|2022-01-092022-01-23|08:00~24:00 (단, 매월 2,4번째 일요일 휴점)
