##NAME|SUBNAME|TELNUM|ADDR|NEWADDR|ID|FEAT@@CU
CU|ES충주호리조트점|043-641-0118|충청북도 제천시 수산면 능강리 200-10번지|충청북도 제천시 수산면 옥순봉로 1248, (능강리)|18188|
CU|E가평휴게소상행선점|031-584-5902|경기도 가평군 설악면 미사리 145-3번지|경기도 가평군 설악면 미사리로 544, (미사리)|30567|24시간
CU|E가평휴게소하행선점|031-584-5901|경기도 가평군 설악면 미사리 149-4번지|경기도 가평군 설악면 미사리로540번길 51, (미사리)|30568|24시간
CU|E거가대교가덕휴게소|070-4050-6917|부산광역시 강서구 천성동 488-6번지|부산광역시 강서구 거가대로 2571, (천성동)|14549|24시간
CU|E거가대교거제휴게소|055-736-2200|경상남도 거제시 장목면 율천리 산41-5번지|경상남도 거제시 장목면 거가대로 1068, (율천리)|14548|24시간
CU|E경기광주휴게소상행|031-8027-3945|경기도 광주시 곤지암읍 유사리 산30-2번지외 19필지|경기도 광주시 곤지암읍 만삼로 211 _|27519|24시간
CU|E경기광주휴게소하행|031-8027-3940|경기도 광주시 곤지암읍 삼합리 산27-2번지외 25필지|경기도 광주시 곤지암읍 만삼로 270 _|27520|24시간
CU|E구리남양주휴게소점||경기도 구리시 토평동 86번지 한국도로공사구리남양주영업소|경기도 구리시 서울외곽순환고속도로 27 한국도로공사구리남양주영업소 (토평동) 한국도로공사구리남양주영업소|33329|튀김;커피
CU|E군자휴게소점|0|경기도 시흥시 거모동 산62-10번지 한국도로공사군자영업소|경기도 시흥시 군자로335번길 36-29 한국도로공사군자영업소 (거모동) 한국도로공사군자영업소|33330|커피
CU|E김포휴게소점||경기도 김포시 고촌읍 신곡리 760-2번지 한국도로공사김포영업소|경기도 김포시 고촌읍 김포대로319번길 209-23 한국도로공사김포영업소 (신곡리) 한국도로공사김포영업소|33341|24시간;튀김;커피
CU|E별내휴게소점|070-5079-7691|경기도 남양주시 별내면 광전리 산114-15번지||29413|24시간;커피
CU|E서하남휴게소점||경기도 하남시 춘궁동 212번지|경기도 하남시 서울외곽순환고속도로 19|33331|24시간;튀김;커피
CU|E시흥상공휴게소1점||경기도 시흥시 조남동 산15-1번지|경기도 시흥시 서울외곽순환고속도로 105, (조남동)|33021|24시간
CU|E시흥상공휴게소2점||경기도 시흥시 조남동 산15-1번지|경기도 시흥시 서울외곽순환고속도로 105, (조남동)|33020|
CU|E양평휴게소상행선점|031-8027-2191|경기도 양평군 양동면 산166-3번지|경기도 양평군 양동면 여양3로 384-27 _|27547|24시간;커피
CU|E양평휴게소하행선점|031-8027-2172|경기도 양평군 양동면 산180-3번지|경기도 양평군 양동면 송석2길 52 _|29255|24시간
CU|E의왕휴게소상행선점|031-477-7893|경기도 의왕시 왕곡동 252번지 경기남부도로|경기도 의왕시 오전로 24 경기남부도로 (왕곡동) 경기남부도로|33337|24시간
CU|E의왕휴게소하행선점|031-429-9256|경기도 의왕시 왕곡동 산33-5번지 경기남부도로|경기도 의왕시 오전로 24 경기남부도로 (왕곡동) 경기남부도로|33338|24시간
CU|E의정부휴게소점||경기도 의정부시 산곡동 304-2번지||29414|24시간;커피
CU|E청도휴게소(상)점||경상북도 청도군 청도읍 거연리 산288-4번지|경상북도 청도군 청도읍 하지길 59-50, (거연리)|31606|24시간
CU|E청도휴게소(하)점||경상북도 청도군 청도읍 거연리 950번지|경상북도 청도군 청도읍 하지길 59-49, (거연리)|31607|24시간
CU|JJ가락점|02-448-5375|서울특별시 송파구 가락동 127-20번지|서울특별시 송파구 송이로27길 6,  (가락동)|31011|24시간;택배;베이커리;튀김;커피;ATM
CU|JJ올림픽점|02-401-2495|서울특별시 송파구 방이동 89-11번지 방이동|서울특별시 송파구 양재대로 1222, 방이동 (방이동)|30450|24시간;택배;커피
CU|JTBC일산지점||경기도 고양시 일산동구 장항동 1778(일산동구 한류월드로 270)||33503|택배
CU|JW타워점||서울특별시 서초구 서초동 1424-2번지 JWTOWER|서울특별시 서초구 남부순환로 2477, JWTOWER  (서초동)|26272|
CU|KCC스위첸점||전라북도 전주시 덕진구 송천동1가 97-6번지|전라북도 전주시 덕진구 오송1길 37-13|31593|24시간;택배;튀김;커피;ATM
CU|KH기쁨주유소점|031-977-5156|경기도 고양시 일산동구 식사동 609-7번지 1층|경기도 고양시 일산동구 고양대로 1064, (식사동) 1층|32641|
CU|KH덕소주유소점|031-577-2916|경기도 남양주시 와부읍 713-1번지 GS덕소주유소|경기도 남양주시 와부읍 경강로 881, GS덕소주유소  (팔당리)|31854|24시간
CU|KH독립문주유소점|080-80-3663|서울특별시 서대문구 홍제동 103-10번지 독립문주유소 1층|서울특별시 서대문구 통일로 384 독립문주유소 1층|30455|커피
CU|KH에너지연천충전소점||경기도 연천군 청산면 초성리 366-2번지 연천LPG충전소|경기도 연천군 청산면 평화로 193 연천LPG충전소 (초성리) 연천LPG충전소|33822|
CU|KH외발산주유소점||서울특별시 강서구 외발산동 379번지 외 5필지||33365|커피
CU|KORAIL연수원점|033-820-7725|강원도 양양군 강현면 정암리 952번지|강원도 양양군 강현면 동해대로 3457, (정암리)|19782|
CU|KTX강릉역점|033-645-5555|강원도 강릉시 교2동 129-6번지|강원도 강릉시 용지로 174 (교동)|31979|24시간;택배;커피;ATM
CU|KTX광명점|02-899-2552|경기도 광명시 일직동 510-6번지 서원빌딩|경기도 광명시 신기로17번길 3, 서원빌딩  (일직동)|21729|24시간;택배;커피;ATM
CU|KTX서대구광장점|053-560-5525|대구광역시 서구 상중이동 42-35번지|대구광역시 서구 와룡로 489, (이현동)|32923|24시간;택배;커피
CU|KT스마트메디타워점|053-552-7988|대구광역시 중구 동인동2가 74-15번지 1층|대구광역시 중구 동덕로 167,  (동인동2가) 1층|24258|택배;커피
CU|KT지식센터점|070-4416-0927|서울특별시 영등포구 영등포동8가 92번지 1층 104호|서울특별시 영등포구 영신로 220, (영등포동8가) 1층 104호|19439|택배;베이커리;커피
CU|LG로점|031-948-5424|경기도 파주시 월롱면 덕은리 1015번지 1층|경기도 파주시 월롱면 엘지로 248, (덕은리) 1층|30926|24시간;택배;커피;ATM
CU|M강남역점|02-556-5590|서울특별시 강남구 역삼동 821-1번지 강남역구내상가 번호|서울특별시 강남구 테헤란로 101, 강남역구내상가 번호(역삼동)|33063|
CU|M건대입구역점|02-457-5556|서울특별시 광진구 화양동 7-3번지 구내상가 번호 04선 건대입구역 2층층|서울특별시 광진구 아차산로 243, 구내상가 번호 04 선 건대입구역(화양동) 2층층|33065|
CU|M구의역점|02-457-5556|서울특별시 광진구 구의동 245-24번지 2호선 구의역|서울특별시 광진구 아차산로 384-1, (구의동, 2호선 구의역)|33066|
CU|M대림역점|02-3414-3300|서울특별시 영등포구 대림동 1050-17번지 대림역|서울특별시 영등포구 대림로 지하 137 대림역|31982|
CU|M미아역점|02-985-5558|서울특별시 강북구 미아동 197-14번지 선미아역구내상가번호 05|서울특별시 강북구 도봉로 200, 선미아역구내상가 번호 05(미아동)|33069|
CU|M사당폰토피아점|010-6340-3382|서울특별시 동작구 사당동 588-45번지 사당역(4호선)|서울특별시 동작구 동작대로 지하 3 사당역(4호선) (사당동) 사당역(4호선)|32250|베이커리;커피;ATM
CU|M신도림역점||서울특별시 구로구 신도림동 460-26번지 구내상가   번호|서울특별시 구로구 새말로 117-21, 구내상가 번호(신도림동)|33068|
CU|M신촌역점||서울특별시 마포구 노고산동 57-5번지 구내상가   번호|서울특별시 마포구 신촌로 90, 구내상가 번호(노고산동)|33067|
CU|M양재역점||서울특별시 서초구 서초동 1366-9번지 선양재역구내상가  번호 08 지하1층층|서울특별시 서초구 남부순환로 2585, 선양재역구내상가 번호08(서초동) 지하1층층|33062|
CU|M역삼역점||서울특별시 강남구 역삼동 804번지 역삼역|서울특별시 강남구 테헤란로 156, (역삼동)|33064|
CU|M잠실롯데타워점|02-423-4459|서울특별시 송파구 신천동 7-4번지 잠실역8호선|서울특별시 송파구 올림픽로 305 잠실역8호선|26450|커피
CU|M잠실역점|02-423-0625|서울특별시 송파구 잠실동 8번지 서울메트로  2호선 잠실역 1층 216동 02호|서울특별시 송파구 올림픽로 265, 서울메트로 2호선 잠실역(잠실동) 1층 216동 02호|25384|
CU|M종합운동장역점|02-424-0625|서울특별시 송파구 잠실동 122번지 서울메트로  2호선 지하층 218동 02호|서울특별시 송파구 올림픽로 23, 서울메트로 2호선(잠실동) 지하층 218동 02호|25385|
CU|M홍제역점||서울특별시 서대문구 홍제동 161-1번지 선홍제역  지하 지하2층|서울특별시 서대문구 통일로 440-1, 선홍제역 지하(홍제동) 지하2층|33070|
CU|NHN내츄럴스토어점|031-712-8714|경기도 성남시 분당구 정자동 178-1번지 엔에치엔주식회사 주식회사|경기도 성남시 분당구 불정로 6, 엔에치엔주식회사  주식회사(정자동)|30543|24시간;커피
CU|SBS목동신사옥점|02-2652-9890|서울특별시 양천구 목동 920번지 S방송센터 SB 내 B1층|서울특별시 양천구 목동서로 161, S방송센터  SB 내(목동) B1층|31774|
CU|SK21세기주유소점|02-832-7926|서울특별시 동작구 신대방동 686-44번지|서울특별시 동작구 시흥대로 616, (신대방동)|22620|
CU|SK4공단주유소점|042-935-6051|대전광역시 대덕구 신일동 1684번지 SK4공단 주유소|대전광역시 대덕구 대덕대로 1412, SK4공단  주유소(신일동)|22727|24시간;커피
CU|SKKOREA주유소점|02-2646-6121|서울특별시 양천구 신정동 296-31번지|서울특별시 양천구 신목로7길 1, (신정동)|22617|
CU|SK가산IC주유소점|054-976-6051|경상북도 칠곡군 가산면 천평리 4번지|경상북도 칠곡군 가산면 송신로 113, (천평리)|22711|ATM
CU|SK가양주유소점|02-3664-6051|서울특별시 강서구 가양동 151-1번지|서울특별시 강서구 강서로 498, (가양동)|31143|24시간
CU|SK강매주유소점|031-972-1555|경기도 고양시 흥도동 704번지 도내동주유소 1층|경기도 고양시 덕양구 중앙로 316, 도내동주유소  (도내동) 1층|29771|24시간;택배;커피
CU|SK강변주유소점|051-301-3441|부산광역시 사상구 삼락동 409-12번지 SK주유소 1층|부산광역시 사상구 낙동대로 1274, SK주유소  (삼락동) 1층|22718|
CU|SK강화경기주유소점|032-933-5060|인천광역시 강화군 선원면 창리 612-2번지 1층|인천광역시 강화군 선원면 중앙로 233, (창리) 1층|29017|
CU|SK개나리주유소점|033-264-0370|강원도 춘천시 석사동 818-6번지|강원도 춘천시 퇴계로 231, (석사동)|22705|택배;커피
CU|SK경기주유소점|031-665-4253|경기도 평택시 장당동 477-2번지 1층|경기도 평택시 송탄로 81, (장당동) 1층|22676|택배
CU|SK경산주유소점|053-853-6051|경상북도 경산시 진량읍 신상리 1083번지|경상북도 경산시 진량읍 대학로 1021, (신상리)|22706|
CU|SK경원주유소점|031-668-5185|경기도 평택시 독곡동 384-6번지|경기도 평택시 경기대로 1602, (독곡동)|22660|택배;커피;ATM
CU|SK고속세차주유소점|031-214-6644|경기도 수원시 영통구 매탄동 1-1번지 수원고속주유소 1층|경기도 수원시 영통구 중부대로 384, 수원고속주유소  (매탄동) 1층|25107|24시간
CU|SK고속주유소점|031-261-1374|경기도 용인시 수지구 상현동 373-3번지 1층|경기도 용인시 수지구 포은대로 95, (상현동) 1층|22690|
CU|SK고잔주유소점|031-413-8076|경기도 안산시 단원구 고잔동 519-2번지|경기도 안산시 단원구 적금로 114, (고잔동)|31150|
CU|SK고현주유소점||경상남도 거제시 고현동 963-7번지 SK주유소 1층 1동 1호|경상남도 거제시 고현로 177 SK주유소 (고현동) SK주유소 1층 1동 1호|32578|택배;커피
CU|SK공단1주유소점|032-812-4162|인천광역시 남동구 남촌동 624-3번지 1층|인천광역시 남동구 남동대로 357, (남촌동) 1층|22648|ATM
CU|SK공단2주유소점|032-817-8781|인천광역시 남동구 고잔동 673-10번지 1층|인천광역시 남동구 앵고개로 463, (고잔동) 1층|22649|ATM
CU|SK광덕주유소점|02-923-5545|서울특별시 성북구 보문동5가 145-1번지 1층|서울특별시 성북구 보문로 89, (보문동5가) 1층|22628|24시간;ATM
CU|SK광명삼성주유소점|02-898-4454|경기도 광명시 하안동 338-1번지 1층층|경기도 광명시 범안로 925, (하안동) 1층층|24983|
CU|SK광주OK주유소점|062-511-5106|광주광역시 북구 동림동 885-12번지 SK광주OK주유소 1층|광주광역시 북구 하남대로 691, SK광주OK주유소  (동림동) 1층|22735|24시간
CU|SK괴정주유소점|051-206-7446|부산광역시 사하구 괴정동 493-10번지|부산광역시 사하구 사하로 129, (괴정동)|24566|택배
CU|SK구성신도시주유소점|031-287-0151|경기도 용인시 기흥구 마북동 507번지|경기도 용인시 기흥구 용구대로 2381, (마북동)|22692|24시간
CU|SK군자주유소점|031-495-5184|경기도 시흥시 거모동 1770-12번지|경기도 시흥시 도일로 146, (거모동)|22675|
CU|SK극동주유소점|055-255-5079|경상남도 창원시 마산회원구 석전동 270-32번지|경상남도 창원시 마산회원구 삼호로 258, (석전동)|22723|24시간
CU|SK기흥톨게이트주유소|031-285-8733|경기도 용인시 기흥구 농서동 267-2번지|경기도 용인시 기흥구 삼성2로 34, (농서동)|22686|
CU|SK길동고속주유소점|02-472-1996|서울특별시 강동구 둔촌동 600-1번지 1층|서울특별시 강동구 천호대로 1246, (둔촌동) 1층|22622|24시간
CU|SK김포주유소점|031-982-5488|경기도 김포시 북변동 800번지|경기도 김포시 김포대로 970, (북변동)|22652|24시간;택배;커피
CU|SK남대구IC주유소점|053-582-5361|대구광역시 달서구 월성동 210번지|대구광역시 달서구 성서공단로 372, (월성동)|22708|24시간;택배;커피;ATM
CU|SK남부셀프주유소점|02-2690-5001|서울특별시 양천구 신월동 525-1번지 남부셀프주유소 1층|서울특별시 양천구 남부순환로 553, 남부셀프주유소  (신월동) 1층|22636|24시간
CU|SK남촌주유소점|031-375-6300|경기도 오산시 가수동 298-1번지 1층|경기도 오산시 청학로 4, (가수동) 1층|22673|24시간;택배
CU|SK노원역주유소점|02-933-5103|서울특별시 노원구 상계동 706-2번지|서울특별시 노원구 노해로75길 20-25, (상계동)|33126|24시간;택배
CU|SK노은주유소점|042-477-5182|대전광역시 유성구 노은동 534-11번지 1층|대전광역시 유성구 노은동로 79, (노은동) 1층|22726|택배
CU|SK논현제일주유소점|032-437-5185|인천광역시 남동구 고잔동 246-16번지 1층|인천광역시 남동구 청능대로 460, (고잔동) 1층|27592|
CU|SK대구합천주유소점|053-356-1010|대구광역시 서구 비산동 2043-16번지 1층|대구광역시 서구 염색공단천로 78, (비산동) 1층|16258|커피;ATM
CU|SK대명주유소점|02-2201-4392|서울특별시 광진구 화양동 302-13번지 1층|서울특별시 광진구 광나루로 460, (화양동) 1층|22624|24시간
CU|SK대성주유소점|041-546-5992|충청남도 아산시 풍기동 206-1번지 SK대성주유소|충청남도 아산시 온천대로 1660, SK대성주유소  (풍기동)|22729|24시간
CU|SK대양충전소점|052-298-3114|울산광역시 북구 신천동 422-2번지|울산광역시 북구 산업로 1454, (신천동)|19456|24시간;ATM
CU|SK대우셀프주유소점|02-572-0567|서울특별시 서초구 양재동 216번지 톨게이트주유소|서울특별시 서초구 양재대로 173 톨게이트주유소|29457|
CU|SK대자셀프주유소점|031-969-5186|경기도 고양시 덕양구 대자동 271-8번지 대자주유소 1층|경기도 고양시 덕양구 통일로 499 대자주유소 1층|27032|
CU|SK대전OK주유소점|042-633-8757|대전광역시 대덕구 읍내동 454-7번지 SK대전OK주유소 1층|대전광역시 대덕구 대전로 1312, SK대전OK주유소  (읍내동) 1층|22728|
CU|SK대전청사주유소점|042-486-6222|대전광역시 서구 둔산동 1161번지 SK대전청사 주유소 1층|대전광역시 서구 대덕대로 188, SK대전청사  주유소(둔산동) 1층|22725|24시간;택배;커피;ATM
CU|SK대호주유소점|031-243-6022|경기도 수원시 영통구 이의동 27-1번지|경기도 수원시 영통구 창룡대로 442, (이의동)|22110|24시간
CU|SK덕양제2주유소점|031-924-5192|경기도 고양시 일산서구 덕이동 309-5번지|경기도 고양시 일산서구 경의로 940|28177|
CU|SK도봉행복주유소점|02-3492-7371|서울특별시 도봉구 도봉동 298-2번지 다락원주유소|서울특별시 도봉구 도봉로 941 다락원주유소 (도봉동) 다락원주유소|32178|택배;커피
CU|SK도움아주주유소점|055-681-5141|경상남도 거제시 아주동 246-7번지|경상남도 거제시 거제대로 3417, (아주동)|22722|
CU|SK동광주유소점|052-287-3626|울산광역시 북구 화봉동 982-8번지|울산광역시 북구 안기번득길 21, (화봉동)|22717|
CU|SK동남주유소점|042-931-0050|대전광역시 대덕구 상서동 442-2번지 SK동남주유소 1층|대전광역시 대덕구 신탄진로 470, SK동남주유소  (상서동) 1층|22724|
CU|SK동양주유소점|031-494-3399|경기도 안산시 단원구 신길동 1743번지 1층|경기도 안산시 단원구 중앙대로 351 1층|29515|커피
CU|SK동탄셀프주유소점|031-613-8717|경기도 화성시 능동 1105번지 1층|경기도 화성시 여울로3길 21, (능동) 1층|31151|24시간
CU|SK둔전주유소점|031-332-0049|경기도 용인시 처인구 포곡읍 둔전리 52-1번지|경기도 용인시 처인구 포곡읍 포곡로 177, (둔전리)|22695|
CU|SK맘모스주유소점|041-563-7001|충청남도 천안시 동남구 신부동 38-7번지|충청남도 천안시 동남구 만남로 126, (신부동)|13992|24시간;커피
CU|SK매일주유소점|02-988-1288|서울특별시 강북구 미아동 746-3번지|서울특별시 강북구 삼양로 217, (미아동)|22629|
CU|SK목감주유소점|031-403-8051|경기도 시흥시 목감동 202-22번지|경기도 시흥시 수인로 2335, (목감동)|22672|
CU|SK무궁화주유소점|055-337-1188|경상남도 김해시 내동 1144-5번지|경상남도 김해시 내외중앙로 56, (내동)|22715|
CU|SK민락주유소점|031-853-3133|경기도 의정부시 용현동 2-1번지|경기도 의정부시 충의로 91, (용현동)|22699|커피;ATM
CU|SK반월공단주유소점|031-493-5182|경기도 안산시 단원구 초지동 626-13번지 1층|경기도 안산시 단원구 시우로 46, (초지동) 1층|22679|24시간;택배;커피;ATM
CU|SK반월주유소점|031-406-5991|경기도 안산시 상록구 일동 648번지|경기도 안산시 상록구 수인로 1226, (일동)|22665|24시간;택배;ATM
CU|SK반포주유소점|02-599-5189|서울특별시 서초구 방배동 750-20번지|서울특별시 서초구 사평대로 12, (방배동)|22621|24시간;택배
CU|SK백제고분로주유소점|02-2202-4050|서울특별시 송파구 방이동 109-6번지 1층|서울특별시 송파구 오금로 143, (방이동) 1층|25887|24시간
CU|SK봉담톨게이트주유|031-298-5100|경기도 화성시 봉담읍 동화리 357-1번지 1층|경기도 화성시 봉담읍 삼천병마로 1346, (동화리) 1층|22666|24시간;택배
CU|SK부천주유소점|032-678-5184|경기도 부천시 원미구 중동 3-374번지 1층|경기도 부천시 원미구 신흥로 281, (중동) 1층|22654|
CU|SK부평주유소점|032-524-5151|인천광역시 부평구 산곡동 411-16번지 1층|인천광역시 부평구 원적로 417, (산곡동) 1층|22657|택배;커피
CU|SK북수원주유소점|031-207-5189|경기도 수원시 장안구 율전동 114-3번지|경기도 수원시 장안구 서부로 2201, (율전동)|22687|
CU|SK사과나무주유소점|031-842-5157|경기도 양주시 광사동 317번지|경기도 양주시 부흥로 1881, (광사동)|14070|ATM
CU|SK사우디제7주유소점|031-902-1155|경기도 고양시 일산동구 장항동 541-18번지|경기도 고양시 일산동구 백마로 37, (장항동)|14078|24시간
CU|SK삼성제일주유소점|053-585-6051|대구광역시 달서구 신당동 1629-22번지 1층|대구광역시 달서구 달구벌대로 1154, (신당동) 1층|31142|
CU|SK삼성주유소점|031-225-6974|경기도 화성시 반월동 539-1번지 1층|경기도 화성시 효행로 1279, (반월동) 1층|22678|ATM
CU|SK삼일주유소점|031-979-0314|경기도 고양시 덕양구 토당동 866-3번지|경기도 고양시 덕양구 지도로 15, (토당동)|22698|24시간;커피;ATM
CU|SK삼척IC점|033-575-5151|강원도 삼척시 등봉동 11-1번지|강원도 삼척시 오십천로 101, (등봉동)|29483|커피
CU|SK상동주유소점|032-322-5182|경기도 부천시 원미구 상동 499-6번지 1층|경기도 부천시 원미구 송내대로 369, (상동) 1층|22656|
CU|SK새관양주유소점|031-423-6942|경기도 수원시 장안구 영화동 104-28번지 삼양빌딩 1층|경기도 수원시 장안구 경수대로 795, 삼양빌딩  (영화동) 1층|22661|
CU|SK새화랑주유소점|054-741-0051|경상북도 경주시 동천동 936번지|경상북도 경주시 초당길 103, (동천동)|22709|24시간;택배
CU|SK서린사옥점|02-723-3094|서울특별시 종로구 서린동 99번지 SK빌딩 지하|서울특별시 종로구 종로 26, SK빌딩  지하(서린동)|32889|택배;커피
CU|SK서부주유소점|02-338-9043|서울특별시 서대문구 연희동 446-4번지|서울특별시 서대문구 성산로 255, (연희동)|25558|24시간;택배;커피;ATM
CU|SK서충주IC점||충청북도 충주시 신니면 12-1번지 1층|충청북도 충주시 신덕로 225 (신니면) 1층|33249|택배;커피
CU|SK석수동주유소점|031-473-6018|경기도 수원시 장안구 영화동 104-28번지 삼양빌딩|경기도 수원시 장안구 경수대로 795, 삼양빌딩  (영화동)|22677|24시간
CU|SK세지주유소점|031-365-5090|경기도 시흥시 정왕동 1236-11번지|경기도 시흥시 서해안로 120, (정왕동)|28839|24시간;택배;ATM
CU|SK셀프스토리주유소|042-637-8838|대전광역시 동구 홍도동 11-24번지 1층|대전광역시 동구 동서대로 1627, (홍도동) 1층|22731|24시간;커피
