##NAME|SUBNAME|TELNUM|ADDR|NEWADDR
우리은행|둔산지점|042-488-9761|대전 서구 둔산동 1034|대전광역시 서구 대덕대로 219 (둔산동)
우리은행|세이지점|042-257-2001|대전 중구 문화동 1-16|대전광역시 중구 계백로 1700 세이백화점 1층 (문화동)
우리은행|엑스포금융센터|042-862-6307|대전 유성구 전민동 466-3|대전광역시 유성구 엑스포로 488 (전민동)
우리은행|용문역지점|042-522-1595|대전 서구 용문동 243-10|대전광역시 서구 계룡로 645 (용문동)
우리은행|우리충대출장소|042-824-1473|대전 유성구 대학로 79 충남대학교內 산학연교육연구관 2층|대전광역시 유성구 대학로 99 충남대학교 산학연구관 2층?(궁동)
우리은행|유성금융센터|042-824-0134|대전 유성구 도안대로 591 (봉명동) 명동프라자 1층|대전광역시 유성구 도안대로 591 (봉명동)
우리은행|철도타워지점|042-626-0155|대전 동구 소제동 291-16外 철도기관사옥 1층|대전광역시 동구 중앙로 240 철도기관사옥 1층 (소제동)
우리은행|카이스트출장소|042-861-5451|대전 유성구 구성동 373 한국과학기술원 W2건물|대전광역시 유성구 대학로 291 한국과학기술원 (구성동) W2건물
우리은행|한국원자력연구원출장소|042-868-2108|대전 유성구 덕진동 22 한국원자력연구소 본관|대전광역시 유성구 대덕대로989번길 111 한국원자력연구소 본관 (덕진동)
우리은행|한국전자통신연구원출장소|042-860-6099|대전 유성구 가정동 161|대전광역시 유성구 가정로 218 (가정동)
우리은행|경산지점|053-813-7766|경북 경산시 중산동 623 이마트 경산점|경상북도 경산시 옥산로 227 이마트 경산점 (중산동)
우리은행|경주금융센터|054-746-0011|경북 경주시 동부동 9-5|경상북도 경주시 화랑로 113  (동부동)
우리은행|구미4공단지점|054-476-7608|경북 구미시 옥계동 29B 10-2L|경상북도 구미시 산호대로31길 7  (옥계동)
우리은행|구미공단금융센터|054-461-0515|경북 구미시 공단동 264-8|경상북도 구미시 1공단로 182  (공단동)
우리은행|구미지점|054-454-6761|경북 구미시 송정동 454|경상북도 구미시 송정대로 120 (송정동)
우리은행|김천지점|054-433-0140~1|경북 김천시 율곡동 780 율곡스퀘어III|경상북도 김천시 혁신3로 5
우리은행|안동지점|054-857-9131|경북 안동시 옥동 741-7번지|경상북도 안동시 경상북도대로 403  (옥동)
우리은행|연일지점|054-286-4253|경북 포항시 남구 연일읍 생지리 408|경상북도 포항시 남구 연일읍 연일로 123 동아마트A동 상가 (생지리)
우리은행|영주지점|054-636-0006|경북 영주시 영주동 550-3|경상북도 영주시 구성로 346  (영주동)
우리은행|왜관공단지점|054-973-0781~2|경북 칠곡군 왜관읍 삼청리 1101|경상북도 칠곡군 왜관읍 공단로1길 7 (삼청리)
우리은행|외동산단지점|054-777-6315|경북 경주시 외동읍 모화리 302-1|경상북도 경주시 외동읍 산업로 1846
우리은행|인동지점|054-473-0133|경북 구미시 황상동 318-7 쌍둥이빌딩|경상북도 구미시 인동가산로 31 쌍둥이빌딩 (황상동)
우리은행|포항POSCO금융센터|054-275-3166|경북 포항시 남구 괴동동 1 포항 POSCO|경상북도 포항시 동해안로 6213번길 14 포항POSCO (괴동동)
우리은행|포항공대출장소|054-283-6040|경북 포항시 남구 효자동 산31 포항공대|경상북도 포항시 청암로 77번지 포항공대 (효자동)
우리은행|포항남지점|054-281-2801|경북 포항시 남구 상도동 10-2 외|경상북도 포항시 남구 포스코대로 333번지 (상도동)
우리은행|포항법원출장소|054-252-8143|경북 포항시 북구 양덕동 산 97-1 포항지원청사內|경상북도 포항시 북구 법원로 181  포항지원청사 內 (양덕동)
우리은행|포항양덕지점|054-242-9606|경북 포항시 북구 양덕동 1263|경상북도 포항시 북구 천마로 55  양덕빌딩 1층 (양덕동)
우리은행|포항중앙지점|054-273-3401|경북 포항시 북구 죽도2동 47-13|경상북도 포항시 북구 중흥로 335  (죽도동)
우리은행|포항지점|054-247-2311|경북 포항시 북구 상원동 441-1|경상북도 포항시 북구 서동로 84  (상원동)
우리은행|POSCO기술연구소(출|054-272-2891|경북 포항시 남구 동촌동5|경상북도 포항시 남구 동해안로 6262  (동촌동)
우리은행|POSCO타운지점|054-278-9351|경북 포항시 남구 지곡동 481|경상북도 포항시 남구 지곡로 247  (지곡동)
우리은행|가톨릭대학교출장소|032-342-2641|경기 부천시 원미구 역곡2동 산43-1 가톨릭대학교 150주년 기념관 1층|경기도 부천시 원미구 지봉로 43 가톨릭대학교 150주년 기념관 (역곡동)
우리은행|경기광주금융센터|031-763-7111|경기 광주시 탄벌동 18-2|경기도 광주시 파발로 208  (탄벌동)
우리은행|고강동지점|032-684-2461|경기 부천시 오정구 고강동 349-1|경기도 부천시 오정구 역곡로 488 (고강동)
우리은행|곤지암지점|031-765-7006|경기도 광주시 초월읍 쌍동리 260-15|경기 광주시 초월읍 경충대로 1083
우리은행|과천지점|02-503-9161|경기 과천시 별양동 1-12|경기도 과천시 별양상가로 13 (별양동)
우리은행|광교도청역지점|031-248-1747|경기 수원시 영통구 이의동 1330-1번지 W타워 2층|경기도 수원시 영통구 센트럴타운로 103 W타워 2층 (이의동)
우리은행|광교신도시지점|031-262-7424|경기도 용인시 수지구 상현동1131번지  광교스타地 1,2층(신분당선 상현역 1번출구)|경기도 용인시 수지구 광교중앙로320(상현동) 광교스타地 1.2층(신분당선 상현역 1번출구)
우리은행|광명7동지점|02-2616-5107|경기 광명시 광명7동 724-9|경기도 광명시 도덕로 39 (광명동)
우리은행|광명사거리역지점|02-2684-6501|경기 광명시 광명4동 200-6외 광명한진타운|경기도 광명시 광명로 877 (광명동, 한진상가)
우리은행|광명시청출장소|02--2689-7122|경기 광명시 철산3동 222-1 광명시청 종합민원실內|경기도 광명시 시청로 20  광명시청 종합민원실내 (철산동)
우리은행|광명지점|02-2687-1341|경기 광명시 철산3동 396|경기도 광명시 오리로856번길 25 (철산동)
우리은행|광적지점|031-836-9700|경기 양주시 광적면 가납리 873-6|경기도 양주시 광적면 광적로 4 (가납리)
우리은행|교하지점|031-942-1840|경기 파주시 교하읍 동패리 3012-3 트리플메디칼타워|경기도 파주시 청석로 260 트리플메디칼타워 2층 (동패동)
우리은행|구리역지점|031-556-0071|경기 구리시 인창동 672-3|경기도 구리시 건원대로34번길 25 (인창동)
우리은행|구리지점|031-557-8050|경기 구리시 교문동 216-6|경기도 구리시 경춘로 170 1층 (교문동, 계성빌딩)
우리은행|구성역지점|031-284-2304|경기 용인시 기흥구 마북동 524-1 팬아시아빌딩|경기도 용인시 기흥구 용구대로 2394번길 2  팬아시아빌딩 (마북동)
우리은행|구성지점|031-283-4800|경기 용인시 기흥구 언남동 414-7 외|경기도 용인시 기흥구 구성로 94 언남빌딩 (언남동)
우리은행|군포지점|031-452-1821|경기 군포시 당동 746-12|경기도 군포시 군포로 553 (당동)
우리은행|권선지점|031-238-3331|경기 수원시 권선구 권선동1191-2|경기도 수원시 권선구 덕영대로1201번길 28 (권선동)
우리은행|기흥삼성SDI출장소|031-214-8316|경기 용인시 기흥구 공세동 428-5 삼성SDI 舊물산건설연수원 1층|경기도 용인시 기흥구 공세로 150-20 (공세동) 삼성SDI 舊물산건설연수원 1층
우리은행|기흥삼성전자출장소|031-284-2471|경기 용인시 기흥구 농서동 산24 삼성전자 기흥사업장 (복지동 내)|경기도 용인시 기흥구 삼성2로 95 복지동 (농서동)
우리은행|김포구래지점|031-986-9542~4|경기도 김포시 구래동 6880-2|경기도 김포시 김포한강4로 507 2층(구래동)
우리은행|김포양촌지점|031-984-7722|경기 김포시 양촌면 양촌지방산업단지 E-1 109호|경기도 김포시 양촌읍 황금로 117 양촌지방산업단지 이젠몰 다동 109호 (학운리)
우리은행|김포외국인금융센터|031-986-9542|경기도 김포시 대곶면 율생리 517-5|경기도 김포시 대곶면 율생리 율생중앙로 21
우리은행|김포장기지점|031-996-1640~2|경기 김포시 장기동 1603|경기도 김포시 김포한강4로 129  (장기동)
우리은행|김포지점|031-982-7685|경기 김포시 사우동 927|경기도 김포시 사우중로 48 (사우동)
우리은행|남양주지점|031-595-2860|경기 남양주시 금곡동 153-1|경기도 남양주시 금곡로 72 (금곡동)
우리은행|단국대학교지점|031-8005-4021|경기 용인시 수지구 죽전동 산44-1번지 학생회관2층|경기도 용인시 수지구 죽전로 152 (죽전동) 단국대학교 학생회관 2층
우리은행|대화역지점|031-918-0541|경기 고양시 일산 서구 대화동 2202-2|경기도 고양시 일산서구 일산로 762 (대화동)
우리은행|덕소삼패출장소|031-521-7258|경기도 남양주시 와부읍 덕소리 185-33|경기도 남양주시 와부읍 수레로 88
우리은행|덕소지점|031-576-5671|경기 남양주시 와부읍 덕소리 112-1|경기도 남양주시 와부읍 덕소로97번길 2 (덕소리)
우리은행|도농지점|031-557-0567|경기 남양주시 도농동 53-4|경기도 남양주시 도농로 1 (도농동)
우리은행|동두천지점|031-863-8111|경기 동두천시 지행동 693-2 생연프라자 2층|경기도 동두천시 중앙로 126 (지행동)
우리은행|동백지점|031-281-8484|경기 용인시 기흥구 중동 829 골드프라자 B동 2층|경기도 용인시 기흥구 동백중앙로 283 골드프라자  (중동)
우리은행|동수원금융센터|031-211-9680|경기 수원시 팔달구 우만동 85-1|경기도 수원시 팔달구 중부대로 241 (우만동)
우리은행|동의정부지점|031-852-4011|경기 의정부시 용현동 554-7|경기도 의정부시 충의로 62 (용현동)
우리은행|동탄사랑지점|031-8003-5071|경기 화성시 능동 1114-6 덕천프라자 2층|경기도 화성시 동탄지성로 133 덕천프라자 2층 (능동)
우리은행|동탄산단지점|031-372-0578|경기 화성시 동탄면 방교리 833-4|경기도 화성시 동탄면 동탄산단8길 28
우리은행|동탄역지점|031-372-2851|경기도 화성시 청계동 70-8|경기도 화성시 동탄대로시범길 261 리더스프라자
우리은행|동탄중앙지점|031-613-0244|경기 화성시 반송동 107-8 제일프라자 빌딩|경기도 화성시 동탄반석로 120 제일프라자빌딩 (반송동)
우리은행|동탄지점|031-376-9720|경기 화성시 반송동 86-4 위너스타빌딩|경기도 화성시 동탄원천로 163 (반송동, 위너스타) 202호
우리은행|동탄테크노밸리|031-372-1709|경기 화성시 영천동 652-4|경기 화성시 동탄순환대로 823
우리은행|동평택지점|031-655-4841|경기 평택시 비전동 1105|경기도 평택시 비전5로 16
우리은행|망포역지점|031-206-7685|경기 수원시 망포동 322-3|경기도 수원시 영통구 영통로 195 (망포동, 골든스퀘어상가 2층)
우리은행|매탄동지점|031-212-9963|경기 수원시 영통구 매탄동 1267-1|경기도 수원시 영통구 효원로 381 (매탄동)
우리은행|모란역지점|031-731-1507|경기 성남시 중원구 성남동 3504|경기도 성남시 중원구 성남대로 1130번길 3 (성남동, 백성빌딩)
우리은행|문산지점|031-952-4483|경기도 파주시 문산읍 문산리 10-47|경기도 파주시 문산읍 문향로 52-1
우리은행|미금역지점|031-719-5252|경기 성남시 분당구 금곡동 154 미금프라자|경기도 성남시 분당구 돌마로 75 미금프라자 (금곡동)
우리은행|민락동지점|031-851-2411|경기도 의정부시 민락동 804-8|경기도 의정부시 오목로 225번길 162(민락동)
우리은행|반월공단금융센터|031-491-3011|경기 안산시 단원구 원곡동 994-5|경기도 안산시 단원구 풍전로 7(원곡동)
우리은행|반월중앙금융센터|031-495-7690|경기 안산시 단원구 목내동 457|경기도 안산시 단원구 별망로 419 (목내동)
우리은행|발안금융센터|031-352-7535|경기 화성시 향남면 평리 81-15|경기도 화성시 향남읍 삼천병마로 228
우리은행|별내신도시지점|031-572-0177|경기 남양주시 별내신도시 별내동 1006|경기 남양주시 별내중앙로 34 로뎀타워 2층
우리은행|병점지점|031-221-5380|경기 화성시 진안동 527-16|경기도 화성시 경기대로 1038 (진안동)
우리은행|부천금융센터|032-666-0911|경기 부천시 원미구 심곡1동 349-12|경기도 부천시 원미구 부천로 45 (심곡동)
우리은행|부천내동금융센터|032-678-6440|경기 부천시 오정구 내동 59번지 태양빌딩|경기도 부천시 오정구 수도로 93 태양빌딩 (내동)
우리은행|부천성모병원출장소|032-345-5141~2|경기 부천시 원미구 소사동 2번지 부천성모병원 내|경기도 부천시 원미구 소사로 327 성가병원內 (소사동)
우리은행|부천중앙지점|032-612-6811|경기 부천시 춘의동 165-1|경기도 부천시 부천로 198번길 27
우리은행|부천테크노파크지점|032-321-7200|경기 부천시 오정구 삼정동 365-1 부천테크노파크 3단지|경기도 부천시 오정구 석천로 345 부천테크노파크3단지(삼정동)300동208호
우리은행|분당구미동지점|031-717-5252|경기 성남시 분당구 구미동 221 청구A상가|경기도 성남시 분당구 무지개로 144 청구A상가 (구미동)
우리은행|분당금곡지점|031-716-1013|경기 성남시 분당구 금곡동 166 이코노샤르망 2층|경기도 성남시 분당구 돌마로 47 (금곡동)
우리은행|분당금융센터|031-711-1971|경기 성남시 분당구 수내동 28-1|경기도 성남시 분당구 내정로173번길 1 (수내동)
우리은행|분당시범단지지점|031-702-0106|경기 성남시 분당구 서현동 89 (1,2층)|경기도 성남시 분당구 중앙공원로31번길 42 (서현동)
우리은행|분당정자지점|031-718-4400|경기 성남시 분당구 정자동 162-1|경기도 성남시 분당구 정자로 2  (정자동)
우리은행|분당중앙금융센터|031-704-1541|경기 성남시 분당구 서현동 250-2|경기도 성남시 분당구 황새울로 346 (서현동)
우리은행|분당차병원지점|031-707-3011|경기 성남시 분당구 야탑동 351|경기도 성남시 분당구 야탑로 59 (야탑동)
우리은행|분당테크노파크지점|031-701-9425|경기 성남시 분당구 야탑동 151|경기도 성남시 분당구 판교로 700(야탑동)
우리은행|비산동지점|031-469-2300|경기 안양시 동안구 비산동 550-1|경기도 안양시 동안구 관악대로 103 (비산동)
우리은행|산본역지점|031-395-2001|경기 군포시 금정동 873|경기도 군포시 번영로 516 (금정동)
우리은행|산본지점|031-393-2381|경기 군포시 산본2동 1060|경기도 군포시 고산로 695 (산본동)
우리은행|삼성디지털시티//지점|031-213-6711|경기 수원시 영통구 매탄동 416 삼성전자(주) R5 제3연구소|경기도 수원시 영통구 삼성로 129 R5 제3연구소 (매탄동)
우리은행|삼성미래기술캠퍼스출장소|031-211-7672|경기 수원시 영통구 매탄동 수원삼성디지털시티 전자소재연구단지 컨벤션동(복지동) 2층|경기도 수원시 영통구 삼성로 130 (매탄동)
우리은행|삼성반도체금융센터|031-281-0474|경기 용인시 기흥구 농서동 산24|경기도 용인시 기흥구 삼성2로 95 (농서동)
우리은행|삼성전기출장소|031-212-0651|경기 수원시 영통구 매탄동 314-5외|경기도 수원시 영통구 매영로 150  삼성전기내 우리은행 (매탄동)
우리은행|삼성전자부품연구소출장소|031-202-6190|경기 화성시 반월동 산16|경기 화성시 삼성전자로1
우리은행|삼송지점|02-371-1565|경기 고양시 덕양구 삼송동 326, 326-1|경기도 고양시 덕양구 삼송로 88  (삼송동)
우리은행|상대원동지점|031-745-3020|경기 성남시 중원구 상대원동 1976-4|경기도 성남시 중원구 희망로 310 (상대원동)
우리은행|상동출장소|032-322-0016|경기 부천시 원미구 상동 417 사랑마을 청구A상가 2층|경기도 부천시 원미구 장말로 135 사랑마을 청구 A상가 (상동)
우리은행|상동역지점|032-328-5211|경기 부천시 원미구 상동 534-6|경기도 부천시 원미구 길주로 91 (상동)
우리은행|상록수지점|031-407-2571|경기 안산시 본오동 880|경기도 안산시 상록구 반석로 20(본오동)
우리은행|서수원지점|031-296-3811|경기 수원시 권선구 금곡동 530 수원LG빌리지|경기도 수원시 권선구 금곡로 45 수원LG빌리지?(금곡동)
우리은행|서정동지점|031-668-6722|경기 평택시 서정동 822-6|경기도 평택시 관광특구로 1 (서정동)
우리은행|서판교지점|031-8016-0350|경기 성남시 분당구 운중동 967번지 경창빌딩|경기도 성남시 분당구 운중로 141 경창빌딩 (운중동)
우리은행|서현남지점|031-701-5551|경기 성남시 분당구 서현동 312-3 외|경기도 성남시 분당구 불정로376번길 37 범한플라자 1층  (서현동)
우리은행|서현동지점|031-701-6158|경기 성남시 분당구 서현동 297|경기도 성남시 분당구 돌마로486번길 12 (서현동)
우리은행|석수동지점|031-471-6844|경기 안양시 만안구 석수동 319-1|경기도 안양시 만안구 안양로 483 (석수동)
우리은행|선부동지점|031-484-2001|경기 안산시 선부동 1076-5|경기도 안산시 단원구 선부광장1로 72 (선부동)
우리은행|선부중앙지점|031-410-6044|경기 안산시 선부3동 1086|경기도 안산시 단원구 달미로 64 (선부동)
우리은행|성균관대자연과학캠출장소|031-293-7091|경기 수원시 장안구 천천동 300 성균관대 자연과학캠퍼스 내|경기도 수원시 장안구 서부로 2066 성균관대학교자연과학캠퍼스 內 (천천동)
우리은행|성남공단금융센터|031-744-5885|경기 성남시 중원구 상대원동 307-2외 선텍시티Ⅱ|경기도 성남시 중원구 사기막골로 52 선텍시티Ⅱ (상대원동)
우리은행|성남금융센터|031-744-3900|경기 성남시 수정구 신흥2동 2465-5|경기도 성남시 수정구 산성대로 321 (신흥동)
우리은행|성남남부지점|031-751-7331|경기 성남시 중원구 성남동 2121|경기도 성남시 중원구 광명로 139 (성남동)
우리은행|성남법원출장소|031-749-2833|경기 성남시 수정구 단대동 75 수원지방법원 성남법원 5별관|경기도 성남시 수정구 산성대로 451 수원지방법원성남지원 성남법원 5별관
우리은행|성남중앙지점|031-751-4811|경기 성남시 수정구 태평2동 3440|경기도 성남시 수정구 수정로 157 (태평동)
우리은행|성남하이테크지점|031-731-5980|경기 성남시 중원구 둔촌대로 449 중앙인더스피아 1층 201호|경기 성남시 중원구 상대원동 517-13
우리은행|성빈센트병원출장소|031-252-5774|경기 수원시 팔달구 지동 93-4 성빈센트병원내|경기도 수원시 팔달구 중부대로 93  성빈센트병원내 (지동)
우리은행|송우지점|031-541-0606|경기 포천시 소흘읍 송우리 146-1|경기도 포천시 소흘읍 솔모루로 55
우리은행|송탄지점|031-662-3131|경기 평택시 신장동 214-30|경기도 평택시 탄현로 319 (신장동)
우리은행|수내역지점|031-719-4567|경기 성남시 분당구 수내동 21-2|경기도 성남시 분당구 황새울로200번길 9-7 (수내동)
우리은행|수리동지점|031-395-8881|경기 군포시 산본동 1151-5  한양프라자|경기도 군포시 고산로 1151-5 (산본동, 한양프라자 2층)
우리은행|수원금융센터|031-244-6161|경기 수원시 팔달구 팔달로3가 26-11|경기도 수원시 팔달구 정조로 770 (팔달로3가)
우리은행|수원북지점|031-241-2501|경기 수원시 장안구 영화동 282-5|경기도 수원시 장안구 팔달로 269 (영화동)
우리은행|수원시청역지점|031-225-0522|경기 수원시 팔달구 인계동 1046-19|경기도 수원시 팔달구 권광로 159 (인계동)
우리은행|수원역지점|031-253-6101|경기 수원시 팔달구 매산로2가 30|경기도 수원시 팔달구 매산로 25 (매산로2가)
우리은행|수지동천지점|031-276-5555|경기 용인시 수지구 동천동 886-2 아이비타워|경기도 용인시 수지구 수지로 419, 아이비타워 (동천동)
우리은행|수지상현지점|031--276-8585|경기 용인시 수지구 상현동 254-14 원희캐슬플라자A동201호|경기도 용인시 수지구 만현로 110 A동 201호(상현동, 원희캐슬플라자)
우리은행|수지성복지점|031-263-3012|경기 용인시 성복동 276-1 벽산프라자|경기도 용인시 수지구 성복1로 106, 벽산프라자 (성복동)
우리은행|수지신정지점|031-264-2001|경기 용인시 수지구 풍덕천동 1051-1 (성운코아)|경기도 용인시 수지구 정평로 34-2, 성운코아 (풍덕천동>
우리은행|수지지점|031-262-2061|경기 용인시 수지구 풍덕천동 1080-20|경기도 용인시 수지구 문정로 13 (풍덕천동)
우리은행|시화공단금융센터|031-431-8233|경기 안산시 단원구 성곡동 시화공단4라 710-2|경기도 안산시 단원구 정왕천동로 108 시화공단4라 602-1 (성곡동)
우리은행|시화센트럴지점|031-499-1466|경기 시흥시 정왕동 1366-11 시화센트럴병원 B동 101호|경기도 시흥시 공단1대로 237 시화센트럴병원 B동 101호(정왕동)
우리은행|시화스틸랜드지점|031-8041-4170|경기 시흥시 정왕동 2210외 A블록 센터동|경기도 시흥시 오이도로 21 스틸랜드센터 1층 (정왕동)
우리은행|시흥지점|031-404-3841|경기 시흥시 대야동 532-6|경기도 시흥시 비둘기공원로 8 시흥메디컬센터 (대야동)
우리은행|신갈지점|031-285-0231|경기 용인시 기흥구 신갈동 53-12|경기도 용인시 기흥구 신갈로58번길 17 (신갈동)
우리은행|신구대학출장소|031-744-5924|경기 성남시 중원구 금광2동2685 신구대학內 대강당1층|경기도 성남시 중원구 광명로 377 신구대학 내 대강당1층 (금광동)
우리은행|신봉지점|031--265-4100|경기 용인시 수지구 신봉동 873 산봉마을엘지자이1차아파트 단지내 상가|경기도 용인시 수지구 신봉2로 26 신봉마을LG자이1차아파트 단지내상가 (신봉동)
우리은행|신영통지점|031-205-2220|경기 수원시 영통구 망포동 544-11 망포플라자|경기도 수원시 영통구 태장로 84 망포프라자 (망포동)
우리은행|신장지점|031-793-6283|경기 하남시 신장동 105-4 하남프라자|경기도 하남시 더우개로 29 (신장동, 하남프라자)
우리은행|신중동역지점|032-329-9900|경기 부천시 원미구 중동 1140-5|경기도 부천시 원미구 신흥로 197 (중동)
우리은행|심곡동지점|032-651-0050|경기 부천시 소사구 심곡본동 588|경기도 부천시 소사구 경인로 190 (심곡본동)
우리은행|안산금융센터|031-480-4541|경기 안산시 상록구 성포동 583 스타프라자상가 2층|경기도 안산시 상록구 화랑로 513(성포동) 스타프라자상가 2층
우리은행|안산남지점|031-439-2211|경기 안산시 고잔동 768-2 화승타운1층|경기도 안산시 단원구 광덕3로 178 (고잔동)
우리은행|안산외국인금융센터|031-492-6193|경기 안산시 단원구 원곡동 789-5|경기도 안산시 단원구 다문화2길 2  (원곡동)
우리은행|안성지점|031-676-9011|경기 안성시 석정동 278-14|경기도 안성시 장기로 24 (석정동)
우리은행|안양금융센터|031-387-0321|경기 안양시 동안구 범계동 1049-4|경기도 안양시 동안구 평촌대로 211번길 36 (호계동)
우리은행|안양벤처지점|031-8086-5200|경기 안양시 동안구 관양동 906-1 안양디지털엠파이어 A동 1층|경기도 안양시 동안구 시민대로 387  디지털엠파이어 A동 1층 (관양동)
우리은행|안양중앙금융센터|031-448-9111|경기 안양시 만안구 안양5동 627-252|경기도 안양시 만안구 안양로 265 (안양동)
우리은행|안중지점|031-682-5300|경기 평택시 안중읍 현화리 45|경기도 평택시 안중읍 안현로서6길 38 (현화리)
우리은행|야탑역금융센터|031-704-9431|경기 성남시 분당구 야탑동 358-2  아미고타워1층|경기도 성남시 분당구 야탑로81번길 10 (야탑동)
우리은행|양주지점|031-866-6667|경기 양주시 덕계동 510-3|경기도 양주시 평화로 1485?(덕계동)
우리은행|에버랜드출장소|031-338-6382|경기 용인시 처인구 포곡읍 전대리 310|경기도 용인시 처인구 포곡읍 에버랜드로 199 (전대리)
우리은행|여주지점|031-884-7154|경기 여주시 홍문동 72-8|경기도 여주시 세종로 31 (홍문동)
우리은행|역곡지점|032-345-8134|경기 부천시 원미구 역곡동 79-3|경기도 부천시 원미구 부일로 720 (역곡동)
우리은행|영통지점|031-202-0322|경기 수원시 영통구 영통동 968|경기도 수원시 영통구 매영로310번길 87(영통동)
우리은행|오리역지점|031-714-5001|경기 성남시 분당구 구미동 192|경기도 성남시 분당구 성남대로2번길 6 (구미동)
우리은행|오목천동출장소|031-293-4965|경기 수원시 오목천동 372-5 보람빌딩 1층|경기도 수원시 권선구 삼천병마로1597번길 13 보람빌딩 (오목천동)
우리은행|오산금융센터|031-376-9703|경기 오산시 오산동 925-5 월드타워|경기도 오산시 성호대로 121 월드타워 (오산동)
우리은행|오산남지점|031-378-3700|경기 오산시 원동 373-1 한성예식장|경기도 오산시 경기도대로 187 (원동)
우리은행|오산대학출장소|031-375-5460|경기 오산시 청학동 17 오산대학내 정보관|경기도 오산시 청학로 45  오산대학 내 정보관 (청학동)
우리은행|용인금융센터|031-336-6601|경기 용인시 처인구 김량장동 133-63|경기도 용인시 처인구 금령로 89 (김량장동)
우리은행|용인보라출장소|031-693-6795~7|경기 용인시 기흥구 보라동 578-3|경기도 용인시 기흥구 한보라2로 5-5 (보라동)
우리은행|운정중앙지점|031-943-6351|경기 파주시 교하읍 동패리 교하신도시 F2-2-3|경기도 파주시 와석순환로 125 현대프라자 2층
우리은행|운정지점|031-943-1825|경기 파주시 교하읍 와동리 교하신도시 F6 1-9|경기도 파주시 미래로 612 교하신도시 미봉프라자 2층 (와동동)
우리은행|원당지점|031-964-0615|경기 고양시 덕양구 성사동 501-2|경기도 고양시 덕양구 호국로 822 명지캐럿86 (성사동)
우리은행|월피동지점|031-401-5153|경기 안산시 월피동 447 한양APT단지 상가내|경기도 안산시 상록구 안산천동로1길 7  (월피동, 한양아파트상가 2층)
우리은행|위례신도시지점|031-721-6510|경기도 성남시 수정구 창곡동 509|경기도 성남시 수정구 위례광장로 300(창곡동)
우리은행|의왕지점|031-456-4831|경기 의왕시 오전동 838-6 주원빌딩|경기도 의왕시 원골로 3 주원빌딩
