##NAME|SUBNAME|ID|TELNUM|ADDRSUB|NEWADDR@@IBK기업은행
IBK기업은행|반월성곡지점|820|031-599-2400|경기 안산시 단원구 성곡동 645-5|경기 안산시 단원구 성곡로 176 타원TAKRA
IBK기업은행|반월원시역지점|867|031-599-7991|경기 안산시 단원구 원시동 784-2|경기 안산시 단원구 별망로 555
IBK기업은행|반월유통단지지점|520|031-494-7946~8|경기 안산시 단원구 원곡동 994|경기도 안산시 단원구 산단로 348
IBK기업은행|반월중견기업센터|799|031-412-0740~8|경기 안산시 단원구 원시동 773-9 2층|경기도 안산시 단원구 동산로 63, 2층
IBK기업은행|반월중앙지점|366|031-493-6012∼4|경기 안산시 원시동 773-2|경기 안산시 단원구 동산로 57 (원시동)
IBK기업은행|반월중앙기업금융지점|858|031-479-8881|경기 안산시 단원구 원시동 773-2, 2층|경기도 안산시 단원구 동산로 57, 2층
IBK기업은행|반월하이테크지점|649|031-494-3903|경기 안산시 단원구 원시동 768-5|경기도 안산시 단원구 산단로 278
IBK기업은행|발안산단지점|750|031-366-0961~3|경기 화성시 향남읍 하길리 1410-3|경기 화성시 향남읍 발안공단로2길 38 (하길...
IBK기업은행|범계역지점|303|031-429-4060∼2|경기 안양시 동안구 호계2동 905-4|경기도 안양시 동안구 시민대로 132
IBK기업은행|부천지점|114|032-329-5532-7|경기 부천시 원미구 중1동 1131-3 신영빌딩|경기 부천시 신흥로 167 (신영빌딩)
IBK기업은행|부천기업스마트지점|864|032-680-8921|경기 부천시 신중동 177|경기 부천시 정주로 53
IBK기업은행|부천내동지점|828|032-620-1501|경기 부천시 오정구 내동 134|경기도 부천시 오정구 삼작로 155(내동, 나...
IBK기업은행|부천쌍용3차지점|640|032-624-2581~5|경기 부천시 오정구 삼정동 36-1부천테크노...|경기도 부천시 오정구 석천로 397부천테크노...
IBK기업은행|부천테크노지점|385|032-621-1241~4|경기 부천시 오정구 삼정동 364|경기도 부천시 오정구 삼작로 22
IBK기업은행|분당미금역지점|428|031-726-7172∼6|경기 성남시 분당구 금곡동 161 천사의도시...|경기도 성남시 분당구 성남대로 165 천사의...
IBK기업은행|분당서현역지점|356|031-708-6211∼4|경기 성남시 분당구 서현동 246-5|경기도 성남시 분당구 황새울로360번길 29
IBK기업은행|분당수내역지점|530|031-786-1461|경기 성남시 분당구 수내동 11-4|경기도 성남시 분당구 황새울로 216
IBK기업은행|분당야탑역지점|326|031-707-0071∼4|경기 성남시 분당구 야탑동 360-6|경기도 성남시 분당구 성남대로 926
IBK기업은행|분당정자역지점|478|031-782-3930~4|경기 성남시 분당구 정자동 25-1(킨스타워빌...|경기도 성남시 분당구 성남대로331번길 8 킨...
IBK기업은행|분당파크뷰지점|41|031-783-2500∼5|경기 성남시 분당구 정자동 6 파크뷰오피스...|경기도 성남시 분당구 정자일로 248  파크뷰...
IBK기업은행|산본역지점|330|031-397-4500|경기 군포시 산본동 1142-2 디오플러스2층|경기 군포시 번영로 505, 2층 (산본동,대우...
IBK기업은행|삼송테크노지점|826|02-3146-7301|경기 고양시 덕양구 동산동 376 삼송테크노...|경기 고양시 덕양구 통일로140 삼송테크노밸...
IBK기업은행|삼정동지점|414|032-683-3920~3|경기 부천시 오정구 삼정동 19-47|경기도 부천시 오정구 오정로 47
IBK기업은행|상동역지점|429|032-328-8633~4|경기 부천시 원미구 상동 544-4|경기도 부천시 원미구 상동로 87
IBK기업은행|상록수지점|247|031-418-0251∼3|경기 안산시 본오동 873-8|경기 안산시 상록구 본삼로 49 (본오동)
IBK기업은행|상수도사업소(出)지점|393|031-232-9944|경기 수원시 장안구 하광교동 416-3|경기도 수원시 장안구 광교산로 119
IBK기업은행|서시화지점|399|031-496-8644∼8|경기 시흥시 정왕동 1359-1 시화공단 2라60...|경기도 시흥시 옥구천동로 130 시화공단 2라...
IBK기업은행|서시화기업금융지점|875|031-8085-2191|경기 시흥시 정왕동 1359-1, 2층|경기도 시흥시 옥구천동로 130, 2층
IBK기업은행|서정리역지점|186|031-667-7930~1|경기 평택시 이충동452-8 (미성빌딩 1층)|경기도 평택시 정암로 41 미성빌딩 1층
IBK기업은행|서판교지점|715|031-8017-0381~6|경기 성남시 분당구 운중동 964|경기도 성남시 분당구 운중로 131
IBK기업은행|선부동지점|364|031-414-3050∼4|경기 안산시 선부동 1076-21|경기 안산시 단원구 선부광장1로 92
IBK기업은행|성남지점|113|031-742-0050∼4|경기 성남시 수정구 신흥동 2507|경기도 성남시 수정구 산성대로 277
IBK기업은행|성남IT지점|639|031-741-6841~5|경기 성남시 중원구 상대원동 333-7|경기도 성남시 중원구 갈마치로 215
IBK기업은행|성남디지털지점|732|031-750-0271~6|경기 성남시 중원구 상대원동 5460|경기도 성남시 중원구 갈마치로 288번길 14
IBK기업은행|성남테크노지점|537|031-745-4781~5|경기 성남시 상대원동 190-1|경기 성남시 중원구 사기막골로 124 (상대원...
IBK기업은행|성남하이테크지점|165|031-743-3384∼7|경기 성남시 중원구 상대원동 517-14|경기도 성남시 중원구 둔촌대로457번길 8
IBK기업은행|소사지점|125|032-349-9001∼5|경기 부천시 소사구 소사본동 70-2|경기도 부천시 소사구 경인로 340
IBK기업은행|소사본동지점|269|032-341-6831|경기 부천시 소사구 소사본동 409-3|경기도 부천시 소사구 소사동로 82
IBK기업은행|소하동지점|307|02-897-8791∼5|경기 광명시 소하2동 1242-15|경기도 광명시 오리로 378
IBK기업은행|송내동지점|319|032-657-1981~5|경기 부천시 소사구 송내동 381|경기도 부천시 소사구 경인로 124
IBK기업은행|송내역지점|231|032-325-9841~2|경기 부천시 원미구 상동 413|경기도 부천시 원미구 부일로 203
IBK기업은행|송우지점|432|031-541-1963~4|경기 포천시 소흘읍 송우리 442-5|경기도 포천시 소흘읍 솔모루로 18-1
IBK기업은행|송탄지점|166|031-662-9771∼4|경기 평택시 서정동 818-38|경기도 평택시 관광특구로 23
IBK기업은행|수원지점|111|031-241-5160∼8|경기 수원시 팔달구 팔달로3가 83|경기도 수원시 팔달구 정조로 759
IBK기업은행|수원고색지점|652|031-278-1093-6|경기 수원시 권선구 고색동 958|경기도 수원시 권선구 오목천로152번길 40
IBK기업은행|수원도로교통관리사업소(出)지점|250|031-295-7711|경기 수원시 권선구 고색동 886-70|경기도 수원시 권선구 서부로 1600
IBK기업은행|수원시청(出)지점|168|031-236-2064|경기 수원시 팔달구 인계동 1111|경기도 수원시 팔달구 효원로 241
IBK기업은행|수지지점|381|031-266-0182∼5|경기 용인시  수지구 풍덕천동 1165 샤르망...|경기도 용인시 수지구 포은대로 410 샤르망...
IBK기업은행|수지동천역지점|477|031-270-4901|경기 용인시 수지구 동천동 899번지|경기도 용인시 수지구 신수로 767
IBK기업은행|시화지점|818|031-389-4001|경기 시흥시 정왕동 1286-1|경기도 시흥시 정왕천로 155 (시화공단3라 ...
IBK기업은행|시화MTV지점|832|031-460-8801|경기 시흥시 정왕동 2653|경기 시흥시 시화벤처로 212
IBK기업은행|시화공단지점|348|031-432-7011∼5|경기 시흥시 정왕동 1366-12|경기도 시흥시 공단1대로 229
IBK기업은행|시화공단WM센터|748|031-433-4650|경기 시흥시 정왕동 1366-12(기업은행시화공...|경기도 시흥시 공단1대로 229
IBK기업은행|시화공단기업금융지점|863|031-489-1511|경기 시흥시 정왕동 1366-12, 2층|경기도 시흥시 공단1대로 229, 2층
IBK기업은행|시화옥구지점|665|031-8041-3102~5|경기 시흥시 정왕동 1234-7 시화공단 1나 2...|경기도 시흥시 서해안로 242 시화공단 1나 ...
IBK기업은행|시화중앙지점|424|031-434-7391-5|경기 시흥시 정왕동 1288-2|경기도 시흥시 정왕천로 197
IBK기업은행|시화철강단지지점|620|031-8041-9802|경기 시흥시 정왕동 2211|경기도 시흥시 서해안로 81-44
IBK기업은행|시흥지점|169|031-318-6231~6|경기 시흥시 대야동 530-1 (유호N플러스빌 ...|경기도 시흥시 비둘기공원4길 13 유호N플러...
IBK기업은행|시흥능곡지점|687|031-435-1740~2|경기 시흥시 능곡동 721|경기도 시흥시 승지로 59번길 8
IBK기업은행|시흥매화산단지점|892|031-599-2440|경기 시흥시 매화동 508-21|경기도 시흥시 매화산단2길 15
IBK기업은행|신고잔지점|413|031-475-3131-6|경기 안산시 고잔동717|경기 안산시 단원구 광덕대로 145 (고잔동)
IBK기업은행|신안산대학교/가변점포지점|576|031-491-8551~2|경기 안산시 단원구 초지동 671번지|경기도 안산시 단원구 신안산대학로 135
IBK기업은행|안산지점|126|031-484-0141∼4|경기 안산시 원곡동 846-3|경기 안산시 단원구 화랑로 107 (라성호텔)
IBK기업은행|안산외국인금융센터(出)지점|653|031-508-3032|경기 안산시 단원구 원곡동 796-10|경기도 안산시 단원구 다문화1길 88
IBK기업은행|안산중앙지점|372|031-414-6101∼2|경기 안산시 고잔동 519|경기 안산시 단원구 적금로 126 (고잔동)
IBK기업은행|안성지점|338|031-673-7131∼4|경기 안성시 석정동 270-24번지 삼원빌딩1층...|경기도 안성시 장기로 8  삼원빌딩 1층
IBK기업은행|안양지점|117|031-443-3971∼80|경기 안양시 만안구 안양동 695-95|경기도 안양시 만안구 안양로 345
IBK기업은행|양주지점|392|031-866-3025-8|경기 양주시 회정동 345-19|경기도 양주시 평화로 1565
IBK기업은행|양주고읍지점|757|031-856-8830~2|경기 양주시 광사동 651-1 해동센트럴타워 ...|경기도 양주시 고읍남로 6-6, 해동센트럴타...
IBK기업은행|역곡지점|107|032-344-8001∼5|경기 부천시 소사구 괴안동 127|경기도 부천시 소사구 경인로 516
IBK기업은행|영통지점|373|031-206-2700∼3|경기 수원시 영통구 영통동 976-12 송이빌딩...|경기도 수원시 영통구 덕영대로 1541 송이빌...
IBK기업은행|영통구청(出)지점|423|031-214-2288|경기 수원시 영통구 매탄3동 1268|경기도 수원시 영통구 효원로 407
IBK기업은행|영통대로지점|663|031-204-3756~8|경기 수원시 영통구 영통동 996-3|경기도 수원시 영통구 봉영로 1620
IBK기업은행|영통신동지점|658|031-695-5872~4|경기 수원시 영통구 신동 486번지|경기도 수원시 영통구 신원로 88
IBK기업은행|오산지점|382|031-376-9955|경기 오산시 오산동 925-8 대신증권빌딩 1층...|경기도 오산시 성호대로 129  대신증권빌딩...
IBK기업은행|오산기업금융지점|857|031-350-7821|경기 오산시 오산동 925-8, 4층|경기도 오산시 성호대로 129, 4층
IBK기업은행|오산남지점|592|031-378-6793|경기 오산시 원동 447-5|경기도 오산시 남부대로 327
IBK기업은행|오포지점|536|031-765-9502~4|경기 광주시 오포읍 문형리 239-18|경기도 광주시 오포읍 오포로 531
IBK기업은행|용인지점|240|031-336-8321∼5|경기 용인시 처인구 김량장동 296-53|경기도 용인시 처인구 금령로 64
IBK기업은행|용인동백지점|490|031-693-6961~6|경기 용인시 기흥구 청덕동 556|경기도 용인시 기흥구 구성로 357
IBK기업은행|용인서천동지점|577|031-273-7091~5|경기 용인시 기흥구 서천동 814번지|경기도 용인시 기흥구 서천로 127번길 3-3
IBK기업은행|원종동지점|257|032-676-8818~9|경기 부천시 오정구 원종동 372-6|경기도 부천시 오정구 소사로 708
IBK기업은행|원천동지점|321|031-216-4211~2|경기 수원시 영통구 원천동 552|경기도 수원시 영통구 신원로 306
IBK기업은행|위례지점|839|031-725-8901|경기 성남시 수정구 창곡동 23-4|경기도 성남시 수정구 위례광장로 104 2층
IBK기업은행|의왕지점|468|031-450-6600-5|경기 의왕시 고천동 290-2|경기도 의왕시 경수대로 257
IBK기업은행|의정부지점|112|031-875-8501∼6|경기 의정부시 의정부동 487-6|경기도 의정부시 시민로 21
IBK기업은행|이천지점|241|031-632-0771|경기 이천시 증포동 381|경기도 이천시 이섭대천로 1334
IBK기업은행|인덕원지점|109|031-424-3721∼4|경기 안양시 동안구 관양동 1488-35|경기도 안양시 동안구 흥안대로 533
IBK기업은행|일산MBC드림센터(出)지점|651|031-907-3903~5|경기 고양시 일산동구 장항동 869 일산MBC드...|경기도 고양시 일산동구 호수로 596
IBK기업은행|일산WM센터|838|031-960-4710~1|경기 고양시 일산동구 마두2동 805|경기 고양시 일산동구 중앙로 1168, 4층
IBK기업은행|일산덕이지점|418|031-810-1100~6|경기 고양시 일산서구 덕이동 273|경기 고양시 일산서구 경의로 886
IBK기업은행|일산마두지점|347|031-906-5700∼4|경기 고양시 일산동구 마두2동 805|경기도 고양시 일산동구 중앙로 1168
IBK기업은행|일산병원(出)지점|525|031-906-5710~3|경기 고양시 일산동구 백석동 1232|경기도 고양시 일산동구 일산로 100
IBK기업은행|일산성석지점|664|031-977-9502~4|경기 고양시 일산동구 성석동 523-56|경기도 고양시 일산동구 성현로 163
IBK기업은행|일산웨스턴돔지점|564|031-931-5204|경기 고양시 일산동구 장항동867 웨스턴돔 ...|경기도 고양시 일산동구 정발산로 24 웨스턴...
IBK기업은행|일산장항지점|400|031-905-0951~2,7~8|경기 고양시 일산동구 장항동 566-8|경기도 고양시 일산동구 장항로 291
IBK기업은행|일산주엽지점|361|031-922-3200∼4|경기 고양시 일산서구 주엽동 72-2|경기도 고양시 일산서구 중앙로 1406
IBK기업은행|일산중앙지점|420|031-932-2791∼5|경기 고양시 일산동구 장항동 780|경기도 고양시 일산동구 중앙로 1317
IBK기업은행|일산풍동지점|524|031-932-8132|경기 고양시 일산동구 풍동 1280-1|경기도 고양시 일산동구 숲속마을로 44
IBK기업은행|장안구청(出)지점|333|031-251-4041|경기 수원시 장안구 조원동 888|경기도 수원시 장안구 송원로 101
IBK기업은행|정왕동지점|752|031-433-8338|경기 시흥시 정왕동 1740-2|경기도 시흥시 마유로 320
IBK기업은행|죽전지점|410|031-896-3311,4131~3|경기 용인시 기흥구 보정동 1208-1|경기도 용인시 기흥구 죽전로 47
IBK기업은행|진접지점|531|031-527-1978|경기 남양주시 진접읍 금곡리 1081-2 래일스...|경기도 남양주시 진접읍 해밀예당1로 36
IBK기업은행|천천동(出)지점|486|031-248-8900~2|경기 수원시 장안구 천천동 522번지|경기도 수원시 장안구 덕영대로 559
IBK기업은행|춘의테크노지점|538|032-623-0792~5|경기 부천시 원미구 춘의동 202|경기도 부천시 원미구 부천로198번길 18
IBK기업은행|태전동지점|631|031-798-8224~6|경기 광주시 태전동 261-43|경기도 광주시 태봉로 35
IBK기업은행|파주지점|281|031-944-4323∼7|경기 파주시 금촌동 329-158 MH타워 2층|경기도 파주시 중앙로 328  (금촌동,MH타워...
IBK기업은행|파주광탄지점|571|031-8071-1501~5|경기 파주시 광탄면 신산리 359-12|경기도 파주시 광탄면 혜음로1141번길 3
IBK기업은행|파주교하지점|485|031-949-8691~5|경기 파주시 교하읍 동패리 1695-2|경기 파주시 청석로 272 (동패동)
IBK기업은행|파주운정지점|736|031-8071-5324-6|경기 파주시 운정1동 1303-1|경기 파주시 미래로 610(와동동,운정메디컬...
IBK기업은행|파주출판도시(出)지점|417|031-957-2837~8|경기 파주시 문발동 524-3|경기 파주시 회동길 145
IBK기업은행|파주헤이리지점|637|031-8071-3473~6|경기 파주시 탄현면 성동리 663-9|경기도 파주시 탄현면 평화로 885-24
IBK기업은행|판교WM센터|873|031-776-1401|경기 성남시  분당구 삼평동 670|경기도 성남시 분당구 대왕판교로 660
IBK기업은행|판교제2테크노밸리지점|879|031-730-9991|경기 성남시 수정구 시흥동 294-2|경기도 성남시 수정구 창업로 54
IBK기업은행|판교테크노밸리지점|777|031-8017-7813~5|경기 성남시 분당구 삼평동 670|경기도 성남시 분당구 대왕판교로 660
IBK기업은행|팔달구청(出)지점|638|031-248-3181|경기 수원시 팔달구 매향동 49|경기 수원시 팔달구 창룡대로 23
IBK기업은행|평촌지점|234|031-386-0961∼5|경기 안양시 동안구 관양동 1600-1|경기도 안양시 동안구 시민대로 290
IBK기업은행|평촌IT지점|773|031-463-4131~6|경기 안양시 동안구 관양2동 810 금강펜테리...|경기도 안양시 동안구 학의로 282 금강펜테...
IBK기업은행|평촌WM센터|884|031-478-7770|경기 안양시 동안구 관양동 1600-1|경기 안양시 동안구 시민대로 290
IBK기업은행|평촌기업스마트지점|882|031-478-7790|경기 안양시 동안구 관양동 922|경기 안양시 동안구 벌말로 66
IBK기업은행|평촌남지점|507|031-478-5790~7|경기 안양시 동안구 평촌동 126-1 두산벤처...|경기도 안양시 동안구 흥안대로 415  두산벤...
IBK기업은행|평촌아크로타워지점|562|031-478-7802~6|경기 안양시 동안구 관양동1591대림아크로타...|경기도 안양시 동안구 시민대로 230 대림아...
IBK기업은행|평촌중앙지점|848|031-478-7781|경기 안양시 동안구 관양동 1591-11|경기도 안양시 동안구 시민대로 260
IBK기업은행|평촌테크노지점|744|031-426-2561|경기 안양시 동안구 관양동 224-5|경기도 안양시 동안구 시민대로 401
IBK기업은행|평택지점|118|031-655-9131∼4|경기 평택시 통복동 85-6|경기도 평택시 중앙로 15
IBK기업은행|평택비전동지점|598|031-658-6192|경기 평택시 비전동 830-2|경기도 평택시 경기대로 271
IBK기업은행|포승공단지점|408|031-686-5800~4|경기 평택시 포승면 만호리 578-4|경기도 평택시 포승읍 평택항로 180
IBK기업은행|포천지점|290|031-535-8991∼5|경기 포천시 신읍동 192-5|경기도 포천시 중앙로 139
IBK기업은행|하남지점|363|031-796-1103∼5|경기 하남시 덕풍동 321-2|경기도 하남시 하남대로 843
IBK기업은행|하남센텀지점|807|031-728-7600|경기 하남시 풍산동 214-33|경기도 하남시 조정대로 45
IBK기업은행|하남풍산지점|747|031-790-4072~4|경기 하남시 덕풍동 762번지 아파트형공장I...|경기도 하남시 조정대로 150 아파트형공장I...
IBK기업은행|하안동지점|297|02-894-7671~3|경기 광명시 하안동 52-6|경기 광명시 하안로 287 (하안동)
IBK기업은행|호계동지점|185|031-479-5001~8|경기 안양시 동안구 호계동 555-9|경기도 안양시 동안구 엘에스로 92
IBK기업은행|호계중앙지점|853|031-479-8871|경기 안양시 동안구 호계1동 555-45|경기 안양시 동안구 엘에스로 122
IBK기업은행|호평지점|480|031-559-6111~2|경기 남양주시 호평동 641-1|경기도 남양주시 늘을2로14번길 5
IBK기업은행|화성남양지점|398|031-355-7511∼4|경기 화성시 남양읍 남양리 1192|경기도 화성시 남양읍 시청로 3
IBK기업은행|화성마도지점|555|031-357-4926~7|경기 화성시 마도면 쌍송리 662|경기도 화성시 마도면 마도공단로1길 8
IBK기업은행|화성발안지점|425|031-359-9301-5|경기 화성시 향남면 행정리 395|경기 화성시 향남읍 삼천병마로 194 (행정리...
IBK기업은행|화성병점지점|427|031-267-3692∼6|경기 화성시 진안동 875-1|경기도 화성시 효행로 1041
IBK기업은행|화성봉담지점|527|031-278-2112~4|경기 화성시 봉담읍 상리 26-8|경기도 화성시 봉담읍 삼천병마로 1268
IBK기업은행|화성송산지점|769|031-8047-5196,9|경기 화성시 송산면 사강리 694-8|경기도 화성시 송산면 사강로 161
IBK기업은행|화성시청지점|885|031-210-2930|경기 화성시 남양읍 남양리 2076-11|경기도 화성시 남양읍 역골로 9-4
IBK기업은행|화성왕림지점|886|031-210-2941|경기 화성시 봉담읍 세곡리 17-5|경기도 화성시 봉담읍 삼천병마로 890
IBK기업은행|화성장안지점|594|031-358-8593|경기 화성시 장안면 수촌리 877-26|경기도 화성시 장안면 3.1만세로 365
IBK기업은행|화성정남지점|489|031-366-1500,5~6|경기 화성시 정남면 신리 109|경기 화성시 정남면 서봉로 1104 (신리)
IBK기업은행|화성팔탄지점|540|031-366-3701|경기 화성시 팔탄면 구장리 113-9|경기도 화성시 팔탄면 푸른들판로 661-3
IBK기업은행|화정역지점|387|031-968-8411∼4|경기 고양시 덕양구 화정동 969-1|경기도 고양시 덕양구 화정로 53
IBK기업은행|흥덕지점|698|031-217-7961-5|경기 용인시 기흥구 영덕동 1005 흥덕IT밸리...|경기도 용인시 기흥구 흥덕1로 13, A동 107...
IBK기업은행|거제지점|570|055-634-3400~5|경남 거제시 고현동 968-3|경상남도 거제시 거제중앙로31길 19
IBK기업은행|김해지점|194|055-334-3301~6|경남 김해시 부원동 615-14|경남 김해시 김해대로 2367 (부원동)
IBK기업은행|김해기업금융지점|855|055-310-5411|경남 김해시 부원동 615-15, 2층|경남 김해시 김해대로 2367, 2층
IBK기업은행|김해산단지점|869|055-310-9511|경남 김해시 풍유동 894|경남 김해시 금관대로 1065
IBK기업은행|김해삼계지점|625|055-313-7913~5|경남 김해시 삼계동 1505-4|경상남도 김해시 해반천로130번길 39
IBK기업은행|김해상동지점|646|055-312-8173~5|경남 김해시 상동면 매리 238-10|경상남도 김해시 상동면 상동로 879
IBK기업은행|김해장유지점|533|055-314-5202~4|경남 김해시 장유면 대청리 301-7|경상남도 김해시 장유면 삼문로 15
IBK기업은행|김해중앙지점|288|055-328-9811~5|경남 김해시 내동 1118-4|경상남도 김해시 내외중앙로 55
IBK기업은행|김해진영지점|580|055-346-4030~1|경남 김해시 진영읍 진영리 1612-4번지 2층|경상남도 김해시 진영읍 김해대로361번길 1...
