##NAME|SUBNAME|TELNUM|NEWADDR@@꼬지사께
꼬지사께|용인마평점|031-322-0428|경기 용인시 처인구 금령로 175 (마평동) 1층
꼬지사께|아차산역점|02-454-6278|서울 광진구 천호대로 671 (구의동, 파크타운) 106호
꼬지사께|시흥배곧점|031-499-9222|경기 시흥시 서울대학로278번길 61 (정왕동, 서영베니스스퀘어) 201호
꼬지사께|충남예산점|041-333-3696|충남 예산군 예산읍 벚꽃로155번길 17 (산성리, 허브빌딩)
꼬지사께|서울용답점|02-6448-1845|서울 성동구 용답19길 12-1 (용답동)
꼬지사께|울산반구점|052-292-9735|울산 중구 반구로 50 (반구동, 서원빌딩)
꼬지사께|용인죽전점|031-896-9292|경기 용인시 수지구 현암로 153 (죽전동, 건영타운) 1층
꼬지사께|양산평산점|055-387-5577|경남 양산시 평산남로 65 (평산동)
꼬지사께|진해부산신항점|055-547-5169|경남 창원시 진해구 신항4로 41-34 (용원동, 드림타워) 105호
꼬지사께|부산구평점|051-264-0552|부산 사하구 서포로30번길 8 (구평동) 센트럴파크 405호
꼬지사께|화성봉담점|031-227-1042|경기 화성시 봉담읍 샘마을길 29 (상리) 102호
꼬지사께|성남동점|031-755-8287|경기 성남시 중원구 광명로 96-1 (성남동) 1층
꼬지사께|부산개금점|051-893-5648|부산 부산진구 복지로41번길 2 (개금동)
꼬지사께|여주창동점|031-884-4998|경기 여주시 세종로40번길 9 (창동)
꼬지사께|서울동교점|02-336-4195|서울 마포구 양화로19길 22-4 (동교동)
꼬지사께|안성공도점|031-654-1593|경기 안성시 공도읍 공도2로 13 (만정리)
꼬지사께|서울번동점|02-980-5090|서울 강북구 한천로109가길 3 (번동) 1층(번동)
꼬지사께|대명디발디점|033-439-7307|강원 홍천군 서면 한치골길 262 (팔봉리, 대명비발디파크) 오크동 지하1층
꼬지사께|창원상남점|055-263-3337|경남 창원시 성산구 마디미로73번길 21 (상남동, 어스빌딩) 1층
꼬지사께|고양원흥역점|031-966-9201|경기 고양시 덕양구 삼송로 8 (원흥동) 204호(한일골드타워 2층)
꼬지사께|인제원통점|033-462-9199|강원 인제군 북면 원통로168번길 4 (원통리)
꼬지사께|여주오학점|031-885-8217|경기 여주시 현암3길 3 (현암동) 1층
꼬지사께|김량장점|031-323-0995|경기 용인시 처인구 금령로39번길 5 (김량장동)
꼬지사께|안성풍림점|031-651-6689|경기 안성시 공도읍 서동대로 4081 (용두리) 주은풍림@상가 215호
꼬지사께|나주혁신도시점|061-3329940|전남 나주시 상야1길 21 (빛가람동) 킹덤프라자 104호
꼬지사께|내포신도시점|041-634-1222|충남 홍성군 홍북읍 청사로174번길 11 (신경리, 청담프라자 I) 104호
꼬지사께|부산학장점|051-316-2220|부산 사상구 대동로 154 (학장동)
꼬지사께|장안점|02-6101-9800|서울 동대문구 장한로 173 (장안동)
꼬지사께|금정역점|031-393-8957|경기 군포시 군포로745번길 30 (산본동) 1층
꼬지사께|용인외대점|031-339-5204|경기 용인시 처인구 모현읍 외대로 42-1 (왕산리)
꼬지사께|화천점|033-441-3355|강원 화천군 화천읍 상승로 32-6 (하리, 산천어마트)
꼬지사께|포항연일점|054-278-9690|경북 포항시 남구 연일읍 연일로199번길 28 (생지리, 시원한마음상가) 108호
꼬지사께|제주월랑점|064-713-6001|제주 제주시 월랑로 29 (노형동)
꼬지사께|양산통도사점|055-381-4363|경남 양산시 하북면 통도사로 60 1층 2호
꼬지사께|김천혁신도시점|054-435-5552|경북 김천시 혁신1로 50 (율곡동, 율곡스퀘어 KTX) 225호
꼬지사께|아산음봉포스코점|041-546-9291|충남 아산시 음봉면 음봉로 515-42 (월랑리)
꼬지사께|남양주별내점|031-529-1300|경기 남양주시 별내5로5번길 4-55 (별내동)
꼬지사께|울산남창점|052-239-0337|울산 울주군 온양읍 온양로 157 (대안리) 1층
꼬지사께|하남스타필드점|031-791-0040|경기 하남시 신장동로140번길 34 (신장동) 2충
꼬지사께|부산범일점|051-638-8889|부산 동구 중앙대로 514 (범일동, 한성기린프라자) 1층 104호
꼬지사께|인천불로점|032-562-6565|인천 서구 검단로744번1길 24 (불로동, 우정프라자) 1F
꼬지사께|양산가촌점|055-383-1412|경남 양산시 물금읍 청운로 181 (가촌리, 조양타워2) 1층 110호
꼬지사께|부천신흥점|032-677-9749|경기 부천시 중동로 406 (삼정동) 12호
꼬지사께|미아테라스파크점|02-980-8944|서울 강북구 삼양로27길 43 (미아동, 위브 테라스 파크) 110호
꼬지사께|광주일곡점|062-574-0852|광주 북구 설죽로 496-5 (일곡동)
꼬지사께|아산탕정점|041-533-0125|충남 아산시 탕정면 탕정면로 221 (호산리)
꼬지사께|연천전곡점|031-833-9938|경기 연천군 전곡읍 은전로78번길 58 (전곡리)
꼬지사께|부산명지오션시티점|051-207-6558|부산 강서구 명지오션시티4로 74 (명지동) 102호
꼬지사께|광주도평점|031-764-4630|경기 광주시 초월읍 현산로 87 (도평리) . 외 1필지
꼬지사께|순천오천점|061-743-1160|전남 순천시 오천6길 10 (오천동) 1층
꼬지사께|구리갈매점|031-573-8983|경기 구리시 갈매중앙로55번길 110 (갈매동)
꼬지사께|광주유촌점|062-372-6868|광주 서구 상무버들로40번길 13 (유촌동)
꼬지사께|김해삼계점|055-311-7343|경남 김해시 삼계로55번길 26 (삼계동) 1층 102호
꼬지사께|부산수영로타리점|051-754-9979|부산 수영구 감포로102번길 11 (광안동) 에이스센텀빌리지 상가 103호
꼬지사께|천안신불당점|041-522-3111|충남 천안시 서북구 불당34길 26 (불당동) M타워 104호
꼬지사께|울산화정점|052-234-7972|울산 동구 화진길 100 (화정동, 엠코타운 이스턴베이) 상가1동 101호
꼬지사께|부여쌍북점|041-836-3338|충남 부여군 부여읍 성왕로352번길 14 (쌍북리) 주공상가 7호 (쌍북리)
꼬지사께|일산라페스타점|031-905-0204|경기 고양시 일산동구 무궁화로 20-11 (장항동, 라페스타 F) 라페스타F동 107호
꼬지사께|시흥사거리점|02-2038-2348|서울 금천구 시흥대로52길 46 (시흥동) 1층
꼬지사께|울산산하점|052-292-2878|울산 북구 화암1길 55 (산하동) 102호
꼬지사께|부천원종점|032-672-7789|경기 부천시 원종로 33 (원종동) 1층 2호
꼬지사께|부산자갈치역점|051-256-8600|부산 중구 중구로6번길 4-2 (남포동5가) 1층
꼬지사께|동덕여대점|02-943-8181|서울 성북구 장월로1가길 2 (상월곡동)
꼬지사께|순천신대점|061-723-5812|전남 순천시 해룡면 매안3길 24 (신대리)
꼬지사께|부산남천점|051-624-7790|부산 수영구 남천동로108번길 31 (남천동) 1층
꼬지사께|마산현동점|055-242-1931|경남 창원시 마산합포구 현동로 111 (현동) 청솔프라임 105호
꼬지사께|부산광안역점|051-758-0888|부산 수영구 수영로 577 (광안동) 1층
꼬지사께|부산신평역점|051-206-0228|부산 사하구 비봉로 6 (신평동)
꼬지사께|공군20전투비행단점|041-688-4003|충남 서산시 고북면 신성로 330 (신정리) 용성회관 1층
꼬지사께|거창상동점|055-941-3721|경남 거창군 거창읍 상동7길 23-4 (상림리)
꼬지사께|부평구청역점|070-7322-4047|인천 부평구 부평대로 132 (부평동, 헤리움노블레스) 107
꼬지사께|전주중화산점|063-222-8853|전북 전주시 완산구 신촌4길 18-4 (중화산동2가)
꼬지사께|서울상계점|02-938-5822|서울 노원구 상계로1길 54-4 (상계동, 상계동 센트럴타워) 센트럴타워 109호 (상계동)
꼬지사께|노원역점|02-930-3339|서울 노원구 동일로217가길 23 (상계동, 백경약국) 1층
꼬지사께|대구본리점|053-571-7674|대구 달서구 대명천로42길 27 (본리동) 1층
꼬지사께|공항신도시점|032-751-4493|인천 중구 신도시남로141번길 5-12 (운서동, 화평에어빌)
꼬지사께|광주첨단점|062-972-5051|광주 광산구 임방울대로801번길 32 (쌍암동) 도원빌딩 102호
꼬지사께|진해풍호점|055-547-5669|경남 창원시 진해구 동진로 189 (풍호동)
꼬지사께|천안두정점|041-556-8883|충남 천안시 서북구 원두정4길 19 (두정동) 1호
꼬지사께|서울광장점|02-455-2660|서울 광진구 아차산로78길 170 (광장동, 한강빌딩) 한강빌딩 104호
꼬지사께|김해어방점|055-311-4059|경남 김해시 인제로170번길 9-25 (어방동)
꼬지사께|단양도전점|043-422-7110|충북 단양군 단양읍 수변로 67 (도전리, 오페라하우스모텔)
꼬지사께|칠곡석적점|054-975-7711|경북 칠곡군 석적읍 남율리 188-1 상가 107호
꼬지사께|인천마전점|032-563-6038|인천 서구 완정로 23 (마전동, 덕안빌딩)
꼬지사께|포항효자점|054-277-5586|경북 포항시 남구 효성로30번길 26-8
꼬지사께|여수여서점|061-655-4107|전남 여수시 여문문화길 21 (여서동)
꼬지사께|대전전민점|042-861-1308|대전 유성구 전민로14번길 36 (전민동)
꼬지사께|양주덕계점|031-858-9245|경기 양주시 평화로 1440 (덕계동) 스타프라자 1층 114, 115호 (덕계동)
꼬지사께|울산꽃바위점|052-201-9219|울산 동구 꽃바위로 207 (방어동) 구 얼리도어
꼬지사께|수원금곡점|031-292-6364|경기 수원시 권선구 금호로 77-17 (금곡동)
꼬지사께|수원정자점|031-253-2257|경기 수원시 장안구 정자천로173번길 17 (정자동, 투대일타운) 103호 (정자동)
꼬지사께|부산연제점|051-752-6616|부산 연제구 고분로 241 (연산동)
꼬지사께|울산언양점|052-263-1104|울산 울주군 삼남면 교동로 127 (교동리) 파리바게트 2층
꼬지사께|진주계동점|055-742-0678|경남 진주시 비봉로 50 (계동) 1층
꼬지사께|대전봉명점|042-826-1128|대전 유성구 온천북로33번길 35-17 (봉명동) 나이스팰리스 1층 101호
꼬지사께|광주경안점|031-761-0145|경기 광주시 경안로 14-14 (경안동) 1층
꼬지사께|정선사북점|033-591-4604|강원 정선군 사북읍 사북중앙로 35-2 (사북리) 1층
꼬지사께|독산점|02-6015-9639|서울 금천구 시흥대로122길 30 (독산동) 1층 꼬지사께
꼬지사께|선유도역점|02-2631-0411|서울 영등포구 양평로17길 9 상가 B동 1층 106호 (분회경로당 맞은편)
꼬지사께|원주단구점|033-764-8250|강원 원주시 서원대로 410 (단구동, 한솔프라자) 한솔프라자 1츧 102호
꼬지사께|영주가흥점|054-631-9792|경북 영주시 대학로 212 (가흥동)
꼬지사께|명지국제신도시점|051-206-9245|부산 강서구 명지국제8로 245 (명지동) 뉴타워 204호
꼬지사께|원주오크밸리점|033-769-7800|강원 원주시 지정면 오크밸리2길 38 (판대리, 오크밸리 스키빌리지) 콘도 C동 1층
꼬지사께|철원/와수점|033-456-1826|강원 철원군 서면 와수로 175 (와수리, 비너스) 1층(와수리 1960-4, 비너스)
꼬지사께|진해석동점|055-551-5857|경남 창원시 진해구 냉천로 63 (석동, city&country)
꼬지사께|김포통진점|031-988-0057|경기 김포시 통진읍 서암로 76 (서암리) 꼬지사께 김포통진점
꼬지사께|경북도청점|054-854-9792|경북 안동시 풍천면 풍요4길 36-9 (갈전리) 1층 101호
꼬지사께|문경모전점|054-555-1024|경북 문경시 매봉3길 25 (모전동) 1층
꼬지사께|춘천/퇴계점|033-262-7357|강원 춘천시 안마산로 207 (퇴계동) 꼬지사께
꼬지사께|울산/호계점|052-295-8600|울산 북구 동대5길 38 (호계동) 꼬지사께
꼬지사께|부산다대포점|051-262-8831|부산 사하구 다송로72번길 51 (다대동) 꼬지사께
꼬지사께|인천/서구청점|032-561-6900|인천 서구 탁옥로 50 (심곡동) 광성상가 제 4호 (심곡동)
꼬지사께|진해/용원점|055-542-9400|경남 창원시 진해구 용원로7번길 18 (용원동, X-LUX상가) 1177호 124호
꼬지사께|아산테크노밸리점|041-544-0300|충남 아산시 둔포면 아산밸리중앙로 110 (석곡리) 103호
꼬지사께|마석우리점|031-511-0989|경기 남양주시 화도읍 마석로45번길 35 (마석우리, 유일프라자) 102호
꼬지사께|충북혁신도시점|043-877-2684|충북 음성군 맹동면 대하4길 6-13 (두성리) 그레이스빌딩 107호
꼬지사께|원주우산점|033-745-0792|강원 원주시 모란1길 69 (우산동) 1층 꼬지사께
꼬지사께|동해효자점|033-521-8242|강원 동해시 효자남길 27-7 (쇄운동)
꼬지사께|부산하단점|051-293-1649|부산 사하구 낙동대로407번길 28 (하단동)
꼬지사께|부산센텀시티점|051-783-2345|부산 해운대구 센텀동로 102 (재송동, 센텀필1) 센텀필상가 1관 112호
꼬지사께|부산신호점|051-941-0214|부산 강서구 신호산단2로 29 (신호동) 신호프라자 1층
꼬지사께|화성/남양점|031-355-8862|경기 화성시 남양읍 역골로 23-2 (남양리) 풍남오피스텔 101호
꼬지사께|창원소답점|055-604-0098|경남 창원시 의창구 의창대로261번길 38
꼬지사께|아산갈매점|041-544-5244|충남 아산시 배방읍 호서로 460-3 (갈매리)
꼬지사께|충주연수점|043-852-4710|충북 충주시 연수동산로5길 10 (연수동, 예찬빌)
꼬지사께|구의점|070-7724-5745|서울 광진구 구의강변로 86 (구의동) 강변리치타워 109호
꼬지사께|강서구청점|02-2608-6411|서울 강서구 화곡로60길 15 (화곡동) 1층
꼬지사께|공주대점|041-853-8448|충남 공주시 번영2로 77 (신관동)
꼬지사께|대구혁신도시점|070-4177-9108|대구 동구 첨단로8길 16 대신빌딩 108호
꼬지사께|부산토곡점|051-755-8236|부산 연제구 안연로 12-1 (연산동)
꼬지사께|세종조치원점|044-862-8178|세종 조치원읍 행복길 8 (침산리)
꼬지사께|오목교점|02-2642-8853|서울 양천구 목동동로 260 양지타운 103호
꼬지사께|이천창전점|031-631-4088|경기 이천시 이섭대천로 1229 1층 107호
꼬지사께|거제고현점|055-636-4989|경남 거제시 고현로11길 19
꼬지사께|안산한대역점|031-407-1937|경기 안산시 상록구 중보로 51 (이동, 한미오피스텔) 한미오피스텔 108호
꼬지사께|당진유곡점|041-355-9960|충남 당진시 송산면 유곡6길 23
꼬지사께|대구금호지구점|053-323-8033|대구 북구 한강로 58-1
꼬지사께|일산백석점|031-908-0010|경기 고양시 일산동구 강송로73번길 53-7
꼬지사께|군포산본점|031-396-4577|경기 군포시 산본로386번길 5-7
꼬지사께|제주모슬포점|064-794-4049|제주 서귀포시 대정읍 신영로 98-1
꼬지사께|청주분평점|043-292-1182|충북 청주시 서원구 1순환로1107번길 33 (분평동) 동성빌딩 2층
꼬지사께|마산삼계점|055-232-0817|경남 창원시 마산회원구 내서읍 삼계5길 21
꼬지사께|용인둔전점|031-335-8733|경기 용인시 처인구 포곡읍 포곡로108번길 5-9
꼬지사께|수락산점|02-930-6662|서울 노원구 동일로242나길 14
꼬지사께|대전송촌점|042-621-2254|대전 대덕구 송촌북로16번길 35
꼬지사께|영등포점|02-2678-8887|서울 영등포구 영중로4길 28-2
꼬지사께|의왕포일점|031-421-0533|경기 의왕시 봇들2길 17
꼬지사께|세종도담점|044-868-1397|세종 보듬3로 8-29
꼬지사께|동두천지행점|031-875-5233|경기 동두천시 동두천로 115 (지행동, 중앙프라자)
꼬지사께|창원감계점|055-298-9092|경남 창원시 의창구 북면 감계로110번길 54-29 드림타워 107호
꼬지사께|안성석정점|031-676-0595|경기 안성시 석정2길 24
꼬지사께|울산남외점|052-296-2002|울산 중구 남외3길 7 대우프라자 105호
꼬지사께|울산덕신점|052-237-6626|울산 울주군 온산읍 덕남로 23
꼬지사께|안산본오점|031-501-5747|경기 안산시 상록구 샘골로 99-1 (본오동) 103호
꼬지사께|아산신창점|041-543-7501|충남 아산시 신창면 행목로 210
꼬지사께|천안백석점|041-523-9253|충남 천안시 서북구 한들1로 27 1층
꼬지사께|여수봉산점|061-644-2551|전남 여수시 봉산1로 46
꼬지사께|김천덕곡점|054-435-9987|경북 김천시 영남대로 2040-20 (덕곡동, 김천 덕곡 월드메르디앙)
꼬지사께|천안성정점|041-569-6667|충남 천안시 서북구 성정공원5로 24 (성정동)
꼬지사께|속초조양점|033-635-5749|강원 속초시 온정로 26 주공4차 APT 2단지 제상가동 2층
꼬지사께|대구시지점|053-791-5689|대구 수성구 달구벌대로641길 17-1 102동 109~110호
꼬지사께|복정점|031-755-2411|경기 성남시 수정구 복정로 116-1
꼬지사께|제주도남점|064-724-6144|제주 제주시 신성로 70
꼬지사께|양산중부점|055-366-9279|경남 양산시 양산역9길 13 1층
꼬지사께|안산신길점|031-493-0722|경기 안산시 단원구 신길로 18 102호
꼬지사께|제주아라점|064-759-3791|제주 제주시 중앙로 576
꼬지사께|계룡대점|042-551-1190|충남 계룡시 엄사면 전원1길 5
꼬지사께|포항쌍용점|054-277-9623|경북 포항시 남구 상대로 85
꼬지사께|여수여천점|061-685-5991|전남 여수시 시청동4길 9 (학동)
꼬지사께|방배점|02-533-3501|서울 서초구 방배중앙로 166 (방배동) 1층
꼬지사께|쌍용/로데오점|041-577-5910|충남 천안시 서북구 미라2길 40
꼬지사께|부산엄궁동점|051-314-4142|부산 사상구 엄궁로 206
꼬지사께|경북대점|053-357-3392|대구 북구 산격로6길 25
꼬지사께|강릉/교동점|033-642-3255|강원 강릉시 솔올로 63
꼬지사께|당진/문예의전당점|041-354-0310|충남 당진시 무수동2길 25-128 서안빌딩 101호
꼬지사께|함안/가야점|055-583-2665|경남 함안군 가야읍 함마대로 1510
꼬지사께|울산/명촌점|052-289-9473|울산 북구 명촌12길 6 1층
꼬지사께|평택용이점|031-657-1956|경기 평택시 현신2길 28
꼬지사께|대전/월평역점|042-487-4490|대전 서구 월평북로 82 (월평동) 대주빌딩 1층 5호
꼬지사께|부산/용호점|051-622-0727|부산 남구 동명로132번길 8 1층
꼬지사께|남양주/진접점|031-528-4828|경기 남양주시 진접읍 해밀예당1로 40 화성프라자 1층 110호
꼬지사께|불당/갤러리아점|041-558-0554|충남 천안시 서북구 공원로 246 1층
꼬지사께|안산/초지점|031-402-5047|경기 안산시 단원구 초지2로 67-7 한양타워 125-6호
꼬지사께|목동점|02-2695-0209|서울 양천구 신정중앙로 85
꼬지사께|천안/쌍용점|041-573-4713|충남 천안시 서북구 월봉11길 1
꼬지사께|창원/수출단지점|055-255-6709|경남 창원시 마산회원구 양덕동2길 11 1층
꼬지사께|서울/연신내점|02-385--3216|서울 은평구 연서로 309 1층
꼬지사께|아산모산점|041-542-1962|충남 아산시 배방읍 배방로 53
꼬지사께|창원팔용점|055-255-0429|경남 창원시 의창구 팔용로 438 (팔용동, 팔용종합상가) 112호
꼬지사께|아산권곡점|041-545-5837|충남 아산시 삼동로 43
꼬지사께|복수점|042-582-9792|대전 서구 복수남로32번길 29
꼬지사께|광주/수완점|062-233-1999|광주 광산구 하남대로 149
꼬지사께|천안청수점|041-575-5109|충남 천안시 동남구 청수6로 105 수안빌딩 103호
꼬지사께|논산/취암점|041-732-4030|충남 논산시 시민로331번길 9 (취암동)
꼬지사께|상주터미널점|054-536-0737|경북 상주시 문무2길 52 (무양동)
꼬지사께|의정부신곡점|031-842-2240|경기 의정부시 추동로5번길 30 (신곡동)
꼬지사께|속초교동점|033-635-6356|강원 속초시 미시령로3359번길 20 (교동) 102호
