##NAME|SUBNAME|TELNUM|NEWADDR@@짝태&노가리
짝태&노가리|성남/야탑점|010-3652-1158|경기도 성남시 분당구 장미로 86
짝태&노가리|성남/운중점|010-8822-7822|경기도 성남시 분당구 운중로126번길 6
짝태&노가리|성남/판교2호점|010-8822-7822|경기도 성남시 분당구 대왕판교로606번길 58
짝태&노가리|성남/판교역점|010-8822-7822|경기도 성남시 분당구 대왕판교로606번길 45
짝태&노가리|성남/판교점|010-4143-3435|경기도 성남시 분당구 대왕판교로670
짝태&노가리|성내점|010-7347-0182|서울특별시 강동구 양재대로 1371
짝태&노가리|성수점|010-9451-0557|서울특별시 성동구 성수동2가 289-242
짝태&노가리|수락산점|010-8388-0565|서울시 노원구 동일로 241길 11
짝태&노가리|수원/곡반정점|010-4524-5169|경기도 수원시 권선구 곡선로50번길 21-5
짝태&노가리|수원/동수원점|010-4553-5707|경기도 수원시 팔달구 팔달문로130번길 69, 가동 107호
짝태&노가리|수원/북문점|010-6242-0331|경기도 수원시 장안구 정조로922번길 32
짝태&노가리|수원/성대점|010-8742-6348|수원시 장안구 율전동 375-2
짝태&노가리|수원/연무점|010-7154-1943|경기도 수원시 장안구 창훈로 3-2
짝태&노가리|수원/율전점|010-5509-5592|경기도 수원시 장안구 덕영대로407번길 34-22
짝태&노가리|수원=탑동점|010-3332-2829|경기도 수원시 권선구 탑동 862-3
짝태&노가리|수유점|010-5354-4529|37.641016507800536, 127.03002684120292
짝태&노가리|시흥사거리점|010-5524-5611|서울시 금천구 시흥대로 52길 32
짝태&노가리|시흥은행나무점|010-7626-6800|서울특별시 금천구 금하로24길 46
짝태&노가리|신길점|010-3100-5056|서울특별시 영등포구 도신로244
짝태&노가리|신논현점|010-2109-7410|서울특별시 서초구 사평대로55길 47
짝태&노가리|신대방역점|010-6246-4428|서울시 관악구 조원로 99
짝태&노가리|신도림점|010-3042-0694|서울 구로구 공원로6나길 12
짝태&노가리|신림로점|010-9319-0789|서울시 관악구 신림로11길 18-7
짝태&노가리|신방화역점|010-6808-1230|서울 강서구 양천로24길 125
짝태&노가리|신월7동점|010-9866-6470|서울시 양천구 신월동 931-2
짝태&노가리|신창점|010-4228-0245|서울특별시 도봉구 덕릉로60길 164-13
짝태&노가리|신촌점|010-6330-7767|서울특별시 마포구 신촌로 60
짝태&노가리|신풍역점|010-8747-6594|서울시 영등포구 신길로 69
짝태&노가리|쌍문점|010-8666-5841|서울시 도봉구 도봉로 106길 22
짝태&노가리|안산/고잔점|010-5491-9280|경기 안산시 단원구 광덕2로 185-4
짝태&노가리|안산/월피점|010-3818-4638|경기도 안산시 상록구 예술광장로25
짝태&노가리|안양/비산점|010-5466-5389|경기도 안양시 동안구 동안로 194
짝태&노가리|안양/수촌점|010-6363-1812|경기도 안양시 동안구 관평로305번길 60
짝태&노가리|안양/안양역점|010-2430-0231|37.39594145484474, 126.93021073937416
짝태&노가리|안양/인덕원점|010-9584-0609|경기 안양시 동안구 인덕원로24번길 44
짝태&노가리|양재점|010-3214-8323|서울특별시 서초구 언남11길 16-15
짝태&노가리|양주/고읍점|010-8888-2036|경기도 양주시 고읍남로23
짝태&노가리|양주/옥정점|010-3464-8285|경기도 양주시 옥정동로7가길 30
짝태&노가리|엘지마곡점|010-9149-9623|서울시 강서구 마곡중앙8로 86
짝태&노가리|여의도점|010-3659-6415|서울 영등포구 여의도동 17
짝태&노가리|역삼점|010-6325-0933|서울시 강남구 논현로71길 15
짝태&노가리|연신내점|010-7733-7004|서울특별시 은평구 연서로29길 7-10
짝태&노가리|영등포구청점|010-2380-4061|서울시 영등포구 양산로 125-1
짝태&노가리|영등포점|010-5459-8970|서울특별시 영등포구 영등포로46길 3
짝태&노가리|오금점|02-404-8681|서울특별시 송파구 동남로23길 58
짝태&노가리|오산/궐동점|010-9186-3248|경기도 오산시 대호로 91
짝태&노가리|오산/세교점|010-5006-8373|경기도 오산시 수청로 70
짝태&노가리|오산/오산대역점|010-4995-0017|경기도 오산시 내삼미로79번길 22
짝태&노가리|오산/운암점|010-4806-0345|경기도 오산시 운암로 19
짝태&노가리|외대점|010-8749-8722|서울시 동대문구 휘경로5길 3
짝태&노가리|용인/강남대점|010-3620-9954|경기 용인시 기흥구 강남동로14 108
짝태&노가리|용인/광교점|010-7136-9353|경기도 용인시 수지구 광교중앙로301
짝태&노가리|용인/단국대점|010-4225-0311|경기도 용인시 수지구 죽전로 144번길 7-8
짝태&노가리|용인/동천역점|010-5222-2611|경기 용인시 수지구 신수로767
짝태&노가리|용인/명지대점|010-8749-1425|경기도 용인시 처인구 명지로40번길 15-17
짝태&노가리|용인/보라점|010-7440-0519|경기도 용인시 기흥구 한보라1로10번길 6-6
짝태&노가리|용인/수지점|010-7705-8574|경기도 용인시 수지구 풍덕천로129번길 6-6
짝태&노가리|용인/역북점|010-4548-9617|용인시 처인구 중부대로1299번길 9
짝태&노가리|용인/중앙동점|010-7148-5170|경기도 용인시 처인구 금령로27번길 17
짝태&노가리|우장산점|010-3952-5625|서울시 강서구 화곡동 1013 (1층 19호)
짝태&노가리|은평신사점|010-8889-2833|서울 은평구 가좌로 319
짝태&노가리|음성/감곡점|010-8909-4725|충청북도 음성군 감곡면 장강로 132번길 13
짝태&노가리|응암시장점|010-9481-8858|서울특별시 은평구 응암로22길 25
짝태&노가리|응암이마트점|010-9250-6867|서울 은평구 진흥로27
짝태&노가리|응암점|010-2428-3802|서울 은평구 응암로11길13
짝태&노가리|의왕/계원예대점|010-4822-2218|경기도 의왕시 계원대학로 10
짝태&노가리|의정부/가능역|010-4785-4040|경기도 의정부시 신흥로 352-1
짝태&노가리|의정부/금오점|010-6330-7767|경기도 의정부시 청사로47번길 15
짝태&노가리|의정부/낙양점|010-6389-4334|경기도 의정부시 용민로 397
짝태&노가리|의정부/동오점|010-3727-4407|경기도 의정부시 추동로9, 118호(신곡동, 휴먼시티)
짝태&노가리|의정부/민락2지구점|010-9034-9030|경기도 의정부시 오목로225번길 89-66
짝태&노가리|의정부/민락점|010-9235-8095|경기도 의정부시 용현로105번길 45-30
짝태&노가리|의정부/신곡1동점|010-9180-4925|경기도 의정부시 발곡로 6
짝태&노가리|의정부/신시가지점|010-4669-9489|경기도 의정부시 범골로145번길 28
짝태&노가리|의정부/회룡역점|010-3896-8554|경기도 의정부시 외미로 104-12
짝태&노가리|이수역점|010-9093-7425|서울특별시 동작구 동작대로27다길 8
짝태&노가리|이천/이천점|010-4664-3673|경기도 이천시 중리천로 70번길 9
짝태&노가리|이천/하이닉스점|010-4757-5454|경기도 이천시 대월면 사동리324-19
짝태&노가리|이천/화수점|010-3375-6755|인천 동구 화도진로 106, 1층
짝태&노가리|익산/동산점|010-9446-1313|전북 익산시 서동로 97-1
짝태&노가리|익산/마동점|010-3378-1907|전북 익산시 영등동545-4
짝태&노가리|익산/모현점|010-2376-5005|전북 익산시 선화로 3길 33-2
짝태&노가리|익산/부송점|010-8990-6095|전북 익산시 부송로 116
짝태&노가리|익산/어양점|010-9223-6395|전북 익산시 하나로 29길 26-1
짝태&노가리|익산/영동제일점|010-2282-9933|전북 익산시 고봉로34길 15-1
짝태&노가리|익산/영등2호점||전북 익산시 영등동 809-8
짝태&노가리|익산/원대점|010-3184-0223|전북 익산시 동서로5길 97
짝태&노가리|인천/간석점|010-8670-4428|인천광역시 남동구 석산로9번길 12
짝태&노가리|인천/검단점|010-5208-4307|37.596187210250555, 126.61462068557739
짝태&노가리|인천/계산점|010-8551-5464|인천시 계양구 계산새로 4
짝태&노가리|인천/계양구청점|010-5042-9062|인천시 계양구 계산새로87번길 6
짝태&노가리|인천/공항신도시점|010-3160-9876|인천시 중구 흰바위로 37
짝태&노가리|인천/구월점|010-2461-0032|인천 광역시 남동구 인주대로 678
짝태&노가리|인천/동암역점|010-5446-1114|인천 부평구 십정동 406-1
짝태&노가리|인천/만수점|010-6625-8331|인천 남동구 구월로 354
짝태&노가리|인천/부평점|010-4880-1252|인천광역시 부평구 대정로 66
짝태&노가리|인천/선학점||인천광역시 연수구 학나래로118번길 47
짝태&노가리|인천/송도점|010-4004-4503|인천 연수구 컨벤시아대로100
짝태&노가리|인천/신복사거리점|010-2472-3445|인천광역시 부평구 장제로 213
짝태&노가리|인천/용현점|010-4304-0800|인천광역시 남구 토금중로 68
짝태&노가리|인천/임학점|010-4251-1598|인천광역시 계양구 계양산로216번길 1
짝태&노가리|인천/작전점|010-4763-6730|인천광역시 계양구 효서로 220
짝태&노가리|인천/주안점|010-9302-7454|인천광역시 남구 주안로104번길 15
짝태&노가리|인천/학익점|010-5473-3882|인천광역시 남구 한나루로357번길 20
짝태&노가리|인천/효성점|010-2224-7741|인천광역시 계양구 봉오대로531번길 33
짝태&노가리|자양점|010-7466-7096|서울특별시 광진구 자양로 55
짝태&노가리|장한평역점|010-2737-4682|서울시 동대문구 장안동 433-22
짝태&노가리|전라지사|010-9476-9475|전북 익산시 무왕로6길 34
짝태&노가리|전북/봉동점|010-3671-6878|전북 완주군 봉동읍 둔산3로56
짝태&노가리|전북/부안점|010-3657-4058|전북 부안군 부안읍 진성길21
짝태&노가리|전주/삼천2호점|010-8532-1358|전북 전주시 완산구 용리로30
짝태&노가리|전주/삼천점|010-4343-8972|전북 전주시 완산구 용리로30
짝태&노가리|전주/서신점|010-7655-5305|전북 전주시 완산구 새터로22
짝태&노가리|전주/안골점|010-5143-0852|전북 전주시 덕진구 인후동1가 775-1
짝태&노가리|전주/전주대점|010-4292-0520|전북 전주시 완산구 후곡길 12-8
짝태&노가리|전주/중화산점|010-7639-2231|전북 전주시 완산구 중산중앙로 27
짝태&노가리|전주/태평점|010-4143-7790|전북 전주시 완산구 물레방아3길 30
짝태&노가리|전주/평화점|010-9911-5078|전북 전주시 완산구 평화18길29-5
짝태&노가리|전주/포스코점||전북 전주시 완산구 우전2길71
짝태&노가리|전주/하가점|010-6329-3212|전북 전주시 덕진구 가리내8길 10-5
짝태&노가리|제주/제주1호점|010-5660-7569|제주특별자치도 제주시 신대로 149
짝태&노가리|제주/제주2호점|010-5660-7569|제주시 원노형남1길 46
짝태&노가리|제주/제주2호점||제주특별자치도 제주시 월랑로4길 16
짝태&노가리|종로1호점|010-2273-7880|서울 종로구 수표로26길 28
짝태&노가리|중곡점|010-9082-8089|서울특별시 광진구 면목로 166
짝태&노가리|중화점|010-5731-3294|서울시 중랑구 중랑역로 85, 1층
짝태&노가리|증산역점|010-2770-5960|서울특별시 서대문구 북가좌동 329-1
짝태&노가리|진주/경상대점|010-4334-5127|경상남도 진주시 가좌길 63
짝태&노가리|진주/계동점|010-8890-9396|경상남도 진주시 비봉로50번길 6
짝태&노가리|진주/상봉점|010-7642-7649|경상남도 진주시 창렬로98번길 1, 1층(상봉동)
짝태&노가리|진주/칠암점|010-5096-7793|경남 진주시 진주대로856번길 15 1층(칠암동)
짝태&노가리|진주/평거점|010-6241-3807|경남 진주시 신평공원길11번길 11,1층(평거동)
짝태&노가리|진주/하대2호점|010-3872-6348|경상남도 진주시 남강로1425번길 7-1, 1층(하대동)
짝태&노가리|진주/하대점|010-6241-3807|경남 진주시 도동로 231번길 6-1
짝태&노가리|진주/호탄점|010-9986-7486|경상남도 진주시 강변길7,1층(호탄동)
짝태&노가리|창3동점|010-7623-6081|서울시 도봉구 덕릉로 226-1
짝태&노가리|창동역점|010-5849-9998|서울특별시 도봉구 노해로63길 84-9
짝태&노가리|천안/직산점|010-2930-7165|충청남도 천안시 서북구 직산읍 삼은3길 25
짝태&노가리|천호점|010-9014-7293|서울특별시 강동구 올림픽로70길 52, 3층
짝태&노가리|충남/금산점|010-5808-7913|충남 금산군 금산읍 아인리 636-3
짝태&노가리|충남/서산점|010-8819-9494|충청남도 서산시 호수공원 7로 19
짝태&노가리|충남지사/아산점|010-3422-1397|충청남도 아산시 탕정면 탕정면로 8번길 29-11
짝태&노가리|충북/혁신점|010-7603-6878|충북 음성군 맹동면 대하4길 (스타상가 11호)
짝태&노가리|파주/봉일천점|010-3891-6320|경기도 파주시 조리읍 봉일천리 142-3
짝태&노가리|파주/산내마을점|010-3546-1924|경기도 파주시 산내로104번길 5-26
짝태&노가리|파주/운정|010-8385-2045|경기도 파주시 동패로63번길 6-22
짝태&노가리|평택/합정점|010-5021-0819|경기도 평택시 중앙2로154
짝태&노가리|하남/덕풍점|010-4548-9617|경기도 하남시 덕풍동로 111-21, 108 (KN몰 1층)
짝태&노가리|하남/신장점|010-9309-5357|경기도 하남시 하남대로801번길 52
짝태&노가리|합정점|010-8907-9216|서울특별시 마포구 월드컵로 41-1
짝태&노가리|홍대상수역점|010-5311-2342|서울특별시 마포구 상수동 328-4
짝태&노가리|홍제점|010-5396-0229|서울특별시 서대문구 세검정로 89
짝태&노가리|화곡2호점|010-8532-0107|서울시 강서구 화곡동 377-10 1층 1호
짝태&노가리|화곡복개천점|010-4066-7076|서울시 강서구 화곡동 934-15
짝태&노가리|화곡점||서울시 강서구 초록마을로 11
짝태&노가리|화성/동탄점|010-6855-0140|경기도 화성시 반송동 88-8
짝태&노가리|화성/병점점|010-4515-5559|경기도 화성시 병점중앙로156번길 5-12
짝태&노가리|화성/봉담|010-2662-8664|경기도 화성시 봉담읍 샘마을길 15
짝태&노가리|화성/향남점|010-2087-1370|경기도 화성시 향남읍 상신하길로 320
짝태&노가리|화양점|010-5191-8980|서울시 광진구 능동로 13길 80
짝태&노가리|회기역점|010-6279-9533|서울시 동대문구 회기로 184
