##NAME|SUBNAME|TELNUM|NEWADDR|FAXNUM
알파문구|공릉역점|02-979-2231|서울 노원구 동일로 1081 (공릉동, 타이어 프로).|02-979-2232
알파문구|구로남부점|02-854-3516|서울 구로구 구로동로25길 3 (구로동)알파문구|02-867-4375
알파문구|나주혁신점|061-336-4407|전남 나주시 문화로 204 (빛가람동)104호, 하나로프라자|061-336-4409
알파문구|대구혁신점|053-965-4883|대구 동구 첨단로8길 19 (신서동)102호(신서동, 밸류스퀘어파이브)|053-965-4882
알파문구|대전동부지부|042-628-1354|대전 대덕구 계족로 613 (중리동).|042-625-1354
알파문구|문정법조단지점|02-6281-8855|서울 송파구 법원로11길 25 (H business park)A동 B102호 (문정동, H business Park)|02-6281-8856
알파문구|방배효령점|02-522-0667|서울 서초구 효령로 27 (방배동).|02-582-6520
알파문구|부산강서명지점|051-714-7117|부산 강서구 명지오션시티9로 31 (명지동).|051-714-7118
알파문구|서산예천점|041-665-5577|충남 서산시 예천동 103-71,2층|041-665-5477
알파문구|송도커넬워크점|032-723-6727|인천 연수구 아트센터대로 87 (송도동, 커낼워크D4 WINTER)402동 159,160호 |032-831-5845
알파문구|수원율현점|031-291-7761|경기 수원시 팔달구 일월로22번길 8 (화서동)201호|031-291-7762
알파문구|시흥배곧점|031-432-1949|경기 시흥시 서울대학로278번길 43-13 (정왕동)2층 204호|031-434-1949
알파문구|양산중앙점|055-386-8778|경남 양산시 양산역4길 13 (중부동)1층|055-389-1177
알파문구|오피스알파/LG트윈점|02-3788-9211|서울 영등포구 여의대로 128 (여의도동)여의도동 LG트윈타워|02-3775-0060
알파문구|전주혁신점|063-227-5528|전북 전주시 완산구 오공로 47 (중동)1층 104,105호|063-229-5528
알파문구|제주한라점|064-749-7667|제주특별자치도 제주시 연동 1510-5.|064-749-7668
알파문구|청주분평점|043-292-4940|충북 청주시 서원구 청남로 2003 (분평동)지하층|043-292-4941
알파문구|충북혁신점|043-877-6143|충북 음성군 맹동면 대하로 260 (두성리)1층|043-877-6144
알파문구|강남대점|031-287-9277|경기 용인시 기흥구 구갈동 587-31층|031-287-9677
알파문구|경북도청점|054-841-0088|경북 안동시 풍천면 갈전리 1378.|054-841-0087
알파문구|경주외동점|054-744-1212|경북 경주시 외동읍 산업로 2183 (구어리, 나동)2층|054-744-1215
알파문구|광교상현역점|031-216-3309|경기 용인시 수지구 광교마을로 54 (상현동)107호, 108호|031-216-3308
알파문구|광주조선대점|062-515-1514|광주 동구 필문대로 271 (동명동)28-1 |062-227-8889
알파문구|광주흑석점|062-954-0170|광주 광산구 풍영로145번길 82 (흑석동)101호 (일흥아르디움빌딩)|062-954-0176
알파문구|기장중앙점|051-723-1225|부산 기장군 기장읍 차성동로 54 (대라리)2호|051-723-1226
알파문구|길병원점|032-422-4169|인천 남동구 남동대로 773 (구월동, 가천대길병원인공지능암병원).|032-421-4169
알파문구|남양산점|055-388-0996|경남 양산시 동면 금오13길 16 (석산리)2층 202호|055-388-0997
알파문구|남지점|055-526-0008|경남 창녕군 남지읍 남지리 280-7.|055-526-0452
알파문구|대구이시아폴리스점|053-985-3344|대구 동구 팔공로51길 31-6 (봉무동)제비동 제복수 (상,하)층 102호(봉무동,이시아빌딩)|053-985-4433
알파문구|마곡나루역점|02-3664-4450|서울 강서구 마곡중앙5로1길 20 (마곡동, 마곡나루역보타닉비즈타워)213호~215호|02-3664-4452
알파문구|마곡센트럴점|02-2668-2350|서울 강서구 공항대로 227 (마곡동, 마곡센트럴타워Ⅰ)210호|02-2668-2351
알파문구|명동성당점|02-777-8484|서울 중구 명동길 73 (명동1가, YWCA연합회)1층|02-777-8844
알파문구|세종국민점|None|세종특별자치시 정부2청사로 10 (나성동, 에스엠타워)201호(나성동,서문타워)|044-868-8410
알파문구|세종소담점|044-864-3737|세종특별자치시 소담1로 16 (소담동, 지엘플렉스2)209,210호|044-864-3736
알파문구|송탄지부|031-611-0862|경기 평택시 장당동 6-2송탄지부 1층|031-667-7879
알파문구|제주성산점|064-784-2939|제주특별자치도 서귀포시 성산읍 고성오조로 58 (고성리).|064-782-4389
알파문구|제주연동점|064-746-0150|제주특별자치도 제주시 선덕로 17 (연동, 연동세일빌라)104동|064-749-0150
알파문구|한동대점|054-260-1258|경북 포항시 북구 흥해읍 한동로 558 (남송리, 한동대학교).|054-260-1269
알파문구|구미북부점|054-444-8979|경북 구미시 고아읍 들성로 247 (문성리).|054-444-8970
알파문구|미사역점|031-793-5879|경기 하남시 망월동 1104-1미사파크뷰 B101호|031-793-5878
알파문구|세종조치원점|044-866-7788|세종특별자치시 조치원읍 세종로 2360 (신흥리).|044-866-7778
알파문구|순창점|063-653-3213|전북 순창군 순창읍 장류로 361 (순화리).|063-653-0089
알파문구|신림역점|02-871-5733|서울 관악구 신림로59길 9 (신림동).|02-871-5733
알파문구|양천점|02-2601-5554|서울 양천구 신정동 1191-7욱성빌딩 지하1층|02-2601-5570
알파문구|연희점|02-333-8940|서울 서대문구 연희로 81-15 (연희동)지층|02-333-8941
알파문구|영덕점|054-733-2657|경북 영덕군 영덕읍 강변길 36 (덕곡리).|054-733-2659
알파문구|오피광주남구점|062-674-0546|광주 남구 효덕로 286-1 (진월동).|062-674-2938
알파문구|오피금천점|02-334-0933|서울 금천구 가산디지털1로 25 (가산동, 대륭테크노타운17차)지하 102호|02-334-0225
알파문구|오피한밭점|042-638-0522|대전 서구 괴정로 16-1 (괴정동).|042-637-0527
알파문구|울산남구점|052-266-0035|울산 남구 수암로 307-2 (야음동).|052-261-3590
알파문구|원주시청점|033-742-6208|강원 원주시 시청로 36 (무실동)지하층 101,102,106호|033-743-6208
알파문구|위례점|031-759-9801|경기 성남시 수정구 위례광장로 310 (창곡동, 우성트램타워)주건축물 제1동 2층 제비동  203호,204호|031-759-9802
알파문구|적선현대점|02-736-9692|서울 종로구 종로 80 (종로2가)적선현대빌딩 42 |02-723-5070
알파문구|전주하가점|063-255-3155|전북 전주시 덕진구 가련산로 7 (덕진동2가)1동 201호,202호|063-277-3155
알파문구|제주아라점|064-756-0037|제주특별자치도 제주시 중앙로 528 (아라1동).|064-756-6886
알파문구|포천이동점|031-532-4846|경기 포천시 이동면 장암리 477-54/5|031-532-2826
알파문구|포항문덕점|054-292-3503|경북 포항시 남구 오천읍 남원로 85-99 (원리).|054-292-3502
알파문구|포항지곡점|054-277-0777|경북 포항시 남구 지곡로 253 (지곡동)127호|054-277-0882
알파문구|경주중앙점|054-741-5858|경북 경주시 원화로 310-1 (성동동) ,1층|054-742-4208
알파문구|경주한수원점|054-775-7117|경북 경주시 양북면 불국로 1655 (장항리)|054-775-7118
알파문구|광화문점|02-732-0096|서울 종로구 새문안로3길 7 (신문로1가, 한글회관)101,103,106호|02-711-9630
알파문구|구로비즈점|02-6341-9696|서울 구로구 디지털로 242 (구로동, 한화비즈메트로1차),103호|02-2621-2280
알파문구|남강릉점|033-647-3989|강원 강릉시 범일로 656 (내곡동)1층 |033-648-3989
알파문구|대구테크노폴리스점|053-616-1196|대구 달성군 현풍면 현풍로10길 138 (원교리)1층|053-617-1196
알파문구|동탄중앙점|031-376-9455|경기 화성시 동탄대로시범길 148-22 (청계동)마추프라자 B107-9|031-376-9457
알파문구|마포역점|02-712-8796|서울 마포구 마포대로 33 (도화동, 마포 한화 오벨리스크)지하1층 비111호|02-706-1796
알파문구|미사점|031-793-9535|경기 하남시 미사강변대로226번길 21 (망월동)미사프라자 201호|031-793-9537
알파문구|미아뉴타운점|02-980-4953|서울 강북구 삼양로24길 19 (미아동, 현대성우아파트)102동 106호|02-6448-9979
알파문구|백마점|031-917-0864|경기 고양시 일산동구 일산로 228 (마두동, 강서빌딩)지하층 101호|031-917-0864
알파문구|부산하단점|051-201-3341|부산 사하구 낙동대로 487 (하단동)연진빌딩 1층|051-207-3341
알파문구|시흥장현점|031-317-1478|경기 시흥시 장현능곡로 177 (능곡동)101~102호|031-404-1478
알파문구|신정이펜점|02-2696-1005|서울 양천구 신정이펜2로 24 (신정동)102,103호|02-2696-1005
알파문구|우면점|02-2058-1707|서울 서초구 태봉로 70 (우면동, 우면프라자Ι)제비103 (우면동,우면프라자)|02-2058-1708
알파문구|전주중앙점|063-223-0983|전북 전주시 완산구 효자로 174 (효자동2가)2층|063-223-0984
알파문구|제주노형점|064-749-3345|제주특별자치도 제주시 남녕로 34 (연동)1층 101호|064-746-3345
알파문구|창원도계점|055-273-4970|경남 창원시 의창구 도계로 58 (도계동)지하층|055-273-4971
알파문구|포항우현점|054-254-4777|경북 포항시 북구 우창동로 71 (우현동, 풍림아이원아파트).|054-255-4777
알파문구|횡성점|033-345-8222|강원 횡성군 횡성읍 태기로 25 (읍하리).|033-345-8221
알파문구|검단산업단지점|032-773-0096|인천 서구 보듬5로 5, 1층 102호 (오류동, 오덕프라자)|032-564-0098
알파문구|광주보건대점|062-371-0779|광주 광산구 북문대로419번길 55 (신창동)지하층|062-952-4993
알파문구|남원주점|033-762-7787|강원 원주시 늘품로 29 (단구동)(단구동 1577-6)|033-762-7785
알파문구|대전관저점|042-535-0002|대전 서구 관저북로 25 (관저동, 월드상가)201호 알파|042-545-8116
알파문구|대전서구점|042-472-5698|대전 서구 둔산북로 36 (둔산동)알파|042-471-5698
알파문구|동춘점|032-819-5254|인천 연수구 먼우금로 94 (동춘동)(동춘동 937-8)|032-819-5255
알파문구|순천연향점|061-725-2352|전남 순천시 안산길 16 (연향동)(연향동 1610-6)|061-725-2353
알파문구|신원점|02-381-7006|경기 고양시 덕양구 권율대로 893 (신원동, 파스텔 시티)2층 207호|02-381-7009
알파문구|안중점|031-684-9274|경기 평택시 안중읍 안현로 424 (안중리)알파|031-684-9276
알파문구|알파본사_상품권|02-3788-6116|서울특별시 용산구 한강로3가16-18 알파빌딩4층 경영지원본부|02-718-0194
알파문구|양산증산점|055-385-6006|경상남도 양산시 물금읍 백호로 741층 104호,105호,107호(지오플러스)|055-382-1226
알파문구|오피광주첨단점|062-971-8611|광주 광산구 산월로 13 (월계동)알파|062-971-8612
알파문구|오피종각점|02-725-7340|서울 종로구 종로5길 32-6 (청진동)(청진동 21-1)|02-725-7341
알파문구|의정부민락점|031-852-2412|경기 의정부시 용민로 192, 1층 108호(민락동,웅신프라자)|031-851-2413
알파문구|인제서화점|033-462-3361|강원 인제군 서화면 천도로 158 (천도리).|033-462-3368
알파문구|진주공단점|055-761-1103|경남 진주시 대신로 213-1 (상대동)1층(상대동)|055-761-1109
알파문구|파주시청점|031-941-0609|경기 파주시 시청로 43 (금촌동)금촌동|031-941-0608
알파문구|포항법원점|054-255-9905|경북 포항시 북구 장량중앙로 49 (양덕동)(양덕동 462-1)|054-255-9906
알파문구|포항죽도점|054-273-0031|경북 포항시 북구 중흥로 231 (죽도동)동양빌딩 1층 105-1호(죽도동)|054-273-0034
알파문구|합천점|055-932-2570|경남 합천군 합천읍 합천리 산 384-6알파 합천점|055-933-2570
알파문구|가산하이엔드점|02-6674-6675|서울특별시 금천구 가산동481-2 104,105호(가산동,에이스하이엔드타워9차)|02-6674-6673
알파문구|경북고령점|054-956-0604|경상북도 고령군 고령읍 쾌빈리358-9(우륵로 48)|054-956-0602
알파문구|광주쌍촌점|062-371-2477|광주광역시 서구 쌍촌동986-10(상무대로 918-1)|062-371-2278
알파문구|광주양산점|062-571-2752|광주광역시 북구 양산동660-14|062-571-2752
알파문구|김천혁신점|054-436-8858|경북 김천시 혁신3로 5 (율곡동, 율곡스퀘어Ⅲ)101호|054-436-9858
알파문구|대치본점|02-566-0996|서울특별시 강남구 대치동960-18|02-566-0997
알파문구|동탄한백점|031-376-0003|경기 화성시 지산1길 4-8 (영천동)알파문구|031-376-1103
알파문구|분당불정점|031-702-2266|경기 성남시 분당구 불정로 381 (서현동, 효자촌동진프라자)지하1층|031-702-2261
알파문구|순천신대점|061-723-1577|전라남도 순천시 해룡면 신대리1987-4(신대4길 6)|061-723-1587
알파문구|여천점|061-681-5811|전라남도 여수시 안산동721-3|061-691-5811
알파문구|오피나주빛가람점|061-334-0310|전남 나주시 황동1길 90 (빛가람동).|061-334-0311
알파문구|용인청덕점|070-4210-7110|경기도 용인시 기흥구 청덕동502-4(구성3로28번길 24)|031-284-7110
알파문구|응암점|02-353-3332|서울특별시 은평구 응암동111-1 지하 1층(은평로 98 )|02-353-0786
알파문구|정읍상동점|070-4114-7266|전라북도 정읍시 상동172-7|063-536-3716
알파문구|제주삼화점|064-759-0800|제주특별자치도 제주시 화북1동 1004-2(화삼북로36)|064-759-1199
알파문구|진주상대점|055-762-1022|경상남도 진주시 상대동741-9 1층(모덕로 27 )|055-763-1077
알파문구|창원공단점|055-277-0989|경상남도 창원시 의창구 팔용동17-5|055-277-0949
알파문구|충남내포점|041-634-9957|충청남도 홍성군 홍북면 신경리1184(홍학로 83)|041-634-9959
알파문구|파주적성점|031-959-0403|경기도 파주시 적성면 구읍리652-2|031-958-6080
알파문구|화성양감점|031-352-2644|경기도 화성시 양감면 신왕리 667-2(은행나무로 273)|031-352-2615
알파문구|거제아주점|055-681-6871|경상남도 거제시 아주동315-1(아주로 40-1) 1층|055-681-6871
알파문구|광주염주점|062-375-8408|광주광역시 서구 화정동825-5(염화로 95)|062-375-8409
알파문구|김해삼계점|055-338-2724|경상남도 김해시 삼계동1488-8(삼계중앙로 47)|055-338-2726
알파문구|김해점|055-335-1338|경상남도 김해시 부원동613-10(호계로 427)|055-325-3977
알파문구|나주한전점|061-332-0399|전라남도 나주시 빛가람동120(전력로 55)|061-337-0399
알파문구|내발산점/|02-2667-8959|서울특별시 강서구 내발산동750-9(수명로 68-27)|02-2667-8958
알파문구|논산점|041-735-7216|충청남도 논산시 내동1034(시민로 301)|041-735-4188
알파문구|별내점|031-529-7840|경기도 남양주시 별내동1008(쎈타프라자1층110호)|031-529-7841
알파문구|부개점|032-524-0426|인천광역시 부평구 부개동328-5(경인로1104번길 24)|032-524-0427
알파문구|사천중앙점|055-855-2777|경남 사천시 용현면 대밭담1길 38 (송지리).|055-855-2778
알파문구|서강대점|02-713-7088|서울 마포구 백범로 72 (신수동, 경인빌딩).|02-713-7081
알파문구|영등포로터리점|02-2671-0291|서울특별시 영등포구 영등포동6가77-8 1층|02-2671-0295
알파문구|오피군산점|063-445-6966|전라북도 군산시 장미동2-58(죽성로 9-6)|063-445-6968
알파문구|진주혁신점|055-752-1259|경상남도 진주시 충무공동22-13(에나로 69)|055-762-1259
알파문구|창원문성대점|055-288-9988|경상남도 창원시 의창구 두대동196 창원문성대학9호관2층(충혼로 91)|055-288-9988
알파문구|창원북면점|055-293-1400|경상남도 창원시 의창구 북면 감계리1144|055-293-4100
알파문구|창원팔용점|055-293-8253|경상남도 창원시 의창구 팔용동101 팔용종합상가 1층 124호(팔용로 438 )|055-293-8253
알파문구|청주지웰시티점|043-235-1109|충청북도 청주시 흥덕구 복대동 288-115 203호 (대농로 52)|043-238-1109
알파문구|탄현제니스점|031-911-1858|경기 고양시 일산서구 일현로 97-11 (탄현동, 일산 위브더제니스)1640번지 위브더제니스스퀘어 지하 1층|031-925-9695
알파문구|파주월롱점|031-942-5113|경기도 파주시 월롱면 덕은리 660번지(엘지로 264)|031-942-5114
알파문구|거제수월점|055-637-0038|경상남도 거제시 수월동1125-4(수양로 449)알파|055-637-2820
알파문구|고대안암점|02-953-6720|서울특별시 성북구 안암동5가53 지하1층 (인촌로 99)|02-953-6721
알파문구|곡성점|061-362-0686|전라남도 곡성군 곡성읍 읍내리305 (중앙로 100-1)|061-363-7272
알파문구|광교점|031-214-2140|경기 수원시 영통구 하동 983-5광교법조프라자 2층 1호|031-258-3807
알파문구|광주하남점|062-956-2503|광주광역시 광산구 하남동653 (손재로110번길 41)|062-956-2503
알파문구|분당2호점|031-781-1196|경기도 성남시 분당구 삼평동653 에스지타워 지하 102, 103호 (대왕판교로606번길 47)|031-781-1176
알파문구|사가정역점|02-495-9274|서울특별시 중랑구 면목동617-2(면목로 310)|02-495-9275
알파문구|삼호가든점|02-459-5588|서울특별시 서초구 반포동32-1 반포메딕스빌딩 지하(고무래로 32)|02-537-2288
알파문구|수원과학대점|031-222-4957|경기도 화성시 봉담읍 수기리27번지 (최루백로 423)|031-222-4958
알파문구|수원원천점|031-254-3153|경기도 수원시 영통구 원천동326-18 (삼성로277번길 12-18)|031-254-3154
알파문구|영암삼호점|061-461-8009|전라남도 영암군 삼호읍대불주거로 51 (외1필지)|061-461-8010
알파문구|오피강동천호점|02-476-2646|서울특별시 강동구 천호1동24-8 가야빌딩 지하1층 (양재대로 1619)|02-7626-2647
알파문구|울산동구점(방어진)|052-201-0949|울산광역시 동구 방어동1149-4 (화문로 58)|052-201-0943
알파문구|인천간석점|032-421-1185|인천광역시 남동구 간석동205-1 올리브백화점 2층 알파|032-421-1187
알파문구|인천삼산점|070-8801-8139|인천광역시 부평구 삼산동459-3 이리옴프라자Ⅱ(체육관로 34 202)|032-544-8218
알파문구|진접점|031-528-4580|경기도 남양주시 진접읍 금곡리1096 으뜸프라자2층 203호 (해밀예당3로 52)|031-528-4582
알파문구|진해석동점|055-551-9601|경상남도 창원시 진해구 석동654-3(석동로 51)|055-551-9602
알파문구|천안쌍용점|041-577-0823|충청남도 천안시 서북구 쌍용동2012 하나메디컬타운 1F|041-573-0823
알파문구|청주가경점|043-237-4522|충청북도 청주시 흥덕구 가경동181-1 (가경로 85)|043-237-4521
알파문구|킨텍스점|031-995-7233|경기도 고양시 일산서구 대화동2306 킨텍스1층|031-995-7234
알파문구|광주봉선점|062-673-2707|광주광역시 남구 봉선동114-3 용연빌딩 A동 104호 (봉선로 169)|062-673-2707
알파문구|광주수완점|062-959-5595|광주광역시 광산구 장덕동1264 (장신로 51)|062-959-5597
알파문구|대산점|041-664-9900|충청남도 서산시 대산읍 대산리149-94 (충의로 1892)|041-664-2727
알파문구|목포중앙점|061-244-1456|전라남도 목포시 무안동10-22 (영산로59번길 1-2)|061-244-0480
알파문구|밀양점|055-355-0588|경상남도 밀양시 내일동610 (석정로 26-1)|055-355-0589
알파문구|서초법원점|02-3487-5200|서울특별시 서초구 서초동1696-11 (서초대로53길 10)|02-3477-6863
알파문구|숙대점|02-704-5250|서울특별시 용산구 청파동2가60-19 (청파로47길 70)|070-4015-7698
알파문구|순천금당점|061-745-8577|전라남도 순천시 조례동1617-10 (조례못등길 53)|061-721-8571
알파문구|신마산점|055-222-5889|경상남도 창원시 마산합포구 해운동12-27 (가포로 6)|055-222-4889
알파문구|신사천점|055-853-7888|경상남도 사천시 향촌동917-4 (삼상로 110)|055-853-7889
알파문구|쌍문점|02-906-8882|서울특별시 도봉구 창동661-40번지 하나빌딩1층 (도봉로 498)|02-907-8882
알파문구|아산용화점|041-534-7710|충청남도 아산시 용화동1611 (용화고길 83-6)|041-548-7710
알파문구|오피강릉점|033-647-2280|강원도 강릉시 교동1875-4 (하슬라로 182 , 정관빌딩 1층)|033-645-2585
알파문구|오피대구수성점|053-795-6251|경북 경산시 대평길2길 41 (대평동, 배드민트장)(대평동68번지)|053-794-6251
알파문구|오피안산점|031-403-1225|경기도 안산시 상록구 본오동681 2층 (본오로 20)|031-403-3225
알파문구|오피화성점|031-224-2299|경기 화성시 능동 481-9오피스알파 화성점|031-224-7997
알파문구|울주언양점|052-254-9220|울산 울주군 언양읍 동문길 41 (동부리)1층|052-254-9221
알파문구|인덕원점|031-443-0040|경기도 안양시 동안구 관양동224-5 대륭테크노타운15차 125호 (시민대로 401)|031-443-0041
알파문구|창원대점|055-281-7373|경상남도 창원시 의창구 사림동52-12 (퇴촌로 21)|055-281-8373
알파문구|청도점|054-372-0071|경상북도 청도군 청도읍 고수리804-5 2층 (중앙로7)|054-372-0038
알파문구|강동역점|02-478-7758|서울특별시 강동구 길동445-1 강동역SK허브 B02 (천호대로 1107)|02-478-7759
알파문구|김포운양점|031-997-1858|경기도 김포시 운양동1297-14 운양프라자 103호 (김포한강11로 288-19)|031-997-1859
알파문구|대전테크노점|042-867-9044|대전광역시 유성구 용산동533-1 미건테크노월드 1013호 (테크노2로 187)|042-867-9045
알파문구|라페스타점|031-912-9777|경기도 고양시 일산동구 장항동734-1 노블리제 106호 (무궁화로 37)|031-912-9778
알파문구|부산광안리점|051-626-4869|부산광역시 수영구 남천동5-27 (광남로48번길 25)|051-626-4869
알파문구|부산평화점|051-625-3426|부산광역시 남구 용당동477 (유엔평화로 163)|051-626-1558
알파문구|부천테크노파크점|032-234-2266|경기도 부천시 오정구 삼정동  365 번지 부천테크노파크 300-108 (석천로345)|032-234-2267
알파문구|상일점|02-441-4935|서울특별시 강동구 상일동373-1 세종텔레콤 1층110-1호 (상일로10길 36)|02-441-4936
알파문구|세종중앙점|044-868-0447|세종특별자치시 나성동723번지 금강프라자 208|044-867-0447
알파문구|수원경기대점|031-8007-3172|경기 수원시 영통구 광교산로 154-42 (이의동, 경기대학교) 경기대학교 드림타워 1층|031-8007-3173
알파문구|신중동역점|070-4107-0730|경기도 부천시 원미구 중동1062-1 두리프라자 (신흥로230,101)|032-323-0730
알파문구|안산원곡점|031-487-7083|경기도 안산시 단원구 원곡동846-3 반월종합상가A동1층 (화랑로 107)|031-487-7084
알파문구|오피정부청사점|044-863-4555|세종특별자치시 어진동180 교육 과학기술부 (갈매로 408)|044-864-4556
알파문구|용인남사점|031-321-2848|경기도 용인시 처인구 남사면 원암리222-13 (천덕산로 452)|031-321-2846
알파문구|용인수지점|031-261-0375|경기도 용인시 수지구 풍덕천동1082-1 미래빌딩 102호 (수지로 296번길 51-2)|031-264-8360
알파문구|청주율량점|070-8867-4243|충청북도 청주시 상당구 율량동873-5(율봉로 205)|043-212-1613
알파문구|충북대점|043-267-3332|충청북도 청주시 흥덕구 사창동156-13 (1순환로 664)|043-269-1404
알파문구|테헤란로중앙점|02-552-0095|서울특별시 강남구 삼성동 157-23 화성빌딩 지층 (테헤란로81길 16)|02-552-0950
알파문구|포항효자점|054-277-6667|경상북도 포항시 남구 효자동 583-12 (효성로 77)|054-277-3584
알파문구|한성대점|02-997-3393|서울특별시 성북구 동소문동3가10번지 연진빌딩 B1층 (동소문로 34)|02-923-6789
알파문구|고양동점|031-962-9403|경기도 고양시 덕양구 고양동244 현대빌딩 105 (읍내로10)|031-962-9404
알파문구|광주방림점|062-652-4647|광주광역시 남구 방림동54-13 (용대로140)|062-651-4647
알파문구|광주송정점|062-945-2457|광주 광산구 상무대로 248 (송정동).|062-945-2458
알파문구|광주첨단중앙점|062-576-4959|광주광역시 북구 신용동103, 104, 201호(첨단연신로107번길 35)|062-576-4958
알파문구|광주풍암점|062-652-9917|광주광역시 서구 풍암동914-8 (풍금로11)|062-652-9918
알파문구|김포양곡점|031-998-2260|경기도 김포시 양촌읍 양곡리414-15 (양곡로 530)|031-998-3260
알파문구|대전신성점|042-862-1554|대전광역시 유성구 신성동214-4 1층 (신성로72번길 54)|042-862-7041
