##NAME|SUBNAME|TELNUM|NEWADDR|WEBSITE|XCOORD|YCOORD@@산후조리원
김란미즈||031-772-2136|경기 양평군 양평읍 시민로 12 (양근리)||127.4953928|37.4906926
김순선/산후조리원||064-757-5141|제주특별자치도 제주시 오남로 224 (오라2동)||126.5142279|33.4761111
김천제일병원/산후조리원||054-420-9700|경북 김천시 신음1길 12 (신음동, 김천제일병원)|http://gcjisan.drline.net|128.1201022|36.1363175
김혜정/달서점||053-656-8575|대구 달서구 구마로 217 (성당동)|http://kimsmom.co.kr|128.5457477|35.8371366
김혜정/수성점||053-656-0012|대구 수성구 명덕로 432 (수성동3가)|http://kimsmom.co.kr|128.620444|35.8545219
나래산후조리원||031-908-6020|경기 고양시 일산동구 중앙로 1072 (백석동)|http://naraesanhu.co.kr|126.7901254|37.6409396
나래산후조리원||063-241-3522|전북 전주시 덕진구 천마산로 55 (송천동2가)|http://cafe.naver.com/naraeobgy|127.1260024|35.8646048
나리산후조리원||031-986-6301|경기 김포시 중구로 11 (북변동)|http://nalee.net/nalee4/main.html|126.7108441|37.6227138
나무산후조리원||054-476-1120|경북 구미시 옥계북로 22 (옥계동, 타워밸리)||128.4243375|36.1384303
나무정원||031-859-1231|경기 양주시 평화로1489번길 19-11 (덕계동)|http://namujungwon.com|127.046548|37.8241564
남정우산후조리원||031-559-9900|경기 남양주시 늘을2로 20 (호평동, CH리베로빌딩)|http://woman1004.co.kr|127.2450517|37.6604995
노블맘산후조리원||031-386-1300|경기 안양시 동안구 평촌대로211번길 16 (호계동, 삼희월드프라자)|http://noblemom.kr|126.9545601|37.3897538
노블엘르/산후조리원||031-286-1016|경기 용인시 기흥구 구갈로 70 (구갈동, 메가타운)|http://nobleelle.com|127.1115675|37.2782967
노원/라테라||02-951-2300|서울 노원구 상계로7길 17 (상계동)|http://nwlaterra.com|127.0648595|37.6574949
노은/산후조리원||042-822-4566|대전 유성구 노은로 178 (지족동, 금강프라자)|http://noeunplus.com|127.3267353|36.3790869
누리산후조리원||02-3493-9955|서울 도봉구 도봉로180나길 34 (도봉동)|http://누리산후조리원.kr|127.0494029|37.6843273
뉴더퀸/산후조리원||02-420-5560|서울 송파구 석촌호수로 284 (송파동, 현대레이크빌)|http://newthequeen.com|127.0928516|37.508129
뉴마더맘||032-577-9990|인천 서구 길주로 79 (석남동)|http://newmothermom.co.kr|126.6709088|37.5066765
뉴본||051-291-7777|부산 사하구 낙동대로 234 (괴정동, 조일빌딩)|http://nborn.kr|129.0024288|35.1053675
뉴연세산후조리원||02-891-1540|서울 금천구 시흥대로71길 41 (시흥동, 뉴연세 산후조리원)|http://newyonsei.kr|126.8992674|37.4554606
늘푸른/산후조리원/관악||02-862-3588|서울 관악구 관악로 217 (봉천동, 동진빌딩)|http://sanmo114gs.co.kr|126.9579466|37.4915716
늘푸른/산후조리원/구로||02-861-3588|서울 구로구 구로중앙로 68 (구로동, 신안타워)|http://sanmo114.co.kr|126.8838584|37.4990653
늘푸른/산후조리원/동작||02-814-3588|서울 동작구 상도동 25-1|http://sanmo114dj.co.kr|126.9425638|37.5054825
다나산후조리원||043-284-3535|충북 청주시 청원구 충청대로 179 (주중동, 청주다나여성병원)|http://baby.danacj.com|127.4890319|36.6424341
다솜/산후조리원||031-798-7374|경기 광주시 광주대로55번길 5 (경안동)|http://dasom73.com/|127.2596969|37.4114741
다온누리/산후조리원||1566-1641|경기 용인시 기흥구 흥덕2로87번길 18 (영덕동, 이씨티)|http://daonuribaby.com |127.0718957|37.2754129
다온미래||041-549-3582|충남 아산시 배방읍 배방로 26 (공수리, 다온팰리스)|http://daonmirae.co.kr|127.0521518|36.7712725
다온산후조리원||1588-0761|경기 성남시 수정구 제일로 147 (수진동, 희정빌딩)|http://daonuri2.co.kr|127.1322854|37.43967
다정/산후조리원||032-471-3582|인천 남동구 호구포로 826 (구월동, 다정산부인과)|http://djcare.co.kr|126.7203875|37.4587383
닥터마레/산부인과/마레||02-898-3575|경기 광명시 소하로109번길 22 (소하동)|http://drmere.co.kr|126.8854894|37.4472973
닥터안/아세아||053-562-0100|대구 서구 서대구로 49 (내당동, 아세아병원)|http://aseahospital.co.kr|128.5568575|35.876362
대웅한방산후조리원||062-682-6000|광주 서구 운천로 12 (금호동)|http://dwmedi.com|126.859605|35.1336741
대자연||054-716-1001|경북 구미시 인동36길 10 (진평동, 영진빌딩)||128.4320105|36.0909543
더/리움/산후조리원||031-8016-1173|경기 성남시 분당구 판교역로192번길 14-2 (삼평동, 골드타워)|http://the-rium.com|127.1098561|37.3897865
더네이쳐/산후조리원||031-668-3579|경기 평택시 지산로 64 (지산동)||127.0620566|37.0796462
더드림산후조리원||02-2231-6375|서울 중구 신당동 291-48|http://thedreamcare.com|127.0161805|37.5628266
더보솜/산후조리원||032-665-7000|경기 부천시 소사구 성주로68번길 32 (송내동)|http://thebosom.net|126.763709|37.4786153
더블레스/산후조리원||02-949-2223|서울 노원구 노원로 240 (하계동, 백경빌딩)|http://thebless.kr/|127.0774857|37.6348338
더블유/산후조리원||062-616-9100|광주 광산구 임방울대로 331 (수완동)|http://whospital.co.kr|126.8230955|35.1895951
더블유(W)/산후조리원||031-261-8888|경기 용인시 기흥구 죽전로 2 (보정동, 현타워)|http://whsanwhoo.com|127.1195436|37.3201439
더와이즈/산후조리원||02-2600-5157|서울 강서구 화곡로 188 (화곡동, 황세영산부인과병원)|http://thewisehospital.com|126.8511761|37.554617
더원산후조리원||055-323-2701|경남 김해시 번화1로80번길 5 (대청동, 메카메디칼빌딩)|http://더원산후조리원.com|128.8005428|35.1948811
더팰리스/산후조리원||031-711-6169|경기 성남시 분당구 황새울로200번길 36 (수내동, 분당 동부루트빌딩)|http://hansmom.com/htm/index.php|127.113324|37.3773436
더하기/산후조리원||02-1644-3358|서울 강서구 화곡로 191 (화곡동, R.U휘트니스)|http://blog.naver.com/cwk9414|126.8511761|37.554617
더한방산후조리원||032-675-0011|경기 부천시 원미구 길주로 307 (중동, 로얄프라자)|http://mmmk.co.kr|126.7859443|37.504939
더홈/산후조리원||032-328-3630|경기 부천시 원미구 길주로 251 (중동, 동현빌딩)|http://thehome4mom.com|126.7859443|37.504939
데시미늄/비엠||031-717-8811|경기 성남시 분당구 구미로 191 (구미동, 아산웰빙프라자)|http://decibm.co.kr|127.1204332|37.3406045
데이케어/산후조리원||031-398-0721|경기 군포시 산본로 394 (산본동, 대림프라자)||126.9388145|37.3613089
도안누리||042-820-2850|대전 유성구 원신흥남로28번길 88 (원신흥동)|http://doannuri.com |127.3398706|36.3347471
동그라미/강서||02-2065-7301|서울 양천구 화곡로 64 (신월동)|http://ksdgrm.co.kr|126.8289527|37.5390049
동그라미/구리||031-567-0012|경기 구리시 수택동 424-14|http://kuridgrm.co.kr|127.1429742|37.5980837
동그라미/노원||02-933-0087|서울 노원구 동일로 1323 (상계동, 하라프라자센타)|http://nwdgrm.co.kr|127.0629311|37.6583031
동그라미/녹번||02-388-0900|서울 은평구 통일로 636 (녹번동) 3층|http://bdgrm.co.kr|126.9352994|37.6035543
동그라미/레피리움/목동||02-6491-1001|서울 양천구 오목로 325 (목동) 6층|http://repiriummd.com/|126.8712594|37.5256483
동그라미/레피리움/용산마포||02-6012-1010|서울 중구 중림로 31 (중림동, 이화빌딩) 1층|http://repiriumym.com|126.9663223|37.5584436
동그라미/레피리움/장안||02-6085-1110|서울 동대문구 한천로46길 42 (장안동, 예신프라자)|http://repiriumja.com|127.0706893|37.5814261
동그라미/레피리움/행당성수||02-6409-1003|서울 성동구 고산자로6길 40 (행당동, 레몬프라자) 6층|http://repiriumhd.com|127.0354448|37.5581317
동그라미/미아||02-988-0838|서울 강북구 삼양로 184 (미아동, 유유빌딩)|http://miadgrm.co.kr|127.0195479|37.6262513
동그라미/별내||031-838-1000|경기 남양주시 별내2로 74 (별내동) 제이에스타워 4층|http://bndgrm.co.kr|127.2165279|37.6360028
동그라미/송우포천||031-8080-1004|경기 포천시 소흘읍 솔모루로 55 (송우리)|http://dgrmsw.co.kr|127.1444577|37.8273341
동그라미/수원영통||031-273-6644|경기 화성시 영통로50번길 49 (반월동, 반달마을두산위브)|http://sydgrm.com|127.0653595|37.2345763
동그라미/월계||02-904-8034|서울 노원구 초안산로5길 12 (월계동, 월계프라자)|http://wkdgrm.co.kr|127.0506124|37.6324739
동그라미/은평||02-374-2882|서울 서대문구 응암로 133 (북가좌동)|http://edgrm.com|126.9080318|37.5765041
동그라미/프리미엄/강동명일||02-429-6777|서울 강동구 양재대로 1657-11 (명일동, 대은상가)|http://naturalrn.co.kr|127.1411034|37.5374092
동그라미/프리미엄/안양||031-471-6610|경기 안양시 만안구 예술공원로 153-32 (석수동, 패미리월드G7)|http://naturalpr.co.kr|126.9213657|37.4158997
동그라미/플러스/강동송파||02-485-2151|서울 강동구 천호대로 1099 (천호동, 정산타워빌딩)|http://kdonggrami.co.kr|127.1351779|37.5390124
동그라미/화정||031-819-1000|경기 고양시 덕양구 화중로 72 (화정동, 홀인원프라자빌딩)|http://naturalis.co.kr|126.8320376|37.6357436
동원산후조리원||031-921-1515|경기 고양시 일산동구 일산로 439 (정발산동, 동원산부인과)|http://dongwonobgy.com|126.7779931|37.6728487
동탄제일/산후조리원||031-8015-1115|경기 화성시 동탄중앙로 381-7 (석우동)|http://dongtanjeil.kr/|127.0717703|37.2027981
동탄제일/프리미엄||031-8015-7911|경기 화성시 삼성1로 138 (석우동)||127.0719188|37.2244573
두리하나/산후조리원||031-924-5800|경기 고양시 일산서구 중앙로 1559 (대화동, 씨티타워)|http://dupcc.co.kr|126.7465048|37.676687
드림맘/산후조리원||031-527-2900|경기 남양주시 진접읍 해밀예당1로 79-3 (금곡리)||127.1956072|37.7171961
디/엘린||031-263-8855|경기 용인시 수지구 성복2로 348 (성복동)|http://theelin.co.kr|127.0657805|37.3173486
디어레이나/산후조리원||031-8016-9979|경기 성남시 분당구 하오개로 367 (운중동)|http://dearreina.co.kr|127.0598683|37.3921795
라렌느산후조리원||02-414-3322|서울 송파구 석촌호수로 156 (삼전동, 삼전동썬프라자)|http://lareine.kr|127.0928516|37.508129
라마드레||02-555-7166|서울 강남구 선릉로 535 (역삼동) 5층|http://lamadre.co.kr|127.0492421|37.5024324
라벨락산후조리원||02-415-7752|서울 송파구 석촌호수로 296 (송파동, 레이크사이드타워)|http://labellelac.com|127.0928516|37.508129
라벨메르산후조리원||02-484-3710|서울 송파구 송파대로49길 3 (석촌동, 중기빌딩)|http://labellemere.co.kr|127.1002813|37.5064288
라벨베베산후조리원||02-412-8855|서울 송파구 오금로 152 (송파동, 연세빌딩)|http://labellebebe.com|127.1183748|37.5059065
라벨비||02-386-2822|서울 은평구 진흥로 148 (녹번동)|http://labellevie.co.kr|126.9252241|37.6053896
라보드마망||02-486-3300|서울 강동구 강동대로 143-64 (성내동, 태창타워)||127.1313538|37.5231922
라온/산후조리원||042-286-3575|대전 동구 동구청로 89-2 (가오동)|http://raonobgy.com|127.4582915|36.3037249
라움산후조리원/안산점||031-485-5544|경기 안산시 단원구 광덕1로 195 (고잔동, 광장타워)|http://raum3355.com|126.8281726|37.3074752
라크렘/산후조리원||031-706-9988|경기 성남시 분당구 새마을로 231 (율동, 율동갤러리)|http://ilacreme.co.kr|127.1511241|37.3883658
로얄사임당/강북점||02-495-7600|서울 중랑구 상봉동 74-46|http://i-saimdang.kr|127.0941165|37.5987063
로얄사임당/봉천점||02-889-0700|서울 관악구 양녕로 46 (봉천동, 메카플러스)|http://best-sanhoo.kr|126.9451687|37.4862105
로얄사임당/서울대점||02-873-1112|서울 관악구 남부순환로 1802 (봉천동, 관악캠퍼스타워)|http://sanhoo.kr|126.9426971|37.4837388
로얄사임당/은평점||02-352-3588|서울 은평구 진흥로13길 2 (대조동)|http://mamababy.co.kr|126.9182398|37.5916222
로얄사임당/인천서구점||032-566-3313|인천 서구 승학로 528 (검암동, 아카데미프라자)|http://royalsaimdang.kr|126.672389|37.5615291
로얄사임당/천왕점||02-2688-6200|서울 구로구 천왕로 106 (오류동, 골드프라자)|http://royalsaimdangcw.co.kr/|126.887369|37.4954031
로즈마리||053-210-7777|대구 북구 팔거천동로 215 (동천동)|http://rmh.co.kr|128.5577855|35.9432018
로즈맘||053-592-3575|대구 달성군 다사읍 달구벌대로 874 (죽곡리)|http://rosemom.net|128.4466289|35.8593802
로즈맘/산후조리원||055-251-5811|경남 창원시 의창구 팔용동 42-1|http://rose-mom.com|128.6197194|35.2516798
로즈메디||052-234-3575|울산 동구 방어진순환도로 747 (전하동)|http://rosemedi.com|129.4298806|35.5084316
루시나/산후조리원||02-922-4652|서울 성북구 보문로 180 (삼선동4가, 삼선동빌딩)|http://lucinamiz.com|127.0153897|37.5902251
루시아산후조리원||031-895-8100|경기 수원시 권선구 서부로1596번길 10 (고색동)|http://luciamom.com|126.9786162|37.2519981
류정선/산후조리원||053-325-2900|대구 북구 팔거천동로 223 (동천동, 수정빌딩)|http://rjscare.com|128.5554311|35.9337616
르베르쏘||02-2647-0100|서울 양천구 신정동 1023-12|http://leberceaumd.com|126.8595589|37.520154
르베르쏘/광진||02-457-6020|서울 광진구 구의동 223-65|http://leberceaugj.com|127.0897785|37.5402538
르베르쏘/울산||052-247-1600|울산 울주군 범서읍 장검길 3 (굴화리)|http://leberceauus.co.kr|129.2556049|35.5577381
르베르쏘/의정부||031-836-3001|경기 의정부시 외미로 95 (호원동) 7층|http://leberceau.co.kr|127.0459017|37.7244332
르보아/산후조리원/세종||044-716-1004|세종특별자치시 한누리대로 165 (나성동, 세종메디피아)|http://sj-lebois.kr|127.262252|36.479927
르보아/산후조리원/울산||052-256-1052|울산 남구 대공원로 241 (신정동, 대공원코오롱파크폴리스)|http://lebois.kr|129.2977785|35.5323779
르보아/산후조리원/천안||041-567-1052|충남 천안시 서북구 두정로 208 (두정동)|http://ca-lebois.com|127.1400267|36.8333451
리더스/미래퀸||02-3667-3579|서울 영등포구 선유로 59 (문래동6가, 문래 아카데미)|http://leadersq.co.kr|126.8888398|37.5187334
리베라맘/창원||055-262-9922|경남 창원시 성산구 상남동 78-4|http://rivieramom.com|128.6805781|35.2231966
리안(전/세이레)||02-482-8899|서울 강동구 올림픽로 564 (성내동)|http://blog.naver.com/youngchance|127.1275525|37.5486728
리앤아이||032-270-7777|인천 남동구 논고개로 71 (논현동, 가산타워)|http://lyandbaby.com|126.7289159|37.4050226
리엔나/산후조리원||02-535-3853|서울 서초구 고무래로 22 (반포동, 쌍동빌딩 서관)|http://lienna.co.kr|127.0134123|37.5031812
리즈앤마리안||041-523-6110|충남 천안시 서북구 두정로 202 (두정동, 리즈앤마리안클리닉센터)|http://lizmarian.com|127.1408261|36.8332521
린산후조리원||02-2243-5353|서울 동대문구 답십리로 266 (장안동, 파워스빌딩)|http://lincare.co.kr|127.0548231|37.5753938
린아미에산후조리원||02-2246-2001|서울 동대문구 장한로 119 (장안동, 장안삼성쉐르빌)|http://linamie.co.kr|127.0700931|37.5712476
릴리브||031-851-9222|경기 의정부시 오목로205번길 22 (민락동)|http://liliv.kr|127.0910199|37.7364184
마더웰산후조리원||02-971-0080|서울 노원구 동일로 1055 (공릉동, 산후조리원)|http://motherwell.kr|127.0725136|37.6282795
마드레산후조리원||1599-3270|서울 동대문구 전농로 102 (답십리동, 목련빌딩)|http://ma-dre.com|127.0544333|37.5730358
마리나/산후조리원||031-636-0552|경기 이천시 경충대로 2564 (중리동, 마리나산부인과)|http://marinaobgy.co.kr |127.4482368|37.2750438
마리노블||02-541-5673|서울 강남구 학동로101길 15 (청담동, 청구 빌딩)|http://marieclinic.co.kr|127.0573145|37.5217138
마리본||031-551-2700|경기 구리시 건원대로 39-1 (인창동, 마리본산부인과)|http://marieborn.com|127.1393964|37.6084486
마리아||032-571-5667|인천 서구 가정로 358 (가정동, 마리아산부인과)|http://incheonmary.com|126.672376|37.5064219
마미/산후조리원||032-341-3567|경기 부천시 소사구 경인로 511 (괴안동, 역곡noon빌딩)|http://mamibabys.modoo.at/|126.7811931|37.483736
마미맘산후조리원||02-897-8100|경기 광명시 소하로 88 (소하동)|http://mmmam.co.kr|126.8865769|37.4481963
마미안여성병원/산후조리원||053-813-1100|경북 경산시 경안로 217 (중방동, 마미안여성병원)|http://mamian.com|128.734837|35.8291168
마미캠프/남구본점||051-623-1241|부산 남구 수영로 294 (대연동, 동일스위트)|http://mammycamp.co.kr|129.0864465|35.1360604
마미캠프/정관||051-728-3530|부산 기장군 정관읍 정관로 613 (매학리)|http://mammycamp.com|129.2221542|35.2445494
마미캠프/진주||055-752-3080|경남 진주시 진주대로 518 (가좌동, Y ZONE 빌딩)|http://mammycamp.co.kr|128.10851|35.1612891
마미캠프/해운대||051-702-7597|부산 해운대구 좌동로 88 (좌동, 울트라타워) 13층|http://http://www.mammycamp.co.kr/mamiweb/index.html|129.1778542|35.1729459
마이비||032-424-7007|인천 남동구 논고개로123번길 17 (논현동, 아이플렉스)|http://myb-ob.co.kr|126.7223175|37.4018952
맘스/산후조리원||02-711-6838|서울 마포구 토정로 235 (신수동, 토형빌딩)|http://맘스산후조리원.com|126.9373077|37.5430367
맘스드림||055-331-1800|경남 김해시 경원로55번길 12 (내동)|http://mams-dream.co.kr|128.8665696|35.2385566
맘스맘/산후조리원||064-745-0974|제주특별자치도 제주시 월랑로8길 1 (노형동, 아란야플라자)||126.4779614|33.4896242
맘스산후조리원||052-290-6000|울산 중구 남외2길 36 (남외동)|http://mamscare.com|129.3508347|35.5668285
맘스퀘어산후조리원||02-2611-7322|서울 구로구 경인로 240 (오류동, 예성라온팰리스)|http://msq.kr/|126.8475675|37.4974302
맘스터치||02-2212-2582|서울 성동구 용답동 2-3|http://momtouch.co.kr|127.0551248|37.5643413
맘스파크/산후조리원||031-734-0005|경기 성남시 중원구 자혜로17번길 16 (은행동, 현대아파트)|http://momspark.co.kr|127.162899|37.4524966
맘스프레||031-399-6522|경기 군포시 산본로 398 (산본동, 태주빌딩)||126.9388145|37.3613089
맘앤캐슬/당진||041-357-3853|충남 당진시 시청1로 72 (읍내동)|http://맘앤캐슬당진.com.|126.6396178|36.8911734
맘앤휴||053-958-1500|대구 북구 동북로 156 (산격동)|http://momnhyu.com|128.6074701|35.902072
맘존산후조리원||054-749-7878|경북 경주시 원화로 315 (성동동)|http://mom-zone.kr|129.2168583|35.8488804
메디썸||043-238-2545|충북 청주시 서원구 서부로 1350 (성화동)|http://medisum.co.kr|127.4890319|36.6424341
메디우먼||051-731-4800|부산 해운대구 해운대로 602 (우동, 메디우먼산부인과)|http://mediwomanaftercare.com|129.137859|35.1710838
메디피아/산후조리원||031-595-8400|경기 남양주시 경춘로 1511 (호평동, 메디피아클리닉)|http://mymedipia.com|127.2182144|37.6373116
메르앙/서래||02-592-0227|서울 서초구 동광로49길 7 (반포동, 양지빌딩)|http://meren.co.kr|127.001579|37.4950935
메종드마망||02-3401-1004|서울 송파구 위례성대로 206 (오금동)|http://maisondemaman.co.kr|127.1333581|37.5089944
명가/산후조리원||032-831-5007|인천 연수구 비류대로 202 (옥련동, 영진프라자)|http://childbirth.ewebstory.com|126.6711319|37.4265353
모란산후조리원||055-282-1600|경남 창원시 성산구 상남동 27-2|http://moranhosp.co.kr|128.6807202|35.2206178
모아드림산후조리원||02-937-7777|서울 노원구 상계로5길 9 (상계동, 호영빌딩)|http://cafe.naver.com/nwmoadream|127.0633016|37.6571162
모아산후조리원||062-670-7773|광주 남구 백양로 13 (백운동, 모아산부인과)|http://moalady.co.kr|126.9112699|35.1351775
모아산후조리원||031-674-7759|경기 안성시 중앙로 368 (석정동, 모아빌딩)||127.2614673|37.0096757
모자연||055-276-9200|경남 창원시 의창구 도계동 333-16|http://mojayeon.co.kr|128.6344837|35.2575715
