##NAME|SUBNAME|TELNUM|NEWADDR|FEAT|OT@@커피빈
커피빈|부산광복동점|051-243-9105|부산광역시 중구 창선동 2가 8-2|WIFI;흡연가능|월-금 10:00~21:00;토-일 10:00~21:00
커피빈|수서역원방빌딩점|02-3473-3830|서울 강남구 광평로 51길 6-23 원방테크사옥 1층|WIFI|월-금 07:00~21:00 ; 토,일 08:00~21:00
커피빈|선릉KSA한국표준협회점|02-3141-7948|서울시 강남구 테헤란로69길 5 DT센터점 1층|주차가능;WIFI|월-금 07:00~21:00 ; 주말08:00~21:00
커피빈|삼성루첸타워점|02-994-8879|서울 강남구 대치동 943-2 루첸타워 1층 로비|주차가능;WIFI|월-금 07:00~20:00 ; 주말,공휴일 휴점
커피빈|선정릉역점|02-2058-3028|서울시 강남구 봉은사로 331 SH빌딩점 B1-1층|주차가능;WIFI|월-금 07:00~21:00 ; 주말,공휴일 09:00~21:00 
커피빈|선릉역3번출구세방빌딩점|02-2051-9328|서울특별시 강남구 선릉로 433 세방빌딩 1층|주차가능;WIFI|월-금 07:00~21:00 ; 주말,공휴일 09:00-21:00
커피빈|논현201-5번지점|02-541-9563|서울특별시 강남구  강남대로112길 20 1층, 2층|WIFI|월-금 07:00~21:00 ; 토/일/공휴일 12:00~20:00
커피빈|한티역디마크빌딩점|02-2052-6590|서울특별시 강남구 도곡로 408 디마크빌딩 1층|주차가능;WIFI|평일 08:00~21:00;주말/공휴일 08:00~21:00
커피빈|도곡동지오빌딩점|02-2058-3027|서울특별시 강남구 도곡동 543-1, 지오빌딩 B1층|주차가능;WIFI|월-금 07:00~21:00 ; 토,일 08:00~21:00
커피빈|강남역12번출구점|02-569-5838|서울특별시 강남구 테헤란로 111 2층|WIFI;흡연가능|월-금 07:00~21:00 ; 토 08:00~21:00 ; 일,공휴일 08:00~21:00
커피빈|역삼동태광타워점|02-569-9867|서울시 강남구 역삼동 718-20  태광타워 1층|WIFI|월-금 07:00~21:00 ; 토요일 09:00~21:00 ; 일/공휴일 09:00~21:00
커피빈|신논현역점|02-569-9061|서울특별시 강남구 봉은사로108 글라스톤빌딩1층|주차가능;WIFI|월-금 07:00~21:00 ; 토요일 08:00~21:00 ; 일/공휴일 09:00~21:00
커피빈|포스코옆삼성로86길점|02-569-7501|서울특별시 강남구 삼성로86길 11 거봉빌딩 1층|주차가능;WIFI|평일 07:00~21:00 ; 주말/공휴일 10:00~18:00
커피빈|삼성역글라스타워뒷점|02-552-3363|서울시 강남구 영동대로85길 9 (대치동) 서전빌딩1층|주차가능;WIFI|평일 07:00~21:00;주말,공휴일 09:00~21:00
커피빈|신천역점|02-417-8851|서울시 송파구 올림픽로100 효창타워1층|주차가능;WIFI|월-금 07:00~21:00; 토 08:00~21:00 ; 일 08:00~21:00
커피빈|CBTL(커피빈)파르나스몰점|02-538-2008 |서울시 강남구 테헤란로521 파르나스몰 지하1층|주차가능;WIFI|평일 07:00~21:00 ; 주말/공휴일 08:00~21:00 
커피빈|차병원사거리점|02-542-8813|서울시 강남구 봉은사로207 KJ타워1층|주차가능;WIFI|월-금 07:00~21:00 ; 토/일/공휴일 08:00~21:00
커피빈|도심공항점|02-551-6456 |서울시 강남구 테헤란로87길22 도심공항터미널 지하1층|주차가능;WIFI|평일 08:00~21:00;주말,공휴일 09:00~21:00
커피빈|강남대로센터점|02-565-3345|서울시 강남구 강남대로442 흥국화재빌딩 2층 |WIFI|월-금 07:00~21:00;토/일/공휴일 08:00~21:00
커피빈|역삼역4번출구점|02-508-1137|서울시 강남구 테헤란로143 고운빌딩1층|WIFI;흡연가능|월-금 07:00~21:00 ; 토요일 09:00~18:00 ; 일/공휴일 09:00~18:00
커피빈|압구정현대아파트점|02-518-3350|서울시 강남구 압구정로29길65 지하1층|주차가능;WIFI|월-금 08:00~21:00;토/일/공휴일 08:00~21:00
커피빈|뉴가로수길점|02-544-7105|서울시 강남구 가로수길 83|WIFI;흡연가능|월-금 07:00~21:00 ; 토요일 0800~21:00 ; 일/공휴일 08:00~21:00
커피빈|삼성금융플라자점|02-554-7591|서울 강남구 테헤란로 419 삼성금융플라자1층|주차가능;WIFI|월-금 07:00~21:00  ; 주말, 공휴일 10:00~18:00
커피빈|선릉로86길점|02-2051-8875|서울시 강남구 선릉로86길 11|주차가능;WIFI|월-금 8:00~21:00 ; 주말,공휴일 9:00-21:00
커피빈|삼성로점|02-552-9311 |서울시 강남구 삼성로 551 1층,2층|주차가능;WIFI;흡연가능|평일 07:00 - 21:00 ; 토,일,공휴일 08:30 - 21:00 
커피빈|강남역먹자골목점|02-552-6311|서울시 강남구 테헤란로1길 29 1층일부 및 2.3층|WIFI;흡연가능|월-목 07:30~21:00 ; 금요일 07:30~21:00 ; 토요일 08:00~21:00 ; 일/공휴일 08:00~21:00
커피빈|선릉로93길점|02-552-3177|서울시 강남구 선릉로93길 6(역삼동) 1층|주차가능;WIFI;흡연가능|월-금 07:00~21:00 ; 주말.공휴일 09:00~21:00
커피빈|포스코사거리점|02-508-7522 |서울시 강남구 테헤란로 439|주차가능;WIFI|월-금 07:00~21:00 ; 주말/공휴일 10:00~18:00 
커피빈|뉴압구정점|02-545-3181|서울시 강남구 논현로 167길 9 낙산프라자 1층|주차가능;WIFI;흡연가능|월-금 07:00~21:00;토,일/공휴일 08:00~21:00
커피빈|코엑스인터점|02-569-3103|서울시 강남구 봉은사로 524 코엑스 인터컨티넨탈아케이드|WIFI|평일 07:00~20:30;주말/공휴일 07:00~20:30
커피빈|테헤란로비젼타워점|02-558-7101|서울시 강남구 테헤란로 312 707-2번지1층|주차가능;WIFI|월-금 07:00~21:00 ; 주말,공휴일 11:00~19:00
커피빈|국기원사거리점|02-552-7106 |서울시 강남구 테헤란로 8길 42 1층|주차가능;WIFI;흡연가능|월-금 07:30~18:00 ; 토/공휴일 11:00~19:00
커피빈|청담카페점|02-514-5622|서울시 강남구 도산대로 67길 7,파크빌딩 1층|주차가능;WIFI|월-금 07:00~21:00｜주말 08:00~21:00
커피빈|도심공항타워점|02-2016-5330|서울시 강남구 테헤란로87길 36 공항타워 1층|주차가능;WIFI;흡연가능|평일 07:00~21:00 ; 주말, 공휴일 08:00~21:00
커피빈|강남역랭기지타워점|02-563-3655|서울시 강남구 테헤란로4길 28 826-28호 1층|주차가능;WIFI;흡연가능|월~금 07:00-21:00 ; 토,일 08:00~21:00
커피빈|매봉역점|02-529-9947|서울시 강남구 논현로 38길 42 418호|주차가능;WIFI;흡연가능|평일 07:00~21:00 ; 주말,공휴일 08:00~21:00 
커피빈|삼성봉은사로점|02-538-4523|서울시 강남구 봉은사로 628 엘슨빌딩1층|주차가능;WIFI;흡연가능|평일 07:00~21:00 ; 주말,공휴일 08:00~21:00
커피빈|테헤란로하이닉스뒷점|02-538-9927|서울시 강남구 테헤란로 70길 12 1층|주차가능;WIFI;흡연가능|평일 07:00~21:00 ; 주말,공휴일 08:00~21:00
커피빈|역삼포스틸타워뒷점|02-554-9962|서울시 강남구 테헤란로 20길 10 쓰리엠타워1층|WIFI;흡연가능|평일 07:00~21:00 ; 토요일 09:00~21:00 /일,공휴일 09:00~21:00
커피빈|논현동수면센터점|02-3443-5575|서울시 강남구 논현로 717 1층|주차가능;WIFI|월-금 07:30~20:00 ; 토  08:30~20:00 ; 일,공휴일 10:00~17:00
커피빈|삼성봉은사거리점|02-3443-5618|서울시 강남구 영동대로 607 1,2층|주차가능;WIFI;흡연가능|평일 07:00-21:00 ; 주말/공휴일 09:00-21:00
커피빈|트레이드타워점|02-6002-6470|서울시 강남구 영동대로 511 트레이드타워 지하1층|주차가능;WIFI|평일 07:00~21:00  ; 주말/공휴일 11:00~19:00
커피빈|삼성오크우드점|02-3466-8507|서울 강남구 영동대로 513 컨벤션별관A동 지하 2층|주차가능;WIFI|평일 08:00~21:00 ; 주말/공휴일 10:00~20:00
커피빈|논현팍스타워점|02-513-3870|서울시 강남구 논현 231-13호 팍스타워지하1층|주차가능;WIFI| 월-금 07:00-21:00 ; 토,일 10:00-18:00
커피빈|압구정로데오점|02-3445-5093|서울시 강남구 선릉로 157길 12 석전빌딩 1~4층|주차가능;WIFI;흡연가능|월-금 08:30~21:00 ; 주말/공휴일 09:00~21:00
커피빈|압구정시티점|02-543-5922|서울시 강남구 도산대로49길 13 1층 17,18호|주차가능;WIFI;흡연가능|월-금 08:00~21:00 ; 토/일/공휴일 08:30~21:00
커피빈|공항터미널앞점|02-539-5174|서울시 강남구 테헤란로 87길 17 1층|주차가능;WIFI|월-금 07:30~21:00 ; 주말/공휴일 08:00~21:00
커피빈|영동고앞점|02-544-3794|서울시 강남구 선릉로 749 1,2층|주차가능;WIFI|월-금 07:00~21:00 ; 토/ 일/공휴일 08:00~21:00
커피빈|도곡점|02-572-2781|서울시 강남구 언주로 30길 10,112 현대비젼21 112호|주차가능;WIFI|평일 07:00~21:00 ; 주말/공휴일 07:00~21:00
커피빈|청담성당점|02-542-2053|서울시 강남구 삼성로 716 LEE76빌딩2층|주차가능;WIFI|월-금 07:30~21:00 ; 주말,공휴일 08:00~21:00
커피빈|역삼점|02-569-8051|서울시 강남구 논현로 512  지상1,2층|WIFI;흡연가능|월-금 07:00-21:00 ; 토요일 09:00~21:00;일.공휴일 09:00-21:00
커피빈|압구정역점|02-544-6823|서울시 강남구 논현로 842 압구정빌딩1층|주차가능;WIFI|월-금 07:30~21:00 ;토/일/공휴일 08:00~21:00
커피빈|신사점|02-548-2741|서울시 강남구 도산대로 126|WIFI;흡연가능|평일 07:00~21:00;토/일/공휴일 09:00~21:00
커피빈|청담에스점|02-548-6052|서울시 강남구 압구정로 461 네이처포엠빌딩B108,109호|주차가능;WIFI|평일 07:30~21:00;주말,공휴일 08:00~21:00 
커피빈|차병원점|02-538-7615|서울시 강남구 논현로 566 강남차병원1층|주차가능;WIFI|평일 07:00~18:00 ; 토요일 07:00~15:00 ; 일.공휴일 휴무
커피빈|학동역 DT점|02-3444-9973|서울시 강남구 학동로 211 1층|드라이브스루;WIFI;흡연가능|평일 07:00~21:00;주말/공휴일 08:00~21:00
커피빈|강동경희대병원앞점|02-481-9938|서울특별시 강동구 동남로 885 양지빌딩 1층|주차가능;WIFI;흡연가능|평일 07:00-21:00;주말,공휴일 08:00-21:00
커피빈|천호역점|02-488-5912|서울시 강동구 올림픽로 659 쌍용플래티넘리버 1층|주차가능;WIFI| 매일 08:00~21:00
커피빈|올림픽공원북2문앞점|02-471-2372|서울시 강동구 강동대로193 1층|WIFI;흡연가능|월-금 07:00~21:00 ; 주말,공휴일 08:00~21:00
커피빈|현대자동차성내점|02-485-3361 |서울시 강동구 천호대로 1096 1,2F|WIFI;흡연가능|평일 07:00~21:00 ; 주말,공휴일 08:00~21:00
커피빈|강북구청앞점|02-994-8878|서울특별시 강북구 한천로 139길 25, 1층 일부 및 2층 (수유동 191-70)|WIFI| ; 월~목 08:00~21:00  ; 금,토  08:00~21:00  ; 일,공휴일 08:00~21:00 ;  
커피빈|화곡역점|02-766-7952|서울시 강서구 강서로 162|주차가능;WIFI;흡연가능|사회적 거리두기 월 ~금 07:00~21:00 토/일 08:00~21:00 
커피빈|마곡마커스빌딩점 |02-6905-3030|서울특별시 강서구 마곡동로 55 마커스빌딩 1층|주차가능;WIFI|평일 07:00~21:00  주말 09:00~21:00
커피빈|양천향교역점|02-3665-9506|서울특별시 강서구 강서로 457(마곡동)|주차가능;WIFI|매일 08:00 - 21:00
커피빈|강서그랜드아이파크점|02-2699-7462|서울시 강서구 화곡6동 1095번지 1층|WIFI|월 ~금 07:00~21:00 토/일 08:00~21:00 
커피빈|낙성대역점|02-875-3364|서울시 관악구 남부순환로1909 1,2층|WIFI;흡연가능| ; 평일 07:00~21:00 ; 주말, 공휴일 09:00~21:00 ; 
커피빈|서울대입구역점|02-882-3101|서울시 관악구 관악로 161 층일부 2,3층|WIFI;흡연가능| I 평일 07:00~21:00 I 주말,공휴일 08:00~21:00 I 
커피빈|구의삼성쉐르빌점|02-2201-8953|서울특별시 광진구 구의강변로 106 삼성쉐르빌 1층|주차가능;WIFI| ; 평일 08:00~21:00  ; 주말,공휴일 08:00~21:00 ; 
커피빈|광장동대한제지점|02-458-8166|서울시 광진구 아차산로563(광장동) 대한제지빌딩 로비층|주차가능;WIFI| ; 평일 07:00~21:00  ; 주말,공휴일 07:30~21:00 ; 
커피빈|건대스타시티점|02-444-9861|서울시 광진구 자양동 227-342호 롯데백화점 옆 더클래식500건물 1층|주차가능;WIFI| ; 평일 07:00~21:00  ; 주말,공휴일 08:00~21:00 ; 
커피빈|강변테크노마트점|02-3424-5480|서울시 광진구 광나루로56길 85 테크노마트9층35호|주차가능;WIFI| ; 매일 10:00~21:00 ;
커피빈|구로G-ValleyMall|02-6344-3966|서울시 구로구 디지털로300 지밸리비즈플라자 2층|주차가능;WIFI|월-금 07:00~21:00 ; 주말/공휴일 11:00~19:00 I 
커피빈|디큐브시티점|02-2210-9484|서울시 구로구 경인로 662 디큐브시티 4층|주차가능;WIFI| I 월-일 11:00~21:00 I
커피빈|마리오아울렛점|02-857-5501  |서울시 금천구 디지털로9길 23 마리오-2관 패션타워3층|주차가능;WIFI|매일: 10:30~21:00 
커피빈|시흥홈플러스점|02-803-9994|서울시 금천구 시흥대로 201 1층|주차가능;WIFI|매일 10:00~21:00 l 2,4째주 일요일 휴무( 홈플러스 휴무일)
커피빈|KB국민은행노원역점|02-930-9486|서울시 노원구 동일로 1405, 1층 일부|WIFI| ; 평일 07:00~21:00  ; 주말,공휴일 09:00~21:00 ; 
커피빈|노원역점|02-952-9577|서울시 노원구 노해로 490, 길빌딩 2층|주차가능;WIFI;흡연가능| ; 평일 07:00~21:00  ; 주말,공휴일 08:00~21:00 ; 
커피빈|중계동은행사거리점|02-931-3055|서울시 노원구 한글비석로 263 1층|WIFI;흡연가능| ; 평일 07:00~21:00  ; 주말,공휴일 08:00~21:00 ; 
커피빈|송도푸르지오월드마크점|032-851-6269|인천시 연수구 컨벤시아대로 60, 1층|주차가능;WIFI|월-금 07:00~21:00 ; 주말/공휴일 08:00~21:00 
커피빈|영종도운서역점|032-746-9822|인천시 중구 신도시남로 142번길 6 (메가스타 영종 139,140,141호)|주차가능;WIFI|매일 08:00 ~ 21:00
커피빈|인천공항 제2여객터미널 입구점|032-743-2894|인천광역시 중구 운서동 2868 인천공항 제2터미널 1층 연번(23-124)|주차가능;WIFI|매일 06:00~21:00
커피빈|송도트리플스트리트점|032-310-9644| 인천 연수구 송도과학로 16번길 33-4 D동 119호,207호|주차가능;WIFI|매일 10:00~21:00 
커피빈|송도홈플러스점|032-822-5905|인천광역시 연수구 송도국제대로 165(송도동) 홈플러스송도점1층|주차가능;WIFI|매일 10:00~21:00 / 2,4번째 일요일 11:00~21:00 
커피빈|인천공항탑승동105gate앞점|032-743-7223|인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-68|WIFI|매일 06:30~20:00
커피빈|인천공항탑승동130gate앞점|032-743-7213 |인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-57|WIFI|매일 08:00~16:30
커피빈|부평문화의거리점|032-507-9901|인천광역시 부평구 시장로29 1,2층|WIFI|월-금 09:00~21:00 ; 토,일 10:00~21:00
커피빈|인천구월동점|032-421-3418|인천광역시 남동구 예술로 138 지상1,2층|주차가능;WIFI;흡연가능|매일 08:00 ~ 21:00 
커피빈|제주아라점|064-758-1194|제주도 제주시 연북로 511|주차가능;WIFI|평일, 주말 07:30~21:00
커피빈|천안신부동점|041-566-0718|충남 천안시 동남구 만남로 48|WIFI|평일, 주말 08:30~21:00 
커피빈|청주지웰시티점|043-238-3151|충북 청주시 흥덕구 대농로 17 지웰시티몰 1층 124-1,125,126호|주차가능;WIFI;흡연가능|평일/주말 08:00~21:00
