##NAME|SUBNAME|TELNUM|ADDR|FEAT@@드롭탑
카페드롭탑|광주/첨단2지구점|062-571-7848|광주 북구 신용동 748|운영중;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|선산휴게소/(상행)||경북 구미시 옥성면 대원리 1-1|운영중;주차가능
카페드롭탑|파주/야당점|031-941-1458|경기 파주시 야당동 1060|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|여수예술랜드/본관점||전남 여수시 돌산읍 평사리 산 245|운영중;주차가능;무선인터넷가능
카페드롭탑|포항흥해점|054-262-6764|경북 포항시 북구 흥해읍 성곡리 972-7|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장;리조트
카페드롭탑|세종/아름점|044-868-2211|세종특별자치시  아름동다올비즈니스센터 카페드롭탑|운영중;주차가능;무선인터넷가능
카페드롭탑|하나로마트/고양점||경기 고양시 일산서구 대화동 2324|운영중;무선인터넷가능;지하철근접
카페드롭탑|롯데마트/영통점||경기 수원시 영통구 영통동    960-1|운영중;무선인터넷가능;지하철근접;극장
카페드롭탑|부산명지국제신도시점||부산 강서구 명지동 3331-14 1층|운영중;무선인터넷가능
카페드롭탑|전남대후문점|062-251-0707|광주 북구 용봉동 160-22 2, 3층|운영중;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|부산동아대점||부산 사하구 하단동 492-40|운영중;무선인터넷가능
카페드롭탑|고양원흥점|031-966-2202|경기 고양시 덕양구 도내동 1001 카페드롭탑 고양원흥점|운영중;주차가능;무선인터넷가능
카페드롭탑|아산충무병원점|041-532-3100|충남 아산시 모종동 644 주차타워 1층 카페드롭탑 아산충무병원점|운영중;주차가능;무선인터넷가능
카페드롭탑|홈플러스/대구내당점||대구 서구 내당동 65-6 1층 카페드롭탑|운영중;주차가능;무선인터넷가능
카페드롭탑|대구이월드점||대구 달서구 두류동 산302-11|운영중;지하철근접
카페드롭탑|순천KTX역사점|061-744-3908|전남 순천시 덕암동 188-100 순천역 1F|운영중;무선인터넷가능;지하철 역내
카페드롭탑|옥계휴게소점||강원 강릉시 옥계면 주수리 88-5|운영중;주차가능;무선인터넷가능;흡연시설 보유
카페드롭탑|LG사이언스파크점|070-5213-7267|서울 강서구 마곡동 770-1 엘지사이언스파크|운영중
카페드롭탑|익산역점||전북 익산시 창인동2가 1 익산역 광장 1층|운영중;무선인터넷가능
카페드롭탑|부산/서면점|051-819-2777|부산 부산진구 부전동 515-11번지|운영중;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|논공휴게소/(하)||대구 달성군 논공읍 삼리리 471-23|운영중;주차가능;무선인터넷가능
카페드롭탑|논공휴게소/(상)||대구 달성군 논공읍 삼리리 539-2|운영중;주차가능;무선인터넷가능
카페드롭탑|제주삼성점|064-725-2600|제주 제주시 이도1동 1289-18|운영중;무선인터넷가능
카페드롭탑|시흥하늘휴게소||경기 시흥시 조남동 산 15-1(판교방향) 카페드롭탑|운영중;주차가능;무선인터넷가능
카페드롭탑|김천율곡스퀘어점|054-431-7266|경북 김천시 남면 옥산리 100 율곡스퀘어Ⅲ 158호 카페드롭탑|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|대전만인산점/(특수)|042-285-6232|대전 동구 하소동 458-1|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|신탄진휴게소/(상)|042-934-2442|대전 대덕구 상서동 235-1|운영중;주차가능
카페드롭탑|이천휴게소/(하)||경기 이천시 마장면 목리 142|운영중;주차가능;무선인터넷가능
카페드롭탑|대구시지신매점|053-795-3330|대구 수성구 신매동 10-12|운영중;무선인터넷가능;지하철근접
카페드롭탑|전남강진점|061-434-3775|전남 강진군 강진읍 서성리 121|운영중;무선인터넷가능
카페드롭탑|전북고창점|063-563-3412|전북 고창군 고창읍 읍내리 1016-2|운영중;주차가능;무선인터넷가능
카페드롭탑|시흥배곧점|031-431-9222|경기 시흥시 정왕동 2473 한울프라자|운영중;무선인터넷가능;놀이시설 보유;싱글오리진 판매매장
카페드롭탑|마장휴게소/(하)||경기 이천시 마장면 목리 산 13-32 1층 카페드롭탑|운영중;주차가능;무선인터넷가능
카페드롭탑|용인단국대점||경기 용인시 수지구 죽전동 1491 단국대학교 퇴계기념도서관 2층 카페드롭탑|운영중;무선인터넷가능;대학가
카페드롭탑|대전둔산점|042-488-4800|대전 서구 둔산동 999 1층 카페드롭탑|운영중;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|이천휴게소/(상)||경기 이천시 신둔면 용면리 산 83-1 이천휴게소(하남방향)|운영중;주차가능;무선인터넷가능
카페드롭탑|낙동강/의성휴게소/(하)||경북 의성군 단밀면 낙정리 산 2-3 카페드롭탑|운영중;주차가능;무선인터넷가능
카페드롭탑|부산프리미엄아울렛점|051-940-1191|부산 기장군 장안읍 좌천리 545|운영중;주차가능
카페드롭탑|경주블루원워터파크점|1899-1888|경북 경주시 천군동 산 30-4 블루원리조트 워터파크|운영중
카페드롭탑|여주휴게소/(상)||경기 여주군 가남면 본두리 677-2 여주휴게소|운영중;주차가능;무선인터넷가능;흡연시설 보유
카페드롭탑|목포옥암점|061-285-0519|전남 목포시 옥암동 1238|운영중;주차가능;무선인터넷가능
카페드롭탑|세종시청점|044-866-6067|세종특별자치시  보람동엔젤타워 세종특별자치시 보람동 700-71 엔젤타워 110호|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|나주빛가람점|061-333-1353|-   전라남도 나주시 빛가람동 194-2|운영중;주차가능;무선인터넷가능
카페드롭탑|일산대화점||경기 고양시 일산서구 대화동 137-1|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|전주아중점||전북 전주시 덕진구 우아동2가 915-7|운영중;무선인터넷가능;흡연시설 보유
카페드롭탑|인천세종병원점||인천 계양구 작전동 Mediplex 세종병원 2층|운영중;지하철근접;싱글오리진 판매매장
카페드롭탑|대전카이스트점|042-350-0890|대전 유성구 구성동 한국과학기술원 교육지원동(W8동) 1층|운영중;주차가능;싱글오리진 판매매장;대학가
카페드롭탑|광양LF아울렛점|061-761-9511|전남 광양시 광양읍 덕례리 707 광양LF스퀘어|운영중;무선인터넷가능;극장
카페드롭탑|선산휴게소점(하행)|054-481-1002|경북 구미시 옥성면 대원리  86-6|운영중;주차가능;무선인터넷가능
카페드롭탑|전남보성점|061-852-5003|전남 보성군 보성읍 보성리 831-20|운영중;주차가능;무선인터넷가능
카페드롭탑|충주휴게소점/(상행)|043-857-9229|충북 충주시 가금면 충주휴게소|운영중;주차가능;무선인터넷가능;흡연시설 보유
카페드롭탑|전북대점|063-271-7799|전북 전주시 덕진구 금암동 1312-29번지 2층, 3층|운영중;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장;대학가
카페드롭탑|제주협재해안점|064-796-0779|제주 제주시 한림읍 협재리 1398-2번지|운영중;주차가능;무선인터넷가능
카페드롭탑|경주황룡원점|054-760-0501|경북 경주시 신평동 150-8 1층 / 엑스포로 40 1층|운영중;주차가능;무선인터넷가능;극장
카페드롭탑|LF스퀘어/인천/연수점|032-717-0607|인천 연수구 청학동 455 (청능대로23번길 11) LF스퀘어 3층|운영중;주차가능;무선인터넷가능
카페드롭탑|정남진/장흥2호점|061-862-8277|전남 장흥군 장흥읍 건산리 721-27 카페 드롭탑|운영중;무선인터넷가능;흡연시설 보유
카페드롭탑|횡성휴게소/(상행)|033-342-4200|강원 횡성군 안흥면 소사리 1511|운영중;주차가능
카페드롭탑|목포석현점|061-271-0000|전남 목포시 석현동 1170-26 1층|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|신경주역사점|054-748-7664|경북 경주시 건천읍 화천리  1010 신경주역 1층|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|위더스영등포점|02-2088-1114|서울 영등포구 영등포동6가 7번지 웨딩그룹 위더스영등포 1층|운영중;주차가능;무선인터넷가능
카페드롭탑|신동탄/수변공원점|031-378-4880|경기 화성시 동탄면 영천리 651-1606 1층 카페 드롭탑|운영중;주차가능;무선인터넷가능
카페드롭탑|문경휴게소점(하행)|054-554-1655|경북 문경시 유곡동 460|운영중;주차가능
카페드롭탑|문막휴게소점|033-731-8481|강원 원주시 문막읍 동화리 114|운영중;주차가능
카페드롭탑|제주용담해안도로점|064-711-7667|제주 제주시 용담3동 1145-2|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|광주학동점|062-233-2266|광주 동구 학동 664-5|운영중;주차가능;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|벌곡휴게소점|041-732-7694|충남 논산시 벌곡면 양산리 벌곡휴게소 상행점|운영중;주차가능
카페드롭탑|여수소호점|061-691-9279|전남 여수시 소호동 443-3|운영중;주차가능;비즈니스룸 보유;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|강원양구점|033-482-5677|강원 양구군 양구읍 상리 272-3|운영중;무선인터넷가능
카페드롭탑|광주수완아동병원점|062-961-7100|광주 광산구 신가동 1159 1층 카페드롭탑|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|용인휴게소/하행점||경기 용인시 처인구 고림동 11|운영중;주차가능
카페드롭탑|용인휴게소/상행점||경기 용인시 처인구 고림동 89|운영중;주차가능
카페드롭탑|인천부개점|032-504-1110|인천 부평구 부개동 70-1 1층|운영중;주차가능;무선인터넷가능;24시간 오픈;싱글오리진 판매매장
카페드롭탑|고창웰파크병원점|063-562-3718|전북 고창군 고창읍 석정리 712-1|운영중;무선인터넷가능
카페드롭탑|김천모다아울렛점|054-910-5299|경북 김천시 아포읍 송천리 산 31-1 3층 카페드롭탑|운영중;주차가능;무선인터넷가능
카페드롭탑|광주송정점|062-942-7860|광주 광산구 송정동 891-13|운영중;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|광주/첨단쌍암공원점|062-673-0230|광주 광산구 쌍암동 664-1|운영중;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|경희의료원/치과병원점|02-959-5550|서울 동대문구 회기동 36-8 경희의료원 치과병원 로비|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|부산국제여객터미널점|051-442-2282|부산 동구 초량동 45-39번지 부산항 국제여객터미널 2층|운영중;무선인터넷가능
카페드롭탑|용인수지구청점|031-263-5588|경기 용인시 수지구 풍덕천2동 1082-6 1층|운영중;주차가능;무선인터넷가능
카페드롭탑|파주운정가람점|031-947-8879|경기 파주시 와동동 1598 1층|운영중;무선인터넷가능
카페드롭탑|동해휴게소/하행점||강원 동해시 망상동 산 5-1|운영중;주차가능;무선인터넷가능
카페드롭탑|부산정관점|051-721-0055|부산 기장군 정관면 매학리 714-10|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|동부산관광단지점|051- 723-1070|부산 기장군 기장읍 시랑리 475-2|운영중;주차가능;비즈니스룸 보유;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|세정아울렛점|070-4006-7750|광주 서구 치평동 1310-24|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|정안휴게소/하행점|041-858-0521|충남 공주시 정안면 전평리 5-5|운영중;주차가능;무선인터넷가능
카페드롭탑|나주혁신그린로점|061-333-3656|전남 나주시 산포면 빛가람동 288-2|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|아산탕정지중해점|041-547-2030|충남 아산시 탕정면 명암리 911-1|운영중;주차가능;무선인터넷가능
카페드롭탑|일산백마점|031-906-9078|경기 고양시 일산동구 마두동 738-1|운영중;주차가능;무선인터넷가능
카페드롭탑|속초엑스포점|033-633-9969|강원 속초시 조양동 1547-1|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|대전월평점|042-527-5270|대전 서구 월평동 29-1|운영중;주차가능;비즈니스룸 보유;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|삼척해변점|033-574-8889|강원 삼척시 갈천동 14번지|운영중;주차가능;무선인터넷가능
카페드롭탑|부산/BIFC점|051-633-5700|부산 남구 문현동 1229-2 BIFC mall 119호|운영중;무선인터넷가능
카페드롭탑|호남대점|-|광주 광산구 서봉동 59-1 복지관 1층|운영중;주차가능;비즈니스룸 보유;무선인터넷가능;싱글오리진 판매매장;대학가
카페드롭탑|양주휴게소점|031-871-6516|경기 양주시 장흥면 삼하리 345-3 양주휴게소 내|운영중;주차가능;무선인터넷가능
카페드롭탑|여수CGV웅천점|061-686-7850|전남 여수시 웅천동 1720-3|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장;극장
카페드롭탑|김천혁신도시점|054-434-0402|경북 김천시 율곡동 402|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|순천신대지구점|061-723-2205|전남 순천시 해룡면 신대리 1998|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|목포용해점|061-273-7426|전남 목포시 연산동 1930-6|운영중;주차가능;비즈니스룸 보유;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|안성휴게소/하행점|031-655-0531|경기 안성시 원곡면 반제리 산 142-4|운영중;주차가능
카페드롭탑|광주롯데시네마/충장점|062-223-9200|광주 동구 황금동 12-2|운영중;주차가능;무선인터넷가능;흡연시설 보유;지하철근접;싱글오리진 판매매장;극장
카페드롭탑|광주치평점|062-371-4748|광주 서구 치평동 1258-5|운영중;무선인터넷가능;지하철근접
카페드롭탑|광주경신여고사거리점|062-511-1023|광주 북구 운암동 400-1|운영중;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|목포연산점|061-273-3800|전남 목포시 연산동 327-3번지 101호|운영중;주차가능;무선인터넷가능;흡연시설 보유
카페드롭탑|목포평화광장점|061-282-5670|전남 목포시 상동 1159-8|운영중;주차가능;무선인터넷가능;24시간 오픈;싱글오리진 판매매장
카페드롭탑|전남해남점|061-536-2906|전남 해남군 해남읍 해리 407-4번지|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|안산선부SK점|031-402-5230|경기 안산시 단원구 선부동 1076-16 1층, 2층|운영중;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|방이사거리점|02-412-2526|서울 송파구 방이동 108-12|운영중;주차가능;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|전주공항터미널점|063-255-0063|전북 전주시 덕진구 금암동 459-6번지 1,2층|운영중;무선인터넷가능
카페드롭탑|시화조력발전소점||경기 안산시 단원구 대부동동 2098 3층|운영중;주차가능;무선인터넷가능;흡연시설 보유
카페드롭탑|거제중곡점|055-636-8232|경남 거제시 고현동 1008-1|운영중;무선인터넷가능;흡연시설 보유
카페드롭탑|전남함평점|061-323-6234|전남 함평군 함평읍 내교리 199-4|운영중;주차가능;무선인터넷가능
카페드롭탑|전남무안점|070-7793-0050|전남 무안군 무안읍 성남리 84-2|운영중;주차가능;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|여수죽림점|061-684-2266|전남 여수시 소라면 죽림리 1186-6|운영중;주차가능;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|대천휴게소/하행점|041-931-6901|충남 보령시 주교면 주교리 933-5 대천휴게소 목포방향|운영중;주차가능;무선인터넷가능
카페드롭탑|대천휴게소/상행점|041-931-6801|충남 보령시 주교면 주교리 904 대천휴게소 서울방향|운영중;주차가능;무선인터넷가능
카페드롭탑|거제수월점|055-636-0338|경남 거제시 수월동 1092-4|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|전주평화점|063-222-0657|전북 전주시 완산구 평화동1가 725-5|운영중;무선인터넷가능;24시간 오픈;싱글오리진 판매매장
카페드롭탑|부산/송도해수욕장점|051-253-2125|부산 서구 암남동 59-5번지|운영중;주차가능;무선인터넷가능;흡연시설 보유
카페드롭탑|세종도담점|044-868-8693|세종특별자치시  도담동 산 56|운영중;주차가능;무선인터넷가능
카페드롭탑|광주효천2지구점|062-671-5665|광주 남구 행암동 575번지|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|경주분황사점|054-746-7774|경북 경주시 구황동 868-1|운영중;주차가능;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|광양중마점|061-794-8800|전남 광양시 중동 1316-5|운영중;주차가능;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|인천주안점|032-862-8884|인천 남구 주안동 210-1|운영중;싱글오리진 판매매장
카페드롭탑|남양주별내점|031-573-0999|경기 남양주시 별내동 1008-2|운영중;주차가능;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|천안신부점|041-555-0814|충남 천안시 동남구 신부동 451-1번지 캐럿21상가 1층|운영중;주차가능;무선인터넷가능;흡연시설 보유
카페드롭탑|대전가수원점|070-8814-4465|대전 서구 가수원동 1023번지|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|화성능동점|031-613-9665|경기 화성시 능동 1088|운영중;주차가능;무선인터넷가능;흡연시설 보유
카페드롭탑|대구앞산점|053-625-9700|대구 남구 대명동 515-6|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|익산모현점|063-853-3322|전북 익산시 모현동1가 871번지|운영중;주차가능;무선인터넷가능
카페드롭탑|인천삼산점|032-507-7477|인천 부평구 삼산동 463-2|운영중;주차가능;무선인터넷가능;지하철근접;싱글오리진 판매매장
카페드롭탑|광주금호점|062-371-7776|광주 서구 금호동 250-10|운영중;주차가능;무선인터넷가능;흡연시설 보유
카페드롭탑|광주양산점|062-572-6900|광주 북구 양산동 236|운영중;주차가능;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|대구가톨릭병원점|053-623-1232|대구 남구 대명동 3048-24|운영중;무선인터넷가능;싱글오리진 판매매장;대학가
카페드롭탑|광주하남2지구점|062-951-9789|광주 광산구 하남동 785|운영중;주차가능;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|광주시청점|062-384-2012|광주 서구 치평동 1203번지 1층|운영중;주차가능;비즈니스룸 보유;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|대전을지병원점|042-488-7077|대전 서구 둔산동 1336번지|운영중;주차가능;무선인터넷가능;지하철근접;싱글오리진 판매매장
카페드롭탑|대전오류점|042-537-8879|대전 중구 오류동 171-8번지|운영중;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|광주두암점|062-261-1124|광주 북구 두암동 821-8번지|운영중;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|전주신시가지점|070-8808-2131|전북 전주시 완산구 효자동3가 1693-5 103호|운영중;주차가능;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|강남아이파크점|02-533-7801|서울 서초구 서초동 1309-2번지|운영중;무선인터넷가능;흡연시설 보유;지하철근접;싱글오리진 판매매장
카페드롭탑|광주화정동점|062-366-1515|광주 서구 화정동 23-37|운영중;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|송파가락점|02-3012-0702|서울 송파구 가락동 94-5 보우빌딩 1층|운영중;주차가능;무선인터넷가능;흡연시설 보유;지하철근접;싱글오리진 판매매장
카페드롭탑|대전대흥동점|042-222-1767|대전 중구 대흥동 197번지 1,2층|운영중;무선인터넷가능;지하철근접;싱글오리진 판매매장
카페드롭탑|원주법원점|033-746-5588|강원 원주시 무실동 1857-6 정한타워 1층|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|정남진장흥점|061-862-8100|전남 장흥군 장흥읍 예양리 121-24번지|운영중;주차가능;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|대구동서변점|053-952-1008|대구 북구 서변동 1783-3|운영중;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|익산부송점|063-832-3030|전북 익산시 부송동 1080-1|운영중;무선인터넷가능;흡연시설 보유
카페드롭탑|광주염주점|062-383-2837|광주 서구 화정동 807-6|운영중;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|청주용암점|043-294-6600|충북 청주시 상당구 용암동 1665번지|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|부산당리점|051-202-3370|부산 사하구 당리동 70-2|운영중;주차가능;무선인터넷가능;지하철근접
카페드롭탑|부천중동점|032-327-2131|경기 부천시 원미구 중동 1131-2|운영중;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|구미원평점|054-453-3644|경북 구미시 원평동 377-1|운영중;비즈니스룸 보유;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|여수무선점|061-682-8700|전남 여수시 선원동 1278-11|운영중;주차가능;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|공주법원점|041-854-7221|충남 공주시 금흥동 611-5 1층|운영중;싱글오리진 판매매장
카페드롭탑|부평로데오점|032-362-1131|인천 부평구 부평동 153-42 1층|운영중;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|평택터미널점|031-655-5993|경기 평택시 평택동 185-245 1층|운영중;주차가능;무선인터넷가능;지하철근접
카페드롭탑|목포하당점|061-283-7505|전남 목포시 상동 1003|운영중;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|김해장유점|055-336-2222|경남 김해시 장유면 대청리 71-7|운영중;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|영광법성포점|061-356-8085|전남 영광군 법성면 법성리 1222-10|운영중;주차가능;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|전남순천역점|061-744-2181|전남 순천시 조곡동 160-1|운영중;무선인터넷가능;흡연시설 보유
카페드롭탑|울산테라스파크점|052-209-0822|울산 동구 일산동 945 테라스파크|운영중;주차가능;무선인터넷가능;24시간 오픈;흡연시설 보유;싱글오리진 판매매장;대학가
카페드롭탑|부산부전동점|051-819-5779|부산 부산진구 부전동 266-22|운영중;주차가능;무선인터넷가능;흡연시설 보유;지하철근접
카페드롭탑|고창/고인돌/휴게소/상행점|063-561-6323|전북 고창군 고창읍 신월리 263-18|운영중;주차가능;흡연시설 보유
카페드롭탑|고창/고인돌/휴게소/하행점|063-561-6313|전북 고창군 신림면 벽송리 557-10|운영중;주차가능;무선인터넷가능;흡연시설 보유
카페드롭탑|제주/서귀포갤러리왈점|064-763-5080|제주 서귀포시 동홍동 281-2|운영중;주차가능;무선인터넷가능;리조트
카페드롭탑|대전관저점|042-545-1380|대전 서구 관저동 1105 1층|운영중;주차가능;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|남포점|051-231-2077|부산 중구 창선동2가 45-7번지 2층|운영중;무선인터넷가능;흡연시설 보유;지하철근접;싱글오리진 판매매장
카페드롭탑|여수여서점|061-654-8383|전남 여수시 여서동 228-1|운영중;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|구미인동점|054-474-8322|경북 구미시 구평동 551-2|운영중;주차가능;무선인터넷가능;흡연시설 보유
카페드롭탑|김포풍무점|031-989-8756|경기 김포시 풍무동 532-3 프라임빌프라자|운영중;주차가능;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|덕천우창웰스점|051-334-3900|부산 북구 덕천동 370|운영중;주차가능;무선인터넷가능;지하철근접;싱글오리진 판매매장
카페드롭탑|대전반석점|042-822-1380|대전 유성구 반석동 654-6|운영중;주차가능;무선인터넷가능;흡연시설 보유;지하철근접;싱글오리진 판매매장
카페드롭탑|대전관평동점|042-935-1010|대전 유성구 관평동 1340 근린생활시설|운영중;주차가능;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|경주노동점|054-749-9095|경북 경주시 황오동 225-21|운영중;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|광주상무점|062-381-7877|광주 서구 치평동 1217-7|운영중;주차가능;무선인터넷가능;24시간 오픈;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|구미역점|054-458-1200|경북 구미시 원평동 2동 1008-1번지 3층|운영중;무선인터넷가능;지하철 역내
카페드롭탑|일산웨돔점|031-903-8288|경기 고양시 일산동구 장항동 864 메트로골드빌딩 101|운영중;주차가능;무선인터넷가능;흡연시설 보유
카페드롭탑|홍대점|02-338-7879|서울 마포구 서교동 403-17 동지빌딩|운영중;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장;대학가
카페드롭탑|광주수완점|062-955-8664|광주 광산구 장덕동 1662|운영중;주차가능;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|풍암호수점|062-655-6556|광주 서구 풍암동 1018-2|운영중;주차가능;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|구미점|054-455-1300|경북 구미시 남통동 192 1층|운영중;주차가능;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|부천코스모폴리탄점|032-322-0992|경기 부천시 원미구 중동 1141 코스모폴리탄 제1층 108,109|운영중;주차가능;무선인터넷가능;24시간 오픈;흡연시설 보유;싱글오리진 판매매장
카페드롭탑|서여의도점|02-3775-3230|서울 영등포구 여의도동 14-2번지|운영중;주차가능;무선인터넷가능;24시간 오픈;흡연시설 보유
카페드롭탑|인천계양점|032-545-1701|인천 계양구 계산동 1080-8 성림 프라자 1층 3호|운영중;무선인터넷가능;24시간 오픈;흡연시설 보유;싱글오리진 판매매장
