##NAME|SUBNAME|TELNUM|NEWADDR|ADDR|OT|PARKING@@투썸플레이스
투썸플레이스|태백중앙로점|033-552-8833|강원도 태백시 번영로 357 (황지동) 2층|강원 태백시 황지동 30-11 2층|08:00~23:00|주차불가
투썸플레이스|왜관DT점|054-971-5005|경상북도 칠곡군 왜관읍 관문로 173 (왜관리) 투썸플레이스 왜관DT점|경북 칠곡군 왜관읍 왜관리 426-15|08:00~23:00|주차가능
투썸플레이스|진해여좌점|055-542-0050|경상남도 창원시 진해구 충장로 147 (여좌동,헤븐하임) 경남 창원시 진해구 충장로 147 헤|경남 창원시 진해구 여좌동 797-1|월-토 09:00~23:00 / 일 09:00~21:30|주차가능
투썸플레이스|부천중동역점|032-614-0045|경기도 부천시 부일로 322 (중동) 2층|경기 부천시 중동 808 2층|08:00~24:00|주차불가
투썸플레이스|화곡역점|02-6925-7111|서울특별시 강서구 강서로 163 (화곡동) 1,2층|서울 강서구 화곡동 1075-3 콤마빌딩 1,2층|07:00~24:00|주차불가
투썸플레이스|청주CJB센터점|043-296-2000|충청북도 청주시 서원구 1순환로 840 (산남동) 1층|충북 청주시 서원구 산남동 20-1 1층|10:00~22:00|주차가능
투썸플레이스|여수죽림점|061-685-0707|전라남도 여수시 죽림중앙로 7-39|전남 여수시 소라면 1180-1|09:00~22:00|주차불가
투썸플레이스|송도랜드마크시티점|032-833-8064|인천광역시 연수구 랜드마크로 68, 301동(송도동,랜드마크시티더샵)|인천 연수구 송도동 311-1 1층|07:00~24:00|주차불가
투썸플레이스|서초센트럴아이파크점|02-588-8584|서울특별시 서초구 서초동 1582-3|서울 서초구 서초동 1582-3|평일 07:00~23:00 / 주말 08:00~23:00|주차가능
투썸플레이스|경남합천점|055-931-3600|경상남도 합천군 합천읍 충효로 13-1 (합천리) 1층|경남 합천군 합천읍 합천리 869-12|09:00~22:00|주차가능
투썸플레이스|창원아티움시티점|055-237-0478|경상남도 창원시 의창구 창원대로397번길 11 (팔용동) 1층|경남 창원시 의창구 팔용동 35-1|08:00~23:00|주차가능
투썸플레이스|천안청수행정타운점|041-522-1696|충청남도 천안시 동남구 청수13로 14 (청당동) 1층|충청남도 천안시 동남구 청당동 801|평일 08:30~24:00, 주말 08:30~23:30|
투썸플레이스|일산장항점|031-816-0770|경기도 고양시 일산동구 무궁화로 43-15 (장항동,한강세이프빌) 108호,109호|경기 고양시 일산동구 장항동 733 1층(한강세이프빌)|월-목,일08:30~22:30 / 금,토 08:30~23:30|건물주차장 2시간 무료
투썸플레이스|당진CGV점|041-352-8408|충청남도 당진시 북문로1길 35-16 (읍내동) 1층|충남 당진시 읍내동 1517|일-목 10:00~24:00 / 금-토 10:00~03:00|주차불가
투썸플레이스|신대방삼거리점|02-6959-8888|서울특별시 동작구 국사봉1길 32|서울 동작구 상도동 322-19 1층|08:00~24:00|주차가능
투썸플레이스|대전은행점|042-221-2055|대전광역시 중구 대종로488번길 54 (은행동) 2층 투썸플레이스|대전 중구 은행동 65-1|10시~ 23시|인근 공용 주차장 및 유료 주차장 이용
투썸플레이스|일산마두점|031-904-2388|경기도 고양시 일산동구 중앙로 1181 (장항동,교보생명 일산사옥) 1층,2층|경기 고양시 일산동구 장항동 893 1~2층|07:00~23:00|가능 (영수증 지참 시 1시간 무료주차)
투썸플레이스|고양향동점|02-3159-3344|경기도 고양시 덕양구 향기로 14 (향동동) 정성프라자 1층|경기 고양시 덕양구 향동동 594|월-금 08:30-22:30 / 토,일,공휴일 08:30-23:30|주차가능
투썸플레이스|마곡역점|02-2663-2228|서울 강서구 마곡동 798-9|서울 강서구 마곡동 798-9|07:30~22:30|건물 주차 가능
투썸플레이스|울산삼산중로점|052-227-2339|울산광역시 남구 삼산중로 29 (달동) 1층|울산 남구 달동 1284-2|10:00~24:00|주차가능
투썸플레이스|제주신화빌라스점|064-792-6440|제주특별자치도 서귀포시 안덕면 신화역사로304번길 139 (서광리) 1층|제주 서귀포시 안덕면 서광리 2518 제주신화빌라스 한국스퀘어 1층|09:00~18:00|주차가능
투썸플레이스|시화MTV점|031-319-8259|경기도 시흥시 시화벤처로 222 (정왕동,경남기전(주)) 1층|경기 시흥시 정왕동 2655-3 1층|07:00~21:00|주차가능
투썸플레이스|롯데마트영통역점|031-205-2387|경기도 수원시 영통구 봉영로 1579 (영통동,롯데마트영통점) 1층|경기 수원시 영통구 영통동 960-1 1층|08:00~23:00|주차가능
투썸플레이스|사당역로데오점|02-582-7791|서울특별시 서초구 방배천로2길 3 (방배동) 1층|서울 서초구 방배동 450-25 1층|월-목,일 07:00~25:00 / 금,토 07:00~26:00|주차가능
투썸플레이스|관양현대점|031-689-3923|경기도 안양시 동안구 관평로327번길 11 (관양동,현대상가) 1층|경기 안양시 동안구 관양동 1397-7 1층|10:00~22:00|주차가능
투썸플레이스|부산하단레이어스호텔점|051-999-1740|부산광역시 사하구 낙동남로 1395 (하단동) 1층|부산 사하구 하단동 525-23 1층|24시간|주차불가
투썸플레이스|성수낙낙점|02-6959-8800|서울특별시 성동구 아차산로17길 49 1층|서울 성동구 성수동2가 280-6 1층|평일 07:00~22:00 / 주말 09:00~20:00|주차불가
투썸플레이스|부산광안역점|051-755-3330|부산광역시 수영구 수영로582번길 10 (광안동,광안역 성원상떼빌) 1층 투썸플레이스 부산광안역점|부산 수영구 광안동 143-1 109호~114호|08:00~23:00|주차불가
투썸플레이스|거제고현점|055-637-2353|경상남도 거제시 거제중앙로29길 6 (고현동) 1층 투썸플레이스 거제고현점|경남 거제시 고현동 971-9|월-일 09:00~23:00|주차불가
투썸플레이스|성남고등점|031-755-1142|경기도 성남시 수정구 고등로 2길9|경기 성남시 수정구 고등동 573-1 1층|일-목 09:00~22:00 / 금, 토 09:00~23:00|주차불가
투썸플레이스|왜관매원리점|054-972-2225|경상북도 칠곡군 왜관읍 봉계로 190 (매원리) 1층|경북 칠곡군 왜관읍 128-2|10:00~22:00|주차가능
투썸플레이스|동탄호수공원점|031-375-7229|경기도 화성시 동탄순환대로5길 5-24 (송동) 1층 투썸플레이스 동탄호수공원점|경기 화성시 송동 133-6|평일 09:00~21:00 / 주말 10:00~22:00|주차가능
투썸플레이스|성남을지대점|031-731-8757|경기도 성남시 수정구 산성대로 533 (양지동) 1층|경기 성남시 수정구 양지동 229 1~2층|08:00~23:00|주차불가
투썸플레이스|수원아이파크시티점|031-235-7300|경기도 수원시 권선구 동수원로177번길 90 (권선동,수원아이파크시티9단지) 1층|경기도 수원시 권선구 권선동 1362|08:00 ~ 23:00|주차가능
투썸플레이스|목동하이페리온점|02-2652-2388|서울특별시 양천구 오목로 300 (목동,현대하이페리온2) 1,2층|서울 양천구 목동 961 목동하이페리온 2차 205동|평일 07:00~24:00 / 주말 08:00~24:00|하이페리온 지하주차장 이용 (90분 무료주차)
투썸플레이스|명동L7점|02-6310-1096|서울특별시 중구 퇴계로 137 (충무로2가) L7호텔 1층|서울 중구 충무로2가 62-12 L7호텔 1층|평일 07:00~23:00 / 주말 08:00~22:00|주차불가
투썸플레이스|상암MBC점|02-302-2388|서울특별시 마포구 성암로 267 (상암동,(주)문화방송) 113호|서울 마포구 상암동 1603 1층|평일 07:00~23:00 / 주말 08:00~22:00|15,000원 이상구매 시 2시간 무료
투썸플레이스|울산태화강역점|052-267-2321|울산 남구 삼산동 1638-1|울산 남구 삼산동 1638-2|09:30~23:00|주차가능
투썸플레이스|충북옥천점|043-731-8885|충청북도 옥천군 옥천읍 중앙로 159 (문정리,자동차정비소) 1층|충북 옥천군 옥천읍 234-3|08:00~23:00|주차가능
투썸플레이스|세종아름점|044-862-5546|세종특별자치시 아름동 1167|세종 아름동 1167|09:00~22:00|주차가능
투썸플레이스|원흥역점|031-968-5472|경기도 고양시 덕양구 권율대로 668 (원흥동) 티오피클래식오피스텔 1층|경기 고양시 덕양구 원흥동 628 TOP클래식 1층|09:30~22:30|주차가능
투썸플레이스|압구정역점|02-512-2388|서울특별시 강남구 압구정로 158 (신사동,진우빌딩) 1층|서울 강남구 신사동 579-1|08:00~23:00|주차불가
투썸플레이스|대구월배역포스코점|053-633-3355|대구광역시 달서구 상원로 113 (상인동) 1층|대구 달서구 상인동 155-2 1층|09:00~23:00|주차가능
투썸플레이스|대구시지점|053-794-6622|대구광역시 수성구 달구벌대로645길 11 (신매동,신매동SNL메디타워) 108,109,202호|대구 수성구 신매동 273 (신매동SNL메디타워) 108,109,202호|월-금 08:00~24;00 / 토 09:00~24:00 / 일 09:00~23:00|주차가능
투썸플레이스|구로디지털단지역점|02-868-5588|서울특별시 관악구 시흥대로 554 (신림동) 1층|서울 관악구 신림동 1655-21, 1층|00:00~24:00|주차불가
투썸플레이스|남양주마석역점|031-559-9399|경기도 남양주시 화도읍 마석중앙로 120, 102호|경기 남양주시 화도읍 92-4|07:30~23:00|가능 (발렛무료)
투썸플레이스|당진시청점|041-357-9400|충청남도 당진시 남부로 260-24 (수청동) 1층|충남 당진시 수청동 1070 1~2층|월-토 08:30~22:30 / 일 09:30~22:30|주차가능
투썸플레이스|위례역점|031-756-3737|경기도 성남시 수정구 위례서일로 6 (창곡동) 1층|경기 성남시 수정구 창곡동 559-1 우대빌딩 1층|09:00~22:00|주차가능
투썸플레이스|청주가경파크점|043-238-8116|충청북도 청주시 흥덕구 서현로 90(가경동)|충북 청주시 흥덕구 가경동 2225 1층|08:00~24:00|주차가능
투썸플레이스|마산산호점|055-245-4382|경상남도 창원시 마산합포구 삼호로 53 (산호동,명성빌딩) 1층|경남 창원시 마산합포구 산호동 6-13|월~토,공휴일 08:30~23:00 / 일요일 09:00~23:00|종합운동장 평일 1시간 무료가능
투썸플레이스|투섬대구월촌역점|053-652-4500|대구광역시 달서구 월배로 324 (송현동) 1층 투썸플레이스 대구월촌역점|대구 달서구 송현동 1944번지|일-목 : 09:00~24:00 / 금,토:09:00~01:00|2시간 무료주차 가능
투썸플레이스|광명밤일점|070-4177-4459|경기도 광명시 하안동 883-11|경기 광명시 하안동 883-11|09:00~23:00|주차가능
투썸플레이스|인천효성점|032-556-1000|인천광역시 계양구 새벌로 112, 1층 108호 (효성동, 마스터즈)|인천 계양구 효성동 198-1 현대프라자 1층 108호|월-금 8:00~22:00 / 토,일 09:00~21:00|주차불가
투썸플레이스|올림픽평화의문점|02-423-6787|서울특별시 송파구 올림픽로 424 (방이동,올림픽공원) 평화의광장 B1|서울 송파구 방이동 88 평화의광장 B1동|평일 07:00~23:00 / 주말 08:00~23:00|주차가능
투썸플레이스|마포대흥점|02-707-2529|서울특별시 마포구 대흥로 183 (대흥동,신촌그랑자이상가) 1층|서울 마포구 대흥동 12-69 신촌그랑자이 상가 1층|08:00~23:00|건물 주자장 무료주차 가능
투썸플레이스|김포장기점|070-7543-6697|경기 김포시 김포한강1로 77-4 1층|경기 김포시 장기동 1863 1층 103호|08:00~24:00|건물 주차 가능
투썸플레이스|용인보정점|031-897-1210|경기도 용인시 기흥구 죽전로 53 (보정동,야후빌딩) 1~2F 투썸플레이스 용인보정점|경기 용인시 기흥구 보정동 1208-3|평일/주말 :  09시 00분 ~ 23:00|주변 공용주차장 이용
투썸플레이스|수원송죽점|031-244-3371|경기도 수원시 장안구 송원로 25 (송죽동,송죽노래방) 1,2층 투썸플레이스 수원송죽점|경기 수원시 장안구 송죽동 379-16|09:30 ~ 23:00|주차불가
투썸플레이스|동백중앙점|031-285-8533|경기도 용인시 기흥구 동백5로 21-11 (중동,동백 훼미리프라자 1) 2층|경기 용인시 기흥구 중동 832-1 (동백 훼미리프라자 1) 2층|월-목,일 8:30~23:00 / 금,토 8:30~24:00|주차가능
투썸플레이스|용마산역점|02-491-0701|서울특별시 중랑구 면목로 247 (면목동,gs25시) 1~2층|서울 중랑구 면목동 372-20 (gs25시) 1~2층|08:00~23:00|주차불가
투썸플레이스|춘천소양강댐점|033-251-2323|강원도 춘천시 신북읍 신샘밭로 750 (천전리) 1-2층|강원 춘천시 신북읍 47-4|10:00~22:00|가능 (만차시 건너편 공영주자창 이용)
투썸플레이스|안산한대앞역점|031-409-3377|경기도 안산시 상록구 광덕1로 382 (이동,덕성프라자) 경기도 안산시 상록구 이동 716-1|경기 안산시 상록구 이동 716-11 덕성프라자 1층|일-목 09:00~24:00/ 금 09:00~24:40/ 토 09:00~01:00|주차불가
투썸플레이스|동양미래대점|02-2615-7557|서울특별시 구로구 경인로47길 34-1 (고척동) 1층|서울 구로구 고척동 52-217 1층|월-금 10:00~23:30 /토,일 10:30~23:30|주차불가
투썸플레이스|수원호매실점|031-297-8900|경기도 수원시 권선구 금곡로102번길 45 (금곡동) 1층,2층|경기 수원시 권선구 금곡동 1086-2|09:00~24:00|주차가능
투썸플레이스|충남대점|042-822-2238|대전광역시 유성구 대학로 87 (궁동) 투썸플레이스|대전 유성구 궁동 479-8 1층|월-토 08:00~24:00 / 일(공휴일) 09:00~24:00|주차장이 협소하여 인근 유료 주차장 이용.
투썸플레이스|속초서희더베이점|033-800-8090|강원도 속초시 동해대로 3958 (조양동) 1층~2층|강원 속초시 조양동 1459 1~2층|09:00~22:00|주차가능
투썸플레이스|디지털미디어시티역점|02-304-2388|서울특별시 마포구 성암로 189 (상암동,중소기업 DMC 타워) 1층|서울 마포구 상암동 1622 중소기업 DMC 타워 1층|월-금 07:00~23:00 / 토-일 08:00~22:00|주차가능
투썸플레이스|제주쇠소깍점|064-732-0756|제주특별자치도 서귀포시 쇠소깍로 134 (하효동) 1층|제주 서귀포시 하효동 995-6 2층|08:00~20:00|주차가능
투썸플레이스|명동성당사거리점|02-2272-9353|서울특별시 중구 마른내로 6 (저동2가) 1층~3층|서울 중구 저동2가 88-5 1~3층|월-금 07:00~23:00 / 토요일 09:00~23:00 / 일요일(공휴일) 09:00~22:00|주차불가
투썸플레이스|거제아주점|055-682-2477|경상남도 거제시 아주2로 41 (아주동) 1층 투썸플레이스|경남 거제시 아주동 1684-1|09:30 ~ 23:00|주차가능
투썸플레이스|아일랜드리솜점|041-671-7140|충청남도 태안군 안면읍 꽃지해안로 204 (중장리,리솜오션캐슬) 1층|충남 태안군 안면읍 765-81 1층 (아일랜드리솜)|평일 10:00~21:00 / 주말 10:00~24:00|주차가능
투썸플레이스|인천임학점|032-555-1800|인천광역시 계양구 장제로 899-1 (임학동) 1층|인천 계양구 임학동 6-2 1, 2층|09:00~23:30|주차불가
투썸플레이스|인천숭의점|032-888-4660|인천광역시 미추홀구 인주대로 51 (숭의동) 103호~107호|인천 미추홀구 숭의동 331-12 더스테이프라임월드 오피스텔 1층|07:30~23:00|주차가능
투썸플레이스|홍대예술의거리점|02-2135-2577|서울특별시 마포구 와우산로21길 36-3 (서교동,태윤빌딩) 2~4층|서울 마포구 서교동 358-58 2~4층|일-목 10:00~24:00 / 금,토 10:00~02:00|주차불가
투썸플레이스|포항초곡점|054-262-1502|경상북도 포항시 북구 흥해읍 초곡리 1352|경북 포항시 북구 흥해읍 1352 1,2층|10:00~23:00|주차가능
투썸플레이스|미사강변SKV1센터점|031-5175-1973|경기도 하남시 미사강변한강로 155 (망월동,미사강변SKV1center) 151~154호|경기 하남시 망월동 834-2|08:00~23:00|주차가능
투썸플레이스|제주애월하귀점|064-713-8985|제주특별자치도 제주시 애월읍 일주서로 7209 (하귀1리) 1층|제주 제주시 애월읍 하귀1리 275|09:00~22:00|주차가능
투썸플레이스|춘천거두점|033-261-8585|강원도 춘천시 동내면 춘천순환로 131 (거두리) 1층|강원 춘천시 동내면 1058-1|09:00~23:00|가능 (유료)
투썸플레이스|인천만수3지구점|032-710-5533|인천광역시 남동구 장승남로 44 (만수동,명진프라자) 2층|인천 남동구 만수동 1041-4 2층|08:00~23:00|주차가능
투썸플레이스|제천강저점|043-651-1040|충청북도 제천시 청풍호로10길 40 (강제동) 1층|충북 제천시 강제동 849-1 1층|09:00~23:00|주차가능
투썸플레이스|대구연경점|053-981-1177|대구광역시 북구 연경동 954-3|대구 북구 연경동 954-3 1,2 층|08:00~23:00|주차가능
투썸플레이스|양양정암해변점|033-672-0640|강원도 양양군 강현면 동해대로 3343 (정암리) 1층|강원 양양군 강현면 156-3 1층|09:00~21:00|주차가능
투썸플레이스|평택법원점|031-618-2220|경기도 평택시 평남로 1010 (동삭동) 1층|경기 평택시 동삭동 132-1 파인빌딩1층|월-금 8시-23시 / 토,일 8시 30분~23시|건물 및 인근 주차 가능
투썸플레이스|청주동남점|043-298-1200|충청북도 청주시 상당구 중고개로125번길 19|충북 청주시 상당구 용암동 189-3|08:00~24:00|주차가능
투썸플레이스|전주진북점|063-253-3700|전라북도 전주시 덕진구 전주천동로 342 (진북동) 1층|전북 전주시 덕진구 진북동 1047-8|09:00~22:30|주차가능
투썸플레이스|상일동역점|02-426-5107|서울특별시 강동구 고덕로 390 (상일동,고덕아르테온아파트(상가1동)) 202호,203호|서울 강동구 상일동 121 고덕아르테온아파트 상가1동 2층|08:00~23:00|주차가능
투썸플레이스|인천가정루원시티점|032-561-9207|인천광역시 서구 염곡로 468 (가정동,드림타워) 1층|인천 서구 가정동 619-4|일-목 08:00~23:00 / 금,토,공휴일 08:00~24:00|주차가능
투썸플레이스|대구상인점|053-643-4959|대구광역시 달서구 월배로 202 (상인동) 1,2층|대구 달서구 상인동 246-21 1층|09:00~23:00|건물주차장 무료이용 가능
투썸플레이스|성남태평역점|031-721-2388|경기도 성남시 수정구 수정로73번길 6-6 (태평동) 1층|경기 성남시 수정구 태평동 6457 1층|08:00~23:00|주차불가
투썸플레이스|인천강화점|032-933-2234|인천광역시 강화군 강화읍 강화대로 401-1 1층|인천 강화군 강화읍 1-15|08:00~01:00|매장 건물 뒷편 주차장에 주차 가능
투썸플레이스|대구동성로스파크점|053-721-6477|대구광역시 중구 동성로6길 61 (공평동) 1층|대구 중구 공평동 58-6 1층 102호|일-목 09:00~25:00 / 금,토 09:00~26:00|주차가능
투썸플레이스|대전도안수변공원점|042-825-2743|대전광역시 유성구 봉명로 27-27 (원신흥동) 1층|대전광역시 유성구 원신흥동 491-7 1층|09:00~23:00|신안인스빌리베라 정문앞_주차가능
투썸플레이스|서여의도점|02-6949-1877|서울특별시 영등포구 국회대로70길 15-1 (여의도동,극동브이아이피빌딩) 1층|서울 영등포구 여의도동 14-8 극동VIP빌딩 1층|월-금 07:00~23:00 / 주말 08:00~21:00|주차불가
투썸플레이스|김포신곡점|031-992-7777|경기도 김포시 고촌읍 수기로 104 (신곡리) 108호|경기 김포시 고촌읍 880-4|08:30~23:00|건물 주차 가능
투썸플레이스|삼호가든사거리점|02-6949-2388|서울특별시 서초구 서초중앙로 238 (반포동,삼호가든쇼핑센타) 가든리체프라자 2층 251호|서울 서초구 반포동 30-25 가든리체프라자 2층|07:00-23:00|상가주차장 이용가능
투썸플레이스|김포운양점|031-981-4550|경기도 김포시 김포한강11로 288-19 운양프라자 1층|경기 김포시 운양동 1297-9 운양프라자 1~2층|9:00~23:00|매장 건물 지하주차장에 주차 가능
투썸플레이스|강서구청점|02-2607-5773|서울특별시 강서구 화곡로 347 115.116.209.210호(화곡동,그랜드아이파크)|서울 강서구 화곡동 1095 강서그랜드아이파크 1층/2층|평일,주말 08:00 ~ 23:00|주차가능
투썸플레이스|아산배방점|041-534-2690|충청남도 아산시 배방읍 모산로 115-4 (공수리,화인빌딩) 아산시 모산로 115-4|충남 아산시 배방읍 1659|08:00~24:00|주차가능
투썸플레이스|송산그린시티점|031-366-8828|경기도 화성시 꽃내음2길 12-2 (새솔동) 프라임타워 1F|경기 화성시 새솔동 0번지 프라임타워 1층|9:00~23:00|주차가능
투썸플레이스|동해북삼점|033-522-5223|강원도 동해시 청운2길 42 (쇄운동,태화빌딩) 1층|강원 동해시 쇄운동 13-1 태화빌딩 1층|08:30~23:00|주차가능
투썸플레이스|시흥시청점|031-315-8811|경기도 시흥시 새재로 23-2 (장현동) 101호~104호|경기 시흥시 장현동 547-1 1층|월-목 08:00~22:00 / 금 08:00~23:00  / 토 09:00~23:00 / 일 09:00~22:00|주차가능
투썸플레이스|양산통도사점|055-372-2270|경상남도 양산시 하북면 통도사로 45 (순지리) 1,2층|경남 양산시 하북면 순지리 616-15|09:00~22:00|주차가능
투썸플레이스|장유율하동뫼산점|055-311-3388|경상남도 김해시 율하숲길 7|경남 김해시 장유동 841|09:00~22:00|주차가능
투썸플레이스|가양역점|02-2668-7021|서울특별시 강서구 양천로 504 (등촌동,명문빌딩) 1층|서울 강서구 등촌1동 628-11 명문빌딩 1층|08:30~23:00|매장 건물 앞 주차 가능
투썸플레이스|제주오라우정점|064-805-0533|제주특별자치도 제주시 아연로 131-3 (오라이동) 2층|제주 제주시 오라이동 3300|평일,주말 08:00 ~ 21:30|점포 앞 무료 주차 가능
투썸플레이스|송파위례트랜짓몰점|02-2043-2220|서울특별시 송파구 위례광장로 170 (장지동,힐스테이트송파위례) 1층|서울 송파구 장지동 883, 상가 B동 113호|08:00~23:00|지하주차장 이용 가능
투썸플레이스|대구수목원점|053-635-8119|대구광역시 달서구 상화로 34 (대곡동) 2층|대구 달서구 대곡동 77-10 2층|07:30~23:00|주차가능
투썸플레이스|원주혁신H타워점|033-733-6888|강원도 원주시 혁신로 19 (반곡동) 강원도 원주시 혁신로 19|강원 원주시 반곡동 1860-5|평일 08:00~23:00 / 주말 09:00~23:00|주차가능
투썸플레이스|인천산곡점|032-715-4467|인천광역시 부평구 원적로 392 (산곡동,백마타운) 1층|인천 부평구 산곡동 143-2 1층|8:00~23:00|주차불가
투썸플레이스|야탑역점|031-706-8880|경기도 성남시 분당구 성남대로916번길 5 (야탑동,관보골든쇼핑스포츠빌딩)2층201호|경기 성남시 분당구 야탑동 366-1 2층, 201호|07:30~25:00|주차가능
투썸플레이스|영동군청점|043-745-0124|충청북도 영동군 영동읍 동정로 30 (동정리,골든렉시움오피스텔) 1층|충북 영동군 영동읍 97|평일 08:00~23:00 / 주말 09:00~23:00|주차가능
투썸플레이스|광주운천호수공원점|062-382-2200|광주광역시 서구 마륵복개로 149|광주 서구 치평동 241-15|09:00~23:00|주차가능
투썸플레이스|울산호계점|052-295-5720|울산광역시 북구 매곡로 19 (신천동) 투썸플레이스 울산호계점|울산 북구 신천동 222-16|09:00~23:00|주차가능
투썸플레이스|천안신불당파크점|041-566-4410|충청남도 천안시 서북구 불당34길 25-2 (불당동) 1, 2층|충남 천안시 서북구 불당동 1815|08:00~23:00|주차가능
투썸플레이스|서종리버사이드점|031-772-1104|경기도 양평군 서종면 북한강로 983 (문호리) 1층|경기 양평군 서종면 618-5 1층|09:00~22:00|주차가능
투썸플레이스|광주용산지구점|062-222-1894|광주광역시 동구 화산로 261 (용산동) 202호(용산동)|광주 동구 용산동 676|월-토 08:00~24:00 / 일 08:00~23:00|주차가능
투썸플레이스|독산사거리점|02-858-2329|서울특별시 금천구 시흥대로 422 (독산동,한국금형공업협동조합) 시흥대로 422 1층|서울 금천구 독산동 287-2|평일 08:00~23:00 / 주말 10:00~23:00|투썸 이용 시 주차타워 2시간 무료 / 평일만 가능
투썸플레이스|의정부가능역점|031-841-2324|경기도 의정부시 평화로 647|경기 의정부시 의정부동 235-19 미건프라자 1층, 추병원 맞은편|8:00~23:00|주차가능
투썸플레이스|소노벨천안점|000-0000-0000|충청남도 천안시 동남구 성남면 종합휴양지로 200 (용원리,대명리조트) .|충남 천안시 동남구 성남면 672|07:30~22:00|대명리조트 주차 가능
투썸플레이스|을지로입구역점|02-6954-0788|서울특별시 중구 남대문로 92 (을지로2가,한국전력공사) 1층|서울 중구 을지로2가 199-4 2층 투썸플레이스|평일 07:00~23:00 / 주말, 공휴일 08:00~23:00|주차불가
투썸플레이스|송파나루역점|02-6925-2113|서울특별시 송파구 오금로 154 (송파동,한라빌딩) 1층|서울 송파구 송파동 48-11 1층|평일 08:00~23:00 / 토 09:00~23:00 /일 09:00~22:00|주차불가
투썸플레이스|암사역점|02-6954-2477|서울특별시 강동구 올림픽로 778 (암사동) 1,2층|서울 강동구 암사동 501-2 2층|07:00~23:00|주차불가
투썸플레이스|광흥창역점|02-6954-2677|서울특별시 마포구 독막로 145 (창전동,서강쌍용예가) 1F(105-106호),2F(20|서울 마포구 창전동 444|평일 07:00~23:00 / 주말,공휴일 08:00~23:00|주차불가
투썸플레이스|행신역점|031-972-7712|경기도 고양시 덕양구 충장로 6 (행신동) 102호 201호 202호|경기 고양시 덕양구 행신동 762-3|월-금 07:00~23:00 / 토,일,공휴일 08:00~23:00|주차가능
투썸플레이스|북대구IC주유소DT점|053-383-1222|대구광역시 북구 동북로 113 (산격동) 1층|대구 북구 산격동 507 1층|07:00~24:00|주차가능
투썸플레이스|연천전곡점|031-835-8900|경기도 연천군 전곡읍 전곡로 185 (은대리) 1층|경기 연천군 전곡읍 564-2 1층|09:00~22:30|주차가능
투썸플레이스|울산성남점|052-211-3900|울산광역시 중구 만남의거리 15|울산 중구 성남동 251-2 클래시아 1,2층|09:00~23:00|주차가능
