##NAME|SUBNAME|ID|TELNUM|NEWADDR|FEAT@@스무디킹
스무디킹|부산서면NC점|181|051-794-7334|부산 부산진구 전포동 668-1 NC서면점 6층|베이커리;좌석;주차
스무디킹|대구Campwalker점|179|053-476-9441|대구 남구 봉덕동 Camp Walker 내 Exchange Mall(S-310)|베이커리;좌석
스무디킹|여수학동점|180|061-683-8500|전남 여수시 학동 85-1 1층 스무디킹|베이커리;좌석;주차;배달APP
스무디킹|동탄메타CGV점|178|031-8015-1533|경기 화성시 반송동 96번지 메타폴리스 A블럭 3층 CGV|베이커리;좌석;주차
스무디킹|대전유성CGV점|177|042-825-0504|대전 유성구 봉명동 1016-7,8 도안센트럴프라자 508호|주차
스무디킹|김포현대아울렛점|176|031-8048-2168|경기 김포시 고촌읍 아라육로 152번길 100 현대프리미엄아울렛1층 168호|베이커리;좌석;주차
스무디킹|구리인창롯데시네마점|174|031-8034-2711|경기 구리시 인창동 419-7 롯데아울렛 6층|베이커리;주차
스무디킹|강남터미널점|171|02-599-6595|서울 서초구 반포동 19-4 고속버스터미널 본관1층|베이커리;좌석;주차
스무디킹|스타필드코엑스점|170|02-551-5446|서울 강남구 테헤란로 87길 22 지하1층|베이커리;좌석;주차;배달APP;근거리 무료배달
스무디킹|롯데월드몰점|169|02-3213-4771|서울 송파구 신천동 29 롯데월드몰 지하1층|베이커리;좌석;주차;근거리 무료배달
스무디킹|대전카이스트점|168|042-350-0866|대전 유성구 구성동 373-1 한국과학기술원 응용공학동 1층|베이커리;좌석;주차
스무디킹|전주CGV점|166|070-8821-3040|전북 전주시 완산구 용머리로 45 2층|베이커리;좌석;주차
스무디킹|을지로입구역점(구/명동메트로점)|164|02-771-2235|서울 중구 명동9가길 14 메트로 호텔 1층|베이커리;좌석;배달APP
스무디킹|청주지웰CGV점|162|070-8965-9012|청주시 흥덕구 북대동 288-14 지웰시티몰 2차 2층|베이커리;좌석;주차
스무디킹|야탑CGV점|156|031-725-0117|경기 성남시 분당구 성남대로 925번길 16 테마폴리스 지하2층 917호|베이커리;주차
스무디킹|이천롯데아울렛점|155|031-887-4627|경기 이천시 호법면 프리미엄아울렛로 롯데아울렛 3층|좌석;주차
스무디킹|울산업스퀘어점|144|052-990-5900|울산 남구 화합로 185 울산업스퀘어 5층|베이커리;좌석;주차
스무디킹|롯데빅마켓도봉점|138|02-3492-2477|서울 도봉구 마들로 645 롯데빅마켓 2층|베이커리;좌석;주차
스무디킹|원주터미널점|136||강원 원주시 서원대로 171 1층|베이커리;좌석;주차
스무디킹|청주비하롯데마트점|134|043-235-0220|충북 청주시 흥덕구 2순환로 1004 롯데아울렛 2층|베이커리;좌석;주차
스무디킹|대구롯데시네마광장점|133|053-524-0779|대구 서구 달구벌대로 1709 M프라자 4층|베이커리
스무디킹|인천스퀘어원점|132|032-456-4348|인천 연수구 청능대로 210 인천스퀘어원 3층|베이커리;좌석;주차
스무디킹|가산마리오아울렛점|129|02-2067-2101|서울 금천구 벚꽃로 266 마리오아울렛 3관 B1층|베이커리;좌석;주차
스무디킹|중계롯데마트점|128|070-8880-1765|서울 노원구 중계동 361 롯데마트 지하 1층|베이커리;주차
스무디킹|여의도IFC몰점|127|02-6137-5500|서울 영등포구 국제금융로 10 IFC몰 지하1층 151호|베이커리;좌석;주차;근거리 무료배달
스무디킹|북수원CGV점|126|031-207-0117|경기 수원시 장안구 경수대로 950 패션아울렛 4층 436호|베이커리;좌석;주차
스무디킹|건대입구롯데시네마점|123|02-444-2775|서울 광진구 아차산로 262 스타시티 2층|베이커리;좌석;주차
스무디킹|캠프케이시점|120|031-866-3395|경기 동두천시 보산동 캠프케이시 S-3007, 푸드코트|베이커리
스무디킹|잠실야구장점|110|02-414-3367|서울 송파구 잠실동 10, 잠실야구장 제1매표소 2호점|베이커리;주차
스무디킹|가산더블유몰점|103|02-2081-0982|서울 금천구 디지털로 188번지 더블유몰 지하1층|베이커리;주차
스무디킹|대전터미널점|102|042-626-8881|대전 동구 동서대로 1689, 서관 1층  w16호|베이커리;좌석;주차
스무디킹|대전롯데점|96|042-601-3130|대전 서구 계룡로 598, 10층 롯데시네마|베이커리;주차
스무디킹|인천CGV점|84|032-422-6048|인천 남동구 예술로 198, SEE&SEE 2층|베이커리;좌석;주차
스무디킹|파주첼시아울렛점|6|031-8071-7427|경기 파주시 탄현면 필승로 200, 신세계프리미엄아울렛 1700호|주차
스무디킹|강남역점|9|02-567-4959|서울 강남구 강남대로 420, 1층 (역삼동)|베이커리;좌석;배달APP
스무디킹|롯데잠실어드벤처점|20|02-411-0529|서울 송파구 올림픽로 240, 롯데월드어드벤처 2층 (잠실동)|베이커리;주차
스무디킹|부산센텀점|44|051-745-2648|부산 해운대구 센텀남대로 35, 신세계백화점 4층|베이커리;좌석;주차
스무디킹|부산역사점|45|051-442-3310|부산 동구 초량동 1187-3 부산역 1층 맞이방|베이커리;좌석;주차
스무디킹|신도림테크노마트점|53|02-2111-8907|서울 구로구 새말로 97, 신도림테크노마트 10층 11호|베이커리;좌석;주차
스무디킹|울산롯데시네마점|56|052-960-5010|울산 남구 삼신동 1480-1 롯데시네마 3층|베이커리;좌석;주차
스무디킹|영등포타임스퀘어점|64|02-2638-2650|서울시 영등포구 영중로 15, 영등포타임스퀘어 4층|베이커리;주차;근거리 무료배달
스무디킹|용산아이파크몰점|71|02-2012-0503|서울 용산구 한강대로 23길 55 아이파크몰 서관 5층|베이커리;좌석;주차;배달APP;근거리 무료배달
스무디킹|청량리역사점|77|02-3707-1376|서울 동대문구 왕산로 214, 한화청량리역사 3층 315호|베이커리;주차;근거리 무료배달
