INPUTNAME|ID|NAME|OLDADDR|NEWADDR|TELL|CAT|XCORD|YCORD|URL
경기도 용인시기흥구 구갈로72번길 31, 강릉짬뽕순두부 용인점|1384863943|강릉동화가든짬뽕순두부 용인점|경기도 용인시 기흥구 구갈동 357-5 레몬프라자 1층|경기도 용인시 기흥구 구갈로72번길 31 레몬프라자 1층|031-282-3661|['한식', '두부요리']|
강원도 양구군 금송로 13, 강원도민일보 양구지사|1084257644|강원도민일보 양구지사|강원도 양구군 양구읍 상리 594-7|강원도 양구군 양구읍 금송로 13|033-481-9977|['출판사', '신문보급소']|
강원도 양구군 양록길 28, 강원도민일보 양구지사|15036254|강원도민일보 양구지사|강원도 양구군 양구읍 상리 527-6|강원도 양구군 양구읍 양록길 28|033-481-3397|['출판사', '지방신문']|
충청북도 청주시청원구 사뜸로61번길 7, 강유진화닭 본점|찾을수없음||||||
충청북도 청주시청원구 사뜸로 99, 강유진화닭 본점|1453144709|강유진화닭 본점|충청북도 청주시 청원구 사천동 31-75|충청북도 청주시 청원구 사뜸로 99|043-241-3330|['한식', '닭갈비']|http://www.hwadak.co.kr
경기도 군포시 번영로 492, 강정구의피자생각 군포산본점|찾을수없음||||||
경기도 군포시 산본로 339, 강정구의피자생각 군포산본점|찾을수없음||||||
경기도 부천시 신흥로67번길 43, 강정구의피자생각 부천대점|찾을수없음||||||
경기도 부천시 부일로308번길 22, 강정구의피자생각 부천대점|1565612887|강정구의피자생각부천대점|경기도 부천시 상동 327|경기도 부천시 부일로308번길 22 1층||None|
인천광역시 남동구 논현로46번길 14, 강정구의피자생각 인천논현점|찾을수없음||||||
인천광역시 남동구 논현남로 3, 강정구의피자생각 인천논현점|1334257112|피자생각 인천논현점|인천광역시 남동구 논현동 619-3|인천광역시 남동구 논현남로 3|032-431-3184|['음식점', '피자']|http://www.pizzathink.com/
대구광역시 달서구 감삼남4길 53, 강정이기가막혀 장기감삼점|찾을수없음||||||
대구광역시 달서구 당산로21길 19-1, 강정이기가막혀 장기감삼점|찾을수없음||||||
전라북도 전주시덕진구 오공로 43-28, 강촌식당 전주혁신점|1205481317|강촌식당 전주혁신점|전라북도 전주시 덕진구 중동 775-4|전라북도 전주시 덕진구 오공로 43-28|063-227-7692|['한식', '닭갈비']|
전라북도 완주군 기지로 50, 강촌식당 전주혁신점|찾을수없음||||||
경기도 성남시분당구 분당로 55, 개똥이네 분당점|찾을수없음||||||
경기도 성남시분당구 야탑로 241, 개똥이네 분당점|찾을수없음||||||
세종특별자치시  봉안길 61, 개똥이네 세종점|찾을수없음||||||
세종특별자치시  갈매로 351, 개똥이네 세종점|37692482|개똥이네 세종점|세종특별자치시 어진동 671 에비뉴힐 지하1층 개똥이네 세종점|세종특별자치시 갈매로 351 에비뉴힐 지하1층 개똥이네 세종점|044-862-3335|['쇼핑,유통', '서점']|http://www.littlemom.co.kr/
부산광역시 기장군 기장대로 515, 개미인력 기장점|찾을수없음||||||
부산광역시 해운대구 송정1로 20, 개미인력 기장점|찾을수없음||||||
부산광역시 동래구 동래로57번길 36, 개미인력 동래점|찾을수없음||||||
부산광역시 동래구 온천장로 14, 개미인력 동래점|찾을수없음||||||
부산광역시 중구 중구로30번길 22, 개미집 본점|11722112|개미집 본점|부산광역시 중구 신창동1가  14-3|부산광역시 중구 중구로30번길 22|051-246-3186|['한식', '낙지요리']|
부산광역시 중구 중구로30번길 20-2, 개미집 본점|찾을수없음||||||
전라북도 전주시덕진구 중상보로 48, 개성족발보쌈 아중점|찾을수없음||||||
전라북도 전주시덕진구 무삼지4길 28, 개성족발보쌈 아중점|찾을수없음||||||
강원도 강릉시 지변길24번길 1, 갤러리PC방 강릉원주대점|찾을수없음||||||
강원도 강릉시 죽헌길 7, 갤러리PC방 강릉원주대점|찾을수없음||||||
서울특별시 강동구 천중로16길 44, 거기시켜덮밥간식 강동점|1735131602|거기시켜 덮밥&간식 강동점|서울특별시 강동구 천호동 362-56|서울특별시 강동구 천중로16길 44 1층 101-1호 (천호동)|02-475-4817|['분식', '종합분식']|
서울특별시 강동구 구천면로 384, 거기시켜덮밥간식 강동점|찾을수없음||||||
충청남도 천안시서북구 성환중앙로 83, 거꾸로가는시간 천안점|찾을수없음||||||
충청남도 천안시서북구 백석공단1로 10, 거꾸로가는시간 천안점|1782743357|거꾸로가는시간 천안점|충청남도 천안시 서북구 백석동 1206|충청남도 천안시 서북구 백석공단1로 10 에이스 하이테크시티 B동 2층|010-8425-9905|['미용', '속눈썹증모,연장']|https://instagram.com/again20s_beauty
강원도 춘천시 남춘로36번길 50-9, 거꾸로가는시간 퇴계점|38405286|거꾸로가는시간 퇴계점|강원도 춘천시 퇴계동 956-16|강원도 춘천시 남춘로36번길 50-9 거꾸로가는시간 퇴계점 |01033846274|['미용', '피부,체형관리']|
강원도 춘천시 퇴계로 140, 거꾸로가는시간 퇴계점|찾을수없음||||||
전라북도 전주시덕진구 동부대로 715, 건국우유 덕진대리점|찾을수없음||||||
전라북도 전주시덕진구 명주6길 19-16, 건국우유 덕진대리점|1861071996|건국우유 덕진대리점|전라북도 전주시 덕진구 인후동2가|전라북도 전주시 덕진구 명주6길 19-16||['쇼핑,유통', '우유,유제품']|
경기도 수원시팔달구 동말로67번길 27, 건쓰 화서점|찾을수없음||||||
경기도 수원시팔달구 동말로 12, 건쓰 화서점|찾을수없음||||||
경상북도 경주시 용강상리길 8, 건영정기화물 경주영업소|찾을수없음||||||
경상북도 경주시 강변로 158-4, 건영정기화물 경주영업소|찾을수없음||||||
경기도 안산시단원구 다문화1길 73, 건일인력개발 수원지점|찾을수없음||||||
경기도 수원시팔달구 고화로 41, 건일인력개발 수원지점|찾을수없음||||||
대구광역시 중구 동성로3길 32-20, 걸리버막창 동성로점|1802827394|걸리버막창 동성로점|대구광역시 중구 삼덕동1가 29-4 걸리버막창|대구광역시 중구 동성로3길 32-20 걸리버막창|053-262-7772|['한식', '곱창,막창,양']|
대구광역시 중구 동성로4길 34, 걸리버막창 동성로점|찾을수없음||||||
경기도 파주시 회동길 390, 게스키즈 롯데프리미엄아울렛파주점|36684875|게스키즈 롯데프리미엄아울렛 파주점|경기도 파주시 문발동 645 롯데프리미엄아울렛파주점 2F|경기도 파주시 회동길 390 롯데프리미엄아울렛파주점 2F|031-960-2516|['쇼핑,유통', '유아동복']|
경기도 파주시 문발로 302, 게스키즈 롯데프리미엄아울렛파주점|찾을수없음||||||
부산광역시 사상구 가야대로277번길 29, 게이트맨 사상점|찾을수없음||||||
부산광역시 사상구 백양대로342번길 22, 게이트맨 사상점|찾을수없음||||||
대전광역시 서구 문정로 108, 게이트맨 서구대리점|찾을수없음||||||
대전광역시 서구 갈마중로 48-1, 게이트맨 서구대리점|11883777|게이트맨 서구대리점|대전광역시 서구 갈마동 1078|대전광역시 서구 갈마중로 48-1|042-534-0015|['쇼핑,유통', '열쇠,도어록']|http://daejeongateman.cafe24.com/
충청북도 청주시상당구 쇠내로145번길 3, 게이트맨 청주대리점|36305307|게이트맨 청주대리점|충청북도 청주시 상당구 영운동 38-1|충청북도 청주시 상당구 쇠내로145번길 3|043-256-1800|['쇼핑,유통', '열쇠,도어록']|
충청북도 청주시상당구 사북로 122, 게이트맨 청주대리점|찾을수없음||||||
경기도 수원시팔달구 향교로 1-1, 결이고은에스테틱 수원점|찾을수없음||||||
경기도 수원시팔달구 권광로 181, 결이고은에스테틱 수원점|1604839991|결이고은 수원점|경기도 수원시 팔달구 인계동 1113-11 6층 결이고은 수원점|경기도 수원시 팔달구 권광로 181 6층 결이고은 수원점|031-244-4222|['미용', '피부,체형관리']|http://kyulegoeun.co.kr/bbs/board.php?bo_table=franchise&wr_id=9&sca=%EA%B2%BD%EA%B8%B0%EB%8F%84
서울특별시 마포구 마포대로 127, 경남일보 서울지사|찾을수없음||||||
서울특별시 서초구 강남대로97길 27, 경남일보 서울지사|찾을수없음||||||
경기도 광주시 양벌로 195-8, 경덕재주간보호센터 오포점|찾을수없음||||||
경기도 광주시 수렁개들길32번길 15, 경덕재주간보호센터 오포점|찾을수없음||||||
인천광역시 계양구 계산천서로 43, 경동나비엔 계양대리점|11820795|경동나비엔 계양대리점|인천광역시 계양구 계산동 942-41|인천광역시 계양구 계산천서로 43|032-548-1144|['쇼핑,유통', '보일러']|http://www.boilermarket.net/
인천광역시 계양구 봉오대로 691, 경동나비엔 계양대리점|찾을수없음||||||
서울특별시 광진구 자양로 230, 경동나비엔 광진점|찾을수없음||||||
서울특별시 광진구 자양로 220-1, 경동나비엔 광진점|찾을수없음||||||
충청북도 괴산군 읍내로 143, 경동나비엔 괴산대리점|1822544496|경동나비엔괴산대리점|충청북도 괴산군 괴산읍 대사리 139-19|충청북도 괴산군 괴산읍 읍내로 143||['쇼핑,유통', '보일러']|
충청북도 괴산군 동진천길 117, 경동나비엔 괴산대리점|찾을수없음||||||
경상남도 김해시 흥동로171번길 22, 경동나비엔 김해장유점|찾을수없음||||||
경상남도 김해시 삼문로59번길 6, 경동나비엔 김해장유점|찾을수없음||||||
전라남도 보성군 남하로 11-7, 경동나비엔 보성대리점|1943871462|경동나비엔보성대리점|전라남도 보성군 벌교읍 장좌리 555-1|전라남도 보성군 벌교읍 남하로 11-7|061-857-1144|['쇼핑,유통', '보일러']|
전라남도 보성군 채동선로 171, 경동나비엔 보성대리점|찾을수없음||||||
충청남도 서산시 고운로 249-19, 경동나비엔 서산점|873914250|경동나비엔 서산대리점|충청남도 서산시 동문동 380-3|충청남도 서산시 고운로 249-19|041-669-1855|['쇼핑,유통', '보일러']|
충청남도 서산시 동서1로 158, 경동나비엔 서산점|찾을수없음||||||
경기도 안양시만안구 박달우회로 158-1, 경동나비엔 안양서부점|찾을수없음||||||
경기도 안양시만안구 만안로 320, 경동나비엔 안양서부점|찾을수없음||||||
제주특별자치도 제주시 연삼로 425, 경동나비엔 진영점|찾을수없음||||||
제주특별자치도 제주시 연삼로 427, 경동나비엔 진영점|찾을수없음||||||
경기도 화성시 삼천병마로 309, 경동나비엔 화성중앙점|찾을수없음||||||
경기도 화성시 삼천병마로 355-83, 경동나비엔 화성중앙점|찾을수없음||||||
경기도 성남시중원구 원터로106번길 7, 경동보일러 남부대리점|1346531880|경동보일러남부대리점|경기도 성남시 중원구 성남동 2586|경기도 성남시 중원구 원터로106번길 7|031-721-2620|['쇼핑,유통', '보일러']|
경기도 수원시권선구 장다리로 74, 경동보일러 남부대리점|찾을수없음||||||
경기도 시흥시 복지로63번길 4-5, 경동보일러 시흥대리점|1140158281|경동가스보일러수리전문점|경기도 시흥시 대야동 468-5|경기도 시흥시 복지로63번길 4-5|031-315-2242|['쇼핑,유통', '보일러']|
경기도 시흥시 하중로 170-1, 경동보일러 시흥대리점|20022345|경동나비엔 시흥대리점|경기도 시흥시 하중동 451-3|경기도 시흥시 하중로 170-1|031-435-8877|['쇼핑,유통', '보일러']|
경기도 용인시처인구 동부로244번길 12, 경동보일러 용인대리점|1146124705|경동나비엔 용인동부 대리점|경기도 용인시 처인구 운학동 548-3 경동나비엔 용인동부대리점|경기도 용인시 처인구 동부로244번길 12 경동나비엔 용인동부대리점|031-336-2741|['쇼핑,유통', '보일러']|http://WWW.용인보일러.COM
경기도 용인시처인구 백옥대로1191번길 19, 경동보일러 용인대리점|1081066407|경동보일러용인대리점|경기도 용인시 처인구 유방동 536-7|경기도 용인시 처인구 백옥대로1191번길 19|031-332-4966|['쇼핑,유통', '보일러']|
서울특별시 은평구 은평로8길 11, 경동보일러 은평대리점|찾을수없음||||||
서울특별시 은평구 진흥로 77, 경동보일러 은평대리점|찾을수없음||||||
경상남도 창녕군 화왕산1로 87, 경동보일러 창녕대리점|찾을수없음||||||
경상남도 창녕군 직교1길 2, 경동보일러 창녕대리점|찾을수없음||||||
경상남도 창원시의창구 의창대로299번길 6-14, 경동보일러 창원대리점|찾을수없음||||||
경상남도 창원시의창구 팔용로395번길 12, 경동보일러 창원대리점|찾을수없음||||||
경상남도 창원시의창구 원이대로206번길 3-1, 경동보일러 창원대리점|찾을수없음||||||
경상남도 창원시의창구 차상로150번길 68, 경동보일러 창원대리점|찾을수없음||||||
경기도 평택시 매봉산5길 1, 경동보일러 평택대리점|35244122|경동나비엔 평택대리점|경기도 평택시 비전2동 823|경기도 평택시 매봉산5길 1|031-654-3223|['쇼핑,유통', '보일러']|
경기도 평택시 평택로 295, 경동보일러 평택대리점|찾을수없음||||||
부산광역시 연제구 중앙대로 1093, 경동소재 연산점|찾을수없음||||||
부산광역시 연제구 황령산로 599, 경동소재 연산점|찾을수없음||||||
인천광역시 강화군 송악길14번길 15-3, 경동택배 인천강화440영업소|찾을수없음||||||
인천광역시 강화군 북문길9번길 19, 경동택배 인천강화440영업소|찾을수없음||||||
인천광역시 중구 공항동로295번길 41-42, 경동택배 인천중구공항124영업소|찾을수없음||||||
인천광역시 중구 공항동로295번길 124, 경동택배 인천중구공항124영업소|찾을수없음||||||
인천광역시 중구 축항대로86번길 24-1, 경동택배 인천중구연안부두11영업소|찾을수없음||||||
인천광역시 중구 연안부두로11번길 10-1, 경동택배 인천중구연안부두11영업소|찾을수없음||||||
강원도 평창군 보래령로 150-24, 경동택배 평창봉평보래령13영업소|찾을수없음||||||
강원도 평창군 보래령로 13, 경동택배 평창봉평보래령13영업소|찾을수없음||||||
경기도 화성시 푸른들판로 650, 경동택배 화성향남만년151영업소|찾을수없음||||||
경기도 화성시 만년로151번길 10, 경동택배 화성향남만년151영업소|찾을수없음||||||
경상북도 칠곡군 경북대로 58, 경명새마을금고 가산지점|찾을수없음||||||
