bztypName|pobsAfstrName|pobsBaseAddr|pobsDtlAddr|pobsGnrlTelno
보습학원|(주)김현정수학|서울특별시 강남구 삼성로 225 (대치동)|304,305,306|025625050
보습학원|(주)깊은생각|서울특별시 강남구 도곡로 457 (대치동)|진흥빌딩 5층|025588909
프렌차이즈|(주)꼭그닭|서울특별시 강남구 봉은사로4길 37 (역삼동)|지하1층|025655335
영양제, 건강보조식품|(주)꿈꾸는천사들|서울특별시 강남구 강남대로 256 (도곡동, 대우양재디오빌)|202호|07088286597
미용|(주)끌로에김선진|서울특별시 강남구 삼성로 772 (청담동)|로데오빌딩3층|025125400
소프트웨어개발|(주)날마다|서울특별시 강남구 테헤란로 142 (역삼동)|5층|0415343820
자동차타이어및튜브외|(주)남서울상사|서울특별시 강남구 도곡로37길 4(역삼동)|1층|025547071
상품종합도매업|(주)네모파트너즈에이엠씨|서울특별시 강남구 학동로2길 19 (논현동)|2층 2363호 (논현동, 세일빌딩)|0234047000
소프트웨어 개발 및 공급업|(주)넥스트인텔리전스|서울특별시 강남구 영동대로 725 (청담동)|5층|07082200601
소프트웨어개발 및 공급업|(주)넥스트페이먼츠|서울특별시 강남구 영동대로 725 (청담동)|5층|027378889
주방용 전기 기기 제조업|(주)노빌텍|서울특별시 강남구 학동로 139(논현동)|4층 402호|-
일반교과학원|(주)논술화랑(대치점)|서울특별시 강남구 선릉로64길 14(대치동)|3층 (대치동, 드림빌딩)|025999964
스포츠용품|(주)논현골프|서울특별시 강남구 언주로 645 (논현동)|1층|025461872
가구|(주)논현전시장|서울특별시 강남구 학동로 143 (논현동)|1층|025113893
비영리 마트|(주)농업법인 쿱스토어 강남대치점|서울특별시 강남구 영동대로 229 메디다스벤처타운 1층|쿱스토어|15776009
자동차정비업|(주)뉴강남자동차공업사|서울특별시 강남구 헌릉로745길 51-2 (율현동)|1층|024598571
광고대행업, 스튜디오임대|(주)뉴턴트리애드|서울특별시 강남구 언주로167길 35 (신사동)|옥산빌딩 지하1층|025441117
평생직업교육학원(폴댄스)|(주)느리게살기|서울특별시 강남구 봉은사로6길 34 (역삼동)|3층, 4층|025568285
내의 소매업, 섬유, 직물 및 의복 액세서리|(주)다앤딧|서울특별시 강남구 언주로30길 21 (도곡동, 아카데미스위트)|B-101~5호|027650933
음식점|(주)다이닝디자인|서울특별시 강남구 강남대로 512 (논현동)|5층|025445122
웨딩컨설팅|(주)다이렉트컴즈|서울특별시 강남구 도산대로 221 (신사동)|동남빌딩 603호|025474393
일반교과학원|(주)닥터필로스대치학원|서울특별시 강남구 영동대로 217 (대치동)|3층|025774960
인터넷컨텐츠제공,S/W개발및웹디자인|(주)닷네임코리아|서울특별시 강남구 테헤란로 234 (역삼동)|3층|07070900852
무용|(주)당스이화|서울특별시 강남구 역삼로 550 (대치동)|2층 모던스테이지|025572340
슈퍼,위탁매매,양곡|(주)대농그린마트|서울특별시 강남구 선릉로63길 13 (역삼동)|대농그린마트|025663374
휴대폰|(주)대박통신 자곡점|서울특별시 강남구 자곡로 202 (자곡동)|101호 KT|0222262116
중국음식점업|(주)대종컴퍼니|서울특별시 강남구 삼성로95길 6 (삼성동)|1층 썬데이반점|025156789
학원,서적|(주)대찬|서울특별시 강남구 도곡로 432 (대치동)|오리다빌딩 1층|025542772
보습학원|(주)대치720|서울특별시 강남구 선릉로64길 11-2 (대치동)|2층|025558100
입시학원|(주)대치제이프라임|서울특별시 강남구 선릉로86길 11(대치동, 아름빌)|2층 201호|025522101
종합(와국어,보습)학원|(주)대치프라우드세븐|서울특별시 강남구 도곡로 418 (대치동)|강원빌딩 7층|025660505
입시,외국어,기타문리계,보습학원|(주)대치해냄|서울특별시 강남구 삼성로71길 12 (대치동)|주원빌딩|0234537193
한식|(주)대한곱창|서울특별시 강남구 강남대로152길 33 (신사동)|1층|025457626
간판 및 광고물 제작 외|(주)대화디자인|서울특별시 강남구 도곡로 129 (역삼동)|남강빌딩 402호|025474977
실내 스크린 골프연습장|(주)더그린힐|서울특별시 강남구 역삼로7길 17 (역삼동)|B1 스크린|025581228
커피전문점더닐크잡화|(주)더닐크팩토리|서울특별시 강남구 강남대로162길 32 (신사동)|1층 더닐크팩토리|0220390821
전문과학기술서비스|(주)더래백스|서울특별시 강남구 영동대로 517 (삼성동)|아셈타워 37층|05057197799
골프연습장|(주)더메이저타운 골프존아카데미 강남점|서울특별시 강남구 논현로85길 70 (역삼동)|지하2층 (역삼823빌딩)|025650872
입시,보습학원|(주)더명인 강남지점 대치명인스카이수학학원|서울특별시 강남구 도곡로 405 (대치동)|301-302호|025632233
한식|(주)더미래건설 군산횟집|서울특별시 강남구 헌릉로569길 13 (세곡동)|1층 101,102호(세곡동,라온프라이빗시티)|025786700
양식|(주)더박스 하루일과 압구정점|서울특별시 강남구 압구정로29길 71 (압구정동, 현대아파트)|상가 2동 1층 101호,102호|025476611
패션잡화, 의류, 카페|(주)더블유케이에스글로벌|서울특별시 강남구 양재대로 333 (개포동)|1층|0704353459
화장품도매|(주)더셀컴퍼니지점|서울특별시 강남구 도산대로11길 21 (신사동)|빌라드뮤리|025155452
화장품|(주)더스킨컴퍼니|서울특별시 강남구 개포로82길 11 (개포동)|301호|025734633
기타 스포츠 교육기관|(주)더에이랩|서울특별시 강남구 언주로98길 5-4 (역삼동)|2층|-
운동용품|(주)더에이치코퍼레이션|서울특별시 강남구 도산대로27길 20 (신사동)|B1F|025407092
스포츠아카데미운영업|(주)더텐스포츠|서울특별시 강남구 논현로10길 29 (개포동)|2층 /202호|025720101
상품 종합 도매업|(주)더홈 까사샵 논현점|서울특별시 강남구 논현로131길 30 (논현동)|논현동, 성도빌딩|025170556
화장품 제조업|(주)데어즈|서울특별시 강남구 테헤란로 128 (역삼동)|2층 295호|-
서양음식점업|(주)도치피자 강남|서울특별시 강남구 강남대로98길 27(역삼동)|지하1층|025568001
보습학원|(주)독서문화연구원(대치점)|서울특별시 강남구 선릉로64길 14 (대치동)|드림빌딩2층 논술화랑학원|025999964
양 대창 한우등심|(주)동심글로벌 양대화|서울특별시 강남구 논현로 647 (논현동)|힐탑호텔1층|025113100
문방구류,복사,제본,인쇄,음반판매업,식음료|(주)드림디포문구유통 논현직영점|서울특별시 강남구 선릉로 643 (논현동)|1층 3호|025115923
문구,사무용품|(주)드림오피스유통|서울특별시 강남구 선릉로 616 (삼성동)|1층|0234435008
실내건축,건축자재, 철물|(주)드림플레이|서울특별시 강남구 봉은사로30길 47 (역삼동)|(역삼동)|025630409
전구 및 조명장치 제조업|(주)디디디|서울특별시 강남구 봉은사로 429 (삼성동)|203호|025445624
유아용 의류 도매업|(주)디아이플로 서울직영|서울특별시 강남구 테헤란로 516(대치동)|5층 디아이플로|-
양식|(주)디에프코리아(강남지점)|서울특별시 강남구 강남대로94길 9 (역삼동)|지하 1,2층|07042401116
시각디자인|(주)디오디자인그룹|서울특별시 강남구 논현로155길 5 (신사동)|10,3층|-
디지인 및 인쇄|(주)디자인마이러브|서울특별시 강남구 강남대로 320 (역삼동)|황화빌딩 1108호|0234366033
전자상거래|(주)디지탈명성텍|서울특별시 강남구 논현로 518(역삼동)|1층|0222735141
한식|(주)디코레 북창동순두부 강남구청점|서울특별시 강남구 학동로56길 26 (삼성동)|(삼성동, 2층 )|0262006603
서양음식|(주)따봉코리아|서울특별시 강남구 선릉로112길 13 (삼성동)|조인바이트|0234443611
영어학원|(주)딱이만큼영어연구소|서울특별시 강남구 언주로 514 (역삼동)|힐헤븐빌딩 4층|025380711
공연 기획업|(주)또모|서울특별시 강남구 강남대로154길 38(신사동, 빅토빌)|b101호|-
조리 반찬류 소매업|(주)라온통신|서울특별시 강남구 남부순환로 2615 1층 KT|(주)라온통신|020000000
외국어학원|(주)라이즈강남|서울특별시 강남구 도곡로37길 5 (역삼동)|5층|0234532939
도매/화장품|(주)라인뷰티아카데미|서울특별시 강남구 선릉로 422 (대치동)|402호(대치동,전우빌딩)|025087978
의류|(주)랜덤워크|서울특별시 강남구 언주로164길 38(신사동)|103호|025160225
피자|(주)레드캡 대치점|서울특별시 강남구 역삼로 437 (대치동)|1층|025540395
임대업 등산의류,레져용품 주차장|(주)레드페이스 역삼점|서울특별시 강남구 봉은사로 214 (역삼동)|레드페이스 빌딩 1층|0234343499
수입주류|(주)레뱅드매일 역삼점|서울특별시 강남구 테헤란로 152 (역삼동, 강남파이낸스센터)|지하1층|0221122937
외국어학원, 도서판매|(주)렉스김잉글리쉬|서울특별시 강남구 도곡로 519 (대치동)|구공빌딩 502호|025557807
보습학원,  교재판매|(주)로얄아이비|서울특별시 강남구 압구정로34길 11 (신사동)|602~604호|025868810
유아용 의류 소매업|(주)르셀루|서울특별시 강남구 언주로113길 17 (논현동)|,2층|0234489525
사업경영 및 관리자문,전대|(주)르호봇강남비즈니스센터|서울특별시 강남구 역삼로 114 (역삼동)|현죽빌딩 8층|025537525
어학원|(주)리더스엠비에이|서울특별시 강남구 압구정로30길 17 (신사동)|2층|025127666
종합|(주)리딩타운서울|서울특별시 강남구 삼성로51길 8 (대치동)|(주)리딩타운서울|025557171
생활용 가구 도매업|(주)리바트강남점|서울특별시 강남구 학동로 118 (논현동)|제비01호|-
콘텐츠개발및유통|(주)리발란스케이|서울특별시 강남구 학동로97길 20 (청담동)|B1 리발란스케이|025483999
퓨전레스토랑|(주)리한 우낀집|서울특별시 강남구 도산대로38길 40 (논현동)|지하1층 우낀집|025151170
퓨전레스토랑|(주)리한 이디즈키친 도곡점|서울특별시 강남구 논현로41길 10 (도곡동, 대림아파트)|상가동 2층 이디즈키친|025711170
전자상거래 소매업|(주)리햅|서울특별시 강남구 학동로18길 21(논현동)|(주)리햅|024974004
귀금속|(주)마노다이아몬드|서울특별시 강남구 논현로139길 24(논현동)|B1|025400910
주류 소매업|(주)마릴린 와인365 압구정점|서울특별시 강남구 논현로 854 (신사동)|지1층(ANdAZ)|0234430365
의류, 성인용품,  미용제품, 전자상거래|(주)마세리카(MASERICA)|서울특별시 강남구 도산대로 117 (신사동)|2층|025185008
일반교과학원|(주)마스터클래스|서울특별시 강남구 선릉로64길 11-2 (대치동)|이지빌딩 6층 전관|025537890
임산부스포츠의학, 임산부스포츠재활|(주)맘스|서울특별시 강남구 논현로106길 31 (역삼동)|2층|025543320
임산부스포츠의학, 임산부스포츠재활|(주)맘스 삼성코엑스 지점|서울특별시 강남구 봉은사로104길 9-5 (삼성동)|지하1층|025543320
상담, 교육|(주)맘편한심리상담센터|서울특별시 강남구 강남대로84길 23 (역삼동)|1013호|025671142
종합광고대행|(주)매드코퍼레이션|서울특별시 강남구 봉은사로20길 38 (역삼동)|2층 1호(역삼동)|0269522035
귀금속 및 악세서리 제조업|(주)매즈믹|서울특별시 강남구 도곡로 225 (역삼동)|이스타빌 205|07041060777
건축설계|(주)맥스트랫건축사사무소|서울특별시 강남구 봉은사로84길 6 (삼성동)|301호|025691536
영어교육|(주)맨하탄어학원|서울특별시 강남구 강남대로94길 11 (역삼동)|4,5층|0232880505
화장품|(주)멋진인생 강남역삼점|서울특별시 강남구 언주로 337 (역삼동)|동영문화센터 지하1층|0220517779
건축사사무소|(주)메조파트너스건축사사무소|서울특별시 강남구 언주로71길 11 (역삼동)|3층|0234532460
보습학원|(주)명석|서울특별시 강남구 도곡로 447 (대치동)|제일빌딩 3층|025660533
입시,보습학원|(주)명인에듀|서울특별시 강남구 도곡로 408 (대치동)|2층|025520484
전자상거래,농수산물,온라인정보제공|(주)모아에스엔|서울특별시 강남구 역삼로14길 13 (역삼동)|203호|0216447140
국내외여행|(주)모어투어|서울특별시 강남구 역삼로 170 (역삼동)|리오빌딩 4층|027110782
악기및악기부품무역, 악기 및 악기부품, 공연기획업|(주)뮤직포스글로벌네트웍스|서울특별시 강남구 논현로71길 10(역삼동)|써밋빌딩 지하 1층|0234745150
음반,비디오물및도서, 전자상거래|(주)뮤직플랜트|서울특별시 강남구 강남대로162길 20 (신사동)|뮤직플랜트|07047890505
전자상거래 소매업|(주)뮬라(뮬라프렌즈 가로수길점)|서울특별시 강남구 압구정로4길 13-12 (신사동)|(주)뮬라(뮬라프렌즈 가로수길점)|0261044541
건축사|(주)미공종합건축사사무소|서울특별시 강남구 강남대로94길 67 (역삼동)|6층|025616013
한식 일반 음식점업|(주)미남옥|서울특별시 강남구 언주로153길 12 (신사동)|1층|025495553
녹음시설 운영업|(주)미디어링크드|서울특별시 강남구 논현로157길 22(신사동)|(주)미디어링크드|0220393450
조경설계|(주)민조경도시설계사무소|서울특별시 강남구 논현로118길 20 (논현동)|백향빌딩 402호|0234469247
필라테스 운영업|(주)밀론강남|서울특별시 강남구 테헤란로 142 (역삼동)|지하1층|025545230
운동및경기용품소매업 1인미디어콘텐츠창작자|(주)바디스|서울특별시 강남구 학동로28길 5(논현동)|지하1층|0264067177
요가|(주)바디퍼포먼스짐 양재역점|서울특별시 강남구 강남대로 240 (도곡동)|지하2층  바디퍼포먼스짐|025710058
스포츠용품,골프용품|(주)바른스포츠|서울특별시 강남구 역삼로 461 (대치동)|1층 바이셀골프|025114445
자전거|(주)바이키|서울특별시 강남구 개포로15길 3-4 (개포동)|1층|-
휴게음식점|(주)박가네빈대떡육회역삼점|서울특별시 강남구 봉은사로20길 54(역삼동)|1층 6호 (역삼동)|07044734985
일반음식점|(주)반아디자인그룹 삼성동지점 고감식당|서울특별시 강남구 테헤란로107길 11 (삼성동)|성보타운 106호 고감식당|025561906
일반음식|(주)반촌밥상 순대실록|서울특별시 강남구 광평로 246 (수서동)|1층 순대실록|0234113314
기타 예술학원|(주)발레베리떼|서울특별시 강남구 논현로167길 11(신사동)|6층 601호|-
연기교육업|(주)배우마당연기학원|서울특별시 강남구 논현로175길 60 (신사동)|4층|025124188
외국어학원|(주)밸런스잉글리쉬|서울특별시 강남구 자곡로 120(자곡동)|503,504,505호|024597775
환경디자인기획,건축환경컨설팅|(주)보임플래닝|서울특별시 강남구 선릉로 704 (청담동)|벤처프라자12층|025407930
