NAME|CAT|OLDADDR|NEWADDR|TELL|URL
필프리투 (2022년1월오픈예정)|음식점/카페//|경기 용인시 기흥구 영덕동 1277 대동메디칼 1층|경기 용인시 기흥구 흥덕1로 5-8||https://www.instagram.com/feel_free_to__/
우성어반타워 (2022년2월예정)|부동산/빌딩//|서울 송파구 거여동 산 38|||
잠실본동복합청사 (2022년2월예정)|사회,공공기관/단체,협회/사회복지시설/|서울 송파구 잠실동 230-4|||
서울숲에이원센터 (2022년2월예정)|부동산/빌딩//|서울 성동구 성수동1가 13-209|||
다락방 초밥집 (2022년2월예정)|음식점/일식/초밥,롤/|서울 강동구 길동 390-21|서울 강동구 진황도로47길 59||https://instagram.com/darak.bbang
가천대학교 글로벌캠퍼스 AI관(2022년2월예정)|교육,학문/학교부속시설//|경기 성남시 수정구 복정동 505-5|||
가천대학교 글로벌캠퍼스 제3기숙사(2022년2월예정)|부동산/주거시설/기숙사,기숙시설/|경기 성남시 수정구 복정동 505-6|||
잇올 스파르타 성동센터(2022년 2월 예정)|교육,학문/학원//|서울 성동구 하왕십리동 1070 센트라스비즈오피스텔131동 5층|서울 성동구 왕십리로 410||http://www.itall.com
성남글로벌융합센터 (2022년2월예정)|부동산/빌딩//|경기 성남시 수정구 시흥동 293-4||1833-4417|
왕십리제2동 공공복합청사 (2022년2월예정)|문화,예술/문화시설//|서울 성동구 하왕십리동 973-9|||
국립대한민국임시정부기념관 (2022년2월예정)|문화,예술/문화시설/기념관/|서울 서대문구 현저동 산 5-5|||http://www.nmkpg.go.kr
부천시립별빛마루도서관 (2022년2월예정)|교육,학문/학습시설/도서관/|경기 부천시 옥길동 772|||
목감119안전센터 (2022년2월예정)|사회,공공기관/행정기관/소방서/119안전센터|경기 시흥시 조남동 694|경기 시흥시 목감우회로 15||
영통현대테라타워 지식산업센터 (2022년2월예정)|부동산/빌딩//|경기 수원시 영통구 원천동 381-1|||http://youngtongteratower.modoo.at/
수주도서관 (2022년2월예정)|교육,학문/학습시설/도서관/|경기 부천시 고강동 산 90|||
멘토즈스터디카페 분당수내점(2022년2월오픈예정)|서비스,산업/전문대행/공간대여/스터디카페,스터디룸|경기 성남시 분당구 정자동 46-3 신흥상가 201~202호|경기 성남시 분당구 백현로 148||https://blog.naver.com/mentors8272/
곤지암비즈니스센터 (2022년2월예정)|부동산/빌딩//|경기 광주시 곤지암읍 신대리 87|||
베스트프라자 (2022년2월예정)|가정,생활/상가,아케이드//|경기 김포시 고촌읍 신곡리 951-8|||
검단세중시그니쳐 (2022년2월예정)|가정,생활/상가,아케이드//|인천 서구 원당동 434-13|||
검단1고등학교 (2022년2월예정)|교육,학문/학교/고등학교/|인천 서구 당하동 산 39-3|||
한국공기과학시험연구원 (2022년2월예정)|교육,학문/연구소//|인천 서구 청라동 204-6|||
운서역유토피아 (2022년2월예정)|가정,생활/상가,아케이드//|인천 중구 운서동 3099-4|||
아산시 음봉어울샘도서관 (2022년2월예정)|교육,학문/학습시설/도서관/|충남 아산시 음봉면 월랑리 701|||
잇올 스파르타 춘천센터(2022년 2월 예정)|교육,학문/학원//|강원 춘천시 석사동 888-1 스타플러스빌딩 4층|강원 춘천시 퇴계농공로 11|010-2053-1530|https://www.itall.com
산업단지 복합문화센터 (2022년2월예정)|교육,학문/문화센터//|충북 음성군 대소면 태생리 605|충북 음성군 대소면 대화3길 13-14||
잇올 스파르타 원주센터 (2022년 2월 예정)|교육,학문/학원//|강원 원주시 단구동 1512-2 광장빌딩 4층|강원 원주시 서원대로 408|010-2076-1534|https://www.itall.com
굿럭카페 (2022년2월1일 예정)|음식점/카페//|세종특별자치시 조치원읍 원리 141-9|세종특별자치시 조치원읍 보람길 5-1||
기적의도서관 (2022년2월예정)|교육,학문/학습시설/도서관/|강원 인제군 인제읍 상동리 413-1|||
119특수구조단 (2022년2월예정)|사회,공공기관/행정기관/소방본부/|세종특별자치시 어진동 3-78|||
경상북도교육청 서부수학체험센터(2022년2월예정)|교육,학문/교육단체/체험학습장/|경북 상주시 남성동 188-3|경북 상주시 왕산로 41||
황남밀면보문점 (2022년 2월 예정)|음식점/한식/냉면/|경북 경주시 신평동 719-143|경북 경주시 보문로 424-34|054-742-0045|
김천시공공산후조리원 (2022년2월예정)|의료,건강/임신,출산/산후조리원/|경북 김천시 모암동 190-2|경북 김천시 모암사랑5길 13||
의령소방서 정곡119안전센터 (2022년2월예정)|사회,공공기관/행정기관/소방서/119안전센터|경남 의령군 정곡면 중교리 248|||
포항북부경찰서 신청사(2022년2월예정)|사회,공공기관/행정기관/경찰서/|경북 포항시 북구 양덕동 산 127-1|||
국회부산도서관 (2022년 2월 개관 예정)|교육,학문/학습시설/도서관/|부산 강서구 명지동 3633|부산 강서구 명지국제1로 161||http://busan.nanet.go.kr
가호동행정복지센터 신청사 (2022년2월예정)|사회,공공기관/지방행정기관/행정복지센터/|경남 진주시 가좌동 1966|경남 진주시 진주역로95번길 6||
창녕군육아지원센터 (2022년2월예정)|사회,공공기관/단체,협회/사회복지시설/아동복지시설|경남 창녕군 창녕읍 말흘리 771-2|경남 창녕군 창녕읍 창녕대로 172||
관산식당 (2022년2월예정)|음식점/한식/냉면/|전남 고흥군 고흥읍 남계리 223-4|전남 고흥군 고흥읍 고흥로 1896|061-835-3463|
카페이플 본점(2022년2월오픈예정)|음식점/카페//|광주 남구 백운동 362-52 1층|광주 남구 중앙로50번길 8||https://www.instagram.com/__eepple
중구야구장 (2022년2월예정)|스포츠,레저/야구/야구장/|울산 중구 성안동 631|||
사천시 정신건강복지센터 (2022년2월예정)|사회,공공기관/단체,협회/사회복지시설/|경남 사천시 용현면 덕곡리 717-2||055-831-2795|
부산 북항 마리나 (2022년 2월 예정)|여행/숙박/콘도,리조트/|부산 중구 중앙동4가 15-8|부산 중구 충장대로 54||
멘토즈스터디카페 율하2지구점(2022년 2월 오픈예정)|서비스,산업/전문대행/공간대여/스터디카페,스터디룸|경남 김해시 장유동 843-6 306, 307호|경남 김해시 율하숲길 24||https://blog.naver.com/mentors8272/
덕수고등학교 (2022년3월예정)|교육,학문/학교/고등학교/|서울 송파구 거여동 652|서울 송파구 위례북로 10||
거암유치원 (2022년3월예정)|교육,학문/유아교육/유치원/|서울 송파구 거여동 653|서울 송파구 위례송파로 121||
패스트랙키즈 대치캠퍼스(2022년3월예정)|교육,학문/학원/어학원/영어학원|서울 강남구 일원동 718|서울 강남구 일원로 120|02-576-8233|https://blog.naver.com/dus3292
위례솔중학교 (2022년3월예정)|교육,학문/학교/중학교/|서울 송파구 거여동 649|서울 송파구 위례북로2길 10||
서울위례솔초등학교 (2022년3월예정)|교육,학문/학교/초등학교/|서울 송파구 거여동 649|서울 송파구 위례북로2길 12||
동국제약 청담동사옥(2022년3월예정)|부동산/빌딩//|서울 강남구 청담동 71-18|서울 강남구 영동대로 715||
성남제1공단 근린공원 (2022년3월예정)|여행/공원/도시근린공원/|경기 성남시 수정구 신흥동 2456|경기 성남시 수정구 희망로 475||
강남취창업허브센터 (2022년3월예정)|사회,공공기관/행정기관//|서울 강남구 역삼동 789-11|서울 강남구 역삼로 160||
성남아트리움 (2022년3월예정)|문화,예술/문화시설//|경기 성남시 수정구 태평동 3309|경기 성남시 수정구 수정로171번길 10||
가톨릭대학교 성의교정 옴니버스파크(2022년 3월 완공예정)|의료,건강/병원부속시설//|서울 서초구 반포동 505|||
한강DIMC테라타워 (2022년3월예정)|부동산/빌딩//|경기 남양주시 다산동 203-1|||
남현제1공영주차장 (2022년3월예정)|교통,수송/교통시설/주차장/공영주차장|서울 관악구 남현동 1063-1|||
중앙대학교 광명병원 (2022년3월예정)|의료,건강/병원/대학병원/|경기 광명시 일직동 501|||https://www.caugmc.or.kr
오남역 (2022년3월예정)|교통,수송/지하철,전철//|경기 남양주시 오남읍 양지리 723-4|||
공공지식산업센터2차 (2022년3월예정)|부동산/빌딩//|경기 성남시 수정구 금토동 422-1|||
의정부지방검찰청 남양주지청(2022년3월예정)|사회,공공기관/행정기관/검찰청/지방검찰청|경기 남양주시 다산동 3232|경기 남양주시 다산중앙로82번안길 149||
별내별가람역 (2022년3월예정)|교통,수송/지하철,전철//|경기 남양주시 별내동 836|||
의정부지방법원 남양주지원(2022년 3월 예정)|사회,공공기관/사법기관/법원/지방법원|경기 남양주시 다산동 3215-6|경기 남양주시 다산중앙로82번안길 161||
가산한화비즈메트로2차 (2022년3월예정)|부동산/빌딩//|서울 금천구 가산동 554-2|||
다산새봄중학교 (2022년3월예정)|교육,학문/학교/중학교/|경기 남양주시 다산동 6129|||
LG아트센터 (2022년3월예정)|문화,예술/문화시설/공연장,연극극장/|서울 강서구 마곡동 812|서울 강서구 마곡중앙로 136||
원종역 (2022년3월예정)|교통,수송/지하철,전철//|경기 부천시 원종동 404|||
국공립백현하나어린이집 (2022년3월개원예정)|교육,학문/유아교육/어린이집/|경기 성남시 분당구 백현동 523|경기 성남시 분당구 판교역로 87|031-709-5230|
부천소사경찰서 (2022년3월예정)|사회,공공기관/행정기관/경찰서/|경기 부천시 옥길동 793-4||182|http://www.ggpolice.go.kr/bcss/
범박중학교 (2022년3월예정)|교육,학문/학교/중학교/|경기 부천시 범박동 232-3|||
마들보건지소 (2022년3월예정)|의료,건강/보건소/보건지소/|서울 노원구 상계동 1035-1|||
지축아인시티프라자 (2022년3월예정)|가정,생활/상가,아케이드//|경기 고양시 덕양구 지축동 680-2||1661-1342|
콩게미 (2022년3월예정)|음식점/한식/국수/|경기 용인시 기흥구 고매동 546-24 1층|경기 용인시 기흥구 공세로 20|031-285-5277|
한국공학대학교 (2022년3월 명칭변경예정)|교육,학문/학교/대학교/|경기 시흥시 정왕동 2121-1|경기 시흥시 산기대학로 237|031-8041-1000|http://www.kpu.ac.kr
독도체험관 (2022년3월예정)|교육,학문/교육단체/체험학습장/|서울 영등포구 영등포동4가 442 지하2층|서울 영등포구 영중로 15||
부천종합운동장역 (2022년3월예정)|교통,수송/지하철,전철//|경기 부천시 여월동 151-1|||
서남권안전교육센터 (2022년3월예정)|교육,학문///|서울 강서구 내발산동 739|서울 강서구 마곡중앙로 11||
치동중학교 (2022년3월개교예정)|교육,학문/학교/중학교/|경기 화성시 영천동 790|||
산업역사박물관 (2022년3월예정)|문화,예술/문화시설/박물관/|경기 안산시 단원구 초지동 667|||
스마트팩토리 (2023년3월예정)|교육,학문/연구소//|경기 안산시 상록구 사동 1639-9|||
현송중학교 (2022년 3월 예정)|교육,학문/학교/중학교/|인천 연수구 송도동 399-11|||
인천이음중학교 (2022년3월예정)|교육,학문/학교/중학교/|인천 서구 원당동 90-2|||
아라중학교 (2022년3월예정)|교육,학문/학교/중학교/|인천 서구 당하동 산 41-1|||
마산동행정복지센터 (2022년3월준공예정)|사회,공공기관/지방행정기관/행정복지센터/|경기 김포시 마산동 619-1||031-5186-3819|
고덕초등학교 (2022년3월개교예정)|교육,학문/학교/초등학교/|경기 평택시 고덕면 좌교리 275-1|||
시저스코리아 복합리조트 (2022년3월예정)|여행/숙박/콘도,리조트/|인천 중구 운북동 1276-7|||
메가스퀘어 (2022년3월예정)|가정,생활/상가,아케이드//|경기 시흥시 정왕동 2718-2|||
반려동물테마파크 (2022년3월예정)|여행/관광,명소/테마파크/|경기 여주시 상거동 산 16-3|||
동패유치원 (2022년3월 예정)|교육,학문/유아교육/유치원/|경기 파주시 동패동 1795|경기 파주시 교하로 272||
이천공영주차장 (2022년3월예정)|교통,수송/교통시설/주차장/공영주차장|경기 이천시 중리동 449|||
노마드하우스 (2022년3월예정)|음식점/카페//|강원 홍천군 남면 남노일리 205|강원 홍천군 남면 남노일로 1077||
남부인지건강센터 (2022년3월예정)|사회,공공기관/단체,협회/사회복지시설/노인복지시설|인천 강화군 길상면 온수리 470-13|||
CGV 인제원통(2022년1월예정)|문화,예술/영화,영상/영화관/CJCGV|강원 인제군 북면 원통리 459-4|강원 인제군 북면 금강로11번길 19|1544-1122|
세종예술의전당 (2022년3월예정)|문화,예술/문화시설/공연장,연극극장/|세종특별자치시 나성동 267|세종특별자치시 국립박물관로 21||
조치원읍 제2복합커뮤니티센터 (2022년3월예정)|교육,학문/문화센터//|세종특별자치시 조치원읍 신흥리 227-1|||
금강보행교 (2022년3월예정)|교통,수송/도로시설/교량,다리/|세종특별자치시 연기면 세종리 29-111|||
태안UV랜드 (2022년3월예정)|문화,예술/사진/항공촬영/|충남 태안군 남면 양잠리 1271-4|충남 태안군 남면 기업도시로 1133||
세종교육청안전체험교육원 (2022년3월예정)|사회,공공기관/행정기관/행정기관관련기타/|세종특별자치시 조치원읍 서창리 308|세종특별자치시 조치원읍 내창천로 54||
동남2유치원 (2022년3월예정)|교육,학문/유아교육/유치원/|충북 청주시 상당구 용암동 2943-258|충북 청주시 상당구 동남로135번길 10||
한국전통문화대학교 세종캠퍼스(2022년3월예정)|교육,학문/학교/대학교/|세종특별자치시 다정동 965 가온마을7단지 상가 B2호|||
동행애견스포츠 직업전문학교 (2022년3월예정)|교육,학문/직업전문교육//|충남 예산군 봉산면 대지리 439-3|||https://dhworldpet.com/애견스포츠-훈련센터
대전원신흥중학교 (2022년3월예정)|교육,학문/학교/중학교/|대전 유성구 원신흥동 526|대전 유성구 동서대로735번길 20||
시민문화타워 (2022년3월예정)|문화,예술/문화시설//|충북 제천시 하소동 71-7|||
서산시 육아종합지원센터 (2022년3월예정)|사회,공공기관/단체,협회/사회복지시설/아동복지시설|충남 서산시 석림동 762-1|||
청주시365열린장애인돌봄센터 (2022년3월예정)|사회,공공기관/단체,협회/사회복지시설/장애인복지시설|충북 청주시 서원구 산남동 1088|||
대전호수초등학교 (2022년3월예정)|교육,학문/학교/초등학교/|대전 서구 도안동 195|대전 서구 도안동로 182-20||
대전산업단지 완충저류시설 (2022년3월예정)|서비스,산업/환경//|대전 대덕구 대화동 63-11|대전 대덕구 대화로32번길 175||
메가박스 대구신서(2022년3월예정)|문화,예술/영화,영상/영화관/메가박스|대구 동구 신서동 1188-1||1544-0070|
국립청소년미래환경센터 (2022년3월예정)|교육,학문/교육단체/청소년수련시설/|경북 봉화군 춘양면 서벽리 503-1|경북 봉화군 춘양면 춘양로 1466|02-330-2826|
봉화소방서 (2022년3월예정)|사회,공공기관/행정기관/소방서/|경북 봉화군 봉화읍 해저리 617-7|||
서대구역 (2022년3월예정)|교통,수송/기차,철도/기차역/KTX정차역|대구 서구 이현동 747-1|||http://www.letskorail.com/
롯데마트 맥스 창원중앙점(2022년3월예정)|가정,생활/대형마트/롯데마트/|경남 창원시 성산구 중앙동 92|경남 창원시 성산구 중앙대로 123|055-240-2500|http://www.lottemart.com
한국미래농업고등학교 (2022년 3월 명칭변경 예정)|교육,학문/학교/고등학교/|경북 상주시 모동면 덕곡리 1073|경북 상주시 모동면 덕곡1길 13|054-533-4080|
한국에너지공과대학교 (2022년 3월 예정)|교육,학문/학교/대학교/|전남 나주시 빛가람동|전남 나주시 혁신로 200||
군산금빛초등학교 (2022년3월예정)|교육,학문/학교/초등학교/|전북 군산시 조촌동 2-94|||
국가정보자원관리원 대구센터(2022년3월예정)|사회,공공기관/지방행정기관//|대구 동구 도학동 448|||https://www.nirs.go.kr
청송소방서 (2022년3월예정)|사회,공공기관/행정기관/소방서/|경북 청송군 청송읍 금곡리 716|||
연지공원푸르지오아파트 (2022년03월예정)|부동산/주거시설/아파트/|경남 김해시 내동 121-2|||
중심상가주차타워 (2022년3월예정)|교통,수송/교통시설/주차장/공영주차장|경북 경주시 황오동 244|||
광주예술중학교 (2022년3월예정)|교육,학문/학교/중학교/|광주 북구 매곡동 385|광주 북구 서하로 72||
죽변면사무소 신청사 (2022년3월예정)|사회,공공기관/지방행정기관/행정복지센터/면사무소|경북 울진군 죽변면 후정리 328|||
남구국제스포츠클라이밍장 (2022년3월예정)|스포츠,레저/클라이밍//|대구 남구 봉덕동 산 132-7||053-476-2184|
롯데월드 매직포레스트 (2022년3월예정)|여행/관광,명소/테마파크/|부산 기장군 기장읍 시랑리 348-2||1661-2000|https://adventure.lotteworld.com/
최윤덕도서관 (2022년3월예정)|교육,학문/학습시설/도서관/|경남 창원시 의창구 북면 무동리 103-2|||
빛고을생생병원 (2022년3월예정)|의료,건강/병원//|광주 북구 각화동 480-105|광주 북구 각화대로 7||
관촌면체육문화센터 (2022년3월예정)|교육,학문/문화센터//|전북 임실군 관촌면 관촌리 518-5|||
건강가정다문화가족지원센터 (2022년3월예정)|사회,공공기관/단체,협회/사회복지시설/|경남 산청군 산청읍 옥산리 725 2층|경남 산청군 산청읍 웅석봉로86번길 9-19||
경북휴먼테크고등학교 (2022년3월명칭변경예정)|교육,학문/학교/고등학교/|경북 영천시 금호읍 교대리 172-1|경북 영천시 금호읍 교대길 8-18||http://school.gyo6.net/gumhohs
두암팔팔정형외과 (2022년 3월 예정)|의료,건강/병원/정형외과/|광주 북구 두암동 985-3|광주 북구 밤실로 162||https://blog.naver.com/duam88
아쿠아드림파크 (2022년3월예정)|스포츠,레저/수영,수상/수영장/|부산 기장군 정관읍 모전리 676|||
서구복합커뮤니티센터 (2022년3월예정)|문화,예술/문화시설//|광주 서구 풍암동 산 14-48|광주 서구 풍암공원로 30||
산청복지타운 (2022년3월예정)|사회,공공기관/단체,협회/사회복지시설/|경남 산청군 산청읍 옥산리 725|경남 산청군 산청읍 웅석봉로86번길 9-19||
장난감백화점 (2022년3월예정)|가정,생활/유아/장난감,완구/|경남 산청군 산청읍 옥산리 725 1층|경남 산청군 산청읍 웅석봉로86번길 9-19||
공동육아나눔터 (2022년3월예정)|사회,공공기관/단체,협회/사회복지시설/아동복지시설|경남 산청군 산청읍 옥산리 725 1층|경남 산청군 산청읍 웅석봉로86번길 9-19||
관산칡냉면 (2022년3월예정)|음식점/한식/냉면/|전남 화순군 화순읍 벽라리 177-31|||
온샘초등학교 (2022년3월예정)|교육,학문/학교/초등학교/|부산 동래구 온천동 968-3|부산 동래구 충렬대로75번길 25||
부산패션비즈센터 (2022년3월예정)|부동산/빌딩//|부산 동구 범일동 26-4|||
세연고등학교 (2022년3월 명칭변경 예정)|교육,학문/학교/고등학교/특성화고등학교|부산 남구 대연동 1799-4|부산 남구 진남로 82-19|051-632-4251|http://bts.hs.kr
울산시티컨벤션 (2022년3월예정)|가정,생활/결혼/예식장/|울산 중구 남외동 865|울산 중구 염포로 55||
전기기술인협회 영남권 교육관(2022년3월예정)|사회,공공기관/단체,협회//|부산 금정구 남산동 120-5|||
부산수학문화관 (2022년3월예정)|교육,학문/학습시설//|부산 부산진구 부전동 376|||
수운최제우유허지 동학관(2022년3월예정)|여행/관광,명소/문화유적/유적지|울산 중구 유곡동 623|||
국민해양안전관 (2022년3월예정)|사회,공공기관/지방행정기관//|전남 진도군 임회면 남동리 산 90|||
제주혁신도시 복합혁신센터 (2022년3월예정)|부동산/빌딩//|제주특별자치도 서귀포시 서호동 1604|||
약산해양치유체험센터 (2022년3월예정)|교육,학문/교육단체/체험학습장/|전남 완도군 약산면 해동리 산 123-1|||
완도다목적실내체육관 (2022년3월예정)|스포츠,레저/스포츠시설/체육관/|전남 완도군 완도읍 가용리 50-22|||
가하프라자 (2022년4월예정)|부동산/빌딩//|경기 하남시 학암동 산 1-1|||
더라움 에비뉴 (2022년4월예정)|가정,생활/상가,아케이드//|서울 광진구 자양동 2-51|||
남한산성순환도로확장공사 (2022년4월예정)|교통,수송/도로시설/도로명/|경기 성남시 수정구 양지동 937-3|||
서울바이오허브 글로벌협력동(2022년4월예정)|교육,학문/연구소//|서울 동대문구 회기동 109-140|서울 동대문구 회기로 117-3||
서울시립청소년음악창작센터 (2022년4월예정)|사회,공공기관/단체,협회//|서울 양천구 신정동 1290-6|||
방화2동주민센터 (2022년4월이전예정)|사회,공공기관/지방행정기관/행정복지센터/주민센터|서울 강서구 방화동 850||02-2600-5235|
그란비아스타 (2022년4월예정)|가정,생활/상가,아케이드//|경기 화성시 청계동 510-299|||
송도AT센터 (2022년4월예정)|부동산/빌딩//|인천 연수구 송도동 172-5|||
이글몬트CC (2022년4월예정)|스포츠,레저/골프/골프장/|경기 안성시 보개면 동평리 1|경기 안성시 보개면 보삼로 106|031-675-7000|
디원시티시그니처 (2022년4월예정)|부동산/빌딩//|경기 김포시 구래동 6871-12|경기 김포시 김포한강10로133번길 107||http://디원시티시그니처.com
계양구보건소 (2022년4월예정)|의료,건강/보건소//|인천 계양구 계산동 1077-2|||
샹보르영무파라드 (2022년4월예정)|부동산/빌딩//|경기 김포시 구래동 6871-60|||
아인시티 주차타워 (2022년4월예정)|교통,수송/교통시설/주차장/주차빌딩|인천 서구 원당동 537-2||1877-3217|http://aincityparking.modoo.at
춘천농협 농수산물종합유통센터(2022년4월예정)|문화,예술/문화시설//|강원 춘천시 석사동 980|||
춘천 지역먹거리 직매장 (2022년 4월 예정)|가정,생활/식품판매//|강원 춘천시 삼천동 22-15|||
대전컨벤션센터 제2전시장(2022년4월예정)|문화,예술/문화시설/전시관/|대전 유성구 도룡동 3-8|대전 유성구 엑스포로 87||
한국불교문화체험관 (2022년4월예정)|문화,예술/문화시설/박물관/|세종특별자치시 연기면 세종리 산 82|||
방림글램핑장 (2022년4월예정)|여행/숙박/야영,캠핑장/|강원 평창군 방림면 방림리 1681|||
충남대학교병원 병원체자원 공용연구시설(2022년4월예정)|의료,건강/병원부속시설//|대전 중구 문화동 6 의생명융합연구센터 6층|||
무등경기장 무등야구장 (2022년 4월 예정)|스포츠,레저/야구/야구장/|광주 북구 임동 316|광주 북구 서림로 10|062-604-2800|
대구외곽순환고속도로 (2022년4월예정)|교통,수송/도로시설/도로명/|대구 동구 도동 산 47|||
대구도서관 (2022년4월예정)|교육,학문/학습시설/도서관/|대구 남구 대명동 67-2|||
전통한지생산시설 (2022년4월예정)|문화,예술/미술,공예//|전북 전주시 완산구 서서학동 998-8|전북 전주시 완산구 흑석로 85||
동해안119특수구조단 (2022년4월예정)|사회,공공기관/지방행정기관//|경북 포항시 북구 기계면 내단리 산 27-15|||
남목도서관 (2022년4월예정)|교육,학문/학습시설/도서관/|울산 동구 동부동 365|울산 동구 남목12길 10||
나인몰 (2022년4월예정)|가정,생활/복합쇼핑몰//|제주특별자치도 제주시 연동 1454||1577-2383|
