##NAME|SUBNAME|TELNUM|ADDR|COST|FEAT|SOURCE2@@고시원
더존하우스||02-3481-0207|서울시 동작구 사당동 252-17번지 서림빌딩 5층|30~45||고시원닷넷
백석고시원||032-671-4545|경기도 부천시 원미구 도당동 283-7|19~25||고시원닷넷
베스트리빙텔|신림점|02-878-3377|서울시 관악구 신림동 1433-24번지. 2층 베스트리빙텔|25~40||고시원닷넷
에이스고시텔||031-222-8980|경기도 화성시 태안읍 병점리 386-12 동아골드프라자4층|22~38||고시원닷넷
엘린하우스||02-931-2455|서울 노원구 상계동 336번지 4층|40~55||고시원닷넷
풀하우스리빙텔||070-8778-8789|경기도 여주시 홍문동 269-1|-~||고시원닷넷
삼성고시원||031-232-7676|경기도 수원시 권선동 1025-1 (권광로 114)|19~40||고시원닷넷
HJ리빙텔|인계점|031-222-6780|경기도 수원시 팔달구 인계동 1118-3|-~||고시원닷넷
라폐고시텔||031-932-1345|경기도 고양시 일산구 장항동 760 남정씨티프라자1 (7층)|~||고시원닷넷
오산원룸텔||031-3789-080|경기도 오산시 원동 275-1|33~36||고시원닷넷
파인하우스|이대점|02-365-8202|서울시 서대문구 대현동 67-67 (신촌로 201 춘강빌딩 4~6)|28~45||고시원닷넷
햇살가득한방고시텔||02-2648-9101|서울 양천구 신정동 85-169 (신목로 65 아이빌딩 3 ~ 5층)|25~35||고시원닷넷
드림타운||031-251-3311|경기도 수원시 팔달구 매산로2가 5-3 드림타운|20~40||고시원닷넷
오산성산고시텔||031-377-1101|경기도 오산시 오산동 523-18|26~29||고시원닷넷
하이리빙고시텔||02-3285-8887|서울시 관악구 서원동 10-11|27~36||고시원닷넷
모던하우스/원룸텔||032-329-4396|경기도 부천시 원미 상동 463 그린프라자 9층 모던하우스|38~50||고시원닷넷
웰컴고시텔||031-205-7788|경기도 수원시 영통구 영통동 974-8|30~45||고시원닷넷
청아리빙텔||02-383-2581|서울시 은평구 수색동 376-6 ( 수색로 285로)|40~55||고시원닷넷
그린고시텔||031-842-0347|경기도 의정부시 의정부1동 197-13|-~||고시원닷넷
탑레지던스|이수(사당)점|02-521-4536|서울 동작구 사당4동 272-38|24~33||고시원닷넷
런던하우스||070-8146-7688|서울 강남구 역삼동 746-14|45~65||고시원닷넷
이레원룸텔||02-362-0888|서울시 마포구 아현동 710-1(한국상하수도사업소옆)|28~45||고시원닷넷
캐슬고시텔||02-312-3515|서울시 서대문구 충정로 3가 3-73|30~40||고시원닷넷
오렌지레지던스||02-518-7181|서울 서초구 잠원동 26-15 우림빌딩|34~49||고시원닷넷
심플하우스|미아점|02-980-4462|서울 강북구 미아동 762-81|28~50||고시원닷넷
노매드원룸텔||02-778-5678|서울시 중구 충무로4가 120-3 진양상가 17층|-~||고시원닷넷
웰컴투고시텔||02-831-3831|서울시 영등포구 신길동 65-52|20~40||고시원닷넷
리딩뱅크고시원||02-987-9486|서울시 강북구 미아동 126-3|23~30||고시원닷넷
이삭고시텔||02-995-1338|서울시 강북구 수유동 229-18|22~30||고시원닷넷
비젼원룸텔||02-949-3778|서울시 중랑구 묵동 245-4 비전원룸텔3층|38~45||고시원닷넷
포유원룸텔||02-858-3455|서울 금천구 독산동 299-31|40~50||고시원닷넷
심플하우스|종로5가점|02-744-7773|서울시 종로구 인의동 48-17|-~||고시원닷넷
거성고시원||032-507-4242|인천시 부평구 부평4동 370-27|18~25||고시원닷넷
라임하우스|교대점|02-522-9887|서울시 서초구 서초동 1056-17|43~65||고시원닷넷
보보레지던스분당||031-704-8680|경기도 성남시 분당 야탑동 361-3 금탑프라자 7층 보보레지던스|35~45||고시원닷넷
하이리빙텔||02-456-7797|서울 광진구 자양동 216-7 4층|25~38||고시원닷넷
오산역/중원고시텔||031-373-9997|경기도 오산시 오산동 543-7|-~||고시원닷넷
하이리빙텔||02-575-8212|서울 서초구 양재동 9번지|28~45||고시원닷넷
한빛고시원||02-815-4410|서울시 동작구 노량진2동 246-1|31~36||고시원닷넷
대원고시원||02-813-6810|서울 동작구 노량진동 232-251|25~30||고시원닷넷
그린빌고시룸||032-344-7666|경기도 부천시 역곡동 80-7|18~24||고시원닷넷
하이레지던스|신촌점|02-322-5870|서울시 서대문구 창천동 52-51|30~40||고시원닷넷
심플하우스|삼성병원점|02-2226-5182|서울 강남구 일원동 645|45~70||고시원닷넷
웰빙텔|연대점|010-5895-3569|서울 서대문구 창천동 52-134 3층 웰빙텔|18~43||고시원닷넷
풀하우스/리빙텔||02-419-3441|서울특별시 송파구 잠실본동 189-4|25~50||고시원닷넷
금정고시텔||02-833-9027|서울시 영등포구 신길동 466-7|25~38||고시원닷넷
빌라M원룸텔||010-3933-8647|경기도 안산시 고잔동 708번지 309,310호|35~48||고시원닷넷
심플하우스|동대역점|02-2273-8988|서울시 중구 장충동 2가 187-26|-~||고시원닷넷
플러스리빙텔||031-202-1199|경기도 수원시 영통구 영통동 1009-2|35~50||고시원닷넷
이삭미니텔고시원||02-2666-2223|서울시 강서구  방화2동 614-8|25~28||고시원닷넷
라임빌|서초/남부터미널점|070-8118-6488|서울시 서초구 서초동 1431-4|34~58||고시원닷넷
쉐르빌원룸텔||02-473-2360|서울 강동구 길동 333-3|30~60||고시원닷넷
마이홈원룸텔|합정점|02-322-7069|서울 마포구 합정동 383-26|53~60||고시원닷넷
쉐르빌원룸텔/&/고시텔||031-781-6659|경기도 성남시 분당구 서현동 265-6(태성빌딩 8층)|30~||고시원닷넷
베스트원룸텔||031-541-0777|경기 포천시 소흘읍 송우리 729-4번지 대한프라자8층|-24~38||고시원닷넷
모모고시텔||031-964-8812|경기도 고양시 덕양구 화정동 968-1 장원플라자 8층|25~38||고시원닷넷
e고시텔||032-506-8430|인천시 부평구 부평동 605-8|20~25||고시원닷넷
홍대고시텔||010-9879-9883|서울시 마포구 서교동 356-3|32~40||고시원닷넷
송희고시원||02-704-2775|서울 마포구 공덕동 30-3 송희빌딩 5층 (만리동 고개)|18~45||고시원닷넷
페파민트/오피스||032-347-0274|경기도 부천시 원미 소사동 13-32|35~45||고시원닷넷
코코리빙텔|구의점|02-456-4473|서울시 광진구 구의동 71-26호|20~50||고시원닷넷
비버고시텔|대방점|02-844-8420|서울시 영등포구 신길2동 110-2|28~42||고시원닷넷
한마음고시텔||02-461-0129|서울 광진구 화양동 20ㅡ25|18~45||고시원닷넷
프라젠원룸텔||031-214-2000|경기도 수원시 영통구 원천동 79-8번지|35~60||고시원닷넷
모던리빙텔||032-343-9002|경기도 부천시 소사 괴안동 127-2번지 위드프러스타워 7층|35~45||고시원닷넷
행복리빙텔||02-564-7800|서울시 강남구 역삼동 789-15|-~||고시원닷넷
이룸하우스||031-312-9700|경기도 시흥시 대야동 529-3 호경프라자 7층|30~||고시원닷넷
이지원룸텔||02-971-2959|서울 노원구 공릉로 172 반야빌딩 5층|36~52||고시원닷넷
백운고시원||032-511-0209|인천광역시 부평구 십정동 170-46 대경빌딩 4층|20~30||고시원닷넷
에코하우스||02-813-8200|서울시 동작구 노량진동 221-64 (민양로 67)|43~60||고시원닷넷
허그고시텔||031-399-6703|경기도 군포시 산본동 1137-2 여명프라자7층 (산본로323번기 26-30)|-~||고시원닷넷
한영원룸텔||02-442-8886|서울시 강동구 명일동 326-7번지 4층|25~35||고시원닷넷
보보레지던스|선릉점|02-558-6262|서울 강남구 대치동 900-4번지|30~40||고시원닷넷
스카이고시텔||031-376-3797|경기도 오산시 오산동 877-30번지|25~35||고시원닷넷
행복하우스||02-2232-1033|서울시 동대문구 신설동 114-45 (난계로26길 37)|35~40||고시원닷넷
리빙파크원룸텔||02-313-3633|서울시 중구 중림동128-15|43~60||고시원닷넷
삼성리빙텔|역곡점|032-342-9425|경기도 부천시 괴안동 113-6 우남타워 6층(경인로 509)|-~||고시원닷넷
happy&house||02-453-6969|서울시 광진구 자양동 226-38 (아차산로 305 )해피하우스 2층|40~50||고시원닷넷
심플하우스|중곡점|02-455-1171|서울시 광진구 중곡4동 115-1|35~40||고시원닷넷
SL리빙텔||051-311-6566|부산시 사상구 괘법동 536-6|33~42||고시원닷넷
하이리빙텔|오리역점|031-786-0205|경기도 성남시 분당구 구미동 179번지 광림프라자 7층|25~50||고시원닷넷
예다움원룸텔||032-541-7868|인천시 계양구 계산동 1081-4 유연프라자 4층|30~45||고시원닷넷
소호리빙텔|송파점|02-415-6660|서울시 송파구 석촌동 274-14|30~48||고시원닷넷
메르디앙/리빙텔||031-715-7005|경기도 성남시 분당구 수내동 7-4  4층 한도빌딩|32~45||고시원닷넷
신화고시원||032-425-0606|인천시 부평구 십정2동 402-58|18~37||고시원닷넷
솔고시원||02-2060-2999|서울시 구로구 개봉본동 475 영화상가 402호|19~26||고시원닷넷
부평/BS고시텔||032-516-8288|인천시 부평구 부평5동 126-9|27~38|신설원룸|고시원닷넷
코엠리빙텔|목동점|02-2647-7702|서울시 양천구 목4동 793-6 4층,5층|28~50||고시원닷넷
쉐르빌리빙텔|역삼점|02-568-4703|서울 강남구 역삼동 659-24 래성빌딩2,3층|27~60||고시원닷넷
동일고시원||02-875-5525|서울 관악구 신림동 254-104|15~23||고시원닷넷
아이게스트하우스|대학로점|02-762-2100|서울시 종로구 명륜1가 33-72 부원빌딩 2층,3층,4층|-~||고시원닷넷
오렌지레지던스||02-334-7161|서울 마포구 동교동 158-25|30~50||고시원닷넷
엘리트고시원||02-5588-373|서울 강남구 대치4동 922번지|23~55||고시원닷넷
에이원레지던스||02-723-3800|서울시 종로구 관철동 43-6|-~||고시원닷넷
삼성원룸텔|시흥점|031-431-6161|경기도 시흥시 정왕동 1737-3 4층|30~35||고시원닷넷
정자고시텔||031-714-0885|경기도 성남시 분당 정자동(한솔마을) 158-2 5층 정자고시원|29~35||고시원닷넷
아름다운싱글홈||02-994-7768|서울 강북구 수유3동 174-7호|28~35||고시원닷넷
심플하우스|명지대점|02-306-7778|서울 서대문구 홍은동 401-16|40~65||고시원닷넷
드림하우스||032-872-4691|인천시 미추홀구 용현동 96-19|25~30||고시원닷넷
드림고시텔||02-813-2033|서울 동작구 본동 190-3번지 드림고시텔 2층|26~32||고시원닷넷
씨티하우스||031-711-1300|경기도 성남시 분당 수내동(푸른마을) 8-3 가나플라자 5F 씨티하우스|45~70||고시원닷넷
싱글하우스|중동점|032-327-7574|경기도 부천시 원미 중동 1146번지 하이베라스빌딩 2층 싱글하우스|20~35||고시원닷넷
로뎀빌/리빙텔||02-895-0140|서울 금천구 독산동 1007-1호 세광빌딩 2층 로뎀빌 리빙텔|25~40||고시원닷넷
보보스빌||02-2247-0010|서울 동대문구 장안동 232-10 보명빌딩 2층|23~31||고시원닷넷
한솔리빙텔||02-817-0355|서울 동작구 등용로 124 삼하빌딩 3층|25~45||고시원닷넷
스카이/고시텔||032-543-2120|인천 계양구 계산동 1083-9|18~29||고시원닷넷
심플하우스|수내역점|031-717-4911|경기도 분당구 수내동 8-4 영성라벤더 3층|35~55||고시원닷넷
캐슬파인|서울대점|02-885-0207|서울시 관악구 낙성대동 1625-20 2,3,4층|30~45||고시원닷넷
라임하우스|신사역/가로수길점|070-8160-8887|서울시 강남구 신사동 516-7|30~54||고시원닷넷
애플리빙텔||031-897-9449|경기도 용인시 수지구 죽전동 1327 - 1 월드프라자 501호|25~40||고시원닷넷
심플하우스|군자역점|02-461-5578|서울 광진구 중곡동 638-4|40~75||고시원닷넷
삼성리빙텔|강남점|02-512-5173|서울시 서초구 반포동 746-5|50~65||고시원닷넷
노블레지던스|잠실역점|02-415-5886|서울시 송파구 송파동 57-8|40~46||고시원닷넷
노블레지던스|오류동점|02-2615-1717|서울 구로구 오류동 38-1 5층|30~39||고시원닷넷
