input|id|name|oldaddr|newaddr|tell|cat|xcord|ycord|url
네이버 2022년 1월예정|1919683114|연홍빌딩(2022년2월예정)|서울특별시 강남구 역삼동|||['시설,건물', '기업,빌딩']|127.0252680|37.5044136|
네이버 2022년 1월예정|1378974324|중건빌딩(2022년2월예정)|서울특별시 강남구 논현동|||['시설,건물', '기업,빌딩']|127.0346380|37.5134423|
네이버 2022년 1월예정|1489300167|데시앙플렉스지식산업센터(2022년2월예정)|서울특별시 강서구 등촌동 14-7|서울특별시 강서구 공항대로41길 147 한성자동차매매센터||['시설,건물', '기업,빌딩']|126.8481998|37.5642392|
네이버 2022년 1월예정|1979957487|성남글로벌융합센터(2022년2월예정)|경기도 성남시 수정구 시흥동 293-4|경기도 성남시 수정구 창업로57번길 20||['시설,건물', '기업,빌딩']|127.0949159|37.4090779|
네이버 2022년 1월예정|1252143485|상생지식산업센터(2022년2월예정)|서울특별시 중구 산림동 82-3|서울특별시 중구 창경궁로5가길 39 서울주차장||['시설,건물', '기업,빌딩']|126.9964857|37.5682586|
네이버 2022년 1월예정|1940938848|하남미사119안전센터(2022년11월예정)|경기도 하남시 망월동|||['공공,사회기관', '공공,행정시설']|127.1856598|37.5671315|
네이버 2022년 1월예정|1800861783|태전퍼스트센트힐(2022년3월예정)|경기도 광주시 태전동 산22-80|||['쇼핑,유통', '상가,아케이드']|127.2285204|37.3819435|
네이버 2022년 1월예정|1163537452|인하한양아이클래스(2022년4월예정)|인천광역시 미추홀구 용현동 573-7|||['주택', '오피스텔']|126.6379039|37.4594945|
네이버 2022년 1월예정|1557834532|미래에코지식산업센터(2022년2월예정)|서울특별시 구로구 구로동 609-7|서울특별시 구로구 경인로53길 32||['시설,건물', '기업,빌딩']|126.8760758|37.5026767|
네이버 2022년 1월예정|1251219330|현대지식산업센터 가산퍼블릭(2022년2월예정)|서울특별시 금천구 가산동 60-26|서울특별시 금천구 디지털로 178||['시설,건물', '기업,빌딩']|126.8864366|37.4772066|
네이버 2022년 1월예정|1750952651|원종파르크(2022년2월예정)|경기도 부천시 원종동 334-2|경기도 부천시 고강로24번길 19|031-843-7777|['아파트', '예정,공사중']|126.8077938|37.5305776|
네이버 2022년 1월예정|1228039054|신정동이튼브라운(2022년7월예정)|서울특별시 양천구 신정동 921-7|||['아파트', '예정,공사중']|126.8551577|37.5250900|
네이버 2022년 1월예정|1725050102|지엔텍잔카드림타워(2022년2월예정)|서울특별시 금천구 가산동 345-43|||['시설,건물', '기업,빌딩']|126.8822348|37.4715100|
네이버 2022년 1월예정|1261693650|교보라이프플래닛 (2022년02월예정)|서울특별시 용산구 한강로3가 40-13|서울특별시 용산구 한강대로 35 교보생명(주)||['보험', '생명보험']|126.9629146|37.5245424|
네이버 2022년 1월예정|1485173313|오산롯데캐슬스카이파크(2024년1월예정)|경기도 오산시 원동||1811-7890|['아파트', '예정,공사중']|127.0954696|37.1404439|
네이버 2022년 1월예정|1854588888|청라센트럴시티오피스텔(2022년6월예정)|인천광역시 서구 청라동 96-16|||['오피스텔', '예정,공사중']|126.6292975|37.5325482|
네이버 2022년 1월예정|1879391716|블럭메디프라자(2022년3월예정)|경기도 시흥시 장곡동 250-2|||['쇼핑,유통', '상가,아케이드']|126.7892431|37.3788327|
네이버 2022년 1월예정|1127924005|오전커뮤니티센터(2022년02월예정)|경기도 의왕시 오전동 842-2|경기도 의왕시 오전로 153 재향군인회관||['공공,사회기관', '행정복합시설']|126.9713742|37.3551332|
네이버 2022년 1월예정|1445456284|자이센터프라자(2022년2월예정)|경기도 안산시 상록구 사동 1639-24|||['시설,건물', '기업,빌딩']|126.8289900|37.2840269|
네이버 2022년 1월예정|1716083643|베스트프라자(2022년2월예정)|경기도 김포시 고촌읍 신곡리 951-8|||['시설,건물', '기업,빌딩']|126.7647808|37.5927164|
네이버 2022년 1월예정|1795840234|계양구립다인어린이집(2022년02월예정)|인천광역시 계양구 효성동 293-8|||['교육,학문', '국공립어린이집']|126.7178675|37.5290901|
네이버 2022년 1월예정|1980854543|프라임타워(2022년2월예정)|경기도 파주시 와동동 1469-1|||['시설,건물', '기업,빌딩']|126.7636385|37.7282776|
네이버 2022년 1월예정|1170790936|등촌아리스타(2022년2월예정)|서울특별시 강서구 등촌동 633-11|서울특별시 강서구 양천로 620||['시설,건물', '기업,빌딩']|126.8665668|37.5537484|
네이버 2022년 1월예정|1857658497|가톨릭대학교 성심교정제2국제관(2022년2월예정)|경기도 부천시 역곡동 산43-1|경기도 부천시 지봉로 43 가톨릭대학교 성심교정||['대학교', '부속건물']|126.8030014|37.4857582|
네이버 2022년 1월예정|1143010442|남촌도림동행정복지센터(2022년2월예정)|인천광역시 남동구 남촌동 354-1|인천광역시 남동구 남촌동로 32 남촌도림동 행정복지센터||['공공,사회기관', '공공,행정시설']|126.7152527|37.4322856|
네이버 2022년 1월예정|1122432782|인천논현메트로시티(2022년3월예정)|인천광역시 남동구 논현동 731-4|인천광역시 남동구 청능대로 567 인천논현역||['쇼핑,유통', '상가,아케이드']|126.7231212|37.4012109|
네이버 2022년 1월예정|1863709329|녹양동생활지원복합센터 (2022년예정)|경기도 의정부시 녹양동 407-4|경기도 의정부시 체육로 254||['공공,사회기관', '행정복합시설']|127.0356352|37.7608771|
네이버 2022년 1월예정|1741920657|미르프라자(2022년2월예정)|인천광역시 연수구 송도동|||['시설,건물', '기업,빌딩']|126.6442673|37.3945790|
네이버 2022년 1월예정|1115416947|모종금호어울림아이퍼스트(2022년2월예정)|충청남도 아산시 모종동 588-50|||['아파트', '예정,공사중']|127.0160450|36.7797563|
네이버 2022년 1월예정|1738299306|청주율량금호어울림센트로(2022년3월예정)|충청북도 청주시 청원구 율량동 1900-1|||['아파트', '예정,공사중']|127.4809752|36.6641640|
네이버 2022년 1월예정|1351676018|시지삼정그린코아포레스트(2022년12월예정)|대구광역시 수성구 욱수동|||['아파트', '예정,공사중']|128.7115455|35.8318001|
네이버 2022년 1월예정|1216646366|고흥승원팰리체더퍼스트(2022년3월예정)|전라남도 고흥군 고흥읍 남계리 1044|||['아파트', '예정,공사중']|127.2794150|34.6058199|
네이버 2022년 1월예정|1424513111|모아엘가더수완아파트(2022년5월예정)|광주광역시 광산구 신가동 산110|||['아파트', '예정,공사중']|126.8298802|35.1808585|
네이버 2022년 1월예정|1897791974|e편한세상무등산아파트(2022년9월예정)|광주광역시 동구 소태동 456-3|||['아파트', '예정,공사중']|126.9372563|35.1238010|
네이버 2022년 1월예정|1294522099|속초아이파크스위트(2023년1월예정)|강원도 속초시 영랑동 113-12|강원도 속초시 영금정로1길 19-1||['오피스텔', '예정,공사중']|128.5967723|38.2135474|
네이버 2022년 1월예정|1503111310|속초2차아이파크(2022년5월예정)|강원도 속초시 조양동 415|||['아파트', '예정,공사중']|128.5698505|38.1876458|
네이버 2022년 1월예정|38249487|신세계광주특급호텔(2022년2월예정)|광주광역시 서구 화정동 12-13|광주광역시 서구 죽봉대로 61||['숙박', '호텔']|126.8820218|35.1588129|
네이버 2022년 1월예정|1026022996|퇴계동행정복지센터(2022년5월예정)|강원도 춘천시 퇴계동 1234|강원도 춘천시 남춘로 11||['공공,사회기관', '행정복지센터']|127.7294827|37.8623340|
네이버 2022년 1월예정|1848734243|금오산케이블카(2022년2월예정)|경상남도 하동군 금남면 중평리 825-1|||['레저,테마', '케이블카']|127.8700977|34.9923770|
네이버 2022년 1월예정|1228503887|운암동한국아델리움 (2022년예정)|광주광역시 북구 운암동 1109|광주광역시 북구 북문대로169번길 61-3||['아파트', '예정,공사중']|126.8683167|35.1819026|
네이버 2022년 1월예정|1161826333|아산시네파크(2022년12월예정)|충청남도 아산시 온천동 79-1|충청남도 아산시 온천대로 1536||['쇼핑,유통', '쇼핑센터,할인매장']|127.0080541|36.7803168|
네이버 2022년 1월예정|1259856531|옥천군국민체육센터 (2022년2월예정)|충청북도 옥천군 군서면 동평리|||['스포츠,오락', '구민체육센터']|127.5281676|36.2794554|
네이버 2022년 1월예정|1528542621|인제군농업기술센터 (2022년02월예정)|강원도 인제군 인제읍 덕산리 산24|||['교육,학문', '연구,연구소']|128.1868585|38.0944939|
네이버 2022년 1월예정|1831990318|청운면영상미디어센터1관 (2022년02월예정)|경기도 양평군 청운면 용두리 625-1|경기도 양평군 청운면 용두로 170 청운면사무소||['서비스,산업', '영상,오디오,방송']|127.7106980|37.5562587|
네이버 2022년 1월예정|1159959535|수소산업전주기제품안전성지원센터(2022년02월예정)|대전광역시 유성구 신동 159-8|대전광역시 유성구 국제과학5로 9||['교육,학문', '연구,연구소']|127.3742762|36.4737986|
네이버 2022년 1월예정|1081759636|용화동제2공영주차타워(2022년3월예정)|충청남도 아산시 온천동 2999|||['교통,운수', '공영주차장']|127.0107503|36.7757939|
네이버 2022년 1월예정|1467031472|영상콘텐츠소프트웨어진흥센터(2023년1월예정)|강원도 원주시 반곡동 2042|||['시설,건물', '기업,빌딩']|127.9883024|37.3213171|
네이버 2022년 1월예정|1606983762|스타빌딩(2022년2월예정)|세종특별자치시  보람동 709|||['시설,건물', '기업,빌딩']|127.2929169|36.4829686|
네이버 2022년 1월예정|1695326831|대구서구푸드마켓(2022년3월예정)|대구광역시 서구 비산동|대구광역시 서구 국채보상로 399||['사회,복지', '사회복지단체']|128.5748012|35.8722468|
네이버 2022년 1월예정|1792803332|남포헤리티지(2022년02월예정)|부산광역시 중구 남포동5가 5-2|부산광역시 중구 구덕로 52-1||['숙박', '레지던스']|129.0299888|35.0984311|
네이버 2022년 1월예정|1481409609|교동리주차타워(2022년3월예정)|충청북도 증평군 증평읍 교동리 108|충청북도 증평군 증평읍 장뜰로 78||['교통,운수', '공영주차장']|127.5845770|36.7846918|
네이버 2022년 1월예정|1377284359|연동재활용도움센터(2022년3월예정)|제주특별자치도 제주시 연동 2330-1|||['쇼핑,유통', '지역재활용센터']|126.4885500|33.4925811|
네이버 2022년 1월예정|1438426330|용화동제1공영주차타워(2022년3월예정)|충청남도 아산시 온천동 2829|||['교통,운수', '공영주차장']|127.0088359|36.7781303|
네이버 2022년 1월예정|1510995540|봉래산역사테마공원 공영주차장(2022년3월예정)|부산광역시 영도구 청학동 483-1|부산광역시 영도구 와치로 78||['교통,운수', '공영주차장']|129.0594525|35.0854732|
네이버 2022년 1월예정|1411811453|아이비한강사옥(2022년2월예정)|부산광역시 수영구 남천동 17-5|부산광역시 수영구 남천동로16번길 16||['시설,건물', '기업,빌딩']|129.1096855|35.1420700|
네이버 2022년 1월예정|1087939803|청운면영상미디어센터2관(2022년02월예정)|경기도 양평군 청운면 용두리 627|경기도 양평군 청운면 용두로 180 청운면복지회관||['서비스,산업', '영상,오디오,방송']|127.7112294|37.5565446|
네이버 2022년 1월예정|1269596385|땅끝가족어울림센터(2022년2월예정)|전라남도 해남군 해남읍 구교리 346-1|전라남도 해남군 해남읍 서림길 20 해남공공도서관||['문화,예술', '복합문화공간']|126.5946356|34.5750123|
네이버 2022년 1월예정|1819983368|동탄2신도시동탄역디에트르퍼스티지(2025년2월예정)|경기도 화성시 오산동 979|||['아파트', '예정,공사중']|127.0904816|37.1990436|
네이버 2022년 1월예정|1958926719|세교한양수자인(2024년4월예정)|경기도 오산시 서동 14|||['아파트', '예정,공사중']|127.0438999|37.1552516|
네이버 2022년 1월예정|1530516522|남양휴튼3차오피스텔(2024년4월예정)|광주광역시 남구 봉선동|광주광역시 남구 대남대로 195||['오피스텔', '예정,공사중']|126.9037464|35.1331333|
네이버 2022년 2월예정|1405820156|잠실피스티오피스텔(2022년2월예정)|서울특별시 송파구 방이동 47-10|||['오피스텔', '예정,공사중']|127.1132532|37.5160809|
네이버 2022년 2월예정|1070758362|잠실본동 주민센터 (2022년2월예정)|서울특별시 송파구 잠실동|||['공공,사회기관', '행정복지센터']|127.0832037|37.5060716|
네이버 2022년 2월예정|1869296095|잠실본동복합청사(2022년2월예정)|서울특별시 송파구 잠실동 230|서울특별시 송파구 백제고분로15길 7 잠전경로당||['공공,사회기관', '행정복합시설']|127.0835202|37.5061669|
네이버 2022년 2월예정|1075662793|빌리브파비오더까사오피스텔(2022년2월예정)|서울특별시 강남구 자곡동 653|||['오피스텔', '예정,공사중']|127.1035802|37.4740439|
네이버 2022년 2월예정|1966265526|호반써밋송파1차(2022년2월예정)|서울특별시 송파구 거여동 395|||['아파트', '예정,공사중']|127.1391514|37.4845780|
네이버 2022년 2월예정|1350059846|호반써밋송파2차(2022년2월예정)|서울특별시 송파구 거여동 413|||['아파트', '예정,공사중']|127.1426168|37.4848407|
네이버 2022년 2월예정|1160820946|현대위버포레오피스텔(2022년2월예정)|서울특별시 강남구 삼성동 144-1|||['오피스텔', '예정,공사중']|127.0549816|37.5078760|
네이버 2022년 2월예정|1992183458|현대테라타워감일(2022년2월예정)|경기도 하남시 감이동 52-1|||['시설,건물', '기업,빌딩']|127.1651202|37.5073682|
네이버 2022년 2월예정|1763076697|고덕아르테스 미소지움 (2022년2월예정)|서울특별시 강동구 상일동|||['아파트', '예정,공사중']|127.1569522|37.5498893|
네이버 2022년 2월예정|1904116309|삼성동한양립스아파트(2022년2월예정)|서울특별시 강남구 삼성동 142-16|||['아파트', '예정,공사중']|127.0518073|37.5062982|
네이버 2022년 2월예정|1766267616|개포4복합문화센터(2022년2월예정)|서울특별시 강남구 개포동 1204|서울특별시 강남구 개포로24길 33 공영주차장||['문화,예술', '복합문화공간']|127.0499130|37.4771364|
네이버 2022년 2월예정|1979482595|성수동선명스퀘어지식산업센터(2022년2월예정)|서울특별시 성동구 성수동1가 13-17|서울특별시 성동구 성수일로 111 선명제본||['시설,건물', '기업,빌딩']|127.0515973|37.5503609|
네이버 2022년 2월예정|1289191875|서울숲복합문화체육센터 (2022년2월예정)|서울특별시 성동구 성수동1가 685-63|||['스포츠,오락', '구민체육센터']|127.0408315|37.5498601|
네이버 2022년 2월예정|1908710935|군자동복합청사(2022년2월예정)|서울특별시 광진구 군자동 48-15|||['공공,사회기관', '행정복합시설']|127.0753745|37.5555468|
네이버 2022년 2월예정|1254597520|청화오피스텔(2022년2월예정)|서울특별시 서초구 서초동 1339-7|||['오피스텔', '예정,공사중']|127.0306996|37.4896124|
네이버 2022년 2월예정|1081129575|서밋파크오피스텔 (2022년2월예정)|서울특별시 서초구 양재동 11-4|||['오피스텔', '예정,공사중']|127.0357080|37.4842276|
네이버 2022년 2월예정|1656701727|테라팰리스성수1차오피스텔(2022년2월예정)|서울특별시 성동구 성수동2가  289-290|||['오피스텔', '예정,공사중']|127.0535812|37.5478187|
네이버 2022년 2월예정|1066321892|청담스타빌딩(2022년2월예정)|서울특별시 강남구 논현동|서울특별시 강남구 학동로53길 5||['시설,건물', '기업,빌딩']|127.0401393|37.5173163|
네이버 2022년 2월예정|1561500208|도곡루아르아파트(2022년2월예정)|서울특별시 강남구 도곡동  941-1|||['주택', '도시형생활주택']|127.0344004|37.4900677|
네이버 2022년 2월예정|1040237529|역세권청년주택(2022년2월예정)|서울특별시 용산구 원효로1가 104|서울특별시 용산구 원효로93길 6 롯데건설(주)||['시설,건물', '주택']|126.9695226|37.5412451|
네이버 2022년 2월예정|1595109398|미사강변스카이폴리스(2022년2월예정)|경기도 하남시 망월동 834-1||070-8745-1010|['시설,건물', '기업,빌딩']|127.1929372|37.5771983|
네이버 2022년 2월예정|1635853902|하남덕풍경기행복주택(2022년2월예정)|경기도 하남시 덕풍동 828|||['아파트', '예정,공사중']|127.2048110|37.5456987|
네이버 2022년 2월예정|1862996593|에이원청담사옥(2022년2월예정)|서울특별시 강남구 청담동 83-2|||['시설,건물', '기업,빌딩']|127.0412730|37.5266445|
네이버 2022년 2월예정|1847521071|양원지구동원베네스트(2022년2월예정)|서울특별시 중랑구 신내동 386-1|서울특별시 중랑구 용마산로 640||['아파트', '예정,공사중']|127.1013342|37.6079048|
네이버 2022년 2월예정|1610724738|에피소드신촌369 (2022년2월예정)|서울특별시 마포구 노고산동 57-50|||['시설,건물', '기업,빌딩']|126.9347668|37.5541381|
네이버 2022년 2월예정|1919683114|연홍빌딩(2022년2월예정)|서울특별시 강남구 역삼동|||['시설,건물', '기업,빌딩']|127.0252680|37.5044136|
네이버 2022년 2월예정|1378974324|중건빌딩(2022년2월예정)|서울특별시 강남구 논현동|||['시설,건물', '기업,빌딩']|127.0346380|37.5134423|
네이버 2022년 2월예정|1473710958|우평원더라움오피스텔(2022년2월예정)|서울특별시 종로구 숭인동 313-17|||['오피스텔', '예정,공사중']|127.0159588|37.5720553|
네이버 2022년 2월예정|1710672767|쌍용더플래티넘광주(2022년2월예정)|경기도 광주시 초월읍 대쌍령리 산7-2|||['아파트', '예정,공사중']|127.2923038|37.3902487|
네이버 2022년 2월예정|1298207616|미사동일넥서스(2022년2월예정)|경기도 하남시 풍산동 588-5|||['시설,건물', '기업,빌딩']|127.1910917|37.5505266|
네이버 2022년 2월예정|1260996474|여의도해링턴타워196(2022년2월예정)|서울특별시 영등포구 영등포동2가  175|서울특별시 영등포구 영등포로 253 경원빌딩||['오피스텔', '예정,공사중']|126.9097967|37.5193190|
네이버 2022년 2월예정|1107346182|용산센트럴트윈파크뷰오피스텔(2022년2월예정)|서울특별시 용산구 문배동 8-5|서울특별시 용산구 청파로 209||['오피스텔', '예정,공사중']|126.9706589|37.5382066|
네이버 2022년 2월예정|1335331645|쌍문동청년주택 (2022년2월예정)|서울특별시 도봉구 쌍문동 103-6|||['아파트', '예정,공사중']|127.0326283|37.6459020|
네이버 2022년 2월예정|1926523369|안양아이에스비즈타워(2022년2월예정)|경기도 안양시 만안구 안양동 189|경기도 안양시 만안구 안양천서로129번길 36||['시설,건물', '기업,빌딩']|126.9388649|37.3926976|
네이버 2022년 2월예정|1979957487|성남글로벌융합센터(2022년2월예정)|경기도 성남시 수정구 시흥동 293-4|경기도 성남시 수정구 창업로57번길 20||['시설,건물', '기업,빌딩']|127.0949159|37.4090779|
네이버 2022년 2월예정|1975247152|구로오네뜨시티(2022년2월예정)|서울특별시 구로구 구로동 103-6|서울특별시 구로구 가마산로 271 대륙빌딩||['주택', '오피스텔']|126.8904856|37.4963758|
네이버 2022년 2월예정|1734901213|당곡역(2022년2월예정)|서울특별시 관악구 봉천동|||['철도', '공사중']|126.9275963|37.4902101|
네이버 2022년 2월예정|1252143485|상생지식산업센터(2022년2월예정)|서울특별시 중구 산림동 82-3|서울특별시 중구 창경궁로5가길 39 서울주차장||['시설,건물', '기업,빌딩']|126.9964857|37.5682586|
네이버 2022년 2월예정|1980778831|일산자이3차(2022년2월예정)|경기도 고양시 일산동구 식사동 2|||['아파트', '예정,공사중']|126.8115143|37.6719828|
네이버 2022년 2월예정|1535847696|양평센트럴파크써밋(2022년2월예정)|경기도 양평군 양평읍 양근리 128-2|||['아파트', '예정,공사중']|127.4889529|37.4942905|
네이버 2022년 2월예정|1758844054|서원역(2022년2월예정)|서울특별시 관악구 신림동|||['철도', '공사중']|126.9331039|37.4782497|
네이버 2022년 2월예정|1867828511|위스테이지축아파트(2022년2월예정)|경기도 고양시 덕양구 지축동 421|||['아파트', '예정,공사중']|126.9218184|37.6551873|
네이버 2022년 2월예정|1997978125|보라매공원역(2022년2월예정)|서울특별시 동작구 신대방동|||['철도', '공사중']|126.9182878|37.4953958|
네이버 2022년 2월예정|1637297184|인천불로대광로제비앙(2022년2월예정)|인천광역시 서구 불로동 803-1|인천광역시 서구 검단로768번길 46||['아파트', '예정,공사중']|126.6899683|37.6119900|
네이버 2022년 2월예정|1557834532|미래에코지식산업센터(2022년2월예정)|서울특별시 구로구 구로동 609-7|서울특별시 구로구 경인로53길 32||['시설,건물', '기업,빌딩']|126.8760758|37.5026767|
네이버 2022년 2월예정|1699308753|아르떼코리아제나우스오피스텔(2022년2월예정)|서울특별시 마포구 공덕동 17-12|||['오피스텔', '예정,공사중']|126.9598248|37.5493682|
네이버 2022년 2월예정|1489300167|데시앙플렉스지식산업센터(2022년2월예정)|서울특별시 강서구 등촌동 14-7|서울특별시 강서구 공항대로41길 147 한성자동차매매센터||['시설,건물', '기업,빌딩']|126.8481998|37.5642392|
네이버 2022년 2월예정|1113632327|서울지방병무청역(2022년2월예정)|서울특별시 영등포구 신길동|||['철도', '공사중']|126.9226894|37.5059261|
네이버 2022년 2월예정|1469881188|관악산역(2022년2월예정)|서울특별시 관악구 신림동|||['철도', '공사중']|126.9450419|37.4690744|
네이버 2022년 2월예정|1850499590|더위일관악파크뷰오피스텔(2022년2월예정)|서울특별시 관악구 신림동  1568-5|서울특별시 관악구 난곡로 298-1||['오피스텔', '예정,공사중']|126.9150490|37.4806113|
네이버 2022년 2월예정|1251219330|현대지식산업센터 가산퍼블릭(2022년2월예정)|서울특별시 금천구 가산동 60-26|서울특별시 금천구 디지털로 178||['시설,건물', '기업,빌딩']|126.8864366|37.4772066|
네이버 2022년 2월예정|1378471372|보라매병원역(2022년2월예정)|서울특별시 동작구 신대방동|||['철도', '공사중']|126.9235533|37.4930076|
네이버 2022년 2월예정|1693096677|힐스테이트중동(2022년2월예정)|경기도 부천시 중동 1155|경기도 부천시 길주로 234||['아파트', '예정,공사중']|126.7681487|37.5034463|
네이버 2022년 2월예정|1344019888|솔리힐아파트(2022년2월예정)|서울특별시 금천구 독산동|||['아파트', '예정,공사중']|126.9055997|37.4755421|
네이버 2022년 2월예정|1709546474|북청라하우스토리(2022년2월예정)|인천광역시 서구 경서동 2|||['주택', '아파트']|126.6519486|37.5555172|
네이버 2022년 2월예정|1580228465|서원프라자III(2022년2월예정)|경기도 광주시 태전동 118-26|||['시설,건물', '기업,빌딩']|127.2325031|37.3825003|
네이버 2022년 2월예정|1558128887|아주대학교기숙사(2022년2월예정)|경기도 수원시 영통구 원천동 산5-1|경기도 수원시 영통구 월드컵로 206 아주대학교||['대학교', '부속건물']|127.0470269|37.2844855|
네이버 2022년 2월예정|1315429394|원종동승윤노블리안아파트 (2022년2월예정)|경기도 부천시 원종동 159-1|||['아파트', '예정,공사중']|126.8039420|37.5287721|
네이버 2022년 2월예정|1653707919|서림역(2022년2월예정)|서울특별시 관악구 신림동|||['철도', '공사중']|126.9338840|37.4721101|
네이버 2022년 2월예정|1661856515|상암데이터센터(2022년2월예정)|서울특별시 마포구 상암동 1588|||['서비스,산업', '기업']|126.8861090|37.5821425|
네이버 2022년 2월예정|1539785239|마전지구양우내안애아파트(2022년2월예정)|인천광역시 서구 마전동 157|||['아파트', '예정,공사중']|126.6715024|37.6112668|
네이버 2022년 2월예정|1966916842|원타워5차오피스텔(2022년2월예정)|서울특별시 강서구 화곡동 987-7|서울특별시 강서구 화곡로 289||['오피스텔', '예정,공사중']|126.8480317|37.5503197|
네이버 2022년 2월예정|1250628938|EXSmartCenter(2022년2월예정)|경기도 성남시 수정구 시흥동 산51-5|||['시설,건물', '기업,빌딩']|127.0962294|37.4106323|
네이버 2022년 2월예정|1236592208|상계동스포츠타운(2022년2월예정)|서울특별시 노원구 상계동 125|||['지역명소', '도시,테마공원']|127.0708295|37.6683365|
네이버 2022년 2월예정|1642619182|마크포레스트오류(2022년2월예정)|서울특별시 구로구 오류동 10-11|||['오피스텔', '예정,공사중']|126.8414892|37.4954568|
네이버 2022년 2월예정|1335865807|우만2동공영주차장(2022년2월예정)|경기도 수원시 팔달구 우만동 577-3|||['교통,운수', '공영주차장']|127.0436904|37.2766693|
네이버 2022년 2월예정|1225948578|곤지암비지니스센터(2022년2월예정)|경기도 광주시 곤지암읍 신대리 87|||['시설,건물', '기업,빌딩']|127.3372583|37.3538735|
네이버 2022년 2월예정|1803590744|양평까뮤이스테이트아파트(2022년2월예정)|경기도 양평군 양평읍 창대리 460-23|||['아파트', '예정,공사중']|127.5026751|37.4764683|
네이버 2022년 2월예정|1133579365|강북노동자복지관(2022년2월예정)|서울특별시 마포구 아현동|서울특별시 마포구 환일길 13||['사회,복지']|126.9600685|37.5567452|
