##NAME|SUBNAME|ID|TELNUM|NEWADDR|TYPE|ETC|FEAT|XCOORD|YCOORD|SOURCE2@@화장시설
안동장사문화공원||4000000027|054-850-4780|경상북도 안동시 풍천면 운골길 205 (도양리)|화장시설||None|128.4759504|36.5552738|보건복지부장사정보시스템
동해시승화원||4000000008|033-522-1451|강원도 동해시 서동로 925 (신흥동, 동해시승화원)|화장시설||None|129.0277967|37.5134075|보건복지부장사정보시스템
익산시정수원||4000000045|063-859-3840|전북 익산시 석왕동 235-13|화장시설||None|127.0173183|35.9731279|보건복지부장사정보시스템
태백시화장장||4000000048|033-550-2844|강원도 태백시 백두대간로 844 (창죽동)|화장시설||None|128.9895287|37.2380403|보건복지부장사정보시스템
구미시추모공원||4000000071|054-480-2320|경상북도 구미시 옥성면 추모공원로 81 (농소리)|화장시설||None|128.2666854|36.3182564|보건복지부장사정보시스템
군산시승화원||4000000022|063-454-7950|전라북도 군산시 임피면 서원석곡로 436-34 (보석리, 승화원)|화장시설||None|126.8453016|35.9688028|보건복지부장사정보시스템
김천시화장장||4000000005|054-430-1300|경북 김천시 신음동 352-1 |화장시설||None|128.1242583|36.134909|보건복지부장사정보시스템
전주시승화원||4000000021|063-239-2690|전라북도 전주시 완산구 콩쥐팥쥐로 1705-138(효자동3가, 전주승화원)|화장시설||None|127.0892191|35.8244584|보건복지부장사정보시스템
의성군공설화장장||4000000041|054-833-1103|경상북도 의성군 의성읍 의성길안로 287-29 (중리리)|화장시설||None|128.727802|36.3702|보건복지부장사정보시스템
서남권추모공원||4000000069|063-539-6726|전라북도 정읍시 감곡면 정읍북로 1850 (통석리)|화장시설||None|126.9783232|35.6888086|보건복지부장사정보시스템
남원시승화원||4000000023|063-632-5874|전라북도 남원시 솔터길 40-36 (광치동)|화장시설||None|127.3700995|35.4424494|보건복지부장사정보시스템
대구명복공원||4000000010|053-743-3880|대구광역시 수성구 달구벌대로541길 47 (고모동)|화장시설||None|128.6589014|35.8576275|보건복지부장사정보시스템
청계원||7000001624|061-362-1199|전라남도 곡성군 곡성읍 청계동로 457 (신기리)|화장시설||None|127.2579395|35.3101086|보건복지부장사정보시스템
광주영락공원||4000000032|062-572-4384~|광주광역시 북구 영락공원로 170 (효령동)|화장시설||None|126.9161306|35.2310092|보건복지부장사정보시스템
경주하늘마루||4000000058|054-779-8547|경북 경주시 서면 하늘마루길 330|화장시설||None|129.0981552|35.8973861|보건복지부장사정보시스템
포항시우현화장장||4000000036|054-270-5815|포항시 북구 소티재로 69-12(우현동)|화장시설||None|129.3524559|36.0571295|보건복지부장사정보시스템
밀양시공설화장시설||4000000014|055-359-4634|경상남도 밀양시 북성로7길 59 (교동 476-1번지)  |화장시설||None|128.7711395|35.5028687|보건복지부장사정보시스템
진주시안락공원||4000000028|055-759-3672|경남 진주시 진산로 141-42|화장시설||None|128.0990781|35.2009161|보건복지부장사정보시스템
함안하늘공원||4000000072|055-585-7182|경상남도 함안군 가야읍 함마대로 1145 |화장시설|화장장|None|128.368532|35.276326|보건복지부장사정보시스템
포항시구룡포화장장||4000000003|054-270-5960|경북 포항시 남구 구룡포읍 804-1|화장시설||None|129.5467037|35.9925881|보건복지부장사정보시스템
광양시화장장||4000000034|061-762-4449|전라남도 광양시 광양읍 직동1길 300 (죽림리)|화장시설||None|127.6411408|34.991211|보건복지부장사정보시스템
울산하늘공원||4000000060|052-255-3800|울산 울주군 삼동면 보삼길 550                               |화장시설||None|129.1228652|35.483402|보건복지부장사정보시스템
순천시립/추모공원||4000000019|061-749-6168|전남 순천시 양율길 132(야흥동)|화장시설||None|127.4804151|34.9087466|보건복지부장사정보시스템
김해추모의공원||4000000006|055-337-3946|경남 김해시 주촌면 서부로 1637번길 574 (덕암리)|화장시설||None|128.8093653|35.270242|보건복지부장사정보시스템
창원시립마산화장장||4000000009|055-712-0224|경남 창원시 마산합포구 진동면  공원묘원로 232 마산화장장|화장시설||None|128.531272|35.1392796|보건복지부장사정보시스템
창원시립상복공원||4000000057|055-712-0920|경상남도 창원시 성산구 공단로474번길 160 |화장시설||None|128.6634776|35.1919756|보건복지부장사정보시스템
사천시/누리원||4000000015|055-834-3001|경상남도 사천시 해안관광로 208-66 (송포동) |화장시설|화장시설|None|128.0380511|34.9550664|보건복지부장사정보시스템
여수시/승화원||4000000024|061-659-1795|전라남도 여수시 소라면 의곡길 494|화장시설|화장장|None|127.5804819|34.831555|보건복지부장사정보시스템
고성군공설화장장||4000000002|055-670-2923|경남 고성군 상리면 자은리 산85-1|화장시설||None|128.2391136|34.9745358|보건복지부장사정보시스템
목포추모공원||4000000012|061-272-0095|전라남도 목포시 고하대로 1140-41 (대양동)|화장시설||None|126.4322609|34.8139277|보건복지부장사정보시스템
진해화장장||4000000026|055-712-0842|경남 창원시 진해구 장천동 48-8 |화장시설||None|128.7159288|35.1262837|보건복지부장사정보시스템
남해추모누리/영화원||4000000007|055-860-3681|경상남도 남해군 서면 연죽로 46-77 (연죽리, 남해공설종합묘원추모누리)|화장시설||None|127.8709945|34.8226109|보건복지부장사정보시스템
부산영락공원||4000000031|051-790-5000|부산광역시 금정구 금정도서관로 108 (두구동, 영락공원)|화장시설||None|129.1042192|35.2733077|보건복지부장사정보시스템
통영시추모공원||4000000047|055-650-4883|경상남도 통영시 장대길 144 (정량동)|화장시설||None|128.4394216|34.8521701|보건복지부장사정보시스템
울릉하늘섬공원||4000000037|054-791-1888|경북 울릉군 서면 남서리 303|화장시설||None|130.819435|37.4938408|보건복지부장사정보시스템
국립소록도병원화장장||4000000004|061-840-0586|전남 고흥군 도양읍 소록리 1번지|화장시설||None|127.1329308|34.5208987|보건복지부장사정보시스템
양지공원||4000000029|064-702-4065|제주특별자치도 제주시 516로 2810-31 (영평동)|화장시설||None|126.5799838|33.4400136|보건복지부장사정보시스템
남도광역추모공원||7000002059|061-530-5141|전라남도 해남군 황산면 원호리 5-5|화장시설||None|126.518273|34.56058|보건복지부장사정보시스템
