##NAME|SUBNAME|TELNUM|NEWADDR
이마트에브리데이|김포한강점|031-996-8309|경기도 김포시 김포한강1로 227
이마트에브리데이|김해점|055-334-6101|경상남도 김해시 가야로 38번길 10 (삼계동 1417-1)
이마트에브리데이|김해율하점|055-723-2332|경상남도 김해시 율하2로 140
이마트에브리데이|나운동점|063-471-8740~1|전라북도 군산시 하나운로 32 (나운동155 세경아파트단지상가 지하 1층)
이마트에브리데이|나주혁신점|061-820-7005|전라남도 나주시 그린로 200 (빛가람동 642-1)
이마트에브리데이|나주호수공원점|061-820-8230|전라남도 나주시 그린로 321, 102호, 103호, 104호 (빛가람동)
이마트에브리데이|남부터미널점|02-3473-2092,3|서울특별시 서초구 효령로 68길 74 (서초동 1443-17)
이마트에브리데이|남양주도곡점|031-521-6941,2|경기도 남양주시 와부읍 덕소로 230-52 (도곡리)
이마트에브리데이|내곡점|02-2135-8006|서울특별시 서초구 청계산로 203 (신원동)
이마트에브리데이|녹양동점|031-877-9941|경기도 의정부시 비우로 57 (녹양동 388-10)
이마트에브리데이|능동점|031-613-7214|경기도 화성시 동탄숲속로 63-1 (능동 508-4)
이마트에브리데이|능평점|010-5909-1929|경기 광주시 오포읍 능평로 30번길 6-19
이마트에브리데이|답십리점|02-2246-7292|서울특별시 동대문구 고미술로 49 (답십리동 530-11)
이마트에브리데이|당동점|031-451-5200|경기도 군포시 군포로 502 (당동 784-5)
이마트에브리데이|대구신서점|053-962-9011|대구광역시 동구 과학로4길 3 (각산동)
이마트에브리데이|대구옥포점|053-721-6771|대구광역시 달성군 옥포면 돌미상업로1길 25
이마트에브리데이|대구죽곡점|053-719-0144|대구 달성군 다사읍 대실역남로 18 (죽곡리
이마트에브리데이|대구현풍점|053-721-8050|대구광역시 달성군 유가면 테크노대로 5길 58 상가 104~107호, 204호
이마트에브리데이|대방동점|02-841-3651|서울특별시 동작구 상도로 81 (대방동 335-17)
이마트에브리데이|대전관저점|042-546-4988~9|대전광역시 서구 관저중로 70(관저동, 관저스포월드1층101, 102호)
이마트에브리데이|대전월평점|042-710-0131|대전광역시 서구 월평북로 27 (월평동)
이마트에브리데이|덕정점|031-858-0963,0962|경기도 양주시 회정로 126 (덕정동 208-2, 양주그랑시떼 1층)
이마트에브리데이|도봉점|02-955-7313,7325|서울특별시 도봉구 도봉로 180길 38 1층
이마트에브리데이|동림동점|062-512-6884,6885|광주광역시 북구 북문대로 242번길 9 (동림동 1148-1 2층)
이마트에브리데이|동양점|032-555-8989|인천광역시 계양구 당미길 23 (동양동 617-5)
이마트에브리데이|동천점|031-548-1990|경기도 용인시 수지구 동천로 153번길 7, 상가동 지하1층 제1블록-27호 (동천동, 한빛마을래미안이스트팰리스 1단지아파트)
이마트에브리데이|동탄카림점|031-8055-7428|경기 화성시 동탄대로시범길 134
이마트에브리데이|마곡점|02-2039-8337|서울 강서구 마곡서로 158 1층
이마트에브리데이|마두역점|031-926-3116|경기도 고양시 일산동구 장백로 178 1층
이마트에브리데이|마북동점|031-283-2832|경기도 용인시 기흥구 구교동로 172 (마북동 176-2)
이마트에브리데이|마전점|032-565-0093|인천광역시 서구 서곶로 884 (마전동)
이마트에브리데이|망포점|031-273-7476~7|경기도 수원시 영통구 154번길 60 (망포동 417-2 메디컬프라자 지하1층)
이마트에브리데이|매탄동점|031-212-2587|경기도 수원시 영통구 인계로 219 (매탄동)
이마트에브리데이|면목동점|02-432-3100|서울특별시 중랑구 면목로 39길 11 (면목동 650 카펠리아 1층)
이마트에브리데이|명일동점|02-3426-6155,1142|서울특별시 강동구 고덕로 210 (명일동 15)
이마트에브리데이|모충동점|043-287-0480,1|충청북도 청주시 흥덕구 남들로 44 (모충동 128-1)
이마트에브리데이|목동점|02-2646-4331,2|서울특별시 양천구 목동서로 130 (목동 904)
이마트에브리데이|목동중앙점|02-2062-8683,4|서울특별시 양천구 목동 908-34 부영 그린타운 3차 1층
이마트에브리데이|미아동점|02-3281-3651|서울특별시 강북구 도봉로 157 (미아동 1351, 두원프라자)
이마트에브리데이|방배효령점|02-6959-0117|서울특별시 서초구 명달로 73
이마트에브리데이|방촌동점|053-985-8661|대구광역시 동구 동촌로 45길 5 (방촌동 907-7)
이마트에브리데이|백석점|031?879-8799|경기도 양주시 백석읍 양주산성로 567 (복지리 126-1)
이마트에브리데이|번동점|02-985-9500|서울특별시 강북구 오현로 32길 18 (번동 161-1)
이마트에브리데이|법동점|042-639-3001|대전광역시 대덕구 동춘당로 178 (법동, 보람아파트)
이마트에브리데이|법원점|031-958-9585|경기도 파주시 법원읍 술이홀로 899 (법원리 681-6)
이마트에브리데이|별내점|031-574-9912,3|경기도 남양주시 두물로 27번길 37 (별내동, 별내택지개발지구주 7)
이마트에브리데이|병점|031-546-8442|경기도 화성시 병점1로 66-10 (병점동 480-8)
이마트에브리데이|보령점|041-931-2023,4|충청남도 보령시 명천중앙길 14 ?(명천동
이마트에브리데이|보령대천점|041-934-2400|충청남도 보령시 고잠2길 1-31, 1층(신흑동)
이마트에브리데이|보정점|031-889-7722|경기도 용인시 기흥구 죽현로 8-20 (보정동)
이마트에브리데이|본오동점|031-416-8338|경기도 안산시 상록구 본이로 46 (본오동 780-1)
이마트에브리데이|봉담2호점|031-222-8812,8869|경기도 화성시 봉담읍 와우로 73번길 6
이마트에브리데이|봉일천점|031-944-8999|경기도 파주시 조리읍 고봉로 1026 (봉일천리 142-27)
이마트에브리데이|봉천동점|02-3285-3651|서울특별시 관악구 은천로 51 (봉천동 937-6)
이마트에브리데이|부산구포점|051-714-5565|부산 북구 시랑로 128
이마트에브리데이|부산신호점|051-832-7575|부산광역시 강서구 신호산단4로 47 (신호동, 스타프라자 101~104호)
이마트에브리데이|북천안점|041-415-0416|충청남도 천안시 서북구 성거읍 성거길 20
이마트에브리데이|분당정자점|031-786-1756|경기도 성남시 분당구 정자일로 242 (정자동 8-2)
이마트에브리데이|분당정자2호점|031-786-1171~2|경기도 성남시 분당구 정자일로 120 (정자동 170-1, 삼성아데나루체 1층)
이마트에브리데이|불로점|032-569-2131|인천광역시 서구 검단로 779 (불로동 324-1)
이마트에브리데이|비산동점|031-382-1508|경기도 안양시 동안구 학의로 20 (비산동 1102, 관악청구아파트)
이마트에브리데이|사당동점|02-596-9584,5|서울특별시 동작구 동작대로 29길 110 (사당동, 신동아 아파트)
이마트에브리데이|산본점|031-391-8706|경기도 군포시 고산로 539번길 7-6 (산본동, 롯데아파트 상가 지하 1호)
이마트에브리데이|삼성동점|02-6929-0664|서울특별시 강남구 봉은사로 502 (삼성동 145)
이마트에브리데이|삼숭2호점|031-848-8020|경기도 양주시 삼숭로 58번길 53 (삼숭동 338-22)
이마트에브리데이|삼숭동점|031-842-7880|경기도 양주시 삼숭로 38번길 29 (삼숭동 198-2)
이마트에브리데이|상계점|02-951-5930|서울특별시 노원구 동일로 1608 (상계동)
이마트에브리데이|상도동점|02-823-3651|서울특별시 동작구 상도로 31길 19 (상도동 527, 브라운스톤상도아파트 1층)
이마트에브리데이|상현동점|031-261-1400|경기도 용인시 수지구 만현로 100 (상현동 257-22 거묵프라자 지하 1층)
이마트에브리데이|서산예천점|041-429-2300|충남 서산시 동서1로 230
이마트에브리데이|서산읍내점|041-429-3008|충청남도 서산시 읍내동 안견로 421
이마트에브리데이|서창2점|032-472-4153~4|인천 남동구 서창순환로 215번길 20 (서창동
이마트에브리데이|서창동점|032-465-5100~1|인천광역시 남동구 독곡로 51 (서창동 563-1,2)
이마트에브리데이|서천점|031-273-7481|경기도 용인시 기흥구 서천로 127번길 8 (서천동)
이마트에브리데이|서초동점|02-534-3651|서울특별시 서초구 서운로 216 (서초동 1302-4)
이마트에브리데이|서판교점|031-724-4933|경기도 성남시 분당구 운중로 277번길 45 (판교동 620)
이마트에브리데이|석수점|031-473-9945|경기도 안양시 만안구 연현로 103 석수두산위브아파트 상가동
이마트에브리데이|성대점|031-548-0151|경기 수원시 장안구 율전로 80
이마트에브리데이|성북동점|02-3672-0226,7|서울특별시 성북구 성북로 122 (성북동 94-1)
이마트에브리데이|성주점|054-931-9710,9720|경상북도 성주군 성주읍 성주로 3246 (성산리 661-5,  661-20)
이마트에브리데이|세곡점|02-2088-3800|서울특별시 강남구 세곡동 281-4
이마트에브리데이|세류점|031-221-5546|경기도 수원시 권선구 정조로 507
이마트에브리데이|세종가락점|044-715-7015|세종특별자치시 마음안로 13, 가락마을 7단지 상가 101~109호 (고운동)
이마트에브리데이|세종고운점|044-715-7428|세종특별자치시 마음안1로 155 성진프라자 1층
이마트에브리데이|세종다정점|044-715-7558|세종특별자치시 다정중앙로 53 페스티발1
이마트에브리데이|세종도담점|044-417-6003|세종특별자치시 보람로 96 상가동 101~108, 113호 (도담동 43-5)
이마트에브리데이|세종메이저점|044-715-7118|세종특별자치시 새롬동 새롬남로 18, 상가동 109~118호 (새롬동, 새뜸마을 1단지)
이마트에브리데이|세종소담점|044-715-7151|세종특별자치시 시청대로 236, 이상가동 150~156호 (소담동, 새샘마을 3단지)
이마트에브리데이|세종신동아점|044-417-6113|세종특별자치시 시청대로 78 신동아파밀리에 상가 1층
이마트에브리데이|세종아름점|044-417-1555|세종특별자치시 보듬3로 73 105호, 106호, 107호, 108호, 109호, 110호, 111호 (아름동)
이마트에브리데이|세종이지더원점|044-417-6117|세종특별자치시 남세종로 469 (보람동, 호려울마을 4단지 401동 106호)
이마트에브리데이|세종종촌점|044-868-6441|세종특별자치시 종촌동 1-3생활권 C2-2블록 101호. 403호
이마트에브리데이|세종중흥점|044-417-6444|세종특별자치시 보람동로 14 상가6동 (호려울마을 8단지)
이마트에브리데이|세종캐슬점|044-417-6771|세종특별자치시 새롬북로 13 새뜸마을4단지 근린생활시설 1
이마트에브리데이|속초교동점|033-636-0344|강원도 속초시 미시령로 3359번길 28
이마트에브리데이|속초삼환점|033-632-2989|강원도 속초시 교동 밤골 3길 39-1 (교동, 삼환아파트 상가)
이마트에브리데이|속초영랑점|033-632-4607|강원도 속초시 중앙로 323
이마트에브리데이|송도호반점|032-715-4665|인천광역시 연수구 송도동송도문화로 84번길 84, 호반베르디움더퍼스트상가 1동
이마트에브리데이|송산점|031-8077-9401|경기도 화성시 화산중앙로 28 (송산동 158-29)
이마트에브리데이|시흥배곧점|031-365-3996|경기도 시흥시 배곧 4로 32-13, 107~110호, B103호 (정왕동, 유테라스 상가)
이마트에브리데이|신곡점|031-844-0377|경기도 의정부시 시민로 333번길 14 (신곡동,1층)
이마트에브리데이|신곡풍림점|031-928-5889|경기 의정부시 회룡로 241 풍림 한국 아파트 상가동 지하1층
이마트에브리데이|신길점|031-218-6315|경기도 안산시 단원구 새뿔길 22-1 (신길동 656-1)
이마트에브리데이|신내점|02-6959-0106|서울특별시 중랑구 신내동 808
이마트에브리데이|신동백점|031-548-0744|경기도 용인시 기흥구 동백죽전대로527번길 108 (중동)
이마트에브리데이|신영통점|031-202-9923|경기도 화성시 영통로 75 (반월동 170-1)
이마트에브리데이|신읍동점|031-536-8444|경기도 포천시 호병로 1길 3 (신읍동 114-44)
이마트에브리데이|신탄진점|042-716-2341|대전광역시 대덕구 대청로 62
이마트에브리데이|심곡점|032-719-7654|인천광역시 서구 심곡로 57 (심곡동 248-7)
이마트에브리데이|쌍문동점|02-874-3651|서울특별시 도봉구 삼양로 610 (쌍문동 508-1)
이마트에브리데이|아산공수점|041-549-7652|충청남도 아산시 배방읍 배방로 45 (외2필지(261-15,261-16))
이마트에브리데이|아산배방점|041-545-5600|충청남도 아산시 배방읍 배방로 311 (북수리)
이마트에브리데이|아산장재점|041-425-1099|충청남도 아산시 배방읍 용연로 84-5 (장재리 1522)
이마트에브리데이|암사동점|02-2296-3651|서울특별시 강동구 고덕로 99 (암사동 447-12)
이마트에브리데이|양산물금점|055-367-8552|경상남도 양산시 물금읍 야리로 45
이마트에브리데이|양산석산점|055-781-1009|경남 양산시 금오13길 52 (석산리 1449-3)
이마트에브리데이|양재점|02-2058-1016|서울특별시 서초구 동산로 2길 16 (양재동 331)
이마트에브리데이|양천향교역점|02-2063-3690|서울 강서구 허준로 16-12 1층
이마트에브리데이|역삼점|02-6951-3011|서울특별시 강남구 역삼로 124
이마트에브리데이|연수점|032-810-5000|인천광역시 연수구 용담로 11 (청학동)
이마트에브리데이|영북점|031-532-5327|경기도 포천시 영북면 영북로 178 (운천리 345-6)
이마트에브리데이|영주가흥점|054-638-4564|경상북도 영주시 대학로 188번길 1 (가흥동)
이마트에브리데이|영흥도점|032-891-7979|인천광역시 옹진군 영흥면 영흥로 442
이마트에브리데이|오포점|031-719-7338~9|경기도 광주시 오포읍 상태길 12-52 (신현리 790)
이마트에브리데이|오포신현점|031-778-7337|경기 광주시 오포읍 새말길 78
이마트에브리데이|오포신현2점|031-778-6525|경기도 광주시 문형산길 67
이마트에브리데이|올림픽점|02-408-1500|서울특별시 송파구 양재대로 1222 (방이동 89-11 올림픽프라자상가 2층)
이마트에브리데이|용방점|042-716-2661|대전광역시 동구 계족로140번길 183 덕림코아빌딩 1층
이마트에브리데이|용현동점|031-840-2100|경기도 의정부시 오목로 35번길 20 (용현동 29-23)
이마트에브리데이|용호점|031-361-6070|경기도 군포시 용호1로 24 (당동 970-1)
이마트에브리데이|우면점|02-577-0100,6262|서울특별시 서초구  태봉로 60, 1층 (우면동 728, 황금빌딩)
이마트에브리데이|울산무거점|052-707-2600|울산 남구 무거동 신복로72번길 28-6
이마트에브리데이|울산야음점|052-716-0005|울산광역시 남구 대암로 69, 107동 B101호 (야음동, 신정현대프라자)
이마트에브리데이|울산중산점|052-900-5959|울산광역시 북구 이화5길 23 (중산동, 현대글로리아)
이마트에브리데이|원주단계점|033-744-4300/4304|강원도 원주시 원문로 100번길 68 (단계동 64-2)
이마트에브리데이|월피동점|031-484-8822|경기도 안산시 상록구 광덕산 2로 28 (월피동 508-5)
이마트에브리데이|위시티점|031-962-9624|경기도 고양시 일산동구 동국로 28-6 (식사동 662-19,25)
이마트에브리데이|율전점|031-269-8380|경기도 수원시 장안구 덕영대로 439번길 74 (율전동 105-1)
이마트에브리데이|율하점|053-964-9000|대구광역시 동구 안심로 22길 60-23 (율하동 1418)
이마트에브리데이|음성점|043-883-5805|충청북도  음성군  맹동면 사예 1길 7 (두성리  535번지)
이마트에브리데이|의왕내손점|031-422-2425|경기 의왕시 갈미2로 6
이마트에브리데이|의정부민락점|031-852-3473|경기도 의정부시 승지로 29 (민락동)
이마트에브리데이|의정부장암점|031-879-9501,2|경기도 의정부시 회룡로 178 (장암동 20-14, 발곡프라자 지하1층)
이마트에브리데이|이매동점|031-703-0074,5|경기도 성남시 분당구 양현로 94번길 29 (이매동 1326-2, 이매촌청구아파트)
이마트에브리데이|이천점|031-638-0017|경기도 이천시 중리천로 18 (중리동 21-1)
이마트에브리데이|이천갈산점|031-8011-2021|경기도 이천시 안흥로 70 (갈산동)
이마트에브리데이|일곡동점|062-574-7632|광주광역시 북구 설죽로 517-5 (일곡동 845-1)
이마트에브리데이|일산2호점|031-975-5989|경기도 고양시 일산서구 일청로 46 (일산동 588-1)
이마트에브리데이|자곡점|02-2039-2239|서울특별시 강남구 자곡로 106, 101호 (자곡동, S 플라자)
이마트에브리데이|작전점|032-544-2100|인천광역시 계양구 효서로 348-1 (작전동 648-5)
이마트에브리데이|장기동점|031-984-3652|경기도 김포시 김포한강1로 51번길 34 (장기동 1616)
이마트에브리데이|장현점|031-315-8364~5|경기도 시흥시 새재로 17번길 3 (장현동 543-1)
이마트에브리데이|적성점|031-958-3887|경기도 파주시 적성면 청송로 1051 (구읍리587-1.604-14)
이마트에브리데이|전주혁신점|063-714-3353|전라북도 완주군 이서면 출판로 26-7
이마트에브리데이|정관점|051-728-8670,1|부산광역시 기장군 정관면 달산리 1222-1
이마트에브리데이|죽전점|031-896-9640|경기도 용인시 수지구 대지로 3번길 51 (죽전동)
이마트에브리데이|중계동점|02-951-1641~2|서울특별시 노원구 중계로 12길 39 (중계동 58-34, 이연아미빌레 1층)
이마트에브리데이|중곡동점|02-463-1903|서울특별시 광진구 긴고랑로 11길 11 (중곡동 229 중곡제일시장 1층)
이마트에브리데이|진량점|053-853-6114|경상북도 경산시 진량읍 공단 1로 2 (신상리)
이마트에브리데이|진천옥동점|043-753-7779|충북 진천군 덕산면 연미1길 33
이마트에브리데이|창동점|02-903-0900|서울특별시 도봉구 도봉로 104길 53 (창동 628-20)
이마트에브리데이|창원감계점|055-716-0043|경남 창원시 의창구 북면 감계지구 2블록 9로트 창원감계푸르지오 단지내 상가
이마트에브리데이|창원북면점|055-546-9005|경상남도 창원시 의창구 북면 감계로 342
이마트에브리데이|창원사림점|055-714-8291|경상남도 창원시 의창구 사림로45번길 8
이마트에브리데이|천안불당점|041-415-1181|충남 천안시 서북구 불당25로 8 불당호반써밋플레이스 센터시티 판매시설 나동
이마트에브리데이|천안성거점|041-585-0005|충청남도 천안시 서북구 성거읍 봉주로 135 (외1필지)
이마트에브리데이|천안차암점|041-418-9677|충청남도 천안시 서북구 3공단6로 58-8, 108호(차암동)
이마트에브리데이|청천동점|032-508-8335|인천광역시 부평구 원길로 21번길 7 (청천동 234-1)
이마트에브리데이|춘천석사점|033-818-9277|강원 춘천시 석사동 885-1번지(석사동
이마트에브리데이|충북오창점|043-218-8560|충청북도 청주시 청원구 오창읍 과학산업3로 202-3
이마트에브리데이|탄현동점|031-915-4915|경기도 고양시 일산서구 탄현로 117번지 (탄현동)
이마트에브리데이|탄현역점|031-924-7081,7080|경기도 고양시 일산서구 일현로 97-11 (탄현동 297, 위브더제니스 스퀘어 지하1층 110호)
이마트에브리데이|탑동점|043-254-8601,2|충청북도 청주시 상당구 용담로 82번길 16 (탑동 34-8)
이마트에브리데이|통일동산점|031?957-6957|경기도 파주시 탄현면 사슴벌레로 73번길 51 (법흥리 1671)
이마트에브리데이|통진점|031-981-1700|경기도 김포시 통진읍 김포대로 2244 (마송리 117-2)
이마트에브리데이|팜스프링점|031-948-9489|경기도 파주시 시청로 188
이마트에브리데이|평내점|031-523-3322|경기도 남양주시 경춘로 1256번길 34 지하 1층
이마트에브리데이|평택비전점|031-647-3133|경기도 평택시 비전2로 73
이마트에브리데이|평화동점|063-236-1200|전라북도 전주시 완산구 평화로 131
이마트에브리데이|포항문덕점|054-291-8480|경상북도 포항시 남구 오천읍 묵덕로 36번길 9(오천읍)
이마트에브리데이|포항양덕점|054-253-8845|경상북도 포항시 북구 장량 중앙로 49 (양덕동 )
이마트에브리데이|포항연일점|054-283-4664.4774|경상북도 포항시 남구 연일읍 유강길 17 (유강리 590-9,10)
이마트에브리데이|포항원동점|054-293-7267|경상북도 포항시 남구 오천읍 남원로 85-91 (원리)
이마트에브리데이|포항학천점|054-261-8845|경상북도 포항시 북구 흥해읍 도음로917번길 12-12(학천리)
이마트에브리데이|풍무2호점|031-986-1621,0670|경기도 김포시 풍무로 64 (풍무동)
이마트에브리데이|풍무동점|031-904-1234|경기도 김포시 유현로 52 (풍무동 532-3 김포프라임빌복합상가 지하1층)
이마트에브리데이|하남미사점|031-8027-2992|경기도 하남시 미사강변대로 226번길 21, B 101-103, 204호 (망월동, 미사프라자)
이마트에브리데이|하안동점|02-894-3542,3|경기도 광명시 하안로 288번길 15 (하안동 61-1 1층)
이마트에브리데이|하양점|053-857-8900,7744|경상북도 경산시 하양읍 대학로 295길 2 (금락리 401-1)
이마트에브리데이|행신동점|031-978-2200,2294|경기도 고양시 덕양구 무원로 63 (행신동
이마트에브리데이|형곡동점|054-452-7007,8|경상북도 구미시 경은로 88 (형곡동 143-19)
이마트에브리데이|호구포역점|032-429-8692~3|인천광역시 남동구 호구포로 218 (논현동 636-4)
이마트에브리데이|홍성남장점|041-406-7750|충청남도 홍성군 홍성읍 홍장북로 414-19
이마트에브리데이|홍성내포점|041-406-7111|충청남도 홍성군 홍북읍 홍학로 77
이마트에브리데이|화곡동점|02-2281-3660|서울특별시 강서구 화곡로 274 (화곡동 982-17 ,크라운오피스텔 1층)
이마트에브리데이|흑석동점|02-814-9320|서울특별시 동작구 서달로 158 (흑석동 97-2)
