##NAME|SUBNAME|TELNUM|ADDR|FEAT|SOURCE2@@고캠핑
(주)에이치엠제이-디투어스캠프클럽|||충북 제천시 청풍면 연곡리 226번지||한국관광공사
숲속의야영장|||경기 양평군 옥천면 사기점길 49-15||한국관광공사
오목골캠핑장-맑은숲캠프||1644-7332-|경기도 양평군 청운면 다대리 산45-2번지 외 4필지  오목골캠핑장|전기;와이파이;온수;놀이터;산책로;운동시설|한국관광공사
정선국민여가캠핑장/(회동솔향캠핑장)||033-560-3454|강원도 정선군 정선읍 회동리  170|전기;와이파이;온수;운동시설|한국관광공사
해자연캠핑장||010-8307-3800|경기 남양주시 오남읍 팔현로175번길 310-60||한국관광공사
초리/포레스트||0507-1319-1772|경기 파주시 법원읍 초리골길 456-55||한국관광공사
섬진강향가오토캠핑장||063-652-9001|전라북도 순창군 풍산면 대가리  7-1|전기;와이파이;장작판매;물놀이장;놀이터;운동장;운동시설;마트.편의점|한국관광공사
녹두장군/전봉준관||063-650-1633|전라북도 순창군 쌍치면 금성리  276|전기;산책로|한국관광공사
섬진강/마실휴양숙박시설단지||063-653-9688|전라북도 순창군 적성면 강경길 76-165  섬진강 마실휴양숙박시설단지|전기;장작판매;온수;운동시설|한국관광공사
청산별곡|||전라북도 순창군 수장2길 38-4  청산별곡|전기;와이파이;장작판매;온수;산책로|한국관광공사
순창향/관광농원&오토캠핑장||063-652-9288|전라북도 순창군 구림면 구림로 3-2  순창향 관광농원&오토캠핑장|전기;장작판매;온수;놀이터;산책로;운동시설|한국관광공사
묵림산방|||전북 순창군 구림면 안정리 233|전기;온수;물놀이장;놀이터|한국관광공사
웅이네캠핑장|||전라북도 순창군 복흥면 대방리  285-10|전기;와이파이;장작판매;온수;물놀이장;놀이터;운동시설|한국관광공사
국립회문산자연휴양림||063-653-4779|전라북도 순창군 구림면 안심길 249  국립회문산자연휴양림|놀이터|한국관광공사
강천산캠핑(뜨란채)||063-653-1306|전라북도 순창군 팔덕면 청계리  1028번지|전기;와이파이;온수;물놀이장;놀이터|한국관광공사
달궁힐링야영장||063-630-8900|전라북도 남원시 산내면 덕동리 287-3|운동시설|한국관광공사
지리산산내들펜션야영장|||전라북도 남원시 산내면 천왕봉로 892  지리산산내들펜션야영장|전기;장작판매;온수;놀이터|한국관광공사
남원/자연휴양림||063-633-5333|전라북도 남원시 갈치동  산 50-1|전기;운동시설|한국관광공사
뱀사골/힐링야영장||063-630-8900|전라북도 남원시 산내면 부운리 256번지  256|놀이터|한국관광공사
지리산천왕봉야영장||055-626-1915|전라북도 남원시 지리산로 1241 천왕봉식당 지리산천왕봉야영장|전기;장작판매;온수;놀이터;운동시설|한국관광공사
남원/백두대간/국민여가캠핑장||063-620-5752|전북 남원시 운봉읍 주촌3길 49-4|전기;놀이터;산책로;마트.편의점|한국관광공사
내장산국립공원/내장야영장||063-538-7886|전라북도 정읍시 내장동 내장산로 800(내장동 92-2)|전기;놀이터|한국관광공사
정읍시/내장산/국민여가캠핑장||063-538-7955|전라북도 정읍시 내장산로 390  정읍시 내장산 국민여가캠핑장|전기;와이파이;온수;물놀이장;산책로;운동장|한국관광공사
로하스캠핑||063-538-5180|전라북도 정읍시 산내면 종성리 662|전기;물놀이장;놀이터|한국관광공사
운일암반일암관광지/야영장||063-433-9205|전라북도 진안군 주천면 동상주천로 1716  운일암반일암|운동시설|한국관광공사
마령큰시내들캠핑장||063-433-9442|전북 진안군 마령면 강정리 655-1  마령큰시내들캠핑장|전기;와이파이;장작판매;온수;트렘폴린;물놀이장;운동시설|한국관광공사
마이산/풍혈냉천/캠핑장|||전라북도 진안군 성수면 용포리  산 217|전기;와이파이;장작판매;온수;물놀이장;운동시설|한국관광공사
진안국제/캠핑장||063-433-1471|전라북도 진안군 용담면 와룡리  74-1 진안국제캠핑장|전기;와이파이;장작판매;온수;물놀이장;운동시설|한국관광공사
진안풍경/소리/펜션/캠핑장||010-9077-0761|전북 진안군 안천면 상배실길 36-19|전기;와이파이;장작판매;온수|한국관광공사
별빛두레펜션/캠핑장||063-432-6068|전라북도 진안군 석원로 24-0 석정휴게소  별빛두레펜션|전기;장작판매;운동시설|한국관광공사
운장산/자연휴양림||063-432-1193|전라북도 진안군 정천면 휴양림길 77  운장산 자연휴양림||한국관광공사
장수누리파크/오토캠핑장||063-352-5660|전라북도 장수군 장수읍 논개사당길 65|전기;온수;놀이터|한국관광공사
와룡자연휴양림/야영장||063-353-1404|전라북도 장수군 천천면 비룡로 538-73  와룡 자연휴양림|물놀이장;산책로;운동장;마트.편의점|한국관광공사
장수방화동캠핑장||063-352-6645|전라북도 장수군 번암면 사암리  64|전기;와이파이;장작판매;온수;트렘폴린;운동시설|한국관광공사
무주수목원캠핑장||063-322-0080|전북 무주군 설천면 구천동로 1092-34|전기;와이파이;장작판매;온수|한국관광공사
무주/글램핑|||전라북도 무주군 설천면 삼공리  524-12|물놀이장;놀이터;운동시설|한국관광공사
무주카라반||063-322-7111|전라북도 무주군 설천면 심곡리  474-2||한국관광공사
해밀캠핑장|||전라북도 무주군 안성면 덕산리  1318-3|전기;와이파이;장작판매;온수;산책로;운동시설|한국관광공사
덕유산/글램핑|||전라북도 무주군 설천면 삼공리  308|전기;와이파이;장작판매;온수;물놀이장;운동장;운동시설;마트.편의점|한국관광공사
덕유캠프농장|||전라북도 무주군 설천면 구천동로 1262-4  덕유캠프농장|전기;와이파이;장작판매;온수;운동시설|한국관광공사
구천동가는길/카라반||063-322-2772|전라북도 무주군 설천면 삼공리  519-10|전기;온수;운동시설|한국관광공사
반딧골캠핑장||063-322-7265|전라북도 무주군 설천면 두길리  1384|전기;와이파이;장작판매;온수;물놀이장;운동시설|한국관광공사
무주/솔밭야영장||010-5207-4803|전라북도 무주군 안성면 죽천리  377-1|전기;와이파이;장작판매;온수;물놀이장;놀이터;산책로;운동장|한국관광공사
덕유산700휠링캠프(무주/네버랜드내)||063-322-8338|전라북도 무주군 무풍면 삼거리  137|전기;장작판매;온수;물놀이장;놀이터;운동장|한국관광공사
깊은골캠핑장||063-324-3470|전라북도 무주군 구천동로 1284-6  깊은골자동차야영장|전기;와이파이;장작판매;온수;놀이터;운동시설|한국관광공사
(주)밀모/빨강치마/야영장||063-322-7000|전라북도 무주군 적상면 사산리  산235|전기;와이파이;장작판매;온수;산책로;운동장;운동시설;마트.편의점|한국관광공사
무주홀리데이파크||063-323-9000|전라북도 무주군 안성면 공정리  1304|전기;와이파이;장작판매;온수;물놀이장;운동시설|한국관광공사
그날카라반|||전라북도 무주군 설천면 심곡리 651  그날카라반|물놀이장|한국관광공사
무주/구천동/캠핑장||063-322-5632|전라북도 무주군 설천면 심곡리  270|전기;장작판매;온수;물놀이장;놀이터;운동시설|한국관광공사
더하루야영장||063-322-2311|전라북도 무주군 구천동로 543-0  더하루야영장|물놀이장|한국관광공사
전주/도란도란카라반|||전라북도 전주시 완산구 간납로 13  전주 도란도란카라반||한국관광공사
오수애견캠핑장||063-644-1130|전라북도 임실군 오수면 금암리  252-5|전기;장작판매;온수;물놀이장;놀이터;산책로;운동장;운동시설|한국관광공사
강변사리/캠핑장||063-642-5351|전라북도 임실군 덕치면 강동로 865-20|전기;장작판매;온수;물놀이장;놀이터;운동장;운동시설|한국관광공사
하늘구름길/캠핑장|||전라북도 임실군 성수면 왕방길 199-4  하늘구름길 캠핑장|전기;온수;놀이터;운동장;운동시설|한국관광공사
웅포관광지/캠핑장||063-861-7800|전라북도 익산시 웅포면 강변로 25|온수;놀이터;산책로;운동장;운동시설|한국관광공사
성당포구금강체험관야영장||063-862-3918|전라북도 익산시 성당면 성당리  283-6|전기;물놀이장;놀이터;산책로;운동장|한국관광공사
고산/무궁화/오토캠핑장||063-290-|전라북도 완주군 고산면 오산리  808|전기;온수;놀이터;운동장|한국관광공사
선야봉/캠핑장|||전라북도 완주군 운주면 고당리  230 선야봉캠핑장|전기;와이파이;장작판매;온수;트렘폴린;물놀이장;운동시설|한국관광공사
대둔산글램핑캠핑장||063-263-8070|전라북도 완주군 운주면 장선리  310-17|전기;온수;트렘폴린;물놀이장;운동시설|한국관광공사
동상힐링캠핑장/(힐링캠핑장)|||전라북도 완주군 동상면 신월리  223-1|전기;장작판매;온수;트렘폴린;물놀이장;마트.편의점|한국관광공사
대둔산/그린시티/오토캠핑장|||전라북도 완주군 운주면 산북리  157-1|전기;온수;트렘폴린;물놀이장;놀이터;운동시설|한국관광공사
다람쥐/쉼터||0--|전라북도 완주군 운주면 금고당로 1016  다람쥐 쉼터|전기;와이파이;장작판매;온수;운동시설|한국관광공사
예원캠핑장||063-243-|전라북도 완주군 동상면 송광수만로 1079-126  예원캠핑장|전기;장작판매;온수;물놀이장;놀이터;산책로;운동장;운동시설|한국관광공사
래미안밸리캠핑장|||전라북도 완주군 운주면 금고당로 617  래미안밸리캠핑장|전기;와이파이;장작판매;온수;물놀이장;운동시설|한국관광공사
산너머그곳/캠핑장|||전라북도 완주군 동상면 송광수만로 1080  산너머그곳 캠핑장|전기;온수;물놀이장;놀이터;운동시설|한국관광공사
에코오토캠핑장(동상)|||전라북도 완주군 동상면 대아수목로 144-1  에코오토캠핑장(동상)|전기;장작판매;온수;놀이터;운동시설|한국관광공사
완주소양캠핑장||063-241-6155|전라북도 완주군 소양면 해월리  898|전기;와이파이;장작판매;온수;물놀이장;놀이터;운동시설;마트.편의점|한국관광공사
민들레동산/캠핑장||063-261-5153|전라북도 완주군 화산면 종리  55-1|전기;와이파이;장작판매;온수;물놀이장;놀이터;운동장;운동시설|한국관광공사
호연재|||전라북도 완주군 소양면 대흥리 478||한국관광공사
줄포만갯벌생태공원/캠핑장/(구/마루아라힐링캠프)||063-580-3171|전북 부안군 줄포면 생태공원로 38 513|전기;와이파이;온수;놀이터;산책로;운동장;마트.편의점|한국관광공사
내소힐링캠프|||전북 부안군 진서면 원암길 49-6 314-3|전기;와이파이;장작판매;온수;물놀이장;놀이터;운동시설;마트.편의점|한국관광공사
변산/오토캠핑장/(구/가자/변산/비치/캠핑장)||063-548-8862|전북 부안군 변산면 대항리 607|전기;와이파이;장작판매;온수;산책로|한국관광공사
이순신글램핑|||전북 부안군 변산면 궁항로 178 701-1|전기;와이파이;장작판매;온수;물놀이장;놀이터|한국관광공사
변산리조트||063-584-1700|전북 부안군 변산면 격포로 453-10|전기;와이파이;장작판매;온수;트렘폴린;물놀이장;놀이터;산책로;운동장;운동시설;마트.편의점|한국관광공사
모꼬지캠핑장||063-543-4035|전북 김제시 금산면 모악로 167-16|전기;와이파이;장작판매;온수;물놀이장;놀이터;운동시설|한국관광공사
청암산오토캠핑장||063-465-3357|전라북도 군산시 옥산면 대위로 50|전기;장작판매;온수;물놀이장;놀이터;운동장;운동시설;마트.편의점|한국관광공사
별헤는/밤|||전라북도 고창군 상하면 용정리  1162-2||한국관광공사
914해변캠핑장||063-564-6096|전북 고창군 상하면 진암구시포로 539-18 529-5|전기;와이파이;장작판매;온수;트렘폴린;운동시설|한국관광공사
구시포/해수욕장/노을/캠핑장|||전라북도 고창군 구시포안길 38|전기;장작판매;온수;놀이터;산책로|한국관광공사
고창/오토캠핑/리조트/(고창군국민여가캠핑장)||063-562-3318|전라북도 고창군 부안면 복분자로 531|전기;와이파이;온수;물놀이장;놀이터;산책로;운동장;운동시설;마트.편의점|한국관광공사
땅끝바다낚시터&글램핑|||전라남도 해남군 송지면 송호리  1220-11|물놀이장|한국관광공사
땅끝황토나라테마촌||061-533-9822|전라남도 해남군 송지면 땅끝해안로 1730  땅끝황토나라테마촌|전기;온수;물놀이장;놀이터;산책로;운동시설;마트.편의점|한국관광공사
땅끝오토캠핑장||061-534-0830|전라남도 해남군 송지면 갈산길 25-15  땅끝오토캠핑장|전기;온수;놀이터;산책로;운동장|한국관광공사
가학산/자연휴양림||061-535-4812|전라남도 해남군 계곡면 산골길 306  가학산자연휴양림|전기;물놀이장;놀이터|한국관광공사
석양마을/주포||061-322-0922|전라남도 함평군 함평읍 주포로 403-6|전기;장작판매;온수;물놀이장;놀이터;운동장;운동시설;마트.편의점|한국관광공사
함평자연생태공원/캠핑장||061-320-3530|전남 함평군 대동면 학동로 1398-77 500-1|전기;온수;놀이터|한국관광공사
함평나비마을/서울캠핑장||061-324-6251|전라남도 함평군 함평읍 함장로 730|전기;와이파이;장작판매;온수;트렘폴린;물놀이장;놀이터;산책로;운동장;운동시설;마트.편의점|한국관광공사
진도풍경오토캠핑장||061-543-2002|전라남도 진도군 의신면 의신사천길 15-21|전기;와이파이;장작판매;온수;놀이터;운동시설|한국관광공사
완도/명사십리/오토캠핑장|||전남 완도군 신지면 명사십리61번길 54 675-2|전기;와이파이;장작판매;온수;물놀이장;놀이터;산책로;운동장;운동시설;마트.편의점|한국관광공사
첫마을/관광타운||061-555-1505|전라남도 완도군 군외면 대문리  691-2|전기;장작판매;온수;물놀이장;놀이터;마트.편의점|한국관광공사
몽산포/자동차/야영장||041-672-7267|충청남도 태안군 남면 몽산포길 54  태안해안사무소 몽산포 자동차 야영장|산책로;마트.편의점|한국관광공사
청포대숲속야영장|||충남 태안군 남면 청포대길 32-8 청포대숲속야영장||한국관광공사
몽산포패밀리데이캠핑장|||충남 태안군 남면 몽산포길 67-9 충청남도 태안군 남면 신장리 353-148||한국관광공사
몽산포홀리데이파크/(블루오션리조트,/오션파크)||041-672-3043|충청남도 태안군 남면 신장리 353-148|전기;장작판매;온수;놀이터;산책로;운동시설;마트.편의점|한국관광공사
구름포오토캠핑장||010-5420-5105|충청남도 태안군 소원면 의항리  157|온수;운동시설|한국관광공사
F1/오토캠핑장||070-4227-7788|전라남도 영암군 삼호읍 삼포리  1894|온수;운동장|한국관광공사
천황사/천황/야영장||061-473-5210|전라남도 영암군 영암읍 천황사로 280-73  천황사(일반 국립공원)|전기;온수;물놀이장;놀이터;운동장|한국관광공사
OK가족캠핑장|||전남 영광군 대마면 영장로10길 4|전기;와이파이;장작판매;온수;트렘폴린;물놀이장;산책로;운동시설;마트.편의점|한국관광공사
대덕산농원캠핑장|||전남 영광군 법성면 대덕길2길 105 대덕힐링캠핑장|전기;와이파이;장작판매;온수;트렘폴린;물놀이장;놀이터;운동시설;마트.편의점|한국관광공사
궁지골/농원||061-351-3592|전남 영광군 묘량면 밀재로7길 140 궁지골 농원|전기;온수;물놀이장;놀이터;산책로;운동장|한국관광공사
스토리캠프||061-352-4848|전라남도 영광군 영광읍 물무로3길 185-19  스토리캠프|전기;와이파이;장작판매;온수;물놀이장;놀이터;산책로;운동장;운동시설|한국관광공사
가마미야영장||061-350-5413|전남 영광군 홍농읍 계마길 120|전기;운동시설|한국관광공사
프로방스펜션||070-4239-0677|전라남도 영광군 백수읍 해안로 677|전기;장작판매;물놀이장;산책로;마트.편의점|한국관광공사
해안도로/캠핑||061-352-5866|전라남도 영광군 백수읍 해안로 918 해안도로 캠핑|전기;와이파이;온수;놀이터;운동시설|한국관광공사
신안우전설레미캠핑장||061-275-3692|전남 신안군 증도면 지도증도로 1797-1 42|전기;와이파이;장작판매;온수;놀이터;운동장|한국관광공사
아름다운글램핑장||061-271-8633|전남 신안군 압해읍 복룡로 669-12 147|와이파이;장작판매;온수;놀이터;운동장|한국관광공사
(주)태평소금/천일염/힐링캠프||061-275-1596|전라남도 신안군 증도면 지도증도로 1053-11|전기;장작판매;온수;물놀이장;놀이터;마트.편의점|한국관광공사
몽돌바다캠핑장||061-262-8872|전남 신안군 암태면 진작지길 139-63 413-2|전기;와이파이;장작판매;온수;산책로;운동장;운동시설|한국관광공사
하늘바다캠핑장|||전라남도 신안군 안좌면 존포길 234-63|전기;장작판매;온수;물놀이장;놀이터;운동시설|한국관광공사
순천국민여가캠핑장||061-749-8948|전라남도 순천시 서면 청소년수련원길 170  순천국민여가캠핑장|전기;온수;놀이터|한국관광공사
순천/승주CC/글램핑||061-740-8151|전라남도 순천시 별량면 오실길 333-1|전기;와이파이;운동시설|한국관광공사
율포오토캠핑장||061-853-4488|전남 보성군 회천면 충의로 52 527-1|전기;와이파이;장작판매;온수;트렘폴린;산책로;운동장;운동시설;마트.편의점|한국관광공사
제암산자연휴양림/야영장||061-852-4434|전남 보성군 웅치면 대산길 330 산113-1|물놀이장;놀이터;산책로;운동장;운동시설;마트.편의점|한국관광공사
보성드림캠핑장|||전라남도 보성군 득량면 공룡로 751 드림캠핑장|전기;와이파이;장작판매;온수;운동장;운동시설|한국관광공사
하느제캠핑장||061-857-1544|전남 보성군 벌교읍 옥전1길 480 1130|전기;와이파이;장작판매;온수;물놀이장;놀이터;운동시설|한국관광공사
회산백련지/오토캠핑장||061-283-1325|전남 무안군 일로읍 백련로 333 회산백련오토캠핑장|전기;장작판매;온수;산책로;운동장|한국관광공사
무안황토/갯벌랜드/오토캠핑장||061-450-5636|전남 무안군 해제면 만송로 36|전기;온수;물놀이장;놀이터;산책로;운동장;운동시설;마트.편의점|한국관광공사
담양/금성산성/오토캠핑장||061-383-7272|전남 담양군 금성면 새덕굴길 135-88 산90|전기;장작판매;온수;물놀이장;놀이터;산책로;운동시설;마트.편의점|한국관광공사
가족소풍||061-383-4811|전남 담양군 용면 용소길 6 742-4|전기;와이파이;장작판매;온수;트렘폴린;물놀이장;놀이터;산책로;운동시설|한국관광공사
누룽지||061-381-7510|전라남도 담양군 용면 추월산로 1316  누룽지|전기;와이파이;장작판매;온수;물놀이장;놀이터;산책로;마트.편의점|한국관광공사
추월산골드캠핑장||061-383-9210|전남 담양군 용면 가마골로 221-4 221-4|전기;와이파이;장작판매;온수;트렘폴린;물놀이장;운동시설;마트.편의점|한국관광공사
(주)디노담양힐링파크/지점||061-383-5155|전남 담양군 봉산면 탄금길 9-26|전기;와이파이;장작판매;온수;트렘폴린;물놀이장;놀이터;산책로;운동시설;마트.편의점|한국관광공사
해오름펜션야영장|||전남 담양군 용면 월계길 50 헤오름팬션|전기;와이파이;장작판매;온수;물놀이장;놀이터;산책로;운동장;운동시설|한국관광공사
마루한관광농원|||전남 담양군 금성면 상신기길 108 101|전기;와이파이;장작판매;온수;트렘폴린;물놀이장;놀이터;운동시설;마트.편의점|한국관광공사
나주/글램핑/어스|||전라남도 나주시 경현동 96-1||한국관광공사
자연애스토리|||전라남도 나주시 문평면 학교리  160-2|전기;와이파이;장작판매;온수;물놀이장;마트.편의점|한국관광공사
피아골오토캠핑장||061-783-5222|전라남도 구례군 토지면 원기양지길 26  피아골오토캠핑장|전기;와이파이;장작판매;온수;물놀이장;놀이터;산책로;운동장;운동시설|한국관광공사
피아골단풍공원야영장||010-9986-5431|전라남도 구례군 토지면 남산길 13  피아골단풍공원야영장|전기;온수;물놀이장;놀이터;산책로|한국관광공사
지리산오토캠핑장||061-781-9114|전라남도 구례군 산동면 수락폭포로 170-5  지리산오토캠핑장|전기;장작판매;온수;놀이터;산책로;운동장;마트.편의점|한국관광공사
섬지캠핑장||061-782-5576|전라남도 구례군 토지면 외곡리 963-4|전기;장작판매;온수;물놀이장;놀이터|한국관광공사
지리산반내골오토캠핑장||061-781-5400|전라남도 구례군 문척면 중산리  276|전기;와이파이;장작판매;온수;물놀이장;운동시설|한국관광공사
돌풀마루||070-7778-4669|전라남도 구례군 산동면 위안리  760|전기;온수;운동시설|한국관광공사
느랭이골||1588-2704-2704|전라남도 광양시 다압면 신원리 산125|전기;와이파이;온수;놀이터|한국관광공사
도림사오토캠핑장||061-363-6224|전남 곡성군 곡성읍 도림로 74 구원리 553-3|전기;온수;트렘폴린;놀이터;산책로;운동장;운동시설;마트.편의점|한국관광공사
청계동/솔바람야영장||061-884-7000|전라남도 곡성군 곡성읍 신기리 산159-1|전기;온수;놀이터;운동시설;마트.편의점|한국관광공사
좋은세상리조트||061-362-5555|전라남도 곡성군 죽곡면 대황강로 1397-37  좋은세상리조트|전기;온수;물놀이장;놀이터|한국관광공사
목사골/야영장||061-362-8466|전남 곡성군 목사동면 용봉리 425|전기;온수;물놀이장;놀이터|한국관광공사
자연애/품/캠핑장||061-363-7227|전라남도 곡성군 옥과면 주산리  591|전기;와이파이;장작판매;온수;물놀이장;놀이터;산책로;운동시설|한국관광공사
청개울낚시/캠핑장||061-362-8807|전라남도 곡성군 입면 제월리  1242-13|전기;온수;물놀이장;산책로;마트.편의점|한국관광공사
두레관광농원/아리솔캠핑장|||전남 곡성군 고달면 고달리 산 22|전기;놀이터;운동시설;마트.편의점|한국관광공사
꿈꾸는캠핑장||010-8820-4887|전라남도 곡성군 고달면 고달리  산 27-1|전기;장작판매;온수;물놀이장;놀이터;운동시설|한국관광공사
섬진강문화학교/캠핑장||061-362-0313|전라남도 곡성군 죽곡면 동계리  269|전기;와이파이;장작판매;온수;물놀이장;놀이터;산책로;운동장;운동시설;마트.편의점|한국관광공사
형원레져||061-432-2782|전남 강진군 도암면 월곶로 426 145|전기;와이파이;장작판매;온수;놀이터;운동시설|한국관광공사
청자촌/오토캠핑장||061-434-9939|전남 강진군 대구면 청자촌길 42-5 청자촌 오토캠핑장|전기;와이파이;장작판매;온수;물놀이장;놀이터;운동장;운동시설|한국관광공사
가우도카라반펜션||061-434-6633|전남 강진군 대구면 저두바닷길 3|전기;와이파이;온수;물놀이장;놀이터;운동시설|한국관광공사
주작산자연휴양림/야영장||061-430-3306|전남 강진군 신전면 주작산길 262 산65-1|전기;온수;놀이터;마트.편의점|한국관광공사
강진자연드림팜핑관광농원|||전라남도 강진군 대구면 저두리  23|전기;장작판매;온수;트렘폴린;물놀이장;운동장;운동시설|한국관광공사
주작산/별소리캠핑장|||전남 강진군 신전면 삼인길 102-79 837-3|전기;와이파이;장작판매;온수;트렘폴린;물놀이장;놀이터;마트.편의점|한국관광공사
영산강/승촌보캠핑장||061-333-9638|광주광역시  남구 승촌동 577|전기;온수;놀이터;산책로|한국관광공사
