##NAME|SUBNAME|TELNUM|NEWADDR|FEAT|PARKING|COST|OT|DATE|ID|XCOORD|YCOORD|SOURCE2@@지역축제
형형색색 달구벌 관등놀이 2019||053-761-0701|대구광역시 달서구 공원순환로 201|가볼만한축제;가족여행;관광지;기차여행;나들이;데이트코스;아이와함께;연인과함께;이색체험;전통&역사문화체험;체험학습;친구와함께;형형색색달구벌관등놀이;힐링||||20190405~20190506|de6e21fb-1ca0-4fae-b5aa-350a8e67ef12|128.5594887553|35.8451165839|한국관광공사
대청호 벚꽃축제 2019||042-251-6672|대전광역시 동구 회남로 183-16|관광지||무료|3시간|20190405~20190407|d0813080-ae2b-4532-b895-61824c35a076|127.4999240827|36.3628634702|한국관광공사
금천 하모니 벚꽃축제 2019||02-2627-1445, 2999|서울특별시 금천구 시흥대로73길 70|가볼만한축제;가족여행;관광지;금천하모니벚꽃축제;기차여행;꽃여행;나들이;데이트코스;수도권;아이와함께;연인과함께;이색체험;체험학습;친구와함께;힐링||무료|기간내자유|20190405~20190406|efaf878d-2081-4512-a0ca-9ee6395fed09|126.8946873249|37.4560739122|한국관광공사
진해 군악의장 페스티벌 2019||055-548-2845|경상남도 창원시 진해구 충무로 37|가볼만한축제;가족여행;경상권;관광지;나들이;아이와함께;연인과함께;진해군악의장페스티벌;친구와함께||무료|기간내 자유|20190405~20190407|473bf479-6f57-4b15-b633-8a5971282dbe|128.6544050244|35.1488634374|한국관광공사
김제 모악산축제 2019||063-540-3032|전라북도 김제시 금산면 모악로 455|가볼만한축제;가족여행;관광지;기차여행;김제모악산축제;나들이;데이트코스;등산로;아이와함께;연인과함께;이색체험;전라권;체험학습;친구와함께;힐링||무료|기간내 자유|20190405~20190407|05cc00e6-4be4-48b3-b7a9-128e4f8dee1d|127.0402488564|35.7188288389|한국관광공사
서울대공원 벚꽃축제 2019||02-500-7335, 7337|경기도 과천시 대공원광장로 102|가볼만한축제;가족여행;관광지;꽃여행;나들이;데이트코스;서울근교여행;서울대공원벚꽃축제;수도권;아이와함께;연인과함께;이색체험;체험학습;친구와함께;힐링||- 호수둘레길 : 무료- 동물원 입장료 : 성인 5,000원청소년 3,000원어린이 2,000원|기간내자유|20190406~20190421|7dfa9874-a59a-418e-8a4c-3aecb5220e1d|127.0141159025|37.4362505701|한국관광공사
천주산 진달래축제 2019||055-298-9414|경상남도 창원시 의창구 신월동|가볼만한축제;가족여행;경상권;관광지;기차여행;꽃여행;나들이;데이트코스;아이와함께;연인과함께;이색체험;천주산진달래축제;체험학습;친구와함께;힐링||무료|기간 내 자유|20190406~20190407|0af96a22-0b39-45e7-ae8d-540e575946c0|128.5908572660|35.2715790619|한국관광공사
제주 유채꽃축제 2019||064-787-3966|제주특별자치도 서귀포시 표선면 녹산로 381-15|가볼만한축제;가족여행;관광지;꽃여행;나들이;데이트코스;섬여행;아이와함께;연인과함께;이색체험;자연좋은곳;제주권;제주유채꽃축제;체험학습;친구와함께;힐링||무료|시간내자유|20190404~20190407|3651e917-13fa-4616-bc70-75039a30ba22|126.7363323235|33.3830799862|한국관광공사
희망나눔 1m1원 자선걷기 2019||031-230-1694|경기도 수원시 영통구 광교호수로 57|관광지||참가기부금 10,000원 이상|4시간 (자선걷기 1시간30분 / 자선콘서트 1시간30분 / 접수 및 부스참여 1시간)|20190406~20190406|c4a33344-9a8c-4ded-aff1-5e4416fa28f9|127.0652491222|37.2749757348|한국관광공사
원미산 진달래축제 2019||032-625-5382~4|경기도 부천시 소사로 482|가볼만한축제;가족여행;관광지;기차여행;꽃여행;나들이;데이트코스;서울근교여행;수도권;아이와함께;연인과함께;원미산진달래축제;이색체험;체험학습;친구와함께;힐링||무료|기간내 자유|20190406~20190407|7193d4af-9c7c-421f-a08b-92137d0e35fb|126.7979448268|37.5029084162|한국관광공사
부산 낙동강 유채꽃축제 2019||051-501-6051|부산광역시 강서구 공항로 1285|가볼만한축제;가족여행;경상권;관광지;기차여행;꽃여행;나들이;데이트코스;부산낙동강유채꽃축제;아이와함께;연인과함께;이색체험;체험학습;친구와함께;힐링||무료 (일부 유료)||20190406~20190414|27dae83f-1007-4bb6-a90a-d1515e1bf8f0|128.9867798506|35.2132567428|한국관광공사
이월드 튤립축제 2019||053-620-0001|대구광역시 달서구 두류공원로 200|가볼만한축제;가족여행;관광지;기차여행;꽃여행;나들이;데이트코스;아이와함께;연인과함께;이색체험;이월드튤립축제;체험학습;친구와함께;힐링||자세한 내용은 홈페이지 참고|기간내자유|20190406~20190421|3a351528-f59d-4e44-82c1-395c8b8eadc5|128.5648324581|35.8548822436|한국관광공사
양평 산수유한우축제 2019||031-772-7181|경기도 양평군 개군면 산수유1길 1|가볼만한축제;가족여행;관광지;기차여행;꽃여행;나들이;데이트코스;수도권;아이와함께;양평산수유한우축제;연인과함께;이색체험;체험학습;친구와함께;힐링||무료|기간내자유|20190406~20190407|14c144d6-ff84-49b5-8c5e-00085e99fb62|127.5578524311|37.4440178594|한국관광공사
창덕궁 달빛기행 2019||070-4422-3388|서울특별시 종로구 율곡로 99|15_16한국관광100선;17_18한국관광100선;19_20한국관광100선;가볼만한축제;가족여행;관광지;나들이;달빛기행;서울;수도권;아이와함께;연인과함께;창덕궁;창덕궁달빛기행;창덕궁야간;친구와함께;한국관광100선;힐링||입장권 30,000원|약 2시간|20190404~20191027|eaf1594a-6f7c-4152-87f0-a4350d5df4f7|126.9901029261|37.5796251553|한국관광공사
기장 파머스마켓 2019||신세계사이먼 1644-4001|부산광역시 기장군 장안읍 정관로 1133|관광지||별도 이용요금 없음||20190406~20190421|393e9b68-0dee-4bae-a5b3-04c358ca48b5|129.2349663005|35.3237378468|한국관광공사
양산 유채꽃 향연 2019||농업기술센터 055-392-5341~3|경상남도 양산시 신기강변1길 11|가볼만한축제;가족여행;경상권;관광지;기차여행;꽃여행;나들이;데이트코스;아이와함께;양산유채꽃향연;연인과함께;이색체험;체험학습;친구와함께;힐링||무료|기간내자유|20190406~20190414|3b7e6a9a-1122-4153-abc3-7d23d74df705|129.0347052197|35.3510199504|한국관광공사
개암동 벚꽃축제 2019||063-582-5031|전라북도 부안군 상서면 개암로 197|관광지||무료|1시간|20190406~20190407|eb41ae8f-8707-4a32-b1a9-6efb9364c405|126.6549957639|35.6605122244|한국관광공사
[유망축제] 영암왕인문화축제 2019||061-470-2350|전라남도 영암군 군서면 왕인로 440|2019문화관광축제;가볼만한축제;가족여행;관광지;나들이;아이와함께;역사문화체험;연인과함께;영암왕인문화축제;유적지;이색체험;전라권;전통문화체험;체험학습;친구와함께;힐링||무료|기간내자유|20190404~20190407|17a16f42-c187-4c77-8d5f-c6b212e2536a|126.6304148351|34.7566140519|한국관광공사
동대문 봄꽃축제 2019||02-2127-4711|서울특별시 동대문구 장안동|가볼만한축제;가족여행;관광지;기차여행;꽃여행;나들이;데이트코스;도심여행;동대문봄꽃축제;수도권;아이와함께;연인과함께;이색체험;체험학습;친구와함께;힐링||무료|기간내자유|20190406~20190407|cbf4a7be-fb8b-4304-8ace-5c7eecdd1358|127.0734623696|37.5665253996|한국관광공사
롯데월드타워 국제 수직마라톤대회 2019||02-3496-7812|서울특별시 송파구 올림픽로 300|관광지||40,000원||20190406~20190406|4abc4f2a-bed3-4373-85ca-4064e0dc006e|127.1042832896|37.5136209882|한국관광공사
한국민속촌 웰컴투조선 2019||031-288-2933|경기도 용인시 기흥구 민속촌로 90|가볼만한축제;가족여행;관광지;기차여행;나들이;데이트코스;서울근교여행;수도권;아이와함께;연인과함께;이색체험;전통&역사문화체험;체험학습;친구와함께;한국민속촌웰컴투조선;힐링||-입장권: 성인 20,000원, 청소년 17,000원, 아동 15,000원자유이용권: 성인 28,000원, 청소년 25,000원, 아동 22,000원(<a href="http://www.koreanfolk.co.kr/information/guide.asp" target="_blank" title="새창: 한국민속촌 홈페이지로 이동">http://www.koreanfolk.co.kr</a>)|기간내자유|20190406~20190623|845c2a70-6d11-4bda-b286-7f6a6b3569c2|127.1205445440|37.2593868634|한국관광공사
면천 진달래민속축제 2019||041-360-8351~2|충청남도 당진시 면천면 면천서문1길 69|가볼만한축제;가족여행;관광지;기차여행;꽃여행;나들이;데이트코스;면천진달래민속축제;아이와함께;연인과함께;이색체험;체험학습;충청권;친구와함께;힐링|||기간내 자유|20190406~20190407|b65d5ddc-e896-4cfb-a56a-1f7ec2a28e68|126.6670088811|36.8170771802|한국관광공사
내나라여행박람회 2019||02-757-7485|서울특별시 강남구 영동대로 513|가볼만한축제;가족여행;관광지;내나라여행박람회;박람회;수도권;아이와함께;연인과함께;친구와함께||성인(19세 이상) : 5,000원|시간내 자유|20190404~20190407|c7b2c631-eb1b-4a05-bfab-7b11da5030d0|127.0591874466|37.5117592813|한국관광공사
비발디파크 벚꽃축제 2019||1588-4888|강원도 홍천군 서면 한치골길 262|관광지||무료입장부분 유료(식음, 부대시설, 체험 外)|기간내자유|20190406~20190414|80d34fa5-70bc-4784-8b1c-f606c006fc98|127.6872818598|37.6523127630|한국관광공사
구로거리공원 벚꽃축제 2019||구로5동 주민센터 (02-2620-7603)|서울특별시 구로구 공원로 71|관광지||무료|기간내자유|20190406~20190406|15ca574a-653e-4992-a06e-49fdfbde3708|126.8882921511|37.5027933722|한국관광공사
렛츠런파크 서울 야간벚꽃축제 2019||1566-3333|경기도 과천시 경마공원대로 107|가볼만한축제;가족여행;관광지;기차여행;꽃여행;나들이;데이트코스;렛츠런파크서울야간벚꽃축제;서울근교여행;수도권;아이와함께;연인과함께;이색체험;체험학습;친구와함께;힐링||무료|기간내자유|20190406~20190414|bc047c18-a93d-4426-b264-11a4d025d3e4|127.0129712084|37.4488129805|한국관광공사
경주 벚꽃축제 2019||054-748-7721|경상북도 경주시 첨성로 140-25|가볼만한축제;가족여행;경상권;경주벚꽃축제;관광지;기차여행;꽃여행;나들이;데이트코스;아이와함께;연인과함께;이색체험;체험학습;친구와함께;힐링||무료|기간내자유|20190403~20190407|002bfcf2-94b5-4efb-9d7a-58ffcbc7e82d|129.2185644826|35.8343745291|한국관광공사
강릉 경포벚꽃잔치 2019||관광과 033-640-5913|강원도 강릉시 경포로 365|가볼만한축제;가족여행;강원권;경포벚꽃축제;관광지;기차여행;꽃여행;나들이;데이트코스;서울근교여행;아이와함께;연인과함께;이색체험;체험학습;친구와함께;힐링||무료|기간내자유|20190402~20190407|c0bc1627-6c0d-4e0f-ab2a-eafbb7504f05|128.8955294025|37.7943165070|한국관광공사
진해군항제 2019||1899-1111|경상남도 창원시 진해구 통신동|가볼만한축제;가족여행;경상권;관광지;기차여행;꽃여행;나들이;데이트코스;아이와함께;연인과함께;이색체험;진해군항제;체험학습;친구와함께;힐링||무료|기간내 자유|20190401~20190410|f3d0f2c3-eac7-44b7-92b0-a87711f50fac|128.6596351111|35.1493218137|한국관광공사
휴애리 봄 수국축제 2019||064-732-2114|제주특별자치도 서귀포시 남원읍 신례동로 256|가볼만한축제;가족여행;관광지;꽃여행;나들이;데이트코스;섬여행;아이와함께;연인과함께;이색체험;제주권;체험학습;친구와함께;휴애리봄수국축제;힐링||성인:13,000원/단체:11,000원/도민,장애우,유공자,경로우대:6,500원청소년:11,000원/단체:9,000원/도민, 장애우 :5,500원어린이:10,000원/단체:8,0000원/도민, 장애우 :5,000원단체는 30인 이상[학생단체(수학여행)등 방문 시 별도 문의 요망]경로할인은 만 65세 이상(신분증 제출) 만 24개월까지는 무료입장세자녀 50%할인(자녀만 할인혜택, 고등학생까지)제주특별자치도민, 장애인, 군경은 반드시 신분증 및 증명서를 제시|약 2시간 이상|20190410~20190602|6ec24320-3b5c-4ae7-a352-34697d64fdec|126.6344317363|33.3085171454|한국관광공사
부산 '100년의 물결, 함께 여는 100년' 2019||051-501-6051|부산광역시 중구 대교로 122|관광지||무료||20190411~20190411|33e8d6a5-fa86-4896-9746-94e179dff763|129.0386117396|35.1009786075|한국관광공사
한려수도 굴축제 2019||055-645-4513~4|경상남도 통영시 통영해안로 328|가볼만한축제;가족여행;경상권;관광지;기차여행;나들이;데이트코스;아이와함께;연인과함께;이색체험;체험학습;친구와함께;특산물;한려수도굴축제;힐링||무료|기간내자유|20190330~20190330|1d4d3c96-5b9e-471e-a792-4fc26e6e523c|128.4241721001|34.8438295639|한국관광공사
[유망축제] 고령대가야체험축제 2019||054-950-6424|경상북도 고령군 대가야읍 대가야로 1216|2019문화관광축제;가볼만한축제;가족여행;경상권;고령대가야체험축제;관광지;기차여행;나들이;데이트코스;아이와함께;연인과함께;이색체험;전통&역사문화체험;체험학습;친구와함께;힐링||체험마다 다름(무료/유료)|시간내 자유|20190411~20190414|75b058b6-52ce-4b51-936d-94f1325606f1|128.2596852822|35.7200863680|한국관광공사
섬진강변 벚꽃축제 2019||구례군청 문화관광과 061-780-2227<br>문척면사무소 061-780-2821|전라남도 구례군 문척면 죽마리|가볼만한축제;가족여행;관광지;기차여행;꽃여행;나들이;데이트코스;섬진강변벚꽃축제;아이와함께;연인과함께;이색체험;전라권;체험학습;친구와함께;힐링||무료|기간내 자유|20190330~20190331|54b6d0a6-4416-4ab2-a7a3-28e3469da02d|127.3672353690|35.2262402640|한국관광공사
순천만국가정원 봄꽃 향연 2019||1577-2013|전라남도 순천시 국가정원1호길 47|가볼만한축제;가족여행;관광지;기차여행;꽃여행;나들이;데이트코스;순천만국가정원봄꽃축제;아이와함께;연인과함께;이색체험;전라권;체험학습;친구와함께;힐링||일반:8000원, 청소년:6000원, 어린이:4000원, 7세미만:무료, 65세이상(신분증소지)무료 순천시민 성인:2000원, 청소년:1500원, 어린이:무료|기간내 가능|20190330~20190506|78de9bb8-a98a-4b5c-a880-a74e373eafb8|127.4988619353|34.9287343649|한국관광공사
한마음 치매극복 전국걷기행사 2019||1899-9988|서울특별시 광진구 강변북로 139|가볼만한축제;가족여행;걷기행사;관광지;수도권;아이와함께;연인과함께;친구와함께;한마음치매극복전국걷기행사;힐링||무료||20190330~20190525|a468c3b8-58d0-44bc-af02-c0e350300f8a|127.0739744904|37.5293380619|한국관광공사
창녕 낙동강 유채축제 2019||창녕군 생태관광과 관광담당 055-530-1533|경상남도 창녕군 남지읍 남지강변길 177|가볼만한축제;가족여행;경상권;관광지;꽃여행;나들이;낙동강유채축제;아이와함께;연인과함께;이색체험;창녕낙동강유채축제;체험학습;친구와함께;힐링||무료|자유|20190411~20190414|7963cf22-4852-46c9-946f-7b5decbbba67|128.4711980004|35.3853418725|한국관광공사
정읍 벚꽃축제 2019||063-539-5233|전라북도 정읍시 벚꽃로 401|가볼만한축제;가족여행;관광지;기차여행;꽃여행;나들이;데이트코스;아이와함께;연인과함께;이색체험;전라권;정읍벚꽃축제;체험학습;친구와함께;힐링||무료||20190330~20190403|b6e0ef58-61f6-41a3-8cf9-a36598f4ff78|126.8557248693|35.5612602431|한국관광공사
가파도청보리축제 2019||가파리사무소 064-794-7130|제주특별자치도 서귀포시 대정읍|가볼만한축제;가족여행;가파도청보리축제;관광지;나들이;데이트코스;섬여행;아이와함께;연인과함께;이색체험;자연좋은곳;제주권;체험학습;친구와함께;힐링||무료|기간내 자유|20190330~20190512|f086f8eb-d138-479d-b813-c6122cfcc105|126.2717384970|33.1701766897|한국관광공사
서울모터쇼 2019 (Seoul Motor Show 2019)||02-3660-1894|경기도 고양시 일산서구 킨텍스로 217-60|가볼만한축제;가족여행;나들이;서울모터쇼;수도권;아이와함께;연인과함께;전시관;친구와함께;힐링|||시간내 자유|20190329~20190407|2baf7e4b-1ea0-4f6c-bcae-195243f92e66|126.7455782754|37.6689909419|한국관광공사
응봉산 개나리축제 2019||성동구청 문화체육과:02-2286-5202|서울시 성동구 응봉동 응봉산|가볼만한축제;가족여행;관광지;기차여행;꽃여행;나들이;데이트코스;등산로;수도권;아이와함께;연인과함께;응봉산개나리축제;이색체험;체험학습;친구와함께;힐링||무료|기간내자유|20190329~20190331|28eeb354-3731-4af8-bda9-db9d1e6f39da|127.0281837123|37.5470685122|한국관광공사
이천백사 산수유꽃축제 2019||031-631-2104|경기도 이천시 백사면 원적로775번길 12|가볼만한축제;가족여행;관광지;기차여행;꽃여행;나들이;데이트코스;수도권;아이와함께;연인과함께;이색체험;이천백사산수유꽃축제;체험학습;친구와함께;힐링||무료|기간내자유|20190329~20190331|e497e50d-fc7b-4a65-a318-ed7f17f00058|127.4634000685|37.3405475559|한국관광공사
영취산 진달래축제 2019||061-691-3104|전라남도 여수시 월내동 547|가볼만한축제;가족여행;관광지;기차여행;꽃여행;나들이;데이트코스;등산로;아이와함께;연인과함께;영취산진댈래축제;이색체험;전라권;체험학습;친구와함께;힐링||무료|기간내자유|20190329~20190331|7fa6a5d1-cdcf-4086-99f6-d8a480722238|127.7188837032|34.8435255118|한국관광공사
화개장터 벚꽃축제 2019||055-880-2052~4|경상남도 하동군 화개면 원탑1길 6|가볼만한축제;가족여행;경상권;관광지;꽃여행;나들이;아이와함께;연인과함께;친구와함께;화개장터벚꽃축제;힐링||무료|기간내자유|20190329~20190331|4270f76b-5e67-4144-899b-d4fc29b616ad|127.6254330428|35.1883823454|한국관광공사
익산 문화재 야행(夜行) 2019||063-859-5793 / 063-859-5799|전라북도 익산시 왕궁면 궁성로 666|관광지||무료|2~4시간|20190412~20190413|c3ae5756-a5a1-4258-98d7-ea8a49c6f99e|127.0557186642|35.9715781122|한국관광공사
사천 삼천포항 수산물축제 2019||055-831-3112|경상남도 사천시 팔포3길 56-45|가볼만한축제;가족여행;경상권;관광지;기차여행;나들이;데이트코스;사천삼천포항수산물축제;아이와함께;연인과함께;이색체험;체험학습;친구와함께;특산물;힐링||무료관람 후 리플렛을 지참하여 온 관람객에게는 사천바다케이블카 일반캐빈 3,000원 할인||20190412~20190414|3bdfe2d2-d17d-432a-bd0a-c4abbd1c2592|128.0787889614|34.9266586017|한국관광공사
삼척 맹방유채꽃축제 2019||033-570-3382|강원도 삼척시 근덕면 삼척로 3992-8|가볼만한축제;가족여행;강원권;관광지;기차여행;꽃여행;나들이;데이트코스;삼척맹방유채꽃축제;서울근교여행;아이와함께;연인과함께;이색체험;체험학습;친구와함께;힐링|||행사기간 내 자유|20190329~20190425|2deeb5f6-81a2-468e-8fdf-abd187aa168e|129.2050164045|37.4052785583|한국관광공사
한림공원 튤립축제 2019||064-796-0001|제주특별자치도 제주시 한림읍 한림로 300|가볼만한축제;가족여행;관광지;꽃축제;나들이;데이트코스;섬여행;아이와함께;연인과함께;이색체험;자연좋은곳;제주권;체험학습;친구와함께;한림공원튤립축제;힐링||성인 12000원|기간내자유|20190329~20190414|b75c8b06-ffeb-4191-a087-fc607a98b716|126.2381087692|33.3897241270|한국관광공사
삼척대게축제 2019||삼척시 해양수산과 033-570-3417|강원도 삼척시 정하동 41-282|가볼만한축제;가족여행;강원권;관광지;나들이;대게축제;삼척대게축제;아이와함께;연인과함께;이색체험;체험학습;친구와함께;특산물;힐링||무료입장(단, 대게낚시체험 참가비10,000원)||20190329~20190331|4accabbd-5cb5-4293-8669-6550e8ee12ed|129.1927414982|37.4379301158|한국관광공사
인천공항 봄 정기공연 "HEART BLOSSOM CONCERT" 2019||문화예술공연 사무국 032-741-2247|인천광역시 중구 공항로 272|공연/행사;관광지;인천공항;인천공항가볼만한곳;인천공항봄정기공연||||20190329~20190331|e6d69550-db03-4143-b23d-1ccd013986eb|126.4276798563|37.4583320727|한국관광공사
여주 흥천남한강벚꽃축제 2019||흥천면사무소 031-887-3872|경기도 여주시 흥천면 귀백리 38-8번지 일원|가볼만한축제;가족여행;관광지;기차여행;꽃여행;나들이;데이트코스;서울근교여행;수도권;아이와함께;여주흥천남한강벚꽃축제;연인과함께;이색체험;체험학습;친구와함께;힐링||무료|기간내자유|20190412~20190414|71311c92-cf51-45ff-b725-1df016910391|127.5583690338|37.3480678646|한국관광공사
제주왕벚꽃축제 2019||제주시청 관광진흥과 064-728-2751|제주특별자치도 제주시 전농로|가볼만한축제;가족여행;관광지;꽃여행;나들이;데이트코스;섬여행;아이와함께;연인과함께;이색체험;자연좋은곳;제주권;제주왕벚꽃축제;체험학습;친구와함께;힐링||무료|기간내자유|20190329~20190331|a302f18f-2773-4930-85f5-a24986336d44|126.5261450241|33.5047131762|한국관광공사
창원 진동미더덕&불꽃낙화 축제 2019||055-271-0571|경상남도 창원시 마산합포구 진동면 광암해안길 16-1|관광지||무료관람|기간내자유|20190412~20190414|9296bce3-260c-48af-b9c0-b1a72ccc7113|128.4971588383|35.1041933799|한국관광공사
신안 튤립축제 2019||061-240-4041~4044|전라남도 신안군 임자면 대광해수욕장길 178|가볼만한축제;가족여행;관광지;기차여행;꽃여행;나들이;데이트코스;신안튤립축제;아이와함께;연인과함께;이색체험;전라권;체험학습;친구와함께;힐링||성인 5,000원 / 경로자,군인,청소년 4,000원 / 어린이 3,000원<br />단체 : 성인 4,000원 / 경로자,군인,청소년 3,000원 / 어린이 2,500원|기간내자유|20190412~20190421|0c6c5c24-582c-4cbe-a372-e9a5f8582131|126.0731946694|35.1029130614|한국관광공사
강서낙동강30리 벚꽃축제 2019||051-970-4062|부산 강서구 대저1동 2513-2|가볼만한축제;가족여행;강서낙동강변30리벚꽃축제;경상권;관광지;기차여행;꽃여행;나들이;아이와함께;연인과함께;이색체험;체험학습;친구와함께;힐링||무료||20190329~20190331|3e4a02e6-2456-4966-8277-8ba785e4c573|128.9864799778|35.2095627071|한국관광공사
천안 위례벚꽃축제 2019||041-521-4721|충청남도 천안시 동남구 북면 용암3길 10|관광지||무료|기간내자유|20190413~20190414|f3af6d2f-2858-47ed-87b7-1aee7364e15e|127.2577008127|36.7882214667|한국관광공사
장성 빈센트의 봄 2019||061-390-7383|전라남도 장성군 장성읍 역전로 87|가볼만한축제;가족여행;관광지;기차여행;꽃여행;나들이;데이트코스;아이와함께;연인과함께;이색체험;장성빈센트의봄;전라권;체험학습;친구와함께;힐링||무료 입장 (체험프로그램은 별도)|기간내자유|20190413~20190414|ade9e1c8-0819-4cbf-93c9-7f03589fa808|126.7801937395|35.2999885782|한국관광공사
참숯마실축제 2019||백곡면사무소 043-539-8614<br>축제추진위원회 043-539-8589|충청북도 진천군 백곡면 백곡로 964|관광지||프로그램별상이|기간내자유|20190413~20190414|a7513551-2d42-4411-820f-0861a995552d|127.3814760022|36.8804214043|한국관광공사
한국민속촌 '추억의 그때 그 놀이' 2019||031-288-0000|경기도 용인시 기흥구 민속촌로 90|가족여행;겨울축제;공연/행사;관광지;나들이;서울근교여행;수도권;아이와함께;역사문화체험;연인과함께;이색체험;전통문화체험;체험학습;추억의그때그놀이;친구와함께;힐링||1. 입장권: 성인 20,000원, 청소년 17,000원, 아동 15,000원2. 자유이용권: 성인 28,000원, 청소년 25,000원, 아동 22,000원*자유이용권은 놀이기구 포함|기간내자유|20190413~20190616|fa93d867-5c3b-49bc-8970-5a4331c44d59|127.1205445440|37.2593868634|한국관광공사
고려산 진달래축제 2019||032-930-3624|인천광역시 강화군 하점면 강화대로 994-33|가볼만한축제;가족여행;고려산진달래축제;관광지;꽃축제;나들이;데이트코스;드라이브여행;서울근교여행;수도권;아이와함께;연인과함께;이색체험;체험학습;친구와함께;힐링||무료|기간내자유|20190413~20190421|ad90250a-9764-4f2f-b3a3-8c4f3208d446|126.4344149140|37.7747453264|한국관광공사
