name|addr|tell|timeinfo
볼보트럭 부산사업소|경상남도 양산시 상북면 와곡3길 10|대표전화: 055) 375-1160, 팩스: 055) 375-1164|['근무시간', '- 평일 : 08:30~18:00 (매주 수요일은 17:30 근무 종료)', '- 토요일/일요일/공휴일 : 휴무']
볼보트럭센터 김해|전화번호 : 1688-6040 , 팩스 : 055)346-7972| |['근무시간', '- 평일 : 07:00~20:00', '- 토요일 / 일요일 / 공휴일 : 휴무']
볼보트럭 창녕사업소|경상남도 창녕군 영산면 영산도천로 448|대표전화 : 055)521-0240, 팩스: 055)521-0250|['근무시간', '- 평일 : 08:30~18:00 (매주 수요일은 17:30 근무 종료)', '- 토요일/일요일/공휴일 : 휴무']
볼보트럭 대구서비스 및 대구지점|대구광역시 달서구 호산로 48|대표전화: 053)591-9177, 팩스: 053)591-9176|['- 평일 : 09:00~18:00', '-토요일 : 09:00~15:00', '- 일요일 / 공휴일 : 휴무']
볼보트럭 왜관사업소 및 왜관지점|경상북도 칠곡군 지천면 칠곡대로 1937|대표전화: 054)973-5900, 팩스: 054)973-5910|['근무시간', '- 평일 : 08:30~17:30', '- 토요일 : 08:30~14:30', '- 일요일/공휴일 : 휴무']
볼보트럭 울산사업소 및 울산지점|울산광역시 울주군 온산읍 처용산업1길 82|대표전화: 052)237-7600, 팩스: 052)237-7575|['- 평일 : 07:00~19:00', '-토요일 : 08:30~17:30', '- 일요일 / 공휴일 : 휴무']
볼보트럭 포항사업소|경상북도 포항시 남구 섬안로 45번길 26 (괴동동)|대표전화: 054)285-6000~4, 팩스: 054)285-6006|['근무시간', '- 평일 : 07:30~19:00', '-토요일 : 08:30~13:30', '- 일요일 / 공휴일 : 휴무']
볼보트럭 동해사업소 및 동해지점|강원도 동해시 동해대로 4497 (대구동 1-8번지)|대표전화: 033) 534-7799, 팩스: 033) 534-7773|['- 평일 : 09:00~18:00', '- 토요일/일요일/공휴일 : 휴무']
볼보트럭 제주사업소|제주특별자치도 제주시 애월읍 하소로 702|전화 : 064)803-8099, 팩스 : 064)799-8210|['근무시간', '- 평일 : 08:30~18:00 (매주 수요일은 17:30 근무 종료)', '- 토요일/일요일 /공휴일 : 휴무']
볼보트럭 이천서비스 및 지점|경기도 이천시 장호원읍 서동대로 8809번길 165 |대표전화: 031) 643-3716 , 팩스: 031) 643-3718|['- 평일: 08:00~18:00', '- 토요일 / 일요일 / 공휴일 : 휴무']
볼보트럭 동광양서비스 및 지점|전라남도 광양시 옥곡면 신금산단5길5|대표전화: 061) 772-9988 , 팩스: 061) 772-0072|['- 평일: 08:30~18:00', '- 토요일 / 일요일 / 공휴일 : 휴무']
볼보트럭 천안사업소 및 천안지점|세종특별자치시 소정면 세종로 4243(운당리 91-7)|대표전화: 044) 865-7575, 팩스: 044) 865-9131|['- 토요일 / 일요일 / 공휴일 : 휴무']
