##NAME|SUBNAME|TELNUM|ADDR|NEWADDR|FEAT@@VIPS
빕스/월드푸드마켓|영등포/타임스퀘어점|02-2637-1997|서울 영등포구 영등포동4가 441-10|서울특별시 영등포구영중로 15,5층(타임스퀘어)|라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스/월드푸드마켓|부천역사점|032-667-1997|경기 부천시 소사구 316-2 부천역사쇼핑몰 9층 빕스 부천역사점|경기도 부천시 소사구부천로 1,9층,(부천역사쇼핑몰)|돌잔치;세미나시설;놀이방;어린이체험교실;이벤트룸;WIFI;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스/월드푸드마켓|의정부/이마트점|031-851-5997|경기 의정부시 민락동 849 이마트2층|경기도 의정부시민락로 210민락2지,2층(이마트)|돌잔치;하우스웨딩;세미나시설;놀이방;어린이체험교실;이벤트룸;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스/월드푸드마켓|판교점|031-8016-5997|경기 성남시 분당구 740 아브뉴프랑 2층|경기도 성남시 분당구 동판교로 177번길 25|돌잔치;이벤트룸;WIFI;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스/월드푸드마켓|명동중앙점|02-779-7871|서울 중구 명동1가 9-20 번지 3층|서울특별시 중구명동길 53,|이벤트룸;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스/월드푸드마켓|인천/연수점|032-456-4397|인천 연수구 동춘동 926 스퀘어원 3층|인천광역시 연수구청능대로 210,|돌잔치;어린이체험교실;이벤트룸;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스/월드푸드마켓|청주현대백화점점|043-234-1997|충북 청주시 흥덕구 복대동 3380 현대백화점 충청점 U플렉스 3층|충청북도 청주시 흥덕구직지대로 308,충청점U플렉스3층(현대백화점)|돌잔치;세미나시설;놀이방;이벤트룸;수유실;라이브 키친 누들;라이브 키친 파스타
빕스/월드푸드마켓|미아점|02-941-1997|서울 성북구 하월곡동 81-356  삼성디지털 프라자 3층|서울시 성북구 월계로 28 삼성전자 강북본점 3층|돌잔치;놀이방;어린이체험교실;이벤트룸;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스/월드푸드마켓|울산/현대백화점점|052-268-1997|울산 남구 삼산동 1521-1 현대백화점 13층|울산광역시 남구삼산로 261,13층(현대백화점)|돌잔치;세미나시설;이벤트룸;라이브 키친 누들;라이브 키친 파스타
빕스/월드푸드마켓|제일제당센터점|02-6740-7997|서울 중구 쌍림동 146-17번지 CJ제일제당빌딩 B1F|서울특별시 중구동호로 330,지하1층(Cj제일제당빌딩)|돌잔치;수유실;라이브 키친 누들;라이브 키친 파스타
빕스/월드푸드마켓|원주점|033-748-1997|강원 원주시 무실동 1725-3번지 도로명주소 : 강원도 원주시 시청로41|강원도 원주시시청로 41|돌잔치;세미나시설;놀이방;어린이체험교실;이벤트룸;수유실;라이브 키친 누들;라이브 키친 파스타
빕스/월드푸드마켓|동탄메타폴리스점|031-8003-4777|경기 화성시 반송동 96번지 메타폴리스 A블럭 2층|경기도 화성시동탄중앙로 220,2층(메타폴리스A블럭)|돌잔치;놀이방;어린이체험교실;이벤트룸;WIFI;수유실;라이브 키친 누들;라이브 키친 파스타
빕스/월드푸드마켓|왕십리역점|02-2200-1397|서울 성동구 행당동 168-151 왕십리 민자역사 2층|서울 성동구 행당동왕십리광장로 17,2층|돌잔치;어린이체험교실;수유실;라이브 키친 누들;라이브 키친 파스타
빕스/월드푸드마켓|광주/충장로점|062-224-1997|광주 동구 불로동 178번지|광주광역시 동구천변우로 421|돌잔치;세미나시설;놀이방;어린이체험교실;이벤트룸;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스/월드푸드마켓|제주/연동점|064-751-1997|제주 제주시 연동 280-3|제주특별자치도 제주시연삼로 2|돌잔치;놀이방;이벤트룸;수유실;라이브 키친 누들;라이브 키친 파스타
빕스/월드푸드마켓|광주/상무점|062-376-1997|광주 서구 치평동 1231-3번지 5층|광주광역시 서구시청로 57,5층|돌잔치;세미나시설;놀이방;이벤트룸;수유실;라이브 키친 누들;라이브 키친 파스타
빕스|전주점|063-252-1997|전북 전주시 완산구 997-10|전라북도 전주시 완산구백제대로 382|돌잔치;세미나시설;놀이방;어린이체험교실;이벤트룸;WIFI;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스/월드푸드마켓|영통점|031-206-4997|경기 수원시 영통구 망포동 27-1번지|경기도 수원시 영통구덕영대로1483번길 12|돌잔치;세미나시설;놀이방;어린이체험교실;이벤트룸;WIFI;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스/월드푸드마켓|안산/홈플러스점|031-411-6997|경기 안산시 상록구 성포동 586|경기도 안산시상록구 충장로432|돌잔치;세미나시설;놀이방;어린이체험교실;이벤트룸;WIFI;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스/월드푸드마켓|수원역사점|031-240-1997|경기 수원시 팔달구 매산로1가 18 AK PLAZA 3층|경기도 수원시 팔달구덕영대로 9243층(AK플라자)|돌잔치;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스/월드푸드마켓|창원/중앙점|055-211-0771|경남 창원시 상남동 78-3 창원 마이우스 2층 중앙대로 104|경상남도 창원시 성산구중앙대로 104,2층(창원마이우스)|돌잔치;어린이체험교실;이벤트룸;라이브 키친 누들;라이브 키친 파스타
빕스|고덕역점|02-428-2997|서울 강동구 명일동 46-1 명성프라자2층|서울특별시 강동구고덕로 256-2층(명성프라자)|돌잔치;하우스웨딩;세미나시설;놀이방;어린이체험교실;이벤트룸;수유실;라이브 키친 누들;라이브 키친 파스타
빕스/월드푸드마켓|상봉역점|02-491-1997|서울 중랑구 상봉동 116-26 2층|서울특별시 중랑구망우로 263|돌잔치;놀이방;어린이체험교실;이벤트룸;WIFI;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스|부산역점|051-468-1997|부산 동구 초량동 1210-3|부산광역시 동구중앙대로 175|돌잔치;어린이체험교실;이벤트룸;라이브 키친 파스타
빕스|광안점|051-627-0997|부산 수영구 남천동 545-5|부산광역시 수영구광안해변로 11|돌잔치;하우스웨딩;세미나시설;어린이체험교실;이벤트룸;WIFI;수유실;라이브 키친 누들;라이브 키친 파스타
빕스/월드푸드마켓|계산점|032-547-5997|인천 계양구 계산동 1064-1|인천 계양구 장제로 807|돌잔치;놀이방;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스|반포역점|02-595-5997|서울 서초구 잠원동 58-24 뉴타운빌딩 3층|서울특별시 서초구신반포로 257뉴타운빌딩3층|돌잔치;놀이방;이벤트룸;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스/월드푸드마켓|불광역점|02-358-8997|서울 은평구 불광동 251-2 삼성디지털센터 2층 빕스|서울특별시 은평구통일로 760|돌잔치;어린이체험교실;이벤트룸;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스/월드푸드마켓|죽전점|031-264-8997|경기 용인시 수지구 죽전동 900번지|경기도 용인시 수지구용구대로 2746|돌잔치;세미나시설;이벤트룸;WIFI;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스/월드푸드마켓|신정점|02-2607-1997|서울 양천구 신정동 981-13|서울특별시 양천구신월로 347|돌잔치;세미나시설;이벤트룸;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스/월드푸드마켓|둔산점（리뉴얼공사중）|042-472-0997|대전 서구 둔산동 1026 광신빌딩 2층|대전광역시 서구대덕대로 243|돌잔치;하우스웨딩;세미나시설;놀이방;이벤트룸;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스/월드푸드마켓|어린이대공원점|02-462-0997|서울 광진구 군자동 248|서울특별시 광진구능동로 239|돌잔치;놀이방;어린이체험교실;이벤트룸;WIFI;수유실;라이브 키친 누들;라이브 키친 파스타
빕스/월드푸드마켓|아주대점（리뉴얼공사중）|031-216-1997|경기 수원시 팔달구 우만2동 90|경기도 수원시 팔달구중부대로 233|돌잔치;이벤트룸;WIFI;라이브 키친 누들;라이브 키친 파스타
빕스/월드푸드마켓|예술회관역점|032-427-1997|인천 남동구 구월동 1123-2|인천광역시 남동구인주대로 556|돌잔치;하우스웨딩;이벤트룸;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스/월드푸드마켓|올림픽점|02-477-3997|서울 강동구 성내동 459-3|서울특별시 강동구강동대로 143-8|돌잔치;세미나시설;어린이체험교실;이벤트룸;수유실;라이브 키친 누들;라이브 키친 파스타
빕스/월드푸드마켓|비산점|031-387-1997|경기 안양시 동안구 비산동 367-2|경기도 안양시 동안구관악대로 201|돌잔치;세미나시설;어린이체험교실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스/월드푸드마켓|대구/수성교점|053-427-2997|대구 중구 대봉동 1-1|대구광역시 중구달구벌대로 223223필지|세미나시설;놀이방;어린이체험교실;이벤트룸;WIFI;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스/월드푸드마켓|부산/서면점|051-817-1997|부산 부산진구 부전동 536-8|부산광역시 부산진구중앙대로 654|하우스웨딩;세미나시설;놀이방;어린이체험교실;이벤트룸;WIFI;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스/월드푸드마켓|서대전점|042-222-5997|대전 중구 문화동 1-16|대전광역시 중구계백로 1700,1층(백화점세이)|돌잔치;놀이방;이벤트룸;수유실;라이브 키친 누들;라이브 키친 피자
빕스/월드푸드마켓|문정점|02-443-2997|서울 송파구 문정동 56-2|서울특별시 송파구새말로5길 31,3,4,5|돌잔치;어린이체험교실;이벤트룸;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스/월드푸드마켓|등촌점|02-3661-1997|서울 강서구 등촌동 669|서울특별시 강서구공항대로 311|돌잔치;이벤트룸;라이브 키친 누들;라이브 키친 파스타
빕스/월드푸드마켓|도곡역점|02-569-1997|서울 강남구 대치1동 500 그랑프리엔 상가 지하1층|서울특별시 강남구남부순환로 2912,지하1층(그랑프리엔상가)|돌잔치;세미나시설;이벤트룸;WIFI;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스|공릉점|02-974-9997|서울 노원구 공릉동 375-16|서울특별시 노원구동일로 1090|돌잔치;세미나시설;놀이방;어린이체험교실;이벤트룸;수유실;라이브 키친 누들;라이브 키친 피자
빕스/월드푸드마켓|대방점|02-3280-1997|서울 동작구 대방동 341-3번지 빕스 대방점|서울특별시 동작구노량진로 2|돌잔치;세미나시설;놀이방;이벤트룸;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
