##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@네네치킨
네네치킨|신안점|||네네치킨|055-741-1255|경남 진주시 진양호로 311-1||||||||네네치킨 신안점||||80615
네네치킨|중앙상봉점|||네네치킨|055-746-4479|경남 진주시 진주성로 87||||||||네네치킨 중앙상봉점||||80615
네네치킨|판문점|||네네치킨|055-745-4479|경남 진주시 진양호로 123번길 5||||||||네네치킨 판문점||||80615
네네치킨|경남진해시석동점|||네네치킨|055-551-4492|경남 창원시 진해구 진해대로 801번길 14||||||||네네치킨 경남진해시석동점||||80615
네네치킨|남지점|||네네치킨|055-536-9277|경남 창녕군 난지읍 남지중앙2길 69103-1호 ||||||||네네치킨 남지점||||80615
네네치킨|창녕점|||네네치킨|055-532-4475|경남 창녕군 창녕읍 창녕대로 37||||||||네네치킨 창녕점||||80615
네네치킨|가음점|||네네치킨|055-283-9989|경남 창원시 성산구 가양로 48-1||||||||네네치킨 가음점||||80615
네네치킨|감계점|||네네치킨|055-298-4417|경남 창원시 의창구 북면 감계로 297휴먼빌아파 ||||||||네네치킨 감계점||||80615
네네치킨|남문점|||네네치킨|055-552-4479|경남 창원시 진해구 웅천동로 1번길 38-7||||||||네네치킨 남문점||||80615
네네치킨|내서삼계점|||네네치킨|055-231-9989|경남 창원시 마산회원구 내서읍 삼계숲길 27||||||||네네치킨 내서삼계점||||80615
네네치킨|대방점|||네네치킨|055-285-4492|경남 창원시 성산구 대암로 1161층 ||||||||네네치킨 대방점||||80615
네네치킨|도계점|||네네치킨|055-265-4492|경남 창원시 의창구 원이대로 69번길301층 ||||||||네네치킨 도계점||||80615
네네치킨|동읍점|||네네치킨|055-292-4479|경남 창원시 의창구 동읍 의창대로 868-1||||||||네네치킨 동읍점||||80615
네네치킨|명곡점|||네네치킨|055-288-4479|경남 창원시 의창구 명지로 84번길 9||||||||네네치킨 명곡점||||80615
네네치킨|반송1호점|||네네치킨|055-266-4499|경남 창원시 의창구 외동반림로 206||||||||네네치킨 반송1호점||||80615
네네치킨|반지점|||네네치킨|055-237-4479|경남 창원시 성산구 반송로 22||||||||네네치킨 반지점||||80615
네네치킨|봉곡점|||네네치킨|055-277-4495|경남 창원시 의창구 봉곡로 56||||||||네네치킨 봉곡점||||80615
네네치킨|북면온천점|||네네치킨|055-298-8899|경남 창원시 의창구 북면 천주로 1165번길 21||||||||네네치킨 북면온천점||||80615
네네치킨|사파점|||네네치킨|055-267-8001|경남 창원시 성산구 동산로 194||||||||네네치킨 사파점||||80615
네네치킨|상남점|||네네치킨|055-282-1157|경남 창원시 성산구 토월로 80||||||||네네치킨 상남점||||80615
네네치킨|석전점|||네네치킨|055-255-4492|경남 창원시 마산회원구 석전남8길 59||||||||네네치킨 석전점||||80615
네네치킨|소답점|||네네치킨|055-251-4479|경남 창원시 의창구 읍성로 17번길 8||||||||네네치킨 소답점||||80615
네네치킨|양덕1호점|||네네치킨|055-251-4492|경남 창원시 마산회원구 양덕북10길 8||||||||네네치킨 양덕1호점||||80615
네네치킨|용원점|||네네치킨|055-552-4492|경남 창원시 진해구 안골로 348||||||||네네치킨 용원점||||80615
네네치킨|월영점|||네네치킨|055-247-4482|경남 창원시 마산합포구 월영북로 21||||||||네네치킨 월영점||||80615
네네치킨|중앙여좌점|||네네치킨|055-542-9942|경남 창원시 진해구 편백로 14번길 12-1||||||||네네치킨 중앙여좌점||||80615
네네치킨|진동점|||네네치킨|055-271-9444|경남 창원시 마산합포구 진동면 삼진의거대로 639||||||||네네치킨 진동점||||80615
네네치킨|창동점|||네네치킨|055-222-4492|경남 창원시 마산합포구 남성로 130-1||||||||네네치킨 창동점||||80615
네네치킨|팔용점|||네네치킨|055-297-4491|경남 창원시 의창구 남산로 1번길 52||||||||네네치킨 팔용점||||80615
네네치킨|풍호점|||네네치킨|055-547-4492|경남 창원시 진해구 풍호로 61||||||||네네치킨 풍호점||||80615
네네치킨|합성1호점[C]|||네네치킨|055-255-4479|경남 창원시 마산회원구 합성옛길 273||||||||네네치킨 합성1호점[C]||||80615
네네치킨|회원점|||네네치킨|055-248-1794|경남 창원시 마산회원구 북성로 166||||||||네네치킨 회원점||||80615
네네치킨|봉평미수점|||네네치킨|055-645-6737|경남 통영시 서송정1길 32-3||||||||네네치킨 봉평미수점||||80615
네네치킨|북신점|||네네치킨|055-642-5592|경상남도통영시안개로 15-8||||||||네네치킨 북신점||||80615
네네치킨|경남통영시죽림점|||네네치킨|055-649-4479|경남 통영시 광도면 죽림해안로 46||||||||네네치킨 경남통영시죽림점||||80615
네네치킨|군북점|||네네치킨|055-584-9289|경남 함안군 군북면 중암7길 12||||||||네네치킨 군북점||||80615
네네치킨|함안점|||네네치킨|055-585-9289|경남 함안군 가야읍 함마대로 1510||||||||네네치킨 함안점||||80615
네네치킨|서하점|||네네치킨|055-963-9266|경남 함양군 서하면 함양남서로 3938||||||||네네치킨 서하점||||80615
네네치킨|함양점|||네네치킨|055-963-6446|경남 함양군 함양읍 용평3길 25-1||||||||네네치킨 함양점||||80615
네네치킨|합천점|||네네치킨|055-932-0015|경남 합천군 합천읍 충효로 98-17||||||||네네치킨 합천점||||80615
네네치킨|계양사동점|||네네치킨|053-802-4482|경북 경산시 계양로 8길381층 ||||||||네네치킨 계양사동점||||80615
네네치킨|서부백천점|||네네치킨|053-801-9900|경북 경산시 경산로 28부영2차아파트상가 103호 ||||||||네네치킨 서부백천점||||80615
네네치킨|영대점|||네네치킨|053-818-8992|경북 경산시 대학로 61길 6-5||||||||네네치킨 영대점||||80615
네네치킨|옥산정평점|||네네치킨|053-812-6636|경북 경산시 대학로 16길 31||||||||네네치킨 옥산정평점||||80615
네네치킨|진량점|||네네치킨|053-857-9995|경북 경산시 진량읍 영청길 15||||||||네네치킨 진량점||||80615
네네치킨|하양점|||네네치킨|053-853-4479|경북 경산시 하양읍 하양역길 18||||||||네네치킨 하양점||||80615
네네치킨|강동점|||네네치킨|054-762-4479|경북 경주시 강동면 동해대로 166-11||||||||네네치킨 강동점||||80615
네네치킨|건천점|||네네치킨|054-751-4479|경북 경주시 건천읍 대곡용명길 24||||||||네네치킨 건천점||||80615
네네치킨|금장점|||네네치킨|054-743-4479|경북 경주시 현곡면 안현로 68-3||||||||네네치킨 금장점||||80615
네네치킨|내남점|||네네치킨|054-748-4479|경북 경주시 이조중앙길 13-1||||||||네네치킨 내남점||||80615
네네치킨|동천점|||네네치킨|054-775-9973|경북 경주시 동천로 30번길 14-2||||||||네네치킨 동천점||||80615
네네치킨|성건점|||네네치킨|054-774-9901|경북 경주시 금성로 396번길 5||||||||네네치킨 성건점||||80615
네네치킨|안강점|||네네치킨|054-761-8999|경북 경주시 안강읍 구부랑길 42||||||||네네치킨 안강점||||80615
네네치킨|외동점|||네네치킨|054-741-4479|경북 경주시 입실로 1길58 ||||||||네네치킨 외동점||||80615
네네치킨|충효점|||네네치킨|054-776-4479|경북 경주시 충효녹지길 36-6||||||||네네치킨 충효점||||80615
네네치킨|황성점|||네네치킨|054-776-5770|경북 경주시 황성로 69번길 38-6||||||||네네치킨 황성점||||80615
네네치킨|고령점|||네네치킨|054-954-4479|경북 고령군 고령읍 시장1길 11||||||||네네치킨 고령점||||80615
네네치킨|공단비산점|||네네치킨|054-463-5066|경상북도 구미시 비산로5길 28||||||||네네치킨 공단비산점||||80615
네네치킨|봉곡도량점|||네네치킨|054-443-4482|경북 구미시 도봉로 3길3-3 ||||||||네네치킨 봉곡도량점||||80615
네네치킨|산동확장단지점|||네네치킨|054-473-4479|경북 구미시 산동면 신당인덕1로 139||||||||네네치킨 산동확장단지점||||80615
네네치킨|상모사곡점|||네네치킨|054-465-4479|경북 구미시 상사서로 12길 3||||||||네네치킨 상모사곡점|104호|||80615
네네치킨|선산점|||네네치킨|054-481-9191|경북 구미시 선산읍 남문로 3길17 ||||||||네네치킨 선산점||||80615
네네치킨|송정원평점|||네네치킨|054-443-4479|경북 구미시 금오산로 22길 15-14||||||||네네치킨 송정원평점||||80615
네네치킨|옥계점|||네네치킨|054-471-4490|경북 구미시 산호대로 25길 26-3||||||||네네치킨 옥계점||||80615
네네치킨|원호도량1동점|||네네치킨|054-444-8244|경북 구미시 고아읍 문장로 22길 20||||||||네네치킨 원호도량1동점|103호|||80615
네네치킨|인동점|||네네치킨|054-474-4478|경북 구미시 인동39길 22-65||||||||네네치킨 인동점||||80615
네네치킨|임수황상점|||네네치킨|054-471-7227|경북 구미시 인동북길 25||||||||네네치킨 임수황상점||||80615
네네치킨|형곡점|||네네치킨|054-442-9979|경북 구미시 형곡로 90||||||||네네치킨 형곡점||||80615
네네치킨|김천1점|||네네치킨|054-430-4482|경북 김천시 김천로 24-1||||||||네네치킨 김천1점||||80615
네네치킨|덕곡율곡점|||네네치킨|054-434-4470|경북 김천시 영남대로 2040-6||||||||네네치킨 덕곡율곡점|101호|||80615
네네치킨|신음삼락점|||네네치킨|054-437-4479|경북 김천시 시청로 40112호 ||||||||네네치킨 신음삼락점||||80615
네네치킨|아포점|||네네치킨|054-436-4492|경북 김천시 아포읍 한지2길 64-14||||||||네네치킨 아포점||||80615
네네치킨|문경점|||네네치킨|054-555-8858|경북 문경시 점촌로 8||||||||네네치킨 문경점||||80615
네네치킨|봉화점|||네네치킨|054-673-4420|경북 봉화군 봉화읍 내성로 1길41 ||||||||네네치킨 봉화점||||80615
네네치킨|상주2호점|||네네치킨|054-533-4423|경북 상주시 동수4길 33||||||||네네치킨 상주2호점||||80615
네네치킨|함창점|||네네치킨|054-541-4479|경북 상주시 함창읍 함창시장2길 2||||||||네네치킨 함창점||||80615
네네치킨|안동점|||네네치킨|054-858-9930|경북 안동시 서동문로 86||||||||네네치킨 안동점||||80615
네네치킨|옥동송현점|||네네치킨|054-855-4479|경북 안동시 광명로 126||||||||네네치킨 옥동송현점||||80615
네네치킨|용상점|||네네치킨|054-821-9902|경북 안동시 경동로 889||||||||네네치킨 용상점||||80615
네네치킨|영덕점|||네네치킨|054-733-0054|경북 영덕군 영덕읍 군청길 133||||||||네네치킨 영덕점||||80615
네네치킨|영해점|||네네치킨|054-734-3553|경북 영덕군 영해면 예주시장길 16-1||||||||네네치킨 영해점||||80615
네네치킨|영주2점|||네네치킨|054-636-9994|경북 영주시 구성로 389로얄상가111호 ||||||||네네치킨 영주2점||||80615
네네치킨|풍기점|||네네치킨|054-638-9288|경북 영주시 풍기읍 동성로 68||||||||네네치킨 풍기점||||80615
네네치킨|휴천점|||네네치킨|054-636-8787|경북 영주시 대학로 36||||||||네네치킨 휴천점||||80615
네네치킨|야사점|||네네치킨|054-333-3733|경북 영천시 망정로 60||||||||네네치킨 야사점||||80615
네네치킨|예천점|||네네치킨|054-654-4492|경북 예천군 예천읍 중앙로 24-1||||||||네네치킨 예천점||||80615
네네치킨|백암점|||네네치킨|054-787-4004|경북 울진군 온정면 소태로 9-29||||||||네네치킨 백암점||||80615
네네치킨|북면점|||네네치킨|054-781-4246|경북 울진군 북면 울진북로 2120||||||||네네치킨 북면점||||80615
네네치킨|울진점|||네네치킨|054-781-6363|경북 울진군 울진읍 울진중앙로 56||||||||네네치킨 울진점||||80615
네네치킨|죽변점|||네네치킨|054-781-4482|경북 울진군 죽변면 죽변북로 60||||||||네네치킨 죽변점||||80615
네네치킨|후포점|||네네치킨|054-788-9982|경북 울진군 후포면 삼율6길 16-14||||||||네네치킨 후포점||||80615
네네치킨|의성점|||네네치킨|054-834-4482|경북 의성군 의성읍 동서1길 72||||||||네네치킨 의성점||||80615
네네치킨|청도점|||네네치킨|054-373-4469|경북 청도군 청도읍 청화로 150-1||||||||네네치킨 청도점||||80615
네네치킨|오태북삼점|||네네치킨|054-972-4423|경북 칠곡군 북삼읍 금오대로 10길 19||||||||네네치킨 오태북삼점||||80615
네네치킨|왜관점|||네네치킨|054-972-8066|경북 칠곡군 왜관읍 2번도로길 70-1||||||||네네치킨 왜관점||||80615
네네치킨|중리점|||네네치킨|054-976-1009|경북 칠곡군 석적읍 장곡길 123||||||||네네치킨 중리점||||80615
네네치킨|남부점|||네네치킨|054-278-9982|경북 포항시 남구 상도로 56||||||||네네치킨 남부점||||80615
네네치킨|달전점|||네네치킨|054-262-8201|경북 포항시 북구 흥해읍 도음로 877번길 9||||||||네네치킨 달전점||||80615
네네치킨|대이점|||네네치킨|054-275-5052|경북 포항시 남구 대이로 112-3||||||||네네치킨 대이점||||80615
네네치킨|두호점|||네네치킨|054-251-8582|경북 포항시 북구 삼호로 245번길 10||||||||네네치킨 두호점||||80615
네네치킨|양덕점|||네네치킨|054-255-4482|경북 포항시 북구 양덕로 44번길 32||||||||네네치킨 양덕점||||80615
네네치킨|연일점|||네네치킨|054-286-4447|경북 포항시 남구 연일읍 연일로159번길 25-1||||||||네네치킨 연일점||||80615
네네치킨|오천점|||네네치킨|054-291-9922|경북 포항시 남구 오천읍 남원로 53||||||||네네치킨 오천점||||80615
네네치킨|용흥점|||네네치킨|054-254-4482|경북 포항시 북구 새마을로 92||||||||네네치킨 용흥점||||80615
네네치킨|우현점|||네네치킨|054-255-9955|경북 포항시 북구 선착로 3-1||||||||네네치킨 우현점||||80615
네네치킨|장성점|||네네치킨|054-243-2999|경북 포항시 북구 법원로 8번길 16||||||||네네치킨 장성점||||80615
네네치킨|죽도점|||네네치킨|054-278-0454|경북 포항시 북구 중흥로 255번길 13||||||||네네치킨 죽도점||||80615
네네치킨|청하점|||네네치킨|054-232-1535|경북 포항시 북구 청하면 청하로 217번길 2||||||||네네치킨 청하점||||80615
네네치킨|경북포항시해도점[B]|||네네치킨|054-281-4492|경북 포항시 남구 해동로 55-1||||||||네네치킨 경북포항시해도점[B]||||80615
네네치킨|효곡점|||네네치킨|054-282-9982|경북 포항시 남구 효자동길 10번길 19||||||||네네치킨 효곡점||||80615
네네치킨|흥해점|||네네치킨|054-261-9979|경북 포항시 북구 흥해읍 흥해로 26||||||||네네치킨 흥해점||||80615
네네치킨|산정점|||네네치킨|062-951-4479|광주 광산구 하남대로 54번안길 104-7||||||||네네치킨 산정점||||80615
네네치킨|선운점|||네네치킨|062-941-4492|광주 광산구 선운중앙로 43||||||||네네치킨 선운점||||80615
네네치킨|송정1점|||네네치킨|062-945-4492|광주 광산구 남동길 30번길 48||||||||네네치킨 송정1점||||80615
네네치킨|수완1점|||네네치킨|062-959-9929|광주 광산구 장덕로 95번길 45||||||||네네치킨 수완1점||||80615
네네치킨|신가점|||네네치킨|062-955-9289|광주 광산구 신창로 35번길 87||||||||네네치킨 신가점||||80615
네네치킨|우산소촌점[B]|||네네치킨|062-942-4479|광주 광산구 무진대로 278-11한국아델리움 ||||||||네네치킨 우산소촌점[B]||||80615
네네치킨|운남점|||네네치킨|062-952-9994|광주 광산구 월곡로 30-1||||||||네네치킨 운남점||||80615
네네치킨|첨단1호점|||네네치킨|062-974-4492|광주 광산구 산월로 64||||||||네네치킨 첨단1호점||||80615
네네치킨|방림양림점|||네네치킨|062-655-4492|광주 남구 방림로 2||||||||네네치킨 방림양림점||||80615
네네치킨|봉선1점|||네네치킨|062-652-4492|광주 남구 봉선1로 66||||||||네네치킨 봉선1점||||80615
네네치킨|월산까치점|||네네치킨|061-365-8299|광주 남구 독립로 87||||||||네네치킨 월산까치점||||80615
네네치킨|주월점|||네네치킨|062-651-4492|광주 남구 회서로 15||||||||네네치킨 주월점||||80615
네네치킨|진월점|||네네치킨|062-674-4492|광주 남구 서문대로 663번길 16||||||||네네치킨 진월점||||80615
네네치킨|효천점|||네네치킨|062-671-4492|광주 남구 효우로 230번길 35||||||||네네치킨 효천점||||80615
네네치킨|산수점|||네네치킨|062-222-5992|광주광역시동구산수길 33||||||||네네치킨 산수점||||80615
네네치킨|학동점|||네네치킨|062-222-4492|광주 동구 천변우로 603||||||||네네치킨 학동점||||80615
네네치킨|동림점|||네네치킨|062-513-9945|광주 북구 동림용산로 29||||||||네네치킨 동림점||||80615
네네치킨|두암1점|||네네치킨|062-251-4492|광주 북구 삼정로 139||||||||네네치킨 두암1점||||80615
네네치킨|문흥점|||네네치킨|062-252-4492|광주 북구 면앙로 32번길 29||||||||네네치킨 문흥점||||80615
네네치킨|신안점|||네네치킨|062-526-4492|광주 북구 중가로 41||||||||네네치킨 신안점||||80615
네네치킨|양산점|||네네치킨|062-576-9995|광주 북구 양산택지로 79번길 15||||||||네네치킨 양산점||||80615
네네치킨|용봉점|||네네치킨|062-522-4492|광주 북구 설죽로 202번길 52||||||||네네치킨 용봉점||||80615
네네치킨|일곡점|||네네치킨|062-575-4492|광주 북구 송해로 34||||||||네네치킨 일곡점||||80615
네네치킨|중흥점|||네네치킨|062-524-9992|광주 북구 용봉로 86||||||||네네치킨 중흥점||||80615
네네치킨|첨단2지구점|||네네치킨|062-576-4492|광주 북구 임방울대로 1042번길 14-20||||||||네네치킨 첨단2지구점||||80615
네네치킨|금호점|||네네치킨|062-383-9935|광주 서구 금화로 73번길 16||||||||네네치킨 금호점||||80615
네네치킨|동천점|||네네치킨|062-512-4492|광주 서구 동천로 10번길 24||||||||네네치킨 동천점||||80615
네네치킨|상무점|||네네치킨|062-383-4492|광주 서구 상무평화로 102||||||||네네치킨 상무점||||80615
네네치킨|쌍촌1점|||네네치킨|062-382-4492|광주 서구 상일로 24번길 11||||||||네네치킨 쌍촌1점||||80615
네네치킨|풍암점|||네네치킨|062-655-9982|광주 서구 풍암신암로 26||||||||네네치킨 풍암점||||80615
네네치킨|화정1점|||네네치킨|062-375-4492|광주 서구 염화로 57번길 20||||||||네네치킨 화정1점||||80615
네네치킨|대명2점|||네네치킨|053-654-9984|대구 남구 성당시장길 59||||||||네네치킨 대명2점||||80615
네네치킨|대명남산점|||네네치킨|053-621-9282|대구 남구 명덕로 28길 12||||||||네네치킨 대명남산점||||80615
네네치킨|봉덕점|||네네치킨|053-475-4479|대구 남구 봉덕로 11길 25||||||||네네치킨 봉덕점||||80615
네네치킨|대곡역점|||네네치킨|053-638-4479|대구 달서구 비슬로 538길 22||||||||네네치킨 대곡역점||||80615
네네치킨|대곡진천점[B]|||네네치킨|053-633-4479|대구 달서구 한실로 117||||||||네네치킨 대곡진천점[B]||||80615
네네치킨|두류광장점|||네네치킨|053-652-4482|대구 달서구 야외음악당로 39안길 48||||||||네네치킨 두류광장점||||80615
네네치킨|상인점|||네네치킨|053-635-6611|대구 달서구 상인로 47||||||||네네치킨 상인점||||80615
네네치킨|성당점[B]|||네네치킨|053-555-9282|대구 달서구 감삼남길 171||||||||네네치킨 성당점[B]||||80615
네네치킨|성서점|||네네치킨|053-593-9982|대구 달서구 선원로 37길 16||||||||네네치킨 성서점||||80615
네네치킨|송현점|||네네치킨|053-626-9994|대구 달서구 월배로 74길 39||||||||네네치킨 송현점||||80615
네네치킨|신당점|||네네치킨|053-592-4485|대구 달서구 신당로 24||||||||네네치킨 신당점||||80615
네네치킨|신월배점|||네네치킨|053-663-9282|대구 달서구 조암남로 27길 30||||||||네네치킨 신월배점||||80615
네네치킨|용산1점|||네네치킨|053-522-9937|대구 달서구 와룡로 51길 65||||||||네네치킨 용산1점||||80615
네네치킨|이월드점|||네네치킨|-|대구 달서구 두류공원로 200||||||||네네치킨 이월드점||||80615
네네치킨|장기점|||네네치킨|053-522-8890|대구 달서구 구마로 12길 14||||||||네네치킨 장기점||||80615
네네치킨|구지점|||네네치킨|053-611-4462|대구 달성군 구지면 창리중앙길 97||||||||네네치킨 구지점||||80615
네네치킨|논공점|||네네치킨|053-615-4482|대구 달성군 논공읍 논공중앙로 118||||||||네네치킨 논공점||||80615
네네치킨|다사점|||네네치킨|053-593-4482|대구 달성군 다사읍 대실역북로 55||||||||네네치킨 다사점||||80615
네네치킨|서재점|||네네치킨|053-587-4479|대구 달성군 다사읍 서재로 99-1||||||||네네치킨 서재점||||80615
네네치킨|옥포점|||네네치킨|053-611-4482|대구 달성군 돌미로2길 1||||||||네네치킨 옥포점||||80615
네네치킨|현풍점|||네네치킨|053-611-4446|대구 달성군 현풍면 테크노중앙대로 325-49||||||||네네치킨 현풍점||||80615
네네치킨|화원점|||네네치킨|053-644-9985|대구 달성군 화원읍 화암로 65||||||||네네치킨 화원점||||80615
네네치킨|동호점|||네네치킨|053-963-4482|대구 동구 동호로 40||||||||네네치킨 동호점||||80615
네네치킨|방촌점|||네네치킨|053-981-9050|대구 동구 동촌로 58길 21||||||||네네치킨 방촌점||||80615
네네치킨|불로봉무점|||네네치킨|053-985-9982|대구 동구 팔공로51길 23||||||||네네치킨 불로봉무점||||80615
네네치킨|신암동점|||네네치킨|053-944-4479|대구 동구 신암로 132||||||||네네치킨 신암동점||||80615
네네치킨|신천동점|||네네치킨|053-754-4479|대구 동구 국채보상로 861||||||||네네치킨 신천동점||||80615
네네치킨|율하점|||네네치킨|053-965-4479|대구 동구 율하동로 8길25 ||||||||네네치킨 율하점||||80615
네네치킨|효목점|||네네치킨|053-954-9982|대구 동구 효목로 111||||||||네네치킨 효목점||||80615
네네치킨|고성동점|||네네치킨|053-355-4479|대구 북구 옥산로 9||||||||네네치킨 고성동점||||80615
네네치킨|관음읍내동점|||네네치킨|053-323-4479|대구 북구 칠곡중앙대로 95길 11||||||||네네치킨 관음읍내동점||||80615
네네치킨|동서변점|||네네치킨|053-944-9282|대구 북구 서변로 26||||||||네네치킨 동서변점||||80615
네네치킨|대구북구만평점|||네네치킨|053-356-4113|대구 서구 서대구로 62길 51||||||||네네치킨 대구북구만평점||||80615
네네치킨|복현검단점|||네네치킨|053-942-4479|대구 북구 경진로 1길31 ||||||||네네치킨 복현검단점||||80615
네네치킨|사수금호점|||네네치킨|053-325-4479|대구 북구 한강로 17||||||||네네치킨 사수금호점||||80615
네네치킨|칠곡1점|||네네치킨|053-323-9980|대구 북구 대천로 17길 14||||||||네네치킨 칠곡1점||||80615
네네치킨|칠성점|||네네치킨|053-341-0044|대구 북구 칠성로 88||||||||네네치킨 칠성점||||80615
네네치킨|태전점[B]|||네네치킨|053-321-4479|대구 북구 구암로 16길 7||||||||네네치킨 태전점[B]||||80615
네네치킨|내당대신동점|||네네치킨|053-567-4479|대구 서구 달서로 12길 28||||||||네네치킨 내당대신동점||||80615
