##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@파스쿠찌
파스쿠찌|이대서울병원점|||파스쿠찌|070-8181-3112|서울특별시 강서구 공항대로 260||무선인터넷|평일 07:00 ~ 23:00 / 주말 08:00 ~ 23:00|||||파스쿠찌 이대서울병원점||||80705
파스쿠찌|삼척점|||파스쿠찌|033-575-8497|강원도 삼척시 척주로 21||무선인터넷|월~금 08:00~23:00 / 주말, 공휴일 08:00~23:00|||||파스쿠찌 삼척점|(남양동,1,2 층)|||80705
파스쿠찌|첨단리버사이드DT점|||파스쿠찌|062-574-8497|광주광역시 북구 임방울대로 945||주차가능;무선인터넷;케이터링|07시 ~ 24시 (주중,주말,공휴일 동일)|||||파스쿠찌 첨단리버사이드DT점|(신용동 477-12)|||80705
파스쿠찌|세종고운점|||파스쿠찌|044-863-8496|세종특별자치시 마음로 272-5||주차가능;무선인터넷|평일, 주말 08:00~23:00|||||파스쿠찌 세종고운점||||80705
파스쿠찌|부산송도해변점|||파스쿠찌|051-257-8497|부산시 서구 송도해변로 79||주차가능;무선인터넷|평일, 주말 09:00~24:00|||||파스쿠찌 부산송도해변점|(암남동,2층)|||80705
파스쿠찌|광교법조타운점|||파스쿠찌|031-211-3232|경기도 수원시 영통구광교중앙로248번길 95-3||주차가능;무선인터넷|월~금 08:00~22:00 / 주말, 공휴일 09:00~22:00|||||파스쿠찌 광교법조타운점|(하동,1층)|||80705
파스쿠찌|서울대관정도서관점|||파스쿠찌|02-875-8497|서울시 관악구 관악로 1||무선인터넷;케이터링|매일 7:00 ~ 22:00|||||파스쿠찌 서울대관정도서관점|서울대학교 관정도서관 부속동 2,3층|||80705
파스쿠찌|대전성모병원점|||파스쿠찌|042-257-2588|대전광역시 중구 대흥로 64||무선인터넷;케이터링|월~토 08:00~22:00 / 일,공휴일 10:00~22:00|||||파스쿠찌 대전성모병원점|(대흥동,1층)|||80705
파스쿠찌|전포카페거리점|||파스쿠찌|051-818-6021||부산 부산진구 전포동 692-5|흡연실;무선인터넷;케이터링|월~목 08:00~ 24:00 / 금 08:00~ 25:00 / 토 09:00~ 25:00 / 일 09:00~ 24:00|||||파스쿠찌 전포카페거리점||||80705
파스쿠찌|소마미술관점|||파스쿠찌|02-422-8497|서울특별시 송파구 위례성대로 51||주차가능;무선인터넷;케이터링|월~목 9:00~21:00 / 금~일, 공휴일 9:00~22:00|||||파스쿠찌 소마미술관점||||80705
파스쿠찌|상암DMS점|||파스쿠찌|02-300-5777|서울특별시 마포구 월드컵북로 54길 12||무선인터넷;케이터링|평일 07:30~22:30 / 주말, 공휴일 08:30~22:30|||||파스쿠찌 상암DMS점|디지털매직스페이스 1층|||80705
파스쿠찌|대구본리점|||파스쿠찌|053-522-8497|대구광역시 달서구 대명천로 223||주차가능;무선인터넷|09:00 ~ 24:00|||||파스쿠찌 대구본리점||||80705
파스쿠찌|거제거붕백병원점|||파스쿠찌|055-733-0672|경상남도 거제시 계룡로 5길 14||무선인터넷|평일 08:00~18:00 / 토 08:00~16:00 / 일 08:00~14:00|||||파스쿠찌 거제거붕백병원점|거붕백병원|||80705
파스쿠찌|천안신방점|||파스쿠찌|041-577-8797||충청남도 천안시 동남구 신방동 417|흡연실;주차가능;무선인터넷|평일/공휴일 09:00~23:00|||||파스쿠찌 천안신방점||||80705
파스쿠찌|김포공항국내선점|||파스쿠찌|02-2665-8497|서울특별시 강서구 하늘길 112||흡연실;주차가능;무선인터넷|05:00~21:00|||||파스쿠찌 김포공항국내선점|국내선 3층 (출발층,동편)|||80705
파스쿠찌|대전봉명점|||파스쿠찌|042-862-0004|대전광역시 유성구 온천북로 15||주차가능;무선인터넷|월 목 09:00~01:00 / 금,토,공휴일 10:00~03:00|||||파스쿠찌 대전봉명점|1층 (봉명동 627-3)|||80705
파스쿠찌|대전코젤병원점|||파스쿠찌|042-545-3197|대전광역시 유성구 계백로 927||주차가능;무선인터넷|평일/공휴일 08:00~22:00|||||파스쿠찌 대전코젤병원점|대전코젤병원 1층 1101호|||80705
파스쿠찌|가재울점|||파스쿠찌|02-304-8497||서울특별시 서대문구 남가좌동 385|무선인터넷|평일 08:00 ~ 23:00 / 주말, 공휴일 08:00 ~ 23:00|||||파스쿠찌 가재울점||||80705
파스쿠찌|세종다정점|||파스쿠찌|044-464-8497|세종특별자치시 다정로 14||주차가능;무선인터넷|09:00~23:00|||||파스쿠찌 세종다정점|(다정동 산10)|||80705
파스쿠찌|광장워커힐점|||파스쿠찌|02-456-8497|서울특별시 광진구 아차산로 613||무선인터넷;케이터링|평일 07:00~23:00 / 주말, 공휴일 08:00~23:00|||||파스쿠찌 광장워커힐점|1층 (: 광장동 331-3)|||80705
파스쿠찌|서귀포신시가지점|||파스쿠찌|064-739-8497|제주 서귀포시 김정문화로27번길 10-1||주차가능;무선인터넷|08:00 ~ 23:00|||||파스쿠찌 서귀포신시가지점|(강정동)|||80705
파스쿠찌|대구범어역점|||파스쿠찌|053-746-8497|대구광역시 수성구 달구벌대로 2386||주차가능|평일 08:00~23:00 / 주말, 공휴일 09:00~22:00|||||파스쿠찌 대구범어역점||||80705
파스쿠찌|대구월배역점|||파스쿠찌|053-639-8497|대구광역시 달서구 월배로 168||주차가능;무선인터넷|09:00 ~ 24:00|||||파스쿠찌 대구월배역점|아보스타워 1~2층|||80705
파스쿠찌|아산배방점|||파스쿠찌|041-542-8497|충청남도 아산시 배방읍 배방로 88||주차가능;무선인터넷|8:00 ~ 23:00|||||파스쿠찌 아산배방점||||80705
파스쿠찌|천안업성호수공원점|||파스쿠찌|041-561-7300|충남 천안시 서북구 성성5로 141||주차가능;무선인터넷|10:00~23:00|||||파스쿠찌 천안업성호수공원점|1,2층|||80705
파스쿠찌|전주혁신점|||파스쿠찌|063-222-8497|전라북도 완주군 이서면 오공로 11-13||주차가능;무선인터넷|평일 08:00~23:00 / 주말 09:00~23:00|||||파스쿠찌 전주혁신점|108호,109호|||80705
파스쿠찌|대구신천점|||파스쿠찌|053-753-8497|대구광역시 동구 장등로 38||주차가능;무선인터넷|평일 09:00~22:30 주말 10:00~22:30|||||파스쿠찌 대구신천점|1층|||80705
파스쿠찌|제천장락점|||파스쿠찌|043-643-8497|충청북도 제천시 청전대로 216||주차가능;무선인터넷|09:00~23:00|||||파스쿠찌 제천장락점|재림빌딩 1층 (장락동)|||80705
파스쿠찌|선유도역점|||파스쿠찌|02-2672-8497|서울특별시 영등포구 양평로 116-1||주차가능;무선인터넷|07:00~23:00|||||파스쿠찌 선유도역점|1층,2층 (양평동 4가)|||80705
파스쿠찌|선릉역신도벤처2호점|||파스쿠찌|02-568-4327|서울특별시 강남구 테헤란로 333||주차가능;무선인터넷|평일 07:00~22:00,토요일 09:00~22:00 (공휴일 및 일요일 휴점)|||||파스쿠찌 선릉역신도벤처2호점|신도벤처타워 지하2층|||80705
파스쿠찌|선릉역신도벤처1호점|||파스쿠찌|02-568-4326|서울특별시 강남구 테헤란로 333||주차가능;무선인터넷|평일 07:00~22:00,토요일 09:00~22:00 (공휴일 및 일요일 휴점)|||||파스쿠찌 선릉역신도벤처1호점|신도벤처타워 1층|||80705
파스쿠찌|경희의료원/키오스크점|||파스쿠찌|02-966-8497|서울 동대문구 경희대로 26||케이터링|07:00~21:00|||||파스쿠찌 경희의료원/키오스크점||||80705
파스쿠찌|광주방림DT점|||파스쿠찌|062-651-8497|광주광역시 남구 대남대로 85||주차가능;무선인터넷|07:00~24:00|||||파스쿠찌 광주방림DT점||||80705
파스쿠찌|송도컨벤시아점|||파스쿠찌|032-715-8467|인천 연수구 센트럴로 123송도컨벤시아 M 18호 ||주차가능;무선인터넷;케이터링|08:00~24:00|||||파스쿠찌 송도컨벤시아점||||80705
파스쿠찌|구미문성지점|||파스쿠찌|054-456-8497|경상북도 구미시 고아읍 들성로 183||주차가능;무선인터넷|09:00~24:00|||||파스쿠찌 구미문성지점||||80705
파스쿠찌|충북영동점|||파스쿠찌|043-743-8497|충북 영동군 영동읍 난계로 1108||주차가능;무선인터넷;케이터링|10:00~22:00|||||파스쿠찌 충북영동점||||80705
파스쿠찌|순천문화의거리점|||파스쿠찌|061-753-1002|전라남도 순천시 중앙로 94-2||무선인터넷|05:00~22:00|||||파스쿠찌 순천문화의거리점||||80705
파스쿠찌|부산온천장점|||파스쿠찌|051-553-8497|부산광역시 동래구 온천장로 89||주차가능;무선인터넷;케이터링|월~목 8:00~23:00 / 금~토 10:00~02:00 / 일 9:00~24:00|||||파스쿠찌 부산온천장점||||80705
파스쿠찌|밀양점|||파스쿠찌|055-353-7711|경상남도 밀양시 밀양대로 1753-27||주차가능;무선인터넷;케이터링|일~목 09:00~23:00 / 금~토, 공휴일 09:00~24:00|||||파스쿠찌 밀양점|(삼문동)|||80705
파스쿠찌|동김해점|||파스쿠찌|055-333-6500|경상남도 김해시 인제로 9||주차가능;무선인터넷|09:00 ~ 23:00|||||파스쿠찌 동김해점|(어방동)|||80705
파스쿠찌|수원/호매실/2호점|||파스쿠찌|031-278-7900|경기도 수원시 권선구 금곡로 201||주차가능;무선인터넷|08:00~23:00|||||파스쿠찌 수원/호매실/2호점||||80705
파스쿠찌|제주서사라점|||파스쿠찌|064-757-8497|제주 제주시 서광로 206-1||무선인터넷|08:00~22:00|||||파스쿠찌 제주서사라점|1층|||80705
파스쿠찌|의정부민락제이맘점|||파스쿠찌|031-879-2626|경기도 의정부시 오목로225번길 115||주차가능;무선인터넷|08:30~26:00|||||파스쿠찌 의정부민락제이맘점|(민락동) 제이맘태워 101,201호|||80705
파스쿠찌|충주칠금점|||파스쿠찌|043-855-8497|충청북도 충주시 계명대로 29||주차가능;무선인터넷|08:00~24:00|||||파스쿠찌 충주칠금점|1층 (칠금동,금강빌딩)|||80705
파스쿠찌|김포공항국제선점|||파스쿠찌|02-2662-8497|서울시 강서구 하늘길 38||무선인터넷|평일,주말,공휴일 동일 06:30~23:00|||||파스쿠찌 김포공항국제선점|국제선 청사 1층 서편|||80705
파스쿠찌|포항성모병원점|||파스쿠찌|054-277-8497|경상북도 포항시 남구 대잠동길 17||주차가능;무선인터넷|평일 08:00~21:00 / 토 08:00~19:00 / 일 10:00~19:00|||||파스쿠찌 포항성모병원점|B1F|||80705
파스쿠찌|서충주신도시점|||파스쿠찌|043-846-5507|충청북도 충주시 중앙탑면 기업도시로 222||주차가능;무선인터넷|09:00 ~ 22:00|||||파스쿠찌 서충주신도시점|서충주메디컬타워 2,3층|||80705
파스쿠찌|아산신정호점|||파스쿠찌|041-534-0268|충남 아산시 신창면 신정호길 268||주차가능;무선인터넷|10:00~23:00|||||파스쿠찌 아산신정호점||||80705
파스쿠찌|대전도룡점|||파스쿠찌|042-861-8497|대전광역시 유성구 대덕대로 554||주차가능;무선인터넷;케이터링|평일 08:30~23:00 / 주말, 공휴일 09:00~23:00|||||파스쿠찌 대전도룡점|지상 1,2층 (도룡동 399-1)|||80705
파스쿠찌|대전용문점|||파스쿠찌|042-522-8497|대전광역시 서구 괴정로 155||주차가능;무선인터넷|(평일)09:00~24:00, (휴일)10:00~23:00|||||파스쿠찌 대전용문점|1,2층|||80705
파스쿠찌|울산보람병원점|||파스쿠찌|052-272-8497|울산광역시 남구 돋질로 336번길 10||무선인터넷|08:00~21:00|||||파스쿠찌 울산보람병원점|(삼산동,울산보람병원 신관 1층)|||80705
파스쿠찌|강진군청점|||파스쿠찌|061-432-8497|전라남도 강진군 강진읍 탐진로 103||주차가능;무선인터넷|08:00~23:00|||||파스쿠찌 강진군청점||||80705
파스쿠찌|속초영랑호점|||파스쿠찌|033-633-8497|강원도 속초시 영랑호반길 575||주차가능;무선인터넷|07:00 ~ 22:00|||||파스쿠찌 속초영랑호점||||80705
파스쿠찌|전주만성지구|||파스쿠찌|063-211-2946|전라북도 전주시 덕진구 만성북로 19||주차가능;무선인터넷|09:00 ~ 23:00|||||파스쿠찌 전주만성지구||||80705
파스쿠찌|제주중문점|||파스쿠찌|064-739-4477|제주특별자치도 서귀포시 천제연로232번길 15||주차가능;무선인터넷|08:00~22:00|||||파스쿠찌 제주중문점||||80705
파스쿠찌|화정샹그릴라점|||파스쿠찌|062-352-8497|광주광역시 서구 내방로 337||주차가능;무선인터넷;케이터링|10:00~24:00|||||파스쿠찌 화정샹그릴라점|1층 108호 (화정동,해광샹그릴라 센트럴 337)|||80705
파스쿠찌|분당정자점|||파스쿠찌|031-713-8497|경기도 성남시 분당구 성남대로 331번길 9-9||주차가능;무선인터넷;케이터링|평일, 주말, 공휴일 07:30~23:00|||||파스쿠찌 분당정자점||||80705
파스쿠찌|대전복합터미널점|||파스쿠찌|042-621-8497||대전광역시 동구 용전동 111-14|흡연실;주차가능;무선인터넷;케이터링|10:00~26:00|||||파스쿠찌 대전복합터미널점||||80705
파스쿠찌|부산행복신협덕천점|||파스쿠찌|051-343-8497||부산시 북구 덕천동 333-9|주차가능;무선인터넷|월~일(8:30~22:00), 공휴일(08:30~22:00)|||||파스쿠찌 부산행복신협덕천점||||80705
파스쿠찌|인천공항/T1/탑승동점|||파스쿠찌|032-743-7211|인천 중구 공항로 271|||06:00~22:00|||||파스쿠찌 인천공항/T1/탑승동점||||80705
파스쿠찌|구미확장단지점|||파스쿠찌|054-474-8497||경북 구미시 산동면 신당리 1430|주차가능;무선인터넷|09:00~22:00|||||파스쿠찌 구미확장단지점||||80705
파스쿠찌|포항영일대비치점|||파스쿠찌|054-248-3303|포항시 북구 해안로 131||주차가능;무선인터넷|09:00~24:00|||||파스쿠찌 포항영일대비치점||||80705
파스쿠찌|서초점|||파스쿠찌|02-598-1436||서울특별시 서초구 서초동 1623-8|무선인터넷|평일 08:00~23:00 / 주말, 공휴일 09:00~22:00|||||파스쿠찌 서초점|9 B1|||80705
파스쿠찌|대구강정고령보점|||파스쿠찌|053-591-8497|대구광역시 달성군 다사읍 강전본길 83||주차가능;무선인터넷|10:00~24:00|||||파스쿠찌 대구강정고령보점|4F|||80705
파스쿠찌|인천공항/T1/L/S점|||파스쿠찌|032-743-7527|인천 중구 공항로 271|||06:00~22:00|||||파스쿠찌 인천공항/T1/L/S점|인천공항 T1 여객터미널 일반구역|||80705
파스쿠찌|부천역점|||파스쿠찌|032-652-0818||경기도 부천시 심곡동 385|주차가능;무선인터넷|평일 10:30~23:30 / 주말, 공휴일 10:30~24:00|||||파스쿠찌 부천역점|까뮤스퀘어피노키오 1층|||80705
파스쿠찌|춘천후평사거리점|||파스쿠찌|033-252-8500|강원도 춘천시 춘천로 324||주차가능;무선인터넷|08:00 ~ 23:00|||||파스쿠찌 춘천후평사거리점||||80705
파스쿠찌|진주휴게소점|||파스쿠찌|055-759-3205|경상남도 진주시 남해고속도로 194||흡연실;주차가능;무선인터넷|08:00~20:00|||||파스쿠찌 진주휴게소점|(호탄동)|||80705
파스쿠찌|천안신불당/영풍문고점|||파스쿠찌|02--||충남 천안시 서북구 불당동 1544|무선인터넷|10:00~22:00|||||파스쿠찌 천안신불당/영풍문고점|근린생활시설 10동 B102호|||80705
파스쿠찌|천안신불당점|||파스쿠찌|041-552-1544||충남 천안시 서북구 불당동 1544|무선인터넷|09:00~23:00|||||파스쿠찌 천안신불당점|근린생활시설 13동 C103호|||80705
파스쿠찌|공주신관점|||파스쿠찌|041-853-7721|충청남도 공주시 흑수골길 33||주차가능;무선인터넷|평일 08:00 ~ 24:00 / 주말, 공휴일 08:00 ~ 24:00|||||파스쿠찌 공주신관점|1층 101호|||80705
파스쿠찌|황전휴게소/하행점|||파스쿠찌|061-782-1738|전라남도 순천시 황전면 순천완주고속도로 25||흡연실;주차가능;무선인터넷|황전휴게소 순천방향|||||파스쿠찌 황전휴게소/하행점||||80705
파스쿠찌|황전휴게소/상행점|||파스쿠찌|061-782-1154|전라남도 순천시 황전면 순천완주고속도로 28||흡연실;주차가능;무선인터넷|08:00~20:00|||||파스쿠찌 황전휴게소/상행점||||80705
파스쿠찌|경북도청점|||파스쿠찌|054-900-7002|경상북도 안동시 풍천면 검무로 4-8||주차가능;무선인터넷|09:30~26:00|||||파스쿠찌 경북도청점||||80705
파스쿠찌|팔공산가산산성점|||파스쿠찌|054-975-6989|경상북도 칠곡군 동명면 한티로 535||주차가능;무선인터넷|10:00~23:00|||||파스쿠찌 팔공산가산산성점||||80705
파스쿠찌|부산센텀시티점|||파스쿠찌|051-744-8397|부산시 해운대구 센텀1로 25||주차가능;무선인터넷;케이터링|월~금(08:00~24시), 토~일(09:00~24:00), 공휴일(09:00~23:00)|||||파스쿠찌 부산센텀시티점||||80705
파스쿠찌|서대전세이점|||파스쿠찌|042-535-8497|대전 중구 계백로 1711||흡연실;주차가능;무선인터넷|am10~am02시|||||파스쿠찌 서대전세이점||||80705
파스쿠찌|대구/신평리네거리점|||파스쿠찌|053-525-8497|대구시 서구 국채보상로 204||주차가능;무선인터넷|08:00~02:00|||||파스쿠찌 대구/신평리네거리점||||80705
파스쿠찌|속초청초호점|||파스쿠찌|033-635-8497||강원도 속초시 청학동 482-525|주차가능;무선인터넷|08:00 ~ 24:00|||||파스쿠찌 속초청초호점|속초씨크루즈호텔 1층|||80705
파스쿠찌|제주삼화지구점|||파스쿠찌|064-722-8497|제주 제주시 건주로4길 10-4||주차가능;무선인터넷|08:00~24:00|||||파스쿠찌 제주삼화지구점|(도련1동 1939-3)|||80705
파스쿠찌|대구신남네거리점|||파스쿠찌|053-427-8497|대구광역시 달구벌대로 1999||주차가능;무선인터넷|8:00~23:00|||||파스쿠찌 대구신남네거리점|척탑병원 1층|||80705
파스쿠찌|용산더센트럴점|||파스쿠찌|02-749-8497|서울시 용산구 한강대로 95||주차가능;무선인터넷|평일 08:00~23:00, 주말 및 공휴일 09:00~22:00|||||파스쿠찌 용산더센트럴점|1층 118호|||80705
파스쿠찌|시화나래휴게소/2호점|||파스쿠찌|02--|경기도 안산시 단원구 대부황금로 1901||주차가능|08:00~22:00|||||파스쿠찌 시화나래휴게소/2호점||||80705
파스쿠찌|완도여객터미널점|||파스쿠찌|061-555-0507|전라남도 완도군 완도읍 장보고대로 335||주차가능;무선인터넷|07:00~18:00|||||파스쿠찌 완도여객터미널점|1F 완도항여객터미널|||80705
파스쿠찌|월배비스타점|||파스쿠찌|053-642-8497||대구광역시 달서구 대천동 940|주차가능;무선인터넷|평일 09:00~23:00 주말 09:00~24:00|||||파스쿠찌 월배비스타점||||80705
파스쿠찌|익산부송점|||파스쿠찌|063-831-8497|전북 익산시 부송로 116||주차가능;무선인터넷|(월~일) 08:00~01:00|||||파스쿠찌 익산부송점|(부송동 1106-4)|||80705
파스쿠찌|대구대명역점|||파스쿠찌|053-656-8497|대구광역시 남구 대명로 73||주차가능;무선인터넷|평일, 주말 08:00~24:00|||||파스쿠찌 대구대명역점||||80705
파스쿠찌|제주한라병원점|||파스쿠찌|064-749-8497|제주 제주시 도령로 73||흡연실;주차가능;무선인터넷|(월~토) 08:00~23:00 / (일,공휴일) 08:00~22:00|||||파스쿠찌 제주한라병원점|(연동 1964-3) 2층|||80705
파스쿠찌|시화나래휴게소점|||파스쿠찌|02--|대부황금로 1901||주차가능|08:00~22:00|||||파스쿠찌 시화나래휴게소점||||80705
파스쿠찌|대구금호강변점|||파스쿠찌|053-983-8497||대구시 동구 지저동 843-1|주차가능;무선인터넷;케이터링|월~금, 일 08:00~23:00, 토 08:00~01:00|||||파스쿠찌 대구금호강변점||||80705
파스쿠찌|제주도남점|||파스쿠찌|064-757-8297||제주 제주시 도남동 277|주차가능;무선인터넷|08:00~24:00|||||파스쿠찌 제주도남점||||80705
파스쿠찌|광주학동점|||파스쿠찌|062-226-8497|광주광역시 동구 남문로 663||주차가능;무선인터넷|월~토 8:00~23:00, 일 9:00~11:00|||||파스쿠찌 광주학동점|(학동) 우리빌딩 1층|||80705
파스쿠찌|대구칠호광장점|||파스쿠찌|053-624-8497||대구시 달서구 두류동 494-19|주차가능;무선인터넷;케이터링|월~목, 일 07:00 24:00 / 금,토 07:00 02:00|||||파스쿠찌 대구칠호광장점||||80705
파스쿠찌|울산정자해변점|||파스쿠찌|052-281-0620|울산광역시 북구 동해안로 1544||주차가능;무선인터넷|09:00~23:00|||||파스쿠찌 울산정자해변점|(정자동)|||80705
파스쿠찌|울산수암로점|||파스쿠찌|052-258-3883|울산광역시 남구 신남로 103||주차가능;무선인터넷|09:00~24:00|||||파스쿠찌 울산수암로점|(신정동)|||80705
파스쿠찌|마곡퀸즈파크9점|||파스쿠찌|02-6421-9929|서울특별시 강서구 공항대로 247||주차가능;무선인터넷|월~목요일 09:00~23:00, 금~일요일 09:00~24:00|||||파스쿠찌 마곡퀸즈파크9점|2층 233호 (마곡동,가양1동 퀸즈파크나인)|||80705
파스쿠찌|대전롯데점|||파스쿠찌|042-484-8497|대전 서구 계룡로 599||주차가능;무선인터넷;케이터링|월~토,공휴일 08:00~24:00 / 일 08:00~23:00|||||파스쿠찌 대전롯데점|(탄방동91-23),한밭새마을금고 1층|||80705
파스쿠찌|연세심혈관병원점|||파스쿠찌|02-2227-8266|서울시 서대문구 연세로 50-1||케이터링|월 금 07:30~17:30 / 토 07:30~14:00 / 일,공휴일 휴무|||||파스쿠찌 연세심혈관병원점|1층 (신촌동,심장혈관병원)|||80705
파스쿠찌|대구침산점|||파스쿠찌|053-269-1009|대구광역시 북구 옥산로 95||주차가능;무선인터넷|월~목 08:00~01:00, 금~토 08:00~1:30, 일 08:00~24:00|||||파스쿠찌 대구침산점||||80705
파스쿠찌|위례센트럴타워점|||파스쿠찌|031-752-8497||경기 성남시 수정구 창곡동 위례IS센트럴타워 110호 , 204호 |주차가능;무선인터넷|09:00~23:00|||||파스쿠찌 위례센트럴타워점||||80705
파스쿠찌|전북고창점|||파스쿠찌|063-561-0080|전라북도 고창군 고창읍 중앙로 321||주차가능;무선인터넷|08:00~23:00|||||파스쿠찌 전북고창점|1층|||80705
파스쿠찌|영광백수해안도로점|||파스쿠찌|061-351-8497|전라남도 영광군 해안로 1389||주차가능;무선인터넷|09:00~22:00|||||파스쿠찌 영광백수해안도로점||||80705
파스쿠찌|거제하청점|||파스쿠찌|055-632-8397||경남 거제시 하청면 하청리 857|주차가능;무선인터넷|10:00 ~ 23:00|||||파스쿠찌 거제하청점|-1|||80705
파스쿠찌|울산굿모닝병원점|||파스쿠찌|052-268-8492||울산광역시 남구 달동 972|주차가능|평일, 토요일 08:00~21:00 / 일요일 09:00~17:00|||||파스쿠찌 울산굿모닝병원점|외 (굿모닝병원 1층)|||80705
파스쿠찌|강서NC백화점|||파스쿠찌|02-2667-9922|서울특별시 강서구 강서로 56길 17||주차가능;무선인터넷|10:30~21:00|||||파스쿠찌 강서NC백화점|NC백화점 강서점 8층|||80705
파스쿠찌|대구금호점|||파스쿠찌|053-311-8497||대구 북구 금호동 806|흡연실;주차가능;무선인터넷|08:00~24:00|||||파스쿠찌 대구금호점||||80705
파스쿠찌|용산아이파크몰점|||파스쿠찌|02-2012-0500|서울특별시 용산구 한강대로 23길 55||주차가능|10:00~23:00|||||파스쿠찌 용산아이파크몰점|5층 5-2호|||80705
파스쿠찌|안산선부역점|||파스쿠찌|031-405-0407|경기도 안산시 단원구 선부광장로 27||무선인터넷|평일 8:00~25:00 , 금/토 8:00~26:00|||||파스쿠찌 안산선부역점|115,116호|||80705
파스쿠찌|안양명학역점|||파스쿠찌|031-464-8497|경기도 안양시 만안구 덕천로 54||주차가능;무선인터넷|평일 07:30 ~ 23:00 / 주말, 공휴일 10:00 ~ 22:00|||||파스쿠찌 안양명학역점|에버앤비스퀘어 1층|||80705
파스쿠찌|평택/안중점|||파스쿠찌|031-684-0133|경기도 평택시 안중읍 안현로 338||주차가능;무선인터넷|09:00~22:00(평일,주말 동일)|||||파스쿠찌 평택/안중점|1층|||80705
파스쿠찌|청주사천점|||파스쿠찌|043-215-8497|충청북도 청주시 청원구 사뜸로 95||주차가능;무선인터넷|09:00 ~ 23:00|||||파스쿠찌 청주사천점|1층|||80705
파스쿠찌|안성휴게소하행점|||파스쿠찌|031-655-0531||경기도 안성시 원곡면 반제리 642-6|주차가능|24시간 영업 (평일, 주말 동일)|||||파스쿠찌 안성휴게소하행점|안성휴게소하행|||80705
파스쿠찌|목포옥암법원점|||파스쿠찌|061-282-|전남 목포시 정의로 10||주차가능;무선인터넷|평일07:00~23:00 / 주말, 공휴일 09:00~21:00|||||파스쿠찌 목포옥암법원점|(옥암동1192-1)|||80705
파스쿠찌|배곧신도시점|||파스쿠찌|031-319-8497|경기도 시흥시 배곧3로 96||흡연실;주차가능;무선인터넷|09:00~23:00|||||파스쿠찌 배곧신도시점|209-1,엠플러스 128호|||80705
파스쿠찌|수유롯데시네마점|||파스쿠찌|02-6961-3617||서울특별시 강북구 번동 449-1|주차가능;무선인터넷|10:00~22:00 (공휴일동일)|||||파스쿠찌 수유롯데시네마점|수유 스카이 빌딩 10F|||80705
파스쿠찌|수원망포점|||파스쿠찌|031-204-8497|경기도 수원시 영통구 영통로 174번길 5||주차가능;무선인터넷|08:00 ~ 23:00|||||파스쿠찌 수원망포점|1층 101호|||80705
