##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@KFC
KFC|신촌역점|126.935187404|37.5560017893|KFC|02-323-2332|서울 서대문구 신촌로 79|서울 서대문구 창천동 72-2|치맥;딜리버리;Wi-Fi 매장;단체주문;지하철인근;징거벨오더|매장 10시~23시 / 딜리버리  10시30분~23시|||||KFC 신촌역점|(창천동)|||80601
KFC|검단역점|126.65742609|37.6026011264|KFC|032-561-2332|인천 서구 완정로 172|인천 서구 마전동 910-1|치맥;딜리버리;Wi-Fi 매장;단체주문;지하철인근;징거벨오더|매장 10:00~23:00 / 딜리버리 10:30~23:00|||||KFC 검단역점|(마전동)|||80601
KFC|강남역점|127.026073573|37.4989364267|KFC|02-532-4211|서울 서초구 서초대로77길 15|서울 서초구 서초동 1317-5|치맥;딜리버리;Wi-Fi 매장;단체주문;지하철인근;징거벨오더|매장 10:00~23:30 / 딜리버리 10:30~23:00|||||KFC 강남역점|6;(서초동)|||80601
KFC|낙성대점|126.961605969|37.4781125761|KFC|02-871-7388|서울 관악구 남부순환로 1909|서울 관악구 봉천동 1685-15|치맥;딜리버리;Wi-Fi 매장;주차가능;단체주문;지하철인근;징거벨오더|매장 10:00~23:00 / 딜리버리 10:30~23:00|||||KFC 낙성대점|(봉천동)|||80601
KFC|양산물금점|129.015050512|35.328105005|KFC|055-362-7108|경남 양산시 물금읍 범어로 72|경남 양산시 물금읍 범어리 2711-8|치맥;딜리버리;Wi-Fi 매장;주차가능;단체주문;지하철인근;징거벨오더|매장 11:00~23:00 / 딜리버리 11:00~23:00|||||KFC 양산물금점|1층|||80601
KFC|인천공항교통센터점|126.45234776|37.4476103404|KFC|032-743-2547|인천 중구 공항로 271|인천 중구 운서동 2851|Wi-Fi 매장;주차가능;단체주문;지하철인근|매장 07:00~22:00 / 딜리버리 운영안함|||||KFC 인천공항교통센터점|지하 1F T2-02;(운서동)|||80601
KFC|당산역점|126.901643717|37.5344663627|KFC|02-2068-8938|서울 영등포구 양평로 46|서울 영등포구 당산동6가 331-6|치맥;딜리버리;Wi-Fi 매장;단체주문;지하철인근;징거벨오더|매장 10:00~01:00 / 딜리버리 10:30~00:30|||||KFC 당산역점|(당산동6가)|||80601
KFC|용인수지점|127.095132381|37.3224633713|KFC|031-261-3683|경기 용인시 수지구 풍덕천로 118|경기 용인시 수지구 풍덕천동 1080-8|치맥;딜리버리;Wi-Fi 매장;단체주문;지하철인근;징거벨오더|매장 10:30~23:00 / 딜리버리 11:00~23:00|||||KFC 용인수지점|초석프라자 1F;(풍덕천동)|||80601
KFC|잠실야구장점|127.075940251|37.5161997711|KFC|02-423-0862|서울 송파구 올림픽로 25|서울 송파구 잠실동 10|Wi-Fi 매장;주차가능;단체주문;지하철인근|경기에 따라 유동적|||||KFC 잠실야구장점|종합운동장 잠실야구장 내;(잠실동)|||80601
KFC|대치동점|127.062918451|37.4998956354|KFC|02-501-0391|서울 강남구 도곡로 517|서울 강남구 대치동 987-20|딜리버리;주차가능;단체주문;지하철인근;징거벨오더|매장: 10:00~23:00 / 딜리버리: 10:00~23:00|||||KFC 대치동점|서연빌딩 1층;(대치동)|||80601
KFC|울산명덕점|129.432444477|35.5223394462|KFC|052-209-2172|울산 동구 방어진순환도로 909|울산 동구 서부동 113-49|치맥;딜리버리;Wi-Fi 매장;단체주문;징거벨오더|매장 10:30~23:00 / 딜리버리 11:00~23:00|||||KFC 울산명덕점|(서부동)|||80601
KFC|독산동점|126.90270325|37.4643329428|KFC|02-802-6232|서울 금천구 독산로 195|서울 금천구 독산동 1043-1|치맥;딜리버리;Wi-Fi 매장;단체주문;징거벨오더|매장 10:30~23:00 / 딜리버리 11:00~23:00|||||KFC 독산동점|(독산동)|||80601
KFC|대구용산DT점|128.520212663|35.8508022268|KFC|053-581-9231|대구 달서구 달구벌대로 1393|대구 달서구 용산동 410-9|딜리버리|매장 10:30 ~ 23:00 / 딜리버리 11:00 ~ 23:00|||||KFC 대구용산DT점|(용산동)|||80601
KFC|대구시지점|128.706529747|35.8408530504|KFC|053-791-9228|대구 수성구 달구벌대로 3197|대구 수성구 매호동 841|딜리버리;지하철인근;징거벨오더|매장 10:30~23:00 / 딜리버리 10:30~23:00|||||KFC 대구시지점|(매호동)|||80601
KFC|내당동점|128.550176748|35.855498204|KFC|053-559-3193|대구 서구 달구벌대로 1689|대구 서구 내당동 463-63|치맥;딜리버리;Wi-Fi 매장;주차가능;단체주문;지하철인근;징거벨오더|매장 10:30~01:00 / 딜리버리 11:00~00:30(월~토), 단 일요일만 24:00 마감|||||KFC 내당동점|(내당동)|||80601
KFC|황금동점|128.623784149|35.8442131102|KFC|053-768-1838|대구 수성구 동대구로 155|대구 수성구 황금동 782|치맥;딜리버리;24시간매장;Wi-Fi 매장;주차가능;단체주문;징거벨오더|매장 24시간 / 딜리버리 11:00~01:00|||||KFC 황금동점|(황금동)|||80601
KFC|화정점|126.831449215|37.6335430409|KFC|031-970-3620|경기 고양시 덕양구 화신로272번길 57|경기 고양시 덕양구 화정동 970-5|치맥;딜리버리;Wi-Fi 매장;지하철인근;징거벨오더|매장 10:00~24:00 / 딜리버리 10:00~23:30|||||KFC 화정점|(화정동)|||80601
KFC|화성병점|127.042468787|37.213947329|KFC|031-221-7030|경기 화성시 효행로 1052|경기 화성시 병점동 844-1|치맥;딜리버리;단체주문;징거벨오더|매장 10:30~23:00 / 딜리버리 10:30~23:00|||||KFC 화성병점|씨네샤르망 A동 1층;(병점동)|||80601
KFC|홍익대점|126.923448864|37.5561136939|KFC|02-323-7554|서울 마포구 양화로 156|서울 마포구 동교동 165-8|딜리버리;24시간매장;Wi-Fi 매장;주차가능;단체주문;지하철인근;징거벨오더|매장 24시간 / 딜리버리 월~토10:00~02:00 (일요일 10:00~01:50)|||||KFC 홍익대점|LG팰리스빌딩;(동교동)|||80601
KFC|한남순천향점|127.004978149|37.5332097747|KFC|02-793-3354|서울 용산구 대사관로 62|서울 용산구 한남동 638-5|딜리버리;징거벨오더|매장 10:00~24:00 / 딜리버리 10:30~23:30|||||KFC 한남순천향점|(한남동)|||80601
KFC|학동역점|127.032992299|37.5143599039|KFC|02-514-7333|서울 강남구 학동로 218|서울 강남구 논현동 208-7|치맥;딜리버리;24시간매장;주차가능;단체주문;지하철인근;징거벨오더|매장 24시간 / 딜리버리 10:00~26:00|||||KFC 학동역점|(논현동)|||80601
KFC|하안동점|126.880190733|37.4616885179|KFC|02-803-1551|경기 광명시 하안로 289|경기 광명시 하안동 51|치맥;딜리버리;주차가능;단체주문|매장 10:00 ~ 01:00 / 딜리버리 11:00~01:00|||||KFC 하안동점|(하안동)|||80601
KFC|하남HP점|127.2126302|37.5379955804|KFC|031-791-5835|경기 하남시 하남대로 747|경기 하남시 신장동 570|Wi-Fi 매장;주차가능;단체주문;대형마트&백화점내|매장: 10:30~22:00 / 딜리버리: 10:30~22:00|||||KFC 하남HP점|하남홈플러스지하2층 (신장동);(신장동)|||80601
KFC|포항양덕DT점|129.39631931|36.0766381549|KFC|054-231-7274|경북 포항시 북구 새천년대로 1365|경북 포항시 북구 장성동 1433-5|치맥;딜리버리;징거벨오더|매장 10:00~23:00 / 딜리버리 10:00~23:00|||||KFC 포항양덕DT점|KFC포항양덕DT;(장성동)|||80601
KFC|포항점|129.348923519|36.012741527|KFC|054-276-8910|경북 포항시 남구 중흥로 77|경북 포항시 남구 상도동 582|딜리버리;Wi-Fi 매장;주차가능;단체주문;징거벨오더|매장 10:00~00:30 / 딜리버리 10:30~00:00|||||KFC 포항점|그랜드에비뉴 1층;(상도동)|||80601
KFC|평택점|127.086861851|36.9932771778|KFC|031-657-1900|경기 평택시 평택1로 13|경기 평택시 평택동 65-7|딜리버리;Wi-Fi 매장;단체주문;지하철인근;징거벨오더|매장 10:00~23:00 / 딜리버리 10:30~23:00|||||KFC 평택점|(평택동)|||80601
KFC|코엑스MALL점|127.059159722|37.5118232811|KFC|02-501-7295|서울 강남구 영동대로 513|서울 강남구 삼성동 159|치맥;지하철인근|10:00~22:00|||||KFC 코엑스MALL점|B1층 H102호;(삼성동)|||80601
KFC|칠곡HP점|128.555967538|35.9448492727|KFC|053-311-6725|대구 북구 동암로12길 8|대구 북구 동천동 968|Wi-Fi 매장;주차가능;단체주문;대형마트&백화점내|매장 10:30 ~ 22:30 / 딜리버리 11:00 ~ 22:30|||||KFC 칠곡HP점|칠곡홈플러스1층푸드코트;(동천동)|||80601
KFC|춘천이마트점|127.718713735|37.8630763067|KFC|033-252-3369|강원 춘천시 경춘로 2341|강원 춘천시 온의동 511|딜리버리;주차가능;단체주문;대형마트&백화점내;징거벨오더|10:30~22:00 / 딜리버리  10:30 ~ 22:00|||||KFC 춘천이마트점|이마트 춘천점 1층 푸드코트 內;(온의동)|||80601
KFC|춘천석사점|127.745354725|37.8526220236|KFC|033-912-3311|강원 춘천시 영서로 2027|강원 춘천시 석사동 885-1|치맥;딜리버리;단체주문;징거벨오더|매장 10:30~23:00 / 딜리버리 11:00~23:00|||||KFC 춘천석사점|(석사동)|||80601
KFC|청주오창점|127.43002197|36.7139215259|KFC|043-214-9515|충북 청주시 청원구 오창읍 중심상업2로 9-23|충북 청주시 청원구 오창읍 양청리 793-5|치맥;딜리버리;단체주문;징거벨오더|매장 10:30~22:30 / 딜리버리 11:00~22:30|||||KFC 청주오창점||||80601
KFC|청주수곡DT점|127.486542695|36.6155354895|KFC|043-283-5853|충북 청주시 서원구 수영로7번길 7|충북 청주시 서원구 수곡동 77-3|치맥;딜리버리;주차가능;단체주문|매장 11:00 ~23:00 / 딜리버리 11:00~23:00|||||KFC 청주수곡DT점|(수곡동)|||80601
KFC|청주메가폴리스점|127.431992509|36.6267828065|KFC|043-233-0669|충북 청주시 흥덕구 풍산로 15|충북 청주시 흥덕구 가경동 1416-2|딜리버리;단체주문;징거벨오더|매장 10:30~23:00 / 딜리버리 11:00~23:00|||||KFC 청주메가폴리스점|메가폴리스 1층;(가경동)|||80601
KFC|청량리역사점|127.047901608|37.5799655333|KFC|02-3707-1370|서울 동대문구 왕산로 214|서울 동대문구 전농동 591-53|단체주문;지하철인근;징거벨오더|09:00~23:00|||||KFC 청량리역사점|청량리역사3층303호 (전농동);(전농동)|||80601
KFC|청계천점|126.981377262|37.569338442|KFC|02-720-7947|서울 종로구 청계천로 35|서울 종로구 서린동 88|치맥;딜리버리;단체주문;징거벨오더|매장 10:00~23:00 / 딜리버리 10:00~23:00|||||KFC 청계천점|관정빌딩 1층;(서린동)|||80601
KFC|천호역점|127.125825925|37.5364837579|KFC|02-475-0332|서울 강동구 천호옛길 88|서울 강동구 성내동 43-11|치맥;딜리버리;단체주문;징거벨오더|매장 10:30~24:00 / 딜리버리 10:30~23:30|||||KFC 천호역점|G-lite빌딩 1층;(성내동)|||80601
KFC|천안쌍용점|127.12880491|36.796666409|KFC|041-902-0960|충남 천안시 서북구 충무로 205|충남 천안시 서북구 쌍용동 203-19|치맥;딜리버리;징거벨오더|매장 10:30~23:00 / 딜리버리 11:00~23:00|||||KFC 천안쌍용점|(쌍용동)|||80601
KFC|천안신부동점|127.154986224|36.8179914999|KFC|041-565-0332|충남 천안시 동남구 먹거리10길 11|충남 천안시 동남구 신부동 455-14|치맥;딜리버리;단체주문;징거벨오더|매장 10:30~23:00 / 딜리버리 11:00~23:00|||||KFC 천안신부동점|(신부동)|||80601
KFC|천안불당점|127.105655595|36.8127001771|KFC|041-522-3616|충남 천안시 서북구 불당26로 50|충남 천안시 서북구 불당동 1614|치맥;딜리버리;Wi-Fi 매장;단체주문;징거벨오더|매장 10:30 ~ 23:00 / 딜리버리 11:00 ~ 23:00|||||KFC 천안불당점|F107-1,2호;(불당동,천안불당지웰시티푸르지오2단지)|||80601
KFC|창원상남동점|128.685383711|35.2241089197|KFC|055-283-6083|경남 창원시 성산구 원이대로 658|경남 창원시 성산구 상남동 1-6|딜리버리;단체주문;징거벨오더|매장 10:30~23:00 / 딜리버리 10:30~23:00|||||KFC 창원상남동점|상남프라자1층 (상남동);(상남동)|||80601
KFC|창원더시티세븐점|128.654407468|35.2396660497|KFC|055-600-5308|경남 창원시 의창구 원이대로 320|경남 창원시 의창구 대원동 121|치맥;딜리버리;Wi-Fi 매장;주차가능;단체주문;징거벨오더|매장 10:30~23:00 / 딜리버리 11:00~23:00|||||KFC 창원더시티세븐점|시티세븐몰 1층 101호;(대원동)|||80601
KFC|진주이마트점|128.077412908|35.191596552|KFC|055-924-0924|경남 진주시 진양호로 477|경남 진주시 인사동 3|딜리버리;대형마트&백화점내;징거벨오더|매장 10:30 ~ 22:20 / 딜리버리  11:00 ~ 22:00|||||KFC 진주이마트점|진주이마트 지하1층;(인사동)|||80601
KFC|중계은행사거리점|127.076250922|37.6479103853|KFC|02-6436-0390|서울 노원구 한글비석로 227|서울 노원구 중계동 360-14|딜리버리;단체주문;징거벨오더|매장 10:00~24:00 / 딜리버리 10:30~23:30|||||KFC 중계은행사거리점|(중계동)|||80601
KFC|주엽역점|126.760497593|37.6700578372|KFC|031-924-7211|경기 고양시 일산서구 중앙로 1437|경기 고양시 일산서구 주엽동 109|치맥;딜리버리;Wi-Fi 매장;주차가능;단체주문;지하철인근;징거벨오더|매장 10:00~23:30 / 딜리버리 10:30~23:00|||||KFC 주엽역점|화성프라자101,102,201호;(주엽동)|||80601
KFC|종로점|126.987181764|37.5699518918|KFC|02-735-1230|서울 종로구 종로 88|서울 종로구 종로2가 71-4|딜리버리;단체주문;지하철인근;징거벨오더|매장 10:00~23:00 / 딜리버리 10:00~23:00|||||KFC 종로점|(종로2가)|||80601
KFC|정자역점|127.107518734|37.3688233361|KFC|031-711-3339|경기 성남시 분당구 느티로 27|경기 성남시 분당구 정자동 15-7|치맥;딜리버리;단체주문;지하철인근;징거벨오더|매장: 10:30 ~ 01:30 / 딜리버리: 10:30~01:00|||||KFC 정자역점|(정자동)|||80601
KFC|전주영화점|127.144646234|35.8188717346|KFC|063-231-8318|전북 전주시 완산구 전주객사4길 24-14|전북 전주시 완산구 고사동 114-2|딜리버리;단체주문;지하철인근;징거벨오더|매장 10:30~22:30 / 딜리버리 10:30~22:30|||||KFC 전주영화점|(고사동)|||80601
KFC|전북도청점|127.106469313|35.8186340229|KFC|063-221-2920|전북 전주시 완산구 효자로 194|전북 전주시 완산구 효자동3가 1525-1|치맥;딜리버리;단체주문;징거벨오더|매장 10:30~23:00 / 딜리버리 11:00~23:00|||||KFC 전북도청점|로자벨시티 106호;(효자동3가)|||80601
KFC|잠실점|127.084651563|37.5055367713|KFC|02-421-6528|서울 송파구 백제고분로 159|서울 송파구 잠실동 234-7|치맥;딜리버리;Wi-Fi 매장;주차가능;단체주문;지하철인근;징거벨오더|매장 10:30~23:00 / 딜리버리 10:30~23:00|||||KFC 잠실점|(잠실동)|||80601
KFC|일원동점|127.079114888|37.4932436794|KFC|02-445-6449|서울 강남구 개포로110길 15|서울 강남구 일원동 615|딜리버리;Wi-Fi 매장;주차가능;단체주문;지하철인근|매장 10:30~23:00 / 딜리버리 11:00~23:00|||||KFC 일원동점|(일원동,우성7차아파트)|||80601
KFC|일산후곡점|126.764100945|37.6789919838|KFC|031-923-8309|경기 고양시 일산서구 일산로 577|경기 고양시 일산서구 일산동 1059-2|딜리버리;징거벨오더|매장 10:30 ~ 23:00 / 딜리버리 10:30 ~ 23:00|||||KFC 일산후곡점|문화촌상가 1층;(일산동)|||80601
KFC|일산장항점|126.771849801|37.6569296487|KFC|031-901-9610|경기 고양시 일산동구 정발산로 27|경기 고양시 일산동구 장항동 859-1|치맥;딜리버리;징거벨오더|매장 10:00~24:30 / 딜리버리 10:30~24:00|||||KFC 일산장항점|(장항동)|||80601
KFC|인천청라점|126.652037602|37.5321062019|KFC|032-561-1506|인천 서구 중봉대로586번길 19|인천 서구 청라동 163-3|치맥;딜리버리;단체주문;징거벨오더|매장 10:30~23:00 / 딜리버리 10:30~23:00|||||KFC 인천청라점|(연희동)|||80601
KFC|인천스퀘어원점|126.683623521|37.405999969|KFC|032-456-4490|인천 연수구 청능대로 210|인천 연수구 동춘동 926|치맥;딜리버리;주차가능;단체주문;대형마트&백화점내;지하철인근;징거벨오더|매장 10:30~23:00 / 딜리버리 11:00 ~ 23:00|||||KFC 인천스퀘어원점|SQUARE 1 외부광장동 1층;(동춘동)|||80601
KFC|인천더플라워점|126.734513737|37.5337259694|KFC|032-541-8928|인천 계양구 장제로 738|인천 계양구 작전동 899-1|치맥;딜리버리;Wi-Fi 매장;주차가능;단체주문|매장 10:30~23:00 / 딜리버리 11:00~23:00|||||KFC 인천더플라워점|김포공항아울렛 계양점 1층 (작전동);(작전동)|||80601
KFC|인천논현점|126.727518563|37.3975387891|KFC|032-431-9726|인천 남동구 논고개로 61|인천 남동구 논현동 747-1|치맥;딜리버리;징거벨오더|매장 10:30~23:00 / 딜리버리 11:00~23:00|||||KFC 인천논현점|(논현동)|||80601
KFC|인천구월점|126.7083243|37.452242247|KFC|032-461-6101|인천 남동구 남동대로 784|인천 남동구 구월동 1199-9|딜리버리;단체주문;징거벨오더|매장 10:00~01:00 / 딜리버리 10:30~00:30|||||KFC 인천구월점|1,2층;(구월동)|||80601
KFC|인천공항랜드2점|126.427697698|37.4583524165|KFC|032-743-3618|인천 중구 공항로 272|인천 중구 운서동 2840|24시간매장;Wi-Fi 매장;주차가능;단체주문;지하철인근|매장 24시간 / 딜리버리 운영 안함|||||KFC 인천공항랜드2점|인천국제공항 여객터미널 1층;(운서동)|||80601
KFC|이천터미널점|127.446349554|37.2782229466|KFC|031-634-0324|경기 이천시 중리천로 84|경기 이천시 중리동 218-5|치맥;딜리버리;단체주문;징거벨오더|매장 10:00~22:30 / 딜리버리 11:00~22:30|||||KFC 이천터미널점|(중리동)|||80601
KFC|이대점|126.943926749|37.55897595|KFC|02-312-3921|서울 서대문구 이화여대길 81|서울 서대문구 대현동 37-39|치맥;딜리버리;Wi-Fi 매장;단체주문|매장 10:30 ~ 23:00 / 딜리버리 11:00 ~ 23:00|||||KFC 이대점|(대현동)|||80601
KFC|의정부엔터점|127.044286462|37.7377540763|KFC|031-829-7972|경기 의정부시 시민로 80|경기 의정부시 의정부동 494|치맥;딜리버리;Wi-Fi 매장;주차가능;단체주문;지하철인근;징거벨오더|매장 09:00 ~ 02:00 / 딜리버리 10:00~01:30|||||KFC 의정부엔터점|센트럴타워빌딩 1층(의정부동);(의정부동)|||80601
KFC|의정부민락DT점|127.094413717|37.745199023|KFC|031-851-3761|경기 의정부시 천보로 64|경기 의정부시 민락동 805-1|치맥;딜리버리;징거벨오더|매장 10:00~23:00 / 딜리버리 10:30~23:00|||||KFC 의정부민락DT점|(민락동)|||80601
KFC|의정부HP점|127.071001888|37.752163715|KFC|031-851-6073|경기 의정부시 청사로 38|경기 의정부시 금오동 475-1|딜리버리;주차가능;단체주문;대형마트&백화점내;징거벨오더|매장: 10:00~23:00 / 딜리버리: 10:00~23:00|||||KFC 의정부HP점|홈플러스;(금오동)|||80601
KFC|응암역점|126.919105817|37.5995242926|KFC|02-352-5961|서울 은평구 은평로 102|서울 은평구 응암동 110-12|치맥;딜리버리;단체주문;징거벨오더|매장 10:00~24:00 / 딜리버리 10:30~23:30|||||KFC 응암역점|(응암동)|||80601
KFC|은행동1점|127.429082224|36.3290267587|KFC|042-251-8911|대전 중구 대종로488번길 54|대전 중구 은행동 65-1|치맥;딜리버리;Wi-Fi 매장;단체주문;지하철인근;징거벨오더|매장 10:30~23:00 / 딜리버리 11:00~23:00|||||KFC 은행동1점|(은행동)|||80601
KFC|월계이마트점|127.061978305|37.6265077394|KFC|02-971-8396|서울 노원구 마들로3길 15|서울 노원구 월계동 333-1|주차가능;단체주문;대형마트&백화점내;징거벨오더|10:30~22:00|||||KFC 월계이마트점|월계이마트2층 (월계동);(월계동)|||80601
KFC|원주이마트점|127.919037465|37.3206516472|KFC|033-761-6420|강원 원주시 북원로 1928|강원 원주시 무실동 1062-1|대형마트&백화점내;징거벨오더|10:30 ~ 22:00|||||KFC 원주이마트점|원주이마트 지하1층 푸드코트 內;(무실동)|||80601
KFC|원주단계DT점|127.934385459|37.348015526|KFC|033-734-0984|강원 원주시 북원로 2266|강원 원주시 단계동 214-4|치맥;딜리버리;단체주문|매장 10:00 ~ 23:30 / 딜리버리 10:00~23:00|||||KFC 원주단계DT점|KFC원주단계DT;(단계동)|||80601
KFC|웅진플레이도시점|126.744236834|37.4999706941|KFC|032-220-7981|경기 부천시 조마루로 2|경기 부천시 상동 572-1|치맥;주차가능;단체주문;징거벨오더|매장 10:00~22:00 / 딜리버리 10:30~22:00|||||KFC 웅진플레이도시점|(상동)|||80601
KFC|울산현대점|129.335116136|35.5399063957|KFC|052-273-5032|울산 남구 삼산중로 71|울산 남구 달동 1367-3|딜리버리;주차가능;단체주문;징거벨오더|매장 10:00~01:30 / 딜리버리 10:30~00:00|||||KFC 울산현대점|(달동)|||80601
KFC|우장산역점|126.845108765|37.5455853423|KFC|02-2065-8641|서울 강서구 화곡로 230|서울 강서구 화곡동 70-5|치맥;딜리버리;단체주문;징거벨오더|매장 10:00~23:30 / 딜리버리 10:30~23:00|||||KFC 우장산역점|강서 힐스테이트 상가 18~22호;(화곡동)|||80601
KFC|우이동점|127.012981871|37.6517869172|KFC|02-995-1162|서울 도봉구 삼양로 544|서울 도봉구 쌍문동 423-17|치맥;딜리버리;Wi-Fi 매장;단체주문;징거벨오더|매장 10:30~23:00 / 딜리버리 10:30~23:00|||||KFC 우이동점|(쌍문동)|||80601
KFC|용인에버랜드점|127.202129831|37.2940653413|KFC|031-320-9057|경기 용인시 처인구 포곡읍 에버랜드로 199|경기 용인시 처인구 포곡읍 전대리 310|주차가능|매장 11:00~22:00 / 딜리버리 운영 안함|||||KFC 용인에버랜드점|에버랜드리조트 內 버거카페 스타라이트|||80601
KFC|용인상현점|127.084699547|37.3073014881|KFC|031-261-3527|경기 용인시 수지구 만현로 102|경기 용인시 수지구 상현동 255|치맥;딜리버리;단체주문|매장 10:30~23:00 / 딜리버리 11:00~23:00|||||KFC 용인상현점|(상현동)|||80601
KFC|용인보정점|127.114670022|37.32029078|KFC|031-889-8566|경기 용인시 기흥구 죽전로 52|경기 용인시 기흥구 보정동 1265-3|치맥;딜리버리;단체주문;징거벨오더|매장 10:30~23:00 / 딜리버리 11:00~23:00|||||KFC 용인보정점|(보정동)|||80601
KFC|용인명지DT점|127.193728581|37.2354396637|KFC|031-328-7538|경기 용인시 처인구 중부대로 1339|경기 용인시 처인구 역북동 446-12|딜리버리;단체주문;징거벨오더|매장 10:00~23:00 / 딜리버리 11:00~23:00|||||KFC 용인명지DT점|(역북동)|||80601
KFC|용산아이파크몰점|126.964742747|37.5297736038|KFC|02-2012-0641|서울 용산구 한강대로23길 55|서울 용산구 한강로3가 40-999|치맥;주차가능;단체주문;지하철인근;징거벨오더|10:00~ 22:00|||||KFC 용산아이파크몰점|아이파크몰 6층;(한강로3가)|||80601
KFC|왕십리역사점|127.038396005|37.5614409414|KFC|02-2200-1511|서울 성동구 왕십리광장로 17|서울 성동구 행당동 168-151|치맥;딜리버리;단체주문;지하철인근;징거벨오더|매장 10:00~01:00 / 딜리버리 11:00~00:30|||||KFC 왕십리역사점|왕십리민자역사 지상1층 C-02호;(행당동)|||80601
KFC|오산DT점|127.073515488|37.1367441115|KFC|031-372-2620|경기 오산시 경기대로 136|경기 오산시 원동 421-3|치맥;딜리버리;주차가능;단체주문;징거벨오더|매장 10:00~23:00 / 딜리버리 11:00~22:30|||||KFC 오산DT점|(원동)|||80601
KFC|영통씨네마점|127.076301932|37.2529348729|KFC|031-206-0168|경기 수원시 영통구 청명남로 40|경기 수원시 영통구 영통동 1011-1|치맥;딜리버리;주차가능;단체주문;징거벨오더|매장 10:00~24:00 / 딜리버리 10:00~23:30|||||KFC 영통씨네마점|영통시네마 1층;(영통동)|||80601
KFC|영등포역점|126.907667917|37.5156691168|KFC|02-2164-5226|서울 영등포구 경인로 846|서울 영등포구 영등포동 618-496|치맥;단체주문;지하철인근;징거벨오더|매장 10:00~23:00 / 딜리버리 운영 안함|||||KFC 영등포역점|영등포역사3층;(영등포동)|||80601
