##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@공공도서관
경기의정부교육도서관||||공공도서관|031-836-9582|경기도 의정부시 체육로 265-25||||||||경기의정부교육도서관|(녹양동) 70-1 번지 (경기도 의정부시 체육로 265-25)|||200101
경기중앙교육도서관||||공공도서관|031-240-4083|경기도 수원시 장안구 조원로 18||||||||경기중앙교육도서관|(조원동) 18 (조원동 495)|||200101
경기평생교육학습관||||공공도서관|031-259-1028|경기도 수원시 권선구 권중로 55||||||||경기평생교육학습관|(권선동) 경기평생교육학습관|||200101
경기평택교육도서관||||공공도서관|031-665-4208||경기도 평택시 서정동 770|||||||경기평택교육도서관|(평택시 서정북로 125번길 103)|||200101
경기포천교육도서관||||공공도서관|031-531-8751||경기도 포천시 신읍동 33|||||||경기포천교육도서관|(중앙로 92-6)|||200101
경기화성교육도서관||||공공도서관|031-369-5700|경기도 화성시 향남읍 발안로 85-10||||||||경기화성교육도서관|경기도 화성시 향남읍 도이리 203-12 경기화성교육도서관|||200101
고양시립/신원도서관||||공공도서관|031-8075-9340|경기도 고양시 덕양구 신원2로 24||||||||고양시립 신원도서관|(신원동)|||200101
고양시립가좌도서관||||공공도서관|031-8075-9380|경기도 고양시 일산서구 가좌3로 16||||||||고양시립가좌도서관|(가좌동) (가좌동,구 388-24번지) 2층 ~ 4층|||200101
고양시립대화도서관||||공공도서관|031-8075-9122|경기도 고양시 일산서구 일산로 689||||||||고양시립대화도서관|(대화도서관)|||200101
고양시립덕이도서관||||공공도서관|031-8075-9313|경기도 고양시 일산서구 하이파크로 128||||||||고양시립덕이도서관||||200101
고양시립마두도서관||||공공도서관|031-8075-9067|경기도 고양시 일산동구 일산로 355||||||||고양시립마두도서관|(고양시립마두도서관)|||200101
고양시립백석도서관||||공공도서관|031-8075-9090|경기도 고양시 일산동구 일산로 118||||||||고양시립백석도서관|(시립백석도서관)|||200101
고양시립삼송도서관||||공공도서관|031-8075-9360|경기도 고양시 덕양구 덕수천1로 73||||||||고양시립삼송도서관||||200101
고양시립식사도서관||||공공도서관|031-8075-9190|경기도 고양시 일산동구 위시티 2로 43-6||||||||고양시립식사도서관|(식사동 1562)|||200101
고양시립아람누리도서관||||공공도서관|031-8075-9038|경기도 고양시 일산동구 중앙로 1286||||||||고양시립아람누리도서관|(마두동) 1286 (고양시립아람누리도서관)|||200101
고양시립원당도서관||||공공도서관|031-8075-9254|경기도 고양시 덕양구 호국로790번길 49-9||||||||고양시립원당도서관|(시립원당도서관)|||200101
고양시립주엽어린이도서관||||공공도서관|031-8075-9170|경기도 고양시 일산서구 주엽로 104||||||||고양시립주엽어린이도서관||||200101
고양시립풍동도서관||||공공도서관|031-8075-9148|경기도 고양시 일산동구 숲속마을로 108||||||||고양시립풍동도서관||||200101
고양시립한뫼도서관||||공공도서관|031-8075-9115|경기도 고양시 일산서구 탄중로 284||||||||고양시립한뫼도서관|(일산동) 284 (일산동,한뫼도서관)|||200101
고양시립행신도서관||||공공도서관|031-8075-9232|경기도 고양시 덕양구 행당로33번길 25-6||||||||고양시립행신도서관|(고양시립행신도서관)|||200101
고양시립행신어린이도서관||||공공도서관|031-8075-9271|경기도 고양시 덕양구 소원로181번길 42||||||||고양시립행신어린이도서관||||200101
고양시립화정도서관||||공공도서관|031-8075-9206|경기도 고양시 덕양구 은빛로77번길 8||||||||고양시립화정도서관|(화정동) 8 (고양시립화정도서관)|||200101
고양시립화정어린이도서관||||공공도서관|031-8075-9291|경기도 고양시 덕양구 화신로 323||||||||고양시립화정어린이도서관|(화정동) 323 (시립화정어린이도서관)|||200101
곤지암도서관||||공공도서관|031-760-5666|경기도 광주시 곤지암로11번길 47||||||||곤지암도서관|(곤지암공공도서관)|||200101
과천시문원도서관||||공공도서관|02-2150-3080|경기도 과천시 문원로 104||||||||과천시문원도서관|(문원동) 문원도서관|||200101
과천시정보과학도서관||||공공도서관|02-2150-3008|경기도 과천시 중앙로 24||||||||과천시정보과학도서관|(갈현동) 과천시정보과학도서관|||200101
광교홍재도서관||||공공도서관|031-228-4812|경기도 수원시 영통구 대학로 88||||||||광교홍재도서관|(이의동) 88 (이의동)|||200101
광명시소하도서관||||공공도서관|02-2680-0903|경기도 광명시 소하일로 7||||||||광명시소하도서관|광명시소하도서관|||200101
광명시중앙도서관||||공공도서관|02-2680-5411|경기도 광명시 원광명안로 48||||||||광명시중앙도서관|(광명동) 48 (광명시광명도서관)|||200101
광명시철산도서관||||공공도서관|02-2680-6820|경기도 광명시 철산로 56||||||||광명시철산도서관||||200101
광명시충현도서관||||공공도서관|02-2680-6111|경기도 광명시 충현로42번길 19||||||||광명시충현도서관|(소하동) 광명시충현도서관|||200101
광명시하안도서관||||공공도서관|02-2680-2874|경기도 광명시 철망산로 46||||||||광명시하안도서관|(하안동) 철망산로 46 (하안도서관)|||200101
광적도서관||||공공도서관|031-8082-7480|경기도 양주시 광적면 광적로42번길 5||||||||광적도서관|광적도서관|||200101
광주시립중앙도서관||||공공도서관|031-760-5678|경기도 광주시 문화로 82||||||||광주시립중앙도서관|(시립도서관)|||200101
교하도서관||||공공도서관|031-940-5153|경기도 파주시 숲속노을로 256||||||||교하도서관|(동패동) 256 (동패동 1692) (교하도서관)|||200101
구리시교문도서관||||공공도서관|031-550-2593|경기도 구리시 안골로 30번길 45||||||||구리시교문도서관||||200101
구리시립토평도서관||||공공도서관|031-550-8325|경기도 구리시 장자대로 140||||||||구리시립토평도서관|(토평동) 토평도서관|||200101
구리시인창도서관||||공공도서관|031-550-2936|경기도 구리시 건원대로34번길 90||||||||구리시인창도서관|(구리시인창도서관)|||200101
군포부곡도서관||||공공도서관|031-390-4094|경기도 군포시 송부로221번길 3-10||||||||군포부곡도서관|군포부곡도서관|||200101
군포시/당동도서관||||공공도서관|031-390-8810|경기도 군포시 산본로197번길 36||||||||군포시 당동도서관|(당동도서관)|||200101
군포시/대야도서관||||공공도서관|031-390-8665|경기도 군포시 대야2로 139||||||||군포시 대야도서관|(대야미동) 139|||200101
군포시/산본도서관||||공공도서관|031-395-4316|경기도 군포시 광정로 96||||||||군포시 산본도서관|(산본동) 광정로 96 (산본동)|||200101
군포시/어린이도서관||||공공도서관|031-390-8680|경기도 군포시 고산로677번길 21||||||||군포시 어린이도서관|(어린이도서관)|||200101
군포시/중앙도서관||||공공도서관|031-390-8866|경기도 군포시 수리산로 79||||||||군포시 중앙도서관|(군포시중앙도서관)|||200101
금촌3동솔빛도서관||||공공도서관|031-944-8211|경기 파주시 금촌동 시청로 194||||||||금촌3동솔빛도서관|금촌3동솔빛도서관|||200101
김포시/통진도서관||||공공도서관|070-4912-1843|경기 김포시 통진읍 서암리 조강로 132||||||||김포시 통진도서관||||200101
남양주시/호평도서관||||공공도서관|031-590-8340|경기도 남양주시 천마산로 67||||||||남양주시 호평도서관|(호평동) 호평도서관 2층 사무실|||200101
남양주시도농도서관||||공공도서관|031-590-2586|경기도 남양주시 경춘로 409||||||||남양주시도농도서관|(다산동) 도농도서관|||200101
남양주시별내도서관||||공공도서관|031-590-8802|경기도 남양주시 별내면 청학로 86-1||||||||남양주시별내도서관|(별내도서관)|||200101
남양주시오남도서관||||공공도서관|031-590-8531|경기도 남양주시 오남읍 양지로240번길 12||||||||남양주시오남도서관|오남도서관|||200101
남양주시와부도서관||||공공도서관|031-590-8920|경기도 남양주시 월문천로 43||||||||남양주시와부도서관|(와부도서관)|||200101
남양주시진건도서관||||공공도서관|031-590-8255|경기도 남양주시 진건오남로 41-||||||||남양주시진건도서관|25 (진건도서관)|||200101
남양주시진접도서관||||공공도서관|031-590-5310|경기도 남양주시 진접읍 금강로 1554-11||||||||남양주시진접도서관|1554-11 (진접도서관)|||200101
남양주시진접푸른숲도서관||||공공도서관|031-590-5330|경기도 남양주시 진접읍 해밀예당2로 35||||||||남양주시진접푸른숲도서관|진접푸른숲도서관|||200101
남양주시퇴계원도서관||||공공도서관|031-590-3910|경기도 남양주시 퇴계원면 도제원로 12||||||||남양주시퇴계원도서관|퇴계원도서관|||200101
남양주시평내도서관||||공공도서관|031-590-8560||경기 남양주시 평내동 605-1|||||||남양주시평내도서관||||200101
남양주시화도도서관||||공공도서관|031-590-4587|경기도 남양주시 화도읍 수레로1260번길 33||||||||남양주시화도도서관|736-4|||200101
논골도서관||||공공도서관|031-732-9581|경기도 성남시 수정구 논골로23번길 2||||||||논골도서관|(단대동) 2|||200101
느티나무도서관||||공공도서관|031-262-3494|경기도 용인시 수지구 수풍로116번길 22||||||||느티나무도서관|(느티나무도서관)|||200101
능평도서관||||공공도서관|031-760-5912|경기도 광주시 오포읍 창뜰아랫길 6||||||||능평도서관|능평도서관|||200101
대부도서관||||공공도서관|031-481-3956|경기도 안산시 단원구 대남로 30||||||||대부도서관||||200101
대추골도서관||||공공도서관|031-228-4816|경기도 수원시 장안구 수일로 164||||||||대추골도서관|(조원동) 164 조원동 대추골도서관|||200101
동두천꿈나무정보도서관||||공공도서관|031-860-3281|경기도 동두천시 지행로 38||||||||동두천꿈나무정보도서관|(지행동) 동두천꿈나무정보도서관|||200101
동두천시립도서관||||공공도서관|031-860-3261|경기도 동두천시 상패로 60||||||||동두천시립도서관|(상패동) 60|||200101
동탄복합문화센터도서관||||공공도서관|031-8015-8203|경기도 화성시 노작로 134||||||||동탄복합문화센터도서관||||200101
두빛나래/어린이도서관||||공공도서관|031-8003-0748|경기도 화성시 동탄숲속로 69-14||||||||두빛나래 어린이도서관|(화성동탄 어린이도서관)|||200101
물푸레도서관||||공공도서관|031-944-5951|경기도 파주시 청석로 360||||||||물푸레도서관|(다율동) 물푸레도서관|||200101
바른샘어린이도서관||||공공도서관|031-216-9373|경기도 수원시 영통구 매봉로 10||||||||바른샘어린이도서관|(바른샘도서관)|||200101
반달어린이도서관||||공공도서관|031-201-8349|경기도 수원시 영통구 영통동 반달로 45||||||||반달어린이도서관||||200101
별빛도서관||||공공도서관|031-590-5350|경기도 남양주시 별내중앙로 102||||||||별빛도서관|(별내동) 별빛도서관|||200101
보라도서관||||공공도서관|031-324-4331|경기도 용인시 기흥구 한보라2로 116||||||||보라도서관|(보라동)|||200101
본오도서관||||공공도서관|031-481-3697|경기도 안산시 상록구 각골로 49||||||||본오도서관|(본오동) 본오도서관|||200101
봉담도서관||||공공도서관|031-227-7281|경기도 화성시 봉담읍 샘마을1길 8-4||||||||봉담도서관|8-4 (봉담도서관)|||200101
부천시립꿈빛도서관||||공공도서관|032-625-4622|경기도 부천시 원미구 신흥로275번길 19||||||||부천시립꿈빛도서관|(꿈빛도서관)|||200101
부천시립꿈여울도서관||||공공도서관|032-625-4688|경기도 부천시 오정구 까치로 103||||||||부천시립꿈여울도서관|(꿈여울도서관)|||200101
부천시립도당도서관||||공공도서관|032-625-4500|경기도 부천시 부천로 360||||||||부천시립도당도서관|(도당동) 도당어울마당 4층|||200101
부천시립동화도서관||||공공도서관|032-625-4650|경기도 부천시 장말로 107||||||||부천시립동화도서관|(상동) 경기도 부천시 상동 394-2 복사골문화센터 1층|||200101
부천시립북부도서관||||공공도서관|032-625-4605|경기도 부천시 삼작로301번길 5||||||||부천시립북부도서관|(도당동) 부천시립북부도서관|||200101
부천시립상동도서관||||공공도서관|032-625-4705|경기도 부천시 상이로 12||||||||부천시립상동도서관|(상동) 상이로 12 (상동도서관)|||200101
부천시립송내도서관||||공공도서관|032-625-4511|경기도 부천시 소사구 경인로92번길 33||||||||부천시립송내도서관|(송내어울마당)|||200101
부천시립심곡도서관||||공공도서관|032-625-4581|경기 부천시 소사구 심곡본동 성무로 24||||||||부천시립심곡도서관||||200101
부천시립오정도서관||||공공도서관|032-625-4107|경기도 부천시 성오로 172||||||||부천시립오정도서관|(오정동) 부천시립오정도서관|||200101
부천시립원미도서관||||공공도서관|032-625-4736||경기도 부천시 원미구 원미1동 15|||||||부천시립원미도서관|(소사로 456)|||200101
부천시립책마루도서관||||공공도서관|032-625-4645||경기 부천시 중동 1192-3|||||||부천시립책마루도서관|(심중로 121)|||200101
부천시립한울빛도서관||||공공도서관|032-625-4670||경기 부천시 소사구 소사본동 317-98|||||||부천시립한울빛도서관|(소사로 107)|||200101
부천예술정보도서관/다감||||공공도서관|032-320-6327||경기 부천시 원미구 상1동 394-2|||||||부천예술정보도서관 다감||||200101
북수원도서관||||공공도서관|031-228-4776|경기 수원시 장안구 정자동 만석로 65||||||||북수원도서관||||200101
사랑샘도서관||||공공도서관|031-548-5660||경기도 수원시 영통구 이의동 1088|||||||사랑샘도서관|수원시장애인종합복지관|||200101
상현도서관||||공공도서관|031-324-4121|경기도 용인시 수지구 법조로 232||||||||상현도서관|(상현동) 232 (상현동)|||200101
서수원도서관||||공공도서관|031-228-4746|경기도 수원시 권선구 탑동로57번길 35||||||||서수원도서관|(탑동) 탑동로57번길 35|||200101
선부도서관||||공공도서관|031-481-3888|경기도 안산시 단원구 선부로 100||||||||선부도서관||||200101
설악도서관||||공공도서관|031-580-4313|경기도 가평군 설악면 자잠로 65||||||||설악도서관|65 (가평설악도서관)|||200101
성남시구미도서관||||공공도서관|031-729-4700|경기 성남시 분당구 구미동 미금일로 105||||||||성남시구미도서관||||200101
성남시무지개도서관||||공공도서관|031-729-4770|경기도 성남시 분당구 구미로 111||||||||성남시무지개도서관|(구미동) 111 (구미동 224번지)|||200101
성남시분당도서관||||공공도서관|031-729-4800|경기도 성남시 분당구 불정로 110||||||||성남시분당도서관|(정자동) 110|||200101
성남시수정도서관||||공공도서관|031-743-9600|경기도 성남시 수정구 수정로332번길 32||||||||성남시수정도서관|(산성동) 332번길 32 (산성동 2224번지)|||200101
성남시운중도서관||||공공도서관|031-729-4370|경기도 성남시 분당구 판교원로81번길 9||||||||성남시운중도서관|(운중도서관)|||200101
성남시중앙도서관||||공공도서관|031-729-4500|경기도 성남시 분당구 판교로 546||||||||성남시중앙도서관|(야탑동) 중앙도서관|||200101
성남시중원도서관||||공공도서관|031-752-3913|경기도 성남시 중원구 원터로17번길 46||||||||성남시중원도서관|(성남동) 성남시중원도서관|||200101
성남시중원어린이도서관||||공공도서관|031-729-4350|경기도 성남시 중원구 산성대로408번길 42||||||||성남시중원어린이도서관|(성남시중원어린이도서관)|||200101
성남시판교어린이도서관||||공공도서관|031-729-4395|경기도 성남시 분당구 판교역로 75||||||||성남시판교어린이도서관|(백현동,판교어린이도서관)|||200101
세종도서관||||공공도서관|031-886-5006|경기도 여주시 영릉로 125||||||||세종도서관|(하동) 125 (세종도서관)|||200101
수암도서관||||공공도서관|031-481-3967|경기도 안산시 상록구 원당골1길 23-3||||||||수암도서관|(수암동) 수암도서관|||200101
수원시버드내도서관||||공공도서관|031-228-4761|경기도 수원시 권선구 세권로102번길 20||||||||수원시버드내도서관|(세류동)|||200101
수원시선경도서관||||공공도서관|031-228-4721|경기도 수원시 팔달구 신풍로23번길 68||||||||수원시선경도서관|(선경도서관)|||200101
수원시영통도서관||||공공도서관|031-228-4758|경기도 수원시 영통구 청명로 151||||||||수원시영통도서관|(영통동) 151 (영통도서관)|||200101
수원시중앙도서관||||공공도서관|031-228-4788|경기도 수원시 팔달구 팔달산로 318||||||||수원시중앙도서관|(교동) 수원시중앙도서관|||200101
수원한림도서관||||공공도서관|031-228-4855|경기도 수원시 권선구 동수원로 25번길 32-52||||||||수원한림도서관|(권선동, 한림도서관)|||200101
슬기샘어린이도서관||||공공도서관|031-247-7656|경기도 수원시 장안구 송정로 9||||||||슬기샘어린이도서관|(슬기샘도서관)|||200101
시흥시군자도서관||||공공도서관|031-310-5191|경기도 시흥시 군자로 499||||||||시흥시군자도서관|(거모동) 군자로 499|||200101
시흥시능곡도서관||||공공도서관|031-310-2551|경기 시흥시 능곡동 능곡중앙로 85||||||||시흥시능곡도서관|시흥시능곡도서관|||200101
시흥시대야도서관||||공공도서관|031-310-5271|경기도 시흥시 대야동 173번길 14||||||||시흥시대야도서관||||200101
시흥시대야어린이도서관||||공공도서관|031-310-5241|경기도 시흥시 비둘기공원로 25||||||||시흥시대야어린이도서관|(대야동) 대야어린이도서관|||200101
시흥시매화도서관||||공공도서관|031-310-5208|경기도 시흥시 매화로 20||||||||시흥시매화도서관|(매화도서관)|||200101
시흥시신천도서관||||공공도서관|031-310-5208|경기도 시흥시 신천로 89-18||||||||시흥시신천도서관|(신천도서관)|||200101
시흥시장곡도서관||||공공도서관|031-310-5233|경기도 시흥시 인선로 52||||||||시흥시장곡도서관||||200101
시흥시중앙도서관||||공공도서관|031-310-5230|경기도 시흥시 정왕대로 191||||||||시흥시중앙도서관|(시흥시중앙도서관)|||200101
시흥시진로도서관||||공공도서관|031-310-2561|경기도 시흥시 소래산길 11||||||||시흥시진로도서관|(대야동) ABC행복학습타운 지혜관1층 시흥시진로도서관|||200101
안산단원어린이도서관||||공공도서관|031-481-2678|경기도 안산시 단원구 화정로 30||||||||안산단원어린이도서관|(초지동) 단원어린이도서관|||200101
안산미디어라이브러리||||공공도서관|031-481-3961|경기도 안산시 단원구 광덕1로 198||||||||안산미디어라이브러리|(고잔동) 고잔동 782-1 안산미디어라이브러리|||200101
안산시/감골도서관||||공공도서관|031-481-3706|경기도 안산시 상록구 감골공원안길 16-1||||||||안산시 감골도서관|(사동) 16-1 (사동)|||200101
안산시/부곡도서관||||공공도서관|031-481-3602|경기도 안산시 상록구 성호로 333||||||||안산시 부곡도서관|(부곡도서관)|||200101
안산시/일동도서관||||공공도서관|031-481-3714|경기도 안산시 상록구 구룡로 71||||||||안산시 일동도서관|(일동도서관)|||200101
안산시관산도서관||||공공도서관|031-481-2752|경기도 안산시 단원구 관산길 29||||||||안산시관산도서관|(원곡동) 관산도서관|||200101
안산시립상록어린이도서관||||공공도서관|031-481-2671|경기도 안산시 상록구 구룡체육관로 45||||||||안산시립상록어린이도서관|(상록어린이도서관)|||200101
안산시성포도서관||||공공도서관|031-481-2757||경기 안산시 상록구 성포동 산47-1|||||||안산시성포도서관||||200101
안산시중앙도서관||||공공도서관|031-481-2702|경기도 안산시 단원구 안산천남로 14||||||||안산시중앙도서관|(고잔동) 14 (중앙도서관)|||200101
안성시립공도도서관||||공공도서관|031-678-3210|경기도 안성시 공도5로 26||||||||안성시립공도도서관||||200101
안성시립보개도서관||||공공도서관|031-678-5330|경기도 안성시 종합운동장로 205||||||||안성시립보개도서관|(안성시립보개도서관)|||200101
안성시립일죽도서관||||공공도서관|031-678-3230|경기도 안성시 금일로 433||||||||안성시립일죽도서관|3,4층 (일죽면복합행정센터)|||200101
안성시립중앙도서관||||공공도서관|031-676-7942|경기도 안성시 안성맞춤대로 1150||||||||안성시립중앙도서관|(안성시립중앙도서관)|||200101
안성시립진사도서관||||공공도서관|031-678-4090|경기도 안성시 공도읍 진사2길 70||||||||안성시립진사도서관|진사2길 70|||200101
