##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@로티보이
로티보이|라마다호텔(문경새재)|||로티보이|054-504-7077|경상북도 문경시 문경읍 새재2길 32-3||||||||로티보이 라마다호텔(문경새재)|1층|||80812
로티보이|카페피노(솔밭공원)|||로티보이|043-642-1376|충북 제천시 세명로2길 27||||||||로티보이 카페피노(솔밭공원)|(모산동)|||80812
로티보이|세종/CGV점|||로티보이||세종특별자치시 도움1로 108||||||||로티보이 세종/CGV점|7층 703-2호|||80812
로티보이|카페/콜롬보(제물포)|||로티보이|032-433-6307|인천광역시 미추홀구 석정로 210-1||||||||로티보이 카페/콜롬보(제물포)|1~2층|||80812
로티보이|새말휴게소(카페문)|||로티보이||강원 횡성군 횡성읍 한우로 1401||||||||로티보이 새말휴게소(카페문)|새말휴게소 카페문|||80812
로티보이|서운점|||로티보이|032-549-5566|인천광역시 계양구 아나지로 443번길 20||||||||로티보이 서운점|1층|||80812
로티보이|카페시나브로(내유동)|||로티보이||경기도 고양시 덕양구 통일로 1320||||||||로티보이 카페시나브로(내유동)|나동 1층|||80812
로티보이|커피엘빈|||로티보이|070-8832-3236|서울특별시 도봉구 노해로 63다길 41||||||||로티보이 커피엘빈||||80812
로티보이|리코|||로티보이||경기도 용인시 처인구 명지로 60번길 19-7||||||||로티보이 리코|1층 (역북동)|||80812
로티보이|코렌치(덕이동)|||로티보이|031-912-0202|경기 고양시 일산서구 하이파크1로91번길 4-1||||||||로티보이 코렌치(덕이동)||||80812
로티보이|화양강휴게소|||로티보이|033-434-9120|강원도 홍천군 두촌면 설악로 3330||||||||로티보이 화양강휴게소||||80812
로티보이|이현커피(괴정점)|||로티보이|042-536-1210||대전광역시 서구 괴정동 69-28|||||||로티보이 이현커피(괴정점)||||80812
로티보이|지니어스커피바(금호역)|||로티보이|02-2297-6232|서울특별시 성동구 독서당로48길 2||||||||로티보이 지니어스커피바(금호역)||||80812
로티보이|Boat/N/Net(하남)|||로티보이|070-8266-7822|경기도 하남시 서하남로 441||||||||로티보이 Boat/N/Net(하남)|2층 (13016)|||80812
로티보이|일산위시티점|||로티보이|031-966-5752||경기도 고양시 일산동구 식사동 1487|||||||로티보이 일산위시티점|일산위시티 1단지 상가|||80812
로티보이|머그린/(대화역점)|||로티보이|070-4202-3995|경기도 고양시 일산서구 중앙로 1575||||||||로티보이 머그린/(대화역점)|(대화동),102호|||80812
로티보이|춘천점|||로티보이|033-241-7752|강원도 춘천로 449번길 9-1||||||||로티보이 춘천점||||80812
로티보이|인천신포점|||로티보이|032-761-1617||인천광역시 중구 내동 206|||||||로티보이 인천신포점||||80812
로티보이|선화교보점|||로티보이|042-226-1411|대전광역시 중구 중앙로 69||||||||로티보이 선화교보점|(선화동) 교보빌딩 1층|||80812
로티보이|군산점|||로티보이|063-463-1542|군산시 하나운로 25||||||||로티보이 군산점|(나운동 153-7)|||80812
로티보이|누문교보점|||로티보이|062-513-2744||광주광역시 북구 누문동 115|||||||로티보이 누문교보점|교보빌딩 1층|||80812
로티보이|광주금호점|||로티보이|062-652-0607||광주광역시 서구 금호동 209-15|||||||로티보이 광주금호점|세모빌딩 1층|||80812
로티보이|광주풍앙점|||로티보이|062-655-2017||광주광역시 서구 풍암동 1088|||||||로티보이 광주풍앙점||||80812
로티보이|광양중마점|||로티보이|061-793-8522||전라남도 광양시 중동 1654-6|||||||로티보이 광양중마점||||80812
로티보이|진주칠암점|||로티보이|055-759-9696|경남 진주시 강남로 95번길 (칠암동 112-8) ||||||||로티보이 진주칠암점||||80812
로티보이|마산창동점|||로티보이|055-244-6267||경상남도 마산시 중성동 64-8|||||||로티보이 마산창동점||||80812
로티보이|부산영도점|||로티보이|051-414-8883||부산광역시 영도 영선동 1가 21-5|||||||로티보이 부산영도점||||80812
