##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@놀부보쌈
놀부보쌈|구미옥계점|||놀부보쌈|054-476-2525||경북 구미시 옥계동 822-3|예약가능;포장가능;배달가능;주차가능|11:30   23:30|||||놀부보쌈 구미옥계점||||81018
놀부보쌈|구미왜관점|||놀부보쌈|054-972-5385||경북 칠곡군 왜관읍 789-168|예약가능;포장가능;배달가능;주차가능|11:30   23:00|||||놀부보쌈 구미왜관점||||81018
놀부보쌈|구미형곡점|||놀부보쌈|054-457-8890||경북 구미시 송정동 457-2|예약가능;포장가능;배달가능;주차가능|11:30   22:00|||||놀부보쌈 구미형곡점||||81018
놀부보쌈|구일역점|||놀부보쌈|02-855-4555||서울 구로구 구로동 642-108|예약불가능;포장가능;배달가능;주차가능|10:00   22:00|||||놀부보쌈 구일역점|해원리버파크 2층 (서울 구로구 구일로 110);해원리버파크 2층 (서울 구로구 구일로 110)|||81018
놀부보쌈|군산나운점|||놀부보쌈|063-467-5382||전북 군산시 나운동 95-12|예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 군산나운점|(군산시 하나운로 82);(군산시 하나운로 82)|||81018
놀부보쌈|군포당동점|||놀부보쌈|031-398-8666||경기도 군포시 당동 921-3|예약가능;포장가능;배달가능;주차가능|11:30   22:30|||||놀부보쌈 군포당동점|1층;1층|||81018
놀부보쌈|군포대야미역점|||놀부보쌈|031-437-1203||경기 군포시 대야미동 664-4|예약가능;포장가능;배달가능;주차가능|10:00   23:00|||||놀부보쌈 군포대야미역점||||81018
놀부보쌈|김천혁신점|||놀부보쌈|054-432-8383|경북 김천시 율곡동 혁신2로 16||예약불가능;포장가능;배달가능;주차가능|11:30   21:30|||||놀부보쌈 김천혁신점||||81018
놀부보쌈|김포구래점|||놀부보쌈|031-988-9937|경기도 김포시 김포한강9로 80||예약가능;포장가능;배달가능;주차가능|11:00   22:00|||||놀부보쌈 김포구래점|2층 205호 (구래동);2층 205호 (구래동)|||81018
놀부보쌈|나주빛가람점|||놀부보쌈|061-333-3434|전남 나주시 상야1길 7||예약가능;포장가능;배달가능;주차가능|11:00   23:00|||||놀부보쌈 나주빛가람점|예가람타워 205호;예가람타워 205호|||81018
놀부보쌈|난곡점|||놀부보쌈|02-867-0456|서울특별시 관악구 남부순환로 1487||예약가능;포장가능;배달가능;주차가능|11:30   22:00|||||놀부보쌈 난곡점||||81018
놀부보쌈|남성점|||놀부보쌈|02-525-7625||서울 동작구 사당동 248-5|예약가능;포장가능;배달가능;주차가능|11:30   24:30|||||놀부보쌈 남성점|거묵프리미엄빌딩 203;거묵프리미엄빌딩 203|||81018
놀부보쌈|남양주호평점|||놀부보쌈|031-592-6886||경기도 남양주시 호평동 641-1|예약가능;포장가능;배달가능;주차가능|11:00   23:00|||||놀부보쌈 남양주호평점|샤르망프라자 205;샤르망프라자 205|||81018
놀부보쌈|내발산점|||놀부보쌈|02-2667-5382||서울 강서구 내발산동 750-10|예약가능;포장가능;배달가능;주차가능|11:30   22:00|||||놀부보쌈 내발산점|웨스트엔드3차 105,105-1,105-2;웨스트엔드3차 105,105-1,105-2|||81018
놀부보쌈|당진점|||놀부보쌈|041-354-2216|충청남도 당진시 계성3길 38||예약가능;포장가능;배달가능;주차가능|10:30   23:00|||||놀부보쌈 당진점|놀부보쌈점;놀부보쌈점|||81018
놀부보쌈|대구금호사수점|||놀부보쌈|053-314-2345||대구 북구 사수동 963|예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 대구금호사수점|2F;2F|||81018
놀부보쌈|대구범어점|||놀부보쌈|053-755-6920|대구광역시 수성구 상록로2길 72||예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 대구범어점||||81018
놀부보쌈|대구수성점|||놀부보쌈|053-761-0080||대구광역시 수성구 두산동 153-1|예약가능;포장가능;배달가능;주차가능|11:30   22:30|||||놀부보쌈 대구수성점||||81018
놀부보쌈|대구시청점|||놀부보쌈|053-423-5382||대구 중구 동인동2가 51|예약가능;포장가능;배달가능;주차가능|10:00   23:00|||||놀부보쌈 대구시청점|(대구 중구 국채보상로 655);(대구 중구 국채보상로 655)|||81018
놀부보쌈|대구신서혁신점|||놀부보쌈|053-965-1221||대구 동구 각산동 1080|예약불가능;포장가능;배달가능;주차가능|11:30   22:00|||||놀부보쌈 대구신서혁신점||||81018
놀부보쌈|대구월배점|||놀부보쌈|053-633-5382|대구광역시 달서구 진천로18길 60||예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 대구월배점|103동 1층 상가2호;103동 1층 상가2호|||81018
놀부보쌈|대구죽전점|||놀부보쌈|053-521-2001||대구 달서구 감삼동 280-4|예약불가능;포장가능;배달가능;주차가능|11:30   22:00|||||놀부보쌈 대구죽전점|1층;1층|||81018
놀부보쌈|대전갈마점|||놀부보쌈|042-524-5242|대전광역시 서구 계룡로 382-5||예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 대전갈마점||||81018
놀부보쌈|대전관저점|||놀부보쌈|042-544-3003||대전 서구 관저동 1528|예약불가능;포장가능;배달가능;주차가능|11:00   24:00|||||놀부보쌈 대전관저점|2층;2층|||81018
놀부보쌈|대전둔산법원점|||놀부보쌈|042-472-8892|대전광역시 서구 둔산로137번길 44||예약가능;포장가능;배달가능;주차가능|10:00   23:00|||||놀부보쌈 대전둔산법원점|104호;104호|||81018
놀부보쌈|대전반석점|||놀부보쌈|042-822-8525||대전 유성구 반석동 621-3|예약불가능;포장가능;배달가능;주차가능|11:30   22:00|||||놀부보쌈 대전반석점|센타프라자203,204호;센타프라자203,204호|||81018
놀부보쌈|동판교점|||놀부보쌈|031-8016-5114|경기도 성남시 분당구 판교로 372||예약가능;포장가능;배달가능;주차가능|10:30   23:00|||||놀부보쌈 동판교점|205호 (삼평동);205호 (삼평동)|||81018
놀부보쌈|동해점|||놀부보쌈|033-531-5689||강원도 동해시 천곡동 1058-23|예약가능;포장가능;배달가능;주차가능|11:00   23:00|||||놀부보쌈 동해점||||81018
놀부보쌈|명보사거리점|||놀부보쌈|02-2268-2298|서울 중구 초동 마른내로 50-1||예약불가능;포장가능;배달불가능;주차불가능|10:00   22:00|||||놀부보쌈 명보사거리점|1층;1층|||81018
놀부보쌈|목포하당점|||놀부보쌈|061-281-2263|전남 목포시 옥암로 54번길 5||예약가능;포장가능;배달가능;주차가능|11:00   22:00|||||놀부보쌈 목포하당점||||81018
놀부보쌈|문정법조타운점|||놀부보쌈|02-3400-0288||서울 송파구 문정동 218|예약가능;포장가능;배달가능;주차가능|11:00   21:30|||||놀부보쌈 문정법조타운점|지식산업센터 B1;지식산업센터 B1|||81018
놀부보쌈|부산남산점|||놀부보쌈|051-513-9009||부산 금정구 남산동 112-11|예약가능;포장가능;배달가능;주차가능|11:00   23:00|||||놀부보쌈 부산남산점||||81018
놀부보쌈|부천옥길점|||놀부보쌈|032-341-7038||경기 부천시 소사구 옥길동 724-3|예약불가능;포장가능;배달가능;주차가능|11:00   22:00|||||놀부보쌈 부천옥길점|(양지로184번길 7-16);(양지로184번길 7-16)|||81018
놀부보쌈|부천중동점|||놀부보쌈|032-322-5382||경기도 부천시 원미구 중1동 1163|예약가능;포장가능;배달가능;주차가능|10:30   23:00|||||놀부보쌈 부천중동점|2층;2층|||81018
놀부보쌈|부평산곡점|||놀부보쌈|032-518-4477||인천 부평구 산곡2동 124-136|예약가능;포장가능;배달가능;주차가능|11:00   24:00|||||놀부보쌈 부평산곡점||||81018
놀부보쌈|북가좌점|||놀부보쌈|02-304-8202|서울특별시 서대문구 응암로 54||예약가능;포장가능;배달가능;주차가능|11:00   22:00|||||놀부보쌈 북가좌점|서부프라자 2층;서부프라자 2층|||81018
놀부보쌈|삼성1호점|||놀부보쌈|02-557-3848||서울 강남구 대치동 947-1호 |예약가능;포장가능;배달가능;주차가능|11:30   22:30|||||놀부보쌈 삼성1호점||||81018
놀부보쌈|삼천포점|||놀부보쌈|055-832-9979|경남 사천시 주공로 44||예약불가능;포장가능;배달가능;주차가능|10:30   22:00|||||놀부보쌈 삼천포점|(벌리동) 그린빌딩 2층;(벌리동) 그린빌딩 2층|||81018
놀부보쌈|상계백병원점|||놀부보쌈|02-3391-5382||서울 노원구 상계동 749-4|예약가능;포장가능;배달가능;주차가능|11:00   22:00|||||놀부보쌈 상계백병원점||||81018
놀부보쌈|서대문홍제점|||놀부보쌈|02-737-5382||서울 서대문구 홍제동 인왕산한신휴플러스상가 B3 |예약가능;포장가능;배달가능;주차가능|10:00   22:00|||||놀부보쌈 서대문홍제점||||81018
놀부보쌈|서산점|||놀부보쌈|041-665-0855||충남 서산시 읍내동 806-6|예약가능;포장가능;배달가능;주차가능|10:30   24:00|||||놀부보쌈 서산점|44/;44/|||81018
놀부보쌈|송도스마트밸리점|||놀부보쌈|032-837-5284||인천 연수구 송도동 214|예약가능;포장가능;배달가능;주차가능|10:30   23:30|||||놀부보쌈 송도스마트밸리점|F동 314,315호;F동 314,315호|||81018
놀부보쌈|송도신도시1호점|||놀부보쌈|032-858-6789||인천 연수구 송도동 3-2|예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 송도신도시1호점|드림시티 128-129;드림시티 128-129|||81018
놀부보쌈|수원롯데몰점|||놀부보쌈|031-8066-1836|||예약불가능;포장가능;배달불가능;주차불가능|11:00   22:00|||||놀부보쌈 수원롯데몰점||||81018
놀부보쌈|수원영통점|||놀부보쌈|031-206-5956|||예약가능;포장가능;배달가능;주차가능|10:00   24:00|||||놀부보쌈 수원영통점|1층;1층|||81018
놀부보쌈|수원우만점|||놀부보쌈|031-215-9582|경기도 수원시 팔달구 경수대로604번길 19||예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 수원우만점|559-17 (수원시 팔달구 경수대로 604번길 19);559-17 (수원시 팔달구 경수대로 604번길 19)|||81018
놀부보쌈|시지점|||놀부보쌈|053-793-7111||대구 수성구 신매동 567-52|예약가능;포장가능;배달가능;주차가능|11:30   23:00|||||놀부보쌈 시지점||||81018
놀부보쌈|시흥거모점|||놀부보쌈|031-493-7702|경기도 시흥시 군자로 514||예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 시흥거모점|105-1호 (거모동,거모프라자);105-1호 (거모동,거모프라자)|||81018
놀부보쌈|아산배방점|||놀부보쌈|041-532-4100||충남 아산시 배방면 74-6|예약가능;포장가능;배달가능;주차가능|10:00   22:00|||||놀부보쌈 아산배방점||||81018
놀부보쌈|안동옥동점|||놀부보쌈|054-859-4416|경북 안동시 옥동 옥동3길 5||예약불가능;포장가능;배달가능;주차가능|11:30   24:00|||||놀부보쌈 안동옥동점||||81018
놀부보쌈|안동정하점|||놀부보쌈|054-842-1400||경북 안동시 정하동 251-7|예약가능;포장가능;배달가능;주차가능|11:30   22:30|||||놀부보쌈 안동정하점||||81018
놀부보쌈|안산본오점|||놀부보쌈|031-417-5382|경기도 안산시 상록구 샘골로 105||예약가능;포장가능;배달가능;주차불가능|11:30   10:00|||||놀부보쌈 안산본오점|101호 (본오동);101호 (본오동)|||81018
놀부보쌈|안산선부점|||놀부보쌈|031-414-5321||경기도 안산시 단원구 선부동 1077-3|예약가능;포장가능;배달가능;주차가능|11:00   22:00|||||놀부보쌈 안산선부점||||81018
놀부보쌈|안산중앙점|||놀부보쌈|031-403-6677||경기도 안산시 고잔동 542-2|예약가능;포장가능;배달가능;주차가능|16:00   24:00|||||놀부보쌈 안산중앙점|우진B-209;우진B-209|||81018
놀부보쌈|안양점|||놀부보쌈|031-448-0875|||예약가능;포장가능;배달가능;주차가능|11:30   23:30|||||놀부보쌈 안양점||||81018
놀부보쌈|양산범어점|||놀부보쌈|055-364-3020||경남 양산시 물금읍 범어리 2711-9|예약가능;포장가능;배달가능;주차가능|11:30   21:00|||||놀부보쌈 양산범어점|2층 203호;2층 203호|||81018
놀부보쌈|양산서창점|||놀부보쌈|055-388-5382||경남 양산시 삼호동 1012-1|예약가능;포장가능;배달가능;주차가능|11:30   22:30|||||놀부보쌈 양산서창점||||81018
놀부보쌈|양평점|||놀부보쌈|031-775-5382||경기 양평군 양평읍 공흥리 456-6|예약불가능;포장가능;배달가능;주차가능|10:30   22:00|||||놀부보쌈 양평점||||81018
놀부보쌈|여수죽림점|||놀부보쌈|061-686-5688||전남 여수시 소라면 1224-5|예약불가능;포장가능;배달가능;주차가능|11:00   22:00|||||놀부보쌈 여수죽림점||||81018
놀부보쌈|영등포3가점|||놀부보쌈|02-2678-5382||서울 영등포구 영등포동3가 3-6|예약가능;포장가능;배달가능;주차가능|11:00   22:30|||||놀부보쌈 영등포3가점||||81018
놀부보쌈|영암삼호점|||놀부보쌈|061-462-3392||전남 영암군 삼호읍 1680-4|예약불가능;포장가능;배달가능;주차가능|11:00   22:00|||||놀부보쌈 영암삼호점||||81018
놀부보쌈|영천망정점|||놀부보쌈|054-336-6877||경북 영천시 망정동 402-15|예약가능;포장가능;배달가능;주차가능|11:30   22:00|||||놀부보쌈 영천망정점|상승빌딩;상승빌딩|||81018
놀부보쌈|영천점|||놀부보쌈|054-337-0011||경북 영천시 문외동 40-17|예약가능;포장가능;배달가능;주차가능|11:30   24:00|||||놀부보쌈 영천점||||81018
놀부보쌈|오산문화의거리점|||놀부보쌈|031-373-7772||경기도 오산시 원동 776-27|예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 오산문화의거리점||||81018
놀부보쌈|용계점|||놀부보쌈|053-981-1021||대구 동구 용계동 1011-1|예약가능;포장가능;배달가능;주차가능|11:30   23:30|||||놀부보쌈 용계점||||81018
놀부보쌈|용산역사아이파크몰점|||놀부보쌈|02-2012-0400||서울 용산구 한강로3가 용산역 4층 |예약불가능;포장가능;배달불가능;주차가능|11:00   22:00|||||놀부보쌈 용산역사아이파크몰점||||81018
놀부보쌈|울산달동점|||놀부보쌈|052-261-5382||울산 남구 달동 1412|예약불가능;포장가능;배달가능;주차가능|11:30   22:00|||||놀부보쌈 울산달동점|삼환 아르누보 202;삼환 아르누보 202|||81018
놀부보쌈|울산무거점|||놀부보쌈|052-221-5353||울산 남구 무거동 585-9|예약가능;포장가능;배달불가능;주차가능|11:30   22:00|||||놀부보쌈 울산무거점||||81018
놀부보쌈|울산우정혁신점|||놀부보쌈|052-960-8282|울산광역시 중구 종가로 313||예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 울산우정혁신점||||81018
놀부보쌈|울산이마트점|||놀부보쌈||울산광역시 남구 남중로 48||예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 울산이마트점|1층;1층|||81018
놀부보쌈|울산호계점|||놀부보쌈|052-293-8600||울산 북구 호계동 251-4|예약가능;포장가능;배달가능;주차가능|11:30   22:30|||||놀부보쌈 울산호계점||||81018
놀부보쌈|원주오크밸리점|||놀부보쌈|033-732-5756|강원도 원주시 지정면 오크밸리1길 40||예약불가능;포장가능;배달가능;주차가능|18:00   22:00|||||놀부보쌈 원주오크밸리점|(지하1층);(지하1층)|||81018
놀부보쌈|을지로6가점|||놀부보쌈|02-2264-1669||서울 중구 을지로6가 18-103|예약가능;포장가능;배달불가능;주차불가능|00:00   24:00|||||놀부보쌈 을지로6가점|2층;2층|||81018
놀부보쌈|이천SK하이닉스점|||놀부보쌈|031-694-5382||경기도 이천시 부발읍 726-3|예약가능;포장가능;배달가능;주차불가능|10:00   23:00|||||놀부보쌈 이천SK하이닉스점||||81018
놀부보쌈|이태원점|||놀부보쌈|02-790-5118|서울특별시 용산구 이태원로 187||예약가능;포장가능;배달가능;주차불가능|11:00   09:00|||||놀부보쌈 이태원점|3층;3층|||81018
놀부보쌈|익산영등점|||놀부보쌈|063-834-9797||전북 익산시 영등동 819-5|예약가능;포장가능;배달가능;주차가능|11:00   22:00|||||놀부보쌈 익산영등점||||81018
놀부보쌈|인천공항점|||놀부보쌈|032-743-4833|인천 중구 운서동 공항로 272||예약불가능;포장불가능;배달불가능;주차가능|06:00   21:00|||||놀부보쌈 인천공항점|인천국제공항여객터미널;인천국제공항여객터미널|||81018
놀부보쌈|인천삼산점|||놀부보쌈|032-330-5353||인천 부평구 삼산동 463-5|예약가능;포장가능;배달가능;주차가능|11:30   22:00|||||놀부보쌈 인천삼산점|로데오 I205,206호;로데오 I205,206호|||81018
놀부보쌈|인천스퀘어원점|||놀부보쌈|032-456-4300||인천 연수구 동춘동 926|예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 인천스퀘어원점|3층;3층|||81018
놀부보쌈|인천용현점|||놀부보쌈|032-885-2030||인천 남구 용현5동 628-54|예약가능;포장가능;배달가능;주차가능|10:00   23:00|||||놀부보쌈 인천용현점||||81018
놀부보쌈|인천하늘도시점|||놀부보쌈|032-746-7892|인천 중구 중산동 하늘중앙로 195번길 24||예약가능;포장가능;배달가능;주차가능|10:00   24:00|||||놀부보쌈 인천하늘도시점|광장프라자;광장프라자|||81018
놀부보쌈|인천호구포점|||놀부보쌈|032-421-4342||인천 남동구 논현동 636-6|예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 인천호구포점|대양프라자빌딩 (호구포로 212);대양프라자빌딩 (호구포로 212)|||81018
놀부보쌈|일산대화점|||놀부보쌈|031-916-5382||경기도 고양시 일산서구 대화동 2220-1|예약가능;포장가능;배달가능;주차가능|11:30   22:30|||||놀부보쌈 일산대화점|킨텍스프라자2층 202,203,204호;킨텍스프라자2층 202,203,204호|||81018
놀부보쌈|일산탄현제니스점|||놀부보쌈|031-911-6830||경기 고양시 일산서구 탄현동 297|예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 일산탄현제니스점|위브더제니스;위브더제니스|||81018
놀부보쌈|잠실푸르지오점|||놀부보쌈|02-3431-8590|서울특별시 송파구 올림픽로35가길 9||예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 잠실푸르지오점|지하1층 41호;지하1층 41호|||81018
놀부보쌈|전남남악점|||놀부보쌈|061-284-7771~2||전남 무안군 삼향면 2208|예약가능;포장가능;배달가능;주차가능|11:30   22:30|||||놀부보쌈 전남남악점||||81018
놀부보쌈|전남담양점|||놀부보쌈|061-381-6226||전남 담양군 담양읍 백동리 274-6|예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 전남담양점|1층;1층|||81018
놀부보쌈|전남영광점|||놀부보쌈|061-352-5382||전남 영광군 영광읍 628-3|예약가능;포장가능;배달가능;주차가능|09:00   22:00|||||놀부보쌈 전남영광점||||81018
놀부보쌈|전남장흥점|||놀부보쌈|061-863-8882|전남 장흥군 장흥읍 장흥로 10||예약가능;포장가능;배달가능;주차가능|11:00   22:00|||||놀부보쌈 전남장흥점||||81018
놀부보쌈|전남해남점|||놀부보쌈|061-533-5382||전남 해남군 해남읍 39|예약불가능;포장가능;배달가능;주차가능|10:30   24:00|||||놀부보쌈 전남해남점||||81018
